# MD38-daf-sponsor-schedules; fetch_window_utc=2026-09-16T09:43:02Z/2026-09-16T10:21:56Z; read_first=research/STATE.md; MD11 Schedule I METR/ARC grants used as locators only not recopied as this lane's discovery; routes=IRS e-file index_2022..index_2026.csv; GivingTuesday gt990datalake-rawdata XML for SVCF 20-5205488, Vanguard 23-2888152, Fidelity 11-0303001, Schwab/Donor Advised Charitable Giving Inc 31-1640316, NPT 23-7825575; ProPublica API v2 org locators + full_text Schedule M/I/D for Vanguard object 202621329349306657; sponsor audited statements and 990 public-disclosure copies (svcf.org audit+PDC, vanguardcharitable.org FS+PDC, fidelitycharitable.org FS, nptrust.org FY2025 two-page consolidated statements via fy25-ar-consolidated-financials-npt 301 plus FY2024 two-pager and complex-assets spotlight, dafgiving360.org giving report via r.jina.ai); IRS TEOS details; CA OAG charities landing; PA charities landing; SEC EFTS; Coefficient grantmaking-process locator; caps_hit=IRS TEOS apps.irs.gov/app/eos HTTP 403; GT and IRS AWS XML 404 for Vanguard object 202621329349306657; nptrust.org/annual-reports/ HTTP 404; NPT guessed URL /wp-content/uploads/2026/10/Consolidated-Statements-2025-NPT.pdf HTTP 404 (recovered via https://www.nptrust.org/fy25-ar-consolidated-financials-npt/ 301 to /wp-content/uploads/2026/09/FY25-AR-Consolidated-Financials-NPT.pdf); dafgiving360.org and schwabcharitable.org HTTP 403 (jina used); rct.doj.ca.gov RCT search HTTP 404; oag.ca.gov charity-download CSVs HTTP 404; no_kevinnbass_sources=true; public_read_only=true; money types not summed; legal entities unmerged; in_scope_sponsors=SVCF (PLAN named) plus Vanguard (METR DAF grant line) plus Fidelity, Schwab/DAFgiving360, NPT (other DAF sponsors / transfer counterparties named by primary documents)
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDI,C07.E2;C07.E3;C02.E3,Silicon Valley Community Foundation TY2021 (calendar 2021-01-01 to 2021-12-31) Schedule M Securities—Publicly traded,DAF sponsor,SVCF,202223199349318287,,,Silicon Valley Community Foundation,,2021-01-01,2021-12-31,,equity_value,2011460190,USD,2021-12-31,interval,TY2021 (calendar 2021-01-01 to 2021-12-31),,,,,Securities—Publicly traded,441,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202223199349318287_public.xml; IRS990ScheduleM/SecuritiesPubliclyTradedGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202223199349318287_public.xml,<SecuritiesPubliclyTradedGrp><NonCashCheckboxInd>X</NonCashCheckboxInd><ContributionCnt>441</ContributionCnt><NoncashContributionsRptF990Amt>2011460190</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecuritiesPubliclyTradedGrp>,2026-09-16T10:21:56Z,SecuritiesPubliclyTradedGrp ContributionCnt=441 NoncashContributionsRptF990Amt=2011460190 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202112-202223199349318287-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 9 SecuritiesPubliclyTradedGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
2,A,MDI,C07.E2;C07.E3;C02.E3,Silicon Valley Community Foundation TY2021 (calendar 2021-01-01 to 2021-12-31) Schedule M Securities—Closely held stock,DAF sponsor,SVCF,202223199349318287,,,Silicon Valley Community Foundation,,2021-01-01,2021-12-31,,equity_value,17226122,USD,2021-12-31,interval,TY2021 (calendar 2021-01-01 to 2021-12-31),,,,,Securities—Closely held stock,6,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202223199349318287_public.xml; IRS990ScheduleM/SecuritiesCloselyHeldStockGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202223199349318287_public.xml,<SecuritiesCloselyHeldStockGrp><NonCashCheckboxInd>X</NonCashCheckboxInd><ContributionCnt>6</ContributionCnt><NoncashContributionsRptF990Amt>17226122</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecuritiesCloselyHeldStockGrp>,2026-09-16T10:21:56Z,SecuritiesCloselyHeldStockGrp ContributionCnt=6 NoncashContributionsRptF990Amt=17226122 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202112-202223199349318287-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 10 SecuritiesCloselyHeldStockGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
3,A,MDI,C07.E2;C07.E3;C02.E3,"Silicon Valley Community Foundation TY2021 (calendar 2021-01-01 to 2021-12-31) Schedule M Securities—Partnership, LLC, or trust interests",DAF sponsor,SVCF,202223199349318287,,,Silicon Valley Community Foundation,,2021-01-01,2021-12-31,,equity_value,7007000,USD,2021-12-31,interval,TY2021 (calendar 2021-01-01 to 2021-12-31),,,,,"Securities—Partnership, LLC, or trust interests",2,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202223199349318287_public.xml; IRS990ScheduleM/SecurPrtnrshpTrustIntrstsGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202223199349318287_public.xml,<SecurPrtnrshpTrustIntrstsGrp><NonCashCheckboxInd>X</NonCashCheckboxInd><ContributionCnt>2</ContributionCnt><NoncashContributionsRptF990Amt>7007000</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecurPrtnrshpTrustIntrstsGrp>,2026-09-16T10:21:56Z,SecurPrtnrshpTrustIntrstsGrp ContributionCnt=2 NoncashContributionsRptF990Amt=7007000 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202112-202223199349318287-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 11 SecurPrtnrshpTrustIntrstsGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
4,A,MDI,C07.E2;C07.E3;C02.E3,Silicon Valley Community Foundation TY2022 (calendar 2022-01-01 to 2022-12-31) Schedule M Securities—Publicly traded,DAF sponsor,SVCF,202333189349318948,,,Silicon Valley Community Foundation,,2022-01-01,2022-12-31,,equity_value,1432656752,USD,2022-12-31,interval,TY2022 (calendar 2022-01-01 to 2022-12-31),,,,,Securities—Publicly traded,582,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333189349318948_public.xml; IRS990ScheduleM/SecuritiesPubliclyTradedGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333189349318948_public.xml,<SecuritiesPubliclyTradedGrp><NonCashCheckboxInd>X</NonCashCheckboxInd><ContributionCnt>582</ContributionCnt><NoncashContributionsRptF990Amt>1432656752</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecuritiesPubliclyTradedGrp>,2026-09-16T10:21:56Z,SecuritiesPubliclyTradedGrp ContributionCnt=582 NoncashContributionsRptF990Amt=1432656752 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202212-202333189349318948-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 9 SecuritiesPubliclyTradedGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
5,A,MDI,C07.E2;C07.E3;C02.E3,Silicon Valley Community Foundation TY2022 (calendar 2022-01-01 to 2022-12-31) Schedule M Securities—Closely held stock,DAF sponsor,SVCF,202333189349318948,,,Silicon Valley Community Foundation,,2022-01-01,2022-12-31,,equity_value,2799323,USD,2022-12-31,interval,TY2022 (calendar 2022-01-01 to 2022-12-31),,,,,Securities—Closely held stock,1,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333189349318948_public.xml; IRS990ScheduleM/SecuritiesCloselyHeldStockGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333189349318948_public.xml,<SecuritiesCloselyHeldStockGrp><NonCashCheckboxInd>X</NonCashCheckboxInd><ContributionCnt>1</ContributionCnt><NoncashContributionsRptF990Amt>2799323</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecuritiesCloselyHeldStockGrp>,2026-09-16T10:21:56Z,SecuritiesCloselyHeldStockGrp ContributionCnt=1 NoncashContributionsRptF990Amt=2799323 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202212-202333189349318948-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 10 SecuritiesCloselyHeldStockGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
6,A,MDI,C07.E2;C07.E3;C02.E3,"Silicon Valley Community Foundation TY2022 (calendar 2022-01-01 to 2022-12-31) Schedule M Securities—Partnership, LLC, or trust interests",DAF sponsor,SVCF,202333189349318948,,,Silicon Valley Community Foundation,,2022-01-01,2022-12-31,,equity_value,723013,USD,2022-12-31,interval,TY2022 (calendar 2022-01-01 to 2022-12-31),,,,,"Securities—Partnership, LLC, or trust interests",1,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333189349318948_public.xml; IRS990ScheduleM/SecurPrtnrshpTrustIntrstsGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333189349318948_public.xml,<SecurPrtnrshpTrustIntrstsGrp><NonCashCheckboxInd>X</NonCashCheckboxInd><ContributionCnt>1</ContributionCnt><NoncashContributionsRptF990Amt>723013</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecurPrtnrshpTrustIntrstsGrp>,2026-09-16T10:21:56Z,SecurPrtnrshpTrustIntrstsGrp ContributionCnt=1 NoncashContributionsRptF990Amt=723013 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202212-202333189349318948-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 11 SecurPrtnrshpTrustIntrstsGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
7,A,MDI,C07.E2;C07.E3;C02.E3,Silicon Valley Community Foundation TY2023 (calendar 2023-01-01 to 2023-12-31) Schedule M Securities—Publicly traded,DAF sponsor,SVCF,202413129349304911,,,Silicon Valley Community Foundation,,2023-01-01,2023-12-31,,equity_value,616302637,USD,2023-12-31,interval,TY2023 (calendar 2023-01-01 to 2023-12-31),,,,,Securities—Publicly traded,196,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413129349304911_public.xml; IRS990ScheduleM/SecuritiesPubliclyTradedGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413129349304911_public.xml,<SecuritiesPubliclyTradedGrp><NonCashCheckboxInd>X</NonCashCheckboxInd><ContributionCnt>196</ContributionCnt><NoncashContributionsRptF990Amt>616302637</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecuritiesPubliclyTradedGrp>,2026-09-16T10:21:56Z,SecuritiesPubliclyTradedGrp ContributionCnt=196 NoncashContributionsRptF990Amt=616302637 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202312-202413129349304911-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 9 SecuritiesPubliclyTradedGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
8,A,MDI,C07.E2;C07.E3;C02.E3,Silicon Valley Community Foundation TY2023 (calendar 2023-01-01 to 2023-12-31) Schedule M Securities—Closely held stock,DAF sponsor,SVCF,202413129349304911,,,Silicon Valley Community Foundation,,2023-01-01,2023-12-31,,equity_value,4956980,USD,2023-12-31,interval,TY2023 (calendar 2023-01-01 to 2023-12-31),,,,,Securities—Closely held stock,3,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413129349304911_public.xml; IRS990ScheduleM/SecuritiesCloselyHeldStockGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413129349304911_public.xml,<SecuritiesCloselyHeldStockGrp><NonCashCheckboxInd>X</NonCashCheckboxInd><ContributionCnt>3</ContributionCnt><NoncashContributionsRptF990Amt>4956980</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecuritiesCloselyHeldStockGrp>,2026-09-16T10:21:56Z,SecuritiesCloselyHeldStockGrp ContributionCnt=3 NoncashContributionsRptF990Amt=4956980 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202312-202413129349304911-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 10 SecuritiesCloselyHeldStockGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
9,A,MDI,C07.E2;C07.E3;C02.E3,"Silicon Valley Community Foundation TY2023 (calendar 2023-01-01 to 2023-12-31) Schedule M Securities—Partnership, LLC, or trust interests",DAF sponsor,SVCF,202413129349304911,,,Silicon Valley Community Foundation,,2023-01-01,2023-12-31,,equity_value,19913149,USD,2023-12-31,interval,TY2023 (calendar 2023-01-01 to 2023-12-31),,,,,"Securities—Partnership, LLC, or trust interests",8,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413129349304911_public.xml; IRS990ScheduleM/SecurPrtnrshpTrustIntrstsGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413129349304911_public.xml,<SecurPrtnrshpTrustIntrstsGrp><NonCashCheckboxInd>X</NonCashCheckboxInd><ContributionCnt>8</ContributionCnt><NoncashContributionsRptF990Amt>19913149</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecurPrtnrshpTrustIntrstsGrp>,2026-09-16T10:21:56Z,SecurPrtnrshpTrustIntrstsGrp ContributionCnt=8 NoncashContributionsRptF990Amt=19913149 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202312-202413129349304911-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 11 SecurPrtnrshpTrustIntrstsGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
10,A,MDI,C07.E2;C07.E3;C02.E3,Silicon Valley Community Foundation TY2024 (calendar 2024-01-01 to 2024-12-31) Schedule M Securities—Publicly traded,DAF sponsor,SVCF,202543149349305759,,,Silicon Valley Community Foundation,,2024-01-01,2024-12-31,,equity_value,2032517499,USD,2024-12-31,interval,TY2024 (calendar 2024-01-01 to 2024-12-31),,,,,Securities—Publicly traded,203,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml; IRS990ScheduleM/SecuritiesPubliclyTradedGrp; fields ContributionCnt, NoncashContributionsRptF990Amt, MethodOfDeterminingRevenuesTxt",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml,<SecuritiesPubliclyTradedGrp><ContributionCnt>203</ContributionCnt><NoncashContributionsRptF990Amt>2032517499</NoncashContributionsRptF990Amt><MethodOfDeterminingRevenuesTxt>Market value</MethodOfDeterminingRevenuesTxt></SecuritiesPubliclyTradedGrp>,2026-09-16T10:21:56Z,SecuritiesPubliclyTradedGrp ContributionCnt=203 NoncashContributionsRptF990Amt=2032517499 method=Market value,1,TY2025 Form 990 original due 2026-05-15 / treat as on extension through 2026-11-16 (absent from index_2026),"Schedule M reports count and FMV by asset type for contributions TO the sponsor; it does not name the donor, DAF account, or issuer of closely held stock. Amounts are not summed across lines, years, or money_types.","read-first research/STATE.md; MD11 METR/ARC Schedule I lines locators only. Primary research/primary/MD38-daf-sponsor-schedules/xml-svcf-202412-202543149349305759-excerpt.xml-20260916T094302Z. Filer EIN 20-5205488. Exact filed field names: Schedule M Part I line 9 SecuritiesPubliclyTradedGrp. Publicly traded, closely held stock, and partnership/LLC interests kept on separate rows. MethodOfDeterminingRevenuesTxt=Market value. CloselyHeldEquityInterestsGrp year-end book value is Schedule D, not this contribution line."
