# fetch_window_utc=2026-09-16T12:29:50Z/2026-09-16T12:33:11Z
# routes_used=promoted rows in research/project_coi.csv, in_kind_access.csv, relationships.csv, source_coverage.csv, provenance.csv, entities.csv, funding_events.csv, timeline.csv (C08 evidence/negative bindings in case.json); derived view research/independence_matrix.csv read not rewritten; live GETs and copies: copy research/primary/MD27-access-and-project-terms/metr-org-frr-pdf-20260916T093049Z.pdf -> metr-org-risk-report-feb-mar-2026_20260916T122950Z.pdf; copy research/primary/MD27-access-and-project-terms/metr-org-frontier-risk-report-20260916T091928Z.html -> metr-org-frontier-risk-report_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-hf-incident-report-pdf-20260916T091959Z.pdf -> metr-org-hf-incident-report_20260916T122950Z.pdf; copy research/primary/MD27-access-and-project-terms/metr-org-hf-incident-blog-20260916T091951Z.html -> metr-org-hf-incident-blog_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-gpt-5-6-sol-20260916T092125Z.html -> metr-org-gpt-5-6-sol_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-gpt-5-report-20260916T092149Z.html -> metr-org-gpt-5-report_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-gpt-5-1-codex-max-report-20260916T092159Z.html -> metr-org-gpt-5-1-codex-max-report_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-gpt-oss-review-20260916T092915Z.html -> metr-org-gpt-oss-review_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-o1-preview-report-20260916T092153Z.html -> metr-org-o1-preview-report_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-o3-report-20260916T092156Z.html -> metr-org-o3-report_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-gpt-4-5-evals-20260916T092202Z.html -> metr-org-gpt-4-5-evals_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-gpt-4o-report-20260916T092333Z.html -> metr-org-gpt-4o-report_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-claude-3-5-sonnet-report-20260916T092334Z.html -> metr-org-claude-3-5-sonnet-report_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-opus-4-6-sabotage-review-pdf-20260916T092134Z.pdf -> metr-org-opus-4-6-sabotage-review_20260916T122950Z.pdf; copy research/primary/MD27-access-and-project-terms/metr-org-opus-4-6-sabotage-review-20260916T092130Z.html -> metr-org-opus-4-6-sabotage-review_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-anthropic-agent-monitoring-20260916T092145Z.html -> metr-org-anthropic-agent-monitoring_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-anthropic-rd-review-20260916T093104Z.html -> metr-org-anthropic-rd-review_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-2024-annual-report-20260916T092205Z.pdf -> metr-org-2024-annual-report_20260916T122950Z.pdf; copy research/primary/MD27-access-and-project-terms/metr-org-about-20260916T091915Z.html -> metr-org-about_20260916T122950Z.html; copy research/primary/MD27-access-and-project-terms/metr-org-coi-policy-20260916T091922Z.pdf -> metr-org-coi-policy_20260916T122950Z.pdf; copy research/primary/MD27-access-and-project-terms/openai-gpt4-system-card-20260916T092512Z.pdf -> openai-gpt4-system-card_20260916T122950Z.pdf; copy research/primary/MD27-access-and-project-terms/anthropic-claude2-card-20260916T092653Z.pdf -> anthropic-claude2-card_20260916T122950Z.pdf; copy research/primary/MD27-access-and-project-terms/anthropic-mythos51-card-20260916T092655Z.pdf -> anthropic-mythos51-card_20260916T122950Z.pdf; copy research/primary/MD27-access-and-project-terms/amazon-nova-premier-20260916T092909Z.pdf -> amazon-nova-premier_20260916T122950Z.pdf; copy research/primary/S3-coi-policy/metr-coi-policy-20260916T075131Z.pdf -> metr-coi-policy-s3-held_20260916T122950Z.pdf; copy research/primary/MD35-evaluator-standards/aef1-standard-20260916T091709Z.pdf -> aef1-standard_20260916T122950Z.pdf; copy research/primary/MD35-evaluator-standards/aef1-standard-jina-20260916T092718Z.txt -> aef1-standard-jina_20260916T122950Z.txt; copy research/primary/MD34-cross-lab-project-terms/cdn-amazon-science_a7_7c_8bdade5c4eda9168f3dee6434fff_pc-amazon-frontier-model-safety-framework-2-7-20260916T093659Z.pdf -> amazon-fmsf_20260916T122950Z.pdf; copy research/primary/MD29-anthropic-incident-engagement/anthropic-alignment-assessment-20260916T093041Z.html -> anthropic-alignment-assessment_20260916T122950Z.html; copy research/primary/MD34-cross-lab-project-terms/irs-bulk-202523209349300367-20260916T094149Z.xml -> metr-fy2024-990-202523209349300367_20260916T122950Z.xml; GET https://metr.org/blog/2026-05-19-frontier-risk-report/ HTTP 200 -> live-metr-org-frontier-risk-report_20260916T122950Z.html; GET https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/ HTTP 200 -> live-metr-org-hf-incident-blog_20260916T122950Z.html; GET https://metr.org/about HTTP 200 -> live-metr-org-about_20260916T122950Z.html; GET https://metr.org/coi-policy.pdf HTTP 200 -> live-metr-org-coi-policy_20260916T122950Z.pdf; GET https://metr.org/blog/2026-06-26-gpt-5-6-sol/ HTTP 200 -> live-metr-org-gpt-5-6-sol_20260916T122950Z.html; GET https://metr.org/evaluations/gpt-5-report/ HTTP 200 -> live-metr-org-gpt-5-report_20260916T122950Z.html; GET https://metr.org/evaluations/gpt-5-1-codex-max-report/ HTTP 200 -> live-metr-org-gpt-5-1-codex-max-report_20260916T122950Z.html; GET https://metr.org/blog/2025-10-23-gpt-oss-methodology-review/ HTTP 200 -> live-metr-org-gpt-oss-review_20260916T122950Z.html; GET https://metr.org/blog/2026-03-12-sabotage-risk-report-opus-4-6-review/ HTTP 200 -> live-metr-org-opus-4-6-sabotage-review_20260916T122950Z.html; GET https://metr.org/blog/2026-03-25-red-teaming-anthropic-agent-monitoring/ HTTP 200 -> live-metr-org-agent-monitoring_20260916T122950Z.html; ... 18 more
# caps_hit=https://apps.irs.gov/app/eos/ HTTP 403; https://www.courtlistener.com/?type=o&q=%22Model+Evaluation+and+Threat+Research%22+recusal HTTP 403; https://web.archive.org/cdx/search/cdx?url=metr.org/coi-policy.pdf&output=json&limit=20 HTTP 503; https://sam.gov/search/?index=opp&page=1&pageSize=25&sort=-modifiedDate&sfm[simpleSearch][keywordRadio]=ALL&sfm[simpleSearch][keywordText]=METR%20evaluator%20independence HTTP 000; https://rct.doj.ca.gov/Verification/Web/Search.aspx?facility=Y HTTP 404; https://www.irs.gov/charities-non-profits/tax-exempt-organization-search HTTP 403
# no_kevinnbass_sources=true
# research/STATE.md read before adding facts; C08 already supported_primary; this lane re-anchors synthesis on already-promoted ids and does not recollect held facts as new discovery; embargo: nothing sent, nobody contacted, approximately $71 million composition/allocation not asked; legal entities unmerged; money types not summed; no motive asserted
# primary_route=promoted rows only; cells cite MD* ids; empty cell = no supporting row (not filled from affiliation); ARC-era rows labelled Alignment Research Center, not METR
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDQ,C08.E1;C08.E2;C08.E3;C08.E4;C08.E5,Project independence synthesis: METR Frontier Risk Report (Feb-Mar 2026; published 2026-05-19),project,,frr-2026,,,,,,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (Feb-Mar 2026; published 2026-05-19),Anthropic; Google; Meta; OpenAI,"API access with chain-of-thought visibility || complimentary model access || free tokens; nonpublic model access [MDI0007,MDI0008,MDI0042]","requested rate limits of at least 4M input tokens/min, 1M output tokens/min, 1K requests/min [MDI0007]","API access with chain-of-thought visibility; ZDR if possible; companies not permitted to train on evaluation tasks || Participants provided complimentary access to their models [MDI0007,MDI0008]","AEF-1 as applied in this report || none in force at project start (AEF-1 2.3 No) || none in force at project start [MDQ0002,MDQ0030,MDQ0036,MDQ0044,MDQ0045,MDQ0048,MDQ0049,MDQ0080,MDQ0082,MDQ0086,MDQ0087,MDQ0088,MDQ0089,MDQ0090,MDQ0091,MDQ0092,MDQ0096,MDQ0097,MDQ0098,MDQ0099]","no formal recusal or disclosures process at project start || METR Frontier Risk Report, Table A.1 item 2.4, any other conflicts of interest || we did not run a formal recusal or disclosures process [MDQ0030,MDQ0036,MDQ0044,MDQ0045,MDQ0048,MDQ0052,MDQ0080,MDQ0083,MDQ0085,MDQ0089,MDQ0096,MDQ0097,MDQ0098,MDQ0099]","safe harbor not requested for this pilot || silent exit; redaction/anonymization of non-public information || control over non-public information incorporated; not over the final public report [MDQ0002,MDQ0003,MDQ0004,MDQ0005,MDQ0016,MDQ0017,MDQ0022,MDQ0053,MDQ0096,MDQ0097,MDQ0098,MDQ0099,MDQ0100]","Writing: Ajeya Cotra (report lead), Hjalmar Wijk, Daniel Filan, Nikola Jurkovic, Charles Foster, Beth Barnes. Company engagement: Charles Foster, Chris Painter, Lucas Sato, Hjalmar Wijk, Nikola Jurkovic, Ajeya Cotra. Ev… [MDQ0030,MDQ0031,MDQ0032,MDQ0033,MDQ0034,MDQ0035,MDQ0036,MDQ0044,MDQ0045,MDQ0048,MDQ0054,MDQ0066,MDQ0080,MDQ0083,MDQ0096,MDQ0097,MDQ0098,MDQ0099]",,"none, as METR states [MDQ0051,MDQ0063,MDQ0096,MDQ0097,MDQ0098,MDQ0099,MDP0256]",project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ and https://metr.org/risk-report-feb-mar-2026.pdf,https://metr.org/blog/2026-05-19-frontier-risk-report/,The system provider provided legal safe harbor for actions by the evaluator that are within the agreed upon scope of the evaluation. Not requested,2026-09-16T12:29:50Z,synthesis from promoted evidence rows; filled cells cite MD* ids; empty cells have no supporting evidence row (not filled from affiliation). MDQ_ev=59 MDI_ev=3 MDR_ev=32 MDS_neg=5,62,FRR model-access section (rate limits / token budgets),Primary route is already-promoted rows; this lane does not invent projects absent from those rows. A later signed agreement would change only the cells named in Task D.,"primary=live-metr-org-frontier-risk-report_20260916T122950Z.html; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=live-metr-org-frontier-risk-report_20260916T122950Z.html; quote from promoted MDQ0002; copy-or-live under research/primary/MD48-independence-synthesis/."
B01,B,MDQ,C08.E1;C08.E2;C08.E3;C08.E4;C08.E5,Supporting promoted row ids for each filled cell: METR Frontier Risk Report (Feb-Mar 2026; published 2026-05-19),project,,frr-2026,,,,,,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (Feb-Mar 2026; published 2026-05-19),Anthropic; Google; Meta; OpenAI,"MDI0007,MDI0008,MDI0042",MDI0007,"MDI0007,MDI0008","MDQ0002,MDQ0030,MDQ0036,MDQ0044,MDQ0045,MDQ0048,MDQ0049,MDQ0080,MDQ0082,MDQ0086,MDQ0087,MDQ0088,MDQ0089,MDQ0090,MDQ0091,MDQ0092,MDQ0096,MDQ0097,MDQ0098,MDQ0099","MDQ0030,MDQ0036,MDQ0044,MDQ0045,MDQ0048,MDQ0052,MDQ0080,MDQ0083,MDQ0085,MDQ0089,MDQ0096,MDQ0097,MDQ0098,MDQ0099","MDQ0002,MDQ0003,MDQ0004,MDQ0005,MDQ0016,MDQ0017,MDQ0022,MDQ0053,MDQ0096,MDQ0097,MDQ0098,MDQ0099,MDQ0100","MDQ0030,MDQ0031,MDQ0032,MDQ0033,MDQ0034,MDQ0035,MDQ0036,MDQ0044,MDQ0045,MDQ0048,MDQ0054,MDQ0066,MDQ0080,MDQ0083,MDQ0096,MDQ0097,MDQ0098,MDQ0099",,"MDQ0051,MDQ0063,MDQ0096,MDQ0097,MDQ0098,MDQ0099,MDP0256",project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ and https://metr.org/risk-report-feb-mar-2026.pdf ; cell-to-id map from promoted tables,https://metr.org/blog/2026-05-19-frontier-risk-report/,The system provider provided legal safe harbor for actions by the evaluator that are within the agreed upon scope of the evaluation. Not requested,2026-09-16T12:29:50Z,every filled cell names supporting promoted row ids; a cell with no supporting row is empty rather than filled from affiliation,8,FRR model-access section (rate limits / token budgets),IDs are promoted MD[EFIPQRST]* row ids. Seed context-only rows are not used to fill cells.,"primary=live-metr-org-frontier-risk-report_20260916T122950Z.html; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=live-metr-org-frontier-risk-report_20260916T122950Z.html; Task B is the cell-to-id map for Task A row A01."
A02,A,MDQ,C08.E1;C08.E2;C08.E3;C08.E4,Project independence synthesis: OpenAI / Hugging Face incident investigation (Aug 2026),project,,hf-incident-2026,,,,,,,,,,,2026-08-26,day,,,,OpenAI / Hugging Face incident investigation (Aug 2026),OpenAI,"message-board dump; transcripts; free API credits; on-premises access || withheld model query (HPIM); request-based datasets || free API credits; message-board dump; transcripts [MDI0009,MDI0010,MDI0035,MDI0036,MDI0047,MDI0048,MDI0050,MDI0052,MDI0056]","~1.2 million message-board entries; ~1300 transcripts; ~$400K API credits (METR estimate); six days on premises || roughly ~$400K in API credits over the six days of our investigation || roughly ~$400K in API credits ov… [MDI0009,MDI0047,MDI0048,MDI0050,MDI0052]","OpenAI defined the investigation period; HPIM query withheld; datasets by request || no HPIM query; no direct OpenAI-infrastructure access; additional datasets on request [MDI0009,MDI0010]","COI policy v1.0 last updated August 28, 2026 — after the Aug 26 publication [MDQ0046]","footnote added 9/13/2026; states the SSC appointment was after the report was completed and published on Aug 26th || Beth Barnes was not involved in the decision to engage Ryan Greenblatt, nor was she directly involved … [MDQ0039,MDQ0040,MDQ0046,MDQ0102]","OpenAI was able to redact any non-public information from this post || feedback beyond redaction; METR states it made the edits || one-directional pre-publication review of METR's draft; METR did not see OpenAI's report… [MDQ0006,MDQ0007,MDQ0018,MDQ0019,MDQ0102]","Hjalmar Wijk; Ajeya Cotra; Ryan Greenblatt (Redwood Research staff member contracting with METR) || On Sep 9th (after this report was completed and published on Aug 26th), Ajeya Cotra’s spouse Paul Christiano joined Ope… [MDQ0038,MDQ0039,MDQ0040,MDQ0046]",,"none, as METR states [MDQ0102]",project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf and HF blog,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"OpenAI agreed at the outset with METR and Redwood that we would be able to describe high-level scope and terms of our engagement in this post. Beyond that, OpenAI was able to redact any non-public information from this post.",2026-09-16T12:29:50Z,synthesis from promoted evidence rows; filled cells cite MD* ids; empty cells have no supporting evidence row (not filled from affiliation). MDQ_ev=9 MDI_ev=9 MDR_ev=3 MDS_neg=2,18,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,Primary route is already-promoted rows; this lane does not invent projects absent from those rows. A later signed agreement would change only the cells named in Task D.,"primary=metr-org-hf-incident-report_20260916T122950Z.pdf; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=metr-org-hf-incident-report_20260916T122950Z.pdf; quote from promoted MDQ0006; copy-or-live under research/primary/MD48-independence-synthesis/."
B02,B,MDQ,C08.E1;C08.E2;C08.E3;C08.E4,Supporting promoted row ids for each filled cell: OpenAI / Hugging Face incident investigation (Aug 2026),project,,hf-incident-2026,,,,,,,,,,,2026-08-26,day,,,,OpenAI / Hugging Face incident investigation (Aug 2026),OpenAI,"MDI0009,MDI0010,MDI0035,MDI0036,MDI0047,MDI0048,MDI0050,MDI0052,MDI0056","MDI0009,MDI0047,MDI0048,MDI0050,MDI0052","MDI0009,MDI0010",MDQ0046,"MDQ0039,MDQ0040,MDQ0046,MDQ0102","MDQ0006,MDQ0007,MDQ0018,MDQ0019,MDQ0102","MDQ0038,MDQ0039,MDQ0040,MDQ0046",,MDQ0102,project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf and HF blog ; cell-to-id map from promoted tables,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"OpenAI agreed at the outset with METR and Redwood that we would be able to describe high-level scope and terms of our engagement in this post. Beyond that, OpenAI was able to redact any non-public information from this post.",2026-09-16T12:29:50Z,every filled cell names supporting promoted row ids; a cell with no supporting row is empty rather than filled from affiliation,8,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,IDs are promoted MD[EFIPQRST]* row ids. Seed context-only rows are not used to fill cells.,"primary=metr-org-hf-incident-report_20260916T122950Z.pdf; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=metr-org-hf-incident-report_20260916T122950Z.pdf; Task B is the cell-to-id map for Task A row A02."
A03,A,MDQ,C08.E3;C08.E4,Project independence synthesis: GPT-5.6 Sol pre-deployment evaluation,project,,gpt-5-6-sol,,,,,,,,,,,2026-06-26,day,,,,GPT-5.6 Sol pre-deployment evaluation,OpenAI,"API access to final and railfree checkpoints; raw chain-of-thought via API || API access [MDI0011,MDI0037]",,"Access to GPT-5.6 Sol, both the final checkpoint and a railfree version, via API; raw chain-of-thought via API; Codex harness setup guide; updated FRR questionnaire answers [MDI0011]",,,"comms and legal team required review and approval of this post || OpenAI comms and legal required review and approval of this post [MDQ0008,MDQ0020,MDQ0105]",,,undisclosed in the engagement documents [MDQ0105],project documents,GET https://metr.org/blog/2026-06-26-gpt-5-6-sol/,https://metr.org/blog/2026-06-26-gpt-5-6-sol/,"This evaluation was conducted under a standard NDA. Due to the sensitive information shared with METR as part of this evaluation, OpenAI’s comms and legal team required review and approval of this post.",2026-09-16T12:29:50Z,synthesis from promoted evidence rows; filled cells cite MD* ids; empty cells have no supporting evidence row (not filled from affiliation). MDQ_ev=3 MDI_ev=2 MDR_ev=0 MDS_neg=2,5,https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf,Primary route is already-promoted rows; this lane does not invent projects absent from those rows. A later signed agreement would change only the cells named in Task D.,"primary=live-metr-org-gpt-5-6-sol_20260916T122950Z.html; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=live-metr-org-gpt-5-6-sol_20260916T122950Z.html; quote from promoted MDQ0008; copy-or-live under research/primary/MD48-independence-synthesis/."
B03,B,MDQ,C08.E3;C08.E4,Supporting promoted row ids for each filled cell: GPT-5.6 Sol pre-deployment evaluation,project,,gpt-5-6-sol,,,,,,,,,,,2026-06-26,day,,,,GPT-5.6 Sol pre-deployment evaluation,OpenAI,"MDI0011,MDI0037",,MDI0011,,,"MDQ0008,MDQ0020,MDQ0105",,,MDQ0105,project documents,GET https://metr.org/blog/2026-06-26-gpt-5-6-sol/ ; cell-to-id map from promoted tables,https://metr.org/blog/2026-06-26-gpt-5-6-sol/,"This evaluation was conducted under a standard NDA. Due to the sensitive information shared with METR as part of this evaluation, OpenAI’s comms and legal team required review and approval of this post.",2026-09-16T12:29:50Z,every filled cell names supporting promoted row ids; a cell with no supporting row is empty rather than filled from affiliation,4,https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf,IDs are promoted MD[EFIPQRST]* row ids. Seed context-only rows are not used to fill cells.,"primary=live-metr-org-gpt-5-6-sol_20260916T122950Z.html; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=live-metr-org-gpt-5-6-sol_20260916T122950Z.html; Task B is the cell-to-id map for Task A row A03."
A04,A,MDQ,C08.E3;C08.E4,Project independence synthesis: GPT-5.1-Codex-Max evaluation,project,,gpt-5-1-codex-max,,,,,,,,,,,2025-11-19,day,,,,GPT-5.1-Codex-Max evaluation,OpenAI,"early-checkpoint API access; reasoning traces; compaction scaffolding || checkpoint access with visible reasoning traces || model/scaffold access [MDI0013,MDI0040,MDI0055]",two weeks; access from November 4th [MDI0013],early checkpoint Nov 4; reasoning-trace endpoint Nov 5; compaction scaffolding available [MDI0013],,,"comms and legal team required review and approval of this post || OpenAI comms and legal required review and approval of this post [MDQ0010,MDQ0104]",,,undisclosed in the engagement documents [MDQ0104],project documents,GET https://metr.org/evaluations/gpt-5-1-codex-max-report/,https://metr.org/evaluations/gpt-5-1-codex-max-report/,"This evaluation was conducted under a standard NDA. Due to the sensitive information shared with METR as part of this evaluation, OpenAI’s comms and legal team required review and approval of this post.",2026-09-16T12:29:50Z,synthesis from promoted evidence rows; filled cells cite MD* ids; empty cells have no supporting evidence row (not filled from affiliation). MDQ_ev=2 MDI_ev=3 MDR_ev=0 MDS_neg=0,5,,Primary route is already-promoted rows; this lane does not invent projects absent from those rows. A later signed agreement would change only the cells named in Task D.,"primary=live-metr-org-gpt-5-1-codex-max-report_20260916T122950Z.html; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=live-metr-org-gpt-5-1-codex-max-report_20260916T122950Z.html; quote from promoted MDQ0010; copy-or-live under research/primary/MD48-independence-synthesis/."
B04,B,MDQ,C08.E3;C08.E4,Supporting promoted row ids for each filled cell: GPT-5.1-Codex-Max evaluation,project,,gpt-5-1-codex-max,,,,,,,,,,,2025-11-19,day,,,,GPT-5.1-Codex-Max evaluation,OpenAI,"MDI0013,MDI0040,MDI0055",MDI0013,MDI0013,,,"MDQ0010,MDQ0104",,,MDQ0104,project documents,GET https://metr.org/evaluations/gpt-5-1-codex-max-report/ ; cell-to-id map from promoted tables,https://metr.org/evaluations/gpt-5-1-codex-max-report/,"This evaluation was conducted under a standard NDA. Due to the sensitive information shared with METR as part of this evaluation, OpenAI’s comms and legal team required review and approval of this post.",2026-09-16T12:29:50Z,every filled cell names supporting promoted row ids; a cell with no supporting row is empty rather than filled from affiliation,5,,IDs are promoted MD[EFIPQRST]* row ids. Seed context-only rows are not used to fill cells.,"primary=live-metr-org-gpt-5-1-codex-max-report_20260916T122950Z.html; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=live-metr-org-gpt-5-1-codex-max-report_20260916T122950Z.html; Task B is the cell-to-id map for Task A row A04."
A05,A,MDQ,C08.E2;C08.E3;C08.E4,Project independence synthesis: GPT-5 (gpt-5-thinking) evaluation,project,,gpt-5,,,,,,,,,,,2025-08-07,day,,,,GPT-5 (gpt-5-thinking) evaluation,OpenAI,"pre-release API access; full reasoning traces for some completions; background information || reasoning-trace access; background information [MDI0012,MDI0038,MDI0054]",access four weeks prior to release [MDI0012],four weeks prior; full reasoning traces for some completions; requested background information list [MDI0012],,Note on independence plus footnote 1 describing informal understanding and legal-right limitation [MDQ0103],"comms and legal team required review and approval of this post || OpenAI comms and legal required review and approval of this post; legal right to block sharing of risk conclusions that depended on non-public information [MDQ0009,MDQ0021,MDQ0103]",,,undisclosed in the engagement documents [MDQ0103],project documents,GET https://metr.org/evaluations/gpt-5-report/,https://metr.org/evaluations/gpt-5-report/,"This evaluation was conducted under a standard NDA. Due to the sensitive information shared with METR as part of this evaluation, OpenAI’s comms and legal team required review and approval of this post (the latter is not true of any other METR reports shared on our website).",2026-09-16T12:29:50Z,synthesis from promoted evidence rows; filled cells cite MD* ids; empty cells have no supporting evidence row (not filled from affiliation). MDQ_ev=3 MDI_ev=3 MDR_ev=1 MDS_neg=1,6,https://cdn.openai.com/gpt-5-system-card.pdf,Primary route is already-promoted rows; this lane does not invent projects absent from those rows. A later signed agreement would change only the cells named in Task D.,"primary=live-metr-org-gpt-5-report_20260916T122950Z.html; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=live-metr-org-gpt-5-report_20260916T122950Z.html; quote from promoted MDQ0009; copy-or-live under research/primary/MD48-independence-synthesis/."
B05,B,MDQ,C08.E2;C08.E3;C08.E4,Supporting promoted row ids for each filled cell: GPT-5 (gpt-5-thinking) evaluation,project,,gpt-5,,,,,,,,,,,2025-08-07,day,,,,GPT-5 (gpt-5-thinking) evaluation,OpenAI,"MDI0012,MDI0038,MDI0054",MDI0012,MDI0012,,MDQ0103,"MDQ0009,MDQ0021,MDQ0103",,,MDQ0103,project documents,GET https://metr.org/evaluations/gpt-5-report/ ; cell-to-id map from promoted tables,https://metr.org/evaluations/gpt-5-report/,"This evaluation was conducted under a standard NDA. Due to the sensitive information shared with METR as part of this evaluation, OpenAI’s comms and legal team required review and approval of this post (the latter is not true of any other METR reports shared on our website).",2026-09-16T12:29:50Z,every filled cell names supporting promoted row ids; a cell with no supporting row is empty rather than filled from affiliation,6,https://cdn.openai.com/gpt-5-system-card.pdf,IDs are promoted MD[EFIPQRST]* row ids. Seed context-only rows are not used to fill cells.,"primary=live-metr-org-gpt-5-report_20260916T122950Z.html; synthesis cites already-promoted MD* row ids only; not new discovery. research/STATE.md read before adding facts; C08 already supported_primary; held facts re-anchored, not recollected as new. no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Redwood Research is not METR; individual is not employer). money types not summed; a commitment is not a payment; in-kind is not cash; no motive asserted; nobody contacted; approximately $71 million composition not asked. primary=live-metr-org-gpt-5-report_20260916T122950Z.html; Task B is the cell-to-id map for Task A row A05."
