# fetch_window_utc=2026-09-16T21:11:47Z/2026-09-16T22:12:24Z
# routes_used=Wayback CDX+id_ https://metr.org/sitemap.xml (20260801-20260916) and sparkline/timemap; Wayback CDX metr.org prefix 20260820-20260916 limit=3000; about CDX+id_ distinct digests; blog prefix CDX; live GET metr.org/sitemap.xml /about /blog/ /feed.xml HF and security posts; Common Crawl collinfo.json + CC-MAIN-2026-{04,08,12,17,21,25,30,34} index API for metr.org/coi-policy.pdf and metr.org/about + WARC byte-range; archive.ph/archive.today/archive.is timemap+search (GET existing only, no submit); Wayback CDX metr.org/*.pdf matchType=prefix; sparkline/timemap/available of the PDF; DuckDuckGo html; Bing; Bluesky searchPosts; X keyword search + fxtwitter; HN Algolia; LessWrong search+GraphQL; AI Evaluator Forum home/members/AEF-1; Transluce independence policy/home/news; this-run x_keyword_search raw returns (url:metr.org/coi-policy.pdf, "coi-policy.pdf", metr.org/coi-policy) saved x-keyword-search-tool-raw_*; fxtwitter API bodies for hits
# caps_hit=Wayback CDX HTTP 503 Temporarily Offline on exact coi-policy.pdf (5 attempts) and all-time sitemap.xml (5 attempts); unfiltered sitemap CDX 504/503 then 0-byte 200; about CDX attempt 1 HTTP 504; archive.org wayback/available HTTP 429 x5; Common Crawl index HTTP 502/504 then 404 No Captures; public.api.bsky.app searchPosts HTTP 403; r.jina.ai Cloudflare 403 on JS-shell fallbacks; domain-prefix CDX limit=3000 (3000 rows returned); urllib Range on data.commoncrawl.org ignored (full WARC deleted; curl -r byte-range re-fetched); x_keyword_search url:metr.org/coi-policy.pdf / "coi-policy.pdf" / metr.org/coi-policy returned No results found (operator miss vs fxtwitter hit); r.jina.ai x.com/search Cloudflare 403
# no_kevinnbass_sources=true
# read_first=research/STATE.md (MD72 bound is a locator: about-page link first at 2026-09-15T16:00:44Z, PDF never archived; S3/MD28 PDF hash cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 is a locator only). This lane did not copy MD72/MD28/S3 files in as primaries. Embargo: no send/email/post/file/submit; no new archive.today snapshot; the approximately $71 million composition was not asked.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDS,C09.E2;C09.E3,Wayback CDX of https://metr.org/sitemap.xml from=20260801 to=20260916 filter=statuscode:200 returned empty JSON array,,,https://metr.org/sitemap.xml,,,,,,,,,,,2026-08-01,day,2026-08-01/2026-09-16,,,,,,,,,,,,,,archives,"GET https://web.archive.org/cdx/search/cdx?url=https://metr.org/sitemap.xml&from=20260801&to=20260916&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&filter=statuscode:200 ; attempt 1 HTTP 200","https://web.archive.org/cdx/search/cdx?url=https://metr.org/sitemap.xml&from=20260801&to=20260916&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&filter=statuscode:200",[],2026-09-16T21:14:20Z,none found in Wayback CDX for https://metr.org/sitemap.xml from=20260801 to=20260916 as of 2026-09-16T21:14:20Z; HTTP 200 application/json body [] (3 bytes); distinct digests=0 so no id_ body to hash,0,https://web.archive.org/__wb/sparkline?url=https://metr.org/sitemap.xml&collection=web&output=json,Empty CDX in this window is not a claim the live sitemap never listed the PDF. Sparkline last_ts=20260616170206 (A03) is the latest Wayback sitemap capture.,"primary=wayback-cdx-sitemap-filtered_20260916T211420Z.json sha256=37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570 bytes=3. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
A02,A,MDS,C09.E2;C09.E3,"Unfiltered sitemap CDX same window: attempts 504/503/503 then HTTP 200 empty body (0 bytes) — recorded cap, not zero-captures-as-proof",,,https://metr.org/sitemap.xml,,,,,,,,,,,2026-09-16,second,,,,,,,,,,,,,,,archives,GET unfiltered CDX url=https://metr.org/sitemap.xml from=20260801 to=20260916 output=json; attempt 1 HTTP 504 2026-09-16T21:14:20Z; attempt 2 HTTP 503 2026-09-16T21:15:30Z; attempt 3 HTTP 503 2026-09-16T21:15:55Z; attempt 4 HTTP 200 empty body 2026-09-16T21:17:18Z,"https://web.archive.org/cdx/search/cdx?url=https://metr.org/sitemap.xml&from=20260801&to=20260916&output=json&fl=timestamp,original,mimetype,statuscode,digest,length",STATUS: 200,2026-09-16T21:17:18Z,none found in unfiltered Wayback CDX for https://metr.org/sitemap.xml from=20260801 to=20260916 as of 2026-09-16T21:17:18Z after 504/503/503/200-empty; 0-byte body sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,"HTTP 504/503 then an empty 200 is a cap on the unfiltered query, not an independent listing of captures. The filtered query (A01) is the JSON [] listing.","primary=wayback-cdx-sitemap-unfiltered-a4_20260916T211718Z.json sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 bytes=0. Attempts recorded in sibling attempt log. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
A03,A,MDT,C09.E2;C09.E3,Wayback sparkline for metr.org/sitemap.xml: last_ts=20260616170206; no captures in Aug–Sep 2026,,,https://metr.org/sitemap.xml,,,,,,,,,,,2026-06-16,second,,,,,,,,,,,,,,,archives,GET https://web.archive.org/__wb/sparkline?url=https://metr.org/sitemap.xml&collection=web&output=json,https://web.archive.org/__wb/sparkline?url=https://metr.org/sitemap.xml&collection=web&output=json,"""last_ts"":""20260616170206""",2026-09-16T21:31:52Z,sparkline first_ts=20240226053044 last_ts=20260616170206; 2026 months after June are 0. TimeMap/sparkline substitute for the empty Aug–Sep CDX window.,1,https://web.archive.org/web/20260616170206id_/https://metr.org/sitemap.xml,"Sparkline last_ts is a capture time, not a sitemap lastmod and not an in-force date.","primary=wb-sparkline-sitemap_20260916T213152Z.json sha256=15a69a5dde136af8fb9a4b1fea646413d047ced7b5a332ca7b0a41fe2c630324. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
A04,A,MDT,C09.E2;C09.E3,Wayback timemap/link for sitemap.xml: last memento 2026-06-16T17:02:06Z; none in 2026-08-01..2026-09-16,,,https://metr.org/sitemap.xml,,,,,,,,,,,2026-06-16,second,,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/timemap/link/https://metr.org/sitemap.xml,https://web.archive.org/web/timemap/link/https://metr.org/sitemap.xml,"<https://web.archive.org/web/20260616170206/https://metr.org/sitemap.xml>; rel=""memento""; datetime=""Tue, 16 Jun 2026 17:02:06 GMT""",2026-09-16T21:31:55Z,TimeMap last memento 20260616170206; no memento dated 20260801–20260916. Agrees with empty window CDX (A01).,0,https://web.archive.org/web/20260616170206id_/https://metr.org/sitemap.xml,TimeMap/sparkline substitute recorded as such. Alltime CDX of sitemap.xml was HTTP 503 x5 (A15).,"primary=wb-timemap-sitemap_20260916T213155Z.txt sha256=28b5ea81bdd299102f8487bc820925300bf3032476dba748bae43cf89fa323da. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
A05,A,MDP,C09.E2;C09.E3,"Latest Wayback sitemap.xml capture (20260616170206, before Task A window) does not list /coi-policy.pdf — below-bound on archived sitemaps",,,https://metr.org/sitemap.xml,,,,,,,,,,,2026-06-16,second,,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20260616170206id_/https://metr.org/sitemap.xml (raw id_),https://web.archive.org/web/20260616170206id_/https://metr.org/sitemap.xml,<loc>https://metr.org/evaluations/gpt-4o-report/</loc>,2026-09-16T21:38:17Z,id_ HTTP 200; 24865 bytes; 0 coi-policy.pdf loc entries. Latest archived sitemap before the Aug–Sep window does not list the PDF.,0,https://metr.org/sitemap.xml,"This capture is 2026-06-16, outside 2026-08-01..2026-09-16; it is the latest Wayback sitemap (sparkline last_ts). Absence of a loc is not a hash of a PDF version. Also checked 20260103002648 and 20260202230604 id_ bodies: 0 coi-policy.pdf.","primary=wb-id-sitemap-20260616170206_20260916T213816Z.xml sha256=914461b187f592f49aa27dd7966874a8f232c0632c855860415a8dbb98edf6ca. Sibling id_ 20260103002648 and 20260202230604 also 0 coi-policy.pdf. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
A06,A,MDT,C09.E2;C09.E3,"Live metr.org/sitemap.xml this-run lists /coi-policy.pdf with lastmod 2026-09-16T10:34:29-07:00 — issuer index date, not a Wayback capture",,,https://metr.org/coi-policy.pdf,,,,,,,,,,,2026-09-16,minute,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/sitemap.xml ; filter loc=https://metr.org/coi-policy.pdf,https://metr.org/sitemap.xml,"<url>
<loc>https://metr.org/coi-policy.pdf</loc>
<lastmod>2026-09-16T10:34:29-07:00</lastmod>
</url>",2026-09-16T21:16:23Z,Sitemap loc=https://metr.org/coi-policy.pdf lastmod=2026-09-16T10:34:29-07:00 (17:34:29Z). This is the earliest this-run issuer listing of the PDF; Wayback has no sitemap capture after 2026-06-16.,1,https://metr.org/about#coi-policy,"Sitemap lastmod is a page-appearance/index date, not a transaction date and not automatically the in-force date. It is not a Wayback timestamp.","primary=metr-sitemap-live_20260916T211623Z.html sha256=b2ce8834c1eed8709e40d7107a02605c1b8ea46b50dc02a024b8b8a935104ba4. Saved with .html extension from content-type heuristic; body is urlset XML. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
A07,A,MDS,C09.E2;C09.E3,First this-run CDX url=metr.org/* matchType=prefix from=20260820 to=20260916 filter=statuscode:200 limit=5000 returned [] (query form later superseded by domain prefix A08),,,,,,,,,,,,,,2026-09-16,second,2026-08-20/2026-09-16,,,,,,,,,,,,,,archives,"GET https://web.archive.org/cdx/search/cdx?url=metr.org/*&matchType=prefix&from=20260820&to=20260916&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&filter=statuscode:200&limit=5000","https://web.archive.org/cdx/search/cdx?url=metr.org/*&matchType=prefix&from=20260820&to=20260916&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&filter=statuscode:200&limit=5000",[],2026-09-16T21:17:20Z,none found in Wayback CDX url=metr.org/* matchType=prefix from=20260820 to=20260916 as of 2026-09-16T21:17:20Z (HTTP 200 body []). This query form is recorded; the working listing is url=metr.org matchType=prefix (A08).,0,,url=metr.org/* returned empty while url=metr.org prefix (A08) and url=metr.org/about (A09) returned captures in the same window. Not treated as zero pages archived.,"primary=wayback-cdx-metr-org-pages-20260820-20260916_20260916T211720Z.json sha256=37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
A08,A,MDT,C09.E2;C09.E3,This-run Wayback CDX url=metr.org matchType=prefix from=20260820 to=20260916 limit=3000: 3000 rows / 458 originals; 0 originals are metr.org/coi-policy.pdf,,,,,,,,,,,,,,2026-09-16,second,2026-08-20/2026-09-16,,,,,,,,,,,,,,archives,"GET https://web.archive.org/cdx/search/cdx?url=metr.org&matchType=prefix&from=20260820&to=20260916&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&limit=3000","https://web.archive.org/cdx/search/cdx?url=metr.org&matchType=prefix&from=20260820&to=20260916&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&limit=3000","[""timestamp"",""original"",""mimetype"",""statuscode"",""digest"",""length""]",2026-09-16T21:26:49Z,"CDX HTTP 200; 3000 data rows; unique originals=458; 0 originals contain coi-policy; 13 rows are other metr.org PDFs (SOC-2, AI_R_D_Evaluation_Report, common-elements, 2025_pilot_risk_report). Timestamp min 20260820003418 max 20260916141847. limit=3000 hit (row count equals limit).",3000,https://web.archive.org/cdx/search/cdx?url=metr.org/about&from=20260820&to=20260916&output=json,limit=3000 is a cap. Complementary about-window CDX (A09) and pdf-prefix CDX (B21) were also saved. Other PDFs in this listing are not coi-policy.pdf.,"primary=wayback-cdx-domain-prefix-window_20260916T212649Z.json sha256=50c0962c7c40facb4cc18318f6f44a54603c9c1fcec76132a8f92f5b6806631d. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
A09,A,MDT,C09.E2;C09.E3,Wayback CDX metr.org/about from=20260820 to=20260916: 12 captures / 11 distinct digests; earliest with /coi-policy.pdf is 20260915160044; latest without is 20260914132053,,,https://metr.org/about,,,,,,,,,,,2026-09-14,second,2026-08-20/2026-09-16,,,,,,,,,,,,,,archives,"GET https://web.archive.org/cdx/search/cdx?url=metr.org/about&from=20260820&to=20260916&output=json&fl=timestamp,original,mimetype,statuscode,digest,length ; attempt 1 HTTP 504; attempt 2 HTTP 200","https://web.archive.org/cdx/search/cdx?url=metr.org/about&from=20260820&to=20260916&output=json&fl=timestamp,original,mimetype,statuscode,digest,length","[""20260914132053"",""https://metr.org/about"",""text/html"",""200"",""F5GO2CX65J2CA34D7IEAAUDDC3LQLJNC"",""16434""]",2026-09-16T21:23:10Z,"12 JSON data rows, 11 distinct digests. Captures 20260827031343 through 20260916185132. id_ bodies fetched this run for each digest (A16–A26).",12,https://web.archive.org/web/20260915160044id_/https://metr.org/about,"CDX digest is Wayback payload digest, not SHA-256 of the id_ body. HTTP 504 on attempt 1 saved as cap.","primary=wayback-cdx-about-window_20260916T212310Z.json sha256=47a55bfdcb691ba0223b40ad49e29792383c923a26bb85318a8fa232efcce649. 504 attempt primary=wayback-cdx-about-window-a1_20260916T212205Z.html. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
A16,A,MDT,C09.E2;C09.E3,About-page id_ 20260827031343 digest 73ILAUFD5EEK does not list /coi-policy.pdf,,,73ILAUFD5EEK,,,,,,,,,,,2026-08-27,second,,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20260827031343id_/https://metr.org/about ; SHA-256 of id_ bytes,https://web.archive.org/web/20260827031343id_/https://metr.org/about,"<h3 id=""partnerships"">Partnerships</h3>",2026-09-16T21:29:53Z,id_ HTTP 200; sha256=c1948510213b4a1089bace71ea999a1e297da26b0f0affcf6894caec1eeba1dc; 0 coi-policy; h3 jumps our-mission -> partnerships,0,,"Wayback timestamp is a capture time, not a transaction date and not automatically the in-force date of the PDF. Listing/absence is a substring of this-run id_ body.","primary=wb-id-about-73ILAUFD5EEK-20260827031343_20260916T212953Z.html sha256=c1948510213b4a1089bace71ea999a1e297da26b0f0affcf6894caec1eeba1dc. CDX digest 73ILAUFD5EEK. research/STATE.md read before adding facts. MD72/S3/MD28 locators (live PDF sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9, printed last-updated 2026-08-28, about-page link absent 2026-09-14T13:20:53Z / present 2026-09-15T16:00:44Z, Wayback PDF CDX empty) are locators only, not this-run sitemap/CC/archive.today hashes. no_kevinnbass_sources. Embargo: this lane did not contact anyone, did not submit/save a new archive.today snapshot, and did not ask how the approximately $71 million was composed. Fetch and write only; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft."
