# fetch_window_utc=2026-09-16T12:19:37Z/2026-09-16T12:29:08Z
# routes_used=frozen clone repo/ git show f64df65 vs HEAD for figures/; public GitHub blob/raw https://github.com/kevinnbass/metr-money-figure (clone objects only, not @kevinnbass posts); metr.org/ /blog /blog/rss.xml /about /news /updates /?s=September+14 /blog/2026-08-14-funding-update/; GitHub issues+discussions API+HTML; x.com/METR_Evals /BethMayBarnes /ChrisPainterYup plus X keyword search; greaterwrong.com/users/beth-barnes; lesswrong.com/users/beth-barnes; forum.effectivealtruism.org/users/beth-barnes; r.jina.ai of metr.org/blog, nypost 2026-09-15, moneycontrol, x.com/METR_Evals; Wayback CDX metr.org/blog and metr.org/ 20260914-20260916; promoted pack tables research/entities.csv funding_events.csv in_kind_access.csv provenance.csv project_coi.csv relationships.csv source_coverage.csv timeline.csv as the adjudication bar; research/STATE.md and research/BASELINE.json read-first
# caps_hit=greaterwrong HTTP 429; lesswrong HTTP 429; r.jina.ai x.com HTTP 403 AbuseAlleviationError; Wayback CDX HTTP 503 Internet Archive temporarily offline; GitHub discussions API 410 / HTML 404; metr.org/news 404; metr.org/updates 404; EA Forum GraphQL empty query 400; nypost.com origin via web_fetch returned a shell (r.jina.ai recovered spokesperson quotes); moneycontrol origin 403 (jina 200, third-party press, not a METR response); live raw.githubusercontent current html GET truncated 4831 bytes (posted raw 20627 matched); x.com profile pages are JS shells
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; C10 still open; already-held BASELINE posted/current hashes and promoted MD01–MD45 rows cited by id as re-check/adjudication bar, not recopied as this lane's discoveries; MD46–MD48 unpromoted and not waited on; write-only this CSV and research/primary/MD49-claim-adjudication/; nothing emailed, filed, submitted, posted or telephoned; allocation embargo held; legal entities unmerged; money types not summed; no motive asserted; no deanonymization
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDP,C10.E1,posted figures/metr-01-money-that-doesnt-show-up.html at f64df65,,,posted;f64df65a16400fd88a77536111851695acc9a928;sha256=931c72372044723ca0e24c2267744c475680fa0c6c71d3a89c0bb57cdc104e44;git_blob=4b0958a6146daa8b604d7e308e8a63aac69f533e,,,,,,,,,,,2026-09-16,second,,,,,,,20627 bytes,,,,,,,,archives,git -C repo show f64df65a16400fd88a77536111851695acc9a928:figures/metr-01-money-that-doesnt-show-up.html | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/f64df65a16400fd88a77536111851695acc9a928/figures/metr-01-money-that-doesnt-show-up.html,sha256=931c72372044723ca0e24c2267744c475680fa0c6c71d3a89c0bb57cdc104e44,2026-09-16T12:19:41Z,posted sha256=931c72372044723ca0e24c2267744c475680fa0c6c71d3a89c0bb57cdc104e44 git_blob=4b0958a6146daa8b604d7e308e8a63aac69f533e bytes=20627 commit=f64df65a16400fd88a77536111851695acc9a928,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01-money-that-doesnt-show-up.html-posted-f64df65-hash-receipt-20260916T121941Z.txt; Already-held research/BASELINE.json posted hashes cited as re-check not a new discovery. This-run git show | sha256sum. Posted commit never replaced by current. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
A02,A,MDP,C10.E1,current figures/metr-01-money-that-doesnt-show-up.html at 17539ba,,,current;17539bac0dfa40ba8b93d530e0544c883903c3ca;sha256=0bc311277c15b6f9c8fd64fd6ef5376f80ecdb7e26618800a576c2bb5476b6e0;git_blob=92580bb79483c73c2dc13ea0e328eef00d102f26,,,,,,,,,,,2026-09-16,second,,,,,,,21028 bytes,,,,,,,,archives,git -C repo show 17539bac0dfa40ba8b93d530e0544c883903c3ca:figures/metr-01-money-that-doesnt-show-up.html | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/17539bac0dfa40ba8b93d530e0544c883903c3ca/figures/metr-01-money-that-doesnt-show-up.html,sha256=0bc311277c15b6f9c8fd64fd6ef5376f80ecdb7e26618800a576c2bb5476b6e0,2026-09-16T12:19:41Z,current sha256=0bc311277c15b6f9c8fd64fd6ef5376f80ecdb7e26618800a576c2bb5476b6e0 git_blob=92580bb79483c73c2dc13ea0e328eef00d102f26 bytes=21028 commit=17539bac0dfa40ba8b93d530e0544c883903c3ca,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01-money-that-doesnt-show-up.html-current-17539ba-hash-receipt-20260916T121941Z.txt; Current HEAD of frozen clone repo/. BASELINE.json public_clone.figure_html_sha256 cited as re-check for html only. This-run recompute. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
A03,A,MDP,C10.E1,posted figures/metr-01-money-that-doesnt-show-up.png at f64df65,,,posted;f64df65a16400fd88a77536111851695acc9a928;sha256=3db5ea900e656b6ea18bce687c010318b494347a5a542ac08c0159e0df5ded0d;git_blob=c1771ecfbfef00a75292f057aa55916a6ac9e86d,,,,,,,,,,,2026-09-16,second,,,,,,,1732616 bytes,,,,,,,,archives,git -C repo show f64df65a16400fd88a77536111851695acc9a928:figures/metr-01-money-that-doesnt-show-up.png | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/f64df65a16400fd88a77536111851695acc9a928/figures/metr-01-money-that-doesnt-show-up.png,sha256=3db5ea900e656b6ea18bce687c010318b494347a5a542ac08c0159e0df5ded0d,2026-09-16T12:19:41Z,posted sha256=3db5ea900e656b6ea18bce687c010318b494347a5a542ac08c0159e0df5ded0d git_blob=c1771ecfbfef00a75292f057aa55916a6ac9e86d bytes=1732616 commit=f64df65a16400fd88a77536111851695acc9a928,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01-money-that-doesnt-show-up.png-posted-f64df65-hash-receipt-20260916T121941Z.txt; Already-held research/BASELINE.json posted hashes cited as re-check not a new discovery. This-run git show | sha256sum. Posted commit never replaced by current. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
A04,A,MDP,C10.E1,current figures/metr-01-money-that-doesnt-show-up.png at 17539ba,,,current;17539bac0dfa40ba8b93d530e0544c883903c3ca;sha256=3f6fcba8d64cd8f4f466f0e4a109a0161c57c3ee70dab378c8a8361034afcbbf;git_blob=3512d60d637fcd09f2e9b4e2f6ad5c6955ccedb2,,,,,,,,,,,2026-09-16,second,,,,,,,1704456 bytes,,,,,,,,archives,git -C repo show 17539bac0dfa40ba8b93d530e0544c883903c3ca:figures/metr-01-money-that-doesnt-show-up.png | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/17539bac0dfa40ba8b93d530e0544c883903c3ca/figures/metr-01-money-that-doesnt-show-up.png,sha256=3f6fcba8d64cd8f4f466f0e4a109a0161c57c3ee70dab378c8a8361034afcbbf,2026-09-16T12:19:41Z,current sha256=3f6fcba8d64cd8f4f466f0e4a109a0161c57c3ee70dab378c8a8361034afcbbf git_blob=3512d60d637fcd09f2e9b4e2f6ad5c6955ccedb2 bytes=1704456 commit=17539bac0dfa40ba8b93d530e0544c883903c3ca,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01-money-that-doesnt-show-up.png-current-17539ba-hash-receipt-20260916T121941Z.txt; Current HEAD of frozen clone repo/. BASELINE.json public_clone.figure_html_sha256 cited as re-check for html only. This-run recompute. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
A05,A,MDP,C10.E1,posted figures/metr-01-money-that-doesnt-show-up.jpg at f64df65,,,posted;f64df65a16400fd88a77536111851695acc9a928;sha256=29033333be7fa8e953483e5cfb0ab93f95f9a5cb6b8fa8fb9eea09a0fc60593e;git_blob=bdad2e113393ab53a4631bb700d71418277457b0,,,,,,,,,,,2026-09-16,second,,,,,,,2389173 bytes,,,,,,,,archives,git -C repo show f64df65a16400fd88a77536111851695acc9a928:figures/metr-01-money-that-doesnt-show-up.jpg | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/f64df65a16400fd88a77536111851695acc9a928/figures/metr-01-money-that-doesnt-show-up.jpg,sha256=29033333be7fa8e953483e5cfb0ab93f95f9a5cb6b8fa8fb9eea09a0fc60593e,2026-09-16T12:19:41Z,posted sha256=29033333be7fa8e953483e5cfb0ab93f95f9a5cb6b8fa8fb9eea09a0fc60593e git_blob=bdad2e113393ab53a4631bb700d71418277457b0 bytes=2389173 commit=f64df65a16400fd88a77536111851695acc9a928,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01-money-that-doesnt-show-up.jpg-posted-f64df65-hash-receipt-20260916T121941Z.txt; Already-held research/BASELINE.json posted hashes cited as re-check not a new discovery. This-run git show | sha256sum. Posted commit never replaced by current. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
A06,A,MDP,C10.E1,current figures/metr-01-money-that-doesnt-show-up.jpg at 17539ba,,,current;17539bac0dfa40ba8b93d530e0544c883903c3ca;sha256=a5dc73ce492530b046793c90067588f08980caeed01f99bc8d986528a8a31a47;git_blob=016077ac64822c6a1c5141777d013eda35fc6e4f,,,,,,,,,,,2026-09-16,second,,,,,,,2358926 bytes,,,,,,,,archives,git -C repo show 17539bac0dfa40ba8b93d530e0544c883903c3ca:figures/metr-01-money-that-doesnt-show-up.jpg | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/17539bac0dfa40ba8b93d530e0544c883903c3ca/figures/metr-01-money-that-doesnt-show-up.jpg,sha256=a5dc73ce492530b046793c90067588f08980caeed01f99bc8d986528a8a31a47,2026-09-16T12:19:41Z,current sha256=a5dc73ce492530b046793c90067588f08980caeed01f99bc8d986528a8a31a47 git_blob=016077ac64822c6a1c5141777d013eda35fc6e4f bytes=2358926 commit=17539bac0dfa40ba8b93d530e0544c883903c3ca,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01-money-that-doesnt-show-up.jpg-current-17539ba-hash-receipt-20260916T121941Z.txt; Current HEAD of frozen clone repo/. BASELINE.json public_clone.figure_html_sha256 cited as re-check for html only. This-run recompute. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
A07,A,MDP,C10.E1,posted figures/metr-01b-money-that-doesnt-show-up-with-anthropic.html at f64df65,,,posted;f64df65a16400fd88a77536111851695acc9a928;sha256=945d60157cb99608e18459bcae77a0a93744c922bb37e23b593271d70aafbcef;git_blob=ceed3eea0fd1691b14effc4021d0d53df893b3ac,,,,,,,,,,,2026-09-16,second,,,,,,,43885 bytes,,,,,,,,archives,git -C repo show f64df65a16400fd88a77536111851695acc9a928:figures/metr-01b-money-that-doesnt-show-up-with-anthropic.html | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/f64df65a16400fd88a77536111851695acc9a928/figures/metr-01b-money-that-doesnt-show-up-with-anthropic.html,sha256=945d60157cb99608e18459bcae77a0a93744c922bb37e23b593271d70aafbcef,2026-09-16T12:19:41Z,posted sha256=945d60157cb99608e18459bcae77a0a93744c922bb37e23b593271d70aafbcef git_blob=ceed3eea0fd1691b14effc4021d0d53df893b3ac bytes=43885 commit=f64df65a16400fd88a77536111851695acc9a928,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01b-money-that-doesnt-show-up-with-anthropic.html-posted-f64df65-hash-receipt-20260916T121941Z.txt; Already-held research/BASELINE.json posted hashes cited as re-check not a new discovery. This-run git show | sha256sum. Posted commit never replaced by current. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
A08,A,MDP,C10.E1,current figures/metr-01b-money-that-doesnt-show-up-with-anthropic.html at 17539ba,,,current;17539bac0dfa40ba8b93d530e0544c883903c3ca;sha256=0783067dafaf54042f2c9906b63ab841ac61f8357896a2e99fe69aa84e2abdf6;git_blob=9db9100deda8f25a8dde3e3deda633e0dfb2c338,,,,,,,,,,,2026-09-16,second,,,,,,,45278 bytes,,,,,,,,archives,git -C repo show 17539bac0dfa40ba8b93d530e0544c883903c3ca:figures/metr-01b-money-that-doesnt-show-up-with-anthropic.html | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/17539bac0dfa40ba8b93d530e0544c883903c3ca/figures/metr-01b-money-that-doesnt-show-up-with-anthropic.html,sha256=0783067dafaf54042f2c9906b63ab841ac61f8357896a2e99fe69aa84e2abdf6,2026-09-16T12:19:41Z,current sha256=0783067dafaf54042f2c9906b63ab841ac61f8357896a2e99fe69aa84e2abdf6 git_blob=9db9100deda8f25a8dde3e3deda633e0dfb2c338 bytes=45278 commit=17539bac0dfa40ba8b93d530e0544c883903c3ca,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01b-money-that-doesnt-show-up-with-anthropic.html-current-17539ba-hash-receipt-20260916T121941Z.txt; Current HEAD of frozen clone repo/. BASELINE.json public_clone.figure_html_sha256 cited as re-check for html only. This-run recompute. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
A09,A,MDP,C10.E1,posted figures/metr-01b-money-that-doesnt-show-up-with-anthropic.png at f64df65,,,posted;f64df65a16400fd88a77536111851695acc9a928;sha256=2a39df311cd6e06c9011d2c4aecd43628ccb310a7b464aa820e72f68e70f2df7;git_blob=f0fcd706bbdc22ede56fb3c038b2835d1d46cf50,,,,,,,,,,,2026-09-16,second,,,,,,,2856285 bytes,,,,,,,,archives,git -C repo show f64df65a16400fd88a77536111851695acc9a928:figures/metr-01b-money-that-doesnt-show-up-with-anthropic.png | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/f64df65a16400fd88a77536111851695acc9a928/figures/metr-01b-money-that-doesnt-show-up-with-anthropic.png,sha256=2a39df311cd6e06c9011d2c4aecd43628ccb310a7b464aa820e72f68e70f2df7,2026-09-16T12:19:41Z,posted sha256=2a39df311cd6e06c9011d2c4aecd43628ccb310a7b464aa820e72f68e70f2df7 git_blob=f0fcd706bbdc22ede56fb3c038b2835d1d46cf50 bytes=2856285 commit=f64df65a16400fd88a77536111851695acc9a928,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01b-money-that-doesnt-show-up-with-anthropic.png-posted-f64df65-hash-receipt-20260916T121941Z.txt; Already-held research/BASELINE.json posted hashes cited as re-check not a new discovery. This-run git show | sha256sum. Posted commit never replaced by current. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
A10,A,MDP,C10.E1,current figures/metr-01b-money-that-doesnt-show-up-with-anthropic.png at 17539ba,,,current;17539bac0dfa40ba8b93d530e0544c883903c3ca;sha256=dc60db6e6c33a626a5f3f6546ceae6cc85e6041ea950570e2647e6beabd97a8d;git_blob=31d01f92555b6a80c93d9c73bf23a618aec92a6b,,,,,,,,,,,2026-09-16,second,,,,,,,2866217 bytes,,,,,,,,archives,git -C repo show 17539bac0dfa40ba8b93d530e0544c883903c3ca:figures/metr-01b-money-that-doesnt-show-up-with-anthropic.png | sha256sum,https://github.com/kevinnbass/metr-money-figure/blob/17539bac0dfa40ba8b93d530e0544c883903c3ca/figures/metr-01b-money-that-doesnt-show-up-with-anthropic.png,sha256=dc60db6e6c33a626a5f3f6546ceae6cc85e6041ea950570e2647e6beabd97a8d,2026-09-16T12:19:41Z,current sha256=dc60db6e6c33a626a5f3f6546ceae6cc85e6041ea950570e2647e6beabd97a8d git_blob=31d01f92555b6a80c93d9c73bf23a618aec92a6b bytes=2866217 commit=17539bac0dfa40ba8b93d530e0544c883903c3ca,1,,"Binary figures quoted from hash-receipt text, not image OCR. GitHub blob URL names the public object; bytes hashed from the frozen clone.",primary=metr-01b-money-that-doesnt-show-up-with-anthropic.png-current-17539ba-hash-receipt-20260916T121941Z.txt; Current HEAD of frozen clone repo/. BASELINE.json public_clone.figure_html_sha256 cited as re-check for html only. This-run recompute. research/STATE.md read 2026-09-16 before adding facts; C10 still open. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Promoted C01–C09 rows were not recopied as this lane's discoveries.
