# MD22-intermediary-returns.csv; fetch_window=2026-09-16T10:04:18Z/2026-09-16T10:12:54Z; routes=ProPublica API v2 orgs+search; IRS apps.irs.gov/pub/epostcard/990/xml/YYYY/index_YYYY.csv; GivingTuesday gt990datalake-rawdata XML by OBJECT_ID; ProPublica full_text IRS990ScheduleI (Vanguard FY2025 working alternate); IRS TEOS apps.irs.gov/app/eos (expected 403) + form-990-series-downloads + TEOS bulk landing + EO BMF; s3.amazonaws.com/irs-form-990/index_YYYY.csv (expected 404); metr.org/donate,/about; founderspledge.com/grantees/metr; every.org/metr; ev.org; longview.org/organisational-structure; Companies House 14444004, 08565148, 07962181 + Longview AA PDF; Charity Commission search/details; findthatcharity GB-CHC-1149828.json; SEC EFTS; CourtListener; USAspending; Bundesanzeiger; Unternehmensregister; caps_hit=IRS index_2027.csv HTTP 404; https://apps.irs.gov/app/eos/ HTTP 403; https://apps.irs.gov/app/eos/inputEin HTTP 403; https://www.irs.gov/charities-non-profits/tax-exempt-organization-search HTTP 403; https://s3.amazonaws.com/irs-form-990/index_2025.csv HTTP 404; https://s3.amazonaws.com/irs-form-990/index_2026.csv HTTP 404; https://www.every.org/metr HTTP 429; https://www.every.org/ HTTP 429; https://register-of-charities.charitycommission.gov.uk/en/charity-details/?regId=1149828&subId=0 HTTP 404; https://register-of-charities.charitycommission.gov.uk/api/search?term=Effective%20Ventures HTTP 404; https://apps.charitycommission.gov.uk/Accounts/Ends28/0001149828_AC_20250630_E_C.pdf HTTP 404; https://apps.charitycommission.gov.uk/Accounts/Ends28/0001149828_AC_20240630_E_C.pdf HTTP 404; https://www.philanthropy.org/who-funds HTTP 403; no_kevinnbass_sources=true; public_read_only=true (no email/message/telephone/file/submit/post); money types not summed; legal filers kept distinct (FP Inc vs FP Ltd vs Every Org vs EV USA vs EV UK vs Longview USA vs Longview Inc. Ltd vs DAF sponsors vs DAF accounts vs advisers); overlap with STATE/MD09/MD10/MD11/lineage cited by existing row id and re-fetched this lane; research/STATE.md read before facts
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDS,C02.E3;C02.E5;C06.E1,Founders Pledge Inc TY2020 (2020-01-01 to 2020-12-31) grant schedule vs METR,grantmaker,FP-US; Founders Pledge,EIN 37-1795297; object 202131059349101903,Founders Pledge Inc,Founders Pledge Inc,Model Evaluation and Threat Research,,2020-01-01,2020-12-31,,,,,2020-12-31,year,TY2020 (2020-01-01 to 2020-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202131059349101903; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202131059349101903_public.xml,"<TaxPeriodBeginDt>2020-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>371795297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FOUNDERS PLEDGE INC</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>FOUN</BusinessNameControlTxt>
      <PhoneNum>6465859644</PhoneNum>",2026-09-16T10:04:42Z,none found in Founders Pledge Inc TY2020 (2020-01-01 to 2020-12-31) XML object 202131059349101903 as of 2026-09-16T10:04:42Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",55 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202131059349101903.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11.
2,A,MDS,C02.E3;C02.E5;C06.E1,Founders Pledge Inc TY2021 (2021-01-01 to 2021-12-31) grant schedule vs METR,grantmaker,FP-US; Founders Pledge,EIN 37-1795297; object 202232349349100823,Founders Pledge Inc,Founders Pledge Inc,Model Evaluation and Threat Research,,2021-01-01,2021-12-31,,,,,2021-12-31,year,TY2021 (2021-01-01 to 2021-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202232349349100823; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202232349349100823_public.xml,"<TaxPeriodBeginDt>2021-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>371795297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FOUNDERS PLEDGE INC</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>FOUN</BusinessNameControlTxt>
      <PhoneNum>6465859644</PhoneNum>",2026-09-16T10:05:37Z,none found in Founders Pledge Inc TY2021 (2021-01-01 to 2021-12-31) XML object 202232349349100823 as of 2026-09-16T10:05:37Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",94 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202232349349100823.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11.
3,A,MDS,C02.E3;C02.E5;C06.E1,Founders Pledge Inc TY2022 (2022-01-01 to 2022-12-31) grant schedule vs METR,grantmaker,FP-US; Founders Pledge,EIN 37-1795297; object 202301999349100115,Founders Pledge Inc,Founders Pledge Inc,Model Evaluation and Threat Research,,2022-01-01,2022-12-31,,,,,2022-12-31,year,TY2022 (2022-01-01 to 2022-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202301999349100115; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202301999349100115_public.xml,"<TaxPeriodBeginDt>2022-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>371795297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FOUNDERS PLEDGE INC</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>FOUN</BusinessNameControlTxt>
      <PhoneNum>6465859644</PhoneNum>",2026-09-16T10:06:22Z,none found in Founders Pledge Inc TY2022 (2022-01-01 to 2022-12-31) XML object 202301999349100115 as of 2026-09-16T10:06:22Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16","61 grant-schedule rows scanned. ARC-only line(s) kept on ARC, not typed as METR: ALIGNMENT RESEARCH CENTER Amt 2179000 purpose . Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.",This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202301999349100115.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11.
4,A,MDS,C02.E3;C02.E5;C06.E1,Founders Pledge Inc TY2023 (2023-01-01 to 2023-12-31) grant schedule vs METR,grantmaker,FP-US; Founders Pledge,EIN 37-1795297; object 202402359349100515,Founders Pledge Inc,Founders Pledge Inc,Model Evaluation and Threat Research,,2023-01-01,2023-12-31,,,,,2023-12-31,year,TY2023 (2023-01-01 to 2023-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202402359349100515; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202402359349100515_public.xml,"<TaxPeriodBeginDt>2023-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>371795297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FOUNDERS PLEDGE INC</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>FOUN</BusinessNameControlTxt>
      <PhoneNum>6465859644</PhoneNum>",2026-09-16T10:07:20Z,none found in Founders Pledge Inc TY2023 (2023-01-01 to 2023-12-31) XML object 202402359349100515 as of 2026-09-16T10:07:20Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16","76 grant-schedule rows scanned. ARC-only line(s) kept on ARC, not typed as METR: ALIGNMENT RESEARCH CENTER Amt 1846000 purpose . Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.",This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202402359349100515.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11.
5,A,MDF,C02.E3;C02.E5;C06.E1,Founders Pledge Inc TY2024 (2024-01-01 to 2024-12-31) grant-schedule cash grant to METR,grantmaker,FP-US; Founders Pledge,EIN 37-1795297; object 202523079349303352,Founders Pledge Inc,Founders Pledge Inc,MODEL EVALUATION AND THREAT RESEARCH INC,intermediary filed grant,2024-01-01,2024-12-31,,filed_grant,184000,USD,2024-12-31,interval,TY2024 (2024-01-01 to 2024-12-31),filed as granted,FUND CHARITABLE ACTIVITIES,,,,,,,,,,,yes,funder filings,GET GT XML 202523079349303352; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523079349303352_public.xml,"<BusinessNameLine1Txt>MODEL EVALUATION AND THREAT RESEARCH INC</BusinessNameLine1Txt>
        </RecipientBusinessName>
        <USAddress>
          <AddressLine1Txt>440 N BARRANCA AVE 3345</AddressLine1Txt>
          <CityNm>COVINA</CityNm>
          <StateAbbreviationCd>CA</StateAbbreviationCd>
  ",2026-09-16T10:07:30Z,1 METR grant-schedule line; CashGrantAmt=184000,1,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",Calendar year of the 990 is not a bank date. Public Schedule B contributor names are RESTRICTED on Form 990. money_type=filed_grant; not summed with recommendations or ledger paid_grant. ,"This-lane re-fetch of held MDF0058 / MD09-sff-tallinn.csv#28 / STATE filed $184,000. Not a new discovery. Primary research/primary/MD22-intermediary-returns/gt-xml-202523079349303352.xml-20260916T100418Z. Filer EIN 37-1795297."
6,A,MDS,C02.E3;C02.E5;C06.E1,Longview Philanthropy USA Inc TY2024 (2024-01-01 to 2024-12-31) grant schedule vs METR,foundation,Longview Philanthropy USA,EIN 93-2664730; object 202503179349304265,Longview Philanthropy USA Inc,Longview Philanthropy USA Inc,Model Evaluation and Threat Research,,2024-01-01,2024-12-31,,,,,2024-12-31,year,TY2024 (2024-01-01 to 2024-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202503179349304265; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503179349304265_public.xml,"<TaxPeriodBeginDt>2024-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>932664730</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>LONGVIEW PHILANTHROPY USA INC</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>LONG</BusinessNameControlTxt>
      <PhoneNum>9145574508<",2026-09-16T10:07:53Z,none found in Longview Philanthropy USA Inc TY2024 (2024-01-01 to 2024-12-31) XML object 202503179349304265 as of 2026-09-16T10:07:53Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",8 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202503179349304265.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11.
7,A,MDS,C02.E3;C02.E5;C06.E1,Every Org TY2020 (2020-01-01 to 2020-12-31) grant schedule vs METR,grantmaker,every.org; Every.org,EIN 61-1913297; object 202141729349100004,Every Org,Every Org,Model Evaluation and Threat Research,,2020-01-01,2020-12-31,,,,,2020-12-31,year,TY2020 (2020-01-01 to 2020-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202141729349100004; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202141729349100004_public.xml,"<TaxPeriodBeginDt>2020-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>611913297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>EVERY ORG</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% TINA ROH</InCareOfNm>
      <BusinessNameControlTxt>EVER</BusinessNameControlTxt>
     ",2026-09-16T10:04:31Z,none found in Every Org TY2020 (2020-01-01 to 2020-12-31) XML object 202141729349100004 as of 2026-09-16T10:04:31Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",10 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202141729349100004.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11.
8,A,MDS,C02.E3;C02.E5;C06.E1,Every Org TY2021 (2021-01-01 to 2021-12-31) grant schedule vs METR,grantmaker,every.org; Every.org,EIN 61-1913297; object 202201479349100500,Every Org,Every Org,Model Evaluation and Threat Research,,2021-01-01,2021-12-31,,,,,2021-12-31,year,TY2021 (2021-01-01 to 2021-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202201479349100500; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202201479349100500_public.xml,"<TaxPeriodBeginDt>2021-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>611913297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>EVERY ORG</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% TINA ROH</InCareOfNm>
      <BusinessNameControlTxt>EVER</BusinessNameControlTxt>
     ",2026-09-16T10:05:35Z,none found in Every Org TY2021 (2021-01-01 to 2021-12-31) XML object 202201479349100500 as of 2026-09-16T10:05:35Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",52 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202201479349100500.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11.
9,A,MDS,C02.E3;C02.E5;C06.E1,Every Org TY2022 (2022-01-01 to 2022-12-31) grant schedule vs METR,grantmaker,every.org; Every.org,EIN 61-1913297; object 202333179349100048,Every Org,Every Org,Model Evaluation and Threat Research,,2022-01-01,2022-12-31,,,,,2022-12-31,year,TY2022 (2022-01-01 to 2022-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202333179349100048; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333179349100048_public.xml,"<TaxPeriodBeginDt>2022-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>611913297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>EVERY ORG</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% TINA ROH</InCareOfNm>
      <BusinessNameControlTxt>EVER</BusinessNameControlTxt>
     ",2026-09-16T10:06:19Z,none found in Every Org TY2022 (2022-01-01 to 2022-12-31) XML object 202333179349100048 as of 2026-09-16T10:06:19Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",98 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202333179349100048.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11.
10,A,MDS,C02.E3;C02.E5;C06.E1,Every Org TY2023 (2023-01-01 to 2023-12-31) grant schedule vs METR,grantmaker,every.org; Every.org,EIN 61-1913297; object 202423199349106002,Every Org,Every Org,Model Evaluation and Threat Research,,2023-01-01,2023-12-31,,,,,2023-12-31,year,TY2023 (2023-01-01 to 2023-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202423199349106002; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423199349106002_public.xml,"<TaxPeriodBeginDt>2023-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>611913297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>EVERY ORG</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% TINA ROH</InCareOfNm>
      <BusinessNameControlTxt>EVER</BusinessNameControlTxt>
     ",2026-09-16T10:07:27Z,none found in Every Org TY2023 (2023-01-01 to 2023-12-31) XML object 202423199349106002 as of 2026-09-16T10:07:27Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16","223 grant-schedule rows scanned. ARC-only line(s) kept on ARC, not typed as METR: ALIGNMENT RESEARCH CENTER Amt 223805 purpose . Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.",This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202423199349106002.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11.
