# fetch_window_utc=2026-09-16T09:56:29Z/2026-09-16T10:05:24Z
# routes_used=TED daily XML package https://ted.europa.eu/packages/daily/202500249 (OJ S 249/2025 member 00864574_2025.xml); TED notice XML/HTML/PDF https://ted.europa.eu/en/notice/864574-2025/* (HTTP 202 WAF); TED API POST https://api.ted.europa.eu/v3/notices/search (winner-name, FT~, publication-number, combined fields); TED HTML search result; related notice 450513-2025 XML; EU FTS help.html + 2025_FTS_dataset_en.csv + 2024_FTS_dataset_en.csv; metr.org/about; Commission how-access-commission-documents_en; EASE https://ec.europa.eu/transparency/documents-request/home and https://www.ec.europa.eu/transparency/documents-request; Funding & Tenders tender-details EC-CNECT/2025/OP/0032; eTendering cft-search; Wayback 2024* and r.jina.ai fallbacks for the WAF'd notice XML; research/STATE.md read-only before facts; seed MDF0017 / TED 864574-2025 locators only
# caps_hit=TED per-notice XML/HTML/PDF/html-direct HTTP 202 empty or challenge x-amzn-waf-action=challenge; TED HTML search HTTP 202; TED XML/PDF for 272332-2025 and 476039-2025 HTTP 202; TED GET /v3/notices/864574-2025/export 400; r.jina.ai TED XML 403; Wayback 2024* calendar shell / id_ 404 (no raw XML capture); Funding & Tenders tender-details HTTP 404; eTendering cft-search HTTP 404; Commission access-documents-privacy-statement_en HTTP 404; EUR-Lex CELEX 32001R1049 HTTP 202; EASE portal is a JS shell (title only); live TED 864574 HTML is WAF'd (daily-package XML used)
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; seed MDF0017 / STATE procurement notes and TED 864574-2025 / contract 4500137790 / EquiStamp-led LOT-0003 were locators only and were not copied as this lane's discovery; live TED daily-package XML HTTP 200 and FTS 2025 CSV were re-fetched this run
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDF,C06.E3,TED contract award notice 864574-2025 LOT-0003 to EquiStamp/METR/Epoch consortium,recipient,"METR; Model Evaluation and Threat Research, Inc.",864574-2025; LOT-0003; CON-0003; 4500137790; EC-CNECT/2025/OP/0032-LOT-3; TEN-0003,"European Commission, DG CNECT - Communications Networks, Content and Technology (CNECT.A Artificial Intelligence Office / CNECT.A.3 Artificial Intelligence Safety)",,"EquiStamp Inc. (ORG-0009, group leader); Model Evaluation and Threat Research, Inc. (ORG-0010); Epoch Artificial Intelligence, Inc. (ORG-0011)",contract,2025-12-15,2028-12-14,in_kind_contracts,contract,1167484,EUR,2025-12-15,day,contract IssueDate 2025-12-15; planned duration 36 months; FTS project end 14/12/2028,awarded; FTS 2025 consumed amount 0.00; a commitment is not a payment,Loss of Control Risk Modelling and Evaluation; AI Act technical assistance for AI safety,EC-CNECT/2025/OP/0032 LOT-0003; Digital Europe Programme (DIGITALEU),,,,,,,,,,award notice; signed contract text unpublished,procurement records,GET https://ted.europa.eu/en/notice/864574-2025/xml HTTP 202 WAF; GET https://ted.europa.eu/packages/daily/202500249 member 20251226_249/00864574_2025.xml; locator TED 864574-2025 / seed MDF0017 not copied,https://ted.europa.eu/packages/daily/202500249,"<cbc:PayableAmount currencyID=""EUR"">1167484</cbc:PayableAmount>",2026-09-16T10:05:19Z,LOT-0003 payable amount 1167484 EUR; contract id 4500137790; award 2025-11-28; conclusion 2025-12-15,1,signed contract 4500137790 via Commission ATD (Task D); FTS 2025 EquiStamp row A03,"Amount is EUR not USD and is the lot/consortium tender total, not METR's share. Not converted. Not summed with LOT-0004 or other lots. Award is not a receipt. Notice-level total-value 7373017.5 EUR on the TED API is the six-lot sum and is not this row's amount.","Live GET https://ted.europa.eu/en/notice/864574-2025/xml returned HTTP 202 empty x-amzn-waf-action=challenge (saved ted-notice-864574-2025-xml-HTTP202-20260916T095638Z.hdr). Official TED daily XML package OJ S 249/2025 GET https://ted.europa.eu/packages/daily/202500249 HTTP 200 gzip sha256=e3deb2ffa9c9098b52d07c489b94aaaa479afee1b56efcb1696bb211eb45f725 extracted member 20251226_249/00864574_2025.xml SHA-256=373117f2140008fce88d4e341d4f4983643510d618ca6972a99ab730985f1b48 bytes=90547 saved ted-notice-864574-2025-xml-from-daily-package-20260916T100519Z.xml. Buyer official name: European Commission, DG CNECT. Department CNECT.A AI Office / CNECT.A.3 AI Safety. Legal contractor named as tender identifier EquiStamp Inc.; METR is a named winner/tenderer not the group leader (Task B). Seed MDF0017 / STATE procurement notes (TED 864574-2025, contract 4500137790, EquiStamp-led LOT-0003) were locators only; this row is from the re-fetch. research/STATE.md read before adding facts. no_kevinnbass_sources."
A02,A,MDE,C06.E3,Contracting authority on TED 864574-2025: European Commission DG CNECT / AI Office department,grantmaker,European AI Office; DG CNECT; CNECT.A; CNECT.A.3,ORG-0001; TED 864574-2025; LOT-0003; 4500137790,"European Commission, DG CNECT - Communications Networks, Content and Technology",,LOT-0003 tendering party TPA-0009,contracting authority,,,,,,EUR,2025-12-15,day,contract IssueDate 2025-12-15; planned duration 36 months,,,,,,,,,,,,,,procurement records,TED daily-package XML 00864574_2025.xml cac:PartyName ORG-0001; cbc:Department,https://ted.europa.eu/packages/daily/202500249,"CNECT.A - Artificial Intelligence Office,CNECT.A.3 - Artificial Intelligence Safety",2026-09-16T10:05:19Z,"Buyer European Commission DG CNECT; department CNECT.A Artificial Intelligence Office and CNECT.A.3 Artificial Intelligence Safety; legal contractors on LOT-0003 are EquiStamp Inc. (leader), Model Evaluation and Threat Research, Inc., Epoch Artificial Intelligence, Inc.; lot value 1167484 EUR",1,,"European Commission, DG CNECT, and the AI Office department are not merged into one legal payer beyond what the notice prints.","Same XML SHA-256=373117f2140008fce88d4e341d4f4983643510d618ca6972a99ab730985f1b48. Official name: European Commission, DG CNECT - Communications Networks, Content and Technology. Street Rue de la Loi 200, Brussels. organisation-identifier-buyer=COM on TED API combined fields."
A03,A,MDF,C06.E3,FTS 2025 names EQUISTAMP INC. as beneficiary of legal commitment 4500137790 (same LOT-0003 contract); METR not named,recipient,EquiStamp Inc.; EQUISTAMP INC.,4500137790.00010; registration 2615985,"CNECT - Directorate-General for Communications Networks, Content and Technology",,EQUISTAMP INC.,contract,2025-12-15,2028-12-14,in_kind_contracts,contract,1167484,EUR,2025-12-15,day,FTS project start 15/12/2025 end 14/12/2028,"commitment total 1,167,484.00 EUR; commitment consumed amount 0.00",AI SAFETY TOOLS: LOSS OF CONTROL RISK MODELLING AND EVALUATION,Digital Europe Programme; budget line 02 04 03 Artificial intelligence,,,,,,,,,,FTS commitment line; METR not the named beneficiary,procurement records,GET 2025_FTS_dataset_en.csv; filter EquiStamp|4500137790|Model Evaluation and Threat Research|METR,https://ec.europa.eu/budget/financial-transparency-system/download/2025_FTS_dataset_en.csv,"it is possible that only the invoicing party is displayed, even if there are multiple beneficiaries who are all jointly and severally liable towards the EU for the performance of the underlying contract",2026-09-16T09:59:05Z,1 FTS row for 4500137790 naming EQUISTAMP INC. only; 0 rows naming Model Evaluation and Threat Research / METR / Epoch AI,1,FTS does not name consortium members; TED XML does (A01/B01),"FTS attributes the full lot amount to EquiStamp as invoicing party. This is the same EUR 1,167,484 as TED LOT-0003, not an additional amount and not METR's share. Consumed=0 is not a payment.","Excerpt SHA-256=e88ca1ddab8543cd0cd3be00d7e481bb74605373d803b9ea4111377effd1c6ee saved fts-2025-equistamp-excerpt-20260916T095905Z.csv. Full dataset sha256=ee49213d74b6bca65d3c2b7c546b1301d546009c0135f35f3c12c3627d5d0f94 bytes=75991517 (scratch only; receipt fts-2025-dataset-search-receipt-20260916T095905Z.txt). EquiStamp Inc. is a separate legal entity from Model Evaluation and Threat Research, Inc. LOT-0004 EquiStamp 881345 EUR (4500135281) is a different lot and is not this METR award."
A04,A,MDP,C06.E3,"METR about page names a European AI Office technical-assistance contract without award id, value or share",recipient,METR,sha256=3554d40c983c85bbc1a00ee005468e220ca10349291ebd85572703bb5c78577f,European AI Office,,METR,self-described contract income,,,,contract,,,,,,,,,,,,,,,,,,no,issuer statements,GET https://metr.org/about funding paragraph,https://metr.org/about,"Additionally, a small part of our income is from a technical assistance contract with the European AI Office, supporting their approach and technical methods for assessing loss of control risks.",2026-09-16T09:58:45Z,"issuer names the contract class; none found in https://metr.org/about as of 2026-09-16T09:58:45Z for TED reference number, contracting-authority legal name, legal contractor, EUR value, currency figure, period, or METR share",1,TED XML 864574-2025 via daily package (A01),About-page wording is not the award instrument. 'a small part of our income' is not an amount.,Live HTML HTTP 200 SHA-256=3554d40c983c85bbc1a00ee005468e220ca10349291ebd85572703bb5c78577f saved metr-org-about-20260916T095845Z.html. Seed MDF0017 cited this URL; this lane re-fetched it and did not copy the seed quote as discovery.
A05,A,MDS,C06.E3,TED expert-search API winner-name Model Evaluation and Threat Research returns only notice 864574-2025,,"METR; Model Evaluation and Threat Research, Inc.","winner-name=""Model Evaluation and Threat Research""; 864574-2025; LOT-0003; 4500137790","European Commission, DG CNECT - Communications Networks, Content and Technology",,"Model Evaluation and Threat Research, Inc. (named winner on 864574-2025; not the sole contractor)",,,,,,,EUR,2025-12-26,day,notice publication-date 2025-12-26; contract IssueDate 2025-12-15; planned duration 36 months,,,,,,,,,,,,,,procurement records,"POST https://api.ted.europa.eu/v3/notices/search query winner-name=""Model Evaluation and Threat Research"" scope=ALL",https://api.ted.europa.eu/v3/notices/search,"""publication-number"":""864574-2025""",2026-09-16T09:58:32Z,"totalNoticeCount=1 publication-number=864574-2025 buyer=European Commission DG CNECT; named winners include EquiStamp Inc., Model Evaluation and Threat Research, Inc., Epoch Artificial Intelligence, Inc.; lot value 1167484 EUR on XML LOT-0003 (not returned as a per-lot field by this winner-name search)",1,,"Expert-search winner-name is not a full-text guarantee of every historical notice format. Related procedure notices 272332-2025, 450513-2025, 476039-2025 are the same call but are not additional METR awards. winner-name lists all lots' winners together and does not by itself give METR's share or group-lead role.",API JSON SHA-256=2ccd7be6481af0f491026b9629b8d927dce7bc93e6fbdd9c60ce2a563ad4db40 saved ted-api-winner-name-Model-Evaluation-20260916T095832Z.json. Procedure FT~ EC-CNECT/2025/OP/0032 total=4 notices (call + award) SHA-256=ad42a3d2c42a5e844b5a5341ead316c8f870b526a152ceb6122aa0d525e9ce55 saved ted-api-FT-EC-CNECT-2025-OP-0032-20260916T095840Z.json. Combined fields ojs-number=249/2025 notice-type=can-standard form-type=result title-lot LOT-0003=Loss of Control Risk Modelling and Evaluation saved ted-api-864574-combined-20260916T100350Z.json.
B01,B,MDP,C06.E3,LOT-0003 consortium composition and METR role: EquiStamp group leader; METR and Epoch not group leaders; METR share not disclosed,recipient,"METR; Model Evaluation and Threat Research, Inc.","TPA-0009; ORG-0009 EquiStamp Inc.; ORG-0010 Model Evaluation and Threat Research, Inc.; ORG-0011 Epoch Artificial Intelligence, Inc.","European Commission, DG CNECT",,"tendering party TPA-0009 (three legal entities, unmerged)",consortium award,,,,contract,1167484,EUR,2025-12-15,day,,,,,,,,,,,,,,consortium named; shares not stated,procurement records,TED XML efac:TenderingParty TPA-0009 / efac:Tenderer GroupLeadIndicator; PartyName ORG-0009/0010/0011,https://ted.europa.eu/packages/daily/202500249,"<efbc:GroupLeadIndicator>true</efbc:GroupLeadIndicator>
              </efac:Tenderer>
              <efac:Tenderer>
                <cbc:ID>ORG-0010</cbc:ID>
                <efbc:GroupLeadIndicator>false</efbc:GroupLeadIndicator>",2026-09-16T10:05:19Z,"composition EquiStamp Inc. (leader) + Model Evaluation and Threat Research, Inc. + Epoch Artificial Intelligence, Inc.; METR role=tenderer GroupLeadIndicator=false; METR share not disclosed in this document",1,consortium agreement / signed contract 4500137790 (unpublished; Task D),"The 1,167,484 EUR figure is the lot tender total. No percentage or EUR share for METR appears in the notice. Do not infer METR's share as 1/3.","ORG-0010 official name Model Evaluation and Threat Research, Inc.; CompanyID 3032753; Covina. ORG-0011 Epoch Artificial Intelligence, Inc. SHA-256=373117f2140008fce88d4e341d4f4983643510d618ca6972a99ab730985f1b48. Share is not disclosed. EquiStamp Inc., Model Evaluation and Threat Research, Inc., and Epoch Artificial Intelligence, Inc. are kept unmerged."
B02,B,MDP,C06.E3,LOT-0003 subcontracting flagged yes; subcontract value and percentage not known on the notice,,,TEN-0003 SubcontractingTerm,,,,,,,,contract,,EUR,,,,,,,,,,,,,,,,,procurement records,TED XML efac:LotTender TEN-0003 efac:SubcontractingTerm,https://ted.europa.eu/packages/daily/202500249,"<efbc:PercentageKnownIndicator>false</efbc:PercentageKnownIndicator>
                <efbc:ValueKnownIndicator>false</efbc:ValueKnownIndicator>",2026-09-16T10:05:19Z,subcontracting applicability=yes; PercentageKnownIndicator=false; ValueKnownIndicator=false; METR share still not disclosed,1,,Unknown subcontracting figures are not METR's consortium share. They are a separate undisclosed field.,Same XML SHA-256=373117f2140008fce88d4e341d4f4983643510d618ca6972a99ab730985f1b48. Tender reference on TEN-0003 is EquiStamp Inc.
B03,B,MDP,C06.E3,FTS 2025 does not list METR on 4500137790 and states consortium members may be omitted in favour of the invoicing party,,,,CNECT,,EQUISTAMP INC.,,,,,contract,1167484,EUR,,,,,,,,,,,,,,,,,procurement records,2025_FTS_dataset_en.csv row Reference (Budget)=4500137790.00010 field Source of (estimated) detailed amount,https://ec.europa.eu/budget/financial-transparency-system/download/2025_FTS_dataset_en.csv,"it is possible that only the invoicing party is displayed, even if there are multiple beneficiaries who are all jointly and severally liable towards the EU for the performance of the underlying contract",2026-09-16T09:59:05Z,METR share not disclosed in FTS; FTS names only EQUISTAMP INC. for this commitment,1,,FTS is not evidence that EquiStamp received the money alone. It is evidence FTS displayed the invoicing party.,"Excerpt SHA-256=e88ca1ddab8543cd0cd3be00d7e481bb74605373d803b9ea4111377effd1c6ee. Keep EquiStamp, METR, and Epoch unmerged."
C01,C,MDS,C06.E3,Archived TED 864574-2025 ContractAwardNotice XML via TED daily package OJ S 249/2025 (live notice XML HTTP 202 WAF),,,sha256=373117f2140008fce88d4e341d4f4983643510d618ca6972a99ab730985f1b48,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,GET https://ted.europa.eu/packages/daily/202500249 ; extract 20251226_249/00864574_2025.xml,https://ted.europa.eu/packages/daily/202500249,"Model Evaluation and Threat Research, Inc.",2026-09-16T10:05:19Z,archived ted-notice-864574-2025-xml-from-daily-package-20260916T100519Z.xml sha256=373117f2140008fce88d4e341d4f4983643510d618ca6972a99ab730985f1b48 bytes=90547 from daily package HTTP 200; live notice XML HTTP 202,1,,,Primary relied on for Tasks A-B. Package receipt ted-daily-package-202500249-receipt-20260916T100524Z.txt sha256=c4a29808f7bf874ac3d7e3ffed17c9c2304009a5034b5f5d32ec54b47146e978. Live notice URL https://ted.europa.eu/en/notice/864574-2025/xml WAF-capped (C02/C03/E07).
C02,C,MDS,C06.E3,Archived TED 864574-2025 HTML viewer GET returned HTTP 202 WAF challenge,,,sha256_hdr=31db2419b37b718539c7e5ce8df4142045d7d20ac3c867589db38451ff6b7186; sha256_body=9929131a640ced8c36c12ee8ec8f5049125f9efbb9984c96fc83d3aef2f5ea3d,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,GET https://ted.europa.eu/en/notice/-/detail/864574-2025,https://ted.europa.eu/en/notice/-/detail/864574-2025,x-amzn-waf-action: challenge,2026-09-16T09:56:54Z,none found in https://ted.europa.eu/en/notice/-/detail/864574-2025 as of 2026-09-16T09:56:54Z: HTTP 202 x-amzn-waf-action=challenge (2036-byte challenge body) sha256_hdr=31db2419b37b718539c7e5ce8df4142045d7d20ac3c867589db38451ff6b7186 sha256_body=9929131a640ced8c36c12ee8ec8f5049125f9efbb9984c96fc83d3aef2f5ea3d,0,,"Empty/challenge 202 is a fetch cap, not proof the notice lacks winner names. Award body taken from the daily-package XML (C01).",Saved ted-notice-864574-2025-html-HTTP202-20260916T095654Z.bin/.hdr. Direct html path also HTTP 202.
C03,C,MDS,C06.E3,Archived TED 864574-2025 PDF GET returned HTTP 202 WAF challenge,,,sha256_hdr=7e3e60b28a863c2129bb2f79b2676e63444db45671796a08eaa0a6916740f2b6; sha256_body=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,GET https://ted.europa.eu/en/notice/864574-2025/pdf,https://ted.europa.eu/en/notice/864574-2025/pdf,x-amzn-waf-action: challenge,2026-09-16T09:57:10Z,none found in https://ted.europa.eu/en/notice/864574-2025/pdf as of 2026-09-16T09:57:10Z: HTTP 202 content-length 0 x-amzn-waf-action=challenge sha256_hdr=7e3e60b28a863c2129bb2f79b2676e63444db45671796a08eaa0a6916740f2b6 sha256_body=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,,,pdfs path also HTTP 202. Structured field quotes are taken from the daily-package XML (C01) of the same notice.
