# fetch_window_utc=2026-09-16T09:19:15Z/2026-09-16T09:37:57Z
# routes_used=metr.org/about; metr.org/blog/2026-08-14-funding-update/; metr.org/coi-policy.pdf; metr.org/blog/2026-05-19-frontier-risk-report/ + metr.org/risk-report-feb-mar-2026.pdf; metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/ + metr.org/hugging-face-incident-report-aug-2026.pdf; metr.org/blog/2026-06-26-gpt-5-6-sol/; metr.org/evaluations/gpt-5-report/; openai-o1-preview-report/; openai-o3-report/; gpt-5-1-codex-max-report/; metr.org/blog/2025-02-27-gpt-4-5-evals/; metr.org/blog/2026-03-12-sabotage-risk-report-opus-4-6-review/ + review PDF; metr.org/blog/2026-03-25-red-teaming-anthropic-agent-monitoring/; metr.org/blog/2026-02-17-how-we-protect-confidential-information/; metr.org/research; metr.org/blog/; metr.org/evaluations/ (redirect); metr.org/risk-assessment/; metr.org/sitemap.xml; metr.org/2024-annual-report.pdf; metr.org/faisc (redirect); Anthropic alignment-assessment-cybersecurity-incidents + news/investigating-incidents-cybersecurity-evals; OpenAI cdn/deploymentsafety system cards (GPT-4, o1, GPT-4.5, o3/o4-mini, GPT-5, GPT-5.6, Codex-Max) and HF incident PDF; Anthropic Claude 2, Mythos Preview, Mythos 5.1 cards; Amazon arXiv 2507.06260 and 2601.19134; aievaluatorforum.org/initiatives/minimum-operating-conditions + AEF-1 PDF; Wayback CDX metr.org/*agreement* and /*nda*; Wayback 2024 openai.com/index/early-access-for-safety-testing/; github.com/AI-Evaluator-Forum; metr.org/blog/2025-10-23-gpt-oss-methodology-review/
# caps_hit=metr.org/evaluations/ and /faisc are relative-refresh redirects (canonical /risk-assessment/ and /fsp fetched); guessed sci-comm blog URL 404; aievaluatorforum.org/aef-1 and /aef1 HTTP 404 (PDF at /AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf); openai.com/index/early-access-for-safety-testing/ HTTP 403 (Wayback 2024 used); r.jina.ai HTTP 403 on aef forum and confidentiality post; Wayback CDX metr.org/*nda* and metr.org/coi-policy.pdf HTTP 503; github.com/AI-Evaluator-Forum HTTP 404
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; already-held seed/locator facts on free tokens, API credits, and the Frontier Risk Report disclosure were re-verified against this-run primaries and are not re-collected as new discoveries
# no_motive_assertions; no_kevinnbass_sources; legal entities unmerged (ARC is not METR; Epoch AI is not METR); free tokens/credits are not cash and are not summed; a term from one engagement is never copied onto another
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDI,C04.E2,"Frontier Risk Report pilot: API access with chain-of-thought, rate limits, ZDR request",project,FRR; AEF-1 pilot,metr.org/risk-report-feb-mar-2026.pdf,Anthropic; Google DeepMind; Meta; OpenAI,,METR,nonpublic model access for industry-level assessment,2026-02-16,2026-03-16,,,,,2026-05-19,day,"Feb 16, 2026 – Mar 16, 2026 assessment window",,,"METR Frontier Risk Report, February–March 2026",Anthropic; Google DeepMind; Meta; OpenAI,API access with chain-of-thought visibility,"requested rate limits of at least 4M input tokens/min, 1M output tokens/min, 1K requests/min",API access with chain-of-thought visibility; ZDR if possible; companies not permitted to train on evaluation tasks,,,,,,,project documents,GET https://metr.org/risk-report-feb-mar-2026.pdf,https://metr.org/risk-report-feb-mar-2026.pdf,"API access with chain-of-thought visibility, so that we could examine the model's reasoning during evaluations and test chain-of-thought monitoring.",2026-09-16T09:30:49Z,query access and CoT requested of each FRR participant; complimentary access stated in AEF-1 table,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,Which company shared which internal model is not identified in the public report.,"Re-verified this run against the saved primary; STATE.md seed/locator (free tokens, API credits, FRR disclosure) not re-collected as a new discovery. no_kevinnbass_sources. research/STATE.md read before adding facts. Access terms are those of this FRR engagement only; not copied onto later investigations. primary=metr-org-frr-pdf-20260916T093049Z.pdf"
A02,A,MDI,C04.E2,FRR participants named and complimentary model access,project,,,Anthropic; Google; Meta; OpenAI,,METR,,2026-02-16,2026-03-16,,,,,2026-05-19,day,,,,"METR Frontier Risk Report, February–March 2026",Anthropic; Google; Meta; OpenAI,complimentary model access,,Participants provided complimentary access to their models,,,,,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/,https://metr.org/blog/2026-05-19-frontier-risk-report/,"All participants (Anthropic, Google, Meta, and OpenAI) stated that the model(s) they shared represented their internal state-of-the-art at some point in the mid-February to mid-March 2026 assessment window.",2026-09-16T09:19:28Z,four named participants; complimentary access in AEF-1 2.1 notes,4,https://metr.org/risk-report-feb-mar-2026.pdf,"Amazon is not named as an FRR participant on this page. xAI is named among companies invited in the PDF, not as a remaining participant.","Re-verified this run against the saved primary; STATE.md seed/locator (free tokens, API credits, FRR disclosure) not re-collected as a new discovery. no_kevinnbass_sources. research/STATE.md read before adding facts. Locator: STATE.md FRR disclosure. Re-verified this fetch. primary=metr-org-frontier-risk-report-20260916T091928Z.html"
A03,A,MDI,C04.E2,"OpenAI/Hugging Face investigation: message-board dump, transcripts, Sol credits, on-premises days",project,,,OpenAI,Redwood Research (Ryan Greenblatt contracting with METR),METR,incident investigation access,2026-06-26,2026-07-13,,in_kind_estimate,400000,USD,2026-08-26,day,"OpenAI-defined investigation period June 26–July 13, 2026; six days on premises",,,OpenAI / Hugging Face incident investigation,OpenAI,message-board dump; transcripts; free API credits; on-premises access,~1.2 million message-board entries; ~1300 transcripts; ~$400K API credits (METR estimate); six days on premises,OpenAI defined the investigation period; HPIM query withheld; datasets by request,,,,,,,project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"OpenAI provided us with the dump of ~1.2 million entries from the main message board and the dataset of ~1300 transcripts we describe below, as well as free API credits for GPT-5.6 Sol for analysis.",2026-09-16T09:19:59Z,access as described; credits are in_kind_estimate not cash; not summed with any money total,1,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,Investigation period start date rests on an OpenAI statement METR could not independently confirm (report fn42).,"Re-verified this run against the saved primary; STATE.md seed/locator (free tokens, API credits, FRR disclosure) not re-collected as a new discovery. no_kevinnbass_sources. research/STATE.md read before adding facts. Seed MDI0002/K04–K05 were locators only. Terms of this investigation are not copied onto Anthropic's later agreement. primary=metr-org-hf-incident-report-pdf-20260916T091959Z.pdf"
A04,A,MDI,C04.E2,HF investigation: HPIM query withheld; no direct infrastructure access,,,,OpenAI,,METR,,,,,,,,2026-08-26,day,,,,OpenAI / Hugging Face incident investigation,OpenAI,withheld model query (HPIM); request-based datasets,,no HPIM query; no direct OpenAI-infrastructure access; additional datasets on request,,,,,,,project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf,https://metr.org/hugging-face-incident-report-aug-2026.pdf,We did not have the ability to query HPIM (the primary model involved in this incident); OpenAI stated it was also not available to OpenAI researchers.,2026-09-16T09:19:59Z,"HPIM withheld from METR and, per OpenAI, from OpenAI researchers",1,,Completeness of transcripts rests on OpenAI attestation plus METR inspection.,"Re-verified this run against the saved primary; STATE.md seed/locator (free tokens, API credits, FRR disclosure) not re-collected as a new discovery. no_kevinnbass_sources. research/STATE.md read before adding facts. primary=metr-org-hf-incident-report-pdf-20260916T091959Z.pdf"
A05,A,MDI,C04.E2,GPT-5.6 Sol pre-deployment evaluation: final and railfree checkpoints plus raw CoT via API,,,,OpenAI,,METR,,,,,,,,2026-06-26,day,,,,GPT-5.6 Sol evaluation,OpenAI,API access to final and railfree checkpoints; raw chain-of-thought via API,,"Access to GPT-5.6 Sol, both the final checkpoint and a railfree version, via API; raw chain-of-thought via API; Codex harness setup guide; updated FRR questionnaire answers",,,,,,,project documents,GET https://metr.org/blog/2026-06-26-gpt-5-6-sol/,https://metr.org/blog/2026-06-26-gpt-5-6-sol/,"For this evaluation, OpenAI provided: Access to GPT-5.6 Sol, both the final checkpoint and a ‘railfree’ version, via API Access to GPT-5.6 Sol with raw chain-of-thought via API",2026-09-16T09:21:25Z,API + raw CoT + railfree checkpoint as stated on this post,1,https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf,,"Sol access terms are this engagement's. NDA/approval is recorded on Task B from the same post, not copied from GPT-5. primary=metr-org-gpt-5-6-sol-20260916T092125Z.html"
A06,A,MDI,C04.E2,GPT-5 pre-deployment: four weeks' access and some full reasoning traces,,,,OpenAI,,METR,,,,,,,,2025-08-07,day,,,,GPT-5 (gpt-5-thinking) evaluation,OpenAI,pre-release API access; full reasoning traces for some completions; background information,access four weeks prior to release,four weeks prior; full reasoning traces for some completions; requested background information list,,,,,,,project documents,GET https://metr.org/evaluations/gpt-5-report/,https://metr.org/evaluations/gpt-5-report/,We received access to GPT-5 four weeks prior to its release (see METR’s access to GPT-5 for details about our level of access).,2026-09-16T09:21:49Z,"four-week pre-release access plus some reasoning traces, as this report states",1,https://cdn.openai.com/gpt-5-system-card.pdf,,GPT-5 access window is this report's. Not copied onto o3's 15-day or GPT-4.5's 7-day windows. primary=metr-org-gpt-5-report-20260916T092149Z.html
A07,A,MDI,C04.E2,GPT-5.1-Codex-Max: two-week access to an early checkpoint with reasoning traces,,,,OpenAI,,METR,,2025-11-04,2025-11-18,,,,,2025-11-19,day,,,,GPT-5.1-Codex-Max evaluation,OpenAI,early-checkpoint API access; reasoning traces; compaction scaffolding,two weeks; access from November 4th,early checkpoint Nov 4; reasoning-trace endpoint Nov 5; compaction scaffolding available,,,,,,,project documents,GET https://metr.org/evaluations/gpt-5-1-codex-max-report/,https://metr.org/evaluations/gpt-5-1-codex-max-report/,"On November 4th, METR received access to an early checkpoint of GPT-5.1-Codex-Max. On November 5th, METR received access to an endpoint of this early checkpoint with vis",2026-09-16T09:21:59Z,two-week window as this METR report states,1,,Quote truncated at 300 characters at a word boundary inside the Nov 5 sentence.,"Codex-Max dates are this report's, not GPT-5's four weeks. primary=metr-org-gpt-5-1-codex-max-report-20260916T092159Z.html"
A08,A,MDI,C04.E2,o1-mini / o1-preview: API access Aug 28 / Sep 3; evaluations until Sep 9,,,,OpenAI,,METR,,2024-08-28,2024-09-09,,,,,2024-09-12,day,,,,OpenAI o1-preview and o1-mini evaluation,OpenAI,pre-release API access,,o1-mini Aug 28; o1-preview Sep 3; evaluations until Sep 9,,,,,,,project documents,GET https://metr.org/evaluations/openai-o1-preview-report/,https://metr.org/evaluations/openai-o1-preview-report/,"METR received access to OpenAI o1-mini on August 28th and to OpenAI o1-preview on September 3rd, and evaluated these models for autonomous capabilities and AI R&D ability until September 9th.",2026-09-16T09:21:53Z,access dates as this METR report states,1,https://cdn.openai.com/o1-system-card.pdf,This METR report does not state chain-of-thought access for o1-preview (see Task D).,o1 dates are this engagement's. OpenAI card (A row via o1card) independently states o1-preview-early Aug 26. primary=metr-org-o1-preview-report-20260916T092153Z.html
A09,A,MDI,C04.E2,OpenAI o1 system card: METR access dates including o1-preview-early Aug 26,,,,OpenAI,,METR,,2024-08-26,2024-09-09,,,,,2024-09-12,day,,,,OpenAI o1-preview and o1-mini evaluation,OpenAI,pre-release API access,,o1-preview-early Aug 26; o1-mini Aug 28; o1-preview Sep 3; until Sep 9,,,,,,,issuer statements,GET https://cdn.openai.com/o1-system-card.pdf,https://cdn.openai.com/o1-system-card.pdf,"They received access to o1-preview-early on August 26th, o1-mini on August 28th, and o1-preview on September 3rd.",2026-09-16T09:25:18Z,OpenAI card states three access dates; METR's own report omits o1-preview-early,1,https://metr.org/evaluations/openai-o1-preview-report/,,"Issuer statement for this engagement. Difference from METR's report is recorded, not reconciled by inference. primary=openai-o1-system-card-20260916T092518Z.pdf"
A10,A,MDI,C04.E2,o3 / o4-mini: earlier checkpoints three weeks prior plus a subset of internal eval results,,,,OpenAI,,METR,,,,,,,,2025-04-16,day,,,,OpenAI o3 and o4-mini evaluation,OpenAI,pre-release checkpoint access; subset of internal evaluation results,three weeks prior to release (METR); 15 days (OpenAI card),earlier checkpoints; context and technical information; subset of internal benchmark results,,,,,,,project documents,GET https://metr.org/evaluations/openai-o3-report/,https://metr.org/evaluations/openai-o3-report/,"METR received access to earlier checkpoints of o3 and o4-mini from OpenAI three weeks prior to model release. To assist with our evaluations, OpenAI also provided us with some context and technical information about o3 and o4-mini, as well as a subset of the model’s benchmark results from their inte",2026-09-16T09:21:56Z,"three-week pre-release access plus subset of internal results, as this METR report states",1,https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,OpenAI's card says this work spanned 15 days; METR's report says three weeks prior. Both wordings are recorded on their own rows.,"o3 window is this engagement's, not GPT-5's four weeks. primary=metr-org-o3-report-20260916T092156Z.html"
