# fetch_window_utc=2026-09-16T09:43:21Z/2026-09-16T09:52:12Z
# routes_used=metr.org/blog/2026-08-14-funding-update/; metr.org/about; metr.org/donate; metr.org/blog/ plus six other in-window posts; metr.org/blog/2024-10-09-new-support-through-the-audacious-project/; metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/; packard.org grantee page + grant 2026-79050 + grant-directory-pro/v1/grantees + /v1/grants + search?s=METR; survivalandflourishing.fund home + recommendations + 2024/recommendations + 2025/recommendations + sff-2026-recommendations + 2025/further-opportunities + 2026/further-opportunities; coefficientgiving.org/grants/ + /grants?q=METR + staff-suggestions-2025; openphilanthropy.org/grants/?q=METR; Wayback CDX funding-update and about window; Wayback id_ 20260827031340 funding-update; Wayback id_ Open Philanthropy ARC and RAND-Canary grant pages; IRS e-file index_2026.csv streamed grep EIN 991219864; ProPublica org 991219864; RAND 2024-10-09; greaterwrong Barnes comment; USAspending spending_by_award POST grants; grants.gov search-grants.html?keywords=METR; TED 864574-2025 HTML/XML/PDF/jina; jaan.online/philanthropy/donations.csv; givingwhatwecan.org/charities/arc-evals; effektiv-spenden.org/en/safeguarding-the-future/ live + Wayback 20250126120532id_; alignment.org/funding-from-ftx/; futureoflife.org/grant/alignment-research-center/; S3 Efile XML METR/ARC/FoundersPledge/SVCF/Valhalla/HighTide/Vanguard; Wave 1/seed CSVs and research/STATE.md as locators (read, not rewritten)
# caps_hit=Packard grant-directory-pro/v1/search?s=METR empty body 0 bytes; Coefficient /grants/ HTTP 404; Coefficient /grants?q=METR redirect to grants-associate job; openphilanthropy.org/grants/?q=METR redirect to /funds/; TED HTML/XML/PDF HTTP 202 empty body; r.jina.ai TED Cloudflare interstitial; Wayback CDX funding-update HTTP 503 Temporarily Offline (retry 503); Wayback CDX about window HTTP 504; grants.gov HTML is a JS shell; USAspending grants POST HTTP 200 results=[]; Vanguard S3 XML 404; ProPublica Vanguard download-xml 403 Security Check; ProPublica Vanguard full HTML ~50MB render with 0 METR tokens; SFF-2026-recommendations HTTP 404; SFF 2026/further-opportunities HTTP 404; IRS index_2026.csv 385890 rows 0 hits EIN 991219864
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; Wave 1/seed amounts were locators, not copied as this lane's discovery; Task A primary and in-window Packard/SFF/Coefficient/IRS/USAspending/blog/archive routes were re-fetched this lane with new checked_utc (not 2026-09-16T06:…Z)
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
XA05,A,MDP,C01.E1,Wayback id_ capture of the funding-update post (archives class),,,web.archive.org/web/20260827031340id_,,,METR,,,,,commitment,71000000,USD,2026-08-14,day,,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20260827031340id_/https://metr.org/blog/2026-08-14-funding-update/,https://web.archive.org/web/20260827031340id_/https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T09:47:03Z,verbatim sentence present in the 20260827031340id_ capture; live URL was HTTP 200 so live HTML was used for A01,1,,"CDX of this URL returned HTTP 503 this fetch (E09). Capture timestamp is an archive time, not a commitment date. Live URL was not dead; Wayback used here to satisfy the archives class, said so in this note.",Saved wayback-id-funding-update-20260827031340_20260916T094703Z.html SHA-256=3e85688d5321bc59ce77c36a3c48180410cd0fe59039e8c59267149da3843c26. Same sentence as A01. Capture locator 20260827031340 was independently re-fetched; not copied from a sibling checked_utc. [xhigh re-run row A05 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]
XB03,B,MDF,C01.E2,Packard grant-directory-pro API grant 2026-79050 (same award as B01),,,grant_id=2026-79050; grantee_id=30794,The David and Lucile Packard Foundation,,Model Evaluation and Threat Research,,,,,commitment,350000,USD,2026-07-06,day,,not stated on this page,,,,,,,,,,,,,public grant databases,GET https://www.packard.org/wp-json/grant-directory-pro/v1/grants ; match grant_id=2026-79050,https://www.packard.org/wp-json/grant-directory-pro/v1/grants,"""grant_id"": ""2026-79050""",2026-09-16T09:47:03Z,2557 grants in dump; exactly one METR grant grant_id=2026-79050 grant_amount=350000.00 award_term=12 grant_fiscal_year=2026 post_content=for general support,1,,"API listing is not a payment. Same award as B01, not additive.",Full dump packard-api-grants_20260916T094703Z.json SHA-256=9e040b30548b7641dfe33b03592c492612a3ea1f7fae7c739575362e554a74d5. Extract packard-api-grant-2026-79050_20260916T094703Z.json. Grantee object packard-api-grantee-METR_20260916T094322Z.json post_name=model-evaluation-and-threat-research total_grants=1 total_grants_amount=350000 website_url=https://metr.org/. GET search?s=METR empty body (E08). [xhigh re-run row B03 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]
XB05,B,MDS,C01.E2,Bounded negative: other in-window METR blog posts contain no public funding-event amounts,,,,,,METR,,,,,,,,,,derived window approximately 2026-02-14 to 2026-08-14,,,,,,,,,,,,,,issuer statements,GET https://metr.org/blog/ plus GET each in-window href except the 2026-08-14 funding-update: /blog/2026-02-17-how-we-protect-confidential-information/; /blog/2026-03-12-sabotage-risk-report-opus-4-6-review/; /blog/2026-03-25-red-teaming-anthropic-agent-monitoring/; /blog/2026-05-08-rd-section-anthropic-risk-report-feb-2026-review/; /blog/2026-06-26-gpt-5-6-sol/; /blog/2026-07-28-investigating-ai-propensities-after-incidents/,https://metr.org/blog/,Funding update,2026-09-16T09:49:25Z,none found in the six other in-window METR blog posts listed in query_or_endpoint as of 2026-09-16T09:49:25Z,0,https://metr.org/blog/2026-08-14-funding-update/,Blind spot: a funding event could appear in a non-blog METR page or in a post after 2026-08-14 (the 2026-08-26 incident post is after the window). Absence of $-amounts in these six posts is not an unbounded claim that no other public event exists.,"Blog index SHA-256=730fe2a9ade3b1563d65a3c3ee9950cbed1081281609159989c757cb898ccad7 saved metr-blog-index_20260916T094321Z.html. The 2026-08-14 funding-update is Task A, not a second Task B event. Each of the six URLs returned HTTP 200 with no $ / million / grant / commitment / raised tokens in the HTML. Primaries metr-blog_*_20260916T094925Z.html. [xhigh re-run row B05 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]"
XB06,B,MDS,C01.E2,Bounded negative: Jaan Tallinn public donations.csv has no METR disbursement inside the window,,,,Jaan Tallinn,,Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,self-statements,GET https://jaan.online/philanthropy/donations.csv ; filter recipient contains Model Evaluation and Threat Research AND disbursed between 2026-02-14 and 2026-08-14,https://jaan.online/philanthropy/donations.csv,"2024-12-06,FP-US,USD,""184,000"",""$184,000"",Model Evaluation and Threat Research,General support",2026-09-16T09:43:30Z,none found in https://jaan.online/philanthropy/donations.csv for METR disbursed 2026-02-14 to 2026-08-14 as of 2026-09-16T09:43:30Z,0,,"Blind spot: the CSV is Jaan Tallinn's public ledger, not a complete METR receipt book. 2024 METR rows exist and are Task C exclusions (paid_grant, 2024).","SHA-256=57ebf17c5a48ad24184942b81d39685aa34df9ae2b37b39aa39d7cc149f48b8e. Three METR rows in the file are 2024-07-23 $10,000, 2024-07-24 $10,000, 2024-12-06 $184,000, all before the window. Alignment Research Center rows are a separate legal entity and were not treated as METR receipts. Jaan Tallinn the individual is not merged with SFF or Jane Street. [xhigh re-run row B06 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]"
XC02,C,MDP,C01.E2;C01.E3,"Packard $350,000 commitment — three-way compatibility test (not forced in or out)",,,,The David and Lucile Packard Foundation,,Model Evaluation and Threat Research,,,,,commitment,350000,USD,2026-07-06,day,award year 2026; listing 2026-07-06 inside window,not stated on this page,for general support,,,,,,,,,,,,issuer statements,GET https://www.packard.org/grantee/model-evaluation-and-threat-research/,https://www.packard.org/grantee/model-evaluation-and-threat-research/,"1 Grants / $350,000",2026-09-16T09:43:22Z,compatible_entity=yes; compatible_money_type=yes (commitment vs commitment); compatible_period=listing datePublished 2026-07-06 is inside the derived window BUT listing metadata is not an instrument date and award year 2026 is coarser than the window; source_connecting_award_to_denominator_sentence=no. Not forced in as an addend; not forced out as entity/type-incompatible.,1,,"PLAN.md S1 says not to count Packard inside the $71 million unless a source connects it. This lane tests period, entity and money type, not METR allocated Packard into the sentence. Listing date is not an instrument date.",Same award as B01; counted at most once in Task D and only inside the stated range. SHA-256=78ac4a4a48462d8dda06b99db1011f270d257b5ba33d115fe4e2a61d466e6d4e. Packard Foundation is not merged with any other named supporter. Alignment Research Center is not merged. [xhigh re-run row C02 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]
XC05,C,MDP,C01.E3,"ARC Schedule I cash grant $4,477,169 plus non-cash $76,766 (FY2024 spin-off) — excluded",,,,Alignment Research Center,,Model Evaluation and Threat Research Inc,,,,,transfer,4477169,USD,2024-04-30,day,ARC FY2024,,,,,,,,,,,,,,funder filings,GET S3 EfileData XmlFiles/202513219349323246_public.xml ; RecipientEIN 991219864 CashGrantAmt,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml,<CashGrantAmt>4477169</CashGrantAmt>,2026-09-16T09:43:37Z,compatible=no,1,,"A 2024 program spin-off transfer is not a 2026 commitment. Non-cash $76,766 is a different money_type (in_kind_estimate) and is not added here.","Reason: money_type=transfer (and separately in_kind_estimate <NonCashAssistanceAmt>76766</NonCashAssistanceAmt>), not commitment; period <DistributionDt>2024-04-30</DistributionDt> is before the window; entities unmerged. SHA-256=97afc087cee8d792cc8a1e418bcf770dbfffea8c9a2c048181d4e49df1a4d3ac. Cash and non-cash are not summed. [xhigh re-run row C05 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]"
XC16,C,MDP,C01.E3,"Vanguard Charitable Endowment Program filed grant $4,000,000 (FY2025) — excluded (live grant line not recovered this fetch)",,,,Vanguard Charitable Endowment Program,,METR,,,,,filed_grant,4000000,USD,FY2025 (2024-07-01 to 2025-06-30),interval,FY2025 ending 2025-06-30,,,,,,,,,,,,,,DAF sponsor filings,GET ProPublica Schedule I object 202621329349306657; GET S3 XmlFiles/202621329349306657_public.xml; GET ProPublica download-xml,https://projects.propublica.org/nonprofits/organizations/232888152/202621329349306657/IRS990ScheduleI,"Vanguard Charitable Endowment Program - Form 990, Schedule I - Nonprofit Explorer - ProPublica",2026-09-16T09:43:29Z,compatible=no,1,,"Live ProPublica Schedule I HTML is a JS shell without grant rows; gt990datalake S3 XML 404; download-xml 403 Security Check. Amount is a Wave 1/STATE locator (S0-seed-import / MD11), not a line recovered from this fetch's bodies.","Reason: money_type=filed_grant, not commitment; period FY2025 ends 2025-06-30, before approximately 2026-02-14. Do not deanonymize the DAF adviser. This lane does not treat the seed amount as a new discovery. Live fetches saved: schedule I shell, 50MB full render with 0 METR tokens, S3 404, download-xml 403. [xhigh re-run row C16 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]"
XC18,C,MDP,C01.E3,"Effektiv Spenden regrant EUR 128,000 (2023-08) — excluded",,,,Effektiv Spenden (Giving Fund: Safeguarding the future),,ARC Evals / METR,,,,,regrant,128000,EUR,2023-08,month,,,,,,,,,,,,,,,issuer statements,GET https://effektiv-spenden.org/en/safeguarding-the-future/,https://effektiv-spenden.org/en/safeguarding-the-future/,"(128.000 €)</li></ul><p class=""wp-block-paragraph"">Grants were made in August 2023.",2026-09-16T09:43:31Z,compatible=no,1,,EUR is not USD. Never convert and add.,Reason: currency=EUR not USD; money_type=regrant not commitment; period 2023-08. Live HTTP 200 this fetch (previously 403 on an earlier lane). SHA-256=da73b38cc636e49f1ea06114d44c53b2cbfc18a1849094cccb68ff538eed14c4. Wayback id_ corroboration wayback-effektiv-spenden-id_20260916T094331Z.html. Quote is a contiguous HTML span; no ellipsis. [xhigh re-run row C18 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]
XC28,C,MDP,C01.E3,"Jaan Tallinn ledger 2024 paid_grants to METR ($10,000 + $10,000 + $184,000) — excluded",,,,Jaan Tallinn,,Model Evaluation and Threat Research,,,,,paid_grant,184000,USD,2024-12-06,day,,,,,,,,,,,,,,,self-statements,GET https://jaan.online/philanthropy/donations.csv filter recipient=Model Evaluation and Threat Research,https://jaan.online/philanthropy/donations.csv,"2024-12-06,FP-US,USD,""184,000"",""$184,000"",Model Evaluation and Threat Research,General support",2026-09-16T09:43:30Z,compatible=no,3,,Three 2024 disbursements; not summed here with each other for the denominator test. A paid_grant is not a commitment. 2024 is before the window.,"Reason: money_type=paid_grant, not commitment; dates 2024-07-23, 2024-07-24 and 2024-12-06 are before approximately 2026-02-14. Jaan Tallinn is not merged with Founders Pledge Inc (the 2024-12-06 via=FP-US line) or with SFF. The $184,000 FP-US line is the same amount as C14 on the funder 990 and is not added twice. [xhigh re-run row C28 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]"
XC29,C,MDP,C01.E3,"Open Philanthropy $265,000 recommendation to ARC (March 2022) — excluded",,,,Open Philanthropy,,Alignment Research Center,,,,,recommendation,265000,USD,2022-03,month,,,,,,,,,,,,,,,archives,Wayback GET 20240620191457id_/https://www.openphilanthropy.org/grants/alignment-research-center-general-support/,https://web.archive.org/web/20240620191457id_/https://www.openphilanthropy.org/grants/alignment-research-center-general-support/,"Open Philanthropy recommended a grant of $265,000 to the Alignment Research Center (ARC) for general support.",2026-09-16T09:52:12Z,compatible=no,1,,"Live Open Philanthropy grants index redirected (E06); Wayback id_ used because the live grant URL is gone with the rebrand, said so in this note.","Reason: to_entity=Alignment Research Center, not METR; money_type=recommendation, not commitment; period March 2022. Open Philanthropy is not merged with Coefficient Giving. SHA-256=d72ffbcf7367770de91f2912a0c3c89dfd679112b2b49754e6cfb1b491e857de. [xhigh re-run row C29 of research/grok-out/MD14-six-month-chronology.csv; no medium counterpart]"
