# MD11-daf-filed-grants; fetch_window_utc=2026-09-16T09:49:58Z/2026-09-16T09:56:17Z; routes=IRS e-file index_2021..index_2026.csv; GivingTuesday gt990datalake-rawdata XML object_ids for Fidelity 11-0303001, Schwab/Donor Advised Charitable Giving Inc 31-1640316, Vanguard 23-2888152, NPT 23-7825575, SVCF 20-5205488; IRS AWS s3://irs-form-990 fallback; ProPublica API v2 org locators + full_text/OBJECT/IRS990ScheduleI render when XML absent; IRS TEOS details; caps_hit=IRS TEOS HTTP 403; ProPublica download-xml HTTP 403; GivingTuesday and IRS AWS 404 for Vanguard FY2025 XML 202621329349306657; did not download full 2026_TEOS_XML_05A.zip this run (head status=200); community-foundation DAF remainder deferred; no_kevinnbass_sources=true
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
X10,A,MDS,C02.E3;C02.E5,Schwab Charitable Fund FY2020 Schedule I vs METR,DAF sponsor,,202140489349301804,Schwab Charitable Fund,,Model Evaluation and Threat Research,,2019-07-01,2020-06-30,,,,,2020-06-30,day,FY2020,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202140489349301804_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202140489349301804_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2019-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>311640316</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>SCHWAB CHARITABLE FUND</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>SCHW</BusinessNameControlTxt>
      <PhoneNu",2026-09-16T09:56:17Z,none found in Schwab Charitable Fund Form 990 Schedule I object 202140489349301804 (FY2020) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-schwab_202006-202140489349301804-excerpt-20260916T094958Z.xml. RecipientTable count=34986; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 311640316. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202140489349301804_public.xml this window 2026-09-16T09:56:17Z. [xhigh re-run row 10 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
X19,A,MDS,C02.E3;C02.E5,Vanguard Charitable Endowment Program FY2023 Schedule I vs METR,DAF sponsor,,202441359349309439,Vanguard Charitable Endowment Program,,Model Evaluation and Threat Research,,2022-07-01,2023-06-30,,,,,2023-06-30,day,FY2023,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441359349309439_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441359349309439_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2022-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>232888152</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>VANGUARD CHARITABLE ENDOWMENT PROGRAM</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% MARK FROEHLICH</InCareOfNm>
      <Busi",2026-09-16T09:56:17Z,none found in Vanguard Charitable Endowment Program Form 990 Schedule I object 202441359349309439 (FY2023) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-vanguard_202306-202441359349309439-excerpt-20260916T094958Z.xml. RecipientTable count=21268; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 232888152. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441359349309439_public.xml this window 2026-09-16T09:56:17Z. [xhigh re-run row 19 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
X20,A,MDS,C02.E3;C02.E5,Vanguard Charitable Endowment Program FY2024 Schedule I vs METR,DAF sponsor,,202511349349313096,Vanguard Charitable Endowment Program,,Model Evaluation and Threat Research,,2023-07-01,2024-06-30,,,,,2024-06-30,day,FY2024,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511349349313096_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511349349313096_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2023-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>232888152</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>VANGUARD CHARITABLE ENDOWMENT PROGRAM</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% MARK FROEHLICH</InCareOfNm>
      <Busi",2026-09-16T09:56:17Z,none found in Vanguard Charitable Endowment Program Form 990 Schedule I object 202511349349313096 (FY2024) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-vanguard_202406-202511349349313096-excerpt-20260916T094958Z.xml. RecipientTable count=24269; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 232888152. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511349349313096_public.xml this window 2026-09-16T09:56:17Z. [xhigh re-run row 20 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
X27,A,MDS,C02.E3;C02.E5,Silicon Valley Community Foundation TY2020 Schedule I vs METR,DAF sponsor,,202103199349327615,Silicon Valley Community Foundation,,Model Evaluation and Threat Research,,2020-01-01,2020-12-31,,,,,2020-12-31,day,TY2020,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202103199349327615_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202103199349327615_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2020-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>205205488</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>Silicon Valley Community Foundation</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>SILI</BusinessNameControlTxt>
 ",2026-09-16T09:56:17Z,none found in Silicon Valley Community Foundation Form 990 Schedule I object 202103199349327615 (TY2020) as of 2026-09-16T09:56:17Z,0,TY2025 Form 990 original due 2026-05-15 / extended 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-svcf_202012-202103199349327615-excerpt-20260916T094958Z.xml. RecipientTable count=3724; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 205205488. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202103199349327615_public.xml this window 2026-09-16T09:56:17Z. [xhigh re-run row 27 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
X42,C,MDS,C02.E3;C02.E5,Fidelity Investments Charitable Gift Fund FY2025 Schedule I vs Alignment Research Center,DAF sponsor,,202601389349301700,Fidelity Investments Charitable Gift Fund,,Alignment Research Center,,2024-07-01,2025-06-30,,,,,2025-06-30,day,FY2025,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202601389349301700_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; ARC-only filter 863605182|ALIGNMENT RESEARCH CENTER|ARC EVALS",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202601389349301700_public.xml,"</ReturnTs>
    <TaxPeriodEndDt>2025-06-30</TaxPeriodEndDt>
    <PreparerFirmGrp>
      <PreparerFirmName>
        <BusinessNameLine1Txt>PwC US Tax LLP</BusinessNameLine1Txt>
      </PreparerFirmName>
      <PreparerUSAddress>
        <AddressLine1Txt>655 NEW YORK AVE NW SUITE 1100</AddressLine1Txt>",2026-09-16T09:56:17Z,none found in Fidelity Investments Charitable Gift Fund Form 990 Schedule I object 202601389349301700 (FY2025) as of 2026-09-16T09:56:17Z,0,,ARC Evals as a string was also grepped (ARC EVALS); a grant under a fiscal-sponsor name would not match.,Primary irs-990-fidelity_202506-202601389349301700-excerpt-20260916T094958Z.xml. RecipientTable count=89891; raw EIN 863605182 count=0. Not attributed to METR. [xhigh re-run row 42 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
X43,C,MDS,C02.E3;C02.E5,Schwab Charitable Fund FY2020 Schedule I vs Alignment Research Center,DAF sponsor,,202140489349301804,Schwab Charitable Fund,,Alignment Research Center,,2019-07-01,2020-06-30,,,,,2020-06-30,day,FY2020,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202140489349301804_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; ARC-only filter 863605182|ALIGNMENT RESEARCH CENTER|ARC EVALS",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202140489349301804_public.xml,"</ReturnTs>
    <TaxPeriodEndDt>2020-06-30</TaxPeriodEndDt>
    <PreparerFirmGrp>
      <PreparerFirmEIN>861065772</PreparerFirmEIN>
      <PreparerFirmName>
        <BusinessNameLine1Txt>DELOITTE TAX LLP</BusinessNameLine1Txt>
      </PreparerFirmName>
      <PreparerUSAddress>
        <AddressLine",2026-09-16T09:56:17Z,none found in Schwab Charitable Fund Form 990 Schedule I object 202140489349301804 (FY2020) as of 2026-09-16T09:56:17Z,0,,ARC Evals as a string was also grepped (ARC EVALS); a grant under a fiscal-sponsor name would not match.,Primary irs-990-schwab_202006-202140489349301804-excerpt-20260916T094958Z.xml. RecipientTable count=34986; raw EIN 863605182 count=0. Not attributed to METR. [xhigh re-run row 43 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
X46,C,MDS,C02.E3;C02.E5,Schwab Charitable Fund FY2022 Schedule I vs Alignment Research Center,DAF sponsor,,202330939349300403,Schwab Charitable Fund,,Alignment Research Center,,2021-07-01,2022-06-30,,,,,2022-06-30,day,FY2022,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202330939349300403_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; ARC-only filter 863605182|ALIGNMENT RESEARCH CENTER|ARC EVALS",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202330939349300403_public.xml,"</ReturnTs>
    <TaxPeriodEndDt>2022-06-30</TaxPeriodEndDt>
    <PreparerFirmGrp>
      <PreparerFirmEIN>861065772</PreparerFirmEIN>
      <PreparerFirmName>
        <BusinessNameLine1Txt>DELOITTE TAX LLP</BusinessNameLine1Txt>
      </PreparerFirmName>
      <PreparerUSAddress>
        <AddressLine",2026-09-16T09:56:17Z,none found in Schwab Charitable Fund Form 990 Schedule I object 202330939349300403 (FY2022) as of 2026-09-16T09:56:17Z,0,,ARC Evals as a string was also grepped (ARC EVALS); a grant under a fiscal-sponsor name would not match.,Primary irs-990-schwab_202206-202330939349300403-excerpt-20260916T094958Z.xml. RecipientTable count=46203; raw EIN 863605182 count=0. Not attributed to METR. [xhigh re-run row 46 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
X52,C,MDS,C02.E3;C02.E5,National Philanthropic Trust FY2020 Schedule I vs Alignment Research Center,DAF sponsor,,202121459349300307,National Philanthropic Trust,,Alignment Research Center,,2019-07-01,2020-06-30,,,,,2020-06-30,day,FY2020,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202121459349300307_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; ARC-only filter 863605182|ALIGNMENT RESEARCH CENTER|ARC EVALS",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202121459349300307_public.xml,"</ReturnTs>
    <TaxPeriodEndDt>2020-06-30</TaxPeriodEndDt>
    <PreparerFirmGrp>
      <PreparerFirmEIN>420714325</PreparerFirmEIN>
      <PreparerFirmName>
        <BusinessNameLine1Txt>RSM US LLP</BusinessNameLine1Txt>
      </PreparerFirmName>
      <PreparerUSAddress>
        <AddressLine1Txt>3",2026-09-16T09:56:17Z,none found in National Philanthropic Trust Form 990 Schedule I object 202121459349300307 (FY2020) as of 2026-09-16T09:56:17Z,0,,ARC Evals as a string was also grepped (ARC EVALS); a grant under a fiscal-sponsor name would not match.,Primary irs-990-npt_202006-202121459349300307-excerpt-20260916T094958Z.xml. RecipientTable count=10781; raw EIN 863605182 count=0. Not attributed to METR. [xhigh re-run row 52 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
X55,C,MDS,C02.E3;C02.E5,National Philanthropic Trust FY2023 Schedule I vs Alignment Research Center,DAF sponsor,,202431429349301368,National Philanthropic Trust,,Alignment Research Center,,2022-07-01,2023-06-30,,,,,2023-06-30,day,FY2023,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202431429349301368_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; ARC-only filter 863605182|ALIGNMENT RESEARCH CENTER|ARC EVALS",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202431429349301368_public.xml,"</ReturnTs>
    <TaxPeriodEndDt>2023-06-30</TaxPeriodEndDt>
    <PreparerFirmGrp>
      <PreparerFirmEIN>420714325</PreparerFirmEIN>
      <PreparerFirmName>
        <BusinessNameLine1Txt>RSM US LLP</BusinessNameLine1Txt>
      </PreparerFirmName>
      <PreparerUSAddress>
        <AddressLine1Txt>3",2026-09-16T09:56:17Z,none found in National Philanthropic Trust Form 990 Schedule I object 202431429349301368 (FY2023) as of 2026-09-16T09:56:17Z,0,,ARC Evals as a string was also grepped (ARC EVALS); a grant under a fiscal-sponsor name would not match.,Primary irs-990-npt_202306-202431429349301368-excerpt-20260916T094958Z.xml. RecipientTable count=15498; raw EIN 863605182 count=0. Not attributed to METR. [xhigh re-run row 55 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
X56,C,MDS,C02.E3;C02.E5,National Philanthropic Trust FY2024 Schedule I vs Alignment Research Center,DAF sponsor,,202511339349301311,National Philanthropic Trust,,Alignment Research Center,,2023-07-01,2024-06-30,,,,,2024-06-30,day,FY2024,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511339349301311_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; ARC-only filter 863605182|ALIGNMENT RESEARCH CENTER|ARC EVALS",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511339349301311_public.xml,"</ReturnTs>
    <TaxPeriodEndDt>2024-06-30</TaxPeriodEndDt>
    <PreparerFirmGrp>
      <PreparerFirmEIN>420714325</PreparerFirmEIN>
      <PreparerFirmName>
        <BusinessNameLine1Txt>RSM US LLP</BusinessNameLine1Txt>
      </PreparerFirmName>
      <PreparerUSAddress>
        <AddressLine1Txt>3",2026-09-16T09:56:17Z,none found in National Philanthropic Trust Form 990 Schedule I object 202511339349301311 (FY2024) as of 2026-09-16T09:56:17Z,0,,ARC Evals as a string was also grepped (ARC EVALS); a grant under a fiscal-sponsor name would not match.,Primary irs-990-npt_202406-202511339349301311-excerpt-20260916T094958Z.xml. RecipientTable count=18583; raw EIN 863605182 count=0. Not attributed to METR. [xhigh re-run row 56 of research/grok-out/MD11-daf-filed-grants.csv; no medium counterpart]
