# MD22-intermediary-returns.csv; fetch_window=2026-09-16T10:04:18Z/2026-09-16T10:12:54Z; routes=ProPublica API v2 orgs+search; IRS apps.irs.gov/pub/epostcard/990/xml/YYYY/index_YYYY.csv; GivingTuesday gt990datalake-rawdata XML by OBJECT_ID; ProPublica full_text IRS990ScheduleI (Vanguard FY2025 working alternate); IRS TEOS apps.irs.gov/app/eos (expected 403) + form-990-series-downloads + TEOS bulk landing + EO BMF; s3.amazonaws.com/irs-form-990/index_YYYY.csv (expected 404); metr.org/donate,/about; founderspledge.com/grantees/metr; every.org/metr; ev.org; longview.org/organisational-structure; Companies House 14444004, 08565148, 07962181 + Longview AA PDF; Charity Commission search/details; findthatcharity GB-CHC-1149828.json; SEC EFTS; CourtListener; USAspending; Bundesanzeiger; Unternehmensregister; caps_hit=IRS index_2027.csv HTTP 404; https://apps.irs.gov/app/eos/ HTTP 403; https://apps.irs.gov/app/eos/inputEin HTTP 403; https://www.irs.gov/charities-non-profits/tax-exempt-organization-search HTTP 403; https://s3.amazonaws.com/irs-form-990/index_2025.csv HTTP 404; https://s3.amazonaws.com/irs-form-990/index_2026.csv HTTP 404; https://www.every.org/metr HTTP 429; https://www.every.org/ HTTP 429; https://register-of-charities.charitycommission.gov.uk/en/charity-details/?regId=1149828&subId=0 HTTP 404; https://register-of-charities.charitycommission.gov.uk/api/search?term=Effective%20Ventures HTTP 404; https://apps.charitycommission.gov.uk/Accounts/Ends28/0001149828_AC_20250630_E_C.pdf HTTP 404; https://apps.charitycommission.gov.uk/Accounts/Ends28/0001149828_AC_20240630_E_C.pdf HTTP 404; https://www.philanthropy.org/who-funds HTTP 403; no_kevinnbass_sources=true; public_read_only=true (no email/message/telephone/file/submit/post); money types not summed; legal filers kept distinct (FP Inc vs FP Ltd vs Every Org vs EV USA vs EV UK vs Longview USA vs Longview Inc. Ltd vs DAF sponsors vs DAF accounts vs advisers); overlap with STATE/MD09/MD10/MD11/lineage cited by existing row id and re-fetched this lane; research/STATE.md read before facts
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
X1,A,MDS,C02.E3;C02.E5;C06.E1,Founders Pledge Inc TY2020 (2020-01-01 to 2020-12-31) grant schedule vs METR,grantmaker,FP-US; Founders Pledge,EIN 37-1795297; object 202131059349101903,Founders Pledge Inc,Founders Pledge Inc,Model Evaluation and Threat Research,,2020-01-01,2020-12-31,,,,,2020-12-31,year,TY2020 (2020-01-01 to 2020-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202131059349101903; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202131059349101903_public.xml,"<TaxPeriodBeginDt>2020-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>371795297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FOUNDERS PLEDGE INC</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>FOUN</BusinessNameControlTxt>
      <PhoneNum>6465859644</PhoneNum>",2026-09-16T10:04:42Z,none found in Founders Pledge Inc TY2020 (2020-01-01 to 2020-12-31) XML object 202131059349101903 as of 2026-09-16T10:04:42Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",55 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202131059349101903.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11. [xhigh re-run row 1 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]
X7,A,MDS,C02.E3;C02.E5;C06.E1,Every Org TY2020 (2020-01-01 to 2020-12-31) grant schedule vs METR,grantmaker,every.org; Every.org,EIN 61-1913297; object 202141729349100004,Every Org,Every Org,Model Evaluation and Threat Research,,2020-01-01,2020-12-31,,,,,2020-12-31,year,TY2020 (2020-01-01 to 2020-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202141729349100004; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202141729349100004_public.xml,"<TaxPeriodBeginDt>2020-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>611913297</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>EVERY ORG</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% TINA ROH</InCareOfNm>
      <BusinessNameControlTxt>EVER</BusinessNameControlTxt>
     ",2026-09-16T10:04:31Z,none found in Every Org TY2020 (2020-01-01 to 2020-12-31) XML object 202141729349100004 as of 2026-09-16T10:04:31Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",10 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202141729349100004.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11. [xhigh re-run row 7 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]
X12,A,MDS,C02.E3;C02.E5;C06.E1,Effective Ventures Foundation USA TY2020 (2020-01-01 to 2020-12-31) grant schedule vs METR,grantmaker,EV USA; Centre for Effective Altruism USA,EIN 47-1988398; object 202142849349300829,Effective Ventures Foundation USA,Effective Ventures Foundation USA,Model Evaluation and Threat Research,,2020-01-01,2020-12-31,,,,,2020-12-31,year,TY2020 (2020-01-01 to 2020-12-31),,,,,,,,,,,,,,funder filings,GET GT XML 202142849349300829; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202142849349300829_public.xml,"<TaxPeriodBeginDt>2020-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>471988398</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>CENTRE FOR EFFECTIVE ALTRUISM USA INC</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>CENT</BusinessNameControlTxt>
      <PhoneNum>510",2026-09-16T10:04:47Z,none found in Effective Ventures Foundation USA TY2020 (2020-01-01 to 2020-12-31) XML object 202142849349300829 as of 2026-09-16T10:04:47Z for a METR/EIN 99-1219864 grant line,0,FY2026 Form 990 original due 2026-11-16 (15th day of 5th month after 2026-06-30),54 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202142849349300829.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11. [xhigh re-run row 12 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]
X18,A,MDS,C02.E3;C02.E5;C06.E1,Silicon Valley Community Foundation TY2020 (2020-01-01 to 2020-12-31) grant schedule vs METR,DAF sponsor,SVCF,EIN 20-5205488; object 202103199349327615,Silicon Valley Community Foundation,Silicon Valley Community Foundation,Model Evaluation and Threat Research,,2020-01-01,2020-12-31,,,,,2020-12-31,year,TY2020 (2020-01-01 to 2020-12-31),,,,,,,,,,,,,,DAF sponsor filings,GET GT XML 202103199349327615; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202103199349327615_public.xml,"<TaxPeriodBeginDt>2020-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>205205488</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>Silicon Valley Community Foundation</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>SILI</BusinessNameControlTxt>
      <PhoneNum>65045",2026-09-16T10:04:32Z,none found in Silicon Valley Community Foundation TY2020 (2020-01-01 to 2020-12-31) XML object 202103199349327615 as of 2026-09-16T10:04:32Z for a METR/EIN 99-1219864 grant line,0,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",3937 grant-schedule rows scanned. Sub-threshold or renamed grants would not match. Keep ARC vs METR unmerged.,This-lane XML research/primary/MD22-intermediary-returns/gt-xml-202103199349327615.xml-20260916T100418Z. Overlap with MD09/MD10/MD11 cited rather than treated as a new discovery where those lanes already recorded this year. Fidelity/Schwab/NPT remainder stays cited in MD11. [xhigh re-run row 18 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]
X22,A,MDF,C02.E3;C02.E5;C06.E1,Silicon Valley Community Foundation TY2024 (2024-01-01 to 2024-12-31) grant-schedule cash grant to METR,DAF sponsor,SVCF,EIN 20-5205488; object 202543149349305759,Silicon Valley Community Foundation,Silicon Valley Community Foundation,Model Evaluation and Threat Research,DAF sponsor filed grant,2024-01-01,2024-12-31,,filed_grant,20000,USD,2024-12-31,interval,TY2024 (2024-01-01 to 2024-12-31),filed as granted,Sciences,,,,,,,,,,,yes,DAF sponsor filings,GET GT XML 202543149349305759; Schedule I RecipientTable / 990-PF GrantOrContributionPdDurYrGrp filter RecipientEIN 991219864 OR BusinessNameLine1Txt MODEL EVALUATION AND THREAT RESEARCH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml,"<BusinessNameLine1Txt>Model Evaluation and Threat Research</BusinessNameLine1Txt>
        </RecipientBusinessName>
        <USAddress>
          <AddressLine1Txt>440 N Barranca Ave 3345</AddressLine1Txt>
          <CityNm>Covina</CityNm>
          <StateAbbreviationCd>CA</StateAbbreviationCd>
      ",2026-09-16T10:07:40Z,1 METR grant-schedule line; CashGrantAmt=20000,1,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",Calendar year of the 990 is not a bank date. Public Schedule B contributor names are RESTRICTED on Form 990. money_type=filed_grant; not summed with recommendations or ledger paid_grant. Sponsor does not disclose the DAF account principal or adviser. Not a full MD11 DAF-sponsor sweep.,"This-lane re-fetch of held MDF0037 / MD11-daf-filed-grants.csv#1 / STATE $20,000. Not a new discovery. Primary research/primary/MD22-intermediary-returns/gt-xml-202543149349305759.xml-20260916T100418Z. Filer EIN 20-5205488. [xhigh re-run row 22 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]"
X29,A,MDS,C02.E5;C06.E1,Longview Philanthropy USA Inc — no e-file before TY2024 in index_2021..index_2026,foundation,Longview Philanthropy USA,EIN 93-2664730,Longview Philanthropy USA Inc,,,,,,,,,,,,,,,,,,,,,,,,,,IRS TEOS and e-file index,stream index_2021.csv through index_2026.csv filter EIN 932664730,https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,"932664730,202412,2025,LONGVIEW PHILANTHROPY USA INC,990,93493317042655,202503179349304265,2025_TEOS_XML_11A
23451879,EFILE,232888152,202406,2025,VANGUARD CHARITABLE ENDOWMENT PROGRAM,990,93493134130965,202511349349313096,2025_TEOS_XML_05A
23506036,EFILE,461008520,202406,2025,GOOD VENTURES FOUNDATION",2026-09-16T10:12:54Z,none found in IRS e-file indexes for EIN 932664730 other than the TY2024 object(s) recovered this fetch as of 2026-09-16T10:12:54Z,1,"TY2025 Form 990/990-PF original due 2026-05-15, commonly extended to 2026-11-16",Ruling date 2024-02-01 so TY2024 is the first 990 year. Cite MD10#13 / MDE0032; not recopied as a new discovery of the legal-filer split.,Index hit file research/primary/MD22-intermediary-returns/irs-index-2025-intermediary-hits.csv-20260916T100418Z [xhigh re-run row 29 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]
X34,B,MDF,C02.E5;C06.E1,"VANGUARD CHARITABLE contribution into Founders Pledge Inc (payer-into-intermediary, not METR)",grantmaker,,object 202402359349100515,VANGUARD CHARITABLE,Founders Pledge Inc,,named contributor into intermediary,2023-01-01,2023-12-31,,transfer,34273,USD,2023-12-31,year,TY2023 (2023-01-01 to 2023-12-31),,,,,,,,,,,,,yes,funder filings,GET GT XML 202402359349100515; ContributorInformationGrp VANGUARD CHARITABLE,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202402359349100515_public.xml,"<BusinessNameLine1Txt>VANGUARD CHARITABLE</BusinessNameLine1Txt>
        </ContributorBusinessName>
        <ContributorUSAddress>
          <AddressLine1Txt>PO BOX 9509</AddressLine1Txt>
          <CityNm>WARWICK</CityNm>
          <StateAbbreviationCd>RI</StateAbbreviationCd>
          <ZIPCd>0288",2026-09-16T10:07:20Z,named contributor TotalContributionsAmt=34273 VANGUARD CHARITABLE into Founders Pledge Inc,1,,"Payer-into-intermediary, not intermediary-to-METR. Do not deanonymize a DAF adviser. Natural-person Schedule B names on 990-PF are not copied. Not summed with METR filed_grant rows. Keep legal filers unmerged.",Primary research/primary/MD22-intermediary-returns/gt-xml-202402359349100515.xml-20260916T100418Z. [xhigh re-run row 34 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]
X36,B,MDF,C02.E5;C06.E1,"SCHWAB CHARITABLE FUND contribution into Founders Pledge Inc (payer-into-intermediary, not METR)",grantmaker,,object 202402359349100515,SCHWAB CHARITABLE FUND,Founders Pledge Inc,,named contributor into intermediary,2023-01-01,2023-12-31,,transfer,114101,USD,2023-12-31,year,TY2023 (2023-01-01 to 2023-12-31),,,,,,,,,,,,,yes,funder filings,GET GT XML 202402359349100515; ContributorInformationGrp SCHWAB CHARITABLE FUND,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202402359349100515_public.xml,"<BusinessNameLine1Txt>SCHWAB CHARITABLE FUND</BusinessNameLine1Txt>
        </ContributorBusinessName>
        <ContributorUSAddress>
          <AddressLine1Txt>211 MAIN STREET</AddressLine1Txt>
          <CityNm>SAN FRANCISCO</CityNm>
          <StateAbbreviationCd>CA</StateAbbreviationCd>
        ",2026-09-16T10:07:20Z,named contributor TotalContributionsAmt=114101 SCHWAB CHARITABLE FUND into Founders Pledge Inc,1,,"Payer-into-intermediary, not intermediary-to-METR. Do not deanonymize a DAF adviser. Natural-person Schedule B names on 990-PF are not copied. Not summed with METR filed_grant rows. Keep legal filers unmerged.",Primary research/primary/MD22-intermediary-returns/gt-xml-202402359349100515.xml-20260916T100418Z. [xhigh re-run row 36 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]
X38,B,MDF,C02.E5;C06.E1,"SILICON VALLEY COMMUNITY FOUNDATION contribution into Founders Pledge Inc (payer-into-intermediary, not METR)",grantmaker,,object 202402359349100515,SILICON VALLEY COMMUNITY FOUNDATION,Founders Pledge Inc,,named contributor into intermediary,2023-01-01,2023-12-31,,transfer,1702000,USD,2023-12-31,year,TY2023 (2023-01-01 to 2023-12-31),,,,,,,,,,,,,yes,funder filings,GET GT XML 202402359349100515; ContributorInformationGrp SILICON VALLEY COMMUNITY FOUNDATION,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202402359349100515_public.xml,"<BusinessNameLine1Txt>SILICON VALLEY COMMUNITY FOUNDATION</BusinessNameLine1Txt>
        </ContributorBusinessName>
        <ContributorUSAddress>
          <AddressLine1Txt>2440 WEST EL CAMINO REAL STE 300</AddressLine1Txt>
          <CityNm>MOUNTAIN VIEW</CityNm>
          <StateAbbreviationCd>CA<",2026-09-16T10:07:20Z,named contributor TotalContributionsAmt=1702000 SILICON VALLEY COMMUNITY FOUNDATION into Founders Pledge Inc,1,,"Payer-into-intermediary, not intermediary-to-METR. Do not deanonymize a DAF adviser. Natural-person Schedule B names on 990-PF are not copied. Not summed with METR filed_grant rows. Keep legal filers unmerged.",Primary research/primary/MD22-intermediary-returns/gt-xml-202402359349100515.xml-20260916T100418Z. [xhigh re-run row 38 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]
X39,B,MDF,C02.E5;C06.E1,"FOUNDERS PLEDGE GGMBH contribution into Founders Pledge Inc (payer-into-intermediary, not METR)",grantmaker,,object 202402359349100515,FOUNDERS PLEDGE GGMBH,Founders Pledge Inc,,named contributor into intermediary,2023-01-01,2023-12-31,,transfer,449412,USD,2023-12-31,year,TY2023 (2023-01-01 to 2023-12-31),,,,,,,,,,,,,yes,funder filings,GET GT XML 202402359349100515; ContributorInformationGrp FOUNDERS PLEDGE GGMBH,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202402359349100515_public.xml,"<BusinessNameLine1Txt>FOUNDERS PLEDGE GGMBH</BusinessNameLine1Txt>
        </ContributorBusinessName>
        <ContributorForeignAddress>
          <AddressLine1Txt>EFFEKTIV SPENDEN MULLERSTRABE 138D</AddressLine1Txt>
          <CityNm>BERLIN</CityNm>
          <CountryCd>GM</CountryCd>
          <F",2026-09-16T10:07:20Z,named contributor TotalContributionsAmt=449412 FOUNDERS PLEDGE GGMBH into Founders Pledge Inc,1,,"Payer-into-intermediary, not intermediary-to-METR. Do not deanonymize a DAF adviser. Natural-person Schedule B names on 990-PF are not copied. Not summed with METR filed_grant rows. Keep legal filers unmerged.",Primary research/primary/MD22-intermediary-returns/gt-xml-202402359349100515.xml-20260916T100418Z. [xhigh re-run row 39 of research/grok-out/MD22-intermediary-returns.csv; no medium counterpart]
