# fetch_window_utc=2026-09-16T19:26:31Z/2026-09-16T19:44:13Z
# routes_used=oag.ca.gov/charities landing+reports+renewals+initial-reg+content/info+forms+resources; ca-rcf.evokeplatform.com publicPortal SPA, static/js/*.evoke.bundle.js, /api/webContent/apps/publicPortal, /api/data/objects/{entity,registrations,document,requests,documentType}/effective|instances and nested /documents/{id}/content; bulk CSVs oag.ca.gov/sites/all/files/agweb/pdfs/charities/reports/charities-may-not-operate.csv and ag-pf-2024/2023 plus 2019 RCT_good_standing_list.txt; rct.doj.ca.gov Search.aspx; Wayback CDX and id_ of evoke API/SPA and Search.aspx
# caps_hit=rct.doj.ca.gov Search.aspx and root HTTP 404; oag.ca.gov/charities/charitysearch HTTP 404; guessed full-registrant CSVs HTTP 404; unfiltered GET /api/data/objects/entity/instances timed out; search=/q= query params ignored; /objects/correspondence HTTP 404; documentType/instances HTTP 403; requests/instances empty for these converted registrations; nested /entity|/registrations/.../documents empty (files live under /document/instances/{docId}/documents); some Wayback CDX HTTP 503/504; arc-lod PDF is image-only (pdftotext empty)
# no_kevinnbass_sources=true
# research/STATE.md and research/STATE-notes.md read 2026-09-16 before adding facts; MD01 METR EIN 99-1219864 / StatesWhereCopyOfReturnIsFldCd=CA / May-Not-Operate none-found / EVOKE SPA shell / Search.aspx 404 and MD12 ARC EIN 86-3605182 / IRS Schedule I/N 2024-04-30 were locators only and were not copied as this lane's discovery; registry-published CT-1/RRF-1/990 copies were re-fetched; IRS e-file XML was not substituted for a registry PDF; nothing emailed, filed, submitted, posted or telephoned; the approximately $71 million composition was not asked
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDP,C02.E4,oag.ca.gov/charities landing names Registry Search Tool (EVOKE) and Registry Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://oag.ca.gov/charities,https://oag.ca.gov/charities,Registry Search Tool</a> allows the public to view  and download a registrant&rsquo;s public filings with the Registry of Charities and  Fundraisers.,2026-09-16T19:26:31Z,"Landing lists EVOKE Registry Search Tool, legacy rct.doj.ca.gov Search.aspx, and /charities/reports.",1,https://ca-rcf.evokeplatform.com/app/publicPortal/verification,Landing is not a registrant dump.,primary=oag-charities_20260916T192631Z sha256=e025c95b742ffb7cdc37e4eb2a5ccd1e5de88c842466ebaec67cc2f7102131d8. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A02,A,MDP,C02.E4,"Registry Reports public bulk download is the May Not Operate list, not a full registrant dump",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://oag.ca.gov/charities/reports,https://oag.ca.gov/charities/reports,May Not Operate or Solicit for Charitable Purposes List is updated on the first and third Wednesday of each month.,2026-09-16T19:26:31Z,Only May Not Operate CSV plus professional-fundraiser CSVs are offered as downloads; full registrant dump is not posted.,1,https://oag.ca.gov/sites/all/files/agweb/pdfs/charities/reports/charities-may-not-operate.csv,"As-of date on this fetch still printed September 2, 2026 with next update September 16, 2026.",primary=oag-charities-reports_20260916T192631Z sha256=6d550b90d313a4af9cbdbf7eca5b10fe520c19445be55a206f0d0f8fafa45ed0. Guessed full-registrant CSV paths 404'd (A/E). research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A03,A,MDP,C02.E4,EVOKE Registry Search Tool is a JavaScript SPA shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://ca-rcf.evokeplatform.com/app/publicPortal/verification,https://ca-rcf.evokeplatform.com/app/publicPortal/verification,"<title>EVOKE</title><link rel=""icon"" href=""/static/media/favicon.png""><script defer=""defer"" src=""/static/js/main.evoke.bundle.js""></script>",2026-09-16T19:26:32Z,HTTP 200 SPA shell 532 bytes; search UI not applied in static HTML.,1,https://ca-rcf.evokeplatform.com/static/js/main.evoke.bundle.js,Noscript: You need to enable JavaScript to run this app. This lane did not drive a browser.,primary=evoke-portal_20260916T192632Z sha256=d22b8139797d9b2eec71c496c5e193f38ab730663d30de3ba0faff63336f6fdd. JS-bundle API paths followed in A04–A07. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A04,A,MDP,C02.E4,Webpack loader names chunk files static/js/{id}.evoke.bundle.js,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://ca-rcf.evokeplatform.com/static/js/main.evoke.bundle.js,https://ca-rcf.evokeplatform.com/static/js/main.evoke.bundle.js,"k.u=e=>""static/js/""+(123===e?""icons"":e)+"".evoke.bundle.js""",2026-09-16T19:26:32Z,Loader 5805 bytes; main app chunk 209.evoke.bundle.js 715692 bytes fetched.,1,https://ca-rcf.evokeplatform.com/static/js/209.evoke.bundle.js,,primary=evoke-js-bundle_20260916T192632Z sha256=f2b8e0dff6fcb842906eaff7fa47aabf309e1f26325ffc835985611a0b2e8f83; js-209_20260916T192918Z sha256=a5a996f39e535cb840657523e5607cd072cc3a4ddc7a3b67e41cc330818ffb5a. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A05,A,MDP,C02.E4,Live LoopBack entity schema at /api/data/objects/entity/effective (fein searchable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://ca-rcf.evokeplatform.com/api/data/objects/entity/effective,https://ca-rcf.evokeplatform.com/api/data/objects/entity/effective,"""id"":""fein"",""name"":""FEIN"",""type"":""string""",2026-09-16T19:29:18Z,Schema JSON 67586 bytes; fein/legalName/entityName/dba/sosId/ftbId searchable.,1,https://ca-rcf.evokeplatform.com/api/data/objects/entity/instances,,primary=api-entity-effective_20260916T192918Z sha256=5a3bf9f5d68fc6a252bfce5da7155550e64c0b2f8d0cff0a1b3122fa3a8f6a4a. Wayback id_ of the same path also saved. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A06,A,MDP,C02.E4,publicPortal webContent names Verification dataTable objectId=entity dataType=objectInstances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://ca-rcf.evokeplatform.com/api/webContent/apps/publicPortal,https://ca-rcf.evokeplatform.com/api/webContent/apps/publicPortal,"""name"":""Registry Search Tool""",2026-09-16T19:29:19Z,Portal config 142079 bytes; Verification page search bar + entity dataTable; document types 1700 Initial Registration and 9950 Renewal Filing appear on document lists.,1,,"Widget JS (dataTable) uses LoopBack filter=JSON.stringify({where,limit,skip}).",primary=api-webcontent-publicportal_20260916T192919Z sha256=f61c1101d3b7e77ce51c2d1e79d20642f9b96ebbaa23650bc26f862fdaa08cb7. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A07,A,MDS,C02.E4,legacy rct.doj.ca.gov Search.aspx HTTP 404 (not the only route tried),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://rct.doj.ca.gov/Verification/Web/Search.aspx?facility=Y,https://rct.doj.ca.gov/Verification/Web/Search.aspx?facility=Y,HTTP Error 404. The requested resource is not found.,2026-09-16T19:26:32Z,none found in https://rct.doj.ca.gov/Verification/Web/Search.aspx?facility=Y as of 2026-09-16T19:26:32Z (HTTP 404),0,https://ca-rcf.evokeplatform.com/app/publicPortal/verification,oag.ca.gov/charities still lists this URL beside EVOKE. Root rct.doj.ca.gov also 404.,primary=rct-search-aspx_20260916T192632Z sha256=ce7127c38e30e92a021ed2bd09287713c6a923db9ffdb43f126e8965d777fbf0. Wayback id_ 20180815 of the same path also saved (archives). research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A08,A,MDE,C02.E4;C05.E3;C01.E5,METR California Registry entity record EIN 99-1219864,recipient,"METR; Model Evaluation and Threat Research, Inc.",99-1219864; CT0293073; entity 6646411; sosId 6138567,,,"Model Evaluation and Threat Research, Inc.",,,,,,,,,,,,,,,,,,,,,,,,state registries,"GET /api/data/objects/entity/instances?filter={""where"":{""fein"":""99-1219864""},""limit"":20}",https://ca-rcf.evokeplatform.com/api/data/objects/entity/instances?filter=%7B%22where%22%3A%7B%22fein%22%3A%2299-1219864%22%7D%2C%22limit%22%3A20%7D,"""entityName"":""MODEL EVALUATION AND THREAT RESEARCH, INC."",""entityStatus"":""Listed"",""fein"":""99-1219864""",2026-09-16T19:36:34Z,1 entity instance id=6646411 Listed; registrations CT0293073; homeJurisdiction DE; sosId 6138567; Covina CA address.,1,https://ca-rcf.evokeplatform.com/api/data/objects/registrations/instances?filter=%7B%22where%22%3A%7B%22registrationNumber%22%3A%22CT0293073%22%7D%2C%22limit%22%3A20%7D,FEIN is stored with dash; filter fein=991219864 returned []. Unfiltered /instances without where timed out.,primary=ent-fein-metr_20260916T193634Z sha256=76bfa823de0e68560def519aeb59d1edbc34a6ec464ffc3ac9ad70164f67c6cb; metr-entity-id_20260916T193746Z sha256=ebd16abac8f6af86cdb82cbcd4c6b5316ae628182c351e12af6b5685e77b0a0c. Unmerged from ARC. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A09,A,MDE,C02.E4;C05.E3,METR Charitable Organization registration CT0293073,recipient,,CT0293073; registrations 1796028,,,"Model Evaluation and Threat Research, Inc.",,2024-06-18,,,,,,2024-06-18,day,fiscalYearDate 2024-12-31,,,,,,,,,,,,,,state registries,"GET /api/data/objects/registrations/instances?filter={""where"":{""registrationNumber"":""CT0293073""},""limit"":20}",https://ca-rcf.evokeplatform.com/api/data/objects/registrations/instances?filter=%7B%22where%22%3A%7B%22registrationNumber%22%3A%22CT0293073%22%7D%2C%22limit%22%3A20%7D,"""registrationNumber"":""CT0293073"",""registrationStatus"":""Registered"",""initialRegistrationDate"":""2024-06-18""",2026-09-16T19:37:46Z,Registered; reportingStatus Current; is990Required Yes; fiscalYearDate 2024-12-31; currentIssuanceDate 2024-06-18; currentExpirationDate 2026-05-15; renewalEvaluationDate 2027-05-15.,1,registry document list relatedRegistration.id=1796028,,primary=metr-regnum_20260916T193746Z sha256=d0af3d46793edf225c8abb1b3457c4702a60985b99499258ffc0112106f28aef. CT-1 received stamp APR 08 2024 on the PDF (B01) is the form received date; initialRegistrationDate is 2024-06-18. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A10,A,MDP,C02.E4;C02.E3,METR registry-published documents (two): 1700 Initial Registration and 9950 Renewal Filing 2024,,,CT0293073; document 09027b8f80539574; 09027b8f805cfe6b,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,"GET /api/data/objects/document/instances?filter={""where"":{""relatedRegistration.id"":""1796028""},""limit"":200}",https://ca-rcf.evokeplatform.com/api/data/objects/document/instances?filter=%7B%22where%22%3A%7B%22relatedRegistration.id%22%3A%221796028%22%7D%2C%22limit%22%3A200%7D,"""name"":""1700 - Initial Registration""},""dateRecieved"":""2024-05-10""",2026-09-16T19:40:08Z,2 public documents: 1700 Initial Registration dateRecieved 2024-05-10; 9950 Renewal Filing description 2024 dateRecieved 2026-02-11. No correspondence/delinquency/audit document type in this list.,2,nested file content under /documents/{fileId}/content?disposition=attachment,"requests object instances for this registration returned []. Converted records expose filings as document PDFs, not as requests rows.",primary=metr-docs-relReg_20260916T194008Z sha256=ff3fc1ddd2cc7ac4de5fdcc461666f1f1f30eb68f793c5980717c8fade5543d5. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A11,A,MDE,C02.E4;C05.E3;C02.E3,Alignment Research Center California Registry entity record EIN 86-3605182 (unmerged from METR),recipient,ARC; Alignment Research Center,86-3605182; CT0275650; entity 6618660; sosId 4719808,,,Alignment Research Center,,,,,,,,,,,,,,,,,,,,,,,,state registries,"GET /api/data/objects/entity/instances?filter={""where"":{""fein"":""86-3605182""},""limit"":20}",https://ca-rcf.evokeplatform.com/api/data/objects/entity/instances?filter=%7B%22where%22%3A%7B%22fein%22%3A%2286-3605182%22%7D%2C%22limit%22%3A20%7D,"""entityName"":""ALIGNMENT RESEARCH CENTER"",""entityStatus"":""Listed"",""fein"":""86-3605182""",2026-09-16T19:36:34Z,1 entity instance id=6618660 Listed; registrations CT0275650; businessSubType Public Benefit; Walnut/Covina CA addresses.,1,,Kept unmerged from METR 99-1219864 / CT0293073.,primary=ent-fein-arc_20260916T193634Z sha256=6358bd52d405c51f2d9ae1c5277da6a50083e9cbba7acbbc3636bedf5a5fe970. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A12,A,MDE,C02.E4;C05.E3;C02.E3,ARC Charitable Organization registration CT0275650,recipient,,CT0275650; registrations 1702682,,,Alignment Research Center,,2021-08-09,,,,,,2021-08-09,day,fiscalYearDate 2024-12-31,,,,,,,,,,,,,,state registries,"GET /api/data/objects/registrations/instances?filter={""where"":{""registrationNumber"":""CT0275650""},""limit"":20}",https://ca-rcf.evokeplatform.com/api/data/objects/registrations/instances?filter=%7B%22where%22%3A%7B%22registrationNumber%22%3A%22CT0275650%22%7D%2C%22limit%22%3A20%7D,"""registrationNumber"":""CT0275650"",""registrationStatus"":""Registered"",""initialRegistrationDate"":""2021-08-09""",2026-09-16T19:37:46Z,Registered; reportingStatus Current; is990Required Yes; fiscalYearDate 2024-12-31; currentIssuanceDate 2021-08-09.,1,,,primary=arc-regnum_20260916T193746Z sha256=94035e2fab4c8fca57499c0e22a2ba1cd3f214185773cf64cd076a63fa1d28e2. Email field KYLIE@ALIGNMENT.ORG is on this public JSON; this lane did not email it. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A13,A,MDP,C02.E3;C02.E4,"ARC registry-published documents (seven): 9950 renewals 2021-2024, 9011 founding documents, Form 1023",,,CT0275650,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,"GET /api/data/objects/document/instances?filter={""where"":{""relatedRegistration.id"":""1702682""},""limit"":200}",https://ca-rcf.evokeplatform.com/api/data/objects/document/instances?filter=%7B%22where%22%3A%7B%22relatedRegistration.id%22%3A%221702682%22%7D%2C%22limit%22%3A200%7D,"""name"":""9950 - Renewal Filing""},""dateRecieved"":""2026-02-04""",2026-09-16T19:40:09Z,"7 public documents: 9950 Renewal 2024 (2026-02-04), 2023 (2024-12-31), 2022 (2024-01-19), 2021 (2022-10-21); 9011 Founding Documents 2021-07-22 and LOD 2022-03-29; Form 1023 2022-03-30. No correspondence/delinquency type.",7,,,primary=arc-docs-relReg_20260916T194009Z sha256=1b966f43ffcfe14028cf568a8c16c64cf62b641e53d0bc89c6c46be850d35686. FY covering 2024-04-30 spin-out is the 2024 9950 packet (C). research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
A14,A,MDP,C02.E4,Wayback id_ capture of /api/data/objects/entity/effective (JS-bundle API path),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20260521082100id_/https://ca-rcf.evokeplatform.com/api/data/objects/entity/effective,https://web.archive.org/web/20260521082100id_/https://ca-rcf.evokeplatform.com/api/data/objects/entity/effective,"""id"":""entity"",""name"":""Entity""",2026-09-16T19:29:20Z,Wayback id_ JSON of the live schema path; live re-GET this window is A05.,1,,,primary=wb-id-entity-effective_20260916T192920Z sha256=53a8df84a9067bf9c15e961f14099ce2e0d092830f2c82d46f3e973d1f54c63d. CDX also listed /api/data/objects/entity/effective HTTP 200 on 20260521. research/STATE.md read before adding facts; MD01/MD12 IRS e-file XML used only as locators and not copied as this lane's discovery or as a substitute for registry-published copies. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed.
