# fetch_window_utc=2026-09-16T19:29:58Z/2026-09-16T19:38:32Z
# routes_used=GET bizfileonline.sos.ca.gov/ /search /search/business (and SearchValue querystrings) /api/Records/businesssearch /api/Records/businessSearch /api/Help /swagger /api/FilingDetail /api/FilingDetail/download /api/Records /api/Records/getentity /api/Business /api/Filings /api/Entities /bulk /orders/bulk /information /robots.txt /api/Search/ /api/History/ /api/Data-Request/GetDataRequestDefinitions /api/AppSetting /api/search/description/business /api/FilingType; SOS www.sos.ca.gov bizfile hub, business-entities, information-requests, cbs-search-tips, statements, PRA business-entity-records, forms/business-records; bpd.cdn.sos.ca.gov/ucc/ucc-online-help.pdf (bizfile Online Portal Manual BE+UCC); data.ca.gov CKAN package_search; GET Delaware icis NameSearch.aspx (no POST) and corp.delaware.gov; Wayback CDX+id_ of bizfile home/search/static JS; r.jina.ai of bizfile and ICIS; GLEIF lei-records locator; OpenCorporates GET locator
# caps_hit=bizfileonline.sos.ca.gov all tested paths HTTP 200 Incapsula challenge (212-byte script shell or ~920-byte iframe; 0 entity records); JSON search is POST /api/Records/{t}search per archived JS — POST not submitted; BE bulk Data Request requires login (Master Unload $100); data.ca.gov q=bizfile count=0; Delaware ICIS GET is ASP.NET POST form with pnlCaptcha — POST not submitted; OpenCorporates hCaptcha; OpenCorporates API Invalid Api Token; r.jina.ai HTTP 403 Cloudflare; some Wayback CDX HTTP 503 Temporarily Offline; catalog.data.gov package_search HTTP 404; guessed bpd.cdn portal-manual PDF paths HTTP 403; GLEIF total=0 for both legal names; data.delaware.gov/api/views.json HTTP 500
# no_kevinnbass_sources=true
# research/STATE.md read before adding facts; held locators not recollected as discoveries: METR Inc EIN 99-1219864 distinct from ARC EIN 86-3605182; FY2024 Form 990 Part VII officer names; 990 LegalDomicileStateCd=DE; prior Incapsula none-founds MDS0797/MDS0763 (checked_utc is this lane). Lane sent nothing, contacted nobody, did not submit/file/post/email, did not complete Incapsula/hCaptcha, did not POST Delaware NameSearch, did not ask how the approximately $71 million commitment was composed or allocated.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDS,C05.E3;C02.E4;C08.E1,bizfile Online home GET (JS shell behind Incapsula),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://bizfileonline.sos.ca.gov/,https://bizfileonline.sos.ca.gov/,"<META NAME=""robots"" CONTENT=""noindex,nofollow"">",2026-09-16T19:29:58Z,HTTP 200 212 bytes Incapsula challenge; 0 entity records,0,,,"Saved bizfile-home_20260916T192958Z.html sha256=d02032286070b4dd9d8fbd985a7bdca8af8edf52b89ff177db3bfcb2c8a9c43d. Challenge body has no entity number, type, jurisdiction, CA registration date, status, agent or principal address. This lane did not complete the Incapsula challenge."
2,A,MDS,C05.E3;C02.E4;C08.E1,bizfile Online search/business landing GET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://bizfileonline.sos.ca.gov/search/business,https://bizfileonline.sos.ca.gov/search/business,"<META NAME=""robots"" CONTENT=""noindex,nofollow"">",2026-09-16T19:29:58Z,HTTP 200 212 bytes Incapsula; 0 entity records,0,,,Saved bizfile-search-business_20260916T192958Z.html sha256=d02032286070b4dd9d8fbd985a7bdca8af8edf52b89ff177db3bfcb2c8a9c43d. Same 212-byte Incapsula body as home. Interactive search is a JS SPA; this GET is not a completed name query.
3,A,MDS,C05.E3;C02.E4;C08.E1,"bizfile search GET with SearchValue=Model Evaluation and Threat Research, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET /search/business?SearchValue=MODEL EVALUATION AND THREAT RESEARCH (GET only; no JSON POST),https://bizfileonline.sos.ca.gov/search/business?SearchValue=MODEL%20EVALUATION%20AND%20THREAT%20RESEARCH,"<META NAME=""robots"" CONTENT=""noindex,nofollow"">",2026-09-16T19:29:58Z,HTTP 200 Incapsula; query string not applied; 0 entity records,0,,,Saved bizfile-search-business-metr_20260916T192958Z.html sha256=d02032286070b4dd9d8fbd985a7bdca8af8edf52b89ff177db3bfcb2c8a9c43d. Query-string GET is still the Incapsula shell. This lane did not POST /api/Records/businesssearch.
4,A,MDS,C05.E3;C02.E4;C08.E1,bizfile search GET with SearchValue=Alignment Research Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET /search/business?SearchValue=ALIGNMENT RESEARCH CENTER (GET only; no JSON POST),https://bizfileonline.sos.ca.gov/search/business?SearchValue=ALIGNMENT%20RESEARCH%20CENTER,"<META NAME=""robots"" CONTENT=""noindex,nofollow"">",2026-09-16T19:29:58Z,HTTP 200 Incapsula; query string not applied; 0 entity records,0,,,Saved bizfile-search-business-arc_20260916T192958Z.html sha256=d02032286070b4dd9d8fbd985a7bdca8af8edf52b89ff177db3bfcb2c8a9c43d. Alignment Research Center kept unmerged from METR Inc.
5,A,MDS,C05.E3;C02.E4;C08.E1,bizfile JSON API GET /api/Records/businesssearch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://bizfileonline.sos.ca.gov/api/Records/businesssearch,https://bizfileonline.sos.ca.gov/api/Records/businesssearch,"<META NAME=""robots"" CONTENT=""noindex,nofollow"">",2026-09-16T19:29:58Z,HTTP 200 212 bytes Incapsula; 0 JSON entity records,0,,,Saved bizfile-api-records-businesssearch_20260916T192958Z.html sha256=d02032286070b4dd9d8fbd985a7bdca8af8edf52b89ff177db3bfcb2c8a9c43d. GET of the search API (the SPA uses POST; this lane does not POST). No entity record body.
6,A,MDS,C05.E3;C02.E4;C08.E1,bizfile JSON API GET /api/Records/businessSearch (camelCase alias),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://bizfileonline.sos.ca.gov/api/Records/businessSearch,https://bizfileonline.sos.ca.gov/api/Records/businessSearch,"<META NAME=""robots"" CONTENT=""noindex,nofollow"">",2026-09-16T19:29:58Z,HTTP 200 Incapsula; 0 JSON entity records,0,,,Saved bizfile-api-records-businessSearch_20260916T192958Z.html sha256=d02032286070b4dd9d8fbd985a7bdca8af8edf52b89ff177db3bfcb2c8a9c43d. Same Incapsula body as lowercase path.
7,A,MDS,C05.E3;C02.E4;C08.E1,JSON API path identified in archived SPA JS (Wayback id_ 20200814193200),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,"Wayback GET id_/static/js/main.0b8f140b.js ; substring url:""/api/Records/""+t+""search"" method POST",https://web.archive.org/web/20200814193200id_/https://bizfileonline.sos.ca.gov/static/js/main.0b8f140b.js,"url:""/api/Records/""+t+""search""+(a?""?print=true"":""""),method:""POST"",body:JSON.stringify(e)},r,n)},t.GET_SEARCH_DESCRIPTION=function(e,t){h({url:""/api/search/description/""+e,method:""GET""},t)},t.GET_MY_RECORDS=function(e,t,r,n,a){h({url:""/api/Records/GetMyRecords/""+e,method:""POST"",auth:!0,body:JSON.stri",2026-09-16T19:35:58Z,"archived JS names POST /api/Records/{type}search; live GET of that path this window returned Incapsula, not a result set",0,,,Saved wayback-id_-bizfile-mainjs-20200814_20260916T193558Z.js sha256=e5af9932c1df7616796a47dff803302a2a84ffc26f50cf19f02d0563a8f163e9 (3123061 bytes). Identifies the JSON API the JS shell calls. SEARCH is POST with JSON.stringify body. This lane did not POST. Live GET of /api/Records/businesssearch this window: HTTP 200 Incapsula. Also GET_FILING_DETAILS GET /api/FilingDetail/{e}/{t}/{r} and GET_SEARCH_DESCRIPTION GET /api/search/description/{e} in the same file.
8,A,MDS,C05.E3;C02.E4;C08.E1,JSON API path still POST /api/Records/{{t}}search in 2025-01-01 archived SPA JS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,Wayback GET id_/static/js/main.163d986d.js (named by 20250101100145id_ search/business shell),https://web.archive.org/web/20250101100145id_/https://bizfileonline.sos.ca.gov/static/js/main.163d986d.js,"url:""/api/Records/""+t+""search""+(n?""?print=true"":""""),method:""POST"",body:JSON.stringify(e)},a,r)},t.GET_SEARCH_DESCRIPTION=function(e,t){T({url:""/api/search/description/""+e,method:""GET""},t)},t.GET_MY_RECORDS=function(e,t,a,r,n){T({url:""/api/Records/GetMyRecords/""+e,method:""POST"",auth:!0,body:JSON.stri",2026-09-16T19:36:50Z,2025 archived JS still POSTs /api/Records/{t}search; live GET Incapsula,0,,,Saved wayback-id_-bizfile-mainjs-20250101_20260916T193650Z.js sha256=a28cdfeb4288ef5e6573532a9d1ad8006bff734115152990f8bcae0aaa01b3db. Corroborates the 2020 API path. Not an entity record.
9,A,MDS,C05.E3;C02.E4;C08.E1,Wayback id_ 20200814193200 bizfile home is the JS shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,Wayback GET 20200814193200id_/https://bizfileonline.sos.ca.gov/,https://web.archive.org/web/20200814193200id_/https://bizfileonline.sos.ca.gov/,"<div id=""root""></div><script type=""text/javascript"" src=""/static/js/main.0b8f140b.js""></script><script async type=""text/javascript"" src=""/_Incapsula_Resource?SWJIYLWA=719d34d31c8e3a6e6fffd425f7e032f3&ns=2&cb=1870442051""></script>",2026-09-16T19:35:00Z,archived HTML is a React #root shell loading /static/js/main.0b8f140b.js; 0 entity records in the HTML,0,,,"Saved wayback-id_-bizfile-home-20200814193200_20260916T193500Z.html sha256=b5755d088dab884b7da8f6c674fc59438975860b5451d1482f2702103fcb9892. title=Secretary of State; data-build-number=3.1.9.6. Used to locate the JS bundle, not as a METR/ARC record."
10,A,MDS,C05.E3;C02.E4;C08.E1,Wayback id_ 20250101100145 search/business is still a JS shell plus Incapsula script,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,Wayback GET 20250101100145id_/search/business (--compressed),https://web.archive.org/web/20250101100145id_/https://bizfileonline.sos.ca.gov/search/business,"<div id=""root""></div><script type=""text/javascript"" src=""/static/js/main.163d986d.js""></script><script type=""text/javascript"" src=""/_Incapsula_Resource?SWJIYLWA=719d34d31c8e3a6e6fffd425f7e032f3&ns=1&cb=1227522786"" async></script></body></html>",2026-09-16T19:35:58Z,archived search HTML is #root + /static/js/main.163d986d.js + _Incapsula_Resource; 0 entity records,0,,,Saved wayback-id_-bizfile-search-20250101-decomp_20260916T193558Z.html sha256=026187b3561d9281d2fc020764cc65f541dcddc3c4c8bda8a33e57014115b4fd.
