# fetch_window_utc=2026-09-16T09:58:00Z/2026-09-16T10:06:05Z
# routes_used=recipient filings: IRS e-file index_2023.csv index_2024.csv index_2025.csv index_2026.csv filter EIN=991219864 (complete downloads: 705157/728720/748907/385891 lines); AWS Open Data Efile XML object 202523209349300367_public.xml; ProPublica Nonprofit Explorer org page and api/v2/organizations/991219864.json (locator). METR issuer budget statements: metr.org/ (home, about, blog, donate, careers, jobs redirect to /careers, team redirect to /about#our-team); metr.org/blog/2026-08-14-funding-update/; metr.org/2024-annual-report.pdf; metr.org/2025-annual-report.pdf and /annual-report and /annual-report.pdf (404); metr.org/blog/2025-05-progress-update/ and 2025-06-05-progress-update/ and 2025-progress-report.pdf (404); metr.org/february-2026-progress-report.pdf; metr.org/june-2026-progress-report.pdf; metr.org/AR_report.pdf (2023 evals paper, not an annual report); metr.org/blog/2024-02-07-2023-year-in-review/; metr.org/sitemap.xml (253 loc); metr.substack.com/. Public job data: jobs.lever.co/metr; api.lever.co/v0/postings/metr?mode=json; metr.org/careers; sitemap /team/* URLs. Officer on-record self-statements: greaterwrong.com Beth Barnes shortform comment w3e6cbHeozQJaJH5c; lesswrong.com same post (HTTP 429); forum.effectivealtruism.org same post (JS shell) plus GraphQL comment lookup. Press locator then primary: businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8 and r.jina.ai proxy of same. Archives: Wayback CDX metr.org/2024-annual-report.pdf (retry HTTP 200 after first 503). IRS TEOS app apps.irs.gov/app/eos/ and TEOS landing. LinkedIn /company/metr and company search (not merged with METR). research/STATE.md and already-promoted MD01/MD14 rows as locators (read, not rewritten).
# caps_hit=IRS TEOS interactive app HTTP 403 Akamai; IRS TEOS landing HTTP 403 Akamai; ProPublica org .json HTTP 400 (API v2 with identifying User-Agent HTTP 200); EA Forum GraphQL comment selector documentId=w3e6cbHeozQJaJH5c app.missing_document (html-only query); earlier GraphQL 400 GRAPHQL_VALIDATION_FAILED on Revision.plaintext; EA Forum HTML is a JS shell without the comment body; LessWrong HTTP 429 Vercel Security Checkpoint; LinkedIn /search/results/companies login wall; linkedin.com/company/metr is a different legal entity (metr Building Management Systems GmbH); metr.org/2025-annual-report.pdf /annual-report /annual-report.pdf /2025-progress-report.pdf /blog/2025-05-progress-update/ /blog/2025-06-05-progress-update/ HTTP 404; metr.org/sitemap_index.xml HTTP 404; Wayback CDX first attempt HTTP 503/504 then retry HTTP 200
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16T09:55Z before adding facts; already-held Wave 1/seed facts re-verified from live or AWS primaries this lane and not presented as new discoveries: METR FY2024 Form 990 CYTotalRevenueAmt=13639155 (MD01); METR 2026-08-14 approximately $71 million commitments (MD14 A01 / STATE denominator); Barnes 2025-09-28 run-rate and runway (MD14 C08/C09 / seed G15/G16). FY2024 expenditure and W-2/employee tags, the 2024 annual-report budget lines, BI 35-person characterization, live Lever board, and the June 2026 progress-report hiring sentence are recorded from this-run primaries. This overwrite replaces the medium-run CSV (fetch_window_utc=2026-09-16T07:20:05Z/2026-09-16T07:22:53Z); timestamps below are this fetch window.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDF,C01.E3;C01.E4,METR statement of commitments raised in the last 6 months (issuer budget-adjacent statement),recipient,METR; Model Evaluation and Threat Research,99-1219864,,,Model Evaluation and Threat Research Inc,,2026-02-14,2026-08-14,,commitment,71000000,USD,2026-08-14,day,the last 6 months as of 2026-08-14 (derived window approximately 2026-02-14 to 2026-08-14),committed; payment not stated,,,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T09:58:08Z,verbatim sentence present in live HTML body and meta description,1,https://metr.org/2024-annual-report.pdf,"Amount is around $71 million, not an exact integer. Payment and composition are not stated. A commitment is not filed revenue and is not a run-rate.",Re-fetched live HTTP 200. JSON-LD datePublished=2026-08-14T00:00:00-07:00. Working integer 71000000 is the round number in the sentence; qualifier around retained. SHA-256=ea456b2af1d1c078af97f7d5e5752ff95991403f609f29fa4346afcaa48e37cf of metr-org-funding-update-20260916T095808Z.html (byte-identical to the MD14 primary). The same sentence is restated on metr.org/ home this fetch (metr-org-home-20260916T095800Z.html); not a second commitment. Already held as MD14 A01 / STATE denominator; this lane re-verified the live page and does not present the figure as a new discovery. no_kevinnbass_sources. This lane did not ask METR how the total was composed.
A02,A,MDP,C01.E3,METR 2024 annual report stated 2024 budget,recipient,METR,99-1219864,,,Model Evaluation and Threat Research Inc,,,,,,,USD,2024-12-31,year,calendar 2024,,,,,,"$10 million total 2024 budget (issuer statement, calendar 2024)",,,,,,issuer budget statement; not an inbound amount and not comparable with the commitment denominator,,issuer statements,GET https://metr.org/2024-annual-report.pdf ; pdftotext,https://metr.org/2024-annual-report.pdf,METR achieved this and more on a total 2024 budget of $10 million.,2026-09-16T09:58:10Z,budget sentence present in 2024 Annual Report PDF text,1,https://metr.org/blog/2026-08-14-funding-update/,"This is METR's own budget statement for calendar 2024, not FY2024 Form 990 filed revenue (CYTotalRevenueAmt=13639155) and not a commitment. money_type left empty because budget is not in the lane vocabulary. amount_usd left empty so the figure is not treated as an additive integer. Do not sum with the 2026 commitment statement or with filed totals.","Live PDF HTTP 200, 10749402 bytes, SHA-256=e7f0c272da4d982a8d62e2cb12b5a02954b29c2773cca238a099909964ad2e31 saved as metr-org-2024-annual-report-20260916T095810Z.pdf. Seed/STATE locator G01; re-extracted this run. Calendar 2024 does not overlap the Feb-Aug 2026 commitment window. target_prefix=MDP so an untyped budget figure does not sit in the money ledger. Wayback CDX retry 2026-09-16T10:05:31Z listed one 200 capture 20250701114600 (digest DRVQML7UXZCA4DOMEX3EOW4XJW3ICAEH, length 8611519); live PDF used."
A03,A,MDP,C01.E3,METR 2024 annual report stated 2025 raise-and-deploy target,recipient,METR,99-1219864,,,Model Evaluation and Threat Research Inc,,,,,,,USD,2024-12-31,year,calendar 2025 target as stated in the 2024 annual report,,,,,,$15 million 2025 raise-and-deploy target (issuer statement),,,,,,issuer fundraising target; not revenue and not a commitment,,issuer statements,GET https://metr.org/2024-annual-report.pdf ; pdftotext,https://metr.org/2024-annual-report.pdf,"In 2025, we seek to raise and deploy $15 million, and intend to achieve even more than in 2024.",2026-09-16T09:58:10Z,fundraising-target sentence present in the same 2024 Annual Report PDF,1,,A 2025 raise-and-deploy target is not 2025 filed revenue (FY2025 990 not in the e-file index) and is not the 2026 commitment statement. Same PDF as A02; not an additional year of audited accounts. money_type left empty. amount_usd left empty.,"Same primary SHA-256=e7f0c272da4d982a8d62e2cb12b5a02954b29c2773cca238a099909964ad2e31. Seed locator G02. Same document as A02; two sentences, not two budgets to add. target_prefix=MDP."
A04,A,MDP,C01.E3,Beth Barnes public run-rate statement,individual,Elizabeth Barnes; Beth Barnes,principal officer on FY2024 Form 990: ELIZABETH BARNES,Beth Barnes,,METR,,,,,,,,2025-09-28,day,"annual, as of 2025-09-28",,,,,,~$13m p.a. rn (~$15m next year; quite plausibly $17m++),,,,,,issuer run-rate statement; not an inbound amount,,self-statements,GET https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Budget: We run at ~$13m p.a. rn (~$15m for the next year under modest growth assumptions, quite plausibly $17m++ given the increasingly insane ML job market).",2026-09-16T09:58:54Z,verbatim Budget sentence in comment body; comment date 28 Sep 2025 20:34 UTC (data-js-date=1759091652000),1,https://www.lesswrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform?commentId=w3e6cbHeozQJaJH5c,"A run-rate is METR's own spend rate, not inbound revenue or a commitment. amount_usd left empty so the approximate figures are not treated as additive integers. money_type left empty (not in vocabulary as run_rate).","Author byline Beth Barnes. SHA-256=e31dca3c7d1540a01c1786b06c4b3a0c92a6893923ad75c3002ced609ee86b4e of greaterwrong-barnes-shortform-comment-20260916T095854Z.html. Already held as seed G15 / MD14 C08 (excluded from the $71M denominator because a run-rate is not an inbound amount); re-verified this run, not a new discovery. LessWrong HTTP 429 (E10). EA Forum HTML for the same post did not include the comment body (JS shell); GraphQL lookup returned app.missing_document (E08). target_prefix=MDP."
A05,A,MDT,C01.E3,Beth Barnes public runway statement,individual,Beth Barnes,,Beth Barnes,,METR,,,,,,,,2025-09-28,day,as of 2025-09-28,,,,,,12 to 16 months of runway,,,,,,,,self-statements,GET https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Runway: Depending on spend/growth assumptions, we have between 12 and 16 months of runway.",2026-09-16T09:58:54Z,verbatim Runway sentence in the same 2025-09-28 comment,1,,"Runway is derived spend coverage, not a funding event and not filed revenue. Same comment as A04/A06; not additive.",Same primary SHA-256=e31dca3c7d1540a01c1786b06c4b3a0c92a6893923ad75c3002ced609ee86b4e. Already held seed G16 / MD14 C09; re-verified. HTML body contains a word-joiner in spend/growth; quote_300 uses the readable sentence as in og:description.
A06,A,MDP,C01.E3,Beth Barnes end-of-2025 fundraising goal and Audacious described as one-off,individual,Beth Barnes,,Beth Barnes,,METR,,,,,,,,2025-09-28,day,end of 2025,,,,,,fundraising goal to raise $10M by end of 2025,,,,,,issuer fundraising goal for end-2025 ($10M) and Audacious described as one-off; not revenue,,self-statements,GET https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,Our fundraising goal for the end of 2025 is to raise $10M,2026-09-16T09:58:54Z,fundraising-goal sentence present in the same comment,1,,A fundraising goal is not filed 2025 revenue and is not the 2026 commitment total. Same comment as A04/A05. Audacious one-off description is not an allocation of the $71 million.,Same primary SHA-256=e31dca3c7d1540a01c1786b06c4b3a0c92a6893923ad75c3002ced609ee86b4e. Seed locator G17. Not summed with A02/A03 $10M/$15M annual-report figures (different dates and types). target_prefix=MDP.
A07,A,MDE,C02.E4;C01.E3,FY2024 Form 990 Part I number of employees (W-2/headcount line),recipient,METR,99-1219864,,,Model Evaluation and Threat Research Inc,,2024-05-01,2024-12-31,,,,,2024-12-31,interval,FY2024 short year 2024-05-01 to 2024-12-31,,,,,,TotalEmployeeCnt=38,,,,,,,yes,recipient filings,AWS Efile XML 202523209349300367_public.xml IRS990 TotalEmployeeCnt (Part I),https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml,<TotalEmployeeCnt>38</TotalEmployeeCnt>,2026-09-16T09:59:19Z,Part I TotalEmployeeCnt=38; Part V EmployeeCnt=38 on the same return,1,https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,"This is the number of individuals employed in calendar year 2024 as filed, not a 2026 headcount. Schedule F TotalEmployeeCnt=63 is a different measure (employees/contractors in activities outside the US by region) and is not added to 38. Not comparable to the BI approximately 35-person characterization or to live job-posting counts.",XML SHA-256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9 of aws-990-202523209349300367-20260916T095919Z.xml identical to MD01 saved IRS bulk extract. PrincipalOfficerNm=ELIZABETH BARNES. Seed locator G07 (Part I line 5). Re-fetched via AWS Open Data this run; not presented as a newly discovered filing. InitialReturnInd=X; FormationYr=2024.
A08,A,MDE,C02.E4,FY2024 Form 990 Part V EmployeeCnt (W-3/employment-tax line),,,99-1219864,,,Model Evaluation and Threat Research Inc,,,,,,,,2024-12-31,interval,FY2024,,,,,,EmployeeCnt=38; IRPDocumentCnt=24; IRPDocumentW2GCnt=0,,,,,,,yes,recipient filings,AWS Efile XML 202523209349300367_public.xml IRS990 EmployeeCnt (Part V),https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml,<EmployeeCnt>38</EmployeeCnt>,2026-09-16T09:59:19Z,Part V EmployeeCnt=38 matches Part I TotalEmployeeCnt; not a second census,1,,"Same 38 as A07, different XML tag. Do not add Part I and Part V. IRPDocumentCnt=24 is information-return documents, not employees. W-2G count is 0.",Same XML SHA-256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9. EmploymentTaxReturnsFiledInd=1.
A09,A,MDE,C01.E3,Business Insider characterization of METR as an approximately 35-person lab,recipient,METR,,,,,,,,,,,,2026-09-11,day,as characterized in the 2026-09-11 article,,,,,,"approximately 35-person (press wording, not a METR census)",,,,,,,,press,GET https://www.businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8,https://www.businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8,"Still, the feeling inside the approximately 35-person lab is one of concern.",2026-09-16T09:58:56Z,press sentence present in live article body; JSON-LD date 2026-09-11T23:01:35.296Z; author Stephen Council,1,https://jobs.lever.co/metr,"This is Business Insider's wording, not a verbatim METR or officer headcount. It is not the FY2024 W-2 count of 38 and is not a count of live Lever postings. Not summed with any other headcount.",Live HTTP 200. SHA-256=f5fed0ce5feba890d5a591829013a794fd20e47d4bd1c8aefd1c49bc1281bcac of businessinsider-metr-barnes-20260916T095856Z.html. Seed locator G08. r.jina.ai proxy also HTTP 200 this run (businessinsider-metr-barnes-jina-20260916T095857Z.md). Task A records it because the plan named public job-data/press headcount as a locator; it is not treated as a METR statement.
A10,A,MDP,C01.E3,Beth Barnes on-record statement that fundraising is not the bottleneck,individual,Beth Barnes,,Beth Barnes,,METR,,,,,,,,2026-09-11,day,,,,,,,,,,,,,"on-record officer statement via press: fundraising not the bottleneck; qualitative, no amount",,press,GET https://www.businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8,https://www.businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8,"Ideally, we'd like to scale really large, but in practice, we've been able to fundraise as much as we need, and the bottleneck is much more talent,",2026-09-16T09:58:56Z,quoted as Barnes said in the same 2026-09-11 Business Insider article,1,,"On-record via press, not a metr.org page. States fundraising capacity qualitatively; no dollar amount. Not a 2026 run-rate and not the $71 million commitment.","Same primary as A09 SHA-256=f5fed0ce5feba890d5a591829013a794fd20e47d4bd1c8aefd1c49bc1281bcac. Seed locator G11. Adjacent sentence attributes job-posting salaries to current postings (press), not used as a budget total. target_prefix=MDP."
