# fetch_window_utc=2026-09-16T18:45:48Z/2026-09-16T18:49:42Z
# routes_used=read research/EXHAUSTION-GATE.json (gate_pass, exceptions, gate_note, reconciliation.residual_cells, records_routes); read research/commitment_reconciliation.csv (denominator, compatible_component, identified_compatible_total, unresolved_remainder); GET https://metr.org/blog/2026-08-14-funding-update/; GET https://metr.org/about; GET https://www.packard.org/grantee/model-evaluation-and-threat-research/ (recon-cited compatible cell to attach, not a funder re-sweep). research/STATE.md and research/CLAIMS.md (C01.E4, C02.E2) locators only. Primary routes: exhaustion gate and residual unknown matrix only.
# caps_hit=none (all live GETs HTTP 200; no 429/403 this run)
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a donor list); entity separations; five S4 drafts still USER_AUTHORITY_WAIT. Embargo: draft unsent; approved_for_send false; USER_AUTHORITY_WAIT; nothing emailed, filed, submitted, posted or telephoned; research/outreach/MD99-71m-allocation.md not written; research/records/REQUESTS.jsonl not written. Money types not summed. Legal entities not merged.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDP,C01.E4,Exhaustion gate pass state as found (with listed exceptions),,,gate_pass,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,"read captured EXHAUSTION-GATE_20260916T184548Z.json fields gate_pass, exceptions, gate_note, reconciliation.residual_cells",https://metr.org/blog/2026-08-14-funding-update/,"gate passes with the listed exceptions (future documents, the embargoed remainder, unsent drafts awaiting Kevin's decision, and audit items open by date)",2026-09-16T18:45:48Z,gate_pass=true with listed exceptions as found; this lane does not treat those exceptions as a bar on drafting,1,https://metr.org/about,"Gate JSON is a pack-derived locator. Residual cells it enumerates are request-form unknowns, not a donor list. Future calendar closers remain future.","primary=EXHAUSTION-GATE_20260916T184548Z.json sha256=6f8887d93013f29b777cce0851e156c19efaab5a9547f40e03addc64bc6e1ae1. Quote is gate_note verbatim. Exceptions include unsent S4 drafts awaiting Kevin, future calendar closers, and remainder open by design (MD50 D0004). research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
A02,A,MDP,C01.E4;C02.E2,Residual cell: who/vehicle of each remainder component,,,residual_cells,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,read captured EXHAUSTION-GATE_20260916T184548Z.json reconciliation.residual_cells,https://metr.org/blog/2026-08-14-funding-update/,Residual cell (request form): who/vehicle of each component of the around $70.65 million remainder,2026-09-16T18:45:48Z,enumerated as a residual unknown; not asked as if already established; not treated as a named donor list,1,,"This is a request-form cell from the gate, not a finding that a named person supplied the remainder.","primary=EXHAUSTION-GATE_20260916T184548Z.json sha256=6f8887d93013f29b777cce0851e156c19efaab5a9547f40e03addc64bc6e1ae1. Quote is residual_cells[] verbatim. Packard $350,000 is not this cell. research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
A03,A,MDP,C01.E4;C02.E2,Residual cell: committed amount of each remainder component,,,residual_cells,,,,,,,,commitment,,,,,,,,,,,,,,,,,,,issuer statements,read captured EXHAUSTION-GATE_20260916T184548Z.json reconciliation.residual_cells,https://metr.org/blog/2026-08-14-funding-update/,Residual cell (request form): committed amount of each remainder component,2026-09-16T18:45:48Z,enumerated as a residual unknown; not asked as if already established; not treated as a named donor list,1,,"This is a request-form cell from the gate, not a finding that a named person supplied the remainder.","primary=EXHAUSTION-GATE_20260916T184548Z.json sha256=6f8887d93013f29b777cce0851e156c19efaab5a9547f40e03addc64bc6e1ae1. Quote is residual_cells[] verbatim. Packard $350,000 is not this cell. research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
A04,A,MDT,C01.E4;C02.E2,Residual cell: commitment date of each remainder component,,,residual_cells,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,read captured EXHAUSTION-GATE_20260916T184548Z.json reconciliation.residual_cells,https://metr.org/blog/2026-08-14-funding-update/,Residual cell (request form): commitment date of each remainder component,2026-09-16T18:45:48Z,enumerated as a residual unknown; not asked as if already established; not treated as a named donor list,1,,"This is a request-form cell from the gate, not a finding that a named person supplied the remainder.","primary=EXHAUSTION-GATE_20260916T184548Z.json sha256=6f8887d93013f29b777cce0851e156c19efaab5a9547f40e03addc64bc6e1ae1. Quote is residual_cells[] verbatim. Packard $350,000 is not this cell. research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
A05,A,MDF,C01.E4;C02.E2,Residual cell: cash paid to date on each remainder component and on Packard 2026-79050,,,residual_cells,,,,,,,,,,,,,,cash paid to date not on public pages checked,,,,,,,,,,,,,issuer statements,read captured EXHAUSTION-GATE_20260916T184548Z.json reconciliation.residual_cells,https://metr.org/blog/2026-08-14-funding-update/,Residual cell (request form): cash paid to date on each remainder component (and on Packard 2026-79050),2026-09-16T18:45:48Z,enumerated as a residual unknown; not asked as if already established; not treated as a named donor list,1,,"This is a request-form cell from the gate, not a finding that a named person supplied the remainder.","primary=EXHAUSTION-GATE_20260916T184548Z.json sha256=6f8887d93013f29b777cce0851e156c19efaab5a9547f40e03addc64bc6e1ae1. Quote is residual_cells[] verbatim. Packard $350,000 is not this cell. research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
A06,A,MDP,C01.E4;C02.E2,Residual cell: restriction/purpose of each remainder component,,,residual_cells,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,read captured EXHAUSTION-GATE_20260916T184548Z.json reconciliation.residual_cells,https://metr.org/blog/2026-08-14-funding-update/,Residual cell (request form): restriction/purpose of each remainder component,2026-09-16T18:45:48Z,enumerated as a residual unknown; not asked as if already established; not treated as a named donor list,1,,"This is a request-form cell from the gate, not a finding that a named person supplied the remainder.","primary=EXHAUSTION-GATE_20260916T184548Z.json sha256=6f8887d93013f29b777cce0851e156c19efaab5a9547f40e03addc64bc6e1ae1. Quote is residual_cells[] verbatim. Packard $350,000 is not this cell. research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
A07,A,MDI,C01.E4,Residual cell: whether in-kind is inside the approximately $71 million,,,residual_cells,,,,,,,,,,,,,,,,,,undisclosed whether counted inside the approximately $71 million,,,,,,,,,issuer statements,read captured EXHAUSTION-GATE_20260916T184548Z.json reconciliation.residual_cells,https://metr.org/blog/2026-08-14-funding-update/,Residual cell (request form): whether in-kind is inside the approximately $71 million,2026-09-16T18:45:48Z,enumerated as a residual unknown; not asked as if already established; not treated as a named donor list,1,,"This is a request-form cell from the gate, not a finding that a named person supplied the remainder.","primary=EXHAUSTION-GATE_20260916T184548Z.json sha256=6f8887d93013f29b777cce0851e156c19efaab5a9547f40e03addc64bc6e1ae1. Quote is residual_cells[] verbatim. Packard $350,000 is not this cell. research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
A08,A,MDF,C01.E4;C02.E2,"Already established: Packard $350,000 compatible commitment-USD component (not re-asked as unknown)",foundation,Packard Foundation; The David and Lucile Packard Foundation,MDP0030;grant listing on packard.org/grantee/model-evaluation-and-threat-research/,The David and Lucile Packard Foundation,,Model Evaluation and Threat Research,,,,,commitment,350000,USD,2026-07-06,day,award year 2026; listing 2026-07-06 inside window,,for general support,,,,,,,,,,,catalog listing; not a receipt,public grant databases,"GET https://www.packard.org/grantee/model-evaluation-and-threat-research/ (recon-cited compatible cell, attached; not a funder re-sweep)",https://www.packard.org/grantee/model-evaluation-and-threat-research/,"1 Grants / $350,000",2026-09-16T18:45:49Z,"already held compatible commitment-USD component; this lane does not ask the $350,000 amount, award year, or general-support purpose as unknown; cash paid vs approved remains a residual cell (A05)",1,https://www.packard.org/grant/2026-79050/,Listing date is not an instrument date. Grant id 2026-79050 is already held from prior lanes; it is not on this grantee HTML this fetch. Paid versus approved is not on this page.,"primary=packard-grantee-metr_20260916T184549Z.html sha256=000e14296a7c498c02e613e3ff73123257e2485127fb4f66d047f3b1b2dc7515. Also in commitment_reconciliation_20260916T184548Z.csv compatible_component MDP0030. Quote verbatim from this-run Packard HTML. research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
A09,A,MDP,C01.E4,"Already established: unresolved remainder around $70.65 million of commitment-USD is an arithmetic gap, not a donor list",,,unresolved_remainder,,,,,,,,commitment,70650000,USD,,,the last 6 months as of 2026-08-14,,,,,,,,,,,,,,issuer statements,read captured commitment_reconciliation_20260916T184548Z.csv kinds identified_compatible_total and unresolved_remainder; GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"composition unknown from public sources checked; residual, not a donor list",2026-09-16T18:45:48Z,"unresolved remainder around $70.65 million of commitment-USD (=71000000-350000 working integer of around $71 million); composition unknown; residual, not a donor list",1,,"Denominator is around $71 million, not a certified exact total. Remainder inherits around. Money types are not summed. This is not a finding that $70.65 million was raised from any named person.","primary=commitment_reconciliation_20260916T184548Z.csv sha256=daebca7a18748eed94b955e0affeb51d1c854b79c7fda7c5830352c2a7751b43 and metr-org-funding-update_20260916T184548Z.html sha256=1e2a3cd0e01bf3576fcd2b52c5527dc5e0743ef3a9f486d1ae638bf0a13de30c. Quote is the recon unresolved_remainder reason substring. research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
A10,A,MDP,C01.E4,Already held: five S4 drafts remain USER_AUTHORITY_WAIT (not this lane's discovery; not sent),,,MD50 D0011; records_routes five requests,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,read captured EXHAUSTION-GATE_20260916T184548Z.json records_routes.requests and audits.MD50.open.D0011,https://metr.org/blog/2026-08-14-funding-update/,USER_AUTHORITY_WAIT: five drafts unsent (REQUESTS.jsonl); no clock is running; Kevin decides whether any is sent or waived,2026-09-16T18:45:48Z,five S4 drafts unsent and unapproved; USER_AUTHORITY_WAIT; no clock is running; this lane does not send them and does not wait on Kevin's S4 send/decline before drafting MD99,5,,"Listed gate exception, not a bar on this draft. This lane does not rewrite the gate or REQUESTS.jsonl.","primary=EXHAUSTION-GATE_20260916T184548Z.json sha256=6f8887d93013f29b777cce0851e156c19efaab5a9547f40e03addc64bc6e1ae1. Quote verbatim from audits/exceptions. Already held from S4; not discovered here. research/STATE.md read before adding facts. Already-held locators cited as held, not this lane's discoveries: Packard $350,000 compatible commitment-USD component; unresolved remainder around $70.65 million of commitment-USD (arithmetic, not a named-person finding or donor list); legal entities unmerged; five S4 drafts still USER_AUTHORITY_WAIT. no_kevinnbass_sources. This lane sent nothing (no email, message, telephone, file, submit, or post). approved_for_send false. Draft not written to research/outreach/. REQUESTS.jsonl not written."
