# metr_deep MDF table funding_events.csv; scaffolded by scripts/build_tables.py 2026-09-16T04:35:09Z; ids MDFNNN; rows enter only through `python3 -m casework promote` from a reviewed lane, or from a reviewed seed import named in note; rows are never deleted, corrections append an audit note
row_id,ledger,money_type,amount_usd,currency,from_entity,to_entity,date,date_precision,period,payment_status,purpose_restriction,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,intermediary,relationship_type,start_date,end_date,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,review_verdict,lane,note
MDF0001,commitments,commitment,71000000,,not stated in this source,METR,2026-08-14,day,six months to Aug 2026,committed; payment not stated,not stated in this source,S0 seed import,MDF,C01.E1,commitments raised,,,,,,,,,,,,,,,,,,,issuer statements,,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/budget.csv; seed_row_id=G03; seed_sha256=1a26a778e146cc2db529f1296b8202e44893d41a48b6ed37a0bfbd1059310267; lane=research/grok-out/S0-seed-import.csv#1; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0002,commitments,commitment,"~13000000 per year (~$15M next year; ""quite plausibly $17m++"")",,"n/a - this is METR's own run rate, not an inbound amount",METR,2025-09-28,day,"annual, Sep 2025",n/a,,S0 seed import,MDF,C01.E3,run-rate,,,,,,,,,,,,,,,,,,,self-statements,,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Budget: We run at ~$13m p.a. rn (~$15m for the next year under modest growth assumptions, quite plausibly $17m++ given the increasingly insane ML job market).",2026-09-14T00:00:00Z,,,,a run rate is not an inbound amount and is never summed with a commitment,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/budget.csv; seed_row_id=G15; seed_sha256=1a26a778e146cc2db529f1296b8202e44893d41a48b6ed37a0bfbd1059310267; lane=research/grok-out/S0-seed-import.csv#2; review=research/agents-2026-09-15/S0-seed-import.md; superseded by MDF0465 2026-09-16"
MDF0003,commitments,commitment,12–16 months,,,METR,2025-09-28,day,Sep 2025,,,S0 seed import,MDF,C01.E3,runway,,,,,,,,,,,,,,,,,,,self-statements,,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Runway: Depending on spend/growth assumptions, we have between 12 and 16 months of runway.",2026-09-14T00:00:00Z,,,,"runway is a derived statement about spend, not a funding event",CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/budget.csv; seed_row_id=G16; seed_sha256=1a26a778e146cc2db529f1296b8202e44893d41a48b6ed37a0bfbd1059310267; lane=research/grok-out/S0-seed-import.csv#3; review=research/agents-2026-09-15/S0-seed-import.md; superseded by MDF0466 2026-09-16"
MDF0004,commitments,commitment,"<16000000 (""a bit under $16m"")",,The Audacious Project (TED),METR,2025-09-28,day,3 years,committed; payment not stated,,S0 seed import,MDF,C06.E2;C01.E3,"Audacious commitment (METR share, METR's own later figure)",,,,,,,,,,,,,,,,,,,self-statements,,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Audacious funding: This ended up being a bit under $16m, and is a commitment across 3 years.",2026-09-14T00:00:00Z,,,,METR's own later figure; never summed with the 2024-10-09 announcement figure,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/budget.csv; seed_row_id=G14; seed_sha256=1a26a778e146cc2db529f1296b8202e44893d41a48b6ed37a0bfbd1059310267; lane=research/grok-out/S0-seed-import.csv#4; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0005,commitments,commitment,38000000,,The Audacious Project (TED),Canary (RAND + METR),2024-10-09,day,,,Canary: evaluations of frontier AI for dangerous capabilities,S0 seed import,MDF,C06.E2,,,,,,,,,,,,,,,,,,,,issuer statements,,https://www.rand.org/news/press/2024/10/09.html,"""committed approximately $38 million to RAND and METR for Canary""; approximate; Audacious funders include Gates Foundation, ELMA, Emerson Collective, MacKenzie Scott, Skoll, Valhalla; grantee page https://audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand fetched, no",2026-09-14T00:00:00Z,,,,"commitment to a joint project, not a payment to either recipient",CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M57; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#5; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0006,commitments,commitment,17000000,,The Audacious Project (TED),METR,2024-10-09,day,,,METR share of Canary,S0 seed import,MDF,C06.E2;C01.E3,,,,,,,,,,,,,,,,,,,,issuer statements,,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,"""Approximately $17 million of this will support work at METR""; subset of the ~$38M row, do not add METR's own later figure: 'a bit under $16m, and is a commitment across 3 years' (Barnes, 2025-09-28, budget.csv G14). Show both numbers with dates; do not replace one with the other.",2026-09-14T00:00:00Z,,,,subset of the approximately $38M row; not additive with it,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M58; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#6; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0007,transfers_regrants,transfer,4553935,,Alignment Research Center,METR,2024-04-30,day,,filed as distributed,Program spin-off: assets and liabilities of the evaluations program,S0 seed import,MDF,C02.E3;C06.E1,,,,,,,,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml,"ARC FY2024 Schedule I (4,477,169 cash + 76,766 non-cash) and Schedule N; appears in METR FY2024 as 4,501,424 contributions from related organizations (line 1d); intra-group transfer, not new money",2026-09-14T00:00:00Z,,,,intra-group program transfer; not attributable to any single ARC funder,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M63; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#9; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0008,commitments,recommendation,204000,,Survival and Flourishing Fund (Jaan Tallinn),Model Evaluation and Threat Research,SFF-2024,interval,,"recommendation, not a payment",General support,S0 seed import,MDF,C02.E2;C02.E5,,,,,,,,,,,,,,,,,,,,issuer statements,,https://survivalandflourishing.fund/sff-2024-recommendations,"funder column: Jaan Tallinn; SFF S-Process recommendation, not a payment; round label used as date (announcement pages carry no date)",2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M38; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#10; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0009,commitments,recommendation,120000 + 428000 matching pledge,,Survival and Flourishing Fund (Jaan Tallinn),Model Evaluation & Threat Research (METR),SFF-2025,interval,,"recommendation incl. a matching pledge, not a payment",General support,S0 seed import,MDF,C02.E2;C02.E5,,,,,,,,,,,,,,,,,,,,issuer statements,,https://survivalandflourishing.fund/,"funder column: Jaan Tallinn; SFF S-Process recommendation, not a payment; round label used as date (announcement pages carry no date); ‡ = Matching Pledge: commitment to match outside donations up to the pledged amount (SFF Matching Pledge Program from 2025)",2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M39; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#11; review=research/agents-2026-09-15/S0-seed-import.md"
MDF0010,paid_filed,filed_grant,184000,,Founders Pledge Inc,METR,2024,year,,filed as granted,FUND CHARITABLE ACTIVITIES,S0 seed import,MDF,C02.E3;C02.E5,,,,,,,,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523079349303352_public.xml,"Founders Pledge 990 TY2024 Schedule I, recipient EIN 99-1219864; fills in M64 (supersedes its ""amount not retrieved""); the $215,000 adjacent in the search snippet belongs to EIN 82-4265651 as suspected | Matches Jaan Tallinn's public donation ledger to the dollar: 2024-12-06 FP-US $184,000 METR (res",2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M79; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#12; review=research/agents-2026-09-15/S0-seed-import.md"
