# MD04-schmidt-sciences; fetch_window_utc=2026-09-16T09:55:11Z/2026-09-16T10:02:41Z; routes=schmidtsciences.org (home,faq,awardees?search=METR|Alignment Research|Model Evaluation|Alignment Research Center,/grants 404,/opportunities, wp-json/wp/v2/profile_2025?search=METR|Alignment Research|Model Evaluation|Threat Research empty [], wp-json/wp/v2/search?search=METR), metr.org/about, metr.org/blog/2026-08-14-funding-update, anthropic.com Series A 2021-05-28, ProPublica Nonprofit Explorer API+org pages+full_text_search, GivingTuesday 990-PF XML 202543219349108364 (EIN 46-3460261 TY2024), 202513219349104316 (EIN 20-4170342 TY2024), 202513199349101171 (EIN 26-4562328 TY2024), 202512279349100406 (EIN 99-5077186 TY2024 short year), philanthropy.org who-funds METR 99-1219864 and ARC 86-3605182 and grants-by 463460261/204170342, schmidtfutures.com (canonical redirect to schmidtsciences.org), schmidtocean.org/about, tsffoundation.org/about, 11thhourracing.org/our-story, remain.org, silc.org, agog.org, scsp.ai/about, hillspirellc.com (/lander stub), live CNBC 2025-01-21 and Wayback id_ same URL, PR Newswire 2015-04-23 Hillspire/D.E. Shaw, SEC EDGAR company search Hillspire and Anthropic PBC, SAM.gov entity JS-shell, r.jina.ai (403 this window); no_kevinnbass_sources=true
# caps_hit=IRS TEOS apps.irs.gov/app/eos 403 Access Denied; CA SOS bizfileonline Incapsula challenge (no filing number recovered); OpenCorporates hCaptcha; SAM.gov entity page JS-shell (UEI not confirmed in HTML); SEC EDGAR browse-edgar 403; r.jina.ai 403 on FAQ/awardees/METR/Series A so live HTML and WP REST used instead; ProPublica search.json returns HTTP 404 with total_results=0 JSON body for unmatched queries (Schmidt Sciences LLC, 11th Hour Racing, SILC, Remain Schmidt, SCSP, Agog Immersive); awardees/?search= is client-rendered (HTML ~39KB, 0 METR strings; WP REST profile_2025 search=METR|Alignment Research|Model Evaluation|Threat Research each returned []); /grants HTTP 404; hillspirellc.com 114-byte /lander redirect; TY2025 Forms 990-PF not on ProPublica as of fetch (latest_object_id still TY2024 for 46-3460261, 20-4170342, 26-4562328, 99-5077186)
# read_first=research/STATE.md (S1: Schmidt Sciences named on metr.org/about with paying legal entity unstated; Schmidt-entity TY2025 returns are calendar closers; S0 M99 990-PF none-found 2026-09-14 and IV01 Series A Eric Schmidt are seed, not this run's checked_utc); this CSV is a live re-fetch 2026-09-16T09:55:11Z/2026-09-16T10:02:41Z, not a copy of seed or of the 05:33Z prior CSV timestamps
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
X8,A,MDE,C05.E3;C02.E2,"11th Hour Racing, Inc.",impact entity (Inc.) named on issuer our-story; not a ProPublica filer this run,11th Hour Racing,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://11thhourracing.org/our-story/ ; ProPublica search.json?q=11th Hour Racing and q=11th Hour Racing Charitable,https://11thhourracing.org/our-story/,"Under the 11th Hour Racing umbrella, activities are provided through 11th Hour Racing, Inc., which serves as the impact entity and provides programmatic direction to its philanthropic partners, including 11th Hour Racing Charitable, LLC",2026-09-16T10:02:04Z,identified; no EIN printed on the page,1,,none found in ProPublica Nonprofit Explorer search.json?q=11th Hour Racing and q=11th Hour Racing Charitable as of 2026-09-16T09:56:01Z (HTTP 404 JSON total_results=0). No EIN on the our-story page.,FAQ names 11th Hour Racing as a related Schmidt entity (schmidtsciences-faq.html-20260916T095512Z). This row is the Inc. only; Charitable LLC and Action LLC are separate rows. Grants on the site are described as funded by The Schmidt Family Foundation. Primary 11thhourracing-our-story.html-20260916T100204Z. [xhigh re-run row 8 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]
X9,A,MDE,C05.E3;C02.E2,"11th Hour Racing Charitable, LLC",LLC (charitable work) named on issuer our-story; not a ProPublica filer this run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://11thhourracing.org/our-story/ ; ProPublica search.json?q=11th Hour Racing Charitable,https://11thhourracing.org/our-story/,"including 11th Hour Racing Charitable, LLC, which engages in charitable work, and 11th Hour Racing Action, LLC, which engages in social welfare programs and advocacy.",2026-09-16T10:02:04Z,identified; no EIN printed on the page,1,,none found in ProPublica search.json?q=11th Hour Racing Charitable as of 2026-09-16T09:59:36Z (total_results=0). No EIN on the our-story page.,"Kept separate from 11th Hour Racing, Inc. and from 11th Hour Racing Action, LLC. Primary 11thhourracing-our-story.html-20260916T100204Z. [xhigh re-run row 9 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]"
X10,A,MDE,C05.E3;C02.E2,"11th Hour Racing Action, LLC",LLC (social welfare/advocacy) named on issuer our-story; not a ProPublica filer this run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://11thhourracing.org/our-story/,https://11thhourracing.org/our-story/,"and 11th Hour Racing Action, LLC, which engages in social welfare programs and advocacy.",2026-09-16T10:02:04Z,identified; no EIN printed on the page,1,,No EIN on the our-story page; ProPublica 11th Hour Racing searches returned total_results=0 this window.,"Kept separate from 11th Hour Racing, Inc. and from 11th Hour Racing Charitable, LLC. Primary 11thhourracing-our-story.html-20260916T100204Z. [xhigh re-run row 10 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]"
X11,A,MDE,C05.E3;C02.E2,Remain Nantucket,Remain dual entity (Nantucket) named on remain.org; not a ProPublica filer this run,Remain; ReMain Nantucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://remain.org/ ; ProPublica search.json?q=Remain Schmidt,https://remain.org/,"The Remain mission is to bring creative thinking to environmental and community challenges, elevate local industry and encourage innovation and resilience across the island through its dual entities, Remain Nantucket and Remain Ventures.",2026-09-16T09:55:42Z,identified; no EIN printed on the page,1,,none found in ProPublica search.json?q=Remain Schmidt as of 2026-09-16T09:56:03Z (total_results=0). No EIN on remain.org. Dual entities kept on separate rows.,"FAQ names Remain as a related Schmidt entity. TSFF about page: The Foundation also supports the work of Remain, founded in 2008 on Nantucket. This row is Remain Nantucket only. Primary remain-home.html-20260916T095542Z. [xhigh re-run row 11 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]"
X12,A,MDE,C05.E3;C02.E2,Remain Ventures,Remain dual entity (Ventures) named on remain.org; not a ProPublica filer this run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://remain.org/,https://remain.org/,"through its dual entities, Remain Nantucket and Remain Ventures.",2026-09-16T09:55:42Z,identified; no EIN printed on the page,1,,No EIN on remain.org; ProPublica Remain Schmidt search total_results=0.,Kept separate from Remain Nantucket. Primary remain-home.html-20260916T095542Z. [xhigh re-run row 12 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]
X13,A,MDE,C05.E3;C02.E2,Schmidt Initiative for Long Covid,nonprofit initiative; Fund 990 officer title CEO - SILC; not a ProPublica filer this run,SILC,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://silc.org/ ; ProPublica search.json?q=Schmidt Initiative for Long Covid; 990-PF 46-3460261 officer TitleTxt,https://silc.org/,"We are a nonprofit organization dedicated to maximizing advances in Long Covid clinical care worldwide by connecting healthcare providers, improving patient care and sharing the latest research.",2026-09-16T09:55:43Z,identified; no EIN printed on the page,1,,"none found in ProPublica search.json?q=Schmidt Initiative for Long Covid as of 2026-09-16T09:56:01Z (total_results=0). No EIN on silc.org. Officer title CHIEF EXECUTIVE OFFICER - SILC on EIN 46-3460261 TY2024 is a title, not a merger.",FAQ names Schmidt Initiative for Long Covid as a related Schmidt entity. Footer on silc.org says Schmidt Global Health 2026. Kept separate from the Fund. Primary silc-home.html-20260916T095543Z. [xhigh re-run row 13 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]
X14,A,MDE,C05.E3;C02.E2,Agog,philanthropic initiative / immersive media institute; Fund 990 officer title CEO - AGOG; not a ProPublica filer this run,Agog: The Immersive Media Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://agog.org/ ; ProPublica search.json?q=Agog and q=Agog Immersive,https://agog.org/,"We support creators and nonprofits using immersive media like virtual and augmented reality to create human connection, cultivate empathy, and inspire action toward a more just and sustainable future.",2026-09-16T09:55:44Z,identified; no EIN printed on the page,1,,"ProPublica search.json?q=Agog returned unrelated Agoge/AGO orgs, none named Agog Immersive Media Institute; q=Agog Immersive total_results=0. No EIN on agog.org. Officer title CHIEF EXECUTIVE OFFICER - AGOG on EIN 46-3460261 TY2024 is a title, not a merger.",FAQ names Agog as a related Schmidt entity. Kept separate from the Fund and Family Foundation. Primary agog-home.html-20260916T095544Z. [xhigh re-run row 14 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]
X15,A,MDE,C05.E3;C02.E2,Special Competitive Studies Project,private operating foundation; subsidiary of EIN 99-5077186 per scsp.ai/about; not a ProPublica filer this run,SCSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.scsp.ai/about/ ; ProPublica search.json?q=Special Competitive Studies Project; 990-PF 46-3460261 officer TitleTxt CEO - SCSP,https://www.scsp.ai/about/,"SCSP is a private operating foundation located in Arlington, VA, and a subsidiary of The Eric & Wendy Schmidt Operating Foundation, also a private operating foundation.",2026-09-16T10:02:04Z,identified; no own EIN printed on the about page,1,,none found in ProPublica search.json?q=Special Competitive Studies Project as of 2026-09-16T09:59:35Z (total_results=0). About page names parent Operating Foundation (EIN 99-5077186) but does not print SCSP's own EIN.,"Kept separate from both the Operating Foundation and the Strategic Innovation Fund. Officer title CHIEF EXECUTIVE OFFICER - SCSP also appears on EIN 46-3460261 TY2024; that is a title on the Fund return, not a merger. Primary scsp-about.html-20260916T100204Z. [xhigh re-run row 15 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]"
X18,B,MDS,C02.E2,Schmidt Sciences WP REST profile_2025 vs METR,,,,Schmidt Sciences,,METR,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.schmidtsciences.org/wp-json/wp/v2/profile_2025?search=METR&per_page=20,https://www.schmidtsciences.org/wp-json/wp/v2/profile_2025?search=METR&per_page=20,none found in schmidtsciences.org/wp-json/wp/v2/profile_2025?search=METR as of 2026-09-16T10:02:41Z,2026-09-16T10:02:41Z,none found in schmidtsciences.org/wp-json/wp/v2/profile_2025?search=METR as of 2026-09-16T10:02:41Z,0,other CPT if published; award letter,"REST body is the two-byte array []. Same empty array for search=Alignment Research, Model Evaluation, Threat Research. Type rest_base=profile_2025 name=2025 EOY Profiles. Not a substitute for an unpublished award letter.",Issuer listing endpoint used because /awardees HTML is a JS shell. Primary schmidtsciences-wpjson-profile2025-METR.json-20260916T100241Z. [xhigh re-run row 18 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]
X25,D,MDR,C05.E1;C05.E3,"Hillspire, LLC",family office / LLC,,,Hillspire,,Anthropic,press-reported AI startup investment,,,,equity_value,,USD,2025-01-21,day,,,,,,,,,,,,,,named in press; cheque size undisclosed,press,GET https://www.cnbc.com/2025/01/21/eric-schmidts-family-office-invests-ai-startups.html (live HTTP 200 this window); Wayback id_ same URL as archive copy,https://www.cnbc.com/2025/01/21/eric-schmidts-family-office-invests-ai-startups.html,"Schmidt's bets are on some of the largest AI startups, including Anthropic and SandboxAQ.",2026-09-16T09:56:33Z,named; amount undisclosed,1,,"Press, not Anthropic issuer. og:description of the live page. Same article: Eric Schmidt's family office, called Hillspire, has made investments in 22 private AI firms since 2019; The dollar amounts of the investments aren't disclosed. Do not treat Hillspire's 20% D.E. Shaw management-company stake (PR Newswire 2015) as this Anthropic holding.",Separate row from Eric Schmidt the individual (row 24) and from any METR grant. Live CNBC HTTP 200 this window (prior program runs saw Akamai 403); Wayback id_ also saved cnbc-hillspire-wayback.html-20260916T095631Z. Primary cnbc-hillspire-live.html-20260916T095633Z. [xhigh re-run row 25 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]
X29,E,MDS,C05.E1,source class: press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,press,"GET live CNBC 2025-01-21 Hillspire AI startups; Wayback id_ same URL; PR Newswire 2015-04-23 Hillspire D.E. Shaw (identity of family office, not Anthropic amount)",https://www.cnbc.com/2025/01/21/eric-schmidts-family-office-invests-ai-startups.html,"The dollar amounts of the investments aren't disclosed, so it's unclear how much Schmidt has invested in each company.",2026-09-16T09:56:33Z,Hillspire named as Anthropic backer without cheque size; D.E. Shaw 20% is a different transaction,1,,"Press is not an issuer cap table. PR Newswire names a 20 percent D.E. Shaw management-company interest, not Anthropic equity. Live CNBC HTTP 200 this window.",Primary cnbc-hillspire-live.html-20260916T095633Z and prnewswire-hillspire-deshaw.html-20260916T095635Z. result_count=1 for the Anthropic-naming CNBC piece. [xhigh re-run row 29 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]
X34,E,MDS,C05.E1,source class: SEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/cgi-bin/browse-edgar?company=Hillspire&owner=exclude&action=getcompany and company=Anthropic+PBC,https://www.sec.gov/cgi-bin/browse-edgar?company=Hillspire&owner=exclude&action=getcompany,none found in SEC EDGAR browse-edgar company=Hillspire as of 2026-09-16T09:56:36Z (HTTP 403),2026-09-16T09:56:36Z,none found in SEC EDGAR browse-edgar company=Hillspire as of 2026-09-16T09:56:36Z,0,EDGAR HTML if the 403 lifts,Both Hillspire and Anthropic PBC company searches returned HTTP 403. Not treated as evidence of no Form D. Issuer Series A page used for the Anthropic connection instead.,Primary sec-edgar-hillspire.html-20260916T095636Z is the 403 body. Bounded negative for this endpoint. [xhigh re-run row 34 of research/grok-out/MD04-schmidt-sciences.csv; no medium counterpart]
