# fetch_window_utc=2026-09-16T09:15:13Z/2026-09-16T09:34:29Z
# routes_used=AEF-1 publisher PDF+landing+members (aievaluatorforum.org) and r.jina.ai extract of the PDF; METR FRR https://metr.org/blog/2026-05-19-frontier-risk-report/; METR coi-policy.pdf + r.jina.ai extract; metr.org/about; Transluce independence policy; Apollo norms CoI; SecureBio principles+CoI; FAR.AI transparency; Epoch transparency; Palisade about+donate; CA AB1405 leginfo billTextClient; CA Governor 2026-09-09 press; GAO-24-106786 PDF + r.jina.ai; IL P.A. 104-0538 via r.jina.ai (live HTTPS TLS fail); EU AI Act Art.31 service desk; GPAI Code Appendix 3.5 via code-of-practice.ai r.jina.ai + Commission PDF 118119; NIST CAISI; UK AISI about; SEC efts; CourtListener; SAM.gov; Grants.gov; IRS TEOS; IRS XML 202523209349300367; ProPublica org page + full_text_search; CA RCT; Wayback CDX AEF-1 PDF
# caps_hit=Wayback CDX connection-refused then HTTP 503 Temporarily Offline; ilga.gov HTTPS curl 60 SSL verify fail (used r.jina.ai of http PDF); guides.gaoinnovations.gov 403; legiscan.com 403; CourtListener 403; IRS TEOS 403; SAM.gov and Grants.gov JS shells with no server-rendered hits; r.jina.ai of Commission GPAI PDF HTTP 422 (used code-of-practice.ai instead); far.ai/consulting 404 (policy is on /transparency); CA RCT search URL 404; AEF-1 and METR COI PDFs CID-encoded so quotes taken from r.jina.ai extracts of the same URLs (said in note)
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; C08.E5 OPEN; C08 source classes mostly UNTOUCHED except issuer/self/project PARTIAL. Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ and research/primary/MD01.../metr-org-coi-policy-*.pdf were not copied as this lane's discovery. This lane did not contact anyone or ask how the approximately $71 million was composed or allocated.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDP,C08.E5,AEF-1 published standard identity and date (AI Evaluator Forum),project,AEF-1;AI Evaluator Forum,AEF-1 v1 2025-12-04,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,"Version 1, updated December 4, 2025. ",2026-09-16T09:27:18Z,"Publisher AI Evaluator Forum; title AEF-1: Minimum Operating Conditions for Independent Third Party AI Evaluations; Version 1, updated December 4, 2025",1,https://aievaluatorforum.org/initiatives/minimum-operating-conditions,"PDF text is CID-encoded; quote_300 is a verbatim substring of the r.jina.ai extract of the same URL, saved as aef1-standard-jina-20260916T092718Z.txt. Live PDF also saved aef1-standard-20260916T091709Z.pdf.",This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Quote from r.jina.ai extract of the publisher PDF (said here as required when live PDF text is not ASCII-searchable).
A02,A,MDP,C08.E5,AEF-1 1.1 Requirement technical access,project,AEF-1,1.1,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET r.jina.ai of https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,The evaluator secured sufficient technical access to assess the specific system characteristics being evaluated. ,2026-09-16T09:27:18Z,Requirement quoted from AEF-1 publisher PDF via r.jina.ai; publisher AI Evaluator Forum; date 2025-12-04,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Quote is from r.jina.ai extract of the publisher PDF (saved aef1-standard-jina-20260916T092718Z.txt). This is the standard's own published text, not METR's later checklist answers. METR table wording differs on 2.4 ('potential' omitted) and 5.1 ('prior to releasing' vs 'to release').","This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Task A quotes AEF-1 publisher text, not METR Table A.1."
A03,A,MDP,C08.E5,AEF-1 1.3 Requirement computational resources,project,AEF-1,1.3,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET r.jina.ai of https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,The evaluator had access to sufficient computational resources to complete a thorough evaluation. ,2026-09-16T09:27:18Z,Requirement quoted from AEF-1 publisher PDF via r.jina.ai; publisher AI Evaluator Forum; date 2025-12-04,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Quote is from r.jina.ai extract of the publisher PDF (saved aef1-standard-jina-20260916T092718Z.txt). This is the standard's own published text, not METR's later checklist answers. METR table wording differs on 2.4 ('potential' omitted) and 5.1 ('prior to releasing' vs 'to release').","This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Task A quotes AEF-1 publisher text, not METR Table A.1."
A04,A,MDP,C08.E5,AEF-1 1.4 Requirement adequate time,project,AEF-1,1.4,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET r.jina.ai of https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,The evaluator had adequate time to carry out a thorough evaluation. ,2026-09-16T09:27:18Z,Requirement quoted from AEF-1 publisher PDF via r.jina.ai; publisher AI Evaluator Forum; date 2025-12-04,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Quote is from r.jina.ai extract of the publisher PDF (saved aef1-standard-jina-20260916T092718Z.txt). This is the standard's own published text, not METR's later checklist answers. METR table wording differs on 2.4 ('potential' omitted) and 5.1 ('prior to releasing' vs 'to release').","This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Task A quotes AEF-1 publisher text, not METR Table A.1."
A05,A,MDP,C08.E5,AEF-1 2.1 Requirement no contingent compensation,project,AEF-1,2.1,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET r.jina.ai of https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,The evaluator did not receive compensation contingent on the results of the evaluation. ,2026-09-16T09:27:18Z,Requirement quoted from AEF-1 publisher PDF via r.jina.ai; publisher AI Evaluator Forum; date 2025-12-04,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Quote is from r.jina.ai extract of the publisher PDF (saved aef1-standard-jina-20260916T092718Z.txt). This is the standard's own published text, not METR's later checklist answers. METR table wording differs on 2.4 ('potential' omitted) and 5.1 ('prior to releasing' vs 'to release').","This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Task A quotes AEF-1 publisher text, not METR Table A.1."
A06,A,MDP,C08.E5,AEF-1 2.2 Requirement no provider organizational or financial control,project,AEF-1,2.2,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET r.jina.ai of https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,The system provider did not exercise organizational or financial control over the evaluator. ,2026-09-16T09:27:18Z,Requirement quoted from AEF-1 publisher PDF via r.jina.ai; publisher AI Evaluator Forum; date 2025-12-04,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Quote is from r.jina.ai extract of the publisher PDF (saved aef1-standard-jina-20260916T092718Z.txt). This is the standard's own published text, not METR's later checklist answers. METR table wording differs on 2.4 ('potential' omitted) and 5.1 ('prior to releasing' vs 'to release').","This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Task A quotes AEF-1 publisher text, not METR Table A.1."
A07,A,MDP,C08.E5,AEF-1 2.3 Requirement published CoI policy applied to the evaluation,project,AEF-1,2.3,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET r.jina.ai of https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,"The evaluator has published a conflict of interest policy, and it was applied to the evaluation. ",2026-09-16T09:27:18Z,Requirement quoted from AEF-1 publisher PDF via r.jina.ai; publisher AI Evaluator Forum; date 2025-12-04,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Quote is from r.jina.ai extract of the publisher PDF (saved aef1-standard-jina-20260916T092718Z.txt). This is the standard's own published text, not METR's later checklist answers. METR table wording differs on 2.4 ('potential' omitted) and 5.1 ('prior to releasing' vs 'to release').","This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Task A quotes AEF-1 publisher text, not METR Table A.1."
A08,A,MDP,C08.E5,AEF-1 2.4 Requirement disclose potential conflicts of interest,project,AEF-1,2.4,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET r.jina.ai of https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,The evaluator clearly disclosed potential conflicts of interest relevant to the evaluation. ,2026-09-16T09:27:18Z,Requirement quoted from AEF-1 publisher PDF via r.jina.ai; publisher AI Evaluator Forum; date 2025-12-04,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Quote is from r.jina.ai extract of the publisher PDF (saved aef1-standard-jina-20260916T092718Z.txt). This is the standard's own published text, not METR's later checklist answers. METR table wording differs on 2.4 ('potential' omitted) and 5.1 ('prior to releasing' vs 'to release').","This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Task A quotes AEF-1 publisher text, not METR Table A.1."
A09,A,MDP,C08.E5,AEF-1 2.5 Requirement recuse significant financial interest,project,AEF-1,2.5,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET r.jina.ai of https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,The evaluator recused any individuals with a significant financial interest in the system provider from carrying out the evaluation. ,2026-09-16T09:27:18Z,Requirement quoted from AEF-1 publisher PDF via r.jina.ai; publisher AI Evaluator Forum; date 2025-12-04,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Quote is from r.jina.ai extract of the publisher PDF (saved aef1-standard-jina-20260916T092718Z.txt). This is the standard's own published text, not METR's later checklist answers. METR table wording differs on 2.4 ('potential' omitted) and 5.1 ('prior to releasing' vs 'to release').","This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Task A quotes AEF-1 publisher text, not METR Table A.1."
A10,A,MDP,C08.E5,AEF-1 3.2 Requirement methodological autonomy,project,AEF-1,3.2,,,,,,,,,,,2025-12-04,day,,,,,,,,,"AEF-1 Version 1, updated December 4, 2025",,,,,,issuer statements,GET r.jina.ai of https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,https://aievaluatorforum.org/AEF_1_Minimum_Operating_Conditions_for_Independent_Third_Party_AI_Evaluations.pdf,The evaluator had autonomy in deciding the methods of the evaluation. ,2026-09-16T09:27:18Z,Requirement quoted from AEF-1 publisher PDF via r.jina.ai; publisher AI Evaluator Forum; date 2025-12-04,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Quote is from r.jina.ai extract of the publisher PDF (saved aef1-standard-jina-20260916T092718Z.txt). This is the standard's own published text, not METR's later checklist answers. METR table wording differs on 2.4 ('potential' omitted) and 5.1 ('prior to releasing' vs 'to release').","This-lane independent fetch 2026-09-16. research/STATE.md read before adding facts (C08.E5 OPEN). Locators repo/research/aef1.csv and repo/evidence/agents-2026-09-14/S5-aef1/ were not copied as discovery. no_kevinnbass_sources. Lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Legal entities unmerged. No motive asserted. Task A quotes AEF-1 publisher text, not METR Table A.1."
