# MD11-daf-filed-grants; fetch_window_utc=2026-09-16T09:49:58Z/2026-09-16T09:56:17Z; routes=IRS e-file index_2021..index_2026.csv; GivingTuesday gt990datalake-rawdata XML object_ids for Fidelity 11-0303001, Schwab/Donor Advised Charitable Giving Inc 31-1640316, Vanguard 23-2888152, NPT 23-7825575, SVCF 20-5205488; IRS AWS s3://irs-form-990 fallback; ProPublica API v2 org locators + full_text/OBJECT/IRS990ScheduleI render when XML absent; IRS TEOS details; caps_hit=IRS TEOS HTTP 403; ProPublica download-xml HTTP 403; GivingTuesday and IRS AWS 404 for Vanguard FY2025 XML 202621329349306657; did not download full 2026_TEOS_XML_05A.zip this run (head status=200); community-foundation DAF remainder deferred; no_kevinnbass_sources=true
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDF,C02.E3;C02.E5;C03.E3,Vanguard Charitable Endowment Program FY2025 Schedule I cash grant to METR,DAF sponsor,Vanguard Charitable Endowment Program,202621329349306657,Vanguard Charitable Endowment Program,,Model Evaluation and Threat Research,DAF sponsor filed grant,2024-07-01,2025-06-30,,filed_grant,4000000,USD,2025-06-30,interval,FY2025 (2024-07-01 to 2025-06-30),filed as granted,FOR RECIPIENT'S EXEMPT PURPOSE,,,,,,,,,,,yes,DAF sponsor filings,"GET https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; object_id=202621329349306657",https://projects.propublica.org/nonprofits/full_text/202621329349306657/IRS990ScheduleI,"CashGrantAmt[1]"">4,000,000</span></td>
                  <td class=""sty990ScheduleIColC"" style=""height:auto;border-style: solid; border-color: black;padding-top: 1mm;width: 28mm;font-size:7pt;vertical-align:top""><span style=""color:darkblue;"" id=""/.."">
                         
                      ",2026-09-16T09:56:17Z,1 METR RecipientTable; CashGrantAmt=4000000,1,Vanguard FY2026 Form 990 original due 2026-11-16,"XML object 202621329349306657 not on GivingTuesday or IRS AWS this window; public rendered Schedule I used as the working primary. Schedule I Part II has no account-principal, donor, or adviser column (cols a-h: name/EIN/IRC/cash/noncash/method/description/purpose). The line that would carry more if it existed is Schedule I Part II a donor/adviser field; it does not. Schedule B Part I contributor name identifies donors TO the sponsor and is RESTRICTED on the public copy; it would not name the DAF account that recommended a listed grant.","Primary propublica-vanguard-202621329349306657-schedI-metr-row-20260916T095617Z.html fetched 2026-09-16T09:56:17Z from this window's Schedule I search (STATE.md held SVCF $20,000 / Vanguard $4,000,000 as context; re-checked, not pasted). Filer EIN 232888152; TaxPeriodBeginDt=2024-07-01 TaxPeriodEndDt=2025-06-30; RecipientCnt grants scanned=27221. METR aliases/EIN used: METR, Model Evaluation and Threat Research, 99-1219864/991219864. money_type=filed_grant not summed with commitments. DAF sponsor, DAF account, and recipient unmerged. xml_present=False."
2,A,MDF,C02.E3;C02.E5;C03.E3,Silicon Valley Community Foundation TY2024 Schedule I cash grant to METR,DAF sponsor,Silicon Valley Community Foundation,202543149349305759,Silicon Valley Community Foundation,,Model Evaluation and Threat Research,DAF sponsor filed grant,2024-01-01,2024-12-31,,filed_grant,20000,USD,2024-12-31,interval,TY2024 (2024-01-01 to 2024-12-31),filed as granted,Sciences,,,,,,,,,,,yes,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; object_id=202543149349305759",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml,"</IRCSectionDesc>
        <CashGrantAmt>20000</CashGrantAmt>
        <NonCashAssistanceAmt>0</NonCashAssistanceAmt>
        <ValuationMethodUsedDesc>N/A</ValuationMethodUsedDesc>
        <NonCashAssistanceDesc>N/A</NonCashAssistanceDesc>
        <PurposeOfGrantTxt>Sciences</PurposeOfGrantTxt>
      ",2026-09-16T09:56:17Z,1 METR RecipientTable; CashGrantAmt=20000,1,,"Schedule I Part II has no account-principal, donor, or adviser column (cols a-h: name/EIN/IRC/cash/noncash/method/description/purpose). The line that would carry more if it existed is Schedule I Part II a donor/adviser field; it does not. Schedule B Part I contributor name identifies donors TO the sponsor and is RESTRICTED on the public copy; it would not name the DAF account that recommended a listed grant.","Primary irs-990-svcf_202412-202543149349305759-excerpt-20260916T094958Z.xml fetched 2026-09-16T09:56:17Z from this window's Schedule I search (STATE.md held SVCF $20,000 / Vanguard $4,000,000 as context; re-checked, not pasted). Filer EIN 205205488; TaxPeriodBeginDt=2024-01-01 TaxPeriodEndDt=2024-12-31; RecipientCnt grants scanned=3576. METR aliases/EIN used: METR, Model Evaluation and Threat Research, 99-1219864/991219864. money_type=filed_grant not summed with commitments. DAF sponsor, DAF account, and recipient unmerged. xml_present=True."
3,A,MDS,C02.E3;C02.E5,Fidelity Investments Charitable Gift Fund FY2020 Schedule I vs METR,DAF sponsor,,202121359349300427,Fidelity Investments Charitable Gift Fund,,Model Evaluation and Threat Research,,2019-07-01,2020-06-30,,,,,2020-06-30,day,FY2020,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202121359349300427_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202121359349300427_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2019-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>110303001</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FIDELITY INVESTMENTS CHARITABLE GIFT FUND</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% DAVID SCOGLIO</InCareOfNm>
      <B",2026-09-16T09:56:17Z,none found in Fidelity Investments Charitable Gift Fund Form 990 Schedule I object 202121359349300427 (FY2020) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-fidelity_202006-202121359349300427-excerpt-20260916T094958Z.xml. RecipientTable count=56777; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 110303001. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202121359349300427_public.xml this window 2026-09-16T09:56:17Z.
4,A,MDS,C02.E3;C02.E5,Fidelity Investments Charitable Gift Fund FY2021 Schedule I vs METR,DAF sponsor,,202221339349302787,Fidelity Investments Charitable Gift Fund,,Model Evaluation and Threat Research,,2020-07-01,2021-06-30,,,,,2021-06-30,day,FY2021,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202221339349302787_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202221339349302787_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2020-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>110303001</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FIDELITY INVESTMENTS CHARITABLE GIFT FUND</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% DAVID SCOGLIO</InCareOfNm>
      <B",2026-09-16T09:56:17Z,none found in Fidelity Investments Charitable Gift Fund Form 990 Schedule I object 202221339349302787 (FY2021) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-fidelity_202106-202221339349302787-excerpt-20260916T094958Z.xml. RecipientTable count=64214; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 110303001. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202221339349302787_public.xml this window 2026-09-16T09:56:17Z.
5,A,MDS,C02.E3;C02.E5,Fidelity Investments Charitable Gift Fund FY2022 Schedule I vs METR,DAF sponsor,,202321309349304807,Fidelity Investments Charitable Gift Fund,,Model Evaluation and Threat Research,,2021-07-01,2022-06-30,,,,,2022-06-30,day,FY2022,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202321309349304807_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202321309349304807_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2021-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>110303001</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FIDELITY INVESTMENTS CHARITABLE GIFT FUND</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% DAVID SCOGLIO</InCareOfNm>
      <B",2026-09-16T09:56:17Z,none found in Fidelity Investments Charitable Gift Fund Form 990 Schedule I object 202321309349304807 (FY2022) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-fidelity_202206-202321309349304807-excerpt-20260916T094958Z.xml. RecipientTable count=64883; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 110303001. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202321309349304807_public.xml this window 2026-09-16T09:56:17Z.
6,A,MDS,C02.E3;C02.E5,Fidelity Investments Charitable Gift Fund FY2022 Schedule I vs METR,DAF sponsor,,202430459349302913,Fidelity Investments Charitable Gift Fund,,Model Evaluation and Threat Research,,2021-07-01,2022-06-30,,,,,2022-06-30,day,FY2022,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202430459349302913_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202430459349302913_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2021-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>110303001</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FIDELITY INVESTMENTS CHARITABLE GIFT FUND</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% DAVID SCOGLIO</InCareOfNm>
      <B",2026-09-16T09:56:17Z,none found in Fidelity Investments Charitable Gift Fund Form 990 Schedule I object 202430459349302913 (FY2022) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-fidelity_202206-202430459349302913-excerpt-20260916T094958Z.xml. RecipientTable count=65439; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 110303001. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202430459349302913_public.xml this window 2026-09-16T09:56:17Z.
7,A,MDS,C02.E3;C02.E5,Fidelity Investments Charitable Gift Fund FY2023 Schedule I vs METR,DAF sponsor,,202441369349301334,Fidelity Investments Charitable Gift Fund,,Model Evaluation and Threat Research,,2022-07-01,2023-06-30,,,,,2023-06-30,day,FY2023,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349301334_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349301334_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2022-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>110303001</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FIDELITY INVESTMENTS CHARITABLE GIFT FUND</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% DAVID SCOGLIO</InCareOfNm>
      <B",2026-09-16T09:56:17Z,none found in Fidelity Investments Charitable Gift Fund Form 990 Schedule I object 202441369349301334 (FY2023) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-fidelity_202306-202441369349301334-excerpt-20260916T094958Z.xml. RecipientTable count=72328; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 110303001. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349301334_public.xml this window 2026-09-16T09:56:17Z.
8,A,MDS,C02.E3;C02.E5,Fidelity Investments Charitable Gift Fund FY2024 Schedule I vs METR,DAF sponsor,,202521349349310887,Fidelity Investments Charitable Gift Fund,,Model Evaluation and Threat Research,,2023-07-01,2024-06-30,,,,,2024-06-30,day,FY2024,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202521349349310887_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202521349349310887_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2023-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>110303001</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FIDELITY INVESTMENTS CHARITABLE GIFT FUND</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% DAVID SCOGLIO</InCareOfNm>
      <B",2026-09-16T09:56:17Z,none found in Fidelity Investments Charitable Gift Fund Form 990 Schedule I object 202521349349310887 (FY2024) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-fidelity_202406-202521349349310887-excerpt-20260916T094958Z.xml. RecipientTable count=80308; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 110303001. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202521349349310887_public.xml this window 2026-09-16T09:56:17Z.
9,A,MDS,C02.E3;C02.E5,Fidelity Investments Charitable Gift Fund FY2025 Schedule I vs METR,DAF sponsor,,202601389349301700,Fidelity Investments Charitable Gift Fund,,Model Evaluation and Threat Research,,2024-07-01,2025-06-30,,,,,2025-06-30,day,FY2025,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202601389349301700_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202601389349301700_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2024-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>110303001</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>FIDELITY INVESTMENTS CHARITABLE GIFT FUND</BusinessNameLine1Txt>
      </BusinessName>
      <InCareOfNm>% DAVID SCOGLIO</InCareOfNm>
      <B",2026-09-16T09:56:17Z,none found in Fidelity Investments Charitable Gift Fund Form 990 Schedule I object 202601389349301700 (FY2025) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-fidelity_202506-202601389349301700-excerpt-20260916T094958Z.xml. RecipientTable count=89891; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 110303001. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202601389349301700_public.xml this window 2026-09-16T09:56:17Z.
10,A,MDS,C02.E3;C02.E5,Schwab Charitable Fund FY2020 Schedule I vs METR,DAF sponsor,,202140489349301804,Schwab Charitable Fund,,Model Evaluation and Threat Research,,2019-07-01,2020-06-30,,,,,2020-06-30,day,FY2020,,,,,,,,,,,,,,DAF sponsor filings,"GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202140489349301804_public.xml; Schedule I <RecipientTable>; filters RecipientEIN in {991219864,863605182} OR BusinessNameLine1Txt matches MODEL EVALUATION AND THREAT RESEARCH|ALIGNMENT RESEARCH CENTER|ARC EVALS; METR-only filter 991219864|MODEL EVALUATION AND THREAT RESEARCH",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202140489349301804_public.xml,"</ReturnTypeCd>
    <TaxPeriodBeginDt>2019-07-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>311640316</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>SCHWAB CHARITABLE FUND</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>SCHW</BusinessNameControlTxt>
      <PhoneNu",2026-09-16T09:56:17Z,none found in Schwab Charitable Fund Form 990 Schedule I object 202140489349301804 (FY2020) as of 2026-09-16T09:56:17Z,0,FY2026 Form 990 original due 2026-11-16,METR formed May 2024 (EIN 99-1219864); years ending before that date cannot list it. Sub-threshold or renamed grants would not match.,Primary irs-990-schwab_202006-202140489349301804-excerpt-20260916T094958Z.xml. RecipientTable count=34986; raw EIN 991219864 count=0; name MODEL EVALUATION AND THREAT RESEARCH count=0. Filer EIN 311640316. Fetched https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202140489349301804_public.xml this window 2026-09-16T09:56:17Z.
