# fetch_window_utc=2026-09-16T09:49:07Z/2026-09-16T09:54:27Z
# routes_used=IRS TEOS interactive app (apps.irs.gov/app/eos, /search, /detailsPage HTTP 403); IRS TEOS landing (irs.gov HTTP 403); IRS e-file index index_2024.csv, index_2025.csv, index_2026.csv; IRS bulk 990 XML 2025_TEOS_XML_11C.zip object 202523209349300367 (member extracted); AWS Open Data Efile XML same object id (sha256-identical); IRS EO BMF eo_ca.csv and eo_de.csv; California registry oag.ca.gov/charities/reports May Not Operate CSV, ag-pf-2024.csv, ca-rcf.evokeplatform.com SPA, rct.doj.ca.gov; METR site metr.org/, /about, /donate, /blog, /blog/2026-08-14-funding-update/, /coi-policy.pdf, /2024-annual-report.pdf, /AR_report.pdf, /february-2026-progress-report.pdf, /june-2026-progress-report.pdf, /sitemap.xml, /990 /audit /financials /reports; ProPublica Nonprofit Explorer API v2 as locator only
# caps_hit=TEOS UI/search/details/landing HTTP 403 Akamai Access Denied; r.jina.ai HTTP 403 for TEOS and CA portals; rct.doj.ca.gov GET HTTP 404; CA EVOKE GET returns SPA shell not an EIN record; standalone IRS XML object URL HTTP 404; s3.amazonaws.com/irs-form-990 object HEAD 404; ProPublica download-filing returned Security Check HTML not a PDF; metr.org /990 /form-990 /audit /financials /reports /annual-report HTTP 404
# no_kevinnbass_sources=true
# research/STATE.md and research/STATE-notes.md read before adding facts; already-held S1 recipient-filing figures re-verified from this-run IRS XML (sha256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9) and not presented as new discoveries or as the approximately $71 million commitment
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDF,C02.E4;C01.E3,METR FY2024 Form 990 initial short-year total revenue and contributions,recipient,METR; Model Evaluation and Threat Research Inc,99-1219864,,,Model Evaluation and Threat Research Inc,,2024-05-01,2024-12-31,,,13639155,USD,2024-12-31,interval,FY2024 short year 2024-05-01 to 2024-12-31,filed on the recipient's own Form 990,,,,,CYTotalRevenueAmt=13639155; CYContributionsGrantsAmt=13603035; CYInvestmentIncomeAmt=36120; CYOtherRevenueAmt=0,,,,,,,yes,recipient filings,unzip -p 2025_TEOS_XML_11C.zip 202523209349300367_public.xml; IRS990 CYTotalRevenueAmt CYContributionsGrantsAmt,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11C.zip,<CYTotalRevenueAmt>13639155</CYTotalRevenueAmt>,2026-09-16T09:53:29Z,1 Form 990 XML in 2025_TEOS_XML_11C.zip (TAX_PERIOD=202412 RETURN_TYPE=990),1,FY2025 Form 990 original due 2026-05-15; automatic extension observed 2026-11-16,FY2024 is an 8-month initial year (InitialReturnInd=X). Filed recipient-side revenue is not a grant and is not the approximately $71 million commitment.,"TaxPeriodBeginDt=2024-05-01; TaxPeriodEndDt=2024-12-31; ReturnTs=2025-11-16T12:01-06:00; CYTotalRevenueAmt=13639155; CYContributionsGrantsAmt=13603035; GrossReceiptsAmt=13639155. money_type left empty: a recipient-side revenue total is not commitment/paid_grant/filed_grant. Not summed with related-organization or all-other contribution lines, and not summed with the approximately $71 million commitment. Primary: IRS bulk zip member 202523209349300367_public.xml extracted from 2025_TEOS_XML_11C.zip (HTTP 200, 277886481 bytes, last-modified 2025-12-17) at 2026-09-16T09:53:29Z; sha256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9. AWS Open Data copy gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml fetched 2026-09-16T09:49:15Z is byte-identical. Standalone apps.irs.gov per-object XML URL 404. ProPublica API latest_object_id matches; ProPublica PDF download returned a security-check HTML page, not used as primary. research/STATE.md read before adding facts; FY2024 filed totals are re-verified from this XML and are not the approximately $71 million Feb-Aug 2026 commitment."
2,A,MDF,C02.E4,FY2024 net assets and restricted-fund lines on the same return,recipient,,99-1219864,,,Model Evaluation and Threat Research Inc,,2024-05-01,2024-12-31,,,5404631,USD,2024-12-31,day,FY2024 EOY,,,,,,NetAssetsOrFundBalancesEOYAmt=5404631; TotalAssetsEOYAmt=6544206; TotalLiabilitiesEOYAmt=1139575; DonorRstrOrQuasiEndowmentsInd=0,,,,,,,yes,recipient filings,unzip -p 2025_TEOS_XML_11C.zip 202523209349300367_public.xml; Part I NetAssetsOrFundBalancesEOYAmt; Part X RtnEarnEndowmentIncmOthFndsGrp; DonorRstrOrQuasiEndowmentsInd,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11C.zip,<NetAssetsOrFundBalancesEOYAmt>5404631</NetAssetsOrFundBalancesEOYAmt>,2026-09-16T09:53:29Z,net assets filed; no with-donor-restriction net-asset tag on this return,1,,No NetAssetsWithDonorRestrictionsEOYAmt / NetAssetsWithoutDonorRestrictionsEOYAmt tags. Restricted-fund line is the absent with-donor-restriction amount plus DonorRstrOrQuasiEndowmentsInd=0.,"RtnEarnEndowmentIncmOthFndsGrp BOYAmt=0 EOYAmt=5404631. Schedule D TotalRevEtcAuditedFinclStmtAmt=14080505 is the audit reconciliation, not an attached statement. Primary: IRS bulk zip member 202523209349300367_public.xml extracted from 2025_TEOS_XML_11C.zip (HTTP 200, 277886481 bytes, last-modified 2025-12-17) at 2026-09-16T09:53:29Z; sha256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9. AWS Open Data copy gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml fetched 2026-09-16T09:49:15Z is byte-identical. Standalone apps.irs.gov per-object XML URL 404. ProPublica API latest_object_id matches; ProPublica PDF download returned a security-check HTML page, not used as primary. research/STATE.md read before adding facts; FY2024 filed totals are re-verified from this XML and are not the approximately $71 million Feb-Aug 2026 commitment."
3,A,MDF,C02.E4,FY2024 program service revenue and government grants lines,recipient,,99-1219864,,,Model Evaluation and Threat Research Inc,,,,,,0,USD,2024-12-31,interval,FY2024,,,,,,CYProgramServiceRevenueAmt=0; GovernmentGrantsAmt element not present; FederalGrantAuditRequiredInd=0,,,,,,,yes,recipient filings,unzip -p 2025_TEOS_XML_11C.zip 202523209349300367_public.xml; IRS990 CYProgramServiceRevenueAmt; GovernmentGrantsAmt; FederalGrantAuditRequiredInd,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11C.zip,<CYProgramServiceRevenueAmt>0</CYProgramServiceRevenueAmt>,2026-09-16T09:53:29Z,program service revenue 0; GovernmentGrantsAmt element absent; FederalGrantAuditRequiredInd=0,1,,Part VIII line 1e GovernmentGrantsAmt tag is not present on this XML (untreated/zero). Absence of the tag is not a government-grant payment.,"<FederalGrantAuditRequiredInd>0</FederalGrantAuditRequiredInd> FederatedCampaignsAmt, MembershipDuesAmt and NoncashContributionsAmt also absent. Primary: IRS bulk zip member 202523209349300367_public.xml extracted from 2025_TEOS_XML_11C.zip (HTTP 200, 277886481 bytes, last-modified 2025-12-17) at 2026-09-16T09:53:29Z; sha256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9. AWS Open Data copy gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml fetched 2026-09-16T09:49:15Z is byte-identical. Standalone apps.irs.gov per-object XML URL 404. ProPublica API latest_object_id matches; ProPublica PDF download returned a security-check HTML page, not used as primary. research/STATE.md read before adding facts; FY2024 filed totals are re-verified from this XML and are not the approximately $71 million Feb-Aug 2026 commitment."
4,A,MDS,C02.E4,public audited financial statement attached to the e-file,recipient,,99-1219864,,,,,,,,,,,,,,,,,,,,,,,,,,,recipient filings,unzip -p 2025_TEOS_XML_11C.zip 202523209349300367_public.xml; ReturnHeader binaryAttachmentCnt; FSAuditedInd; IndependentAuditFinclStmtInd,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11C.zip,"binaryAttachmentCnt=""0""",2026-09-16T09:53:29Z,none found in IRS e-file XML binary attachments as of 2026-09-16T09:53:29Z,0,audited financial statement if later attached to a 990 or posted by METR or the California registry,FSAuditedInd=1 and IndependentAuditFinclStmtInd=1 so an audit of the books existed; it is not in this public e-file (binaryAttachmentCnt=0). Schedule O says financial statements are available upon request; this lane does not request them.,"none found in IRS e-file XML binary attachments as of 2026-09-16T09:53:29Z. <FSAuditedInd>1</FSAuditedInd>; SeparateBasisFinclStmtInd=X; TotalRevEtcAuditedFinclStmtAmt=14080505; DonatedServicesAndUseFcltsAmt=441350 (reconciling item, not 990 revenue). documentCnt=8 schedules A,B,D,F,J,O,R. Primary: IRS bulk zip member 202523209349300367_public.xml extracted from 2025_TEOS_XML_11C.zip (HTTP 200, 277886481 bytes, last-modified 2025-12-17) at 2026-09-16T09:53:29Z; sha256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9. AWS Open Data copy gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml fetched 2026-09-16T09:49:15Z is byte-identical. Standalone apps.irs.gov per-object XML URL 404. ProPublica API latest_object_id matches; ProPublica PDF download returned a security-check HTML page, not used as primary. research/STATE.md read before adding facts; FY2024 filed totals are re-verified from this XML and are not the approximately $71 million Feb-Aug 2026 commitment."
5,A,MDS,C02.E4,public audited financial statement or Form 990 posted on metr.org,recipient,,99-1219864,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,"GET metr.org/ metr.org/about metr.org/donate metr.org/blog metr.org/blog/2026-08-14-funding-update/ metr.org/coi-policy.pdf metr.org/990 metr.org/form-990 metr.org/audit metr.org/financials metr.org/reports metr.org/annual-report metr.org/sitemap.xml; filter Form 990, audited financial statement",https://metr.org/about,METR is funded by donations.,2026-09-16T09:49:11Z,none found in metr.org home/about/donate/blog/funding-update/coi-policy.pdf and /990 /form-990 /audit /financials /reports /annual-report as of 2026-09-16T09:49:11Z,0,any later metr.org posting of a 990 or audited statement,"Home-page JSON contains an unrelated 990 substring inside a benchmark hash, not Form 990. Donate page publishes EIN 99-1219864 only. /990 /audit /financials /reports /annual-report returned the metr.org 404 page. Sitemap has evaluation/progress PDFs, not a 990.","none found in metr.org home, about, donate, blog, 2026-08-14 funding-update, coi-policy.pdf, /990, /form-990, /audit, /financials, /reports, or /annual-report as of 2026-09-16T09:49:11Z. Saved primaries metr-org-*-20260916T094907Z."
6,A,MDS,C02.E4,METR 2024 annual report as a Form 990 or audited financial statement,recipient,,99-1219864,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,"GET https://metr.org/2024-annual-report.pdf ; pdftotext; filter Form 990, audited financial statement, independent auditor, net assets",https://metr.org/2024-annual-report.pdf,METR achieved this and more on a total 2024 budget of $10 million.,2026-09-16T09:49:50Z,none found in metr.org/2024-annual-report.pdf as a Form 990 or audited financial statement as of 2026-09-16T09:49:50Z,0,,"The PDF is an activities annual report. It states a total 2024 budget of $10 million, which is an issuer budget figure, not 990 revenue, not an audited statement, and is not summed with CYTotalRevenueAmt=13639155 or with the approximately $71 million commitment. robots.txt Disallow: /2024-annual-report.pdf; live GET was HTTP 200.","none found in metr.org/2024-annual-report.pdf as of 2026-09-16T09:49:50Z for Form 990 / audited financial / independent auditor / net assets (0 hits in extracted text). metr.org/AR_report.pdf is the 2023 ARC Evals language-model-agents paper, not a financial statement. February and June 2026 progress reports likewise contain no 990 or audited statement."
7,A,MDS,C02.E4,METR Form 990 or audited statement in California Registry downloadable lists,recipient,,99-1219864,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET charities-may-not-operate.csv; filter FEIN=991219864 OR name MODEL EVALUATION AND THREAT,https://oag.ca.gov/sites/all/files/agweb/pdfs/charities/reports/charities-may-not-operate.csv,"Entity Status,Registration Status,Registration Number,FEIN",2026-09-16T09:50:02Z,none found in California May Not Operate or Solicit CSV as of 2026-09-16T09:50:02Z,0,Registry Search Tool record / RRF-1 / attached 990 if the org is registered,"The public download on 2026-09-16 is only the May Not Operate list (29660 rows), not a full registrant dump. Absence is not a finding that METR is unregistered. 990 StatesWhereCopyOfReturnIsFldCd=CA.",none found in California Attorney General May Not Operate or Solicit for Charitable Purposes CSV as of 2026-09-16T09:50:02Z (0 hits / 29660 rows). ag-pf-2024.csv professional-fundraiser list also 0 hits / 1076 rows.
8,A,MDS,C02.E4,IRS e-file index 2025 locator row for METR FY2024 990,recipient,,99-1219864,,,,,,,,,,,,,,,,,,,,,,,,,,,IRS TEOS and e-file index,index_2025.csv filter EIN=991219864,https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,",EFILE,991219864,202412,2025,MODEL EVALUATION AND THREAT RESEARCH INC,990,93493320003675,202523209349300367,2025_TEOS_XML_11C",2026-09-16T09:49:57Z,1 index row OBJECT_ID=202523209349300367 XML_BATCH_ID=2025_TEOS_XML_11C TAX_PERIOD=202412 RETURN_TYPE=990,1,,"Index year is IRS posting year, not tax year. Locator only; field values are taken from the XML member, not from this CSV row.",FILING_TYPE=EFILE; DLN=93493320003675; TAXPAYER_NAME=MODEL EVALUATION AND THREAT RESEARCH INC. 1 hit / 748906 data rows. Used to locate the IRS bulk XML primary.
9,B,MDF,C02.E3;C02.E4,Alignment Research Center contribution from related organization (Part VIII / Schedule R type C),grantmaker,ARC; Alignment Research Center,86-3605182,Alignment Research Center,,Model Evaluation and Threat Research Inc,related tax-exempt organization; Schedule R transaction type C,2024-05-01,2024-12-31,,transfer,4501424,USD,2024-12-31,interval,FY2024,filed as contribution from related organizations,,,,,,,,,,,,yes,recipient filings,unzip -p 2025_TEOS_XML_11C.zip 202523209349300367_public.xml; IRS990 RelatedOrganizationsAmt; IRS990ScheduleR TransactionsRelatedOrgGrp TransactionTypeTxt=C,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11C.zip,<RelatedOrganizationsAmt>4501424</RelatedOrganizationsAmt>,2026-09-16T09:53:29Z,named related-organization contribution,1,,"Schedule B identities are RESTRICTED. Schedule R also lists type D InvolvedAmt=325431 and type E InvolvedAmt=490182 (loans/guarantees), which are not grants and are not added to 4501424.","RelatedOrganizationsAmt=4501424; Schedule R InvolvedAmt=4501424 MethodOfAmountDeterminationTxt=FAIR MARKET VALUE for ALIGNMENT RESEARCH CENTER EIN 863605182. Typed transfer; not summed with AllOtherContributionsAmt or with the approximately $71 million commitment. Alignment Research Center (86-3605182) is kept unmerged from METR (99-1219864). Primary: IRS bulk zip member 202523209349300367_public.xml extracted from 2025_TEOS_XML_11C.zip (HTTP 200, 277886481 bytes, last-modified 2025-12-17) at 2026-09-16T09:53:29Z; sha256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9. AWS Open Data copy gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml fetched 2026-09-16T09:49:15Z is byte-identical. Standalone apps.irs.gov per-object XML URL 404. ProPublica API latest_object_id matches; ProPublica PDF download returned a security-check HTML page, not used as primary. research/STATE.md read before adding facts; FY2024 filed totals are re-verified from this XML and are not the approximately $71 million Feb-Aug 2026 commitment."
10,B,MDS,C02.E3;C02.E4,Schedule B public-charity contributor identities,recipient,,99-1219864,,,,,,,,,,,,,,,,,,,,,,,,,,,recipient filings,unzip -p 2025_TEOS_XML_11C.zip 202523209349300367_public.xml; IRS990ScheduleB ContributorInformationGrp,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11C.zip,<ContributorNum>RESTRICTED</ContributorNum>,2026-09-16T09:53:29Z,Schedule B present but ContributorNum/Name/Amount all RESTRICTED; no public named grantor on Schedule B,0,,Public charity Schedule B is redacted; this lane does not deanonymize it. AllOtherContributionsAmt=9101611 has no public payer names.,The only payer named on the recipient-side return is Alignment Research Center via Part VIII RelatedOrganizationsAmt / Schedule R. ContributorBusinessName/Address/TotalContributionsAmt are the token RESTRICTED.
