# fetch_window_utc=2026-09-16T09:39:28Z/2026-09-16T09:50:42Z
# routes_used=state registries: CA SOS BizFile, DE icis GET+POST, FL Sunbiz name search, NY DOS publicInquiry home, CA RCF EVOKE portal, OpenCorporates (locator/captcha); SEC: efts.sec.gov quoted-phrase search-index, cgi-bin/browse-edgar, Archives GETs (Blue Owl S-1/S-1/A/424B3/EX-10.2, Facebook 13G/13G/A/DEF 14A 2014/2019/2020, Asana S-1/A Form 4 SC 13D/A), data.sec.gov submissions CIK 0001549917; issuer records: anthropic.com Series A news, confidential-draft S-1, legal, company, news index, support.claude.com unauthorized-stock article, metr.org/about; IRS Form 990-PF instructions (document that would list a METR grant). GLEIF/ProPublica locators only. Wayback CDX/id_ and r.jina.ai attempted on caps.
# caps_hit=CA BizFile Incapsula JS shell; DE icis pnlCaptcha and POST 'An error occurred while processing the request'; OpenCorporates HAProxy/hCaptcha and API 401; CA businesssearch.sos.ca.gov TCP fail status=0; CA RCF EVOKE JS-only; legacy rct.doj.ca.gov 404; FL Sunbiz detail HTTP 403; NY DOS EntityDisplay fail; Wayback CDX 503/timeout; r.jina.ai HTTP 403 on registry and Anthropic URLs this window; efts two quoted queries HTTP 500 then retry 200; Asana 13D URL guess 404 then correct accession 0001193125-23-277154; Meta 2020 proxy filename facebook2020proxystatement.htm 404, recovered as facebook2020definitiveprox.htm; Kodiak 13G/A guessed URL 404 (not required once Facebook/Asana/Blue Owl vehicles were named).
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16T09:36:51Z before facts were added; sibling MD37/MD39/MD42 grok-out CSVs were not on disk as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery; research/records/REQUESTS.jsonl unchanged; nothing emailed, filed, submitted, posted or telephoned
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDE,C07.E3,"Moskovitz Investments LLC — California SOS BizFile search did not return legal name, jurisdiction, registration number, status or registered agent",investment vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://bizfileonline.sos.ca.gov/search/business (Incapsula JS shell; query not applied),https://bizfileonline.sos.ca.gov/search/business,"NOINDEX, NOFOLLOW""><meta name=""format-detection"" content=""telephone=no""><meta name=""viewport"" content=""initial-scale=1.0""><meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1""><script src=""/ixt-the-Quarthy-Snard-a-Sept-tis-to-their-cert-a"" async></script></head><body style=""margin:0px;height",2026-09-16T09:42:01Z,"none found in California SOS BizFile https://bizfileonline.sos.ca.gov/search/business as of 2026-09-16T09:42:02Z for Moskovitz Investments LLC registration number, status or registered agent (Incapsula shell; 0 entity-record fields)",0,https://bizfileonline.sos.ca.gov/search/business in a browser session that passes Incapsula,Incapsula iframe; static GET is not a Statement of Information. Not a fabricated CA record.,primary=ca-bizfile-search-business-20260916T094202Z.html sha256=83094e58899ff9e914232483a4f4fa072819bfbbe6c8b8bb930c5bf06841fd41. Named vehicle from this-lane Blue Owl S-1 (B01). research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A02,A,MDE,C07.E3,"Moskovitz Investments LLC — Delaware Division of Corporations icis name search did not return File Number, status or registered agent",investment vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET+POST https://icis.corp.delaware.gov/ecorp/entitysearch/namesearch.aspx entity name MOSKOVITZ INVESTMENTS LLC,https://icis.corp.delaware.gov/ecorp/entitysearch/namesearch.aspx,"An error occurred while processing the request</span>
                      </span>
                       </td>
            </tr>
              </tbody>
    </table>     

                

    <div id=""ctl00_ContentPlaceHolder1_pnlCaptcha"" onkeypress=""javascript:return WebForm_FireDefaultButton(ev",2026-09-16T09:42:21Z,"none found in Delaware icis namesearch.aspx as of 2026-09-16T09:42:22Z for Moskovitz Investments LLC File Number, status or registered agent (POST returned search form with pnlCaptcha and 'An error occurred while processing the request'; 0 entity-record table)",0,https://icis.corp.delaware.gov/ecorp/entitysearch/namesearch.aspx (browser captcha),ASP.NET captcha; POST did not return a result table. Not a fabricated DE record.,primary=de-icis-post-moskovitz-investments-llc-20260916T094222Z.html sha256=7925ca8b21d16b289e3313f3f0fe66d416fa58354a843acde1cd34bd533dd529; GET sibling de-icis-namesearch-get-20260916T094200Z.html sha256=cfe32056db2f0cf4ae3264eb87218b0372f13ca540aac49eaa6ca5527eb77334 also pnlCaptcha. research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A03,A,MDE,C07.E3,"Monster Growth Ventures LLC — California SOS BizFile search did not return legal name, registration number, status or registered agent",investment vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://bizfileonline.sos.ca.gov/search/business (same Incapsula shell as A01; query not applied),https://bizfileonline.sos.ca.gov/search/business,_Incapsula_Resource?SWUDNSAI=31&xinfo=18-112953010-0%200NNN%20RT%281789551722037%2031%29%20q%280%20-1%20-1%20-1%29%20r%280%20-1%29%20B12%284%2c316%2c0%29%20U24&incident_id=195000730213413856-530041866767503954&edet=12&cinfo=04000000&rpinfo=0&cts=b4XLCFjefqfLj2XXieWqr7zsqBvMcabTDhSK3dcOn2C%2bjyjL%2bQ,2026-09-16T09:42:01Z,"none found in California SOS BizFile https://bizfileonline.sos.ca.gov/search/business as of 2026-09-16T09:42:02Z for Monster Growth Ventures LLC registration number, status or registered agent",0,,"Incapsula; named by this-lane Facebook SC 13G/A 2014-02-07 (B09) as Co-Manager vehicle, not by a CA Statement of Information recovered here.",primary=ca-bizfile-search-business-20260916T094202Z.html sha256=83094e58899ff9e914232483a4f4fa072819bfbbe6c8b8bb930c5bf06841fd41. Keep separate from Moskovitz Investments LLC. research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A04,A,MDE,C07.E3,"Monster Growth Ventures LLC — Delaware icis name search did not return File Number, status or registered agent",investment vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,POST https://icis.corp.delaware.gov/ecorp/entitysearch/namesearch.aspx entity name MONSTER GROWTH VENTURES LLC,https://icis.corp.delaware.gov/ecorp/entitysearch/namesearch.aspx,"An error occurred while processing the request</span>
                      </span>
                       </td>
            </tr>
              </tbody>
    </table>     

                

    <div id=""ctl00_ContentPlaceHolder1_pnlCaptcha"" onkeypress=""javascript:return WebForm_FireDefaultButton(ev",2026-09-16T09:42:22Z,"none found in Delaware icis namesearch.aspx as of 2026-09-16T09:42:23Z for Monster Growth Ventures LLC File Number, status or registered agent",0,,Same captcha/error as A02. Not a fabricated DE record.,primary=de-icis-post-monster-growth-ventures-llc-20260916T094223Z.html sha256=73a062020899e9d2f095709de8c1436924724fe443a39d0c8fccfa30298830da. research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A05,A,MDE,C07.E3,"Moskovitz Investment Holdings, LLC — different legal name from Moskovitz Investments LLC; CA BizFile did not return registration number, status or registered agent",investment vehicle,not Moskovitz Investments LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://bizfileonline.sos.ca.gov/search/business,https://bizfileonline.sos.ca.gov/search/business,"NOINDEX, NOFOLLOW""><meta name=""format-detection"" content=""telephone=no""><meta name=""viewport"" content=""initial-scale=1.0""><meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1""><script src=""/ixt-the-Quarthy-Snard-a-Sept-tis-to-their-cert-a"" async></script></head><body style=""margin:0px;height",2026-09-16T09:42:01Z,"none found in California SOS BizFile https://bizfileonline.sos.ca.gov/search/business as of 2026-09-16T09:42:02Z for Moskovitz Investment Holdings, LLC registration number, status or registered agent",0,,Named by this-lane Asana S-1/A (B12). Entities unmerged.,primary=ca-bizfile-search-business-20260916T094202Z.html sha256=83094e58899ff9e914232483a4f4fa072819bfbbe6c8b8bb930c5bf06841fd41. research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A06,A,MDE,C07.E3,"The CTF Trust dated December 27, 2012 / THE CTF TRUST UAD 122712 — not recovered as a CA or DE business-registry entity",investment vehicle,THE CTF TRUST UAD 122712; THE CTF TRUST DTD 12/27/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET CA BizFile + DE icis namesearch; trusts are not SOS business entities on these portals,https://icis.corp.delaware.gov/ecorp/entitysearch/namesearch.aspx,"pnlCaptcha"" onkeypress=""javascript:return WebForm_FireDefaultButton(event, 'ctl00_ContentPlaceHolder1_btnSubmit')"" style=""width:546px;text-align:center; align-content:center;"">
	
         

    
</div>
    <br />
    <table style=""width: 546px"">
        <tr>
            <td colspan=""3"" align=""center",2026-09-16T09:41:59Z,"none found in Delaware icis namesearch.aspx as of 2026-09-16T09:42:00Z for The CTF Trust dated December 27, 2012 File Number, status or registered agent (captcha form; 0 trust/business record)",0,,A private trust typically has no SOS business File Number. Do not infer CTF = Cari Tuna Family from initials.,primary=de-icis-namesearch-get-20260916T094200Z.html sha256=cfe32056db2f0cf4ae3264eb87218b0372f13ca540aac49eaa6ca5527eb77334. Named by this-lane Facebook SC 13G and Blue Owl S-1. research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A07,A,MDE,C07.E3,"Dustin Moskovitz Remainder Interest Trust dated March 10, 2018 — not recovered as a CA or DE business-registry entity",investment vehicle,Moskovitz 2018 Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://bizfileonline.sos.ca.gov/search/business,https://bizfileonline.sos.ca.gov/search/business,_Incapsula_Resource?SWUDNSAI=31&xinfo=18-112953010-0%200NNN%20RT%281789551722037%2031%29%20q%280%20-1%20-1%20-1%29%20r%280%20-1%29%20B12%284%2c316%2c0%29%20U24&incident_id=195000730213413856-530041866767503954&edet=12&cinfo=04000000&rpinfo=0&cts=b4XLCFjefqfLj2XXieWqr7zsqBvMcabTDhSK3dcOn2C%2bjyjL%2bQ,2026-09-16T09:42:01Z,"none found in California SOS BizFile https://bizfileonline.sos.ca.gov/search/business as of 2026-09-16T09:42:02Z for Dustin Moskovitz Remainder Interest Trust dated March 10, 2018 registration number, status or registered agent",0,,"Named as a Meta Class B holder by this-lane 2020 DEF 14A (B11), not as a SOS business entity. MD41 covers Form 5227 type.",primary=ca-bizfile-search-business-20260916T094202Z.html sha256=83094e58899ff9e914232483a4f4fa072819bfbbe6c8b8bb930c5bf06841fd41. research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A08,A,MDE,C07.E3,Good Ventures Foundation — CA BizFile did not return SOS registered agent; GLEIF (secondary locator only) reports CA registeredAs 3504459 ACTIVE,foundation,,EIN 46-1008520; GLEIF LEI 254900HUCD21Q3JUWN31 locates CA 3504459,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,"GET CA BizFile (Incapsula); GLEIF GET /lei-records/254900HUCD21Q3JUWN31 used only to locate a CA number, not as the SOS primary",https://bizfileonline.sos.ca.gov/search/business,"NOINDEX, NOFOLLOW""><meta name=""format-detection"" content=""telephone=no""><meta name=""viewport"" content=""initial-scale=1.0""><meta http-equiv=""X-UA-Compatible"" content=""IE=edge,chrome=1""><script src=""/ixt-the-Quarthy-Snard-a-Sept-tis-to-their-cert-a"" async></script></head><body style=""margin:0px;height",2026-09-16T09:42:01Z,none found in California SOS BizFile https://bizfileonline.sos.ca.gov/search/business as of 2026-09-16T09:42:02Z for Good Ventures Foundation registered agent (Incapsula). GLEIF secondary locator (not SOS) JSON registeredAs 3504459 jurisdiction US-CA status ACTIVE creationDate 2012-09-14.,0,https://api.gleif.org/api/v1/lei-records/254900HUCD21Q3JUWN31,GLEIF is not the state registry. Foundation kept separate from investment vehicles. Agent not taken from GLEIF legalAddress.,primary=ca-bizfile-search-business-20260916T094202Z.html sha256=83094e58899ff9e914232483a4f4fa072819bfbbe6c8b8bb930c5bf06841fd41; GLEIF capture gleif-good-ventures-20260916T094218Z.json sha256=541f5cd1c6651b056ef41b8fde2dffa3c06f3ad8285193147a6ba5fdecea73aa locator only. research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A09,A,MDE,C07.E3,"Florida Sunbiz name search MOSKOVITZ INVESTMENTS lists MOSKOVITZ INVESTMENTS, LLC document L10000004438 Active — not identified as the Blue Owl selling holder",investment vehicle,,FL L10000004438,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=MOSKOVITZ+INVESTMENTS,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResults?inquiryType=EntityName&searchTerm=MOSKOVITZ+INVESTMENTS,"MOSKOVITZ INVESTMENTS, LLC</a></td>
                        <td class=""medium-width"">L10000004438</td>
                        <td class=""small-width"">Active</td>

                    </tr>
                    <tr>
                        <td class=""large-width""><a href=""/Inquiry/CorporationSearch/S",2026-09-16T09:42:14Z,"Florida search-results table names MOSKOVITZ INVESTMENTS, LLC document L10000004438 Active. Detail GET HTTP 403 this lane. No officer/agent recovered. No this-lane filing ties this FL entity to Dustin Moskovitz or to the Blue Owl selling holder. Entities unmerged.",1,,Name collision is not identity. Officer page 403. Do not treat as the Blue Owl LLC.,primary=fl-sunbiz-moskovitz-investments-20260916T094214Z.html sha256=d0ff2867eb240437442de929d0b7090ad7ce0068b8458af0f2bcbf127eac7984. Detail 403 saved separately. research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
B01,B,MDE,C07.E3,"Blue Owl Capital Inc. Form S-1 2021-06-21 selling-stockholder table: Moskovitz Investments LLC 96,103",investment vehicle,,accession 0001193125-21-193553,,,,,,,,,,,2021-06-21,day,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1823945/000119312521193553/d318922ds1.htm selling-stockholder table,https://www.sec.gov/Archives/edgar/data/1823945/000119312521193553/d318922ds1.htm,"Moskovitz Investments LLC(108)</P></TD>
<TD VALIGN=""bottom"">&nbsp;&nbsp;</TD>
<TD VALIGN=""bottom""></TD>
<TD VALIGN=""bottom"">&nbsp;&nbsp;</TD>
<TD VALIGN=""bottom""></TD>
<TD VALIGN=""bottom"">&nbsp;&nbsp;</TD>
<TD NOWRAP VALIGN=""bottom"">&nbsp;</TD>
<TD NOWRAP VALIGN=""bottom"" ALIGN=""right"">96,103</TD>
<T",2026-09-16T09:39:28Z,"Selling-stockholder table line Moskovitz Investments LLC(108) 96,103 Class A issuable. Filing does not name members/managers or Anthropic.",1,,"Blue Owl units, not Anthropic shares. Task B not Task C.",primary=blueowl-s1-d318922ds1-20260916T093929Z.html sha256=cc29fa6bc132b229fbd309181511c345a885ebdee8a3479bf46c34eeb98773f9. research/STATE.md read 2026-09-16T09:36:51Z before facts were added; MD37/MD39/MD42 grok-out were absent as locators; repo/evidence/sec-filings/ and 10-metr G74/G59 used as locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
