# metr_deep MDP table provenance.csv; scaffolded by scripts/build_tables.py 2026-09-16T04:35:09Z; ids MDPNNN; rows enter only through `python3 -m casework promote` from a reviewed lane, or from a reviewed seed import named in note; rows are never deleted, corrections append an audit note
row_id,subject,from_entity,intermediary,to_entity,edge_type,documented_transaction,task,target_prefix,element_ids,entity_type,aliases,identifier,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,review_verdict,lane,note
MDP0001,Audacious partner payment for Project Canary,Valhalla Foundation (Scott Cook and Signe Ostby; EIN 20-0478828; Audacious partner),,RAND Corporation (Project Canary),documented transaction,"yes, to RAND",S0 seed import,MDP,C06.E1,,,,,,,paid_filed,filed_grant,10000000,,2024 (TY2024 990-PF Part XV),,,,"""PROJECT CANARY, AN ARTIFICIAL INTELLIGENCE SAFETY INITIATIVE""; paid direct to RAND, Santa Monica",,,,,,,,,,funder filings,,https://projects.propublica.org/nonprofits/organizations/200478828/202502559349100000/full (XML copy research/990pf-valhalla-ty2024-202502559349100000.xml); research/audacious-partners.csv AP06,"The only filing-level Canary payment found among 41 Audacious partners (audacious-partners.csv AP01–AP45, NOTES-audacious.md). Audacious FAQ: ""TED itself does not provide funding for grantees""; partners pay grantees directly. No filing shows a payment to METR; METR's ~$17M share (M58) rests on the R",2026-09-14T00:00:00Z,,,,a payment to RAND is not a payment to METR,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M119; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#7; review=research/agents-2026-09-15/S0-seed-import.md"
MDP0002,Audacious partner payment for Project Canary,High Tide Foundation (EIN 20-1164239; Audacious partner on the 2024-10-09 list),,RAND Corporation (Project Canary),documented transaction,"yes, to RAND",S0 seed import,MDP,C06.E1,,,,,,,paid_filed,filed_grant,333334,,2024 (TY2024 990-PF Part XV),,,,"""To support tTHE PROJECT CANARY"" (as filed); no METR line",,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503179349100135_public.xml,"Second filing-level Canary payment after Valhalla's $10M (M119). $333,334 is one third of $1M; Barnes says Audacious money is a three-year commitment (G14) — a three-year $1M pledge is an inference, not filed text. ProPublica labels the filer 'Overlook International Foundation Inc'; the e-file name",2026-09-14T00:00:00Z,,,,a payment to RAND is not a payment to METR,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/money_flows.csv; seed_row_id=M143; seed_sha256=8c0df194020515fb0265e14c472ae56948d1dc781e62494f77a1be315f4ddecc; lane=research/grok-out/S0-seed-import.csv#8; review=research/agents-2026-09-15/S0-seed-import.md"
MDP0003,bounded limit: METR names no Jane Street individual and no public filing checked discloses a natural-person donor,individuals from Jane Street,,METR,acknowledgment without named natural person,no named natural-person donor in checked public filings,D,MDP,C02.E2,,,,unnamed supporter class; identity not disclosed in checked public records,,,,,,,,,,,,,,,,,,,,,issuer statements,live metr.org/about funding paragraph + METR FY2024 990 Schedule B XML + ProPublica Jane Street org search,https://metr.org/about,"to individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org; the AI Security Institute; pooled funds such as those of Longview Philanthropy and Effe",2026-09-16T05:34:01Z,METR names no individual; no public filing checked discloses a natural-person Jane Street donor to METR,,,A public charity Schedule B is released with contributor fields RESTRICTED; absence of a name in the public copy is not proof that no large contributor exists. This lane does not attempt to identify the unnamed class.,CONFIRMED,,"Bounded limit, not an identification: METR's own wording names no individual in the Jane Street class (only the class 'individuals from Jane Street'). No public filing checked in this lane discloses a natural-person donor to METR as a public charity. This row does not deanonymize a private donor, DAF adviser, or Jane Street individual by matching. Adjacent MDS rows record the exact filings and search endpoints.; lane=research/grok-out/MD07-jane-street-individuals.csv#12; review=research/agents-2026-09-16/MDREVIEW-MD07.md"
MDP0004,Sijbrandij Foundation,Sijbrandij Foundation,,METR,,no,A,MDP,C02.E2,foundation,Sijbrandij Foundation LLC,85-4270305,named supporter,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about ; keyword Sijbrandij Foundation,https://metr.org/about,"METR is funded by donations. We are grateful to METR’s many supporters: from METR’s first institutional-scale funding through <a href=""https://www.audaciousproject.org/"">The Audacious Project</a> (a funding initiative housed at TED); to individuals from Jane Street; foundations such as the Sijbrandi",2026-09-16T05:34:17Z,"named as supporter; amount, date, duration and restriction not stated",1,TY2025 Form 990-PF Part XIV/XV when filed,"About page is a current supporter list, not a grant letter; page appearance is not a transaction date",CONFIRMED,,"Primary: metr.org/about fetched 2026-09-16T05:34:17Z. METR names Sijbrandij Foundation among foundations that have supported it. No amount, date, duration or purpose restriction is stated. Seed EIN 85-4270305 used only as locator until confirmed on this run's 990-PF. no_kevinnbass_sources.; lane=research/grok-out/MD05-sijbrandij-foundation.csv#MD05-001; review=research/agents-2026-09-16/MDREVIEW-MD05.md"
MDP0005,Sijbrandij Foundation,Sijbrandij Foundation,,METR,,no,A,MDP,C02.E2,foundation,,85-4270305,named supporter,,,,,,,2026-08-14,day,,,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"Thank you to everyone who has supported METR over the years: The Audacious Project, through which we received our first institutional-scale funding; individuals from Jane Street; foundations like the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences and the Packard Foundation; and m",2026-09-16T05:34:17Z,named among supporters over the years; no grant amount,1,,The ~$71 million sentence is a separate paragraph from the over-the-years thank-you; this row does not treat the naming as an allocation of that total,CONFIRMED,,"Primary: metr.org/blog/2026-08-14-funding-update/ fetched 2026-09-16T05:34:17Z. Sijbrandij Foundation is thanked as a supporter over the years. No amount, duration or restriction is stated for Sijbrandij.; lane=research/grok-out/MD05-sijbrandij-foundation.csv#MD05-002; review=research/agents-2026-09-16/MDREVIEW-MD05.md"
MDP0006,Sijbrandij Foundation,Sijbrandij Foundation,,METR,,,D,MDP,C02.E2,foundation,,85-4270305,,,,,,,,2026-08-14,day,,,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/ ; compare Sijbrandij thank-you to February-August 2026 commitment window,https://metr.org/blog/2026-08-14-funding-update/,"Thank you to everyone who has supported METR over the years: The Audacious Project, through which we received our first institutional-scale funding; individuals from Jane Street; foundations like the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences and the Packard Foundation; and m",2026-09-16T05:34:17Z,"amount undisclosed; thank-you is over the years, not stated as inside the Feb-Aug 2026 commitment window",1,,Cannot classify a non-disclosed amount as inside or outside the window; page appearance of the name is not a transaction date,CONFIRMED,,The $71 million figure is 'commitments of around $71 million' 'in the last 6 months' (from the 2026-08-14 post). The Sijbrandij name sits in a following thank-you 'over the years'. This lane does not treat that naming as a window-compatible commitment component.; lane=research/grok-out/MD05-sijbrandij-foundation.csv#MD05-015; review=research/agents-2026-09-16/MDREVIEW-MD05.md
MDP0007,Dylan Field bona fide gift of Figma Class B shares to an unnamed donor-advised fund (2025-11-28),Dylan Field,unnamed donor-advised fund (sponsor not disclosed),unnamed donor-advised fund,stock gift to an unnamed donor-advised fund; no onward transaction to METR documented,"yes, to a donor-advised fund; not to METR",B,MDF,C02.E2;C03.E3,individual,Field Dylan,SEC CIK 0002073586,stock gift to DAF,,,,transfer,,,2025-11-28,day,,,,,"Figma, Inc. (issuer of the shares; not the gift recipient)",,1250000 Class B Common Stock; transactionPricePerShare 0; code G,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1579878/000207358625000010/form4-12032025_121217.xml,https://www.sec.gov/Archives/edgar/data/1579878/000207358625000010/form4-12032025_121217.xml,Represents a bona fide gift from the Reporting Person to a donor-advised fund.,2026-09-16T05:33:55Z,stock transfer to an unnamed DAF; METR is not named as recommended grantee,1,DAF sponsor Schedule I or Field statement naming the sponsor/grantee,Do not treat this as a METR gift. Do not identify the DAF adviser. Share counts are not converted to USD.,DIFFERS,,"Independent SEC EDGAR fetch saved as field-form4-20251128-20260916T053355Z.xml. Reporting person Field Dylan; officerTitle President &amp; CEO; issuer Figma, Inc. (CIK 0001579878). Individual, unnamed DAF, and employer/issuer kept separate.; audit-1 2026-09-16: lane said edge_type=; audit-2 2026-09-16: lane said documented_transaction=yes — Form 4 code G to a DAF; grantee not named; audit-3 2026-09-16: lane said to_entity=; lane=research/grok-out/MD08-named-individual-donors.csv#18; review=research/agents-2026-09-16/MDREVIEW-MD08.md"
MDP0008,Dylan Field bona fide gift of Figma Class B shares to an unnamed donor-advised fund (2026-08-17),Dylan Field,unnamed donor-advised fund (sponsor not disclosed),unnamed donor-advised fund,stock gift to an unnamed donor-advised fund; no onward transaction to METR documented,"yes, to a donor-advised fund; not to METR",B,MDF,C02.E2;C03.E3,individual,Field Dylan,SEC CIK 0002073586,stock gift to DAF,,,,transfer,,,2026-08-17,day,,,,,"Figma, Inc. (issuer of the shares; not the gift recipient)",,1250000 Class B Common Stock; transactionPricePerShare 0; code G,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1579878/000207358626000012/form4-08192026_100818.xml,https://www.sec.gov/Archives/edgar/data/1579878/000207358626000012/form4-08192026_100818.xml,Represents a bona fide gift from the Reporting Person to a donor-advised fund.,2026-09-16T05:33:55Z,stock transfer to an unnamed DAF; METR is not named as recommended grantee,1,DAF sponsor Schedule I or Field statement naming the sponsor/grantee,Do not treat this as a METR gift. Do not identify the DAF adviser. Share counts are not converted to USD.,DIFFERS,,"Independent SEC EDGAR fetch saved as field-form4-20260817-20260916T053355Z.xml. Reporting person Field Dylan; officerTitle President &amp; CEO; issuer Figma, Inc. (CIK 0001579878). Individual, unnamed DAF, and employer/issuer kept separate.; audit-1 2026-09-16: lane said edge_type=; audit-2 2026-09-16: lane said documented_transaction=yes — Form 4 code G to a DAF; grantee not named; audit-3 2026-09-16: lane said to_entity=; lane=research/grok-out/MD08-named-individual-donors.csv#19; review=research/agents-2026-09-16/MDREVIEW-MD08.md"
MDP0009,METR names The Pew Charitable Trusts as a supporter without an award figure,The Pew Charitable Trusts,,Model Evaluation and Threat Research,,no,B,MDP,C02.E2,,,,named supporter on recipient about page,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about ; extract supporter list,https://metr.org/about,"METR is funded by donations. We are grateful to METR’s many supporters: from METR’s first institutional-scale funding through The Audacious Project (a funding initiative housed at TED); to individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt",2026-09-16T05:33:05Z,named without amount on metr.org/about; no Pew award document found this lane,1,,"Recipient naming is not a grant schedule line, amount, date, purpose, or legal instrument. Does not fill Task B award fields.",CONFIRMED,,Re-fetched S0 about-page naming independently. Logo alt also The Pew Charitable Trusts. Not treated as paid_grant or commitment. Independently re-fetched this window; not copied from S0 seed rows. S0 held metr.org/about Pew naming and FY2021-FY2025 990 none-found as context-only (checked_utc 2026-09-14). no_kevinnbass_sources. Legal entities unmerged; a named supporter is not a payment; a commitment is not a payment. ProPublica used only as locator for EIN/object_id. RAND CAST directed-grant listing of Pew is out of this lane (MD17).; lane=research/grok-out/MD03-pew.csv#13; review=research/agents-2026-09-16/MDREVIEW-MD03.md
MDP0010,"SFF-2025 METR speculation annotation on the $548,000 track total",Jaan Tallinn,Survival and Flourishing Fund,"Model Evaluation and Threat Research, Inc.","annotation on the SFF-2025 track total: speculation ($120,000)† is not additional dollars",SFF 2025 final recommendations grid,A,MDF,C02.E2;C02.E5,recipient,,,speculation-grant annotation on recommendation,,,commitments,,,USD,SFF-2025,interval,SFF-2025,annotated as already awarded as Speculation Grant; not a second recommendation,General support,,,,,"Speculation: ($120,000)† deducted from / counted within the S-Process total; not added to $120,000+$428,000.",,,,,issuer statements,GET https://survivalandflourishing.fund/2025/recommendations METR grid row,https://survivalandflourishing.fund/2025/recommendations,"Speculation: ($120,000)†<br> Matching: {$428,000}‡",2026-09-16T06:04:57Z,"Track total $548,000 equals $120,000 remainder plus $428,000 matching; speculation $120,000 is an annotation, not extra dollars",1,,"Do not sum the † amount with the $120,000 remainder or the ‡ matching amount.",DIFFERS,,"Live fetch sff-2025-recommendations.html-20260916T060457Z. Receiving charity on this row: Model Evaluation and Threat Research, Inc. This row documents the † annotation only; it is not a third $120,000 recommendation.; audit-1 2026-09-16: lane said amount_usd=120000; audit-2 2026-09-16: lane said money_type=recommendation; audit-3 2026-09-16: lane said edge_type=; lane=research/grok-out/MD09-sff-tallinn.csv#3; review=research/agents-2026-09-16/MDREVIEW-MD09.md"
