# metr_deep independence matrix; built 2026-09-16T20:17:25Z by scripts/build_independence_matrix.py from promoted rows bound as evidence (cells) or negative (gaps); every cell cites row ids; a cell with no qualifying row says so; direct-lab cash, in-kind resources and access dependence are separate columns; ARC-era rows are labelled and belong to Alignment Research Center, not METR; differences between rows are observations, not evidence of motive
project_key,project,providers,direct_lab_cash,in_kind_resources,access_dependence,provider_authority,safe_harbor,personnel_disclosures,policy_version,bounded_gaps,evidence_rows,negative_rows
frr-2026,METR Frontier Risk Report (Feb-Mar 2026; published 2026-05-19),Anthropic; Google; Meta; OpenAI,"none, as METR states [MDQ0063,MDQ0096,MDQ0097,MDQ0098,MDQ0099,MDP0256]","API access with chain-of-thought visibility || complimentary model access || free tokens; nonpublic model access [MDI0007,MDI0008,MDI0042]","API access with chain-of-thought visibility || complimentary model access || free tokens; nonpublic model access || model access (complimentary) [MDI0007,MDI0008,MDI0042,MDQ0051,MDQ0063,MDQ0096,MDQ0097,MDQ0098,MDQ0099]","safe harbor not requested for this pilot || silent exit; redaction/anonymization of non-public information || control over non-public information incorporated; not over the final public report || no approval rights over this final report [MDQ0002,MDQ0003,MDQ0004,MDQ0005,MDQ0016,MDQ0017,MDQ0022,MDQ0053,MDQ0096,MDQ0097,MDQ0098,MDQ0099,MDQ0100]",AEF-1 1.5 legal safe harbor: Not requested [MDQ0002],"Writing: Ajeya Cotra (report lead), Hjalmar Wijk, Daniel Filan, Nikola Jurkovic, Charles Foster, Beth Barnes.  || Charles Foster, Chris Painter, Lucas Sato, Hjalmar Wijk, Nikola Jurkovic, Ajeya Cotra || Ben Snodin, Daniel Filan, David Rein, Joel Becker, Lucas Sato, Megan Kinniment, Mischa Spiegelmock, Nate Rush, || Kit Harris, Daheun Oh, Michael Chen, Michael Keenan, Taylor Osborn, Charles Foster [MDQ0030,MDQ0031,MDQ0032,MDQ0033,MDQ0034,MDQ0035,MDQ0036,MDQ0044,MDQ0045,MDQ0048,MDQ0054,MDQ0066,MDQ0080,MDQ0083,MDQ0096,MDQ0097,MDQ0098,MDQ0099]; relationships [MDR0036,MDR0037,MDR0038,MDR0041,MDR0042,MDR0043,MDR0047,MDR0048,MDR0049,MDR0050,MDR0051,MDR0052,MDR0053,MDR0054,MDR0055,MDR0056,MDR0057,MDR0058,MDR0059,MDR0060,MDR0061,MDR0062,MDR0063,MDR0064,MDR0065,MDR0066,MDR0067,MDR0068,MDR0069,MDR0075,MDR0077,MDR0078]","AEF-1 as applied in this report || none in force at project start (AEF-1 2.3 No) || none in force at project start || none applicable at project start (METR's words) [MDQ0002,MDQ0030,MDQ0036,MDQ0044,MDQ0045,MDQ0048,MDQ0049,MDQ0080,MDQ0082,MDQ0086,MDQ0087,MDQ0088,MDQ0089,MDQ0090,MDQ0091,MDQ0092,MDQ0096,MDQ0097,MDQ0098,MDQ0099,MDQ0177]","[MDS0620,MDS0634,MDS0635,MDS0728,MDS0779,MDS1649]",95,6
hf-incident-2026,OpenAI / Hugging Face incident investigation (Aug 2026),OpenAI,"none, as METR states [MDQ0102]","message-board dump; transcripts; free API credits; on-premises access || withheld model query (HPIM); request-based datasets || free API credits; message-board dump; transcripts || free API credits [MDI0009,MDI0010,MDI0035,MDI0036,MDI0047,MDI0048,MDI0050,MDI0052,MDI0056]","message-board dump; transcripts; free API credits; on-premises access || withheld model query (HPIM); request-based datasets || free API credits; message-board dump; transcripts || free API credits [MDI0009,MDI0010,MDI0035,MDI0036,MDI0047,MDI0048,MDI0050,MDI0052,MDQ0102]","OpenAI was able to redact any non-public information from this post || feedback beyond redaction; METR states it made the edits || one-directional pre-publication review of METR's draft; METR did not see OpenAI's report first || OpenAI able to redact any non-public information from the post; agreed at outset that high-level scope and ter [MDQ0006,MDQ0007,MDQ0018,MDQ0019,MDQ0102]",not stated in any evidence row,"Hjalmar Wijk; Ajeya Cotra; Ryan Greenblatt (Redwood Research staff member contracting with METR) || On Sep 9th (after this report was completed and published on Aug 26th), Ajeya Cotra’s spouse Paul Christiano j || Ryan Greenblatt is the domestic partner of Beth Barnes, METR’s CEO. || domestic-partner disclosure with stated non-involvement [MDQ0038,MDQ0039,MDQ0040,MDQ0046]; relationships [MDR0039,MDR0040,MDR0044]","COI policy v1.0 last updated August 28, 2026 — after the Aug 26 publication || none in force [MDQ0046,MDQ0178]","[MDS0632,MDS0644]",22,2
gpt-5-6-sol,GPT-5.6 Sol pre-deployment evaluation,OpenAI,undisclosed in the engagement documents [MDQ0105],"API access to final and railfree checkpoints; raw chain-of-thought via API || API access [MDI0011,MDI0037]","API access to final and railfree checkpoints; raw chain-of-thought via API || API access [MDI0011,MDI0037]","comms and legal team required review and approval of this post || OpenAI comms and legal required review and approval of this post [MDQ0008,MDQ0020,MDQ0105]",not stated in any evidence row,undisclosed (no evidence row),none in force [MDQ0180],"[MDS0712,MDS0715]",6,2
gpt-5-1-codex-max,GPT-5.1-Codex-Max evaluation,OpenAI,undisclosed in the engagement documents [MDQ0104],"early-checkpoint API access; reasoning traces; compaction scaffolding || checkpoint access with visible reasoning traces || model/scaffold access [MDI0013,MDI0040,MDI0055]","early-checkpoint API access; reasoning traces; compaction scaffolding || checkpoint access with visible reasoning traces || model/scaffold access [MDI0013,MDI0040,MDI0055]","comms and legal team required review and approval of this post || OpenAI comms and legal required review and approval of this post [MDQ0010,MDQ0104]",not stated in any evidence row,undisclosed (no evidence row),undisclosed (no evidence row),,5,0
gpt-5,GPT-5 (gpt-5-thinking) evaluation,OpenAI,undisclosed in the engagement documents [MDQ0103],"pre-release API access; full reasoning traces for some completions; background information || reasoning-trace access; background information [MDI0012,MDI0038,MDI0054]","pre-release API access; full reasoning traces for some completions; background information || reasoning-trace access; background information [MDI0012,MDI0038,MDI0054]","comms and legal team required review and approval of this post || OpenAI comms and legal required review and approval of this post; legal right to block sharing of risk conclus [MDQ0009,MDQ0021,MDQ0103]",not stated in any evidence row,undisclosed (no evidence row); relationships [MDR0113],undisclosed (no evidence row),"[MDS0780,MDS1616]",7,2
gpt-oss,gpt-oss-120b methodology review,OpenAI,undisclosed in the engagement documents [MDQ0106],early draft of MFT paper; data-composition and task description; transcripts from o4-mini after MFT [MDI0030],early draft of MFT paper; data-composition and task description; transcripts from o4-mini after MFT [MDI0030],"OpenAI review and approval of this post || asked to remove a reference to a pre-release draft || required us to share this post with OpenAI for review and approval || NDA required sharing this post with OpenAI for review and approval; OpenAI asked removal of a pre-release-draf [MDQ0025,MDQ0026,MDQ0029,MDQ0106]",not stated in any evidence row,undisclosed (no evidence row),undisclosed (no evidence row),"[MDS0631,MDS0675]",5,2
o1-preview,OpenAI o1-preview / o1-mini evaluation,OpenAI,undisclosed (no evidence row),"pre-release API access || API access || model access [MDI0014,MDI0015,MDI0045,MDI0068]","pre-release API access || API access || model access [MDI0014,MDI0015,MDI0045,MDI0068]",undisclosed (no evidence row),not stated in any evidence row,undisclosed (no evidence row); relationships [MDR0112],undisclosed (no evidence row),"[MDS0611,MDS0674]",5,2
o3-o4-mini,OpenAI o3 / o4-mini evaluation,OpenAI,undisclosed (no evidence row),"pre-release checkpoint access; subset of internal evaluation results || pre-release access; internal eval results || checkpoint access; internal eval results; context [MDI0016,MDI0039,MDI0069]","pre-release checkpoint access; subset of internal evaluation results || pre-release access; internal eval results || checkpoint access; internal eval results; context [MDI0016,MDI0039,MDI0069]",undisclosed (no evidence row),not stated in any evidence row,undisclosed (no evidence row),undisclosed (no evidence row),[MDS0612],3,1
gpt-4-5,GPT-4.5 evaluation,OpenAI,undisclosed (no evidence row),"pre-release checkpoint access; subset of internal evaluation results || pre-release access; internal eval results || checkpoint access; internal eval results; context [MDI0017,MDI0041,MDI0070]","pre-release checkpoint access; subset of internal evaluation results || pre-release access; internal eval results || checkpoint access; internal eval results; context [MDI0017,MDI0041,MDI0070]",undisclosed (no evidence row),not stated in any evidence row,undisclosed (no evidence row),undisclosed (no evidence row),[MDS0613],3,1
gpt-4o,GPT-4o preliminary evaluation,OpenAI,undisclosed in the engagement documents [MDQ0112],undisclosed (no evidence row),"Report describes methodology and results. Access, independence note, NDA, compensation, redaction authority, d [MDQ0112]",undisclosed on this page [MDQ0112],not stated in any evidence row,undisclosed (no evidence row); relationships [MDR0111],undisclosed (no evidence row),[MDS0711],2,1
