# metr_deep MDQ table project_coi.csv; scaffolded by scripts/build_tables.py 2026-09-16T04:35:10Z; ids MDQNNN; rows enter only through `python3 -m casework promote` from a reviewed lane, or from a reviewed seed import named in note; rows are never deleted, corrections append an audit note
row_id,project,provider,policy_version,terms,disclosure_recusal,provider_authority,personnel_conflicts,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,in_kind_type,quantity_or_value,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,review_verdict,lane,note
MDQ0001,"METR Frontier Risk Report, May 2026",not applicable - self-assessment,"AEF-1 pilot, 2026-05-19",,"METR Frontier Risk Report, Table A.1 item 2.4, ""any other conflicts of interest""",,"""Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.""",S0 seed import,MDQ,C08.E2,,,,,,,,,,,,,,,2026-05-19,,,,,,,,,project documents,,https://metr.org/blog/2026-05-19-frontier-risk-report/,"""Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.""",2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/donor_rule.csv; seed_row_id=DR30; seed_sha256=fe967026f73afcbd2b0bdcc868a91f9f5e3d50d17ee2c0ca5be7b9614007b4f8; lane=research/grok-out/S0-seed-import.csv#31; review=research/agents-2026-09-15/S0-seed-import.md"
MDQ0002,"METR Frontier Risk Report, February–March 2026",Anthropic; Google; Meta; OpenAI,AEF-1 as applied in this report,AEF-1 1.5 legal safe harbor: Not requested,,safe harbor not requested for this pilot,,B,MDQ,C04.E2;C08.E3,FRR AEF-1 1.5: legal safe harbor Not requested,,,,,,,,,,,,,,2026-05-19,day,,,,,,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/,https://metr.org/blog/2026-05-19-frontier-risk-report/,The system provider provided legal safe harbor for actions by the evaluator that are within the agreed upon scope of the evaluation. Not requested,2026-09-16T09:19:28Z,safe harbor not requested on this FRR pilot; this wording is not copied onto other engagements,1,https://metr.org/risk-report-feb-mar-2026.pdf,,CONFIRMED,,FRR only. Other engagements' silence on safe harbor is Task D on those documents. primary=metr-org-frontier-risk-report-20260916T091928Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#B01; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0003,"METR Frontier Risk Report, February–March 2026",Anthropic; Google; Meta; OpenAI,,silent exit before approving non-public information for the report; redact or anonymize non-public information,,silent exit; redaction/anonymization of non-public information,,B,MDQ,C04.E2;C08.E3,FRR: participants could exit silently; companies could redact or anonymize non-public information,,,,,,,,,,,,,,2026-05-19,day,,,,,,,,project documents,GET https://metr.org/risk-report-feb-mar-2026.pdf,https://metr.org/risk-report-feb-mar-2026.pdf,We gave participants the option to exit silently from the pilot at any point before approving any,2026-09-16T09:30:49Z,silent-exit and redaction options stated for this pilot,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,Quote is the first line of the silent-exit bullet; the following line continues 'non-public information from them to include in the report.',CONFIRMED,,FRR publication/exit terms only. Not copied onto HF or Anthropic cyber. primary=metr-org-frr-pdf-20260916T093049Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B02; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0004,"METR Frontier Risk Report, February–March 2026",Anthropic; Google; Meta; OpenAI,,no editorial control over the final public report; control over what non-public information METR could incorporate,,control over non-public information incorporated; not over the final public report,,B,MDQ,C08.E3,FRR AEF-1 3.4: participant companies did not have editorial control over the final public report,,,,,,,,,,,,,,2026-05-19,day,,,,,,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Participant companies did not have editorial control over the final public report, but did have control over what non-public information METR could incorporate into it.",2026-09-16T09:19:28Z,split: no final-report editorial control; yes control of non-public incorporation,1,,,CONFIRMED,,FRR only. HF's additional tone/structure feedback is a different engagement's document. primary=metr-org-frontier-risk-report-20260916T091928Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#B03; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0005,"METR Frontier Risk Report, February–March 2026",Anthropic; Google; Meta; OpenAI,,pre-publication draft circulation without approval rights over the final report,,no approval rights over this final report,,B,MDQ,C08.E3,FRR: participants received a draft about one week before publication but did not have approval rights over the final report,,,,,,,,,,,,,,2026-05-19,day,,,,,,,,project documents,GET https://metr.org/risk-report-feb-mar-2026.pdf,https://metr.org/risk-report-feb-mar-2026.pdf,Participants received a draft approximately one week before publication but did not have approval rights over this final report.,2026-09-16T09:30:49Z,pre-publication draft shown; approval rights withheld for the industry-level report,1,,,CONFIRMED,,FRR industry-level report. PDF also: 'Our pilot agreements with participating companies did not give them the right to approve this industry-level publication.' primary=metr-org-frr-pdf-20260916T093049Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B04; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0006,OpenAI / Hugging Face incident investigation,OpenAI,,describe high-level scope and terms; OpenAI redaction of any non-public information; mutually agreeable redaction language,,OpenAI was able to redact any non-public information from this post,,B,MDQ,C04.E2;C08.E3,HF report: METR could describe high-level scope and terms; OpenAI could redact any non-public information,,,,,,,,,,,,,,2026-08-26,day,,,,,,,,project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"OpenAI agreed at the outset with METR and Redwood that we would be able to describe high-level scope and terms of our engagement in this post. Beyond that, OpenAI was able to redact any non-public information from this post.",2026-09-16T09:19:59Z,publication right limited to scope/terms; OpenAI held non-public redaction,1,,,CONFIRMED,,HF engagement only. Not copied from FRR's silent-exit or from Anthropic's Sep 9 page. primary=metr-org-hf-incident-report-pdf-20260916T091959Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B05; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0007,OpenAI / Hugging Face incident investigation,OpenAI,,"OpenAI additional feedback beyond redactions; METR edited structure, emphasis, clarity, and tone",,feedback beyond redaction; METR states it made the edits,,B,MDQ,C08.E3,"HF report: OpenAI feedback beyond redactions on structure, emphasis, clarity, and tone; METR made those edits",,,,,,,,,,,,,,2026-08-26,day,,,,,,,,project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"OpenAI also gave additional feedback beyond redactions, and we made corrections and edits to structure, emphasis, clarity, and tone based on that feedback.",2026-09-16T09:19:59Z,OpenAI input went beyond redaction to structure/emphasis/clarity/tone on this report,1,,,CONFIRMED,,"HF only. Contrast with FRR AEF-1 3.4 (no editorial control over the final public report) is a difference between documents, not a copied term. primary=metr-org-hf-incident-report-pdf-20260916T091959Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#B06; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDQ0008,GPT-5.6 Sol evaluation,OpenAI,,standard NDA; OpenAI comms and legal review and approval of this post,,comms and legal team required review and approval of this post,,B,MDQ,C04.E2;C08.E3,GPT-5.6 Sol post: conducted under a standard NDA; OpenAI comms and legal required review and approval of the post,,,,,,,,,,,,,,2026-06-26,day,,,,,,,,project documents,GET https://metr.org/blog/2026-06-26-gpt-5-6-sol/,https://metr.org/blog/2026-06-26-gpt-5-6-sol/,"This evaluation was conducted under a standard NDA. Due to the sensitive information shared with METR as part of this evaluation, OpenAI’s comms and legal team required review and approval of this post.",2026-09-16T09:21:25Z,NDA and pre-publication approval stated on this Sol post,1,,,CONFIRMED,,"Sol post only. The NDA text of the signed agreement is not published (Task D). Not copied onto o1/o3/GPT-4.5, which do not use this sentence. primary=metr-org-gpt-5-6-sol-20260916T092125Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#B07; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDQ0009,GPT-5 (gpt-5-thinking) evaluation,OpenAI,,standard NDA; OpenAI comms and legal review and approval of this post,,comms and legal team required review and approval of this post,,B,MDQ,C04.E2;C08.E3,GPT-5 report: standard NDA; OpenAI comms and legal required review and approval of the post,,,,,,,,,,,,,,2025-08-07,day,,,,,,,,project documents,GET https://metr.org/evaluations/gpt-5-report/,https://metr.org/evaluations/gpt-5-report/,"This evaluation was conducted under a standard NDA. Due to the sensitive information shared with METR as part of this evaluation, OpenAI’s comms and legal team required review and approval of this post (the latter is not true of any other METR reports shared on our website).",2026-09-16T09:21:49Z,NDA plus comms/legal approval on this GPT-5 report; the parenthetical is this report's wording as of its date,1,,"Later METR posts (Sol; Codex-Max) also use the NDA+approval sentence. This row records GPT-5's document, not a chronology inference.",CONFIRMED,,GPT-5 report only. Signed NDA text not published (Task D). primary=metr-org-gpt-5-report-20260916T092149Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#B08; review=research/agents-2026-09-16/MDREVIEW-MD27.md
MDQ0010,GPT-5.1-Codex-Max evaluation,OpenAI,,standard NDA; OpenAI comms and legal review and approval of this post,,comms and legal team required review and approval of this post,,B,MDQ,C04.E2;C08.E3,GPT-5.1-Codex-Max report: standard NDA; OpenAI comms and legal required review and approval of the post,,,,,,,,,,,,,,2025-11-19,day,,,,,,,,project documents,GET https://metr.org/evaluations/gpt-5-1-codex-max-report/,https://metr.org/evaluations/gpt-5-1-codex-max-report/,"This evaluation was conducted under a standard NDA. Due to the sensitive information shared with METR as part of this evaluation, OpenAI’s comms and legal team required review and approval of this post.",2026-09-16T09:21:59Z,NDA and pre-publication approval stated on this Codex-Max report,1,,,CONFIRMED,,Codex-Max report only. Same sentence also appears on Sol; each is quoted from its own document. primary=metr-org-gpt-5-1-codex-max-report-20260916T092159Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#B09; review=research/agents-2026-09-16/MDREVIEW-MD27.md
