# fetch_window_utc=2026-09-16T09:36:17Z/2026-09-16T09:46:12Z
# routes_used=IRS i990sb/i990 HTML + i990sb PDF; IRS public-disclosure overview + contributors-identities FAQs; GovInfo 26 U.S.C. § 6104; Treas. Reg. § 301.6104(d)-1 via r.jina.ai of eCFR; IRS e-file index_2023..index_2026.csv filter EIN=237825575; GivingTuesday gt990datalake-rawdata XML object_ids for NPT Form 990 FY2021–FY2025; ProPublica API v2 org 237825575 locator + full_text Schedule B; nptrust.org home/contact/annual-report; Pennsylvania charities.pa.gov + file.dos.pa.gov; IRS Form 4506-A PDF (not filed); unsent 6104(d) draft in this primary dir
# caps_hit=IRS TEOS web app HTTP 403 (landing, inputEin, details?ein=237825575); live eCFR HTML Federal Register unblock challenge (regulation recovered via r.jina.ai); charities.pa.gov/Search/CharitySearch HTTP 404 (home is a JS shell); file.dos.pa.gov/search/charity and /search/business HTTP 403; charities.pa.gov/api/Charity/Search HTTP 404
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; MD11-daf-filed-grants.csv used only as locator for NPT EIN/object ids/June year-end and Schedule I none-founds vs METR/ARC (cited, not copied as this lane's discovery); lineage NPT→RAND FY2025 $61,646,790 cited not recollected; nothing emailed, filed, submitted, posted or telephoned; research/records/REQUESTS.jsonl not written; approved_for_send false on the draft
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDP,C07.E3,26 U.S.C. § 6104(d)(1): NPT as a 501(c) organization must make its annual return available for public inspection,DAF sponsor,NPT,26 U.S.C. § 6104(d)(1),National Philanthropic Trust,,,public-inspection duty,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET GovInfo USCODE-2023-title26 sec6104 subsection (d)(1),https://www.govinfo.gov/content/pkg/USCODE-2023-title26/html/USCODE-2023-title26-subtitleF-chap61-subchapB-sec6104.htm,shall be made available by such organization for inspection during regular business hours by any individual at the principal office of such organization,2026-09-16T09:36:24Z,6104(d)(1) opens the annual return filed under section 6033 to public inspection at the organization's principal office. NPT files Form 990 (not 990-PF). No request sent.,1,https://www.irs.gov/instructions/i990sb,"Statute opens the return; subsection (d)(3) excepts contributor names and addresses for a public charity. A request may seek a copy of an existing return, not an explanation.","primary=govinfo-usc26-6104-20260916T093617Z.html sha256=c9bc9f42b7a249c6a22e60acc9db01696f9a40489099564539f39e5680b09e33. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
A02,A,MDP,C07.E3,26 U.S.C. § 6104(d)(3)(A): public charity contributor names and addresses are excepted from public disclosure,DAF sponsor,NPT,26 U.S.C. § 6104(d)(3)(A),National Philanthropic Trust,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET GovInfo USCODE-2023-title26 sec6104 subsection (d)(3)(A) Nondisclosure of contributors,https://www.govinfo.gov/content/pkg/USCODE-2023-title26/html/USCODE-2023-title26-subtitleF-chap61-subchapB-sec6104.htm,"In the case of an organization which is not a private foundation (within the meaning of section 509(a)) or a political organization exempt from taxation under section 527, paragraph (1) shall not require the disclosure of the name or address of any contributor to the organization.",2026-09-16T09:36:24Z,"NPT is a public charity (Schedule A PublicOrganization170Ind=X), not a private foundation. Contributor names and addresses are excepted from 6104(d) public inspection. The rest of the annual return remains open.",1,,Exception is name or address only. It does not by itself redact contribution amounts or Schedule B Part II noncash descriptions.,"primary=govinfo-usc26-6104-20260916T093617Z.html sha256=c9bc9f42b7a249c6a22e60acc9db01696f9a40489099564539f39e5680b09e33. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
A03,A,MDP,C07.E3,Form 990 instructions: written 6104(d) copy request; 30-day clock if in writing,,,26 U.S.C. § 6104(d)(1) closing text,,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET GovInfo sec6104 (d)(1) request in person or in writing / 30 days,https://www.govinfo.gov/content/pkg/USCODE-2023-title26/html/USCODE-2023-title26-subtitleF-chap61-subchapB-sec6104.htm,The request described in subparagraph (B) must be made in person or in writing.,2026-09-16T09:36:24Z,A 6104(d) copy request must be in person or in writing. Written copies are due within 30 days. No request sent. approved_for_send false on the Task D draft.,1,research/primary/MD37-npt-schedule-b/draft-npt-6104d-fy2025-990-public-inspection-20260916T094612Z.md,"This is the statutory request method, not a transmission.","primary=govinfo-usc26-6104-20260916T093617Z.html sha256=c9bc9f42b7a249c6a22e60acc9db01696f9a40489099564539f39e5680b09e33. Same page also contains: if made in writing, shall be provided within 30 days. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
A04,A,MDP,C07.E3,Instructions for Schedule B (Form 990) (12/2024): public-charity contributor names and addresses not required to be public,,,i990sb Public Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET https://www.irs.gov/instructions/i990sb Public Inspection,https://www.irs.gov/instructions/i990sb,"For all other organizations that file Form 990 or 990-EZ, the names and addresses of contributors aren’t required to be made available for public inspection.",2026-09-16T09:36:19Z,Schedule B instructions: 990-PF and s.527 Schedule B are open; for other 990 filers (including NPT as a public charity) contributor names and addresses are not required to be public.,1,https://www.irs.gov/instructions/i990,"NPT is 501(c)(3) and still must report names to the IRS on Schedule B; the exception is public inspection, not filing.","primary=irs-i990sb-20260916T093617Z.html sha256=3fe98d93b672502224783ace4b938e93cf87250b9a5daf2216c625363396ad76. Also saved irs-i990sb-pdf-20260916T093617Z.pdf. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
A05,A,MDP,C07.E3,Form 990 (2025) instructions: Schedule B amounts and noncash descriptions are public unless they clearly identify the contributor,,,i990 Appendix D / General Instructions public inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET https://www.irs.gov/instructions/i990 public inspection of Schedule B,https://www.irs.gov/instructions/i990,"For other organizations that file Form 990 or 990-EZ, the names and addresses of contributors listed on Schedule B aren’t required to be made available for public inspection.",2026-09-16T09:36:21Z,"Form 990 instructions: names and addresses on Schedule B are not required to be public for a non-527, non-990-PF filer. Same page continues that all other Schedule B information including amounts and noncash descriptions is required to be public unless it clearly identifies the contributor.",1,,"IRS public e-file XML for NPT nevertheless marks Schedule B amounts RESTRICTED (Task B). The instruction text is the 6104(d) public-inspection bar, not the bulk e-file image policy.","primary=irs-i990-20260916T093617Z.html sha256=3434d087347d92433b6d18b1815d9b1264c2eddeae7a5b23095e9d9b461eec51. Contiguous following sentence also in this file: All other information reported on Schedule B, including the amount of contributions, the description of noncash contributions, and any other information, is required to be made available for public inspection unless it clearly identifies the contributor. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
A06,A,MDP,C07.E3,IRS public-disclosure FAQ: contributor identities on the annual return including Schedule B are not subject to disclosure for a non-PF,,,irs.gov contributors-identities-not-subject-to-disclosure,,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET IRS contributors identities not subject to disclosure FAQ,https://www.irs.gov/charities-non-profits/public-disclosure-and-availability-of-exempt-organizations-returns-and-applications-contributors-identities-not-subject-to-disclosure,"A tax-exempt organization is generally not required to disclose publicly the names or addresses of its contributors set forth on its annual return, including",2026-09-16T09:36:22Z,IRS FAQ: names or addresses of contributors on the annual return including Schedule B are generally not publicly disclosable. Exception for private foundations and s.527. NPT is not a private foundation.,1,,FAQ is IRS prose; the statute is 6104(d)(3)(A) (A02) and the instruction is i990sb (A04).,"primary=irs-contributors-identities-20260916T093617Z.html sha256=36b8e17e908d2adeeba49c27877c6e4a90ea24fa5e396980c9e5ffe15738bfe8. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
A07,A,MDP,C07.E3,IRS public-disclosure overview: the annual information return including schedules is open; a public charity need not disclose contributor name and address,,,irs.gov public-disclosure-overview,,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET IRS public disclosure overview FAQ,https://www.irs.gov/charities-non-profits/public-disclosure-and-availability-of-exempt-organization-returns-and-applications-public-disclosure-overview,"An exempt organization must make available for public inspection its annual information return (e.g., Form 990, Form 990-EZ).",2026-09-16T09:36:22Z,Overview: Form 990 including schedules/attachments is open for three years. Same page: an exempt organization other than a private foundation need not disclose the name and address of any contributor.,1,,Three-year window for 6104(d) inspection of returns. NPT FY2023–FY2025 are inside that window as of this fetch; FY2026 is unfiled.,"primary=irs-public-disclosure-overview-20260916T093617Z.html sha256=3ca8f5a04d4a997b9b69bdcc2385ad2a365fe2699bece45ab22c4947a96273b3. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
A08,A,MDP,C07.E3,Treas. Reg. § 301.6104(d)-1(b)(4)(ii): public-charity annual information return does not include contributor name and address,,,26 C.F.R. § 301.6104(d)-1(b)(4)(ii),,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET eCFR 26 CFR 301.6104(d)-1 via r.jina.ai (live eCFR HTML was Federal Register unblock challenge),https://www.ecfr.gov/current/title-26/chapter-I/subchapter-F/part-301/section-301.6104(d)-1,"In the case of a tax-exempt organization other than a private foundation, the term _annual information return_ does not include the name and address of any contributor to the organization.",2026-09-16T09:40:16Z,"Regulation defines the public annual information return as an exact copy of the s.6033 return including schedules, except contributor name and address for a non-private-foundation. Live eCFR GET was an unblock challenge; text recovered via r.jina.ai of the same URL.",1,,Caps_hit: live eCFR HTML redirected to unblock.federalregister.gov. Quote is from the jina rendering of the official eCFR URL.,"primary=ecfr-jina-20260916T094016Z.txt sha256=b7b2a79fc353139faebd0410b2ef4ee52dca7dbbff3dfd78dd7a53c279c16659. Proxy r.jina.ai of the live eCFR URL. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
A09,A,MDP,C07.E3,NPT FY2025 Schedule O: Form 990 is available on request for the 6104(d) disclosure period,DAF sponsor,NPT,202601289349302480,National Philanthropic Trust,,,,2024-07-01,2025-06-30,,,,,2025-06-30,day,FY2025 (2024-07-01 to 2025-06-30),,,,,,,,,,,,,,DAF sponsor filings,"GET GT XML 202601289349302480; IRS990ScheduleO FORM 990, PART VI, SECTION C, LINE 19",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202601289349302480_public.xml,NPT'S FORM 990 IS AVAILABLE ON REQUEST FOR THE SAME PERIOD OF DISCLOSURE AS SET FORTH IN SECTION 6104(D).,2026-09-16T09:37:27Z,NPT's own filing states the Form 990 is available on request under section 6104(d). UponRequestInd=X. OwnWebsiteInd empty. Annual report posts balance sheet and income statement only.,1,research/primary/MD37-npt-schedule-b/draft-npt-6104d-fy2025-990-public-inspection-20260916T094612Z.md,Schedule O is the organization's statement of how it makes the return available; it is not a production of Schedule B Parts I–II.,"primary=npt-fy2025-202601289349302480-excerpt-20260916T093617Z.xml sha256=84bfed6a97c26e54a30de01716da32fe87126cc73d87c7ba03fe6bced6641c5c. Same ExplanationTxt continues: NPT POSTS ITS BALANCE SHEET AND INCOME STATEMENT ON ITS WEBSITE IN NPT'S ANNUAL REPORT. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
A10,A,MDE,C07.E2;C07.E3,"National Philanthropic Trust is a public-charity DAF sponsor (EIN 23-7825575), not a private foundation and not a DAF account",DAF sponsor,NPT; National Philanthropic Trust,23-7825575,National Philanthropic Trust,,,,2024-07-01,2025-06-30,,,,,2025-06-30,day,FY2025,,,,,,,,,,,,,,DAF sponsor filings,GET GT XML 202601289349302480 ReturnHeader Filer EIN/BusinessName/USAddress; IRS990ScheduleA PublicOrganization170Ind,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202601289349302480_public.xml,<EIN>237825575</EIN>,2026-09-16T09:37:27Z,"Filer EIN 237825575, BusinessNameLine1Txt NATIONAL PHILANTHROPIC TRUST, USAddress 165 TOWNSHIP LINE ROAD SUITE 1200 JENKINTOWN PA 19046. PublicOrganization170Ind=X. ReturnTypeCd=990. NPT the DAF sponsor is not merged with any DAF account, adviser, or natural-person donor.",1,,Public-charity status is why Schedule B names/addresses are excepted (A02/A04). It does not identify any DAF account principal.,"primary=npt-fy2025-202601289349302480-excerpt-20260916T093617Z.xml sha256=84bfed6a97c26e54a30de01716da32fe87126cc73d87c7ba03fe6bced6641c5c. Also contains <PublicOrganization170Ind>X</PublicOrganization170Ind> and <BusinessNameLine1Txt>NATIONAL PHILANTHROPIC TRUST</BusinessNameLine1Txt>. research/STATE.md read before adding facts. NPT EIN 23-7825575 June year-end and object ids located from MD11 (not recollected as new): FY2025 object 202601289349302480 (MD11 row 64); FY2024 202511339349301311; FY2023 202431429349301368; FY2022 202311359349313966; FY2021 202231339349309863. MD11 Schedule I none-founds vs METR (rows 19-23) and ARC (rows 46-50) and lineage NPT→RAND FY2025 $61,646,790 are cited, not this lane's discoveries. STATE already records IRS TEOS HTTP 403 from this host and that a public charity's Schedule B is redacted and a DAF sponsor return never names an account principal. no_kevinnbass_sources. This lane sent nothing."
