# fetch_window_utc=2026-09-16T09:30:40Z/2026-09-16T09:42:05Z
# routes_used=Anthropic announcements (research/alignment-assessment-cybersecurity-incidents live + Wayback 20260909190507id_; news/investigating-incidents-cybersecurity-evals; news/improving-alignment-security-efforts; news index; X 2097762642958135398/2097762644203917516/2094557124038951170); METR announcements (X 2097765966088487290/2097765967417975207; metr.org/blog index, about, home, notes, careers, feed.xml, search, coi-policy.pdf, 2026-07-28 propensities post, substack archive); Redwood own-statements (X 2098795673248550984, redwoodresearch.org home/research/team, blog.redwoodresearch.org); Ryan Greenblatt X 2098799055573045589 as individual staff self-ID; Irregular own pages (irregular.com and /news via live HTML and r.jina.ai); RSP current PDF 0bacdc8440ea96e62a8766d99ebe1d4eea6d5f3a (v3.4) + RSP page + v3.1 PDF + news/responsible-scaling-policy-v3; LTBT 2023 news + anthropic.com/company; Dario Amodei September 2026 essay (visible post-date month-only; HTML Last Published 2026-09-14T13:28:14Z / Last-Modified 2026-09-14T13:28:16Z not used as a day; separate embedded-evaluator commitment, not merged as this engagement's contract); then source-order checks: recipient filings (ProPublica EIN 99-1219864), IRS TEOS landing via r.jina.ai, SEC EDGAR full-text, CourtListener opinions, SAM.gov and USAspending, grants.gov, press (thenewstack.io/anthropic-claude-cyber-alignment/). research/STATE.md and research/calendar.csv CAL01 locators only.
# caps_hit=Wayback CDX JSON HTTP 403 (raw id_ of 20260909190507 succeeded); IRS TEOS live app blocked, landing via r.jina.ai; USAspending keyword/search pages are identical JS shells; SAM.gov search is a JS shell; metr.org/search is a JS shell; grants.gov keyword results JS-loaded (static HTML all status buckets 0); CA OAG RCT search URL HTTP 404; Foundation Directory Online HTTP 530; guessed Anthropic slug /news/improving-our-alignment-and-security-efforts HTTP 404 (correct slug recovered from news index); USAspending API GET /search/spending_by_award/ is not a keyword search
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; C08.E4 open; CAL01 ~2026-11-04 report from the 2026-09-09 eight-week announcement (re-verified live and via Wayback id_, not copied from CAL01/STATE as evidence); OpenAI/Hugging Face incident is a different engagement and is not merged; nothing emailed, filed, submitted, posted, or telephoned; allocation of the approximately $71 million not asked
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDT,C04.E2;C08.E4,Anthropic 2026-09-09 research page: signed METR independent investigation of these incidents,project,"METR; Model Evaluation and Threat Research, Inc.",alignment-assessment-cybersecurity-incidents,"Anthropic, PBC",,"Model Evaluation and Threat Research, Inc.",independent investigation agreement (as stated by Anthropic),2026-09-09,,,,,,2026-09-09,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",,,independent investigation of these incidents,,,,,,,issuer statements,GET https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,We have signed an agreement with METR to conduct an independent investigation of these incidents.,2026-09-16T09:30:41Z,Anthropic dated statement of a signed agreement with METR to investigate these incidents. Compensation is not stated on this page.,1,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals,"Page does not name a selector, a policy provision, a subcontractor, compensation, redaction authority, or publication control for METR's report.","primary=anthropic-alignment-assessment-20260916T093041Z.html sha256=2ea4227a42a3ca3fc5081073cc01d6109d3a03c157a45a0dc0784ea539cc5394. Live re-fetch of the 2026-09-09 eight-week locator; not copied from research/calendar.csv CAL01 or STATE.md. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
A02,A,MDI,C04.E2;C08.E3,Anthropic 2026-09-09: access granted to METR (transcripts beyond incident window; employees may share confidential information),project,METR,alignment-assessment-cybersecurity-incidents,"Anthropic, PBC",,"Model Evaluation and Threat Research, Inc.",stated access,2026-09-09,,,,,,2026-09-09,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",transcripts beyond incident window; Anthropic employees permitted to share confidential information,,"Our agreement grants METR wide-ranging access, including to transcripts beyond the window in which the incidents occurred, and to Anthropic employees, who will be permitted to share confidential information.",,,,,,,issuer statements,GET https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents ; filter wide-ranging access,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,"Our agreement grants METR wide-ranging access, including to transcripts beyond the window in which the incidents occurred, and to Anthropic employees, who will be permitted to share confidential information.",2026-09-16T09:30:41Z,"Access as stated: transcripts beyond the incident window, and Anthropic employees permitted to share confidential information. Sampling access is not stated on this Sep 9 page (see A05 Jul 30).",1,,"No model-sampling, internal-materials, or desk/badge access is named on this page. Quantity is not stated.","primary=anthropic-alignment-assessment-20260916T093041Z.html sha256=2ea4227a42a3ca3fc5081073cc01d6109d3a03c157a45a0dc0784ea539cc5394. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
A03,A,MDT,C04.E2;C08.E4,"Anthropic 2026-09-09: initial term eight weeks, option to extend by mutual agreement (live re-verify of the eight-week locator)",project,METR,alignment-assessment-cybersecurity-incidents,"Anthropic, PBC",,"Model Evaluation and Threat Research, Inc.",stated term,2026-09-09,,,,,,2026-09-09,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",,,"initial agreement runs for eight weeks, with the option to extend by mutual agreement",,,,,,,issuer statements,GET https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents ; filter eight weeks,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,"Our initial agreement runs for eight weeks, with the option to extend by mutual agreement.",2026-09-16T09:30:41Z,"Term as stated by Anthropic: eight weeks initial, extendable by mutual agreement. Also: ""We intend to give METR as much time as it deems necessary."" Compensation is not stated.",1,https://web.archive.org/web/20260909190507id_/https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,Eight weeks is Anthropic's stated initial term. METR's Sep 9 X posts do not state a term (A10). End date is not computed here.,"primary=anthropic-alignment-assessment-20260916T093041Z.html sha256=2ea4227a42a3ca3fc5081073cc01d6109d3a03c157a45a0dc0784ea539cc5394. Live re-verify of the already-held 2026-09-09 eight-week locator; CAL01/STATE were locators only. Adjacent sentence in the same saved body: 'We intend to give METR as much time as it deems necessary.'. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
A04,A,MDT,C04.E2;C08.E4,Archive re-verify of the 2026-09-09 eight-week locator (Wayback raw id_ capture 20260909190507),project,METR,wayback 20260909190507id_ alignment-assessment-cybersecurity-incidents,"Anthropic, PBC",,"Model Evaluation and Threat Research, Inc.",stated term (archive capture of the same Anthropic page),2026-09-09,,,,,,2026-09-09,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",,,"initial agreement runs for eight weeks, with the option to extend by mutual agreement",,,,,,,archives,GET https://web.archive.org/web/20260909190507id_/https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents (raw id_),https://web.archive.org/web/20260909190507id_/https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,"Our initial agreement runs for eight weeks, with the option to extend by mutual agreement.",2026-09-16T09:41:40Z,Same eight-week sentence present in the 2026-09-09T19:05:07Z Wayback raw id_ capture. Live page re-fetched as A03. Not copied from CAL01.,1,,Wayback CDX JSON for this URL returned HTTP 403 this window (E12). The named id_ capture itself returned HTTP 200.,"primary=wayback-id-anthropic-assessment-20260909190507-20260916T094140Z.html sha256=37648f7c65e15ca00cc5ae215bbbbbb43a7f47be47dceac7d65711fb18decc7b. Fallback named by the brief: Wayback raw id_. Live URL was not dead; archive is a dated corroboration. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
A05,A,MDT,C04.E2;C08.E4,"Anthropic @AnthropicAI 2026-09-09T19:02:43Z X post announcing METR investigation, access, eight-week initial agreement",project,@AnthropicAI,2097762642958135398,"Anthropic, PBC",,"Model Evaluation and Threat Research, Inc.",dated public statement,,,,,,,2026-09-09,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",wide-ranging access (transcripts beyond incident window; employees permitted to share confidential information),,initial agreement runs for eight weeks,,,,,,,issuer statements,GET https://x.com/AnthropicAI/status/2097762642958135398 ; also GET https://api.fxtwitter.com/status/2097762642958135398,https://x.com/AnthropicAI/status/2097762642958135398,"METR will also conduct an independent investigation, with wide-ranging access, including to transcripts beyond the window in which the incidents occurred, and to Anthropic employees permitted to share confidential information.",2026-09-16T09:31:45Z,"Anthropic X statement matches the research page on access and eight-week term. Compensation, redaction authority, publication control, RSP/LTBT, and subcontractors are not stated. Structured copy saved as x-anthropic-2097762642958135398-20260916T093137Z.json.",1,https://x.com/AnthropicAI/status/2097762644203917516,X HTML is a JS app; quote is a contiguous substring of the saved x.com HTML. api.fxtwitter.com JSON is the structured capture of the same post.,"primary=xhtml-anthropic-2097762642958135398-20260916T093145Z.html sha256=b6f47a6bca0d9af9b8e2c8dcf60502f8d7dbae8645e6c6890ab6ceb050112e5f; json=x-anthropic-2097762642958135398-20260916T093137Z.json sha256=c03f64ad0ae0ff9580cc4d7f6f7e9b27e42fd23484bb68dbd33be2c076b7ef1b. Adjacent eight-week sentence in the same saved HTML: 'Our initial agreement runs for eight weeks, and we intend to give METR as much time as it deems necessary to complete a thorough investigation.'. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
A06,A,MDI,C04.E2;C08.E3,"Anthropic 2026-07-30: in dialogue with METR for a third-party review, including transcripts and sampling access (pre-agreement statement)",project,METR,investigating-incidents-cybersecurity-evals,"Anthropic, PBC",,"Model Evaluation and Threat Research, Inc.",stated dialogue / planned third-party review,,,,,,,2026-07-30,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",access to all transcripts; sampling access to the relevant models (as of 2026-07-30 statement),,in dialogue with METR to conduct a third-party review,,,,,,,issuer statements,GET https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals ; filter METR,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals,"We are also in dialogue with METR, an independent AI evaluation organization, to conduct a third-party review, including access to all transcripts and sampling access to the relevant models.",2026-09-16T09:30:42Z,Dated Anthropic statement before the Sep 9 signed-agreement page. Sampling access is stated here and is not stated on the Sep 9 page (A02). Compensation is not stated. Irregular is named on this page as conducting its own investigation (not treated as a METR subcontractor; see C03).,1,https://www.anthropic.com/news/improving-alignment-security-efforts,"This is dialogue/planned review, not the later ""signed an agreement"" wording. Page also says Anthropic will release a lightly redacted transcript of its own disclosure; that is not a statement of METR redaction authority.","primary=anthropic-news-investigating-incidents-cyber-evals-20260916T093042Z.html sha256=c2d94a547d22210a6566860db52a74b2f60c06f3664e3a242df3b073c0373822. Dateline on page is the Jul 30 2026 news post. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
A07,A,MDT,C04.E2;C08.E4,Anthropic 2026-08-31: planning to work with METR for an independent review (pre-agreement statement),project,METR,improving-alignment-security-efforts,"Anthropic, PBC",,"Model Evaluation and Threat Research, Inc.",stated planned independent review,,,,,,,2026-08-31,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",,,planning to work with METR for an independent review,,,,,,,issuer statements,GET https://www.anthropic.com/news/improving-alignment-security-efforts ; filter METR,https://www.anthropic.com/news/improving-alignment-security-efforts,We are also planning to work with METR for an independent review.,2026-09-16T09:35:34Z,"Dated Anthropic statement after Jul 30 and before the Sep 9 signed-agreement page. Access, term, compensation, redaction, and publication control are not stated in this sentence. Guessed slug /news/improving-our-alignment-and-security-efforts was HTTP 404; this slug was taken from the live news index.",1,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,Does not state that an agreement has been signed. Does not cite RSP or LTBT.,"primary=anthropic-news-improving-alignment-security-efforts-20260916T093534Z.html sha256=2a5b5d955a4755296db47e26e9ea9a8bbb20b5010dfeb7a40b3bc4be55f429ed. Anthropic X 2094557124038951170 (2026-09-16T09:35:37Z) points at this URL. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
A08,A,MDT,C04.E2;C08.E3;C08.E4,METR @METR_Evals 2026-09-09T19:15:55Z: agreement with Anthropic; incidents and models' alignment properties; will publish reports and terms of engagement,project,"@METR_Evals; Model Evaluation and Threat Research, Inc.",2097765966088487290,"Model Evaluation and Threat Research, Inc.",,"Anthropic, PBC",independent investigation agreement (as stated by METR),,,,,,,2026-09-09,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",,,will publish one or more reports that will share findings and describe terms of engagement,,,,,,,self-statements,GET https://x.com/METR_Evals/status/2097765966088487290 ; also GET https://api.fxtwitter.com/status/2097765966088487290,https://x.com/METR_Evals/status/2097765966088487290,We have reached an agreement with Anthropic to conduct an independent investigation of agent incidents at the company and of their models’ alignment properties.,2026-09-16T09:31:46Z,"METR dated statement. Scope as stated: agent incidents at the company and models' alignment properties. Publication of reports and of terms of engagement is promised; the terms themselves are not in this post. Access details, eight-week term, compensation, redaction authority, RSP/LTBT, and subcontractors are not stated.",1,https://x.com/METR_Evals/status/2097765967417975207,metr.org/blog has no Sep 2026 HTML post for this agreement (E02). This X post is METR's dated web statement.,"primary=xhtml-metr-2097765966088487290-20260916T093146Z.html sha256=5345e679b33ad366de0ed493da8bf19ea78ce04821b07aed39cad65b72d8bd13; json=x-metr-2097765966088487290-20260916T093139Z.json sha256=21b243dc09700d93fc5e7d6bb5d458353c41510055906ba45234a94a9540d6f7. Adjacent sentence in the same saved HTML: 'We will publish one or more reports that will share our findings and describe our terms of engagement.'. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
A09,A,MDP,C04.E2;C08.E3,METR @METR_Evals 2026-09-09T19:15:55Z reply: investigation will cover the questions in METR's 2026-07-28 propensities post,project,@METR_Evals,2097765967417975207,"Model Evaluation and Threat Research, Inc.",,"Anthropic, PBC",stated investigation scope (questions list),,,,,,,2026-09-09,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",,,cover all of the questions discussed in the 2026-07-28 METR post (updated 2026-09-05),,,,,,,self-statements,GET https://api.fxtwitter.com/status/2097765967417975207 (capture of https://x.com/METR_Evals/status/2097765967417975207),https://api.fxtwitter.com/status/2097765967417975207,We intend our investigation to cover all of the questions discussed in our (recently updated) post on how independent researchers could investigate AI propensities after misalignment incidents.,2026-09-16T09:31:40Z,METR dated statement of scope-by-reference to https://metr.org/blog/2026-07-28-investigating-ai-propensities-after-incidents/ (saved metr-org-propensities-post-20260916T093048Z.html). Access/term/compensation are not restated here.,1,https://metr.org/blog/2026-07-28-investigating-ai-propensities-after-incidents/,"The Jul 28 post is a methodology list, not the unpublished terms of engagement. OpenAI/HF language in that post is a different engagement and is not merged here.","primary=x-metr-2097765967417975207-20260916T093140Z.json sha256=ec3c03900154bb9c64f76ea2665cd1aab3ea12813df28ecc111229437948d63d. Quote is a contiguous substring of the saved fxtwitter JSON. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
A10,A,MDP,C04.E2;C08.E3;C08.E4,"Explicit difference mark: Anthropic vs METR dated statements on scope, access, term, compensation",project,METR,A01-A09 difference,"Anthropic, PBC",,"Model Evaluation and Threat Research, Inc.",,,,,,,,2026-09-09,day,,,,September 2026 Anthropic incident engagement,"Anthropic, PBC",,,,,,,,,,issuer statements,compare GET Anthropic research page + X 2097762642958135398 with GET METR X 2097765966088487290 and 2097765967417975207,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,"Our initial agreement runs for eight weeks, with the option to extend by mutual agreement.",2026-09-16T09:30:41Z,"Differences (one-sided silence counted as a difference, not a skip): (1) Term: Anthropic states eight weeks plus option to extend; METR X posts do not state a term. (2) Access: Anthropic states transcripts-beyond-window and employees sharing confidential information; METR X posts do not state access. (3) Sampling: Anthropic Jul 30 states sampling access to the relevant models; Anthropic Sep 9 page and METR Sep 9 X do not. (4) Scope: METR adds models' alignment properties and the Jul 28 questions list; Anthropic Sep 9 page says these incidents. (5) Publication: METR says it will publish reports and describe terms of engagement; Anthropic Sep 9 page does not. (6) Compensation: neither party's dated statements state an amount or money type. (7) Subcontractors: neither Anthropic nor METR names Redwood; Redwood's own Sep 12 X post does (C01).",1,,Difference mark is a comparison of the dated statements in A01-A09. It does not assert a reason for the differences.,"Quote is the Anthropic eight-week sentence from anthropic-alignment-assessment-20260916T093041Z.html (substring verified). METR publication sentence is in xhtml-metr-2097765966088487290-20260916T093146Z.html. research/STATE.md read 2026-09-16 before adding facts (C08.E4 open; CAL01 ~2026-11-04 from 2026-09-09 eight-week announcement; OpenAI/HF is a different project). STATE.md and research/calendar.csv CAL01 used as locators only; not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing and contacted nobody. Anthropic, METR, Redwood Research, Irregular, the Responsible Scaling Policy, and the Long-Term Benefit Trust are kept as separate objects."
