# metr_deep S2 lineage import; fetch_timestamp_utc=n/a (transcription of the sibling lineage pack's promoted rows); retrieval_method=verbatim cell copy from /mnt/f/projects/anthropic/lineage/research/flows_named.csv sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; known_caps=none; no_kevinnbass_sources=true; brief: none - S2 precondition import, not a research lane; every row is context until its MD lane re-collects it
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,5500000,USD,2023-06-30,interval,2022-07-01 to 2023-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349105564_public.xml,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1141; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-138; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
2,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,10000000,USD,2023-06-30,interval,2022-07-01 to 2023-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349105564_public.xml,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1142; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-139; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
3,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,666667,USD,2023-06-30,interval,2022-07-01 to 2023-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349105564_public.xml,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1143; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-140; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
4,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,10500000,USD,2023-06-30,interval,2022-07-01 to 2023-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349105564_public.xml,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1144; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-141; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
5,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,2500000,USD,2024-06-30,interval,2023-07-01 to 2024-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1203; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-205; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
6,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,2000000,USD,2024-06-30,interval,2023-07-01 to 2024-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1204; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-206; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
7,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,666667,USD,2024-06-30,interval,2023-07-01 to 2024-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1205; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-207; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
8,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,5000000,USD,2024-06-30,interval,2023-07-01 to 2024-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1206; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-208; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
9,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,2500000,USD,2024-06-30,interval,2023-07-01 to 2024-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1207; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-209; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
10,S2 lineage import,MDF,C06.E1;C06.E2,Good Ventures Foundation -> RAND Corporation (filed_grant_990pf),,,,Good Ventures Foundation,,RAND Corporation,,,,paid_filed,filed_grant,2000000,USD,2025-06-30,interval,2024-07-01 to 2025-06-30,filed as granted,,,,,,,,,,,,,funder filings,,https://apps.irs.gov/pub/epostcard/cor/461008520_202506_990PF_2026062524404601.pdf,"<BusinessNameLine1Txt>THE RAND CORPORATION</BusinessNameLine1Txt>
          </RecipientBusinessName>
          <RecipientUSAddress>
            <AddressLine1Txt>1776 MAIN ST</AddressLine1Txt>
            <CityNm>SANTA MONICA</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>",2026-09-16T03:36:49Z,,,,"payment to RAND Corporation, not to METR; purpose text in the lineage row's quote",lineage transcription; checked_utc is the lineage lane's own check time; role=context until the owning MD lane re-collects it from the primary; seed_path=/mnt/f/projects/anthropic/lineage/research/flows_named.csv; seed_row_id=FN1247; seed_sha256=f7b7afb6db36140684e79bb22978b28663e334d58a8939918ec159bead91fcc6; lineage_lane=L09-gvf-990pf-all-years.csv#L09-254; lineage_review=research/agents-2026-09-16/LREVIEW-L09.md; lineage_measure=filed_grant_990pf; lineage_channel=
