# fetch_window: 2026-09-16T09:53:47Z UTC (live GETs; Wayback id_ and r.jina.ai attempted as noted per row) routes_used: metr.org/about,/donate,/,/blog,/blog/2026-08-14-funding-update/; longview.org home,/about/,/artificial-intelligence/,/grants/ (404),/grantmaking/,/organisational-structure/,/fund/frontier-ai-fund/,/fund/emerging-challenges-fund/,/fund/emerging-challenges-fund-december-2023-grants-report/, ?s=METR, sitemaps, wp-json grant CPT slug=arc-evaluations and search=METR; GWWC /charities/arc-evals, /charities/metr (404), Aug 2023 longtermism grants report, /charities/longview-philanthropy; live effektiv-spenden.org safeguarding-the-future, H1/2023 blog, impressum, transparenz + Jahresabschluss 2022-2024 PDFs; Wayback id_ ES captures; SFF survivalandflourishing.fund/recommendations; ProPublica API EIN 93-2664730, 99-1219864, 86-3605182, 93-3629215; GivingTuesday S3 XML Longview USA 202503179349304265, METR 202523209349300367, ARC 202403209349312630 and 202513219349323246, GWWC USA 202431219349300708 and 202533179349308523; Companies House 14444004 overview/filing-history + AA 31 Dec 2024 PDF; Charity Commission register search + API; IRS TEOS 403; IRS epostcard index_2024/2025/2026.csv; SEC EFTS; CourtListener; USAspending; Google Drive ECF annual-report view/uc; no_kevinnbass_sources caps_hit: r.jina.ai HTTP 403; IRS TEOS HTTP 403; Charity Commission API 401; IRS AWS index_YYYY.csv HTTP 404; IRS eo_de.csv/zip HTTP 404; longview.org/grants/ HTTP 404; Google Drive uc export HTML Can't download file; CH FY2024 AA PDF scanned (no text layer); Wayback CDX HTTP 503/504 on several ES URLs (direct id_ still 200); Bundesanzeiger GET failed (curl URL brackets); USAspending JS shell; index_2026.csv 0 hits for Longview/METR/ARC EINs no_kevinnbass_sources=true public_read_only=true (no email/message/telephone/file/submit/post); money types not summed; legal filer kept distinct from fund brand
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDP,C02.E5;C06.E1,METR named pooled/regrant routes,recipient,METR; Model Evaluation and Threat Research,EIN 99-1219864,Longview Philanthropy; Effektiv Spenden; Survival and Flourishing Fund,,METR (Model Evaluation and Threat Research),named pooled-fund / recommendation supporter class,,,,,,,,,,,,,,,,,,,,,recipient names pooled and recommendation routes without amounts,,issuer statements,GET https://metr.org/about (live HTML; funding paragraph),https://metr.org/about,"pooled funds such as those of Longview Philanthropy and Effektiv Spenden; recommendations by the Survival and Flourishing Fund; and many others, such as David Farhi, Geoff Ralston, Dylan Field and Steve Newman.</p>

    <p>Please consider joining them <a href=""https://www.every.org/metr?donateTo=met",2026-09-16T09:53:47Z,METR names Longview Philanthropy and Effektiv Spenden as pooled funds and SFF as recommendations; no amounts,1,each route's own grant page / filing showing a payment,A thank-you is not a payment and does not name a fund vintage or amount.,Live re-fetch of METR issuer page (not copied from STATE.md). Routes METR names: Longview Philanthropy; Effektiv Spenden; recommendations by the Survival and Flourishing Fund. Saved metr-org-about-20260916T095347Z.html. Public-read-only.
2,A,MDP,C02.E5;C06.E1,Longview AI page METR profile (amount undisclosed),grantmaker,Longview Philanthropy,brand (not a legal filer),Longview Philanthropy (brand),,METR,profiled AI grantee,,,,,,,,,,undisclosed,,,,,,,,,,,route profiles the grantee without an amount,,issuer statements,GET https://www.longview.org/artificial-intelligence/,https://www.longview.org/artificial-intelligence/,"METR is building the tools to find out. METR has evaluated GPT-5, Claude 4, and other cutting-edge models before public release—testing for dangerous capabilities and vulnerabilities. METR continues to collaborate with frontier labs and governments and helps them understand how to test, deploy, and ",2026-09-16T09:53:47Z,"METR profiled; no dollar amount, date, or fund name on this page",1,ECF/FAIF grant report or legal-filer grant schedule naming METR with amount,Route own materials here disclose the grantee not the money.,"Longview's own AI grantmaking page. Fund brand, not Longview Philanthropy USA Inc or Longview Inc. Ltd. Saved longview-ai-20260916T095347Z.html."
3,A,MDE,C02.E5;C06.E1,Emerging Challenges Fund (public fund managed by Longview Philanthropy; donations handled by Giving What We Can),project,ECF; Longtermism Fund; public fund,https://www.longview.org/fund/emerging-challenges-fund/,Emerging Challenges Fund (public fund managed by Longview Philanthropy),Giving What We Can,grantees selected by Longview recommendations,pooled public fund,,,,,,,,,,disbursed based on Longview recommendations (aggregate; METR not amounted on this page),,,,,,,,,,,,,issuer statements,GET https://www.longview.org/emerging-challenges-fund/ (redirects to /fund/emerging-challenges-fund/),https://www.longview.org/fund/emerging-challenges-fund/,"The Emerging Challenges Fund is managed by Longview Philanthropy, with support from Giving What We Can. Donations to the Emerging Challenges Fund through Giving What We Can’s website are donations to Giving What We Can. All funds are disbursed based on recommendations by Longview Philanthropy.</p>
 ",2026-09-16T09:53:47Z,ECF identified as the public fund; live page does not amount a METR grant,1,"August 2023 Grants Report (GWWC-hosted, linked from this page) and ECF 2025 Annual Report PDF","Live ECF page lists featured later grants, not a METR amount.",Grantmaking page plus ECF page. GWWC receives website donations and Longview recommends disbursements. Saved longview-emerging-challenges-20260916T095347Z.html and longview-grantmaking-20260916T095347Z.html.
4,A,MDF,C02.E5;C06.E1,"Longview Aug 2023 public-fund grant report: ARC Evals / METR $220,000",grantmaker,,,Longview Philanthropy (public fund / Longtermism Fund later ECF),Giving What We Can (report host; donation processor),"ARC Evals (now called METR), then a project of Alignment Research Center",recommended grant from public fund,,,commitments,recommendation,220000,USD,2023-08,month,2023,recommendation (report does not show a bank payment),General support of ARC Evals evaluations project,,,,,,,,,,,no (recommendation in grant report),issuer statements,GET https://www.givingwhatwecan.org/en-GB/charities/longtermism-fund/longtermism-fund-august-2023-grants-report (linked from Longview ECF 'August 2023 Grants Report'),https://www.givingwhatwecan.org/en-GB/charities/longtermism-fund/longtermism-fund-august-2023-grants-report,"ARC Evals (now called METR) — $220,000</a></li><li class=""list-none py-2 pl-4 border-l-2 border-transparent ml-4""><a href=""#nuclear-threat-initiatives-biosecurity-programme-nti-bio-project-to-develop-a-research-agenda-for-disincentivizing-state-biological-weapons-programmes-100000"" class=""no-underli",2026-09-16T09:53:47Z,"route grant report names ARC Evals (now METR) — $220,000",1,"legal-filer 990/accounts grant line or METR receipt showing the $220,000 was paid","This is a recommendation in a fund report, not a Form 990 grant line and not a bank credit.","Linked from Longview's own ECF page as 'August 2023 Grants Report'; treated as the route's report hosted at GWWC, not as the GWWC charity-locator blurb. Quote from live HTML in saved gwwc-aug2023-grants-report-20260916T095347Z.html. Do not sum with other money_types."
5,A,MDP,C02.E5,"GWWC ARC Evals locator restating Longview $220,000 recommendation",grantmaker,,,Longview Philanthropy (public fund),,METR (then ARC Evals),third-party locator of a recommendation,,,,recommendation,220000,USD,2023,year,2023,recommendation,,,,,,,,,,,,no,press,GET https://www.givingwhatwecan.org/charities/arc-evals,https://www.givingwhatwecan.org/charities/arc-evals,"After investigating METR&#x27;s strategy and track record, Longview Philanthropy recommended a grant of $220,000 from its public fund in 2023. In reference to this grant, Longview shared that they thought METR had among the most promising and direct paths to impact on AI governance: “test models to ",2026-09-16T09:53:47Z,"GWWC restates Longview recommended $220,000 from its public fund in 2023",1,Longview or METR payment document; not this locator,"GWWC is not Longview's own materials; live HTML is a JS app; quote is from the rendered locator paragraph. Same $220,000 as the Aug 2023 report; not an additional amount.",Independent re-fetch of S0 seed locator. Not copied from STATE.md. Saved gwwc-arc-evals-20260916T095347Z.html.
6,A,MDS,C02.E5;C06.E1,Longview Frontier AI Fund (private) aggregate; METR undisclosed,project,FAIF,https://www.longview.org/fund/frontier-ai-fund/,Frontier AI Fund (private discretionary fund managed by Longview Philanthropy),,18 organizations (unnamed on the public page),private pooled fund,,,,,,,2024-12,month,2024-12/2025-09,"disbursement report restricted to potential donors over $100,000",,,,,,,,,,,,,issuer statements,GET https://www.longview.org/frontier-ai-fund/ (redirects to /fund/frontier-ai-fund/),https://www.longview.org/fund/frontier-ai-fund/,"In its first nine months of operation between December 2024 and September 2025, FAIF supported 18 organizations working on research, engineering, field-building, communications, and advocacy to shape the development and regulation of frontier AI systems. FAIF can fund urgent opportunities, seed new ",2026-09-16T09:53:47Z,FAIF reports 18 orgs Dec 2024–Sep 2025; METR not named; amounts not public,0,"FAIF inaugural disbursement report (offered to potential donors >$100,000)",Private fund; public page is an aggregate.,Saved longview-frontier-ai-fund-20260916T095347Z.html. Do not treat the 18-org aggregate as a METR amount.
7,A,MDF,C02.E5;C06.E1,Effektiv Spenden Giving Fund: Safeguarding the future — 128.000 € to METR/ARC Evals,grantmaker,Effektiv Spenden; Giving Fund: Safeguarding the future,,Effektiv Spenden Giving Fund: Safeguarding the future (brand/fund),,METR (formerly ARC Evals),regrant from pooled giving fund,,,transfers_regrants,regrant,,EUR,2023-08,month,H1/2023 fund allocation paid August 2023,grants were made (route's words); not a bank statement,Evaluation of state-of-the-art AI systems to identify and minimize risks,,,,"128,000 EUR",,,,,,,partial (route says grants were made; no named filer grant line recovered),issuer statements,GET https://effektiv-spenden.org/en/safeguarding-the-future/ (live HTTP 200 this fetch),https://effektiv-spenden.org/en/safeguarding-the-future/," (formerly ARC Evals)</strong> — <a href=""/blog/fonds-zukunft-bewahren-h1-2023/#METR"">Evaluation of state-of-the-art AI systems to identify and minimize risks</a> (128.000 €)</li></ul><p class=""wp-block-paragraph"">Grants were made in August 2023.</p></div></div></div><div class=""wp-block-accordion-t",2026-09-16T09:53:47Z,128.000 EUR; August 2023; fund name Safeguarding the future; typed as made grant/regrant,1,"UES gGmbH Jahresabschluss named grant schedule / grant agreement showing the EUR 128,000 left the German filer",Euro amount not converted to USD. Live page HTTP 200 this fetch (prior wave was Cloudflare 403).,Independent re-fetch of S0 seed M61. Not copied from STATE.md. Primary saved es-safeguarding-en-20260916T095347Z.html. Wayback id_ also saved wayback-es-safeguarding-id-20260916T095347Z.html. money_type=regrant because the fund's own page says 'Grants were made in August 2023'.
8,A,MDP,C02.E5;C06.E1,Effektiv Spenden H1/2023 German fund blog — ARC Evals ~128.000 € following Longview recommendation,grantmaker,,,Effektiv Spenden Giving Fund (H1/2023),"Longview Philanthropy / Longtermism Fund (named as recommender, not payer)",ARC Evals (Alignment Research Center evaluations project),regrant following a Longview recommendation,,,,regrant,,EUR,2023,year,H1/2023,fund-mittel allocated (~128.000 €),ARC Evals evaluation project,,,,,,,,,,,,issuer statements,GET https://effektiv-spenden.org/blog/fonds-zukunft-bewahren-h1-2023/ (live HTTP 200),https://effektiv-spenden.org/blog/fonds-zukunft-bewahren-h1-2023/,"mit 128.000 €. Damit setzen wir uns auch mit den Risiken Künstlicher Intelligenz (KI) auseinander und folgen der Empfehlung von <a href=""https://www.longview.org/"" target=""_blank"" rel=""noreferrer noopener""><em>Longview Philanthropy</em></a> und dem <a href=""https://www.givingwhatwecan.org/charities/",2026-09-16T09:53:47Z,"same EUR 128,000 described as following Longview's recommendation of ARC Evals",1,UES filing; Longview payment document is a separate money_type (recommendation) and is not this regrant,"German-language blog. Longview is named as recommender of ARC Evals, not as the German payer. Same EUR 128,000 as the English fund page; not an additional amount.",Saved es-h1-2023-de-20260916T095347Z.html. Do not merge Longview recommendation and Effektiv regrant into one amount. Do not treat Longview as the legal filer of this euro payment.
9,A,MDF,C02.E5,SFF recommendations table — METR legal recipient (METR-named route),grantmaker,Survival and Flourishing Fund; SFF,,Survival and Flourishing Fund,,"Model Evaluation and Threat Research, Inc.",SFF recommendation (not a 990 payment line),,,commitments,recommendation,120000,USD,2025,year,SFF-2025,"recommendation; table also prints a separate +$428,000 match figure",General support,,,,,,,,,,,no (recommendation table),issuer statements,GET https://survivalandflourishing.fund/recommendations HTML table filter METR,https://survivalandflourishing.fund/recommendations,"Model Evaluation &amp; Threat Research (METR)</td><td class=""in-grid"">$120,000 +$428,000‡</td><td class=""in-grid"">Model Evaluation and Threat Research, Inc.</td><td class=""in-grid"">General support</td></tr><tr><td class=""in-grid"">SFF-2025</td><td class=""in-grid"">Jaan Tallinn</td><td class=""in-grid"">",2026-09-16T09:53:47Z,"SFF-2025 METR $120,000 recommendation plus separately printed $428,000 match",1,MD09 / SFF payment evidence; this lane records METR-named recommendation only,"Table concatenates $120,000 and +$428,000‡; they are not summed here. Jaan Tallinn is the named recommender on the SFF table, not identified as a METR donor.",METR about names 'recommendations by the Survival and Flourishing Fund'. Saved sff-recommendations-20260916T095347Z.html. Full SFF/Tallinn payment work is MD09 (non-goal).
10,A,MDF,C02.E5,"SFF-2024 recommendation to METR Inc $204,000",grantmaker,,,Survival and Flourishing Fund,,"Model Evaluation and Threat Research, Inc.",SFF recommendation,,,commitments,recommendation,204000,USD,2024,year,SFF-2024,recommendation,General support,,,,,,,,,,,,issuer statements,GET https://survivalandflourishing.fund/recommendations HTML table filter Model Evaluation and Threat Research,https://survivalandflourishing.fund/recommendations,"Model Evaluation and Threat Research</td>
    <td class=""in-grid"">$204,000</td>
    <td class=""in-grid"">Model Evaluation and Threat Research, Inc.</td>
    <td class=""in-grid"">General support</td>
</tr>
<tr>
    <td class=""in-grid"">SFF-2024</td>
    <td class=""in-grid"">Jaan Tallinn</td>
    <td clas",2026-09-16T09:53:47Z,"SFF-2024 $204,000 recommendation to METR Inc",1,MD09 payment evidence,"Recommendation table is not a filed grant. Separate from the 2025 $120,000 and $428,000 figures; not summed.",Same primary sff-recommendations-20260916T095347Z.html.
