# fetch_window_utc=2026-09-16T17:35:21Z/2026-09-16T17:58:14Z
# routes_used=live GET https://metr.org/coi-policy.pdf (headers, sha256, pdftotext, pdfinfo); https://metr.org/about ; https://metr.org/ ; https://metr.org/blog/ ; https://metr.org/feed.xml ; https://metr.org/sitemap.xml ; https://metr.org/news ; https://metr.org/search?q=conflict+of+interest and q=coi-policy ; FRR/HF/Opus/R&D/Sol/GPT-5/Codex-Max/gpt-oss/propensities/funding-update/confidential-info HTML ; https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents ; Wayback CDX web.archive.org/cdx/search/cdx for metr.org/coi-policy.pdf (filtered+unfiltered) and metr.org/about collapse=digest and metr.org/blog/ prefix 20260801-20260916 ; sparkline/timemap/available ; about-page id_ bodies for 171/172 distinct CDX digests plus Sep 14/15 bracket ; FRR blog id_ captures ; DuckDuckGo html site:metr.org and METR "conflict of interest policy"
# caps_hit=Wayback CDX HTTP 503 Temporarily Offline on filtered coi-policy.pdf (5 attempts: 503/ReadTimeout/503/503/503) and on first-session about CDX (5x 503); CDX ReadTimeouts; archive.org wayback/available HTTP 429; about CDX from=20260801 503/timeout/connection refused; about id_ 20260827031343 connection refused after 4 attempts (same-day 20260827074732 hashed instead); PDF id_ probes 20260828/20260914/20260915/20260916 connection refused after the bulk id_ run; metr.org/news HTTP 404; metr.org/search is a JS shell; r.jina.ai not used because live PDF HTTP 200
# no_kevinnbass_sources=true
# read_first=research/STATE.md (OPEN C09.E2; S3 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 version 1.0 last updated August 28, 2026). This-run live GET matched that hash on a distinct inode under research/primary/MD72-coi-policy-versions-hashed/; S3/MD28 files were locators only and were not copied in as this lane's primary. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. Embargo: no send/email/post/file/submit; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft; the approximately $71 million composition was not asked.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDP,C09.E2;C08.E1,"Live metr.org/coi-policy.pdf this-run GET: SHA-256, byte length, printed version and last-updated date",document,,https://metr.org/coi-policy.pdf,,,,,,,,,,,2026-08-28,day,,,,,,,,,"Conflict of interest policy (version 1.0) — Last updated August 28, 2026",,,,,,issuer statements,GET https://metr.org/coi-policy.pdf ; sha256sum ; pdftotext -layout ; pdfinfo,https://metr.org/coi-policy.pdf,"Conflict of interest policy (version 1.0)
Last updated August 28, 2026

METR is a nonprofit which conducts research and evaluations to improve public
understanding of the capabilities and risks of frontier AI systems.

This policy concerns projects in which decision makers or the general public may ",2026-09-16T17:35:21Z,"HTTP 200; 172769 bytes; sha256=cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9; pdftotext version line Conflict of interest policy (version 1.0) / Last updated August 28, 2026; 7 pages; PDF 1.4",1,https://metr.org/about#coi-policy,Printed last-updated is not an HTTP Last-Modified (absent) and is not a Wayback timestamp (PDF unarchived). See D06/C09.E3.,"primary=metr-org-coi-policy-live_20260916T173521Z.pdf sha256=cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 bytes=172769 inode distinct from S3 locator. Headers in metr-org-coi-policy-live_20260916T173521Z.hdr. pdftotext/pdfinfo siblings. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
A02,A,MDT,C09.E2;C09.E3,HTTP headers and PDF metadata dates on the this-run live PDF (not collapsed with printed last-updated),,,https://metr.org/coi-policy.pdf,,,,,,,,,,,2026-09-16,second,,,,,,,,,version 1.0,,,,,,issuer statements,GET https://metr.org/coi-policy.pdf response headers ; pdfinfo,https://metr.org/coi-policy.pdf,"Date: Wed, 16 Sep 2026 17:35:21 GMT",2026-09-16T17:35:21Z,"HTTP Date=Wed, 16 Sep 2026 17:35:21 GMT; Last-Modified absent; ETag=""8a7ecded694e33c37f6edf3b1add276b-ssl-df""; Content-Type=application/pdf; gzip Content-Length=143895; uncompressed 172769; Server=Netlify; pdfinfo Title=COI policy Producer=Skia/PDF m155 Google Docs Renderer Pages=7; CreationDate absent; ModDate absent",1,,"HTTP Date is the response time of this GET, not Last-Modified of the object and not the printed last-updated date.","Headers saved metr-org-coi-policy-live_20260916T173521Z.hdr; pdfinfo metr-org-coi-policy-live_20260916T173521Z.pdfinfo.txt. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
A03,A,MDP,C09.E2,Live metr.org/about links the current COI policy PDF,,,https://metr.org/about#coi-policy,,,,,,,,,,,2026-09-16,second,,,,,,,,,"current (page wording); PDF version 1.0 last updated August 28, 2026",,,,,,issuer statements,GET https://metr.org/about ; filter #coi-policy /coi-policy.pdf,https://metr.org/about,"Our current conflict of interest policy is <a href=""/coi-policy.pdf"">here</a>.",2026-09-16T17:35:22Z,About page h3#coi-policy: Our current conflict of interest policy is here (href=/coi-policy.pdf),1,https://metr.org/coi-policy.pdf,The word current and the live href are not a last-updated date and are not an in-force date for earlier engagements. About-page Wayback first shows this section at 20260915160044 (B07).,"primary=metr-org-about_20260916T173522Z.html sha256=8f2d3c6d04d7834019120d2993616b517c956fb525c2ee35bbb7218b3f9651b2. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
A04,A,MDT,C09.E2;C09.E3,"Sitemap lists coi-policy.pdf with lastmod 2026-09-16T10:34:29-07:00, distinct from printed last-updated August 28, 2026",,,https://metr.org/coi-policy.pdf,,,,,,,,,,,2026-09-16,minute,,,,,,,,,version 1.0 (PDF); sitemap lastmod is not the printed last-updated,,,,,,issuer statements,GET https://metr.org/sitemap.xml ; filter loc=https://metr.org/coi-policy.pdf,https://metr.org/sitemap.xml,"<loc>https://metr.org/coi-policy.pdf</loc>
<lastmod>2026-09-16T10:34:29-07:00</lastmod>",2026-09-16T17:35:36Z,"Sitemap loc=https://metr.org/coi-policy.pdf lastmod=2026-09-16T10:34:29-07:00 (17:34:29Z), 47 seconds before this-run PDF GET",1,,"Sitemap lastmod is a page-appearance/index date, not a transaction date and not automatically the in-force date.","primary=metr-org-sitemap_20260916T173536Z.xml sha256=96965d348f84d3b5314c82f30ae71eecb86cc241ad00c7e55457bce9761d0dba. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
B01,B,MDS,C09.E2,Wayback CDX JSON for metr.org/coi-policy.pdf (filter statuscode:200 collapse=digest): 503 after retries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,"GET https://web.archive.org/cdx/search/cdx?url=metr.org/coi-policy.pdf&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&filter=statuscode:200&collapse=digest ; 5 attempts, retry on 503/timeout","https://web.archive.org/cdx/search/cdx?url=metr.org/coi-policy.pdf&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&filter=statuscode:200&collapse=digest",Internet Archive services are temporarily offline.,2026-09-16T17:37:13Z,none found in Wayback CDX filter=statuscode:200 collapse=digest for metr.org/coi-policy.pdf as of 2026-09-16T17:37:13Z; attempts: 1 2026-09-16T17:35:40Z HTTP 503; 2 2026-09-16T17:35:54Z ReadTimeout; 3 2026-09-16T17:36:47Z HTTP 503; 4 2026-09-16T17:37:00Z HTTP 503; 5 2026-09-16T17:37:13Z HTTP 503,0,"https://web.archive.org/cdx/search/cdx?url=https://metr.org/coi-policy.pdf&output=json&fl=timestamp,original,mimetype,statuscode,digest,length",Blind spot: a 503 is not proof the URL was never captured. Unfiltered CDX later returned HTTP 200 body [] (B02); sparkline first_ts=null (B03).,"Each attempt saved wayback-cdx-metr-org-coi-policy-pdf-a1..a5_*.txt (a2 timeout had no body). Attempt 1 primary=wayback-cdx-metr-org-coi-policy-pdf-a1_20260916T173540Z.txt sha256=e084d527921708642a79724e9f0210da659bbc0905c6ce9a3a1f416e4628091c. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
B02,B,MDS,C09.E2,Wayback CDX JSON for https://metr.org/coi-policy.pdf unfiltered: HTTP 200 empty array (zero captures / zero distinct digests),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,"GET https://web.archive.org/cdx/search/cdx?url=https://metr.org/coi-policy.pdf&output=json&fl=timestamp,original,mimetype,statuscode,digest,length ; attempts 1 ReadTimeout 2026-09-16T17:37:18Z; 2 HTTP 503 2026-09-16T17:38:11Z; 3 HTTP 503 2026-09-16T17:38:24Z; 4 HTTP 200 2026-09-16T17:38:37Z","https://web.archive.org/cdx/search/cdx?url=https://metr.org/coi-policy.pdf&output=json&fl=timestamp,original,mimetype,statuscode,digest,length","[]
",2026-09-16T17:38:37Z,none found in Wayback CDX for https://metr.org/coi-policy.pdf as of 2026-09-16T17:38:37Z; HTTP 200 application/json body [] (3 bytes); X-be=wb_cdx_pygwb_nomatch; distinct digests=0 so no id_ body to hash,0,https://web.archive.org/__wb/sparkline?url=https://metr.org/coi-policy.pdf&collection=web&output=json,"Empty CDX plus sparkline first_ts=null is a bounded none-found of archived PDF versions, not a claim that a PDF never existed live.","primary=wayback-cdx-https-metr-org-coi-policy-pdf-a4_20260916T173837Z.txt sha256=37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570 bytes=3. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
B03,B,MDS,C09.E2,Wayback sparkline: metr.org/coi-policy.pdf has not been archived (first_ts=null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,GET https://web.archive.org/__wb/sparkline?url=https://metr.org/coi-policy.pdf&collection=web&output=json,https://web.archive.org/__wb/sparkline?url=https://metr.org/coi-policy.pdf&collection=web&output=json,"{""years"":{},""first_ts"":null,""last_ts"":null,""status"":{},""message"":""    <div class=\""error-text\"">The Wayback Machine has not archived that URL.</div>",2026-09-16T17:41:17Z,none found in Wayback sparkline for https://metr.org/coi-policy.pdf as of 2026-09-16T17:41:17Z; years={} first_ts=null last_ts=null; message The Wayback Machine has not archived that URL,0,,Sparkline message also says 'server does not respond' as Wayback's reason-for-unavailability text; live GET of the PDF this run was HTTP 200 (A01). Not a live-site outage.,"primary=wb-sparkline-coi-policy_20260916T174117Z.json sha256=1b3c69bce95831988e28997b3e76bdee7ff3f3cb8154b97db69eb497289c19f4. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
B04,B,MDS,C09.E2,Wayback timemap/link for https://metr.org/coi-policy.pdf is empty (one newline),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/timemap/link/https://metr.org/coi-policy.pdf,https://web.archive.org/web/timemap/link/https://metr.org/coi-policy.pdf,GET https://web.archive.org/web/timemap/link/https://metr.org/coi-policy.pdf,2026-09-16T17:41:18Z,none found in Wayback timemap/link for https://metr.org/coi-policy.pdf as of 2026-09-16T17:41:18Z; body 1 byte 0x0a; 0 memento links,0,,Empty timemap agrees with empty CDX and null sparkline; not an unbounded negative about unpublished internal drafts.,"primary=wb-timemap-coi-policy_20260916T174118Z.pdf (1-byte body; extension from this-run content-type/path heuristic) sha256=01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
B05,B,MDT,C09.E2;C09.E3,Wayback CDX collapse=digest for metr.org/about (the live page that links the policy): 172 distinct digests; earliest 20240423101403 latest 20260915160044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,"GET https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&filter=statuscode:200&collapse=digest ; attempt 1 2026-09-16T17:47:13Z ReadTimeout; attempt 2 2026-09-16T17:48:06Z HTTP 200","https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timestamp,original,mimetype,statuscode,digest,length&filter=statuscode:200&collapse=digest","[""timestamp"",""original"",""mimetype"",""statuscode"",""digest"",""length""]",2026-09-16T17:48:06Z,CDX HTTP 200; 174 JSON rows (header+173 lines / 172 unique digests); earliest timestamp 20240423101403 digest 6GXCMXBDE43DGNLGEJ3ZVPSGO44P3TL6; latest 20260915160044 digest IEPFOLEQSNVZLFRR5CVQ6TWW575OKRJN,172,https://web.archive.org/web/20260915160044id_/https://metr.org/about,"CDX digest is Wayback's payload digest, not SHA-256 of the id_ body. This-run SHA-256 of each fetched id_ body is in about-cdx-distinct-digests-hashed_20260916T175814Z.json. 171/172 id_ bodies HTTP 200; 20260827031343 connection-refused after 3 attempts plus one later retry (B10).","primary=wayback-cdx-about-collapse-digest-a2_20260916T174806Z.txt sha256=73128fc037d51717ec3fa061334845b242b42c1e030d43f48e004968f3931f0c; inventory=about-cdx-distinct-digests-hashed_20260916T175814Z.json sha256=4ddb6373d297a8f44b2b6dd5ec6e016371e3a288034f180e6725a5d5f56a71e4. Prior same-day CDX for about (first session) was 5x HTTP 503. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
B06,B,MDT,C09.E2;C09.E3,Earliest hashed about-page capture still without a COI-policy section: 20260914132053 (day before first appearance),,,IEPFOLEQSNVZ vs F5GO2CX65J2C,,,,,,,,,,,2026-09-14,second,,,,,,,,,"none on this about-page capture (PDF v1.0 exists live with printed last-updated August 28, 2026)",,,,,,archives,GET https://web.archive.org/web/20260914132053id_/https://metr.org/about ; SHA-256 of id_ bytes,https://web.archive.org/web/20260914132053id_/https://metr.org/about,"<h3 id=""partnerships"">Partnerships</h3>",2026-09-16T17:54:33Z,id_ HTTP 200; 92243 bytes; sha256=0df432f8cf1a42b51140edd79a53dcdff6b60bdf4f48c7a6d3c7670e5adf0001; CDX digest F5GO2CX65J2CA34D7IEAAUDDC3LQLJNC; 0 coi-policy / 0 'conflict of interest policy'; h3 jumps our-mission -> partnerships,1,https://web.archive.org/web/20260915160044id_/https://metr.org/about,Absence of the about-page link is not a hash of a second PDF version. The live PDF's printed last-updated (August 28) predates this capture.,"primary=wb-id-about-bracket-F5GO2CX65J2C-20260914132053_20260916T175433Z.html sha256=0df432f8cf1a42b51140edd79a53dcdff6b60bdf4f48c7a6d3c7670e5adf0001. Same digest also saved from bulk id_ fetch. research/STATE.md read before adding facts. S3/MD28 locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 (version 1.0, last updated August 28, 2026) was a locator only; this lane re-fetched live https://metr.org/coi-policy.pdf and did not copy research/primary/S3-coi-policy/. C09.E2 is a binding-and-enumeration gap, not a new discovery of v1.0. no_kevinnbass_sources. Embargo: nothing sent, submitted, emailed, posted, filed or published; nobody contacted; the approximately $71 million composition was not asked."
