# fetch_window_utc=2026-09-16T09:30:36Z/2026-09-16T09:41:37Z
# routes_used=METR metr.org/about, /team bios, /coi-policy.pdf, /2024-annual-report.pdf, /blog/2024-04-26-emma-abele-executive-director/, /blog/2026-08-14-funding-update/, /sitemap.xml; IRS e-file index_2024.csv index_2025.csv index_2026.csv; GivingTuesday lake XML object 202523209349300367; IRS TEOS app GET; EO BMF eo_ca.csv eo_de.csv; CA OAG charities, EVOKE portal, rct.doj.ca.gov; Delaware ICIS NameSearch GET; Wayback CDX (team prefix) and id_ captures of metr.org/team; far.ai/about; gleave.me; aiuc.com/team; lawzero.org/en/team and 2025-06-03 launch news; ProPublica API v2 locator
# caps_hit=IRS TEOS https://apps.irs.gov/app/eos/ HTTP 403 Access Denied; standalone IRS XML object 404; AWS irs-form-990 object 404; ProPublica download-xml 403; Wayback CDX 503 on coi-policy.pdf and several person-bio queries; r.jina.ai 403; mascobot.com HTTP 503; CA BizFile Incapsula challenge; OpenCorporates hCaptcha; Delaware NameSearch is POST (not submitted); EVOKE SPA shell; layer-eight.com GET failed
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; already-held S3 COI-policy v1.0 dated 2026-08-28 sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 re-verified identical from live metr.org/coi-policy.pdf this lane; FY2024 Form 990 object 202523209349300367 re-verified identical sha256 84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9 via GivingTuesday lake; FY2025 990 still absent from index_2026; IRS TEOS UI 403 from this host. These were not recollected as new discoveries. repo/research/board.csv was a lead only and is not the source of record. Lane sent nothing and contacted nobody.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDR,C08.E1,Live metr.org/about Advisors section names two board members and six advisers,recipient,METR,,,,"Model Evaluation and Threat Research, Inc.",public board and adviser roster,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about ; Advisors heading and card-role labels,https://metr.org/about,Advisor and Board Member,2026-09-16T09:30:38Z,"2 board-labelled people (Gleave, Dattani); 6 adviser cards (Gleave, Radford, Hasbrouck, Mascorro, Dattani, Bengio)",6,,"About page does not state a voting-director count. Leadership (Barnes CEO, Painter President, Wijk Chief Scientist, Rush CTO) is a separate heading and is not labelled board.",primary=metr.org_about-20260916T093038Z.html sha256=3554d40c983c85bbc1a00ee005468e220ca10349291ebd85572703bb5c78577f. css?v=1789522661. metr.org/team redirects to /about#our-team (primary=metr.org_team-20260916T093039Z.html). Individuals unmerged. research/STATE.md read before writing; this live roster was not copied from repo/research/board.csv. no_kevinnbass_sources. Lane sent nothing.
A02,A,MDR,C08.E1,Adam Gleave — Advisor and Board Member (live METR bio),individual,,,Adam Gleave,,"Model Evaluation and Threat Research, Inc.",advisor and board member,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/team/adam-gleave/,https://metr.org/team/adam-gleave/,Advisor and Board Member,2026-09-16T09:30:51Z,live METR role Advisor and Board Member; bio names FAR founder/CEO as other public role,1,,,primary=metr.org_team_adam-gleave-20260916T093051Z.html sha256=d773467d11fbf89c92ddf0b7ffeee0c7555d7f9930f52cc60dfb8800681577c8. Bio also: Adam Gleave is the founder and CEO of FAR. FAR.AI kept unmerged from the individual and from METR. Not copied from seed board.csv.
A03,A,MDR,C08.E1,Adam Gleave other public role at FAR.AI (dated issuer page),individual,,,Adam Gleave,,FAR.AI,co-founder and CEO,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://www.far.ai/about JSON-LD Person jobTitle,https://www.far.ai/about,"""name"": ""Adam Gleave"", ""jobTitle"": ""Co-founder & CEO""",2026-09-16T09:31:19Z,FAR.AI about page lists Adam Gleave as Co-founder & CEO,1,,,"primary=far.ai_about-20260916T093119Z.html sha256=a8f253e2daa1b39882e68d6044489f643874458af8f01c2337ddfb55cb13e1a6. Employer FAR.AI is a separate legal entity from METR. Role date is this fetch, not a METR appointment date."
A04,A,MDR,C08.E1,Adam Gleave self-stated other board seats on gleave.me,individual,,,Adam Gleave,,Safe AI Forum; London Initiative for Safe AI; METR,self-stated board member,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,self-statements,GET https://gleave.me/,https://gleave.me/,"Outside of FAR.AI, I am a board member of the",2026-09-16T09:31:21Z,"gleave.me states board member of Safe AI Forum, London Initiative for Safe AI and METR; h3 Founder & CEO at FAR.AI",1,,Self-statement on a personal site; Safe AI Forum and LISA are not METR filings.,primary=gleave.me_index-20260916T093121Z.html sha256=bff4f0a2e73f24b46d6a38bddbc917551547467e24115e17b763df424ee44dca. Also: Founder & CEO at FAR.AI. Entities kept unmerged.
A05,A,MDR,C08.E1,Rajiv Dattani — Advisor and Board Member (live METR bio),individual,,,Rajiv Dattani,,"Model Evaluation and Threat Research, Inc.",advisor and board member,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/team/rajiv-dattani/,https://metr.org/team/rajiv-dattani/,"Rajiv is building AI auditing and insurance mechanisms at the Artificial Intelligence Underwriting Company. His previous roles include COO at METR, Founding Advisor at Transluce, and Partner at McKinsey.",2026-09-16T09:30:52Z,live METR role Advisor and Board Member; other current role stated as AIUC; past COO/Transluce/McKinsey,1,,,"primary=metr.org_team_rajiv-dattani-20260916T093052Z.html sha256=5698eb4dd2d3c41f033f5d97257db568ec6e09f83d9df9b7a9e562b44d56f534. Role label on page: Advisor and Board Member. AIUC, Transluce, McKinsey, and METR kept unmerged."
A06,A,MDR,C08.E1,Rajiv Dattani other public role at AIUC (dated issuer page),individual,,,Rajiv Dattani,,Artificial Intelligence Underwriting Company,cofounder,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://aiuc.com/team ; filter Rajiv Dattani,https://aiuc.com/team,Board member @ METR. Former McKinsey Insurance partner.,2026-09-16T09:31:23Z,AIUC team page lists Rajiv Dattani as Cofounder and states Board member @ METR,1,,,primary=aiuc.com_team-20260916T093123Z.html sha256=ce0a965df6128a946634c570ac70de6fde13e8b26bb57c85cf1c3a2b5006fb1e. AIUC is a separate employer from METR. Quote is visible-text order on the fetched HTML.
A07,A,MDR,C08.E1,Alec Radford — Advisor (live METR bio; no other-role paragraph),individual,,,Alec Radford,,"Model Evaluation and Threat Research, Inc.",advisor,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/team/alec-radford/,https://metr.org/team/alec-radford/,Advisor,2026-09-16T09:30:53Z,live METR role Advisor; bio has no other-role paragraph,1,,,primary=metr.org_team_alec-radford-20260916T093053Z.html sha256=4bcf6c3d40b646100b51942e8587c54af19d6ab220d6df7b481bee802e4ec912. Page has h2 Alec Radford and div.role Advisor and no div.bio. Other current public roles: see A08 none-found on this bio.
A08,A,MDS,C08.E1,Alec Radford other current public role on the METR bio and Thinking Machines team page,individual,,,Alec Radford,,,,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/team/alec-radford/ (no bio paragraph); GET https://thinkingmachines.ai/team,https://metr.org/team/alec-radford/,Advisor,2026-09-16T09:30:53Z,none found in metr.org/team/alec-radford/ bio paragraph or thinkingmachines.ai/team as of 2026-09-16T09:31:43Z,0,an issuer page that names a current employer or board seat,thinkingmachines.ai/team HTTP 404; thinkingmachines.ai homepage does not name Radford. Wikipedia infobox was not used as source of record.,none found in https://metr.org/team/alec-radford/ as of 2026-09-16T09:30:53Z for a stated other current public role. thinkingmachines.ai/team 404 primary=thinkingmachines.ai_team-20260916T093143Z.html. Homepage thinkingmachines.ai_index-20260916T093141Z.html has no 'Radford'. Not an unbounded negative of all employment.
A09,A,MDR,C08.E1,Chase Hasbrouck — Advisor; other public roles on the METR bio,individual,,,Chase Hasbrouck,,"Model Evaluation and Threat Research, Inc.",advisor,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/team/chase-hasbrouck/,https://metr.org/team/chase-hasbrouck/,"He was a DARPA Service Fellow and serves on the DARPA Information Science and Technology (ISAT) Study Group. He holds a master’s in computer science from Georgia Tech and writes about AI, cybersecurity, and incident response at Layer Eight.",2026-09-16T09:30:54Z,live METR role Advisor; bio states current DARPA ISAT Study Group service and Layer Eight writing; past U.S. Army Cyber roles,1,,,primary=metr.org_team_chase-hasbrouck-20260916T093054Z.html sha256=894486cee50b499ea02d168c5765b43707a8e2fa76c669f17de5b62e25815c2f. Role label Advisor. layer-eight.com GET failed from this host; other roles taken from METR's own dated bio. DARPA and Layer Eight kept unmerged from METR.
A10,A,MDR,C08.E1,Marco Mascorro — Advisor; independent researcher; previously a16z partner,individual,,,Marco Mascorro,,"Model Evaluation and Threat Research, Inc.",advisor,2025-04-01,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/team/marco-mascorro/,https://metr.org/team/marco-mascorro/,"Marco became an advisor to METR in April 2025. He is currently an independent researcher and entrepreneur. Previously he was a Partner at Andreessen Horowitz, where he led investments in AI and software infrastructure companies.",2026-09-16T09:30:54Z,live METR role Advisor from April 2025; current other role independent researcher and entrepreneur; past a16z partner,1,,,"primary=metr.org_team_marco-mascorro-20260916T093054Z.html sha256=e0879be529a86641c948c6796b0f990728c1ba58b5f006bb735098dc1fa61c4b. start_date month-precision from 'April 2025'. mascobot.com HTTP 503 this host (E13). a16z.com/author/marco-mascorro/ retrieved as a locator, not used as the current-role source (bio says previously)."
A11,A,MDR,C08.E1,Yoshua Bengio — Advisor; other public roles on the METR bio,individual,,,Yoshua Bengio,,"Model Evaluation and Threat Research, Inc.",advisor,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/team/yoshua-bengio/,https://metr.org/team/yoshua-bengio/,"He is Full Professor at Université de Montréal, and the Founder and Scientific Director of Mila – Quebec AI Institute.",2026-09-16T09:30:55Z,live METR role Advisor; bio states UdeM full professor and Mila founder/scientific director; chairs International Scientific Report on the Safety of Advanced AI,1,,,"primary=metr.org_team_yoshua-bengio-20260916T093055Z.html sha256=380f93ae0b3c6cae7b6c0939437c12e615f442ef15b6ab56f02f21cd5138b810. Université de Montréal, Mila, IVADO, and METR kept unmerged. LawZero role is a separate dated issuer page (A12)."
A12,A,MDR,C08.E1,Yoshua Bengio other public role at LawZero (dated issuer pages),individual,,,Yoshua Bengio,,LawZero,co-president and scientific director,,,,,,,2025-06-03,day,,,,,,,,,,,,,,,issuer statements,GET https://lawzero.org/en/team and GET launch news 2025-06-03,https://lawzero.org/en/team,Co-President and Scientific Director,2026-09-16T09:41:03Z,LawZero team teaser lists Yoshua Bengio as Co-President and Scientific Director; launch news dated 3 June 2025,1,,,"primary=lawzero.org_en_team-20260916T094103Z.html sha256=969ff2233d3c172f280e2bedae5b57908e06754ebdecda82fb5f4faa1fccacc5. Adjacent launch article lawzero.org_en_news_yoshua-bengio-launches-lawzero-new-nonprofit-advancing-safe-design-ai-20260916T094106Z.html quote: said Yoshua Bengio, President and Scientific Director at LawZero. Date from news Montréal, QC - June 3, 2025. LawZero unmerged from Mila and METR."
A13,A,MDT,C08.E1,2024 annual report: Yoshua Bengio agreed to advise METR,individual,,,Yoshua Bengio,,"Model Evaluation and Threat Research, Inc.",advisor (annual-report statement),,,,,,,2024,year,2024 annual report,,,,,,,,,,,,,,issuer statements,GET https://metr.org/2024-annual-report.pdf ; pdftotext,https://metr.org/2024-annual-report.pdf,Yoshua Bengio kindly agreed to,2026-09-16T09:30:42Z,2024 annual report states Bengio agreed to advise; two-column layout splits the sentence,1,,pdftotext two-column extract reads 'Yoshua Bengio kindly agreed to ... advise our work' split across columns.,"primary=metr.org_2024-annual-report.pdf-20260916T093042Z.pdf sha256=e7f0c272da4d982a8d62e2cb12b5a02954b29c2773cca238a099909964ad2e31. Same person as live Advisor (A11); this is the 2024-dated appointment statement, not a second seat."
A14,A,MDR,C08.E1,"Beth Barnes — Founder, CEO on live about (Leadership, not labelled board)",individual,Elizabeth Barnes,,Beth Barnes,,"Model Evaluation and Threat Research, Inc.","founder, CEO (leadership heading)",,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about Leadership; GET https://metr.org/team/beth-barnes/,https://metr.org/team/beth-barnes/,"Beth Barnes is the Founder and CEO of METR, where she oversees a growing technical team that designs and carries out evaluations of generative AI models.",2026-09-16T09:30:50Z,"live Leadership role Founder, CEO; not listed under Advisors/Board on about",1,,,"primary=metr.org_team_beth-barnes-20260916T093050Z.html sha256=d3f00faa3ab805ab2eb4f11e04e21ddde0bfab4c94a4982660bc351457d34e32. About card-role Founder, CEO. FY2024 990 listed ELIZABETH BARNES as director+officer (C01); the live about page does not use a board label for her. Past DeepMind/OpenAI work is prior, not a current other role."
