# fetch_window_utc=2026-09-16T09:58:13Z/2026-09-16T10:42:12Z
# routes_used=metr.org/about,/donate,/blog/2026-08-14-funding-update/,/blog/2024-10-09-new-support-through-the-audacious-project/; packard.org grantee+grant 2026-79050+grant-directory-pro/v1/grants; audaciousproject.org Canary grantee; rand.org 2024-10-09 press; rand.org CAST Canary project page; survivalandflourishing.fund recommendations+2025+2024+sff-2023-h1; jaan.online/philanthropy/donations.csv; longview.org/artificial-intelligence/; GWWC arc-evals + Aug 2023 longtermism-fund grants report; effektiv-spenden.org/en/safeguarding-the-future/ live HTTP 200 + Wayback id_ 20260621071121; founderspledge.com/grantees/metr; futureoflife.org/grant/alignment-research-center/; sijbrandijfoundation.org/grants; schmidtsciences.org/awardees/?search=METR; pew.org/en/about/accountability and /en/projects; lcsf.org/frontier+/grants; astralisfoundation.org/; expa.org; aisi.gov.uk/grants; ted.europa.eu notice 864574-2025 HTML+XML+PDF (202 empty); TED API POST v3/notices/search winner-name Model Evaluation and Threat Research (200); GivingTuesday S3 990 XML objects 202523209349300367 (METR), 202513219349323246 (ARC), 202523079349303352 (Founders Pledge), 202543149349305759 (SVCF), 202620849349301332 (Pew), 202513179349103921 (Sijbrandij), 202502889349100435 (LaCentra), 202523219349106192 (EXPA ORG), 202543219349108364 (Schmidt Fund); ProPublica full_text 202621329349306657 IRS990ScheduleI (Vanguard); IRS TEOS detailsPage ein=991219864; SEC EFTS search-index GET; CourtListener opinions; janestreet.com/ and /culture/
# caps_hit=TED notice 864574-2025 HTTP 202 empty 0-byte body (HTML, XML, PDF; x-amzn-waf-action=challenge); r.jina.ai TED HTML 403; TED API GET /v3/notices/864574-2025 XML 400 missing auth; IRS TEOS HTML 403 (jina also 403); SEC EFTS POST 403 Missing Authentication Token (GET search-index worked, 0 hits); Wayback CDX for TED notice timed out / IA temporarily offline; Packard grant-directory-pro full 2557-grant dump not retained (METR extract saved); Vanguard Schedule I HTML ~105MB not retained (METR RecipientTable[15424] excerpt saved); Schmidt awardees search is JS-rendered (0 METR strings in 622846-byte HTML)
# no_kevinnbass_sources=true
# live_named_supporters=The Audacious Project; individuals from Jane Street; Sijbrandij Foundation; The Pew Charitable Trusts; Schmidt Sciences; Packard Foundation; LaCentra-Sumerlin Foundation (Frontier Fund in funding-update image alt); Astralis Foundation; Expa.org; AI Security Institute; Longview Philanthropy; Effektiv Spenden; Survival and Flourishing Fund; David Farhi; Geoff Ralston; Dylan Field; Steve Newman; European AI Office (technical assistance contract). Coverage-table extras not named by METR: Alignment Research Center (filed transfer); Founders Pledge Inc; Silicon Valley Community Foundation; Vanguard Charitable Endowment Program.
# public_read_only=true; money types not summed; legal entities unmerged; allocation embargo observed; research/STATE.md read as locator before facts; held MDF/MDP row ids cited, not recopied as new discovery
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDF,C02.E2;C01.E3,Packard grant 2026-79050 purpose from funder grantee page,grantmaker-award,METR,grant_id=2026-79050,The David and Lucile Packard Foundation,,Model Evaluation and Threat Research,grant,,,,commitment,350000,USD,2026,year,12,,for general support,,,,,,,,,,,,issuer statements,GET https://www.packard.org/grantee/model-evaluation-and-threat-research/,https://www.packard.org/grantee/model-evaluation-and-threat-research/,"<p>Purpose</p>
                                <p>for general support</p>",2026-09-16T09:58:13Z,"funder purpose: for general support; amount $350,000; year 2026; term 12",1,https://www.packard.org/grant/2026-79050/,"Page is an award listing, not a signed grant letter; paid vs approved-for-future-payment not on this page.",This-lane re-fetch. Cites held MDF0020/MDF0021/MDF0078/MDF0090 (purpose not recollected as a new award). Primary packard-grantee-20260916T095813Z.html. money_type=commitment (catalog award). Not summed. Packard and Alignment Research Center unmerged.
A02,A,MDF,C02.E2;C01.E3,Packard grant permalink 2026-79050 og:description purpose,,,grant_id=2026-79050,The David and Lucile Packard Foundation,,Model Evaluation and Threat Research,grant,,,,commitment,350000,USD,2026,year,,,for general support,,,,,,,,,,,,issuer statements,GET https://www.packard.org/grant/2026-79050/,https://www.packard.org/grant/2026-79050/,"<meta property=""og:description"" content=""for general support"" />",2026-09-16T09:58:13Z,permalink purpose for general support,1,,Grant permalink omits year/term/funding areas; those are on the grantee page.,"Same award as A01, not a second amount. Cites held MDF0021. Primary packard-grant-2026-79050-20260916T095813Z.html."
A03,A,MDF,C02.E2;C01.E3,Packard grant-directory-pro API purpose for 2026-79050,,,grant_id=2026-79050; grantee_id=30794,The David and Lucile Packard Foundation,,Model Evaluation and Threat Research,,,,,commitment,350000,USD,2026,year,,,for general support,,,,,,,,,,,,public grant databases,GET https://www.packard.org/wp-json/grant-directory-pro/v1/grants ; filter grant_id=2026-79050 or post_content/METR,https://www.packard.org/wp-json/grant-directory-pro/v1/grants,"""post_content"": ""for general support""",2026-09-16T09:58:13Z,1 METR grant in 2557 grants; purpose for general support,1,,Full catalog dump not retained; METR extract saved.,"Enumeration route. Extract packard-api-grants-metr-extract-20260916T095813Z.json. Same $350,000 not re-summed. Cites held MDF0020."
A04,A,MDF,C02.E2;C01.E3,Audacious Project Canary commitment purpose (RAND issuer press),,,,The Audacious Project (TED),,Canary (RAND + METR),commitment,,,,commitment,38000000,USD,2024-10-09,day,,,"for Canary, a new research collaboration designed to help make future AI systems safer",Canary,,,,,,,,,,,press,GET https://www.rand.org/news/press/2024/10/09.html,https://www.rand.org/news/press/2024/10/09.html,"The Audacious Project, a collaborative funding initiative housed at TED, has committed approximately $38 million to RAND and METR for Canary, a new research collaboration designed to help make future AI systems safer.",2026-09-16T09:58:13Z,joint-project commitment to RAND and METR for Canary,1,,Approximate; two recipients named; not a METR-only amount. RAND press is the Audacious-cohort announcement RAND issued.,"This-lane re-fetch. Cites held MDF0005/MDF0125/MDF0165 as locators, not a new amount. Joint recipient kept unmerged. Not summed with the $17 million METR-share statement. Primary rand-press-canary-20260916T095813Z.html."
A05,A,MDF,C02.E2;C01.E3,Audacious Project Canary grantee-page purpose,,,,The Audacious Project (TED),,Canary (METR and RAND),,,,,commitment,,,,,,,Protecting humanity by monitoring AI for dangerous capabilities,Canary,,,,,,,,,,,issuer statements,GET https://www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand,https://www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand,Protecting humanity by monitoring AI for dangerous capabilities,2026-09-16T09:58:13Z,Audacious Canary page purpose: Protecting humanity by monitoring AI for dangerous capabilities,1,,Page does not restate the $38 million figure in the extract used; purpose is project-level.,Funder project page. Joint collaboration. Cites held MDF0087. Primary audacious-canary-20260916T095813Z.html.
A06,A,MDF,C02.E2;C01.E3,SFF-2025 METR recommendation purpose (funder table),,,,Jaan Tallinn (funder named on the SFF table),Survival and Flourishing Fund (recommending process),"Model Evaluation and Threat Research, Inc.",,,,,recommendation,120000,USD,SFF-2025,interval,,recommendation; not a payment,General support,,,,,,,,,,,,issuer statements,GET https://survivalandflourishing.fund/recommendations HTML table filter METR,https://survivalandflourishing.fund/recommendations,"Model Evaluation &amp; Threat Research (METR)</td><td class=""in-grid"">$120,000 +$428,000‡</td><td class=""in-grid"">Model Evaluation and Threat Research, Inc.</td><td class=""in-grid"">General support</td>",2026-09-16T09:58:13Z,"SFF-2025 METR purpose General support; $120,000 printed beside matching $428,000 which is not this row",1,,Recommendation table is not a 990 payment. Matching figure not added here.,"Cites held MDF0045. Legal recipient Model Evaluation and Threat Research, Inc. Jaan Tallinn is the named funder column, not deanonymized as a Jane Street individual. Primary sff-recommendations-20260916T095813Z.html."
A07,A,MDF,C02.E2;C01.E3,SFF-2025 METR matching-pledge purpose and matching restriction,,,,Jaan Tallinn (funder named on the SFF matching table),Survival and Flourishing Fund Matching Pledge Program,"Model Evaluation and Threat Research, Inc.",,,,,recommendation,428000,USD,SFF-2025,interval,,conditional on outside donations,General support; Matching Pledge (conditional match of outside donations up to pledged amount),,,,,Matching Pledges are commitments to match outside donations up to the pledged amount,,,,,,,issuer statements,GET https://survivalandflourishing.fund/2025/recommendations matching table METR row,https://survivalandflourishing.fund/2025/recommendations,"Matching Pledges are commitments made by the Funder of an S-Process round to match outside donations to a recipient at some rate (such as 0.5x, 1x, or 3x), up to the pledged amount.",2026-09-16T09:58:13Z,matching-pledge restriction stated by SFF; METR row purpose still General support on the round page,1,,"Conditional; not an unconditional grant. Deadline September 30, 2026 on the matching table.","Cites held MDF0046. Keep $428,000 separate from $120,000 remainder. Primary sff-2025-recommendations-20260916T095813Z.html."
A08,A,MDF,C02.E2;C01.E3,SFF-2024 METR recommendation purpose,,,,Jaan Tallinn (funder named on the SFF table),Survival and Flourishing Fund (recommending process),"Model Evaluation and Threat Research, Inc.",,,,,recommendation,204000,USD,SFF-2024,interval,,,General support,,,,,,,,,,,,issuer statements,GET https://survivalandflourishing.fund/recommendations METR 2024 row,https://survivalandflourishing.fund/recommendations,"Model Evaluation and Threat Research</td>
    <td class=""in-grid"">$204,000</td>
    <td class=""in-grid"">Model Evaluation and Threat Research, Inc.</td>
    <td class=""in-grid"">General support</td>",2026-09-16T09:58:13Z,SFF-2024 METR purpose General support,1,,Round label is not a payment date.,Cites held MDF0047. Not summed with 2025 figures or with ledger paid_grants. Combined table also saved sff-2024-recommendations-20260916T095814Z.html (same purpose General support). Primary sff-recommendations-20260916T095813Z.html.
A09,A,MDF,C02.E2;C01.E3,Tallinn public ledger purpose lines to METR (funder self-statement),,,,Jaan Tallinn,SFF-spec / FP-US (via column; not merged),Model Evaluation and Threat Research,,,,,paid_grant,,USD,,,,,For general operating support / General support (ledger purpose column),,,,,,,,,,,,self-statements,GET https://jaan.online/philanthropy/donations.csv filter recipient Model Evaluation and Threat Research,https://jaan.online/philanthropy/donations.csv,"2024-07-23,SFF-spec,USD,""10,000"",""$10,000"",Model Evaluation and Threat Research,For general operating support",2026-09-16T09:58:14Z,"3 METR ledger lines: 2024-07-23 and 2024-07-24 $10,000 For general operating support; 2024-12-06 $184,000 General support",3,,"Ledger is incomplete by its own page heading. via is a payment channel, not merged with SFF the recommending fund or Founders Pledge the filer.",Cites held MDF0051/MDF0052. Do not sum ledger paid_grant with SFF recommendation. Primary jaan-donations-csv-20260916T095814Z.csv.
A10,A,MDF,C02.E2;C01.E3,"Longview public-fund Aug 2023 grant-report purpose for ARC Evals / METR $220,000",,,,Longview Philanthropy (public fund / Longtermism Fund later ECF),Giving What We Can (report host),"ARC Evals (now called METR), then a project of Alignment Research Center",,,,,recommendation,220000,USD,2023-08,month,,,evaluations project at the Alignment Research Center (ARC Evals) works on assessing whether cutting-edge AI systems could pose catastrophic risks to civilization,ARC Evals evaluations project,,,,,,,,,,,issuer statements,GET https://www.givingwhatwecan.org/en-GB/charities/longtermism-fund/longtermism-fund-august-2023-grants-report ; ARC Evals block (linked from Longview ECF as August 2023 Grants Report),https://www.givingwhatwecan.org/en-GB/charities/longtermism-fund/longtermism-fund-august-2023-grants-report,works on “assessing whether cutting-edge AI systems could pose catastrophic risks to civilization.” ARC Evals is contributing to the following AI governance approach:,2026-09-16T09:58:15Z,"report names ARC Evals (now called METR) — $220,000; body describes ARC Evals assessing catastrophic risks",1,,"Recommendation in a fund report, not a Form 990 grant line. Then a project of Alignment Research Center, kept unmerged from METR Inc.",Cites held MDF0070. Linked from Longview ECF as the route report. Primary gwwc-aug2023-report-20260916T095815Z.html.
