# fetch_window_utc=2026-09-16T09:21:43Z/2026-09-16T09:26:08Z
# routes_used=https://metr.org/donate; https://metr.org/evaluations/; https://metr.org/blog/; https://metr.org/about; https://metr.org/research/; https://metr.org/; https://metr.org/blog/2026-08-14-funding-update/; https://metr.org/blog/2026-06-26-gpt-5-6-sol/; https://metr.org/evaluations/gpt-5-report/; https://metr.org/evaluations/gpt-5-1-codex-max-report/; https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/; https://metr.org/time-horizons/; https://metr.org/evaluations/deepseek-qwen-report/; https://metr.org/evaluations/openai-o3-report/; https://metr.org/evaluations/claude-3-7-report/; https://metr.org/evaluations/deepseek-r1-report/; https://metr.org/evaluations/deepseek-v3-report/; https://metr.org/evaluations/claude-3-5-sonnet-report/; https://metr.org/evaluations/openai-o1-preview-report/; https://metr.org/blog/2026-03-12-sabotage-risk-report-opus-4-6-review/; https://metr.org/evaluations/gpt-4o-report/; https://metr.org/blog/2026-03-25-red-teaming-anthropic-agent-monitoring/; https://metr.org/blog/2026-05-08-rd-section-anthropic-risk-report-feb-2026-review/; https://metr.org/blog/2025-02-27-gpt-4-5-evals/; https://metr.org/blog/2024-08-06-update-on-evaluations/; https://metr.org/blog/2023-03-18-update-on-recent-evals/; https://metr.org/blog/2025-01-31-update-sonnet-o1-evals/; https://metr.org/blog/2025-10-23-gpt-oss-methodology-review/; https://metr.org/blog/2025-10-28-sabotage-report-review/; https://metr.org/blog/2026-07-28-investigating-ai-propensities-after-incidents/; https://metr.org/blog/2026-02-17-how-we-protect-confidential-information/; https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf; https://metr.org/blog/2026-08-31-security-update/; https://metr.org/blog/2026-05-19-frontier-risk-report/; https://cdn.openai.com/pdf/67869394-cb91-4c12-888c-5cbd85c7814c/OpenAI-Hugging-Face%20Incident-Technical-Report.pdf; https://web.archive.org/web/2026id_/https://openai.com/index/hugging-face-incident-and-the-road-ahead/; https://cdn.openai.com/pdf/2a7d98b1-57e5-4147-8d0e-683894d782ae/5p1_codex_max_card_03.pdf; https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf; https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf; https://openai.com/form/researcher-access-program/; https://web.archive.org/web/2026id_/https://openai.com/index/early-access-for-safety-testing/; https://metr.org/hugging-face-incident-report-aug-2026.pdf; https://openai.com/index/gpt-4o-system-card/; https://cdn.openai.com/gpt-5-system-card.pdf; https://www.anthropic.com/news/third-party-testing; https://cdn.openai.com/papers/gpt-4-system-card.pdf; https://www.anthropic.com/news/expanding-support-for-scientists; https://support.claude.com/en/articles/9125743-what-is-the-external-researcher-access-program; https://cdn.openai.com/o1-system-card.pdf; https://metr.org/2024-annual-report.pdf; https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents; https://www-cdn.anthropic.com/f4294ebe6210558c62226f44bd5c716f9cb80add/Redacted%20Risk%20Report%20Feb%202026.pdf; https://cdn.openai.com/gpt-4-5-system-card-2272025.pdf; https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf; https://www-cdn.anthropic.com/bd2a28d2535bfb0494cc8e2a3bf135d2e7523226/Model-Card-Claude-2.pdf; https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals; https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/introducing-the-frontier-safety-framework/fsf-technical-report.pdf; https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/strengthening-our-frontier-safety-framework/frontier-safety-framework_3-1.pdf; https://www-cdn.anthropic.com/f61d49fa5596956a5dec75fea0e973bf6a6a8378/Redacted%20Risk%20Report%20August%202026%20.pdf; https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_fsf_report.pdf; https://storage.googleapis.com/deepmind-media/gemini/gemini_3-7_flash_fsf_report.pdf; https://cloud.google.com/edu/researchers; https://cdn.amazon.science/a7/7c/8bdade5c4eda9168f3dee6434fff/pc-amazon-frontier-model-safety-framework-2-7-final-2-9.pdf; https://arxiv.org/pdf/2507.06260; https://docs.aws.amazon.com/ai/responsible-ai/nova-micro-lite-pro/overview.html; https://web.archive.org/web/2026id_/https://ai.meta.com/static-resource/Meta_Advanced-AI-Scaling-Framework-v2; https://assets.anthropic.com/m/785e231869ea8b3b/original/claude-3-7-sonnet-system-card.pdf; https://arxiv.org/pdf/2601.19134; https://cdn.amazon.science/c5/3d/84514a224666b5be6de4b43ef4aa/nova-2-0-technical-report2.pdf; https://www-cdn.anthropic.com/0339e6a7c5c7b87f5c07798616dc32c215d14235/Claude%20Fable%205.1%20&%20Claude%20Mythos%205.1%20System%20Card.pdf; https://www-cdn.anthropic.com/8b8380204f74670be75e81c820ca8dda846ab289.pdf; https://metr.org/blog/2025-08-11-science-comms-at-metr/; https://metr.org/blog/2025-03-11-good-for-ai-to-reason-legibly-and-faithfully/; https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/; https://metr.org/blog/2025-12-09-common-elements-of-frontier-ai-safety-policies/; https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/; https://metr.org/blog/2025-06-27-risk-transparency/; https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/; https://metr.org/blog/2025-01-17-ai-models-dangerous-before-public-deployment/; https://metr.org/blog/2024-05-16-ml-engineers-needed/; https://metr.org/blog/2024-04-26-emma-abele-executive-director/; https://metr.org/blog/2023-12-04-metr-announcement/; https://metr.org/blog/2024-02-07-2023-year-in-review/; https://metr.org/blog/2023-09-26-rsp/; https://metr.org/blog/2023-09-19-spin-out-announcement/; https://metr.org/blog/2023-12-16-bounty-diverse-hard-tasks-for-llm-agents/; https://metr.org/blog/2025-10-14-malt-dataset-of-natural-and-prompted-behaviors/; https://metr.org/blog/2026-07-21-expenditure-horizon/; https://metr.org/blog/2026-05-11-ai-usage-survey/; https://metr.org/blog/2026-05-08-task-substitution-and-uplift/; https://metr.org/blog/2026-02-24-uplift-update/; https://metr.org/blog/2025-08-08-cot-may-be-highly-informative-despite-unfaithfulness/; https://metr.org/blog/2026-04-10-mirrorcode-preliminary-results/; https://metr.org/blog/2026-1-29-time-horizon-1-1/; https://metr.org/blog/2026-01-19-early-work-on-monitorability-evaluations/; https://metr.org/blog/2025-08-20-forecasting-impacts-of-ai-acceleration/; https://metr.org/blog/2025-07-14-how-does-time-horizon-vary-across-domains/; https://metr.org/blog/2025-08-12-research-update-towards-reconciling-slowdown-with-time-horizons/; https://metr.org/blog/2025-06-05-recent-reward-hacking/; https://metr.org/blog/2024-11-22-evaluating-r-d-capabilities-of-llms/; https://metr.org/blog/2025-02-14-measuring-automated-kernel-engineering/; https://metr.org/blog/2024-11-12-rogue-replication-threat-model/; https://metr.org/blog/2024-03-13-autonomy-evaluation-resources/; https://metr.org/blog/2024-03-15-example-autonomy-evaluation-protocol/; https://metr.org/blog/2024-03-15-guidelines-for-capability-elicitation/; https://metr.org/blog/2024-03-15-measuring-post-impact-enhancements/; https://metr.org/blog/2023-08-01-new-report/; https://metr.org/blog/2024-02-29-METR-task-standard/; https://metr.org/risk-assessment/
# caps_hit=openai.com/form/researcher-access-program/ HTTP 403 live, Wayback CDX HTTP 503 (Internet Archive temporarily offline), r.jina.ai HTTP 403; metr.org/evaluations/ is a 413-byte HTML redirect to /risk-assessment/ (followed); ai.meta.com Advanced AI Scaling Framework v2 live failed, used Wayback id_; openai.com/index/hugging-face-incident-and-the-road-ahead/ and openai.com/index/early-access-for-safety-testing/ live failed, used Wayback id_; openai.com/index/gpt-4o-system-card/ live HTML is a JS app
# no_kevinnbass_sources=true
# research/STATE.md read before adding facts; C04 in-kind readiness remains open; seed MDI0001/MDI0002 and repo/research/compute_inkind.csv used as locators only; every positive fact re-fetched this run. This lane does not ask how the approximately $71 million was composed and does not promote rows.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDI,C04.E1,"METR About page: significant free tokens for evaluations, research, and engineering",recipient,METR; Model Evaluation and Threat Research,,frontier AI companies (unspecified),,Model Evaluation and Threat Research Inc,in-kind tokens,,,,,,,,,,,,,frontier AI companies (unspecified),free tokens,,,,,,,,,issuer statements,GET https://metr.org/about ; search free tokens|access and tokens,https://metr.org/about,"METR has not accepted funding from AI companies, though we make use of significant free tokens, which we use for evaluations, research, and engineering, as noted above.",2026-09-16T09:21:43Z,verbatim acknowledgment on live About page,1,https://metr.org/blog/2026-08-14-funding-update/,Provider labs are not named in this sentence; named in the Partnerships paragraph (A02). No quantity.,via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_about-20260916T092143Z.html sha256=3554d40c983c85bbc1a00ee005468e220ca10349291ebd85572703bb5c78577f
A02,A,MDI,C04.E1,METR About page: named labs provided access and tokens,recipient,,,OpenAI; Anthropic; Google DeepMind; Meta; Amazon,,Model Evaluation and Threat Research Inc,in-kind access and tokens,,,,,,,,,,,,,OpenAI; Anthropic; Google DeepMind; Meta; Amazon,access and tokens,,,,,,,,,issuer statements,GET https://metr.org/about ; Partnerships paragraph,https://metr.org/about,"These companies have also provided access and tokens, which we use for evaluations, research, and engineering.",2026-09-16T09:21:43Z,"verbatim; companies named in the preceding sentence as OpenAI, Anthropic, Google DeepMind, Meta and Amazon",1,https://metr.org/,"No lab-by-lab split or quantity. Home/risk-assessment wording names OpenAI, Anthropic, and xAI instead (A03).",via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_about-20260916T092143Z.html sha256=3554d40c983c85bbc1a00ee005468e220ca10349291ebd85572703bb5c78577f
A03,A,MDI,C04.E1,"METR home and risk-assessment pages name OpenAI, Anthropic, and xAI as providing access and tokens",recipient,,,OpenAI; Anthropic; xAI,,Model Evaluation and Threat Research Inc,in-kind access and tokens,,,,,,,,,,,,,OpenAI; Anthropic; xAI,access and tokens,,,,,,,,,issuer statements,GET https://metr.org/ ; GET https://metr.org/risk-assessment/,https://metr.org/,"Companies such as OpenAI, Anthropic, and xAI have provided access and tokens, which we use for evaluations, research, and engineering.",2026-09-16T09:21:43Z,verbatim on home; same sentence on /risk-assessment/,1,https://metr.org/risk-assessment/,"Wording differs from About (A02): xAI is named here; Google DeepMind, Meta and Amazon are not. Not a quantity.",via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_index-20260916T092143Z.html sha256=cb2ca22491ba8597d9d621a04588dc3397017ddac9d10d6ba475c4ac47180ad5
A04,A,MDI,C04.E1,METR 2026-08-14 funding update: frontier AI companies provide free tokens,recipient,,,frontier AI companies (unspecified),,Model Evaluation and Threat Research Inc,in-kind tokens,,,,,,,2026-08-14,day,,,,,frontier AI companies (unspecified),free tokens,,,,,,,,,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"However, frontier AI companies currently provide a significant amount of free tokens for our evaluations, research, and engineering.",2026-09-16T09:21:45Z,verbatim on live funding-update post,1,,Labs not named. Distinguished in the same paragraph from funding and staff-directed donations.,via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_blog_2026-08-14-funding-update-20260916T092145Z.html sha256=ea456b2af1d1c078af97f7d5e5752ff95991403f609f29fa4346afcaa48e37cf
A05,A,MDI,C04.E1,"OpenAI / Hugging Face investigation: OpenAI provided dump, transcripts, and free API credits",recipient,,,OpenAI,,Model Evaluation and Threat Research Inc,in-kind API credits and data access,,,,,,,2026-08-26,day,,,,OpenAI / Hugging Face incident investigation,OpenAI,free API credits; message-board dump; transcripts,,,,,,,,,project documents,GET https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,as well as free API credits for GPT-5.6 Sol for analysis.,2026-09-16T09:21:46Z,verbatim; same post also states the ~$400K estimate (B01),1,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"Credit quantity is the METR estimate in B01, not a lab invoice.",via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_blog_2026-08-26-openai-hugging-face-incident-investigation-20260916T092146Z.html sha256=375e6d0c0d756624d5e5c418248f9d27e3cb7780ef00c492f8696a7ab569ab85
A06,A,MDI,C04.E1,OpenAI / Hugging Face investigation: METR accepted free API credits (policy),recipient,,,OpenAI,,Model Evaluation and Threat Research Inc,,,,,,,,2026-08-26,day,,,,OpenAI / Hugging Face incident investigation,OpenAI,free API credits,,,,,,,,,project documents,GET https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,we accepted free API credits to conduct our experiments (also per our standard policy),2026-09-16T09:21:46Z,verbatim footnote/policy sentence on the same investigation post,1,,Policy statement; quantity is B01.,via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_blog_2026-08-26-openai-hugging-face-incident-investigation-20260916T092146Z.html sha256=375e6d0c0d756624d5e5c418248f9d27e3cb7780ef00c492f8696a7ab569ab85
A07,A,MDI,C04.E1,"GPT-5.6 Sol evaluation: OpenAI provided API access to final, railfree, and chain-of-thought endpoints",recipient,,,OpenAI,,Model Evaluation and Threat Research Inc,,,,,,,,2026-06-26,day,,,,GPT-5.6 Sol pre-deployment evaluation,OpenAI,API access,,,,,,,,,project documents,GET https://metr.org/blog/2026-06-26-gpt-5-6-sol/,https://metr.org/blog/2026-06-26-gpt-5-6-sol/,"Access to GPT-5.6 Sol, both the final checkpoint and a ‘railfree’ version, via API",2026-09-16T09:21:46Z,verbatim list item; sibling item grants chain-of-thought via API,1,,Access described; no token or dollar quantity on this page.,via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_blog_2026-06-26-gpt-5-6-sol-20260916T092146Z.html sha256=db90b60ea72605cfbd457897a368a85183b55547d2ec7230ef6263371e2a9a6f
A08,A,MDI,C04.E1,GPT-5 evaluation report: OpenAI provided reasoning-trace access and background information,recipient,,,OpenAI,,Model Evaluation and Threat Research Inc,,,,,,,,,,,,,GPT-5 evaluation,OpenAI,reasoning-trace access; background information,,,,,,,,,project documents,GET https://metr.org/evaluations/gpt-5-report/,https://metr.org/evaluations/gpt-5-report/,"this is thanks to OpenAI, who provided us with access to reasoning traces and background information on the model.",2026-09-16T09:21:46Z,verbatim gratitude sentence,1,,Engineering/information access; no token or dollar quantity.,via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_evaluations_gpt-5-report-20260916T092146Z.html sha256=92ae17282c836b597fb561edb1f08c89c524609e11072c95b8d0cd7d2217f1b7
A09,A,MDI,C04.E1,"o3 evaluation report: OpenAI provided context, technical information, and internal benchmark subset",recipient,,,OpenAI,,Model Evaluation and Threat Research Inc,,,,,,,,,,,,,o3 and o4-mini evaluation,OpenAI,pre-release access; internal eval results,,,,,,,,,project documents,GET https://metr.org/evaluations/openai-o3-report/,https://metr.org/evaluations/openai-o3-report/,"OpenAI also provided us with some context and technical information about o3 and o4-mini, as well as a subset of the model’s benchmark results from their internal evaluations.",2026-09-16T09:21:50Z,verbatim,1,,No token or dollar quantity.,via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_evaluations_openai-o3-report-20260916T092150Z.html sha256=2f27ca83a85691efc9b754359809d62e1e682331e5c4ad73795e9775c5036b1e
A10,A,MDI,C04.E1,GPT-5.1-Codex-Max report: METR received access to checkpoints with visible reasoning traces,recipient,,,OpenAI,,Model Evaluation and Threat Research Inc,,,,,,,,,,,,,GPT-5.1-Codex-Max evaluation,OpenAI,checkpoint access with visible reasoning traces,,,,,,,,,project documents,GET https://metr.org/evaluations/gpt-5-1-codex-max-report/,https://metr.org/evaluations/gpt-5-1-codex-max-report/,"On November 5th, METR received access to an endpoint of this early checkpoint with visible reasoning traces, but without zero data retention.",2026-09-16T09:21:48Z,verbatim timeline bullet,1,,No token or dollar quantity.,via=live; http=200; no_kevinnbass_sources; re-fetched this run; seed compute_inkind.csv / in_kind_access.csv used as locators only; primary=metr-org_evaluations_gpt-5-1-codex-max-report-20260916T092148Z.html sha256=3db12bfec7fbb67a95cc2d4694726f7da47a8837feed5569ac7f2642f731a1af
