# fetch_window_utc=2026-09-16T09:30:37Z/2026-09-16T09:35:35Z
# routes_used=metr.org Frontier Risk Report; Hugging Face incident blog+PDF; Opus 4.6 sabotage review blog+PDF; Anthropic agent-monitoring; RD-section Anthropic risk-report review; 2025-10-28 sabotage-report review; evaluations index (r.jina.ai) and reports gpt-5, gpt-5.1-codex-max, gpt-4o, o1-preview, o3, gpt-5.6-sol, claude-3-5-sonnet, claude-3-7, deepseek-r1, deepseek-v3, deepseek-qwen, gpt-4.5-evals blog; 2024 annual report PDF; metr.org/about; metr.org/coi-policy.pdf; metr.org/team pages of named FRR/HF staff; aievaluatorforum.org AEF-1; anthropic.com/company; anthropic.com cyber-incidents page; openai.com HF road-ahead; openai.com Christiano board (live 403, r.jina.ai); redwoodresearch.org/team
# caps_hit=openai.com/index/paul-christiano-joins-openai-foundation-board/ live HTTP 403 (r.jina.ai used); Wayback CDX HTTP 503; metr.org/evaluations/ live HTML thin (r.jina.ai used); metr.org/evaluations/gpt-4-5-evals/ HTTP 404 (blog URL used); no other METR report GET caps
# no_kevinnbass_sources=true
# embargo=nothing sent, nobody contacted, approximately $71 million composition not asked
# policy_not_retroactive=COI policy v1.0 last updated 2026-08-28 not applied as in-force to FRR 2026-05-19 or HF publication 2026-08-26
# seed_MDQ0001=re-verified against this-run primary, not copied as the capture
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDQ,C08.E2,Frontier Risk Report Contributors — full named staff and collaborators from this-run #contributors,project,,,,,,,,,,,,,2026-05-19,day,,,,"METR Frontier Risk Report, May 2026",Anthropic; Google; Meta; OpenAI (pilot participants),,,,none in force at project start (AEF-1 2.3 No),no formal recusal or disclosures process at project start,,"Writing: Ajeya Cotra (report lead), Hjalmar Wijk, Daniel Filan, Nikola Jurkovic, Charles Foster, Beth Barnes. Company engagement: Charles Foster, Chris Painter, Lucas Sato, Hjalmar Wijk, Nikola Jurkovic, Ajeya Cotra. Evaluations and infrastructure: Ben Snodin, Daniel Filan, David Rein, Joel Becker, Lucas Sato, Megan Kinniment, Mischa Spiegelmock, Nate Rush, Neev Parikh, Nikola Jurkovic, Paarth Shah, Pip Arnott, Rasmus Faber-Espensen, Thomas Broadley, Tom Cunningham, Vincent Cheng, Hjalmar Wijk (footnote 65: names in randomized order other than Nate Rush and Hjalmar Wijk, who oversaw the evaluations work). Design: Kit Harris, Daheun Oh, Michael Chen, Michael Keenan, Taylor Osborn, Charles Foster. Thanks: Ryan Greenblatt (Redwood Research) for sharing supplemental evaluation results on public models (footnote 66: did not have non-public access through this program); Amber Ace for copy-editing. This document does not attach an individual conflict to any of these named persons.",,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ #contributors,https://metr.org/blog/2026-05-19-frontier-risk-report/,"<strong>Writing</strong>: <a href=""/team/ajeya-cotra/"">Ajeya Cotra</a> (report lead), <a href=""/team/hjalmar-wijk/"">Hjalmar Wijk</a>, <a href=""/team/daniel-filan/"">Daniel Filan</a>, <a href=""/team/nikola-jurkovic/"">Nikola Jurkovic</a>",2026-09-16T09:30:37Z,"28 unique named persons on #contributors (Writing 6, Company engagement 6, Evaluations 17, Design 6, thanks Greenblatt and Amber Ace; names repeat across lines); full list in personnel_conflicts; no per-person conflict attached",28,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,"The Contributors list does not state which named people are among the 'at least 6' with close personal relationships. quote_300 is a verbatim HTML prefix of the Writing paragraph; Company engagement, Evaluations, Design, and the Greenblatt thanks line are in personnel_conflicts and in the following Task A contributor-group rows.","Primary research/primary/MD30-project-staff-conflicts/metr-org-frontier-risk-report-20260916T093037Z.html. personnel_conflicts transcribes every name from the four contributor paragraphs plus the Greenblatt/Ace thanks line, in page order. Not a copy of seed MDQ0001. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
2,A,MDQ,C08.E2,FRR Contributors — Company engagement named staff,project,,,,,,,,,,,,,2026-05-19,day,,,,"METR Frontier Risk Report, May 2026",,,,,,,,"Charles Foster, Chris Painter, Lucas Sato, Hjalmar Wijk, Nikola Jurkovic, Ajeya Cotra",,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ #contributors Company engagement,https://metr.org/blog/2026-05-19-frontier-risk-report/,"<strong>Company engagement</strong>: <a href=""/team/charles-foster/"">Charles Foster</a>, <a href=""/team/chris-painter/"">Chris Painter</a>, <a href=""/team/lucas-sato/"">Lucas Sato</a>",2026-09-16T09:30:37Z,six named on Company engagement line,6,,No individual conflict text on this line.,"Primary research/primary/MD30-project-staff-conflicts/metr-org-frontier-risk-report-20260916T093037Z.html. Quote is verbatim HTML of the start of the Company engagement paragraph. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
3,A,MDQ,C08.E2,FRR Contributors — Evaluations and infrastructure named staff,project,,,,,,,,,,,,,2026-05-19,day,,,,"METR Frontier Risk Report, May 2026",,,,,,,,"Ben Snodin, Daniel Filan, David Rein, Joel Becker, Lucas Sato, Megan Kinniment, Mischa Spiegelmock, Nate Rush, Neev Parikh, Nikola Jurkovic, Paarth Shah, Pip Arnott, Rasmus Faber-Espensen, Thomas Broadley, Tom Cunningham, Vincent Cheng, Hjalmar Wijk",,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ #contributors Evaluations and infrastructure; footnote 65,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Ben Snodin, <a href=""/team/daniel-filan/"">Daniel Filan</a>, <a href=""/team/david-rein/"">David Rein</a>, <a href=""/team/joel-becker/"">Joel Becker</a>",2026-09-16T09:30:37Z,17 named on Evaluations and infrastructure line; footnote 65 says order randomized except Nate Rush and Hjalmar Wijk who oversaw,17,,No individual conflict text on this line.,"Primary research/primary/MD30-project-staff-conflicts/metr-org-frontier-risk-report-20260916T093037Z.html. Quote is verbatim HTML of the unlinked Ben Snodin lead-in and the next three linked names. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
4,A,MDQ,C08.E2,FRR Contributors — Design named staff,project,,,,,,,,,,,,,2026-05-19,day,,,,"METR Frontier Risk Report, May 2026",,,,,,,,"Kit Harris, Daheun Oh, Michael Chen, Michael Keenan, Taylor Osborn, Charles Foster",,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ #contributors Design,https://metr.org/blog/2026-05-19-frontier-risk-report/,"<strong>Design</strong>: <a href=""/team/kit-harris/"">Kit Harris</a>, Daheun Oh, <a href=""/team/michael-chen/"">Michael Chen</a>, Michael Keenan, Taylor Osborn",2026-09-16T09:30:37Z,"six named on Design line (Daheun Oh, Michael Keenan, Taylor Osborn unlinked in HTML)",6,,No individual conflict text on this line.,"Primary research/primary/MD30-project-staff-conflicts/metr-org-frontier-risk-report-20260916T093037Z.html. Quote is verbatim HTML of the Design paragraph through Taylor Osborn. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
5,A,MDQ,C08.E2,FRR Contributors — Ryan Greenblatt thanks line,individual,,,Ryan Greenblatt,,Redwood Research,,,,,,,,2026-05-19,day,,,,"METR Frontier Risk Report, May 2026",,,,,,,,Ryan Greenblatt (Redwood Research) thanked for sharing supplemental evaluation results on public models; Amber Ace for copy-editing,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ #contributors thanks; footnote 66,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Thanks also to Ryan Greenblatt (Redwood Research) for sharing supplemental evaluation results on public models,",2026-09-16T09:30:37Z,Greenblatt named as Redwood Research collaborator on public-model results; footnote 66: no non-public access through this program,2,,"Greenblatt is Redwood staff, not METR payroll. Footnote 66 is a separate sentence in the footnotes list.","Primary research/primary/MD30-project-staff-conflicts/metr-org-frontier-risk-report-20260916T093037Z.html. Quote is the contiguous thanks sentence before the footnote superscript. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
6,A,MDQ,C08.E2,FRR footnote 65 — Evaluations name order; Nate Rush and Hjalmar Wijk oversaw,project,,,,,,,,,,,,,2026-05-19,day,,,,"METR Frontier Risk Report, May 2026",,,,,,,,Nate Rush and Hjalmar Wijk oversaw the evaluations work,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ footnote 65,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Names are in randomized order other than Nate Rush and Hjalmar Wijk, who oversaw the evaluations work.",2026-09-16T09:30:37Z,oversight named for evaluations line; still no per-person conflict text,1,,Oversight is not a disclosed conflict.,"Primary research/primary/MD30-project-staff-conflicts/metr-org-frontier-risk-report-20260916T093037Z.html. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
7,A,MDQ,C08.E2,Frontier Risk Report Table A.1 item 2.4.6 other conflicts of interest (seed MDQ0001 re-verification),project,,,,,,,,,,,,,2026-05-19,day,,,,"METR Frontier Risk Report, May 2026",,,,,none in force at project start (AEF-1 2.3 No),"METR Frontier Risk Report, Table A.1 item 2.4, any other conflicts of interest",,Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ Table A.1 item 2.4.6,https://metr.org/blog/2026-05-19-frontier-risk-report/,Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.,2026-09-16T09:30:37Z,re-verified live against this-run primary; the six persons are not named,1,,Document does not name the six staff or collaborators. This lane does not identify them by inference.,"Primary research/primary/MD30-project-staff-conflicts/metr-org-frontier-risk-report-20260916T093037Z.html. Re-verification of seed MDQ0001 against a this-run primary; checked_utc is this fetch, not the 2026-09-14 seed date. Quote is the exact table cell. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
8,A,MDQ,C08.E2,Frontier Risk Report does not attach a named-person conflict to any listed contributor,project,,,,,,,,,,,,,2026-05-19,day,,,,"METR Frontier Risk Report, May 2026",,,,,,,,close-personal-relationship disclosure is aggregate ('at least 6'); no named individual in Contributors is identified as one of the six,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ Contributors plus Table A.1 2.4.6,https://metr.org/blog/2026-05-19-frontier-risk-report/,Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.,2026-09-16T09:30:37Z,absence of named-person conflict text for listed contributors; aggregate disclosure only,0,,"Attributing the 'at least 6' sentence to Ajeya Cotra, Beth Barnes, or any other named contributor would be inference.","Primary research/primary/MD30-project-staff-conflicts/metr-org-frontier-risk-report-20260916T093037Z.html. Recorded as document silence on which persons. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
9,A,MDQ,C08.E2,Hugging Face incident investigation named staff (blog),project,,,,,,,,,,,,,2026-08-26,day,,,,"OpenAI / Hugging Face incident investigation, August 2026",OpenAI,,,,,,,Hjalmar Wijk; Ajeya Cotra; Ryan Greenblatt (Redwood Research staff member contracting with METR),,,project documents,GET https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,Two METR staff members (Hjalmar Wijk and Ajeya Cotra,2026-09-16T09:30:37Z,three named investigators on the byline and in the opening paragraph,3,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"Greenblatt is named as Redwood staff contracting with METR, not as METR payroll staff. Entities kept separate.","Primary research/primary/MD30-project-staff-conflicts/metr-org-hf-incident-blog-20260916T093037Z.html. HTML includes footnote anchors after Cotra and Greenblatt. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
10,A,MDQ,C08.E2,"Ajeya Cotra disclosed close personal relationship (HF blog footnote 1, added 2026-09-13)",individual,Ajeya Cotra,,Ajeya Cotra,,Paul Christiano,stated close personal relationship,,,,,,,2026-09-13,day,,,,"OpenAI / Hugging Face incident investigation, August 2026",OpenAI,,,,,footnote added 9/13/2026; states the SSC appointment was after the report was completed and published on Aug 26th,,"On Sep 9th (after this report was completed and published on Aug 26th), Ajeya Cotra’s spouse Paul Christiano joined OpenAI’s Safety and Security Committee.",,,project documents,GET https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/ footnote 1,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,"On Sep 9th (after this report was completed and published on Aug 26th), Ajeya Cotra’s spouse Paul Christiano joined OpenAI’s Safety and Security Committee.",2026-09-16T09:30:37Z,METR public footnote names Cotra's spouse and the OpenAI SSC appointment date,1,,"This is OpenAI governance of Paul Christiano, not Anthropic equity or a board role of Ajeya Cotra. Not C05.E1.","Primary research/primary/MD30-project-staff-conflicts/metr-org-hf-incident-blog-20260916T093037Z.html. Apostrophe in Cotra’s is U+2019 as in the HTML. Public METR statement; not an inferred private fact. Embargo: nothing sent, nobody contacted, the approximately $71 million composition not asked. no_kevinnbass_sources. Lineage L28 evaluator-people not run; METR-specific public documents only. staff_origins.csv used as a lead list, never copied as a source."
