# fetch_window_utc=2026-09-16T09:35:17Z/2026-09-16T10:37:46Z
# routes_used=TED XML/HTML/PDF/htmlDirect https://ted.europa.eu/en/notice/864574-2025/xml (Accept retry) + related 272332-2025/450513-2025/476039-2025 xml; TED API POST api.ted.europa.eu/v3/notices/search (winner-name, FT OP/0032, FT independent evaluator); TED HTML search; Funding & Tenders tender-details; eTendering cft-search; Contracts Finder v2 POST search_notices/json + Notice 4113c27b HTML; USAspending POST spending_by_award; SAM SGS GET; CanadaBuys GET; FAR.AI selected blog; SaferAI selected blog; EquiStamp; Epoch transparency; metr.org about/home/research/annual-report/coi/faisc/blog/gpt-4o-report; NIST members/join/sample-CRADA/CAISI/March PDF; Federal Register 2026-10779 PDF; Scale US AISI blog; OpenAI GPT-4/o1/GPT-5 PDFs + GPT-4o HTML; Anthropic Claude 2/3.5/Mythos PDFs + RSP + cyber-incidents; Amazon arXiv 2507.06260/2601.19134; GDM FSF v3.1; GOV.UK Taskforce first progress + AISI approach + Seoul commitments + Bletchley; White House 2023 commitments archive; NITRD METR RFI PDF; aisi.gov.uk about/grants/approach-evals; Apollo about; Transluce independence policy; aievaluators.org/aievaluatorforum.org; Cal OES CCTF GET cybersecurity-task-force (metr.org/about href) and california-cybersecurity-task-force; r.jina.ai attempted
# caps_hit=TED xml/pdf/html first GET HTTP 202 empty WAF (XML recovered on Accept retry HTTP 200 90547 bytes); related TED notices 272332/450513/476039 xml HTTP 202 empty; r.jina.ai HTTP 403 on Scale/FAR.AI/RSP/cyber/Seoul/AISI/GPT-4o/AEF-1/White House/Cal OES CCTF; www.aievaluators.org DNS failure curl 6; www.aievaluatorforum.org DNS failure; openai.com/safety/evaluations and /index/our-approach-to-alignment-research HTTP 403; live whitehouse.gov 2023 commitments URL HTTP 404 (archive used); eTendering cft-search HTTP 404; Federal Register API quoted METR GET empty body; Scale blog JSON-LD has no articleBody (Next.js shell); metr.org/faisc 361-byte stub; AISI /blog/our-approach-to-evaluations HTML lacked the METR body (GOV.UK HTML of the publication did)
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; sibling MD19/MD20/MD21 award/contract facts and seed evals.csv/evaluators.csv were locators only and were not copied as this lane's discovery; live TED XML, TED API, CF v2, lab system cards, NIST/CAISI, GOV.UK Taskforce/AISI, Amazon arXiv, metr.org/about, and Cal OES CCTF pages were fetched this window
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDR,C06.E3;C08.E5,EU AI Office / DG CNECT selected METR as LOT-0003 tenderer (Loss of Control technical assistance) via open procurement,recipient,"METR; Model Evaluation and Threat Research, Inc.",864574-2025; LOT-0003; EC-CNECT/2025/OP/0032; CON-0003; ORG-0010,"European Commission, DG CNECT - Communications Networks, Content and Technology (CNECT.A Artificial Intelligence Office / CNECT.A.3 Artificial Intelligence Safety)",,"Model Evaluation and Threat Research, Inc.","open-procedure contract award (tenderer, not group leader)",,,,,,,2025-11-28,day,,,,Loss of Control Risk Modelling and Evaluation; AI Act technical assistance for AI safety,,,,,,,,,,award notice; signed contract text unpublished,procurement records,"GET https://ted.europa.eu/en/notice/864574-2025/xml Accept: application/xml (retry after HTTP 202 empty); POST api.ted.europa.eu/v3/notices/search winner-name=""Model Evaluation and Threat Research""",https://ted.europa.eu/en/notice/864574-2025/xml,"<cbc:ProcedureCode listName=""procurement-procedure-type"">open</cbc:ProcedureCode>",2026-09-16T09:40:57Z,Selector=European Commission DG CNECT / AI Office; process=open procurement EC-CNECT/2025/OP/0032; document=TED ContractAwardNotice 864574-2025; award date 2025-11-28; contract IssueDate 2025-12-15; METR named ORG-0010 winner/tenderer,1,procurement documents named on the notice (Task D); TED htmlDirect sibling ted-htmlDirect-864574-20260916T094046Z.html,Award amount and METR's consortium share are MD20 reconstruction and are left empty here. First GET xml/pdf/html this window returned HTTP 202 empty (WAF); XML HTTP 200 on Accept retry.,"This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primary ted-xml-accept-20260916T094046Z.xml (90547 bytes). TED API winner-name totalNoticeCount=1 publication-number=864574-2025 saved ted-api-winner-name-Model-Evaluation-20260916T093517Z.json."
A02,A,MDR,C08.E5,"OpenAI granted Alignment Research Center (ARC Evals, later METR) early access to evaluate GPT-4 autonomous replication",recipient,ARC Evals; Alignment Research Center; later METR,GPT-4 system card 2023-03,OpenAI,,Alignment Research Center (ARC),lab-granted early access / expert red-teaming evaluation,,,,,,,2023-03-14,month,,,,GPT-4 pre-deployment evaluation of autonomous replication and resource-gathering,,,,,,,,,,,issuer statements,GET https://cdn.openai.com/papers/gpt-4-system-card.pdf ; pdftotext -layout,https://cdn.openai.com/papers/gpt-4-system-card.pdf,We granted the Alignment Research Center (ARC) early access to the models as a part of our expert red teaming efforts in order to enable their team to assess risks from power-seeking behavior.,2026-09-16T09:36:23Z,Selector=OpenAI; process=expert red-teaming early access (not a published competitive tender); document=GPT-4 system card PDF; date=card March 2023 (ARC evaluation described therein),1,https://metr.org/blog/2023-03-18-update-on-recent-evals/,"The card names Alignment Research Center, not METR. ARC Evals later spun out as METR; entities are not merged. No scored selection criteria appear in this card.","This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primary openai-gpt4-system-card-20260916T093517Z.pdf. Same card also: 'facilitated a preliminary model evaluation by the Alignment Research Center (ARC) of GPT-4's ability to carry out actions to autonomously replicate'."
A03,A,MDR,C08.E5,OpenAI named METR as an independent third-party lab on the GPT-4o system card,recipient,METR,GPT-4o system card,OpenAI,,METR,lab-named independent third-party evaluation,,,,,,,2024-08-08,day,,,,GPT-4o post-text-deployment additional validation,,,,,,,,,,,issuer statements,GET https://openai.com/index/gpt-4o-system-card/ ; filter METR / Apollo / independent third party,https://openai.com/index/gpt-4o-system-card/,"Following the text output only deployment of GPT‑4o, we worked with independent third party labs,",2026-09-16T09:36:25Z,Selector=OpenAI; process=lab-commissioned third-party validation after text-only deployment (not a published competitive tender); document=GPT-4o system card HTML; METR and Apollo Research named in the same sentence,1,https://www.apolloresearch.ai/about,HTML splits the sentence across tags; visible continuation names METR and Apollo Research 'to add an additional layer of validation'. No scored selection criteria.,"This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primary openai-gpt4o-system-card-20260916T093517Z.html. Unicode hyphen in GPT‑4o is as published. openai.com/safety/evaluations returned HTTP 403 this window."
A04,A,MDR,C08.E5,OpenAI gave METR pre-release access to evaluate o1-preview / o1-mini autonomous capabilities,recipient,METR,o1 system card,OpenAI,,METR,lab-granted pre-release evaluation access,,,,,,,2024-09-12,day,,,,o1-preview and o1-mini autonomous-capability evaluation,,,,,,,,,,,issuer statements,GET https://cdn.openai.com/o1-system-card.pdf ; pdftotext -layout ; filter METR,https://cdn.openai.com/o1-system-card.pdf,"METR, a research nonprofit that works on assessing whether cutting-edge AI systems could pose catastrophic risks to society, evaluated these models for autonomous capabilities until September 9th.",2026-09-16T09:36:28Z,"Selector=OpenAI; process=pre-release access (o1-preview-early 2024-08-26, o1-mini 2024-08-28, o1-preview 2024-09-03) described on the system card; document=o1 system card PDF; access ended 2024-09-09 before 2024-09-12 release",1,,Card describes access dates and METR's role; it does not publish a competitive selection process or scored criteria for choosing METR.,"This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primary openai-o1-system-card-20260916T093517Z.pdf. Red-teaming organizations list on the same card names Faculty, METR, Apollo Research, Haize Labs, Gray Swan AI (Task B)."
A05,A,MDR,C08.E5,OpenAI commissioned METR external evaluations of gpt-5-thinking (autonomy),recipient,METR,GPT-5 system card §5.1.3.7,OpenAI,,METR,lab-commissioned external evaluation,,,,,,,2025-08-07,month,,,,gpt-5-thinking autonomy / catastrophic-risk evaluation,,,,,,,,,,,issuer statements,GET https://cdn.openai.com/gpt-5-system-card.pdf ; pdftotext -layout ; section 5.1.3.7 External Evaluations by METR,https://cdn.openai.com/gpt-5-system-card.pdf,"METR, a research nonprofit that works on assessing whether frontier AI systems could pose catastrophic risks to society, evaluated gpt-5-thinking for risks from autonomy. This work spanned 3 weeks, with OpenAI sharing all requested key background information about the model",2026-09-16T09:36:32Z,Selector=OpenAI; process=external evaluation spanning 3 weeks with background information and some reasoning-trace access; document=GPT-5 system card PDF §5.1.3.7; adjacent §5.2.1 names Apollo Research,1,,No published competitive tender or scored selection criteria for METR vs Apollo vs FAR.AI (named later as third-party red teamer).,"This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primary openai-gpt5-system-card-20260916T093517Z.pdf."
A06,A,MDR,C08.E5,Anthropic endorsed ARC (later METR) as safety-audit partner from fall 2022 (Claude 2 model card),recipient,ARC; Alignment Research Center; later METR,Claude 2 model card 2023-07,Anthropic,,Alignment Research Center (ARC),lab-endorsed safety-audit collaboration,,,,,,,2023-07,month,,,,Claude 2 / earlier Claude snapshot safety audits,,,,,,,,,,,issuer statements,GET https://www-cdn.anthropic.com/bd2a28d2535bfb0494cc8e2a3bf135d2e7523226/Model-Card-Claude-2.pdf ; pdftotext -layout,https://www-cdn.anthropic.com/bd2a28d2535bfb0494cc8e2a3bf135d2e7523226/Model-Card-Claude-2.pdf,We have been working with the Alignment Research Center (ARC) since fall of 2022 to support their safety audits of our AI models.,2026-09-16T09:36:33Z,"Selector/endorser=Anthropic; process=ongoing collaboration from fall 2022 described on the model card (not a published competitive tender); document=Claude 2 Model Card; date=fall 2022 start, card July 2023",1,,Names ARC not METR. Entities not merged. No scored selection criteria.,"This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primary anthropic-claude2-model-card-20260916T093517Z.pdf."
A07,A,MDR,C08.E5,Anthropic named METR as conducting an initial exploration of Claude 3.5 Sonnet autonomy-relevant capabilities,recipient,METR,Claude 3 Model Card Addendum June 2024,Anthropic,,METR,lab-named external capability exploration,,,,,,,2024-06,month,,,,Claude 3.5 Sonnet autonomy-relevant capabilities,,,,,,,,,,,issuer statements,GET https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf ; pdftotext ; filter METR,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,"Additionally, METR [28] did an initial exploration of
the model’s autonomy-relevant capabilities.",2026-09-16T09:36:34Z,Selector/endorser=Anthropic; process=named external exploration on the addendum (not a published competitive tender); document=Claude 3 Model Card Addendum; UK AISI named separately as an external third-party evaluation partner on the same card,1,,UK AISI is a government evaluator named on the same document; not merged with METR. No scored METR-selection criteria.,"This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primary anthropic-claude-3-addendum-20260916T093517Z.pdf. Same card: 'we worked with external third party evaluation partners such as the UK Artificial Intelligence Safety Institute (UK AISI) to independently assess Claude 3.5 Sonnet.'"
A08,A,MDR,C08.E5,Anthropic selected METR (with Epoch AI) for pre-release external testing of Claude Mythos Preview,recipient,METR,Claude Mythos Preview system card §2.3.7,Anthropic,,METR,lab-selected pre-release external testing,,,,,,,2026-04-07,month,,,,Claude Mythos Preview external testing,,,,,,,,,,,issuer statements,GET https://www-cdn.anthropic.com/8b8380204f74670be75e81c820ca8dda846ab289.pdf ; pdftotext -f 1 -l 40 ; filter External testing / METR,https://www-cdn.anthropic.com/8b8380204f74670be75e81c820ca8dda846ab289.pdf,Both METR and Epoch AI tested Claude Mythos Preview prior to release and we incorporated their findings into our own overall risk assessment.,2026-09-16T09:36:58Z,"Selector=Anthropic; process=pre-release external testing named in §2.3.7 (not a published competitive tender); document=Mythos Preview system card; date=card's pre-release testing, PDF fetched this window",1,https://www-cdn.anthropic.com/0339e6a7c5c7b87f5c07798616dc32c215d14235/Claude%20Fable%205.1%20&%20Claude%20Mythos%205.1%20System%20Card.pdf,"Epoch Artificial Intelligence, Inc. is a separate legal entity. No scored selection criteria. Mythos 5.1 card (same window) says 'External testing by AI safety researchers at METR produced findings consistent with this assessment.'","This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primary anthropic-mythos-preview-20260916T093517Z.pdf. Sibling Mythos 5.1 card saved anthropic-mythos-5-1-20260916T093517Z.pdf."
A09,A,MDR,C08.E5,Anthropic signed an agreement selecting METR to independently investigate cybersecurity-evaluation incidents,recipient,METR,anthropic.com/research/alignment-assessment-cybersecurity-incidents,Anthropic,,METR,signed independent-investigation agreement,2026-09-09,,,,,,2026-09-09,day,"initial term eight weeks, extendable by mutual agreement",,,alignment assessment of cybersecurity-evaluation incidents,,,,wide-ranging access including transcripts beyond the incident window and Anthropic employees,,,,,,,issuer statements,GET https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents ; filter METR / agreement,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,"We have signed an agreement with METR to conduct an independent investigation of these incidents. Our agreement grants METR wide-ranging access, including to transcripts beyond the window in which the incidents occurred, and to Anthropic employees",2026-09-16T09:36:59Z,Selector=Anthropic; process=signed agreement (not a published competitive tender); document=Anthropic research page; date=page describes the signed agreement (fetched 2026-09-16); initial term eight weeks,1,,Page does not publish a competitive selection process or scored criteria for choosing METR. UK AISI is named separately for Mythos 5 testing.,"This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primary anthropic-cyber-incidents-20260916T093517Z.html. r.jina.ai of this URL returned HTTP 403."
A10,A,MDR,C08.E5,Amazon selected METR as independent auditor for Automated AI R&D on Nova Premier (and Nova 2),recipient,METR; Model Evaluation & Threat Research; Model Evaluation and Threat Research,arXiv 2507.06260; arXiv 2601.19134,Amazon,,METR,lab-selected independent auditor / third-party assessor,,,,,,,2025-07-07,day,,,,Nova Premier / Nova 2 Automated AI R&D critical-risk evaluation,,,,,,,,,,,issuer statements,GET https://arxiv.org/pdf/2507.06260 and https://arxiv.org/pdf/2601.19134 ; pdftotext ; filter METR / Independent auditors,https://arxiv.org/pdf/2507.06260,"Independent auditors (Nemesys Insights for CBRN and Model Evaluation & Threat Research (METR) for Automated AI R&D) reviewed results on test sets, scoring rubrics, and safety-judge notes to verify our internal findings.",2026-09-16T09:37:00Z,Selector=Amazon; process=lab-submitted logs/results to named independent auditors under Amazon's Frontier Model Safety Framework (not a published competitive tender); document=arXiv 2507.06260; date=paper 2025-07-07; Nova 2 paper 2601.19134 repeats the pairing,2,https://arxiv.org/pdf/2601.19134,Nemesys Insights LLC is a separate legal entity (CBRN). No RFP or scored METR-selection criteria on the papers.,"This lane's own fetch. research/STATE.md read 2026-09-16 before adding facts. Sibling MD19/MD20/MD21 CSVs and seed evals.csv were locators only; their checked_utc and award amounts were not copied as this lane's discovery. Alignment Research Center EIN 86-3605182 is not merged with Model Evaluation and Threat Research, Inc. EIN 99-1219864. no_kevinnbass_sources. Embargo: nothing sent or filed. Primaries amazon-nova-premier-arxiv-20260916T093517Z.pdf and amazon-nova2-arxiv-20260916T093517Z.pdf."
