# fetch_window_utc=2026-09-16T09:42:04Z/2026-09-16T09:48:10Z
# routes_used=metr.org/blog/2024-10-09-new-support-through-the-audacious-project/; metr.org/about; metr.org/blog/; metr.org/blog/2026-08-14-funding-update/; metr.org/news; www.rand.org/news/press/2024/10/09.html; www.rand.org/search.html?query=Canary+METR+Audacious; www.rand.org/news/press/2024/10.html; www.rand.org/global-and-emerging-risks/centers/ai-security-and-technology/projects/canary.html; www.rand.org/global-and-emerging-risks/centers/ai-security-and-technology/funding.html; www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand; audaciousproject.org same path; www.audaciousproject.org/ideas/project-canary-a-collaboration-between-metr-and-rand; www.audaciousproject.org/about; /faq; /news; /grantees; /sitemap.xml; www.ted.com/search?q=Canary+METR+RAND; www.ted.com/talks?q=Canary+Audacious; www.ted.com/talks/beth_barnes_canary; www.ted.com/talks/864574; www.ted.com/about/programs-initiatives/the-audacious-project; ideas.ted.com/?s=Canary+METR; blog.ted.com/the-audacious-project-reveals-its-2024-cohort/; greaterwrong Barnes comment w3e6cbHeozQJaJH5c; lesswrong.com HTML and /graphql; Wayback CDX + id_ 20241009132212 RAND, 20241103120028 METR, 20241106023027 Audacious; r.jina.ai Audacious canary and about; research/STATE.md read-before-facts; S0-seed-import.csv M57/M58/G14 and S2-lineage-import.csv FN605 as locators only
# caps_hit=Wayback CDX first GET HTTP 504 then retries HTTP 503 Internet Archive Temporarily Offline (RAND/METR/Audacious, 3 tries each); Wayback id_ captures HTTP 200; r.jina.ai HTTP 403 Cloudflare challenge; lesswrong.com HTML HTTP 429 (retry 429; GraphQL POST 200); ted.com/talks/beth_barnes_canary HTTP 404; ted.com/talks/864574 HTTP 404; metr.org/news HTTP 404; audacious /ideas/project-canary HTTP 404; TED search Sorry we couldn't find anything quite like that; ideas.ted.com Sorry we couldn't find the story; RAND search.html is a JS shell with no Canary string in recovered HTML; RAND news/press/2024/10.html HTML has no Canary string; TED talks?q=Canary+Audacious Algolia 24 unrelated video hits and 0 Canary-award talks
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; already-held Canary/Audacious figures (seed M57 ~$38M, seed M58 ~$17M, seed G14 Barnes bit-under-$16m/3 years, lineage FN605) re-fetched from live or archived primary this lane and cited by those row ids, not recollected as new discoveries; Valhalla/High Tide RAND Canary filings used only as locators (S0 M119/MDP0001, S0 High Tide/MDP0002, MD14 C18/C19) and not imported as new money
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDF,C06.E2,METR announcement: Audacious catalyzed approximately $38 million of funding for Canary,recipient,METR; Model Evaluation and Threat Research,sha256=2901b4015e28e138c6ca3b2b4c6533309bc8bcdce7cc4f24a09b6c4cf55b25e5,The Audacious Project,TED (housed-at; not a payer on this page),Canary (METR and RAND),award announcement,,,commitments,commitment,38000000,USD,2024-10-09,day,announcement date; term not stated on this page,committed; payment not stated,,Canary,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,"The Audacious Project catalyzed approximately $38 million of funding for Canary, a collaboration with METR and RAND focused on developing and deploying evaluations to monitor AI systems for dangerous capabilities. Approximately $17 million of this will support work at METR.",2026-09-16T09:42:06Z,METR states a catalyzed approximately $38 million of funding for Canary and names METR and RAND as the collaboration; term not stated,1,https://www.rand.org/news/press/2024/10/09.html,Verb is catalyzed not committed. Amount is approximately $38 million not an exact integer. A commitment is not a payment. Recipients are named jointly. Term/duration is not on this page.,"Re-fetched live HTTP 200 this lane. JSON-LD datePublished=2024-10-09T00:00:00-07:00. SHA-256=2901b4015e28e138c6ca3b2b4c6533309bc8bcdce7cc4f24a09b6c4cf55b25e5 saved metr-blog-2024-10-09_20260916T094204Z.html. Cites already-held seed M57/MDF0005 and lineage FN605/MDF0125 as locators; this row is METR's own wording of the joint figure, not a new amount. Entities unmerged: The Audacious Project, TED, METR, RAND, Canary. research/STATE.md read before facts."
A02,A,MDF,C06.E2,METR announcement: approximately $17 million of the Canary funding will support work at METR,recipient,METR,sha256=2901b4015e28e138c6ca3b2b4c6533309bc8bcdce7cc4f24a09b6c4cf55b25e5,The Audacious Project,TED (housed-at; not a payer on this page),METR,stated METR share of Canary funding,,,commitments,commitment,17000000,USD,2024-10-09,day,announcement date; term not stated on this page,committed; payment not stated,will support work at METR,Canary,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,Approximately $17 million of this will support work at METR.,2026-09-16T09:42:06Z,Quoted METR-side allocation of the Canary funding as stated by METR,1,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,Subset of the approximately $38 million sentence on the same page; not additive with A01. Approximately not exact. Payment not stated. Term not stated. Do not replace with the later Barnes bit-under-$16m restatement.,Same primary as A01. Cites already-held seed M58/MDF0006. Same SHA-256. money_type=commitment because METR describes support of work not a receipt. A commitment is not a payment and an award is not a receipt.
A03,A,MDE,C06.E2,"Legal recipients named on METR's Canary announcement: METR and RAND, unmerged",project,Canary; Project Canary (archive wording),,The Audacious Project,,METR; RAND,named collaboration recipients,,,,,,,2024-10-09,day,,,,Canary,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,"The Audacious Project catalyzed approximately $38 million of funding for Canary, a collaboration with METR and RAND focused on developing and deploying evaluations to monitor AI systems for dangerous capabilities.",2026-09-16T09:42:06Z,Named legal recipients on METR's page are METR and RAND; Canary is the project name,1,,Canary the project is not a legal recipient. METR and RAND stay unmerged. TED is housed-at not a recipient.,"Same primary as A01. Recipients, grantmakers, The Audacious Project, TED, RAND, METR and the Canary project kept separate."
A04,A,MDF,C06.E2,RAND announcement: Audacious committed approximately $38 million to RAND and METR for Canary,recipient,RAND Corporation,sha256=e334d6de2dd1d9b438786d88ef2d6961f1be9f2647cf2883ad69411bf5db136b,The Audacious Project,TED (housed-at; not a payer on this page),RAND and METR,award announcement,,,commitments,commitment,38000000,USD,2024-10-09,day,"For Release Wednesday October 9, 2024; term not stated on this page",committed; payment not stated,,Canary,,,,,,,,,,,issuer statements,GET https://www.rand.org/news/press/2024/10/09.html,https://www.rand.org/news/press/2024/10/09.html,"The Audacious Project, a collaborative funding initiative housed at TED, has committed approximately $38 million to RAND and METR for Canary, a new research collaboration designed to help make future AI systems safer.",2026-09-16T09:42:18Z,RAND states a commitment of approximately $38 million to RAND and METR for Canary; JSON-LD datePublished 2024-10-09T12:00:00Z; term not stated,1,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,Joint to_entity RAND and METR. Approximate. No per-recipient split on this page. No award term. Headline uses to Receive which is not a receipt record.,"Re-fetched live HTTP 200 this lane. NewsArticle datePublished=2024-10-09T12:00:00Z. SHA-256=e334d6de2dd1d9b438786d88ef2d6961f1be9f2647cf2883ad69411bf5db136b saved rand-press-2024-10-09_20260916T094216Z.html. Cites already-held seed M57/MDF0005 and lineage FN605/S2-lineage-import.csv#32/MDF0125 as locators; this is RAND's own wording, not a new amount. Same $38 million as A01; not additive. RAND, METR, The Audacious Project, TED, Canary unmerged."
A05,A,MDR,C06.E2,RAND names RAND and METR as contributors and Ella Guest and Beth Barnes as Canary leads,,,,RAND Corporation,,METR,named project collaboration,,,,,,,2024-10-09,day,,,,Canary,,,,,,,,"RAND researcher Ella Guest and Beth Barnes, the founder and head of research at METR will lead the research efforts for Canary",,,issuer statements,GET https://www.rand.org/news/press/2024/10/09.html,https://www.rand.org/news/press/2024/10/09.html,"Researchers from nonpartisan, nonprofit RAND and METR, an AI evaluation research nonprofit, will each contribute to the project, building on their collective expertise in misuse risk and AI system autonomy, respectively.",2026-09-16T09:42:18Z,Legal recipients named by RAND: RAND and METR; public-role leads named,1,,"Each contribute is not a dollar split. Named people are public roles on the announcement, not a money flow.",Same primary as A04. Beth Barnes and Ella Guest named only as public project leads. Quote also present as: the founder and head of research at METR will lead the research efforts for Canary. Entities unmerged.
A06,A,MDP,C06.E2,Audacious Project grantee page states Canary as a 2024 METR and RAND collaboration and does not state a dollar commitment or award term,project,Canary; Project Canary (2024-11-06 archive title),sha256=c6823dacaf51109efbaa3dd326b01468f57112039437c00a3fe179821c7dba1e,The Audacious Project,,METR; RAND,grantee listing,,,,,,,2024,year,page tag | 2024; Last Published Fri Apr 17 2026 18:40:19 GMT,,,Canary,,,,"By 2027, Canary aims to enable any new AI system to undergo rigorous safety evaluations (project aim, not an award term)",,,,,,,issuer statements,GET https://www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand,https://www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand,Canary: A collaboration between METR and RAND | The Audacious Project,2026-09-16T09:42:26Z,Audacious names METR and RAND as Canary collaborators and tags 2024; no dollar amount and no award term on the recovered page,1,https://www.audaciousproject.org/about,Audacious's own page does not restate the $38 million or $17 million figures. By 2027 is a project aim not a grant term. Amount fields left empty rather than copied from RAND/METR.,"Live HTTP 200. SHA-256=c6823dacaf51109efbaa3dd326b01468f57112039437c00a3fe179821c7dba1e saved audacious-canary-www_20260916T094224Z.html. Apex host also HTTP 200 (audacious-canary-apex_20260916T094226Z.html). Sitemap n=244 with one Canary loc. Do not import RAND/METR dollar figures onto this issuer. Plan sentence also on page: By 2027, Canary aims to enable any new AI system to undergo rigorous safety evaluations."
B01,B,MDP,C06.E2,"RAND About the Audacious Project boilerplate names Gates, ELMA, Emerson, MacKenzie Scott, Skoll, Valhalla as the funding collective generally, not as Canary-specific funders",,,,Bill & Melinda Gates Foundation; ELMA Philanthropies; Emerson Collective; MacKenzie Scott; Skoll Foundation; Valhalla Foundation,The Audacious Project,2024 Audacious cohort (including Canary among other grantees),named as Audacious funding collective generally,,,,,,,2024-10-09,day,,,,Canary,,,,,,,,,"adjacency / cohort context, not a documented Canary-specific transaction",no,issuer statements,GET https://www.rand.org/news/press/2024/10/09.html About the Audacious Project paragraph,https://www.rand.org/news/press/2024/10/09.html,"ELMA Philanthropies, Emerson Collective, MacKenzie Scott, Skoll Foundation, Valhalla Foundation",2026-09-16T09:42:18Z,Funders named for the Audacious funding collective generally; the same paragraph then lists 2024 grantees including Canary among nine other projects,6,https://www.audaciousproject.org/about#partners,Membership in the named collective is not a Canary-specific funder disclosure. The 2024 grantees list is cohort membership not a per-project payer list. Do not treat Gates/ELMA/Emerson/Scott/Skoll/Valhalla as documented Canary payers from this paragraph.,"Distinction is on this row: cohort-generally, not Canary-specific. Lead-in also on page: The funding collective is made up of respected organizations and individuals in philanthropy, including RAND HTML uses the Bill &amp; Melinda Gates Foundation (entity in source). Legal entities unmerged including MacKenzie Scott the named individual vs any foundation. Valhalla Foundation TY2024 RAND Project Canary filed grant is locator only (S0 overlapping MDP0001 / MD14 C18) and is not recollected as new money here (MD17)."
B02,B,MDP,C06.E2,METR copies the same Audacious funding-collective boilerplate; still cohort-generally not Canary-specific,,,,Bill & Melinda Gates Foundation; ELMA Philanthropies; Emerson Collective; MacKenzie Scott; Skoll Foundation; Valhalla Foundation,The Audacious Project,2024 Audacious cohort,named as Audacious funding collective generally,,,,,,,2024-10-09,day,,,,Canary,,,,,,,,,"adjacency / cohort context, not a documented Canary-specific transaction",no,issuer statements,GET https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/ ABOUT THE AUDACIOUS PROJECT paragraph,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,"ELMA Philanthropies, Emerson Collective, MacKenzie Scott, Skoll Foundation, Valhalla Foundation",2026-09-16T09:42:06Z,Same six names as RAND boilerplate with METR omitting the before Bill; still the collective generally,6,,Not a Canary-specific funder disclosure. METR wording Bill &amp; Melinda Gates Foundation vs RAND the Bill &amp; Melinda Gates Foundation; kept as each issuer wrote it.,Cohort-generally not Canary-specific. High Tide Foundation is not in this boilerplate; it appears on the Audacious partners page (B04) and on RAND's AIST center funding list (B06).
B03,B,MDS,C06.E2,Audacious Canary grantee page names no dollar funders for Canary,,,,The Audacious Project,,Canary (METR and RAND),,,,,,,,,,,,,Canary,,,,,,,,,,,issuer statements,GET https://www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand ; search Gates|ELMA|Valhalla|funder|million|$,https://www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand,none found in www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand as of 2026-09-16T09:42:26Z,2026-09-16T09:42:26Z,none found in www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand as of 2026-09-16T09:42:26Z,0,,Page names METR and RAND as collaborators and describes the idea; it does not name a Canary-specific dollar funder. Relevant Stats CMS fields are empty (w-dyn-bind-empty).,Bounded negative for project-specific funder names on Audacious's own Canary page. Blind spot: Webflow CMS may hide stats; recovered HTML has w-dyn-bind-empty on the stats block. SHA-256=c6823dacaf51109efbaa3dd326b01468f57112039437c00a3fe179821c7dba1e.
B04,B,MDP,C06.E2,"Audacious About partners list is the project-wide partner set, including High Tide Foundation, not a Canary-specific funder list",,,,The Audacious Project,,Audacious partners generally,partner list (cohort/program generally),,,,,,,2026-09-16,day,,,,,,,,,,,,,adjacency / membership only,no,issuer statements,GET https://www.audaciousproject.org/about ; Partners & Individuals block,https://www.audaciousproject.org/about,"We would like to recognize the many parties who have come together to make The Audacious Project possible. They have contributed in various roles: as donors, thought partners, in project sourcing, due diligence, as catalysts, and more.",2026-09-16T09:42:31Z,Partner list is for The Audacious Project possible generally; High Tide Foundation appears on this list and not on the RAND/METR Canary boilerplate,1,https://www.audaciousproject.org/faq,"A current partner list is not evidence a named partner funded Canary. Roles include donors, thought partners, sourcing, due diligence, catalysts. Page appearance is not a transaction date.","SHA-256=c57720fc77bbed9c30af7c878c4be56be9cb3a97be60343d62410c14242d3cec saved audacious-about_20260916T094229Z.html. High Tide Foundation string present on this partners page. High Tide TY2024 RAND Project Canary filed grant is locator only (MDP0002 / MD14 C19), not recollected as new money (MD17). MD15 owns partner chronology."
