# metr_deep MDI table in_kind_access.csv; scaffolded by scripts/build_tables.py 2026-09-16T04:35:09Z; ids MDINNN; rows enter only through `python3 -m casework promote` from a reviewed lane, or from a reviewed seed import named in note; rows are never deleted, corrections append an audit note
row_id,provider,to_entity,project,in_kind_type,quantity_or_value,terms,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,review_verdict,lane,note
MDI0001,frontier AI companies (unspecified),METR,,free tokens,not quantified,,S0 seed import,MDI,C04.E1;C03.E2,,,,,,,,,,,,,,2026-09-13,,,,,,,,,,,issuer statements,,https://metr.org/about,"METR has not accepted funding from AI companies, though we make use of significant free tokens, which we use for evaluations, research, and engineering, as noted above.",2026-09-14T00:00:00Z,,,,free resources are not cash and are never carried into a money total,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/compute_inkind.csv; seed_row_id=K01; seed_sha256=c78e7000dd67d8e43f1d503e8306b31aa4c15005437f5e8c59f15e698c94535a; lane=research/grok-out/S0-seed-import.csv#32; review=research/agents-2026-09-15/S0-seed-import.md"
MDI0002,OpenAI,METR,OpenAI / Hugging Face incident investigation,API credits,"~$400,000 (single investigation, not an annual total)",,S0 seed import,MDI,C04.E1,,,,,,,,,,,,,,2026-08-26,,,,,,,,,,,project documents,,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,We estimate we spent roughly ~$400K in API credits over the six days of our investigation.,2026-09-14T00:00:00Z,,,,,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/compute_inkind.csv; seed_row_id=K05; seed_sha256=c78e7000dd67d8e43f1d503e8306b31aa4c15005437f5e8c59f15e698c94535a; lane=research/grok-out/S0-seed-import.csv#33; review=research/agents-2026-09-15/S0-seed-import.md"
MDI0003,CAISI / NIST,METR,,access to private benchmarks (slide grouping),not disclosed on this slide,,B,MDI,C06.E3,CAISI March 2026 slide lists METR under CRADAs and DTAs (private-benchmark access),recipient,METR,,Center for AI Standards and Innovation (CAISI) / NIST,,CRADA/DTA listing (instrument not published on this slide),,,,,,,2026-03-27,month,not stated on this slide,,,,,,,,"no; slide lists organizations, not a signed instrument or payment",issuer statements,GET https://www.nist.gov/system/files/documents/2026/03/27/03_AI%20Update-March.pdf ; pdftotext of saved bytes,https://www.nist.gov/system/files/documents/2026/03/27/03_AI%20Update-March.pdf,"CRADAs and DTAs     •   Access to private benchmarks                       METR, Scale
                    •   Access to proprietary data to assist tracking of   AI, RAND, SecureBio, Carnegie
                        AI diffusion                                       Mellon, University of Illinois, C",2026-09-16T07:27:11Z,"METR named on CAISI CRADAs and DTAs row with Scale AI, RAND, SecureBio, Carnegie Mellon, University of Illinois, CSIS, and more, plus 290+ organizations via the AI Consortium CRADA; award id, obligated and potential value, period, and METR share not disclosed",1,,"Slide layout splits organization names across columns. It does not print a CRADA number, dollars, start/end dates, or whether METR's listing is bilateral vs the consortium CRADA. Not a procurement award.",CONFIRMED,,"Primary nist-caisi-march-pdf-20260916T072712Z.pdf (2792194 bytes). money_type left empty: no amount is stated so none is guessed. In-kind access is the slide's 'Access to private benchmarks' bullet, not a cash award.; lane=research/grok-out/MD21-us-public-sector-awards.csv#B02; review=research/agents-2026-09-16/MDREVIEW-MD21.md"
MDI0004,AI Safety Institute (UK),METR,,unpublished evaluation work showcased at the AI Safety Summit,undisclosed,,B,MDI,C06.E3;C04.E1,"AISI approach-to-evaluations (GOV.UK) quotes working with METR (formerly ARC Evals), including unpublished METR work at the Summit — unquantified",,METR; ARC Evals; Model Evaluation and Threat Research,,AI Safety Institute / AI Security Institute,,collaboration / in-kind showcase,,,,,,,,,,,,,,,,named collaboration without a contract value,,project documents,GET https://www.gov.uk/government/publications/ai-safety-institute-approach-to-evaluations/ai-safety-institute-approach-to-evaluations ; AISI blog HTML of the same title recovered no METR string,https://www.gov.uk/government/publications/ai-safety-institute-approach-to-evaluations/ai-safety-institute-approach-to-evaluations,"We worked with <abbr title=""Model Evaluation and Threat Research"">METR</abbr> to showcase some of this content, including unpublished work by <abbr title=""Model Evaluation and Threat Research"">METR</abbr>, at the Summit. This included one example looking at whether an <abbr title=""artificial intelli",2026-09-16T08:27:55Z,"Verbatim AISI/GOV.UK collaboration with METR; no tokens, credits, compute figure or GBP contract value in the checked document.",1,https://evals.alignment.org/Evaluating_LMAs_Realistic_Tasks.pdf,In-kind showcase is not a payment. Compute/tokens not quantified here. Unpublished METR work is named but not published (see D03). aisi.gov.uk/blog/our-approach-to-evaluations recovered HTML this run contains no METR string (CMS/JS); GOV.UK HTML of the same publication does.,CONFIRMED,,Task B verbatim AISI publication on GOV.UK. Quote is a contiguous substring of govuk-aisi-evals-approach-html_20260916T082755Z.html. AISI blog capture aisi-blog-approach-evals_20260916T082748Z.html.; lane=research/grok-out/MD19-uk-aisi-contracts.csv#B03; review=research/agents-2026-09-16/MDREVIEW-MD19.md
MDI0005,METR,METR,,guidance / help on evaluations,undisclosed,,B,MDI,C04.E1,AISI evals-bounty acknowledgements thank METR for guidance and help — unquantified in-kind,,METR,,AI Security Institute,,acknowledged guidance,,,,,,,,,,,,,,,,acknowledgement without a contract or quantity,,project documents,GET https://www.aisi.gov.uk/blog/evals-bounty acknowledgements,https://www.aisi.gov.uk/blog/evals-bounty,"We also thank METR for their guidance and help.</p></div></div><div class=""padding-md""></div></div><div class=""w-condition-invisible""><div class=""rtf-footnotes w-dyn-bind-empty w-richtext""></div></div><div class=""avatar-wrapper hide""><a href=""#"" class=""avatar w-inline-block""><img src=""https://cdn.pr",2026-09-16T08:27:49Z,"AISI thanks METR for guidance; no tokens, credits, compute figure or GBP amount.",1,,An acknowledgement is not a procurement award and is not a quantified in-kind estimate.,CONFIRMED,,Task B/C04.E1. Saved aisi-blog-evals-bounty_20260916T082749Z.html. Quote is a contiguous substring of the HTML.; lane=research/grok-out/MD19-uk-aisi-contracts.csv#B09; review=research/agents-2026-09-16/MDREVIEW-MD19.md
MDI0006,OpenAI; Anthropic; Google DeepMind; Meta; Amazon,METR,,access and tokens,,,C,MDI,C03.E2,"METR home: labs provided access and tokens (in-kind, not a payment)",recipient,,,OpenAI; Anthropic; Google DeepMind; Meta; Amazon,,stated access and tokens for evaluations,,,,,,,,,,,,,,,,,no,issuer statements,GET https://metr.org/,https://metr.org/,"These companies have also provided access and tokens, which we use for evaluations, research, and engineering. We are also part of the NIST AI Safety Institute Consortium and",2026-09-16T09:19:56Z,"in-kind access/tokens disclosed; not typed as payment, contract, sponsorship or donation; quantity not quantified",1,,"Providers are listed as a group. Quantity, contract terms and dollar value are undisclosed here (MD26/MD27). Not summed with any money_type.",CONFIRMED,,"money_type left empty: not a payment and no in_kind_estimate figure is stated. Entities remain unmerged. research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary metr-org-home-20260916T091956Z.html.; lane=research/grok-out/MD32-lab-money-negative-sweep.csv#C07; review=research/agents-2026-09-16/MDREVIEW-MD32.md"
MDI0007,Anthropic; Google DeepMind; Meta; OpenAI,METR,"METR Frontier Risk Report, February–March 2026",API access with chain-of-thought visibility,"requested rate limits of at least 4M input tokens/min, 1M output tokens/min, 1K requests/min",API access with chain-of-thought visibility; ZDR if possible; companies not permitted to train on evaluation tasks,A,MDI,C04.E2,"Frontier Risk Report pilot: API access with chain-of-thought, rate limits, ZDR request",project,FRR; AEF-1 pilot,metr.org/risk-report-feb-mar-2026.pdf,Anthropic; Google DeepMind; Meta; OpenAI,,nonpublic model access for industry-level assessment,2026-02-16,2026-03-16,,,,,2026-05-19,day,"Feb 16, 2026 – Mar 16, 2026 assessment window",,,,,,,,,project documents,GET https://metr.org/risk-report-feb-mar-2026.pdf,https://metr.org/risk-report-feb-mar-2026.pdf,"API access with chain-of-thought visibility, so that we could examine the model's reasoning during evaluations and test chain-of-thought monitoring.",2026-09-16T09:30:49Z,query access and CoT requested of each FRR participant; complimentary access stated in AEF-1 table,1,https://metr.org/blog/2026-05-19-frontier-risk-report/,Which company shared which internal model is not identified in the public report.,CONFIRMED,,"Re-verified this run against the saved primary; STATE.md seed/locator (free tokens, API credits, FRR disclosure) not re-collected as a new discovery. no_kevinnbass_sources. research/STATE.md read before adding facts. Access terms are those of this FRR engagement only; not copied onto later investigations. primary=metr-org-frr-pdf-20260916T093049Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#A01; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDI0008,Anthropic; Google; Meta; OpenAI,METR,"METR Frontier Risk Report, February–March 2026",complimentary model access,,Participants provided complimentary access to their models,A,MDI,C04.E2,FRR participants named and complimentary model access,project,,,Anthropic; Google; Meta; OpenAI,,,2026-02-16,2026-03-16,,,,,2026-05-19,day,,,,,,,,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/,https://metr.org/blog/2026-05-19-frontier-risk-report/,"All participants (Anthropic, Google, Meta, and OpenAI) stated that the model(s) they shared represented their internal state-of-the-art at some point in the mid-February to mid-March 2026 assessment window.",2026-09-16T09:19:28Z,four named participants; complimentary access in AEF-1 2.1 notes,4,https://metr.org/risk-report-feb-mar-2026.pdf,"Amazon is not named as an FRR participant on this page. xAI is named among companies invited in the PDF, not as a remaining participant.",CONFIRMED,,"Re-verified this run against the saved primary; STATE.md seed/locator (free tokens, API credits, FRR disclosure) not re-collected as a new discovery. no_kevinnbass_sources. research/STATE.md read before adding facts. Locator: STATE.md FRR disclosure. Re-verified this fetch. primary=metr-org-frontier-risk-report-20260916T091928Z.html; lane=research/grok-out/MD27-access-and-project-terms.csv#A02; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDI0009,OpenAI,METR,OpenAI / Hugging Face incident investigation,message-board dump; transcripts; free API credits; on-premises access,~1.2 million message-board entries; ~1300 transcripts; ~$400K API credits (METR estimate); six days on premises,OpenAI defined the investigation period; HPIM query withheld; datasets by request,A,MDI,C04.E2,"OpenAI/Hugging Face investigation: message-board dump, transcripts, Sol credits, on-premises days",project,,,OpenAI,Redwood Research (Ryan Greenblatt contracting with METR),incident investigation access,2026-06-26,2026-07-13,,in_kind_estimate,400000,USD,2026-08-26,day,"OpenAI-defined investigation period June 26–July 13, 2026; six days on premises",,,,,,,,,project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf,https://metr.org/hugging-face-incident-report-aug-2026.pdf,"OpenAI provided us with the dump of ~1.2 million entries from the main message board and the dataset of ~1300 transcripts we describe below, as well as free API credits for GPT-5.6 Sol for analysis.",2026-09-16T09:19:59Z,access as described; credits are in_kind_estimate not cash; not summed with any money total,1,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,Investigation period start date rests on an OpenAI statement METR could not independently confirm (report fn42).,CONFIRMED,,"Re-verified this run against the saved primary; STATE.md seed/locator (free tokens, API credits, FRR disclosure) not re-collected as a new discovery. no_kevinnbass_sources. research/STATE.md read before adding facts. Seed MDI0002/K04–K05 were locators only. Terms of this investigation are not copied onto Anthropic's later agreement. primary=metr-org-hf-incident-report-pdf-20260916T091959Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#A03; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
MDI0010,OpenAI,METR,OpenAI / Hugging Face incident investigation,withheld model query (HPIM); request-based datasets,,no HPIM query; no direct OpenAI-infrastructure access; additional datasets on request,A,MDI,C04.E2,HF investigation: HPIM query withheld; no direct infrastructure access,,,,OpenAI,,,,,,,,,2026-08-26,day,,,,,,,,,,project documents,GET https://metr.org/hugging-face-incident-report-aug-2026.pdf,https://metr.org/hugging-face-incident-report-aug-2026.pdf,We did not have the ability to query HPIM (the primary model involved in this incident); OpenAI stated it was also not available to OpenAI researchers.,2026-09-16T09:19:59Z,"HPIM withheld from METR and, per OpenAI, from OpenAI researchers",1,,Completeness of transcripts rests on OpenAI attestation plus METR inspection.,CONFIRMED,,"Re-verified this run against the saved primary; STATE.md seed/locator (free tokens, API credits, FRR disclosure) not re-collected as a new discovery. no_kevinnbass_sources. research/STATE.md read before adding facts. primary=metr-org-hf-incident-report-pdf-20260916T091959Z.pdf; lane=research/grok-out/MD27-access-and-project-terms.csv#A04; review=research/agents-2026-09-16/MDREVIEW-MD27.md"
