# fetch_window_utc=2026-09-16T10:01:13Z/2026-09-16T10:06:42Z
# routes_used=metr.org/about; metr.org/blog/2026-08-14-funding-update; www.lcsf.org (home,frontier,grants,carpinteria,hea,sitemap); astralisfoundation.org (home,our-people,grants 404,donation-acceptance-policy); www.expa.org; expa.com; camp.org; ProPublica API/org pages; GivingTuesday 990-PF XML (LaCentra object_ids 202202909349100745,202311029349102446,202402889349101005,202502889349100435; Expa 202243199349105784,202333189349106013,202513219349106941,202523219349106192); IRS EO BMF eo_ca.csv; IRS e-file index_2024.csv,index_2025.csv,index_2026.csv streamed; Companies House 15917880 including YE 2025-08-31 accounts iXBRL+PDF; Charity Commission search; CA OAG/RCT/RCF/SOS; Länsstyrelsen Stiftelsesök källfil /Öppendata/Json; Wayback id_ 20251207085707 and 20251216013159 metr.org/about; stiftelsemedel.se; allabolag.se
# caps_hit=IRS TEOS web 403 Access Denied; r.jina.ai 403; CA RCT Search.aspx HTTP 404; CA RCF publicPortal JS-only; CA OAG /charities/search 404; Charity Commission search JS-thin; bolagsfakta.se 403 Cloudflare; Länsstyrelsen legacy naringsliv-och-foreningar/stiftelser path 404; Stiftelsesök HTML Sok/Stiftelse paths 404 (JSON källfil 200); OpenCorporates hCaptcha; ProPublica full_text_search Astralis HTTP 429; lcsf.org apex TLS hostname mismatch (www.lcsf.org used); CA SOS bizfile iframe challenge
# no_kevinnbass_sources=true
# lane=MD06; element_ids=C02.E2; embargo=fetch-only no contact; this run re-fetched after 2026-09-16T09:45:37Z; medium-run 05:35Z-05:43Z archive used only as a lead
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDE,C02.E2,LaCentra-Sumerlin,private foundation,LaCentra-Sumerlin Foundation; La Centra-Sumerlin Foundation; Lacentra-sumerlin Foundation; LACENTRA-SUMERLIN FOUNDATION; LCSF; LA CENTRA-SUMERLIN FOUNDATION,EIN 77-0416683,,,,,,,,,,,,,,,,,,,,,,,,,,,funder filings,GivingTuesday XML object_id=202502889349100435 Form 990-PF header,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202502889349100435_public.xml,"<EIN>770416683</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>LA CENTRA-SUMERLIN FOUNDATION</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>LACE</BusinessNameControlTxt>
      <PhoneNum>8059699292</PhoneNum>
      <USAddress>
        <AddressLine1Txt>PO BOX 5609<",2026-09-16T10:01:25Z,legal name LA CENTRA-SUMERLIN FOUNDATION; EIN 77-0416683; Form 990-PF; Organization501c3ExemptPFInd=X; PrivateOperatingFoundationInd=0; period ending 2024-11-30; California,1,FYE Nov 2025 Form 990-PF (ProPublica /770416683/202511 HTTP 404 this fetch; latest_object_id=202502889349100435; index_2026.csv 0 hits),"IRS BMF NAME is LACENTRA-SUMERLIN FOUNDATION; 990-PF prints LA CENTRA-SUMERLIN FOUNDATION. Same EIN. Not a DAF, not a public charity, not a 990-N filer.","Jurisdiction: California, United States. Class: private non-operating foundation. Do not merge with the Frontier Fund (a named sub-fund of this foundation, not a separate EIN). Primary saved lacentra-990pf-fye2024-20260916T100125Z.xml."
2,A,MDE,C02.E2,LaCentra-Sumerlin,private foundation,LACENTRA-SUMERLIN FOUNDATION,EIN 77-0416683,,,,,,,,,,,,,,,,,,,,,,,,,,,IRS TEOS and e-file index,IRS EO BMF extract eo_ca.csv filter EIN=770416683 or EIN=832856275,https://www.irs.gov/pub/irs-soi/eo_ca.csv,"770416683,LACENTRA-SUMERLIN FOUNDATION,% MAURICE DUCA,2173 ORTEGA HILL RD SUITE B,SUMMERLAND,CA,93067-8045,0000,03,3,1000,199605,2,04,602000000,1,01,202411,8,7,00,1,11,36178366,8613023,,T99Z,
832856275,EXPA ORG,% ROBERTO SANABRIA,8605 SANTA MONICA BLVD 79245,WEST HOLLYWOOD,CA,90069-4109,0000,03,3,10",2026-09-16T10:01:26Z,BMF row: NAME=LACENTRA-SUMERLIN FOUNDATION; SUBSECTION=03; FOUNDATION=04; PF_FILING_REQ_CD=1; STATUS=01; RULING=199605; TAX_PERIOD=202411; CITY=SUMMERLAND STATE=CA,1,IRS TEOS interactive details (HTTP 403 this fetch),FOUNDATION code 04 is private non-operating foundation. TEOS HTML details were 403; BMF extract is the IRS index used.,"Saved two-row extract of the official CA BMF file (203174 lines scanned, 2 EIN matches). Full California extract was streamed not stored. Companion EXPA ORG row is in the same extract."
3,A,MDE,C02.E2,LaCentra-Sumerlin,private foundation,LaCentra-Sumerlin Foundation; Frontier Fund,EIN 77-0416683,,,,,,,,,,,,,,,,,,,,,,,,,,,self-statements,GET https://www.lcsf.org/,https://www.lcsf.org/,"The LaCentra-Sumerlin Foundation is a private foundation that makes grants through three independent funds — each with its own focus, geography, and process.</h1>
    <p class=""lcsf-hero-sub"">Find the fund that fits your work.</p>
  </div>
</section>

<!-- Fund Cards -->
<section class=""lcsf-cards-s",2026-09-16T10:01:13Z,"Issuer site: private foundation; three funds including Frontier Fund (science/technology, by invitation).",1,,Site does not print the EIN; EIN comes from IRS BMF / 990-PF.,"Entity-site confirmation of class (private foundation) and of the Frontier Fund as a sub-fund, not a separate legal entity. Sitemap paths: /home /carpinteria /hea /frontier /grants only."
4,A,MDE,C02.E2,Astralis,private foundation,Astralis Foundation; Stiftelsen Astralis,802482-2317,,,,,,,,,,,,,,,,,,,,,,,,,,,self-statements,GET https://astralisfoundation.org/ footer (live HTML; r.jina.ai HTTP 403 this fetch),https://astralisfoundation.org/,Astralis Foundation is a Not-for-profit Private Limited Company by guarantee in the UK with company number: 15917880. Stiftelsen Astralis is a Swedish foundation (avkastningsstiftelse) with company number: 802482-2317. Both legal entities collaborate closely under the ‘Astralis Foundation’ name.</p>,2026-09-16T10:01:15Z,"Swedish foundation Stiftelsen Astralis, org.nr 802482-2317, class avkastningsstiftelse; UK company 15917880 named in the same footer. Site based in Stockholm.",1,Länsstyrelsen stiftelseregister källfil record ID 1032015; annual accounts for 802482-2317,"Not a US Form 990 filer. Do not merge with UK company 15917880, Belgian Fondation Astralis (astralis.be), or Astralis esports (astralis.gg).",Issuer footer names two collaborating legal entities under the Astralis Foundation brand. This row is the Swedish stiftelse only. Live HTML contained the footer (Next.js SSR); r.jina.ai was 403 so was not used for this quote.
5,A,MDE,C02.E2,Astralis,private foundation,Stiftelsen Astralis; Astralis Foundation,802482-2317,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,Länsstyrelsernas Stiftelsesök källfil GET /Öppendata/Json ; filter ORGNR=802482-2317,https://stiftelser.lansstyrelsen.se/Öppendata/Json,"""NAMN"": ""Stiftelsen Astralis"",
    ""ORGNR"": ""802482-2317"",
    ""COADRESS"": ""Sverker och Jeanette Skoglund"",
    ""ADRESS"": ""Ringvägen 55b"",
    ""POSTNR"": ""181 51"",
    ""ORT"": ""LIDINGÖ"",
    ""TELEFON"": ""0766 29 32 39"",
    ""TYP"": 6,
    ""LANKOD"": 1,
    ""KOMMUNKOD"": 186,
    ""ANDAMAL"": ""Stiftelsen bil",2026-09-16T10:01:36Z,Official Swedish stiftelseregister dump: NAMN=Stiftelsen Astralis; ORGNR=802482-2317; TYP=6; ORT=LIDINGÖ; LANKOD=1 (Stockholm). Record ID 1032015.,1,Stiftelsen Astralis annual accounts filed with Länsstyrelsen (not in this källfil),"Källfil is a daily registry extract (identity, ändamål, styrelse), not a grant schedule. HTML Stiftelsesök search paths 404'd; JSON dump worked.",Primary: full källfil stiftelser-opendata-file-20260916T100136Z.bin (22504526 bytes) plus one-record extract stiftelser-astralis-extract-20260916T100642Z.json. Keep unmerged from UK company 15917880.
6,A,MDE,C02.E2,Astralis,operating company,ASTRALIS FOUNDATION (UK); Astralis Foundation,15917880,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET Companies House company 15917880,https://find-and-update.company-information.service.gov.uk/company/15917880,"Private Limited Company by guarantee without share capital use of &#39;Limited&#39; exemption
                </span>

            </dd>
        </dl>

        <dl class=""column-third"">
                <dt id=""company-birth-type"">Incorporated on</dt>
                <dd class=""data"" id=""company-crea",2026-09-16T10:01:21Z,"UK company ASTRALIS FOUNDATION number 15917880, incorporated 27 August 2024, St. Albans England, private limited by guarantee, SIC 85590, Active. Not a Charity Commission registered charity.",1,next UK accounts made up to 31 August 2026 due 31 May 2027,"Operating company (company limited by guarantee), not a US private foundation, public charity, or DAF. Keep separate from Stiftelsen Astralis 802482-2317.","Registered office Arquen House, 4-7 Spicer Street, St. Albans, England, AL3 4PQ. Issuer footer states the same UK company number. Charity Commission search returned no registered-charity result card (Task E)."
7,A,MDE,C02.E2,Expa.org,private foundation,EXPA ORG; EXPAORG; Expa Org; expa.org,EIN 83-2856275,,,,,,,,,,,,,,,,,,,,,,,,,,,funder filings,GivingTuesday XML object_id=202523219349106192 Form 990-PF header,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523219349106192_public.xml,"<EIN>832856275</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>EXPAORG</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>EXPA</BusinessNameControlTxt>
      <PhoneNum>4153922123</PhoneNum>
      <USAddress>
        <AddressLine1Txt>8605 SANTA MONICA BLVD 79245</Addr",2026-09-16T10:01:25Z,legal name on 990-PF: EXPAORG; EIN 83-2856275; Organization501c3ExemptPFInd=X; PrivateOperatingFoundationInd=0; tax year 2024 ending 2024-12-31; West Hollywood CA,1,TY2025 Form 990-PF (latest_object_id=202523219349106192; index_2026.csv 0 hits),IRS BMF NAME is EXPA ORG; 990-PF prints EXPAORG. Same EIN. Do not merge with Expa the startup studio (expa.com) or Camp.org.,"California private non-operating foundation (BMF FOUNDATION=04). ProPublica organization record names Expa Org, foundation_code 4, tax_period 2024-12. Primary saved expa-990pf-ty2024-20260916T100125Z.xml."
8,A,MDE,C02.E2,Expa.org,operating company,Expa; expa.com,expa.com (distinct from EIN 83-2856275),,,,,,,,,,,,,,,,,,,,,,,,,,,self-statements,GET https://expa.com/,https://expa.com/,"Expa combines design expertise, operational support, and capital to turn bold ideas into category-defining companies.""/><meta property=""og:type"" content=""website""/><meta property=""og:title"" content=""Expa""/><meta property=""og:description"" content=""Expa combines design expertise, operational support, ",2026-09-16T10:01:15Z,"expa.com is a separate operating company / startup studio from the Expa.org private foundation. METR names Expa.org, not expa.com.",1,,This row exists only to keep the studio and the foundation unmerged.,METR about page and logo alt text say Expa.org. The 990-PF filer is EXPAORG EIN 83-2856275. camp.org is a further distinct nonprofit (not merged).
9,B,MDR,C02.E2,LaCentra-Sumerlin,private foundation,LaCentra-Sumerlin Foundation,named as LaCentra-Sumerlin Foundation on metr.org/about,LaCentra-Sumerlin Foundation,,METR,"acknowledged supporter on the recipient's own list; amount, date, vehicle and purpose not disclosed",,,,,,,,,,,,,,,,,,,,,,named on recipient about page; not a filing-level grant line,issuer statements,GET https://metr.org/about Funding paragraph,https://metr.org/about,"the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org; the AI Security Institute; pooled funds such as those of Longview Philanthropy and Effektiv Spenden; recommendations by the Survival and Flourishing Fund; and many others, such as David Farhi, Geoff Ralston, Dyla",2026-09-16T10:01:13Z,"METR names LaCentra-Sumerlin Foundation among foundation supporters. No amount, date, vehicle, or purpose is stated.",1,,"A named-supporter acknowledgment is not a payment, commitment amount, or 990 line.",Recipient-side naming only. See Task B none-found on the entity's own materials and Task C filings. This lane does not ask how the approximately $71 million was composed.
10,B,MDR,C02.E2,Astralis,private foundation,Astralis Foundation,named as Astralis Foundation on metr.org/about,Astralis Foundation,,METR,"acknowledged supporter on the recipient's own list; amount, date, vehicle and purpose not disclosed",,,,,,,,,,,,,,,,,,,,,,named on recipient about page; not a filing-level grant line,issuer statements,GET https://metr.org/about Funding paragraph,https://metr.org/about,"the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org; the AI Security Institute; pooled funds such as those of Longview Philanthropy and Effektiv Spenden; recommendations by the Survival and Flourishing Fund; and many others, such as David Farhi, Geoff Ralston, Dyla",2026-09-16T10:01:13Z,"METR names Astralis Foundation among foundation supporters. No amount, date, vehicle, or purpose is stated.",1,,"A named-supporter acknowledgment is not a payment, commitment amount, or 990 line.",Recipient-side naming only. Paying legal vehicle (Stiftelsen Astralis 802482-2317 vs UK company 15917880) is not identified on this page.
