lane,slice,wave,slug,status,launched_utc,pid,log,done_utc,rows_out,review,promoted_utc,note
MD01,S1,1,metr-recipient-baseline,promoted,2026-09-16T09:36:42Z,69181,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD01-20260916T093641Z.log,2026-09-16T06:28:20Z,8,research/agents-2026-09-16/MDREVIEW-MD01-xhigh-added.md,2026-09-16T12:22:16Z,"brief research/grok-briefs/MD01-metr-recipient-baseline.md materialized at S0; elements C02.E3;C02.E4;C01.E3; launched via tools/lanes.py on account=ruokalalokkim-gmail effort=medium max_turns=None; review {'DIFFERS': 3, 'CONFIRMED': 20}; PROMOTE changes=23 skipped=0 unverifiable=0; lane csv sha256 4624ac6524d51366cb46b242b077bd7ebf345d2685325c280058eb3ad5a4e0df; xhigh re-run launched 2026-09-16T09:36:42Z pid=69181 on account=ruokalalokkim-gmail under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 8}; PROMOTE changes=8 skipped=0 unverifiable=0; lane csv sha256 039e5313f59feea81a284eea85bed9789ebf90b195d69c01c6efa3c59a534987"
MD02,S1,1,packard-grant,promoted,2026-09-16T09:36:48Z,69614,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD02-20260916T093648Z.log,2026-09-16T06:20:24Z,1,research/agents-2026-09-16/MDREVIEW-MD02-xhigh-added.md,2026-09-16T12:24:46Z,"brief research/grok-briefs/MD02-packard-grant.md materialized at S0; elements C02.E2;C01.E2;C01.E3; launched via tools/lanes.py on account=ruokalalokkim-proton effort=medium max_turns=None; review {'DIFFERS': 6, 'CONFIRMED': 20}; PROMOTE changes=26 skipped=0 unverifiable=0; lane csv sha256 1534ba160828e518802f620e2cd81cd9a0e879803c0f883f5caf4224af7695f2; xhigh re-run launched 2026-09-16T09:36:48Z pid=69614 on account=kabasshouse-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'DIFFERS': 5, 'CONFIRMED': 22}; PROMOTE changes=1 skipped=26 unverifiable=0; lane csv sha256 ee0ecd15ff3209a3d5c8df1a55dfccd34183f7a4938cb845a63dd26e277895a3; review {'CONFIRMED': 1}; PROMOTE changes=1 skipped=0 unverifiable=0; lane csv sha256 fd48b1ba880f43b423ba2a9dcb7d192a24dac77393ea9c4c0a47575b1b4adbe5"
MD03,S1,1,pew,promoted,2026-09-16T09:38:07Z,75439,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD03-20260916T093807Z.log,2026-09-16T06:30:03Z,8,research/agents-2026-09-16/MDREVIEW-MD03-xhigh-added.md,2026-09-16T12:26:58Z,"brief research/grok-briefs/MD03-pew.md materialized at S0; elements C02.E2; launched via tools/lanes.py on account=team-getvur effort=medium max_turns=None; review {'DIFFERS': 9, 'CONFIRMED': 20}; PROMOTE changes=29 skipped=0 unverifiable=0; lane csv sha256 a1450b52051eb548b4214e8e7cbdea78c3d45a1b8377dbc9690baeb38c305f42; xhigh re-run launched 2026-09-16T09:38:07Z pid=75439 on account=aikoegawabass-gmail under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 8}; PROMOTE changes=8 skipped=0 unverifiable=0; lane csv sha256 1403dcb9df93015b9adbcf484c7f3d77e7d0f2dd7f7a7a98454f288b45791a46"
MD04,S1,1,schmidt-sciences,promoted,2026-09-16T09:39:35Z,79115,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD04-20260916T093935Z.log,2026-09-16T06:22:11Z,12,research/agents-2026-09-16/MDREVIEW-MD04-xhigh-added.md,2026-09-16T12:29:02Z,"brief research/grok-briefs/MD04-schmidt-sciences.md materialized at S0; elements C02.E2;C05.E1;C05.E3; launched via tools/lanes.py on account=aikoegawabass-gmail effort=medium max_turns=None; review {'CONFIRMED': 23, 'DIFFERS': 1}; PROMOTE changes=24 skipped=0 unverifiable=0; lane csv sha256 d20be334a1c586cc8f657226b6a371185ea6dee4e8c725654d5cf126666113f0; xhigh re-run launched 2026-09-16T09:39:35Z pid=79115 on account=kabasshouse-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 12}; PROMOTE changes=12 skipped=0 unverifiable=0; lane csv sha256 d9df6c691d4b5e294cba5ad244108ad5e465f6b3a1b62fd34983493ef679b655"
MD05,S1,1,sijbrandij-foundation,promoted,2026-09-16T09:39:44Z,79892,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD05-20260916T093943Z.log,2026-09-16T06:23:50Z,7,research/agents-2026-09-16/MDREVIEW-MD05-xhigh-added.md,2026-09-16T12:31:14Z,"brief research/grok-briefs/MD05-sijbrandij-foundation.md materialized at S0; elements C02.E2; launched via tools/lanes.py on account=aikoegawabass-proton effort=medium max_turns=None; review {'CONFIRMED': 23, 'DIFFERS': 1}; PROMOTE changes=24 skipped=0 unverifiable=0; lane csv sha256 68d92997b252954462a634c716205dcdeab092b4e1011bc2cef6dd4b58e27001; xhigh re-run launched 2026-09-16T09:39:44Z pid=79892 on account=machinegod42069-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 7}; PROMOTE changes=7 skipped=0 unverifiable=0; lane csv sha256 a94486d336202033932805e3e327045978419bfffc01810b34e1ba3b031e9e0e"
MD06,S1,1,lacentra-astralis-expa,promoted,2026-09-16T09:44:17Z,93745,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD06-20260916T094417Z.log,2026-09-16T06:31:48Z,17,research/agents-2026-09-16/MDREVIEW-MD06-xhigh-added.md,2026-09-16T12:33:46Z,"brief research/grok-briefs/MD06-lacentra-astralis-expa.md materialized at S0; elements C02.E2; launched via tools/lanes.py on account=kabasshouse-proton effort=medium max_turns=None; review {'CONFIRMED': 28, 'DIFFERS': 8}; PROMOTE changes=36 skipped=0 unverifiable=0; lane csv sha256 52214cf84cbfe3f6bdaa8f0d3061c8699bb1366270f72194d2114d42b5e130b9; xhigh re-run launched 2026-09-16T09:44:17Z pid=93745 on account=machinegod42069-gmail under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 17}; PROMOTE changes=17 skipped=0 unverifiable=0; lane csv sha256 fb0a59cb2f7356f7913c5f3dc36a5c6b76ca807400b43ed0aa460d3f539160dd"
MD07,S1,1,jane-street-individuals,promoted,2026-09-16T09:44:23Z,94247,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD07-20260916T094423Z.log,2026-09-16T06:05:00Z,11,research/agents-2026-09-16/MDREVIEW-MD07-xhigh-added.md,2026-09-16T12:36:24Z,brief research/grok-briefs/MD07-jane-street-individuals.md materialized at S0; elements C02.E2;C05.E1;C05.E3; launched via tools/lanes.py on account=kbassphiladelphia-proton effort=medium max_turns=None; goal complete after 1 worker round; review 20 CONFIRMED / 5 DIFFERS / 1 UNVERIFIABLE; 25 rows promoted (MDE MDF MDR MDS MDP MDT); lane csv sha256 ca15810dab59556490d9aec61ba9a255d35a77bbccc395e27e028674bffcda5a; xhigh re-run launched 2026-09-16T09:44:23Z pid=94247 on account=kevin-getvur under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 11}; PROMOTE changes=11 skipped=0 unverifiable=0; lane csv sha256 74fa74cc4d8b6430f0f4f52ae9ae651b2a20b75311942307f72f215625869fc6
MD08,S1,1,named-individual-donors,promoted,2026-09-16T09:44:28Z,94533,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD08-20260916T094428Z.log,2026-09-16T06:25:50Z,20,research/agents-2026-09-16/MDREVIEW-MD08-xhigh-added.md,2026-09-16T12:39:13Z,"brief research/grok-briefs/MD08-named-individual-donors.md materialized at S0; elements C02.E2;C03.E3; launched via tools/lanes.py on account=kevin-getvur effort=medium max_turns=None; review {'DIFFERS': 24, 'CONFIRMED': 36}; PROMOTE changes=60 skipped=0 unverifiable=0; lane csv sha256 e5a257965f025f5c52b17d6b76f37f21675c6efa011eec16b1f740fe1676b797; xhigh re-run launched 2026-09-16T09:44:28Z pid=94533 on account=kevinnbass-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 20}; PROMOTE changes=20 skipped=0 unverifiable=0; lane csv sha256 ddde3ad6f94fd19948b02977540a44dce86e5d126d994501f5943908d585e2dc"
MD09,S1,1,sff-tallinn,promoted,2026-09-16T09:34:29Z,62526,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD09-20260916T093429Z.log,2026-09-16T06:56:27Z,12,research/agents-2026-09-16/MDREVIEW-MD09-xhigh-added.md,2026-09-16T12:41:31Z,"brief research/grok-briefs/MD09-sff-tallinn.md materialized at S0; elements C02.E2;C02.E5;C05.E1;C05.E2; launched via tools/lanes.py on account=kabasshouse-proton effort=medium max_turns=None; review {'CONFIRMED': 42, 'DIFFERS': 11}; PROMOTE changes=53 skipped=0 unverifiable=0; lane csv sha256 39aa1a9baefe936f13e283bb51ef54d83962d5eee34482336472fbb09d12f51f; xhigh re-run launched 2026-09-16T09:34:29Z pid=62526 on account=ruokalalokkim-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 12}; PROMOTE changes=12 skipped=0 unverifiable=0; lane csv sha256 63d4deb0a571f6f9fd81c72fa5a436e617974a56e65e8f9bd729a50f1ac93604"
MD10,S1,1,longview-pooled-regrants,promoted,2026-09-16T09:36:54Z,69995,/mnt/f/projects/anthropic/tools/logs/metr_deep-MD10-20260916T093654Z.log,2026-09-16T07:04:13Z,13,research/agents-2026-09-16/MDREVIEW-MD10-xhigh-added.md,2026-09-16T12:43:40Z,"brief research/grok-briefs/MD10-longview-pooled-regrants.md materialized at S0; elements C02.E5;C06.E1; launched via tools/lanes.py on account=machinegod42069-proton effort=medium max_turns=None; review {'DIFFERS': 9, 'CONFIRMED': 35}; PROMOTE changes=44 skipped=0 unverifiable=0; lane csv sha256 21bb881931f4cc1890cf03c6cd30336011e276081cfa80216a44e347824a035f; xhigh re-run launched 2026-09-16T09:36:54Z pid=69995 on account=machinegod6969-proton under A3/A4 (medium output archived in research/archive/medium-run-20260916/; medium review stays on record); review {'CONFIRMED': 13}; PROMOTE changes=13 skipped=0 unverifiable=0; lane csv sha256 8c81c6b766e277fefb5f4c8fc146c1bfb368ea48f4807d54f08ec6c91f7d6a58"
