# fetch_window_utc=2026-09-16T16:48:56Z/2026-09-16T16:52:17Z
# routes_used=python3 -m casework frontier --pack metr_deep (cwd /home/kevin/repos/casework); metr.org /about / /blog /feed.xml /blog/2026-08-14-funding-update/ /coi-policy.pdf /blog/2026-05-19-frontier-risk-report/ /sitemap.xml /news; Wayback CDX metr.org/about and metr.org/coi-policy.pdf; stratechery.com Moskovitz interview and r.jina.ai of same; nypost.com 2026-09-15 origin and r.jina.ai; GitHub contents API numeric repo 1370599694 figures ref=f64df65; SEC EDGAR efts.sec.gov/LATEST/search-index and cgi-bin/browse-edgar company=Anthropic; IRS TEOS /app/eos and apps.irs.gov index_2026.csv; anthropic.com/research/alignment-assessment-cybersecurity-incidents and /news; bsky.app Moskovitz post; x.com/albrgr/status/2001669972171661401; gov.uk FOI overview; NIST FOIA; EASE documents-request/home; oag.ca.gov/charities; ProPublica Nonprofit Explorer 991219864
# caps_hit=Wayback CDX HTTP 503 Internet Archive Temporarily Offline (about and coi-policy.pdf, two attempts; first attempt curl write 000); IRS index_2026.csv GET redirected to www.irs.gov/404; metr.org/news HTTP 404; guessed Anthropic Series A permalink HTTP 404; r.jina.ai NY Post HTTP 403; r.jina.ai x.com HTTP 403; SEC efts METR+Model Evaluation HTTP 500 (retry q=METR HTTP 200); NIST /oa/freedom-information-act HTTP 404 (canonical /director/freedom-information-act HTTP 200); first Wayback CDX uncompressed retry still 503
# no_kevinnbass_sources=true
# research/STATE.md read before adding facts; live inventory is the casework frontier run saved as frontier-metr_deep-20260916T164856Z.txt (not the Frontier paste in STATE.md); this lane sent nothing and did not ask how the approximately $71 million was composed or allocated; successor briefs MD70-MD72 are specified only as Task C CSV rows (no research/grok-briefs/MD7*.md or MD8*.md written)
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDS,C01.E5,Live frontier UNTOUCHED: C01 / state registries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T16:48:56Z,UNTOUCHED C01 state registries (structural). Live frontier line: SOURCE C01 state registries UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-funding-update-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
A02,A,MDS,C01.E5,Live frontier UNTOUCHED: C01 / SEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T16:48:56Z,UNTOUCHED C01 SEC (structural). Live frontier line: SOURCE C01 SEC UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-funding-update-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
A03,A,MDS,C01.E5,Live frontier UNTOUCHED: C01 / court dockets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,court dockets,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T16:48:56Z,UNTOUCHED C01 court dockets (structural). Live frontier line: SOURCE C01 court dockets UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-funding-update-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
A04,A,MDS,C01.E5,Live frontier UNTOUCHED: C01 / procurement records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T16:48:56Z,UNTOUCHED C01 procurement records (structural). Live frontier line: SOURCE C01 procurement records UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-funding-update-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
A05,A,MDS,C01.E5,Live frontier UNTOUCHED: C01 / self-statements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,self-statements,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T16:48:56Z,UNTOUCHED C01 self-statements (structural). Live frontier line: SOURCE C01 self-statements UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-funding-update-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
A06,A,MDS,C01.E5,Live frontier UNTOUCHED: C01 / project documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,project documents,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T16:48:56Z,UNTOUCHED C01 project documents (structural). Live frontier line: SOURCE C01 project documents UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-funding-update-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
A07,A,MDS,C01.E5,Live frontier UNTOUCHED: C01 / statutory records requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T16:48:56Z,UNTOUCHED C01 statutory records requests (structural). Live frontier line: SOURCE C01 statutory records requests UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-funding-update-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
A08,A,MDS,C02.E2,Live frontier UNTOUCHED: C02 / SEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/about,https://metr.org/about,"individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org; the AI Security Institute; pooled funds such as those of Longview Philanthropy and Effekti",2026-09-16T16:48:56Z,UNTOUCHED C02 SEC (structural). Live frontier line: SOURCE C02 SEC UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-about-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
A09,A,MDS,C02.E2,Live frontier UNTOUCHED: C02 / court dockets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,court dockets,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/about,https://metr.org/about,"individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org; the AI Security Institute; pooled funds such as those of Longview Philanthropy and Effekti",2026-09-16T16:48:56Z,UNTOUCHED C02 court dockets (structural). Live frontier line: SOURCE C02 court dockets UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-about-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
A10,A,MDS,C02.E2,Live frontier UNTOUCHED: C02 / procurement records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,python3 -m casework frontier --pack metr_deep ; GET https://metr.org/about,https://metr.org/about,"individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org; the AI Security Institute; pooled funds such as those of Longview Philanthropy and Effekti",2026-09-16T16:48:56Z,UNTOUCHED C02 procurement records (structural). Live frontier line: SOURCE C02 procurement records UNTOUCHED.,1,,Frontier is computed from promoted bindings and case.json source_classes; STATE.md Frontier paste is not the inventory.,primary=frontier-metr_deep-20260916T164856Z.txt sha256=ac7b7e82016f422bf96384d64e96f49735d4255d3d3ef60754b03ad55631ae11; also metr-org-about-20260916T164856Z.body. structural. research/STATE.md read before adding facts; already-held pack facts are cited not recollected; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated.
