# MD07-jane-street-individuals.csv
# fetch_window=2026-09-16T09:57:48Z/2026-09-16T10:07:25Z
# routes_used=live GET metr.org/about,/blog/2026-08-14-funding-update/,/donate; Wayback id_ metr.org/about 20240423101403,20241231011203,20251207085707,20260601232933; live GET anthropic.com Series E/F/G/H and /news; CourtListener RECAP Doc 10241-1 PDF + v4 search Jane Street Global Trading Anthropic; janestreet.com home/who-we-are/what-we-do/search?q=METR,/giving; ProPublica Nonprofit Explorer API v2 (EIN 99-1219864, q=Jane Street, q=Jane Street Capital); IRS e-file XML GivingTuesday S3 202523209349300367; Founders Pledge /grantees/metr; GWWC /charities/arc-evals; Longview /artificial-intelligence and /about; SFC/SFF; EA Forum search HTML + GraphQL POST; X Latest keyword search + fxtwitter hydrate of METR_Evals/2088403780551442683; Candid search; Coefficient /grants; IRS TEOS search/api/details; every.org/metr; SEC EDGAR efts; USAspending spending_by_award POST; CA OAG charities + rct.doj.ca.gov; NY charities landing; WSJ jane-street-ai
# caps_hit=IRS TEOS HTTP 403 (jina Cloudflare); every.org HTTP 429/Vercel checkpoint (jina Cloudflare); Candid login wall; Coefficient /grants redirected to closed Grants Associate job; USAspending POST 422 then 502; CA RCT HTTP 404; NY charities JS-only shell; WSJ HTTP 401 JS challenge; Wayback CDX from=20250701 HTTP 503; EA Forum GraphQL 400 and JS-thin search UI; X Latest not a complete index; SEC efts 214 hits none with Anthropic PBC as filer in first 100; public-charity Schedule B contributor fields RESTRICTED
# no_kevinnbass_sources=true
# primary_dir=research/primary/MD07-jane-street-individuals/; money types not summed; firm Anthropic positions are not METR gifts; unnamed Jane Street individuals are not identified
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
X4,A,MDT,C02.E2,Wayback metr.org/about 2026-06-01 lacks the Jane Street class wording,,,individuals from Jane Street,,,METR,,,,,,,,2026-06-01,day,,,,,,,,,,,,,,,archives,"GET https://web.archive.org/web/20260601232933id_/https://metr.org/about ; also 20240423101403, 20241231011203, 20251207085707 id_ captures",https://web.archive.org/web/20260601232933id_/https://metr.org/about,"and a wide range of individuals directly, such as David Farhi, Dylan Field, Geoff Ralston, and Steve Newman.</p>

    <p>We are grateful to all our supporters for making METR’s work possible. Please consider joining them <a href=""https://www.every.org/metr?donateTo=metr#/donate/bank"">here</a>.</p>

",2026-09-16T09:57:48Z,none found in Wayback metr.org/about 20260601232933id_ for the string 'individuals from Jane Street' as of 2026-09-16T09:57:48Z,0,live about page and 2026-08-14 funding-update (this lane rows 1-2),CDX from=20250701 returned HTTP 503 this run; captures after 2026-06-01 other than live were not enumerated from CDX. A page-appearance date is not a gift date.,"Dated archive capture saved as wayback-about-20260601-20260916T095748Z.html (Wayback raw id_). On 2026-06-01 the about-page funding paragraph names foundations and 'a wide range of individuals directly, such as' Farhi/Field/Ralston/Newman, and does not contain 'individuals from Jane Street' or 'Jane Street'. Earlier id_ captures 20240423 and 20241231 also lack the string; 20251207 names Geoff Ralston only among individuals and lacks Jane Street. Live 2026-09-16 and the 2026-08-14 post contain the class wording. This dates when METR's public wording included the class; it does not date a gift. [xhigh re-run row 4 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]"
X7,B,MDE,C05.E3,Craig Falls,individual,,purchaser named in Case 22-11068-JTD Doc 10241-1 Exhibit 1,Craig Falls,,Anthropic PBC,natural-person purchaser of Anthropic Series B Preferred from FTX estate (not the Jane Street LLC; not a METR donor identification),,,,,,,,,,,,,,,,,,,,,,,court dockets,"GET Exhibit 1 line 'Craig Falls' on the same PDF as the Jane Street Global Trading, LLC line",https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,"Craig Falls                                                              666,667             $20,003,010
    MW LSVC Anthropic, LLC                                                   609,908             $18,299,985
    Constitutional AI Governance Fund 2 LLC                                  599,910  ",2026-09-16T09:57:48Z,,,,,"Entity-separation only: Exhibit 1 names Craig Falls as a natural-person purchaser (666,667 shares, $20,003,010), on the same list as Jane Street Global Trading, LLC. He is not merged with the LLC, with Jane Street the issuer-named participant, or with METR's unnamed class 'individuals from Jane Street'. This row does not identify him as a METR donor and is not a first-person METR gift (Task C). A court-named Anthropic purchaser is not a METR gift. [xhigh re-run row 7 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]"
X8,B,MDR,C05.E3,Craig Falls FTX-estate purchase of Anthropic shares,individual,,Craig Falls,Craig Falls,,Anthropic PBC (shares of Series B Preferred purchased from FTX estate),"court-documented share purchase from the FTX estate by a named natural person (not Jane Street Global Trading, LLC)",2024-03-22,,investments,equity_value,20003010,USD,2024-03-22,day,,,,,,,"666,667 shares for $20,003,010",,,,,,,yes (court Exhibit 1 line item),court dockets,CourtListener RECAP gov.uscourts.deb.188450.10241.1.pdf Exhibit 1 line Craig Falls,https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,"Craig Falls                                                              666,667             $20,003,010
    MW LSVC Anthropic, LLC                                                   609,908             $18,299,985
    Constitutional AI Governance Fund 2 LLC                                  599,910  ",2026-09-16T09:57:48Z,,,,,"Round: FTX estate sale #1; date 2024-03-22; source=court Exhibit 1. Natural-person purchaser, not the Jane Street LLC line. A firm investment is not a donation by an individual and is not a METR gift. Do not merge Jane Street the named issuer participant, Jane Street Global Trading, LLC, or any natural-person purchaser with METR's unnamed class 'individuals from Jane Street'. This lane does not treat this purchase as a METR donation and does not identify the purchaser as one of METR's unnamed 'individuals from Jane Street'. Do not sum with METR commitments. [xhigh re-run row 8 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]"
X12,B,MDR,C05.E1;C05.E3,Jane Street participation in Anthropic Series H,firm,Jane Street,,Jane Street,,Anthropic,priced-round participation (amount not disclosed),2026-05-28,,investments,equity_value,,,2026-05-28,day,,,,,,,,,,,,,,,issuer statements,GET https://www.anthropic.com/news/series-h,https://www.anthropic.com/news/series-h,"Insight Partners, Jane Street, Lightspeed Venture Partners, MGX, NTTVC, NX1 Capital, Situational Awareness LP, T. Rowe Price Associates, Inc., T. Rowe Price Investment Management, Inc., and Temasek. It also includes $15 billion of previously committed investments from hyperscalers, including <a href",2026-09-16T09:57:48Z,,,,,"Round: Series H; date 2026-05-28; source=Anthropic issuer release. Jane Street is named among significant investors; amount not disclosed. $65B / $965B post-money are round figures, not a holder stake. A firm investment is not a donation by an individual and is not a METR gift. Do not merge Jane Street the named issuer participant, Jane Street Global Trading, LLC, or any natural-person purchaser with METR's unnamed class 'individuals from Jane Street'. Saved anthropic-series-h-20260916T095748Z.html. [xhigh re-run row 12 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]"
X13,B,MDP,C05.E1;C05.E3,firm Anthropic positions are not METR gifts by unnamed individuals,,,,"Jane Street Global Trading, LLC / Jane Street (issuer-named)",,Anthropic PBC,investment (not a METR donation),,,,,,,,,,,,,,,,,,,,,not a METR money flow,no (Anthropic equity is not a METR gift),issuer statements,union of Task B rows: court Exhibit 1 + Anthropic Series E/F/G/H issuer pages,https://www.anthropic.com/news/series-h,"Insight Partners, Jane Street, Lightspeed Venture Partners, MGX, NTTVC, NX1 Capital, Situational Awareness LP, T. Rowe Price Associates, Inc., T. Rowe Price Investment Management, Inc., and Temasek. It also includes $15 billion of previously committed investments from hyperscalers, including <a href",2026-09-16T09:57:48Z,explicit: a firm investment is not a donation by an individual and is not a METR gift,,,,"A firm investment is not a donation by an individual and is not a METR gift. Do not merge Jane Street the named issuer participant, Jane Street Global Trading, LLC, or any natural-person purchaser with METR's unnamed class 'individuals from Jane Street'. Purchasing/investing legal entities on the court exhibit and issuer pages are kept separate from METR's unnamed class. equity_value is never summed with METR commitment/paid_grant/filed_grant figures. [xhigh re-run row 13 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]"
X20,E,MDS,C02.E2,janestreet.com/giving (firm grant index),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.janestreet.com/giving,https://www.janestreet.com/giving,"Page not found :: Jane Street</title>
  <link rel=""shortcut icon"" href=""/assets/logo-icon-b8a206838d61e9232dd7d2ae67f12b4f35a494ac9ad0a7e4b1456b482849c977.svg"" type=""image/svg+xml"">
  <link rel=""shortcut icon"" href=""/assets/logo-icon-9e6fdb3acda4d55b6bd69fdbd70de6ee35c1e766594753226b6b144866872951.p",2026-09-16T09:57:48Z,none found in janestreet.com/giving as of 2026-09-16T09:57:48Z (HTTP 404 Page not found),0,,/the-latest/impact/ and graduate-research-fellowship also HTTP 404 this run. No public firm grant catalog for METR.,"none found in https://www.janestreet.com/giving as of 2026-09-16T09:57:48Z: the URL returns Jane Street's Page not found template. METR names individuals from Jane Street, not a firm grant database. Saved jane-street-giving-{U}.html. [xhigh re-run row 20 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]"
X30,E,MDS,C02.E2;C05.E3,SEC EDGAR full-text search Jane Street AND Anthropic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC,"GET https://efts.sec.gov/LATEST/search-index?q=""Jane Street"" Anthropic&dateRange=custom&startdt=2023-01-01&enddt=2026-09-16",https://efts.sec.gov/LATEST/search-index?q=%22Jane%20Street%22%20Anthropic&dateRange=custom&startdt=2023-01-01&enddt=2026-09-16,"""value"":214,""relation"":""eq""},""max_score"":23.645344,""hits"":[{""_index"":""edgar_file"",""_id"":""0001769628-26-000220:coreweave1q26earningspress.htm"",""_score"":23.645344,""_source"":{""ciks"":[""0001769628""],""period_ending"":""2026-05-07"",""file_num"":[""001-42563""],""display_names"":[""CoreWeave, Inc.  (CRWV)  (CIK 0001",2026-09-16T09:57:48Z,none found in first 100 of 214 SEC EDGAR hits as of 2026-09-16T09:57:48Z for an Anthropic PBC issuer filing that names Jane Street as an investor,214,,"Hits are other issuers (CoreWeave, BlackRock funds, etc.) whose documents mention both terms. Anthropic is private; Form D often omits participant names. First 100 hits inspected for Anthropic-as-filer=0. A first query that treated AND as a phrase returned 0 hits.","none found in SEC efts search-index q=""Jane Street"" Anthropic as of 2026-09-16T09:57:48Z for Anthropic PBC as the filing entity naming Jane Street. Saved sec-efts-js-anth2-20260916T095748Z.json. Not used to identify METR donors. A firm investment is not a donation by an individual and is not a METR gift. Do not merge Jane Street the named issuer participant, Jane Street Global Trading, LLC, or any natural-person purchaser with METR's unnamed class 'individuals from Jane Street'. [xhigh re-run row 30 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]"
X31,E,MDS,C02.E2,USAspending awards search METR / Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,POST https://api.usaspending.gov/api/v2/search/spending_by_award/,https://api.usaspending.gov/api/v2/search/spending_by_award/,"'award_type_codes' must only contain types from one group."",""award_type_groups"":{""contracts"":{""A"":""BPA Call"",""B"":""Purchase Order"",""C"":""Delivery Order"",""D"":""Definitive Contract""},""loans"":{""07"":""Direct Loan"",""08"":""Guaranteed/Insured Loan"",""F003"":""Direct Loan"",""F004"":""Loan Guarantee""},""idvs"":{""IDV_A"":""",2026-09-16T09:57:48Z,route failure: USAspending spending_by_award POST HTTP 422 then grants-only retry HTTP 502 as of 2026-09-16T09:57:48Z; award table unread,,USAspending spending_by_award with a single award-type group once the API accepts the POST,First POST mixed grant type codes with other groups (422). Grants-only retry returned nginx 502. Not a content none-found.,route failure: https://api.usaspending.gov/api/v2/search/spending_by_award/ as of 2026-09-16T09:57:48Z. Saved usaspending-awards-20260916T095748Z.json and usaspending-grants-20260916T095748Z.json. Procurement is not a Jane Street individual-donor census. [xhigh re-run row 31 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]
X32,E,MDS,C02.E2,California charities registry search landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://rct.doj.ca.gov/Verification/Web/Search.aspx?facility=Y and https://rct.doj.ca.gov/ and https://oag.ca.gov/charities,https://oag.ca.gov/charities,"The Attorney General regulates charities and fundraisers who solicit on their behalf, such as charitable organizations, trusts, trustees, commercial fundraisers, fundraising counsel, charitable fundraising platforms, and other persons or entities that solicit or hold charitable assets. The purpose o",2026-09-16T09:57:48Z,route failure: rct.doj.ca.gov search URL HTTP 404 as of 2026-09-16T09:57:48Z; oag.ca.gov/charities landing recovered with no METR/Jane Street donor table,,,The interactive RCT search form was not recovered (404). The OAG charities landing is not a named-donor census. NY charities registry returned a JS-only shell (ny-charities-landing).,route failure on https://rct.doj.ca.gov/Verification/Web/Search.aspx?facility=Y (HTTP 404). Saved ca-rct-landing-20260916T095748Z.html and ca-oag-charities-20260916T095748Z.html. Not a content none-found on an unread registry search. [xhigh re-run row 32 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]
X33,E,MDS,C02.E2,WSJ Jane Street AI article (press locator for a METR gift),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,press,GET https://www.wsj.com/tech/ai/jane-street-ai-wall-street-bdfcc81a,https://www.wsj.com/tech/ai/jane-street-ai-wall-street-bdfcc81a,"Please enable JS and disable any ad blocker</p><script data-cfasync=""false"">var dd={'rt':'c','cid':'AHrlqAAAAAMAqVob-U3DYWIAMhsxYQ==','hsh':'D428D51E28968797BC27FB9153435D','t':'fe','qp':'','s':47129,'e':'14377383761c410e7ea6e4be65121683806a2909469e53801a16bc9d69beb6fd447f753703a78ca394dcbafbbf4d750",2026-09-16T09:57:48Z,route failure: HTTP 401 / JS-challenge from WSJ as of 2026-09-16T09:57:48Z; article body unread,,,Paywall/JS challenge. r.jina.ai write failed this run. Press is last-resort; court Exhibit 1 and Anthropic issuer pages already document firm Anthropic positions. Not treated as a METR-gift source.,route failure: https://www.wsj.com/tech/ai/jane-street-ai-wall-street-bdfcc81a as of 2026-09-16T09:57:48Z. Saved wsj-jane-street-ai-20260916T095748Z.html (challenge page). Not a content none-found on the article text. [xhigh re-run row 33 of research/grok-out/MD07-jane-street-individuals.csv; no medium counterpart]
