# fetch_window_utc=2026-09-16T08:26:38Z/2026-09-16T09:04:43Z
# routes_used=Contracts Finder v2 POST search_notices/json (keyword METR/quoted aliases/quoted AISI size=100) + GET get_published_notice/json/{id}; Contracts Finder HTML Search/Results (JS shell) + OCDS Search POST; Find a Tender Search/Results (JS shell) + /API/1.0/ocdsReleasePackages (404); metr.org/about+donate locator; aisi.gov.uk robots+sitemap.xml+/grants+/grants/example-projects+/about+/research+/work + blog/funding-60-projects + blog/our-approach-to-evaluations + blog/evals-bounty + blog/new-updates-to-the-aisi-challenge-fund; alignmentproject.aisi.gov.uk + /awardees + /projects; Alignment Project 2026 Grants PDF (Full list of awardees) from the funding-60-projects blog; GOV.UK Search API q=ARC Evals/METR/Challenge Fund + filter_organisations=ai-security-institute|dsit; GOV.UK Taskforce first+second progress reports; AISI approach to evaluations (GOV.UK HTML); news taskforce orgs; DSIT departmental spending over 25000 collection+2023/2024/2025 pages+21 CSVs; GOV.UK FOI how-to + DSIT org page; find-government-grants AISI Challenge Fund permalink; r.jina.ai attempted
# caps_hit=CF HTML Search/Results JS shell (~199kB, no METR string); OCDS Search POST no keyword hitCount; awardedSupplier=METR ignored (hitCount=611016); Find a Tender HTML JS shell HTTP 200 (no notice rows, keyword not applied); Find a Tender /API/1.0/ocdsReleasePackages HTTP 404; r.jina.ai HTTP 403 on all attempted URLs this run; GOV.UK q=METR tokenises to metre (7363 hits); AISI /about/transparency 404; find-government-grants AISI Challenge Fund permalink 404; AISI /wp-json 404; Alignment Project /awardees and /projects 404; DSIT spend 2026 year page 404; AISI blog/our-approach-to-evaluations recovered HTML has no METR string (GOV.UK HTML of the same publication does)
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; seed MDF0016 / notice 4113c27b and MD13 AISI grants-catalog negatives were locators only and were not copied as this lane's discovery; live CF v2, Notice HTML, AISI/GOV.UK pages, 21 DSIT CSVs, and the Alignment Project 2026 Grants PDF were fetched this window
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDS,C06.E3,"Contracts Finder v2 keyword METR: no notice names METR as buyer, title, description or supplier",,METR,,AI Security Institute (UK),,METR,,,,,,,,,,,,,,,,,,,,,,,,procurement records,"POST https://www.contractsfinder.service.gov.uk/api/rest/2/search_notices/json {""searchCriteria"":{""keyword"":""METR""},""size"":100}",https://www.contractsfinder.service.gov.uk/api/rest/2/search_notices/json,"""hitCount"": 0,
    ""noticeList"": [],
    ""maxHits"": 100,
    ""byRegion"": {
        ""items"": [],
        ""other"": 0
    },
    ""byType"": {
        ""items"": [
            {
                ""key"": ""Contract"",
                ""value"": """"
            },
            {
                ""key"": ""Pipeline"",
  ",2026-09-16T08:26:38Z,none found in Contracts Finder v2 search_notices/json keyword=METR as of 2026-09-16T08:26:38Z,0,https://www.contractsfinder.service.gov.uk/Notice/4113c27b-11c1-4489-a7ac-c87a57b216e6,HTML Search/Results is a JS shell (~199kB) with no METR string. OCDS Search POST does not return a keyword hitCount. awardedSupplier=METR is ignored (hitCount=611016 latest notices). Canonical enumeration is v2 search_notices/json with searchCriteria.keyword and top-level size.,"Task A official UK procurement search. Seed MDF0016 already locates generic Challenge Fund notice 4113c27b with no METR award; this is a live re-fetch, not a copied discovery. Same payload with organisationName=DSIT also hitCount=0. Saved primary: cf-v2-kw-metr_20260916T082638Z.json"
A02,A,MDS,C06.E3,Contracts Finder v2 quoted Model Evaluation and Threat Research: no notice,,Model Evaluation and Threat Research; METR Inc,,AI Security Institute (UK),,"Model Evaluation and Threat Research, Inc.",,,,,,,,,,,,,,,,,,,,,,,,procurement records,"POST search_notices/json {""searchCriteria"":{""keyword"":""\""Model Evaluation and Threat Research\""""},""size"":100}",https://www.contractsfinder.service.gov.uk/api/rest/2/search_notices/json,"""hitCount"": 0,
    ""noticeList"": [],
    ""maxHits"": 100,
    ""byRegion"": {
        ""items"": [],
        ""other"": 0
    },
    ""byType"": {
        ""items"": [
            {
                ""key"": ""Contract"",
                ""value"": """"
            },
            {
                ""key"": ""Pipeline"",
  ",2026-09-16T08:26:41Z,"none found in Contracts Finder v2 search_notices/json keyword=""Model Evaluation and Threat Research"" as of 2026-09-16T08:26:41Z",0,,Quoted phrase is the METR-alias query. Unquoted Model Evaluation and Threat Research token-ORs Evaluation/Research.,"Task A alias search. Legal name Model Evaluation and Threat Research, Inc. is not merged with Alignment Research Center. Saved primary: cf-v2-kw-model-eval-q_20260916T082641Z.json"
A03,A,MDS,C06.E3,Contracts Finder v2 quoted ARC Evals: no notice,,ARC Evals; Alignment Research Center Evals,,AI Security Institute (UK),,METR (formerly ARC Evals),,,,,,,,,,,,,,,,,,,,,,,,procurement records,"POST search_notices/json {""searchCriteria"":{""keyword"":""\""ARC Evals\""""},""size"":100}",https://www.contractsfinder.service.gov.uk/api/rest/2/search_notices/json,"""hitCount"": 0,
    ""noticeList"": [],
    ""maxHits"": 100,
    ""byRegion"": {
        ""items"": [],
        ""other"": 0
    },
    ""byType"": {
        ""items"": [
            {
                ""key"": ""Contract"",
                ""value"": """"
            },
            {
                ""key"": ""Pipeline"",
  ",2026-09-16T08:26:45Z,"none found in Contracts Finder v2 search_notices/json keyword=""ARC Evals"" as of 2026-09-16T08:26:45Z",0,https://www.contractsfinder.service.gov.uk/Notice/062a9eef-094a-4f3b-b74d-b870026e0b05,"Unquoted ARC Evals is token-OR (ARC/Evals) hitCount=614 and includes DSIT ""Creating suites of tasks (evals)"" awarded to Rethink Priorities (062a9eef), not METR. Quoted phrase hitCount=0.","Task A historical-alias search. ARC Evals is a METR program alias, not merged with Alignment Research Center the 501(c)(3). Saved cf-v2-kw-arc-evals-q_20260916T082645Z.json and cf-get-062a9eef_20260916T083355Z.json (Rethink Priorities award, not METR)."
A04,A,MDF,C06.E3,AISI Challenge Fund Grant notice 4113c27b — programme opportunity; METR not the legal supplier,grantmaker-award,AISI Challenge Fund,4113c27b-11c1-4489-a7ac-c87a57b216e6; tender_480962/1458457,"Department for Science, Innovation and Technology (DSIT) / AI Security Institute",,,grant programme notice,2026-04-01,2026-04-01,,contract,,GBP,2025-03-05,day,per project; notice start/end both 2026-04-01,Closed opportunity; awards array empty,AISI priority research areas / safe and secure AI systems,AISI Challenge Fund Grant,AI Security Institute on behalf of DSIT,,,,,,,,award notice without named supplier,,procurement records,GET https://www.contractsfinder.service.gov.uk/api/rest/2/get_published_notice/json/4113c27b-11c1-4489-a7ac-c87a57b216e6 and GET Notice HTML,https://www.contractsfinder.service.gov.uk/Notice/4113c27b-11c1-4489-a7ac-c87a57b216e6,"The Fund will award grants ranging from &#xA3;50,000 to &#xA3;200,000 per project, tailored to the scope of proposals. ​While we are particularly interested in AISI&#039;s priority research areas, we also welcome proposals that explore other innovative and impactful topics on safe and secure develop",2026-09-16T08:28:07Z,Notice exists: contracting authority=DSIT; procedureTypeOther=GRANT; valueLow=50000 valueHigh=200000 GBP; awards=[]. METR is not named as legal supplier.,1,https://www.contractsfinder.service.gov.uk/Notice/83d334e3-f41b-466a-b4f4-3ee117003835,"This is a programme ceiling, not a METR receipt. An award is not a payment. GBP not converted to USD. Live Notice HTML HTTP 200 this run (r.jina.ai of the same URL HTTP 403).","Live re-fetch of seed-located notice 4113c27b (MDF0016 locator). Republication 83d334e3 (2025-07-03) same title/values, also awards=[]. JSON cf-get-4113c27b_20260916T082717Z.json; HTML quote from cf-notice-html-4113c27b_20260916T082807Z.html; repub cf-get-83d334e3_20260916T082718Z.json."
A05,A,MDS,C06.E3,"Contracts Finder notices naming AI Security Institute / AISI: 34 notices, zero name METR or an alias as awardedSupplier",,,"quoted keyword AISI hitCount=34; quoted ""AI Security Institute"" hitCount=5",DSIT / AI Security Institute,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,"POST search_notices/json {""searchCriteria"":{""keyword"":""\""AISI\""""},""size"":100} and keyword=""\""AI Security Institute\""""",https://www.contractsfinder.service.gov.uk/api/rest/2/search_notices/json,"""hitCount"": 34,
    ""noticeList"": [
        {
            ""score"": 1,
            ""item"": {
                ""id"": ""4113c27b-11c1-4489-a7ac-c87a57b216e6"",
                ""parentId"": null,
                ""noticeIdentifier"": ""tender_480962/1458457"",
                ""title"": ""AISI Challenge Fund Grant",2026-09-16T08:27:16Z,none found in Contracts Finder v2 quoted-AISI dump (n=34) or quoted 'AI Security Institute' (n=5) as of 2026-09-16T08:27:16Z for awardedSupplier METR / Model Evaluation and Threat Research / ARC Evals,34,https://www.contractsfinder.service.gov.uk/Notice/ce97f158-727e-43d2-8169-452b2b48b6f7,size must be top-level to return all 34. Unquoted AI Security Institute is token-OR. awardedSupplier field-only payloads ignore the filter and return ~611016.,"Named AISI awards include Faculty Science, Smarter Society, Frontier Economics, Capgemini, Pattern Labs, SemiAnalysis, Cauldron, Scale AI, Gryphon Scientific, Imperial College, EY, Ipsos, Grey Swan, Burges Salmon, Crystal Peak, Dentons, RAND Europe (CNI Monitoring), RAND Europe Community Interest Company (Human Uplift Studies), SpecOpsInc — none is METR. RAND Europe is a separate legal entity from METR. Saved cf-v2-page-aisi-size100_20260916T082716Z.json and cf-v2-kw-aisi-institute_20260916T082650Z.json."
A06,A,MDS,C06.E3,Find a Tender keyword METR / quoted AI Security Institute — JS shell with no notice rows,,METR,,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,GET https://www.find-tender.service.gov.uk/Search/Results?keywords=METR and keywords=%22AI%20Security%20Institute%22; GET /API/1.0/ocdsReleasePackages (404),https://www.find-tender.service.gov.uk/Search/Results?keywords=METR,"Search results - Find a Tender</title>
			<link href=""https://www.find-tender.service.gov.uk/libraries/base-noticing/images/styles/govuk/favicon/govuk.ico?v=MTYyNDA="" rel=""shortcut icon"" type=""image/x-icon"" />
<link rel=""apple-touch-icon"" sizes=""180x180"" href=""https://www.find-tender.service.gov.uk/",2026-09-16T08:27:33Z,none found in Find a Tender Search/Results?keywords=METR as of 2026-09-16T08:27:31Z (HTML is a JS shell with no notice rows and no METR string; unauthenticated /API/1.0/ocdsReleasePackages HTTP 404; r.jina.ai HTTP 403),0,,Find a Tender HTML search is client-rendered. This run HTTP 200 JS shell (not 429). jina proxy HTTP 403. Blind spot: an above-threshold award that exists only in the JS UI. Challenge Fund is a GRANT procedure on Contracts Finder and may never appear on Find a Tender.,Task A second official UK procurement system. Saved ft-search-metr_20260916T082733Z.html and ft-ocds-api_20260916T082738Z.json. Keyword query is not applied in recovered HTML (METR string absent).
B01,B,MDP,C06.E3;C04.E1,METR about-page locator: named supporter AI Security Institute and 'partnering with' — amount undisclosed (seed MDF0016 / MD14 C22),recipient,METR; Model Evaluation and Threat Research,,AI Security Institute (UK),,METR,named supporter / partnership acknowledgment,,,,contract,,,,undated,,,,AI Security Institute,,,,,,,,,acknowledgment without amount,,issuer statements,GET https://metr.org/about Funding paragraph and partnerships paragraph,https://metr.org/about,"partnering with the AI Security Institute</a>, and provide technical assistance to the European AI Office.</p>
  </div>

  <div class=""about-page-logo-list"">
    <img src=""/assets/images/logo-openai.svg"" alt=""OpenAI"" class=""partner-logo logo-openai"" style=""--logo-h: 40px;"" /><img src=""/assets/images",2026-09-16T08:27:40Z,"AISI named as supporter and as a partnering body; no award id, value, period or METR share on this page. Locator only — not a new discovery of an amount.",1,https://www.gov.uk/government/publications/frontier-ai-taskforce-first-progress-report/frontier-ai-taskforce-first-progress-report,A supporter list is not a procurement award. Already held as undisclosed in seed MDF0016 and MD14 C22.,"Read-first STATE.md: C06.E3/C04.E1 OPEN; seed MDF0016 and MD14 C22 are locators, not recollected discoveries. Same page also names the AI Security Institute in the funding paragraph. Saved metr-about_20260916T082740Z.html."
B02,B,MDR,C06.E3,Frontier AI Taskforce first progress report names ARC Evals as an initial partnership — no contract value,,ARC Evals; Alignment Research Centre Evals,https://www.gov.uk/government/publications/frontier-ai-taskforce-first-progress-report,Frontier AI Taskforce (UK government; later AISI),,ARC Evals,announced partnership,,,,,,,2023-09-07,day,,,,Frontier AI Taskforce,,,,,,,,,partnership announcement without award id or value,,issuer statements,GET GOV.UK HTML of frontier-ai-taskforce-first-progress-report,https://www.gov.uk/government/publications/frontier-ai-taskforce-first-progress-report/frontier-ai-taskforce-first-progress-report,"<strong><abbr title=""Alignment Research Centre"">ARC</abbr> Evals</strong> is a non-profit that works on assessing catastrophic risks from frontier <abbr title=""artificial intelligence"">AI</abbr> systems, and have previously worked with OpenAI and Anthropic on evaluating the “autonomous replication a",2026-09-16T08:27:53Z,"Partnership with ARC Evals announced; no award notice id, legal supplier line, GBP value or METR share in this document.",1,https://www.gov.uk/government/publications/frontier-ai-taskforce-second-progress-report/frontier-ai-taskforce-second-progress-report,ARC Evals is a historical METR alias; Alignment Research Centre/Center the 501(c)(3) is kept unmerged. r.jina.ai HTTP 403 this run; quote is a contiguous substring of the live GOV.UK HTML.,AISI publication lineage (Taskforce predecessor). Live re-check. Saved govuk-taskforce-progress_20260916T082753Z.html.
B03,B,MDI,C06.E3;C04.E1,"AISI approach-to-evaluations (GOV.UK) quotes working with METR (formerly ARC Evals), including unpublished METR work at the Summit — unquantified",,METR; ARC Evals; Model Evaluation and Threat Research,,AI Safety Institute / AI Security Institute,,METR,collaboration / in-kind showcase,,,,,,,,,,,,,AI Safety Institute (UK),unpublished evaluation work showcased at the AI Safety Summit,undisclosed,,,,,,named collaboration without a contract value,,project documents,GET https://www.gov.uk/government/publications/ai-safety-institute-approach-to-evaluations/ai-safety-institute-approach-to-evaluations ; AISI blog HTML of the same title recovered no METR string,https://www.gov.uk/government/publications/ai-safety-institute-approach-to-evaluations/ai-safety-institute-approach-to-evaluations,"We worked with <abbr title=""Model Evaluation and Threat Research"">METR</abbr> to showcase some of this content, including unpublished work by <abbr title=""Model Evaluation and Threat Research"">METR</abbr>, at the Summit. This included one example looking at whether an <abbr title=""artificial intelli",2026-09-16T08:27:55Z,"Verbatim AISI/GOV.UK collaboration with METR; no tokens, credits, compute figure or GBP contract value in the checked document.",1,https://evals.alignment.org/Evaluating_LMAs_Realistic_Tasks.pdf,In-kind showcase is not a payment. Compute/tokens not quantified here. Unpublished METR work is named but not published (see D03). aisi.gov.uk/blog/our-approach-to-evaluations recovered HTML this run contains no METR string (CMS/JS); GOV.UK HTML of the same publication does.,Task B verbatim AISI publication on GOV.UK. Quote is a contiguous substring of govuk-aisi-evals-approach-html_20260916T082755Z.html. AISI blog capture aisi-blog-approach-evals_20260916T082748Z.html.
B04,B,MDR,C06.E3,Frontier AI Taskforce second progress report lists ARC Evals among announced partnerships — still no value,,ARC Evals,,Frontier AI Taskforce,,ARC Evals,announced partnership,,,,,,,,,,,,,Frontier AI Taskforce,,,,,,,,partnership list without award value,,issuer statements,GET https://www.gov.uk/government/publications/frontier-ai-taskforce-second-progress-report/frontier-ai-taskforce-second-progress-report,https://www.gov.uk/government/publications/frontier-ai-taskforce-second-progress-report/frontier-ai-taskforce-second-progress-report,"we announced partnerships with ARC Evals, Advai, The Centre for \u003cabbr title=\""artificial intelligence\""\u003eAI\u003c/abbr\u003e Safety, Collective Intelligence Project, Faculty, Gryphon Scientific, RAND, Redwood Research and Trail of Bits. By partnering with leading organisations we are helpin",2026-09-16T08:27:55Z,ARC Evals remains in the partnership list; no METR/ARC Evals award id or GBP amount.,1,,"Live HTML stores the sentence JSON-escaped after this prefix. Later 'new contracts' in the 2023 news item name Advai, Gryphon Scientific and Faculty AI, not ARC Evals.",Saved govuk-taskforce-second-html_20260916T082755Z.html. Quote is a contiguous substring of the saved HTML.
