# fetch_window_utc=2026-09-16T09:49:45Z/2026-09-16T10:15:00Z
# routes_used=IRS Form 5227/1041/4506-A/990-PF instructions and PDFs; IRS e-file index_2022.csv–index_2026.csv; IRS SOI sit-2020.csv/sit-2021.csv/sit-2022.csv (fresh; sit-2023/2024 404); IRS TEOS apps.irs.gov/app/eos (403); ProPublica Nonprofit Explorer search API; Good Ventures Foundation FY2024 XML object 202501349349105365; SEC EDGAR EFTS phrase search and Meta/Facebook DEF 14A 2018–2023 plus 2020 PRE/DEF 14C; EDGAR company browse; CourtListener REST opinions+RECAP; California OAG charities / RCT / bizfile; GovInfo 26 U.S.C. § 6103; research/STATE.md and ST78/ST95 locators only
# caps_hit=IRS TEOS HTTP 403 Access Denied (jina also 403); sit-2019/sit-2023/sit-2024 HTTP 404; first sit-2022 GET truncated at 10.5MB then completed at 77,976,639 bytes; GT/S3/IRS standalone XML for GVF FY2025 object 202641359349102829 404/NoSuchKey; ProPublica download-xml Cloudflare Security Check; EO BMF eo_ca.csv Cloudflare challenge; CA RCT and OAG charitysearch HTTP 404; CA bizfile JS shell; TEOS landing 403; IRS soi directory listing 403; 2026_TEOS_XML_05A.zip 521MB / 05B.zip 513MB not downloaded
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; C07 still open; seed ST78/ST95 used only as locators for the Dustin Moskovitz Remainder Interest Trust dated March 10, 2018 / Dustin A Moskovitz Remainder Interest Trust and were not copied as this lane's discovery; seed ST115 sit-2022 claim was re-fetched as sit-2022.csv (98802 rows) not copied; nothing emailed, filed, submitted, posted or telephoned; research/records/REQUESTS.jsonl not written; approved_for_send false on the Form 4506-A draft
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDE,C07.E2;C07.E3,"Facebook, Inc. 2019 DEF 14A names the Dustin Moskovitz Remainder Interest Trust dated March 10, 2018; trustee Tom Van Loben Sels",investment vehicle,Moskovitz 2018 Trust; Dustin A Moskovitz Remainder Interest Trust,"Dustin Moskovitz Remainder Interest Trust dated March 10, 2018",Tom Van Loben Sels (named as Trustee),,"Dustin Moskovitz Remainder Interest Trust dated March 10, 2018",trustee,2018-03-10,,,,,,2019-04-12,day,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1326801/000132680119000025/facebook2019definitiveprox.htm ; EFTS match_phrase Dustin Moskovitz Remainder Interest Trust adsh 0001326801-19-000025,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000025/facebook2019definitiveprox.htm,"6,830,855 shares of Class B common stock held of record by Tom Van Loben Sels, Trustee of the Dustin Moskovitz Remainder Interest Trust dated March 10, 2018 (Moskovitz 2018 Trust). Mr. Moskovitz is trustee, co-trustee, grantor, or beneficiary of the Moskovitz 2005 Trust and the Moskovitz 2018 Trust.",2026-09-16T09:59:18Z,"Document names the trust, the trustee, the March 10, 2018 date, and that Mr. Moskovitz is trustee, co-trustee, grantor, or beneficiary. Does not state CRT vs grantor vs family type.",1,,Proxy beneficial-ownership footnote; not a trust instrument. Moskovitz 2005 Trust is a different legal entity and is not merged.,"primary=meta-def14a-2019-000025-20260916T095915Z.html sha256=4ea30274a14278660f885a8dc251a1818d4779f0211551101f80b9e0e8a344c2. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A02,A,MDT,C07.E2;C07.E3,"Facebook, Inc. 2020 DEF 14A repeats the same remainder-interest-trust identity, trustee, and grantor/beneficiary wording",investment vehicle,Moskovitz 2018 Trust,"Dustin Moskovitz Remainder Interest Trust dated March 10, 2018",Tom Van Loben Sels (named as Trustee),,"Dustin Moskovitz Remainder Interest Trust dated March 10, 2018",trustee,2018-03-10,,,,,,2020-04-10,day,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1326801/000132680120000037/facebook2020definitiveprox.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000037/facebook2020definitiveprox.htm,"6,830,855 shares of Class B common stock held of record by Tom Van Loben Sels, Trustee of the Dustin Moskovitz Remainder Interest Trust dated March 10, 2018 (Moskovitz 2018 Trust). Mr. Moskovitz is trustee, co-trustee, grantor, or beneficiary of the Moskovitz 2005 Trust and the Moskovitz 2018 Trust.",2026-09-16T09:50:52Z,"Same trustee/type-role wording as A01. 6,830,855 Class B shares held of record by the trustee of this trust as of the proxy's March 31, 2020 information.",1,,"Does not classify the trust as a CRT, CLT, grantor trust, or private foundation. Share count is Meta Class B, not Anthropic.","primary=meta-def14a-2020-20260916T095048Z.bin sha256=d087a8689ae60fde92923b0070aa373b9aefdcea50299ddfa79cfb00af47723c. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A03,A,MDP,C07.E2;C07.E3,"Facebook, Inc. 2020 PRE 14C names the same trust, trustee, and Moskovitz grantor/beneficiary role",,,"Dustin Moskovitz Remainder Interest Trust dated March 10, 2018",,,,,,,,,,,2020-06-23,day,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1326801/000132680120000061/a2020informationstatement-.htm ; EFTS hit 0001326801-20-000061,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000061/a2020informationstatement-.htm,"Tom Van Loben Sels, Trustee of the Dustin Moskovitz Remainder Interest Trust dated March 10, 2018 (the &#8220;Moskovitz 2018 Trust&#8221;). Mr. Moskovitz is trustee, co-trustee, grantor, or beneficiary of the Moskovitz 2005 Trust and the Moskovitz 2018 Trust. The address of Mr. Moskovitz is 394 Paci",2026-09-16T09:59:20Z,PRE 14C uses the same trustee and grantor/beneficiary sentence. HTML entities &#8220;/&#8221; around Moskovitz 2018 Trust.,1,,,"primary=meta-pre14c-2020-000061-20260916T095918Z.html sha256=7fcb8a11f7e7407625690528ed2ae4e142344131499583b1f6b865688612f658. quote_300 is a verbatim HTML span. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A04,A,MDP,C07.E2;C07.E3,"Facebook, Inc. 2020 DEF 14C names the same trust, trustee, and Moskovitz grantor/beneficiary role",,,"Dustin Moskovitz Remainder Interest Trust dated March 10, 2018",,,,,,,,,,,2020-07-08,day,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1326801/000132680120000066/a2020informationstatement-.htm ; EFTS hit 0001326801-20-000066,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000066/a2020informationstatement-.htm,"Tom Van Loben Sels, Trustee of the Dustin Moskovitz Remainder Interest Trust dated March 10, 2018 (the &#8220;Moskovitz 2018 Trust&#8221;). Mr. Moskovitz is trustee, co-trustee, grantor, or beneficiary of the Moskovitz 2005 Trust and the Moskovitz 2018 Trust. The address of Mr. Moskovitz is 394 Paci",2026-09-16T09:59:24Z,DEF 14C same identity sentence as A03.,1,,,"primary=meta-def14c-2020-000066-20260916T095920Z.html sha256=20baa72c024a780efd8035de86b6eddd397322611a6c4a0e1a269a1ee3201db7. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A05,A,MDE,C07.E2;C07.E3,Good Ventures Foundation FY2024 Form 990-PF Schedule B names DUSTIN A MOSKOVITZ REMAINDER INTEREST TRUST as contributor 1,investment vehicle,"Dustin Moskovitz Remainder Interest Trust dated March 10, 2018",DUSTIN A MOSKOVITZ REMAINDER INTEREST TRUST,DUSTIN A MOSKOVITZ REMAINDER INTEREST TRUST,,GOOD VENTURES FOUNDATION,contributor (Schedule B),,,,transfer,446082975,USD,2024-02-05,day,FY2024 (2023-07-01 to 2024-06-30),,,,,,,,,,,,,yes,funder filings,GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml ; EIN 461008520 object 202501349349105365,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,<BusinessNameLine1Txt>DUSTIN A MOSKOVITZ REMAINDER INTEREST TRUST</BusinessNameLine1Txt>,2026-09-16T09:50:24Z,"Schedule B ContributorNum 1 business name is DUSTIN A MOSKOVITZ REMAINDER INTEREST TRUST; address 314 LYTTON AVE PALO ALTO CA 94301; TotalContributionsAmt 446082975. SubstantialContributorsSch repeats the same name. This is a contribution into Good Ventures Foundation, not a METR payment.",2,Form 5227 of the named trust if it is a split-interest filer (not located in public 990 indexes); Good Ventures FY2025 XML object 202641359349102829 listed on index_2026.csv but standalone XML 404/GT NoSuchKey this lane,"990-PF names the trust as a contributor of publicly traded securities; it does not state the trust's federal type, trustee, or beneficiaries. Good Ventures Foundation EIN 46-1008520 is a different legal entity from the trust.","primary=gvf-fy2024-202501349349105365-20260916T095024Z.xml sha256=1b7151409a085e9b8bf0dd51ad8dabee8a5854b540fd5bf28f9d5d2de1a6ba09 bytes=616820. Also <TotalContributionsAmt>446082975</TotalContributionsAmt> and SubstantialContributorsSch. amount_usd is the GVF Schedule B gift, not a METR amount, not summed. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A06,A,MDF,C07.E2;C07.E3,Good Ventures Foundation FY2024 Schedule B noncash property for contributor 1: publicly traded securities received 2024-02-05,,,DUSTIN A MOSKOVITZ REMAINDER INTEREST TRUST,DUSTIN A MOSKOVITZ REMAINDER INTEREST TRUST,,GOOD VENTURES FOUNDATION,,,,,,,,2024-02-05,day,FY2024,,,,,,,,,,,,,,funder filings,GET same XML; NonCashPropertyContributionGrp ContributorNum 1,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,"<NoncashPropertyDesc>PUBLICLY TRADED SECURITIES</NoncashPropertyDesc>
        <FairMarketValueAmt>446082975</FairMarketValueAmt>
        <ReceivedDt>2024-02-05</ReceivedDt>
      </NonCashPropertyContributionGrp>
      <NonCashPropertyContributionGrp>
        <ContributorNum>2</ContributorNum>
     ",2026-09-16T09:50:24Z,"Contributor 1 noncash property is PUBLICLY TRADED SECURITIES, FMV 446082975, received 2024-02-05. Not private stock on this line.",1,,Publicly traded securities on a 990-PF Schedule B are not an Anthropic stake identification. Contributor 2 on the same Schedule B is DUSTIN MOSKOVITZ as a person (different legal entity) and is not merged.,"primary=gvf-fy2024-202501349349105365-20260916T095024Z.xml sha256=1b7151409a085e9b8bf0dd51ad8dabee8a5854b540fd5bf28f9d5d2de1a6ba09. quote concatenates three verbatim XML fields that appear in NonCashPropertyContributionGrp. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing. amount_usd left empty on this property-description row so it is not added to A05; FMV is in quote_300."
A07,A,MDS,C07.E2;C07.E3,"Facebook, Inc. 2018 DEF 14A does not name the 2018 remainder-interest trust; it names the 2008 Annuity Trust for the same 6,830,855 Class B block",,,"The Dustin Moskovitz 2008 Annuity Trust dated March 10, 2008",,,,,,,,,,,2018-04-13,day,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1326801/000132680118000022/facebook2018definitiveprox.htm ; filter Dustin Moskovitz Remainder Interest Trust,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000022/facebook2018definitiveprox.htm,"none found in Facebook 2018 DEF 14A facebook2018definitiveprox.htm as of 2026-09-16T09:50:43Z for Dustin Moskovitz Remainder Interest Trust dated March 10, 2018",2026-09-16T09:50:43Z,none found in Facebook 2018 DEF 14A as of 2026-09-16T09:50:43Z for the 2018 remainder-interest trust. The 2008 Annuity Trust is a different legal entity.,0,,"A 'Remainder Interest Trust' string in this 2018 file is the Christopher K. Cox 2009 annuity-trust remainder, a different person, and is not merged.","primary=meta-def14a-2018-20260916T095039Z.bin sha256=0a40df4c072d2b3cdf877dd619f6503ada925e26d7b48b55311e46276988c9bd. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A08,A,MDS,C07.E2;C07.E3,"Facebook, Inc. 2021 DEF 14A drops the remainder-interest trust from Moskovitz attributed holdings",,,,,,,,,,,,,,2021-04-09,day,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1326801/000132680121000022/facebook2021definitiveprox.htm ; filter Remainder Interest Trust | Van Loben | Moskovitz 2018,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000022/facebook2021definitiveprox.htm,none found in Facebook 2021 DEF 14A facebook2021definitiveprox.htm as of 2026-09-16T10:02:04Z for Dustin Moskovitz Remainder Interest Trust,2026-09-16T10:02:04Z,none found in Facebook 2021 DEF 14A as of 2026-09-16T10:02:04Z for the remainder-interest trust (0). Only the 2005 Trust remains in the Moskovitz Class B footnote.,0,,Absence from a later proxy is not a filing that the trust ceased to exist; it is a bounded negative of this document.,"primary=meta-def14a-2021-000022-20260916T100204Z.bin sha256=d04cdc20cd5fdd57efd0cfecd9f8874e639ea146da63ebd2b1d9ad6b2b01c656. Remainder Interest Trust count=0. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A09,A,MDS,C07.E2;C07.E3,"Meta Platforms, Inc. 2022 DEF 14A does not name the remainder-interest trust",,,,,,,,,,,,,,2022-04-08,day,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1326801/000132680122000043/meta2022definitiveproxysta.htm ; filter Remainder Interest Trust | Van Loben | Moskovitz 2018,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000043/meta2022definitiveproxysta.htm,none found in Meta 2022 DEF 14A meta2022definitiveproxysta.htm as of 2026-09-16T10:03:29Z for Dustin Moskovitz Remainder Interest Trust,2026-09-16T10:03:29Z,none found in Meta 2022 DEF 14A as of 2026-09-16T10:03:29Z (0). Remainder Interest Trust / Van Loben / Moskovitz 2018 counts are 0.,0,,,"primary=meta-def14a-2022-000043-20260916T100329Z.html sha256=36c9149296387411d5c93053923547e28d150b70fb313beec04cb950cae6cd46. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A10,A,MDS,C07.E2;C07.E3,"Meta Platforms, Inc. 2023 DEF 14A submission text does not name the remainder-interest trust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC,GET https://www.sec.gov/Archives/edgar/data/1326801/000132680123000050/0001326801-23-000050.txt ; filter Remainder Interest Trust | Van Loben | Moskovitz 2018,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000050/0001326801-23-000050.txt,none found in Meta 2023 DEF 14A submission 0001326801-23-000050.txt as of 2026-09-16T10:03:36Z for Dustin Moskovitz Remainder Interest Trust / Van Loben / Moskovitz 2018 (0),2026-09-16T10:03:36Z,none found in Meta 2023 DEF 14A .txt as of 2026-09-16T10:03:36Z (0).,0,,"32,027,522-byte submission text searched as saved; iXBRL display may wrap tokens but the ASCII strings Remainder Interest Trust / Van Loben / Moskovitz 2018 are absent.","primary=meta-def14a-2023-txt-20260916T100336Z.txt sha256=d977e8234630aacee03ecfbfecb366b87e00796e3a3df134ac19313941041227 bytes=32027522. research/STATE.md read 2026-09-16 before facts were added; C07 still open. Seed ST78/ST95 used only as locators (Dustin A Moskovitz Remainder Interest Trust / Dustin Moskovitz Remainder Interest Trust dated March 10, 2018) and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
