# metr_deep commitment reconciliation; derived from promoted rows only by scripts/build_commitment_reconciliation.py at 2026-09-16T20:17:25Z; seed and lineage context rows excluded; money types never summed across type; regenerate after every promotion
kind,row_id,counterparty,money_type,amount_usd,currency,date,period,decision,reason,url
denominator,MDF0089,not stated in this source,commitment,71000000,USD,2026-08-14,the last 6 months (sentence as of 2026-08-14; derived window approximately 2026-02-14 to 2026-08-14),denominator,METR's own statement of commitments raised in the last 6 months; approximate,https://metr.org/blog/2026-08-14-funding-update/
compatible_component,MDP0030,The David and Lucile Packard Foundation,commitment,350000,USD,2026-07-06,award year 2026; listing 2026-07-06 inside window,included,"Listing date is not an instrument date. Award year 2026 is coarser than the six-month window; compatibility of period rests on datePublished 2026-07-06 falling inside the derived window, not on a signed-grant day.",https://www.packard.org/grantee/model-evaluation-and-threat-research/
excluded,MDP0031,,filed_grant,13639155,USD,2024-12-31,FY2024 short year 2024-05-01 to 2024-12-31,excluded,Filed revenue is not a commitment. FY2024 is before the last-6-months window.,https://projects.propublica.org/nonprofits/organizations/991219864
excluded,MDP0032,Alignment Research Center,transfer,4501424,USD,2024-12-31,FY2024,excluded,"This lane re-fetched the FY2024 Form 990 XML. RelatedOrganizationsAmt is a transfer, not a commitment, and FY2024 is before the last-6-months window.",https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11C.zip
excluded,MDP0033,The Audacious Project (TED),commitment,38000000,USD,2024-10-09,,excluded,Joint-project commitment; not a METR-only amount. Approximate.,https://www.rand.org/news/press/2024/10/09.html
excluded,MDP0034,The Audacious Project (TED),commitment,17000000,USD,2024-10-09,,excluded,Subset of the ~$38M Canary commitment; not additive with it or with the later bit-under-$16m restatement.,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/
excluded,MDP0035,The Audacious Project (TED),commitment,<16000000,USD,2025-09-28,3 years (restated 2025-09-28),excluded,Not an exact integer. Not additive with the 2024-10-09 $17 million figure.,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c
excluded,MDP0036,,commitment,~13000000 per year,USD,2025-09-28,"annual, Sep 2025",excluded,A run rate is not an inbound amount.,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c
excluded,MDP0037,,,,,2025-09-28,,excluded,"Runway is derived spend coverage, not a funding event.",https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c
excluded,MDP0038,Survival and Flourishing Fund (Jaan Tallinn),recommendation,204000,USD,SFF-2024,,excluded,Round label SFF-2024 is not a day date. A recommendation is not a commitment and not a payment.,https://survivalandflourishing.fund/
