# fetch_window_utc=2026-09-16T16:45:13Z/2026-09-16T17:30:01Z
# routes_used=research/STATE.md (read-first); promoted research/{entities,funding_events,in_kind_access,provenance,project_coi,relationships,source_coverage,timeline}.csv; research/{commitment_reconciliation,supporter_coverage,independence_matrix,calendar,CLAIMS.md}; research/agents-2026-09-16/{AUDIT-MONEY.md,AUDIT-FRAMING.md}; PLAN.md §8 and MD51 defect list; casework.json lane_columns/source_classes/banned_motive_words; posted seed figures via git -C repo show f64df65a16400fd88a77536111851695acc9a928 vs HEAD 17539bac0dfa40ba8b93d530e0544c883903c3ca; live GET https://metr.org/blog/2026-08-14-funding-update/ https://metr.org/about https://www.packard.org/grantee/model-evaluation-and-threat-research/; local pack figures/ after render; research/outreach/receipts/; scripts/lint_figures.py and scripts/check_lane.py (run, not edited)
# caps_hit=none on live GETs this lane (funding-update HTTP 200 50832 bytes; about HTTP 200 97252 bytes; packard HTTP 200 193269 bytes). IRS TEOS detailsPage, GreaterWrong, SEC efts, TED, and PACER were not re-queried; already-held 403/429/empty states cited from STATE.md and promoted MDS rows, not recollected as new discoveries.
# no_kevinnbass_sources=true
# research/STATE.md read before adding facts; already-held Packard $350,000 compatible component; ~$70.65M unresolved remainder; entity separations (Moskovitz individual / Good Ventures Foundation / Dustin A. Moskovitz Remainder Interest Trust / Coefficient Giving; Jane Street individuals vs Jane Street the firm; ARC EIN 86-3605182 vs METR EIN 99-1219864; Schmidt Sciences vs Eric Schmidt; Jaan Tallinn vs Survival and Flourishing Fund vs Survival and Flourishing Corp) are cited as already held, not as new discoveries; this lane sent nothing and did not ask how the approximately $71 million commitment total was composed or allocated
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDP,C10.E1;C10.E3,Rendered figures/metr-deep-01-71m-known-and-unknown.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,render PLAN.md §8 stem metr-deep-01-71m-known-and-unknown from currently promoted pack rows; live re-verify https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T16:45:13Z,"rendered; Compatible Packard $350,000 commitment; unresolved remainder around $70.65 million of the same money type; exclusions typed and unsummed. cited=MDF0020;MDF0037;MDF0038;MDF0045;MDF0046;MDF0047;MDF0058;MDF0064;MDF0065;MDF0070;MDF0072;MDF0089;MDF0165;MDF0166;MDI0047;MDP0030;MDP0031;MDP0048;MDP0053;MDP0055;MDP0056;MDP0521;MDP0522;MDP0529",24,none for this stem; unready stems: none (all six PLAN.md §8 stems rendered),Figures use currently promoted rows only; MD47 adjacency inventory not waited on; C02.E1/C04.E3/C06.E4/C07.E1 remain open as labelled unknown blocks.,"Primary: rendered-metr-deep-01-71m-known-and-unknown-20260916T165251Z.html and live capture of https://metr.org/blog/2026-08-14-funding-update/. Unknown/undisclosed/not stated/not disclosed block: Unknown / undisclosed / not stated / not disclosed Composition of the unresolved remainder is not stated in any public source checked for this pack. It is not a list of unnamed donors. MDP0056 MDP0522 Packard listing date is not an instrument date; paid versus approved status is not disclosed on the catalog page. MDP0030 MDF0020 Whether in-kind tokens or credits sit inside the commitment sentence . Cited row ids: MDF0020;MDF0037;MDF0038;MDF0045;MDF0046;MDF0047;MDF0058;MDF0064;MDF0065;MDF0070;MDF0072;MDF0089;MDF0165;MDF0166;MDI0047;MDP0030;MDP0031;MDP0048;MDP0053;MDP0055;MDP0056;MDP0521;MDP0522;MDP0529. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
A02,A,MDP,C10.E3,Rendered figures/metr-deep-02-supporter-ledger.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,render PLAN.md §8 stem metr-deep-02-supporter-ledger from currently promoted pack rows; live re-verify https://metr.org/about,https://metr.org/about,"individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org",2026-09-16T16:45:13Z,rendered; Named supporters with public amount or exact gap; filed payers unmerged from named list. cited=MDF0018;MDF0020;MDF0022;MDF0023;MDF0025;MDF0027;MDF0029;MDF0034;MDF0037;MDF0038;MDF0045;MDF0046;MDF0047;MDF0051;MDF0052;MDF0053;MDF0058;MDF0064;MDF0065;MDF0070;MDF0072;MDF0165;MDF0166;MDF0613;MDP0030;MDP0048;MDP0050;MDP0051;MDP0054;MDS0590,30,none for this stem; unready stems: none (all six PLAN.md §8 stems rendered),Figures use currently promoted rows only; MD47 adjacency inventory not waited on; C02.E1/C04.E3/C06.E4/C07.E1 remain open as labelled unknown blocks.,"Primary: rendered-metr-deep-02-supporter-ledger-20260916T165251Z.html and live capture of https://metr.org/about. Unknown/undisclosed/not stated/not disclosed block: Unknown / undisclosed / not stated / not disclosed METR’s named-supporter list as a dated page version with a capture hash is not independently bound as C02.E1 evidence. This table uses the live about-page wording re-fetched for this lane, plus promoted rows. Capture date of the list as a claim element remains open. Amounts, vehicles, and gift dates for individuals from Jane Street, Sijbrandij Fou. Cited row ids: MDF0018;MDF0020;MDF0022;MDF0023;MDF0025;MDF0027;MDF0029;MDF0034;MDF0037;MDF0038;MDF0045;MDF0046;MDF0047;MDF0051;MDF0052;MDF0053;MDF0058;MDF0064;MDF0065;MDF0070;MDF0072;MDF0165;MDF0166;MDF0613;MDP0030;MDP0048;MDP0050;MDP0051;MDP0054;MDS0590. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
A03,A,MDP,C10.E2;C10.E3,Rendered figures/metr-deep-03-independence-stack.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,render PLAN.md §8 stem metr-deep-03-independence-stack from currently promoted pack rows; live re-verify https://metr.org/about,https://metr.org/about,"METR has not accepted funding from AI companies, though we make use of significant free tokens, which we use for evaluations, research, and engineering, as noted above.",2026-09-16T16:45:13Z,"rendered; Five layers kept separate: lab cash, in-kind, access terms, personnel disclosures, governance. cited=MDF0020;MDF0089;MDI0031;MDI0034;MDI0043;MDI0047;MDP0272;MDP0531;MDQ0002;MDQ0036;MDQ0046;MDQ0063;MDQ0095;MDQ0102;MDR0043;MDR0079;MDR0093;MDS0590",18,none for this stem; unready stems: none (all six PLAN.md §8 stems rendered),Figures use currently promoted rows only; MD47 adjacency inventory not waited on; C02.E1/C04.E3/C06.E4/C07.E1 remain open as labelled unknown blocks.,"Primary: rendered-metr-deep-03-independence-stack-20260916T165251Z.html and live capture of https://metr.org/about. Unknown/undisclosed/not stated/not disclosed block: Unknown / undisclosed / not stated / not disclosed Compensation is undisclosed on most company-identifying evaluation posts. Silence is not a documented zero-dollar paid_grant. MDP0531 Safe harbor is not stated except where the Frontier Risk Report records “Not requested”. MDQ0002 The unnamed “at least 6” close personal relationships on the Frontier Risk Report are not identified. This page does n. Cited row ids: MDF0020;MDF0089;MDI0031;MDI0034;MDI0043;MDI0047;MDP0272;MDP0531;MDQ0002;MDQ0036;MDQ0046;MDQ0063;MDQ0095;MDQ0102;MDR0043;MDR0079;MDR0093;MDS0590. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
A04,A,MDP,C10.E3,Rendered figures/metr-deep-04-project-terms.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,render PLAN.md §8 stem metr-deep-04-project-terms from currently promoted pack rows; live re-verify https://metr.org/blog/2026-05-19-frontier-risk-report/,https://metr.org/blog/2026-05-19-frontier-risk-report/,METR did not request or receive compensation for this assessment. Participants provided complimentary access to their models.,2026-09-16T09:30:37Z,rendered; Provider-by-project terms; undisclosed cells labelled as not stated. cited=MDI0011;MDI0019;MDI0022;MDQ0002;MDQ0008;MDQ0023;MDQ0063;MDQ0094;MDQ0095;MDQ0096;MDQ0102;MDQ0103;MDQ0104;MDQ0105;MDQ0106;MDQ0107;MDQ0108;MDQ0109;MDS0611;MDS0615,20,none for this stem; unready stems: none (all six PLAN.md §8 stems rendered),Figures use currently promoted rows only; MD47 adjacency inventory not waited on; C02.E1/C04.E3/C06.E4/C07.E1 remain open as labelled unknown blocks.,"Primary: rendered-metr-deep-04-project-terms-20260916T165251Z.html and live capture of https://metr.org/blog/2026-05-19-frontier-risk-report/. Unknown/undisclosed/not stated/not disclosed block: Unknown / undisclosed / not stated / not disclosed An explicit primary-strength inventory of every undisclosed term (C04.E3) is still open. Cells below that lack an evidence row say so. Compensation, NDA text, safe harbor, and exit rights are not stated on most evaluation posts. Anthropic 2026-09-09 investigation: report not yet posted; terms of engagement otherwise undisclosed on METR pages. MDQ0. Cited row ids: MDI0011;MDI0019;MDI0022;MDQ0002;MDQ0008;MDQ0023;MDQ0063;MDQ0094;MDQ0095;MDQ0096;MDQ0102;MDQ0103;MDQ0104;MDQ0105;MDQ0106;MDQ0107;MDQ0108;MDQ0109;MDS0611;MDS0615. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
A05,A,MDP,C10.E3,Rendered figures/metr-deep-05-provenance.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,render PLAN.md §8 stem metr-deep-05-provenance from currently promoted pack rows; live re-verify https://metr.org/about,https://metr.org/about,"individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org",2026-09-16T17:30:01Z,"rendered; Documented METR receipts vs adjacent organisations outside the money-flow layer. Jane Street cell cites MDE0001/MDE0058/MDE0133 (FTX-estate purchaser Jane Street Global Trading, LLC). Filed Canary-to-RAND cites MDP0046/MDP0047; joint-commitment announcements remain MDF0125/MDF0165. cited=MDE0001;MDE0058;MDE0133;MDE0137;MDE0139;MDF0020;MDF0037;MDF0038;MDF0051;MDF0052;MDF0053;MDF0058;MDF0064;MDF0065;MDF0125;MDF0165;MDF0176;MDP0046;MDP0047;MDP0053;MDR0043;MDR0079;MDR0093;MDS0361;MDS0362;MDS1015;MDS1016",27,none for this stem; unready stems: none (all six PLAN.md §8 stems rendered),Figures use currently promoted rows only; MD47 adjacency inventory not waited on; C02.E1/C04.E3/C06.E4/C07.E1 remain open as labelled unknown blocks.,"Primary: rendered-metr-deep-05-provenance-20260916T165251Z.html plus later render under research/primary/MD53-figures-and-release/. Unknown/undisclosed/not stated/not disclosed block includes MDS0361/MDS0362 (Valhalla/High Tide TY2024 none-found of a METR Canary line). Cited row ids: MDE0001;MDE0058;MDE0133;MDE0137;MDE0139;MDF0020;MDF0037;MDF0038;MDF0051;MDF0052;MDF0053;MDF0058;MDF0064;MDF0065;MDF0125;MDF0165;MDF0176;MDP0046;MDP0047;MDP0053;MDR0043;MDR0079;MDR0093;MDS0361;MDS0362;MDS1015;MDS1016. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
A06,A,MDP,C10.E3,Rendered figures/metr-deep-06-stock-question.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funder filings,render PLAN.md §8 stem metr-deep-06-stock-question from currently promoted pack rows; live re-verify https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,<NoncashPropertyDesc>PUBLICLY TRADED SECURITIES</NoncashPropertyDesc>,2026-09-16T09:44:02Z,rendered; Known/excluded/unresolved vehicle evidence; no METR funding implication without an onward transaction. cited=MDE0105;MDE0139;MDF0020;MDF0296;MDF0326;MDF0331;MDF0333;MDP0053;MDP0454;MDP0456;MDS0938;MDS1011;MDS1012;MDS1013;MDS1014;MDS1015;MDS1016,17,none for this stem; unready stems: none (all six PLAN.md §8 stems rendered),Figures use currently promoted rows only; MD47 adjacency inventory not waited on; C02.E1/C04.E3/C06.E4/C07.E1 remain open as labelled unknown blocks.,"Primary: rendered-metr-deep-06-stock-question-20260916T165251Z.html and live capture of https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml. Unknown/undisclosed/not stated/not disclosed block: Unknown / undisclosed / not stated / not disclosed Dated public statements about a donated Anthropic stake, quoted exactly as C07.E1 evidence, are not independently bound (element still open; seed-context rows only). Whether any Anthropic shares sit in the remainder-interest trust, in Good Ventures Foundation, in a donor-advised account, or elsewhere is not identified by a public holder table. No . Cited row ids: MDE0105;MDE0139;MDF0020;MDF0296;MDF0326;MDF0331;MDF0333;MDP0053;MDP0454;MDP0456;MDS0938;MDS1011;MDS1012;MDS1013;MDS1014;MDS1015;MDS1016. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
A07,A,MDS,C10.E1;C10.E3,PLAN.md §8 stems skipped as unready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,enumerate PLAN.md §8 stems vs currently promoted pack rows (C01 ready; C02.E2 ledger ready with C02.E1 gap shown; C03/C08 layers ready; C04 matrix with undisclosed cells; C06 documented METR receipts; C07.E2–E4 vehicle bound),https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T16:52:51Z,none found in PLAN.md §8 stem list as of 2026-09-16T16:52:51Z of a stem whose claims could not be rendered from currently promoted pack rows,0,C02.E1 named-supporter capture hash; C04.E3 primary undisclosed-terms inventory; C06.E4 MD47 edge inventory; C07.E1 dated donation statements,Open elements are shown as unknown blocks on the rendered figures rather than as a reason to skip the stem.,"Primary: scan-commitment_reconciliation-20260916T165251Z.txt. All six stems rendered. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
B01,B,MDP,C10.E3,metr-deep-01 around $71 million / working integer 71000000,,,MDF0089,,,,,,,,commitment,71000000,USD,,,,,,,,,,,,,,,,,issuer statements,figure number -> promoted MDF0089,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T06:03:45Z,number on figure resolves to MDF0089,1,,Amount copied from the promoted row; money types are never summed across type.,"Primary is the promoted row MDF0089 and the live/local capture of its url. Figure bibliography only; not a new funding fact. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
B02,B,MDP,C10.E3,"metr-deep-01 $350,000 Packard compatible component",,,MDF0020,,,,,,,,commitment,350000,USD,,,,,,,,,,,,,,,,,issuer statements,figure number -> promoted MDF0020,https://www.packard.org/grantee/model-evaluation-and-threat-research/,"1 Grants / $350,000",2026-09-16T05:32:20Z,number on figure resolves to MDF0020,1,,Amount copied from the promoted row; money types are never summed across type.,"Primary is the promoted row MDF0020 and the live/local capture of its url. Figure bibliography only; not a new funding fact. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
B03,B,MDP,C10.E3,"metr-deep-01 $350,000 Packard as MDP0030",,,MDP0030,,,,,,,,commitment,350000,USD,,,,,,,,,,,,,,,,,issuer statements,figure number -> promoted MDP0030,https://www.packard.org/grantee/model-evaluation-and-threat-research/,"1 Grants / $350,000",2026-09-16T06:05:27Z,number on figure resolves to MDP0030,1,,Amount copied from the promoted row; money types are never summed across type.,"Primary is the promoted row MDP0030 and the live/local capture of its url. Figure bibliography only; not a new funding fact. research/STATE.md read before adding facts; Packard $350,000 compatible component, ~$70.65M unresolved remainder, and entity separations are already held, not new discoveries. no_kevinnbass_sources. This lane sent nothing and did not ask how the approximately $71 million was composed or allocated."
