# fetch_window_utc=2026-09-16T09:59:25Z/2026-09-16T10:09:30Z
# routes_used=USAspending GET+POST api.usaspending.gov/api/v2/search/spending_by_award/ spending_by_award_count/ recipient/; SAM.gov sam.gov/search HTML, sam.gov/api/prod/sgs/v1/search index=ei|opp, api.sam.gov/entity-information/v3|v4; NIST www.nist.gov/caisi search members join-CRADA March 2026 PDF OpenMined CRADA news; Federal Register API quoted METR and 2026-10779 PDF; grants.gov search HTML; NSF awards.json; California grants.ca.gov and Cal OES CCTF; caleprocure public-search; CanadaBuys; search.open.canada.ca/grants; AusTender; metr.org/about (self-statement locator); r.jina.ai attempted as renderer (HTTP 403)
# caps_hit=USAspending GET 405; other-assistance POST 422; IDV POST 502 then 504; first spending_by_award_count POST 504 (retry 200); autocomplete GET 405; SAM entity/opps API HTTP 404 empty (no API key); SAM HTML search JS shell; SAM SGS legal-name false positives (OFAC THREAT); grants.gov HTML JS shell; CA caleprocure JS redirect shell; CA grants portal keyword not applied in static HTML; CanadaBuys static HTML is unfiltered catalogue (search-total-count 263231; no-results-blurb is department-filter copy); NSF awardeeName=full legal name ignored; Open Canada grants JS no result table; r.jina.ai 403
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; already-held MD01 GovernmentGrantsAmt absence and MD14/MD21 USAspending window POSTs were locators only and were not copied as this lane's award search; this run re-fetched live; UEI not recovered; Alignment Research Center EIN 86-3605182 not merged; UK AISI and EU TED not re-run as primary routes
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDS,C06.E3,"USAspending spending_by_award GET is POST-only (method cap, not a zero-award proof)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,GET https://api.usaspending.gov/api/v2/search/spending_by_award/,https://api.usaspending.gov/api/v2/search/spending_by_award/,"{""detail"":""Method \""GET\"" not allowed.""}",2026-09-16T09:59:25Z,none found in USAspending spending_by_award GET (HTTP 405) as of 2026-09-16T09:59:25Z,0,POST spending_by_award with recipient_search_text and award_type_codes (A02-A05),"GET 405 is a method cap, not proof of zero awards. This lane POSTed the same path.","Saved usaspending-sba-GET-20260916T095925Z.json. Public API POST is a read, not a bid or contact. research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes."
A02,A,MDS,C06.E3,USAspending recipient listing by legal name Model Evaluation and Threat Research,recipient,"METR; Model Evaluation and Threat Research, Inc.",99-1219864,,,Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,procurement records,POST https://api.usaspending.gov/api/v2/recipient/ keyword=Model Evaluation and Threat Research award_type=all page=1 limit=50,https://api.usaspending.gov/api/v2/recipient/,"{""page_metadata"":{""page"":1,""total"":0,""limit"":50,""next"":null,""previous"":null,""hasNext"":false,""hasPrevious"":false},""results"":[]}",2026-09-16T09:59:26Z,none found in USAspending recipient listing keyword Model Evaluation and Threat Research as of 2026-09-16T09:59:26Z,0,same endpoint keyword=METR (A07); keyword=991219864 (A06),Recipient listing searches name/UEI/DUNS already in USAspending profiles. An unpublished UEI or a recipient never awarded would not appear. Not an unbounded no-federal-award claim.,"Also POST keyword=Model Evaluation and Threat Research, Inc. returned the same total=0/results=[] body (usaspending-recipient-keyword-inc-20260916T095927Z.json). UEI not present in this index. research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes."
A03,A,MDS,C06.E3,USAspending awards to legal name Model Evaluation and Threat Research (grants),recipient,METR,,,,Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,procurement records,"POST https://api.usaspending.gov/api/v2/search/spending_by_award/ filters.recipient_search_text=['Model Evaluation and Threat Research'] award_type_codes=02,03,04,05 time_period=2007-10-01/2026-09-16 page=1 limit=100",https://api.usaspending.gov/api/v2/search/spending_by_award/,"{""spending_level"":""awards"",""limit"":100,""results"":[]",2026-09-16T09:59:35Z,none found in USAspending spending_by_award grants recipient_search_text Model Evaluation and Threat Research for 2007-10-01 to 2026-09-16 as of 2026-09-16T09:59:35Z,0,,"Keyword/recipient_search_text is not a UEI match when no UEI is published. Mixed other-assistance POST returned HTTP 422. IDV POST hit HTTP 502 then 504 (cap, not a zero-IDV proof). Earliest API date 2007-10-01.","Same empty results[] for contracts (A,B,C,D) on the legal name (usaspending-sba-rst-full-contracts-20260916T100034Z.json) and for Inc. grants retry (usaspending-sba-rst-inc-grants-retry-20260916T100811Z.json). Primary usaspending-sba-rst-full-grants-20260916T095935Z.json. research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes."
A04,A,MDS,C06.E3,USAspending award-count by type for legal name Model Evaluation and Threat Research,,,,,,Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,procurement records,POST https://api.usaspending.gov/api/v2/search/spending_by_award_count/ recipient_search_text=['Model Evaluation and Threat Research'] award_type_codes=grants+contracts+idvs+other time_period=2007-10-01/2026-09-16,https://api.usaspending.gov/api/v2/search/spending_by_award_count/,"{""results"":{""contracts"":0,""direct_payments"":0,""grants"":0,""idvs"":0,""loans"":0,""other"":0}",2026-09-16T10:08:13Z,none found in USAspending spending_by_award_count recipient_search_text Model Evaluation and Threat Research (contracts=0 direct_payments=0 grants=0 idvs=0 loans=0 other=0) as of 2026-09-16T10:08:13Z,0,,Count endpoint does not return award ids. First count POST this run returned HTTP 504 (cap); this row is the HTTP 200 retry. A custom award download or a later UEI-keyed search could still differ.,Primary usaspending-sba-count-rst-full-retry-20260916T100813Z.json. First 504 body saved usaspending-sba-count-rst-full-20260916T100241Z.json. This is the machine-readable all-type count for the legal name. research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes.
A05,A,MDS,C06.E3,USAspending subawards to legal name Model Evaluation and Threat Research,,,,,,Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,procurement records,"POST https://api.usaspending.gov/api/v2/search/spending_by_award/ subawards=true recipient_search_text=['Model Evaluation and Threat Research'] award_type_codes=02,03,04,05 sort=Sub-Award Amount",https://api.usaspending.gov/api/v2/search/spending_by_award/,"{""spending_level"":""subawards"",""limit"":100,""results"":[]",2026-09-16T10:03:41Z,none found in USAspending spending_by_award subawards recipient_search_text Model Evaluation and Threat Research as of 2026-09-16T10:03:41Z,0,,Contracts subawards also results=[]. Subaward search is not a UEI match when no UEI is published.,Primaries usaspending-sba-subawards-full-20260916T100341Z.json and usaspending-sba-subawards-contracts-20260916T100441Z.json. Not an award row. research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes.
A06,A,MDS,C06.E3,USAspending recipient listing by EIN 991219864 (UEI not recovered; EIN used as identifier search),,,99-1219864,,,Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,procurement records,POST https://api.usaspending.gov/api/v2/recipient/ keyword=991219864 award_type=all; also keyword=99-1219864; spending_by_award recipient_search_text=['991219864'] grants/contracts,https://api.usaspending.gov/api/v2/recipient/,"{""page_metadata"":{""page"":1,""total"":0,""limit"":50,""next"":null,""previous"":null,""hasNext"":false,""hasPrevious"":false},""results"":[]}",2026-09-16T09:59:30Z,none found in USAspending recipient listing keyword 991219864 or 99-1219864 as of 2026-09-16T09:59:30Z,0,,"EIN is not a UEI. USAspending recipient keyword is documented to search name, UEI, and DUNS; a 0-hit EIN search does not recover a UEI.",Hyphenated EIN body identical total=0 (usaspending-recipient-keyword-ein-hyphen-20260916T095931Z.json). spending_by_award rst-ein grants/contracts also results=[]. UEI not recovered from USAspending. research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes.
A07,A,MDS,C06.E3,"USAspending alias METR is metropolitan-prefix false positives, not the METR legal entity",,METR,,,,Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,procurement records,POST https://api.usaspending.gov/api/v2/recipient/ keyword=METR award_type=all page=1 limit=50,https://api.usaspending.gov/api/v2/recipient/,"""name"":""METROPOLITAN TRANSPORTATION AUTHORITY"",""recipient_level"":""C"",""amount"":2802530353.0",2026-09-16T09:59:29Z,none found in USAspending recipient listing keyword METR first page for legal name Model Evaluation and Threat Research as of 2026-09-16T09:59:29Z,28513,,Alias METR substring-matches METROPOLITAN* and similar. page_metadata.total=28513. First 50 names inspected; none were Model Evaluation and Threat Research. False positives are not METR awards and are not summed.,Legal-name and Inc. searches (A02-A04) are the entity-bounded queries. Primary usaspending-recipient-keyword-metr-20260916T095929Z.json. research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes.
A08,A,MDS,C06.E3,SAM.gov public entity search q=METR (registration / UEI),,METR,,,,Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,procurement records,GET https://sam.gov/api/prod/sgs/v1/search/?index=ei&page=0&size=25&q=METR,https://sam.gov/api/prod/sgs/v1/search/?index=ei&page=0&size=25&q=METR,"""page"":{""size"":0,""totalElements"":0,""totalPages"":0,""number"":0,""maxAllowedRecords"":10000}",2026-09-16T10:05:45Z,none found in SAM.gov SGS entity index q=METR as of 2026-09-16T10:05:45Z,0,SAM entity-information API v4 (A10); q=99-1219864 (A09),"Public SGS may omit entities that opted out of public search. HTML sam.gov/search entity pages are JS shells (43308 bytes). This is a bounded public-search negative, not proof that no SAM record exists behind login.",Primary sam-sgs-ei-metr-20260916T100545Z.json. Registration not recovered. A registration is not an award (Task D). research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes.
A09,A,MDS,C06.E3,SAM.gov public entity search q=99-1219864 (EIN; UEI still unpublished),,,99-1219864,,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,GET https://sam.gov/api/prod/sgs/v1/search/?index=ei&page=0&size=25&q=99-1219864,https://sam.gov/api/prod/sgs/v1/search/?index=ei&page=0&size=25&q=99-1219864,"""page"":{""size"":0,""totalElements"":0,""totalPages"":0,""number"":0,""maxAllowedRecords"":10000}",2026-09-16T10:05:45Z,none found in SAM.gov SGS entity index q=99-1219864 as of 2026-09-16T10:05:45Z,0,,EIN is not a UEI. SAM public entity search did not return a UEI for this EIN.,Primary sam-sgs-ei-ein-20260916T100545Z.json. Legal-name SGS query returned OFAC/exclusion false positives (ADVANCED PERSISTENT THREAT 39) not Model Evaluation and Threat Research (A11). research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes.
A10,A,MDS,C06.E3,SAM.gov Entity Management API v4 legalBusinessName search (UEI recovery attempt; API key required),,,,,,MODEL EVALUATION AND THREAT RESEARCH,,,,,,,,,,,,,,,,,,,,,,,,procurement records,GET https://api.sam.gov/entity-information/v4/entities?legalBusinessName=MODEL EVALUATION AND THREAT RESEARCH&includeSections=entityRegistration (no API key),https://api.sam.gov/entity-information/v4/entities?legalBusinessName=MODEL%20EVALUATION%20AND%20THREAT%20RESEARCH&includeSections=entityRegistration,HTTP 404,2026-09-16T10:09:30Z,none found in SAM.gov entity-information v4 legalBusinessName MODEL EVALUATION AND THREAT RESEARCH as of 2026-09-16T10:09:30Z (HTTP 404 empty body),0,,"Entity Management API requires a SAM.gov API key. HTTP 404 with Content-Length 0 is a retrieval cap, not a completed authenticated entity extract. UEI not recovered. Obtaining a key is a submission this lane does not make.",Transcript sam-entity-api-v4-full-http-20260916T100930Z.txt. Empty JSON sibling sam-entity-api-v4-full-20260916T100545Z.json. v3 METR also HTTP 404 empty. This lane did not register for a SAM API key and did not contact GSA. research/STATE.md read before adding facts; already-held MD21 locators (USAspending/SAM empty for the METR legal name and EIN; NIST membership and CAISI CRADA/DTA listing are not awards) were re-verified this run and are not presented as a first discovery. Alignment Research Center EIN 86-3605182 not merged. UEI not recovered. no_kevinnbass_sources. UK AISI and EU TED/FTS not re-run as primary routes.
