# fetch_window_utc=2026-09-16T12:27:12Z/2026-09-16T12:33:54Z
# routes_used=GitHub contents API numeric repo 1370599694 (posted commit f64df65a16400fd88a77536111851695acc9a928 figure HTML, README, figures directory); metr.org /about /blog/2026-08-14-funding-update/ /; anthropic.com/news and Series A; stratechery.com Moskovitz interview; SEC EDGAR efts.sec.gov/LATEST/search-index; California OAG charities landing and May Not Operate CSV; Delaware ICIS NameSearch GET; IRS TEOS landing and detailsPage; ProPublica Nonprofit Explorer METR 991219864 and ARC 863605182; CourtListener RECAP FTX Exhibit 1 PDF; Business Insider METR profile (live and r.jina.ai); r.jina.ai GreaterWrong; GreaterWrong and LessWrong comment URLs; pack figures/ listing; promoted tables scan; STATE.md PLAN.md §8 independence_matrix.csv scan
# caps_hit=IRS TEOS detailsPage HTTP 403 Access Denied (landing /app/eos HTTP 200 SPA); GreaterWrong HTTP 429; LessWrong HTTP 429; r.jina.ai GreaterWrong returned keyboard-shortcut chrome not the comment; guessed Business Insider and WIRED permalinks HTTP 404; Delaware ICIS GET is a search form not an entity dump; CA May Not Operate CSV is not a full registrant dump
# no_kevinnbass_sources=true
# research/STATE.md read before adding facts; S3 entity adjudications (UNRESOLVED 0), Jane Street/Schmidt/Moskovitz/ARC-METR separations, Vanguard principal-undisclosed, TEOS 403, and the ~$71M remainder are cited as already held and are not recollected as new discoveries; this lane sent nothing and did not ask how the approximately $71 million was composed or allocated
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDE,C05.E3,Posted figure metr-11 node merges Dustin Moskovitz the individual with Coefficient Giving / Open Philanthropy,individual,Coefficient Giving; Open Philanthropy,,Dustin Moskovitz,,Coefficient Giving (Open Philanthropy),person standing in for an organisation,,,,,,,,,,,,,,,,,,,,,person-for-org merge in figure label,no,archives,GET GitHub contents API repositories/1370599694 figures/metr-11-same-donors-both-sides-of-the-table.html ref=f64df65a16400fd88a77536111851695acc9a928 Accept=application/vnd.github.raw,https://api.github.com/repositories/1370599694/contents/figures/metr-11-same-donors-both-sides-of-the-table.html?ref=f64df65a16400fd88a77536111851695acc9a928,Dustin Moskovitz / Coefficient,2026-09-16T12:30:16Z,defect: person standing in for an organisation in figure metr-11 (posted commit f64df65; still present in current 17539ba),1,MD53 must not render a Moskovitz/Coefficient/Open-Philanthropy slash node,"Visible label is split across two SVG text nodes ('Dustin Moskovitz / Coefficient' and 'Giving (Open Philanthropy)'); the slash still names one donor row. Coefficient Giving is the former Open Philanthropy name (alias), but Moskovitz the individual is a different legal person from Coefficient Giving Advisors and from Good Ventures Foundation.","Primary: fig-metr-11-20260916T123016Z.html (raw contents API, HTTP 200, 13244 bytes). Posted figure corpus at commit f64df65. Already-held pack rows MDE0083 (Dustin Moskovitz, individual) and Coefficient/Good Ventures entities stay unmerged in this CSV; this is a seed-figure defect, not a new funding fact. research/STATE.md read first."
A02,A,MDE,C05.E3,Posted figure metr-11 node merges Jaan Tallinn the individual with Survival and Flourishing Fund,individual,SFF; Survival and Flourishing Fund,,Jaan Tallinn,,Survival and Flourishing Fund,person standing in for an organisation,,,,,,,,,,,,,,,,,,,,,person-for-org merge in figure label,no,archives,GET GitHub contents API repositories/1370599694 figures/metr-11-same-donors-both-sides-of-the-table.html ref=f64df65a16400fd88a77536111851695acc9a928,https://api.github.com/repositories/1370599694/contents/figures/metr-11-same-donors-both-sides-of-the-table.html?ref=f64df65a16400fd88a77536111851695acc9a928,Jaan Tallinn / Survival and,2026-09-16T12:30:16Z,defect: person standing in for an organisation in figure metr-11,1,"MD53 must keep Tallinn, SFF (recommender), and Survival and Flourishing Corp (MDE0066) unmerged",SVG splits 'Jaan Tallinn / Survival and' and 'Flourishing Fund' across text nodes. SFF recommendations are not payments by Tallinn the natural person; pack MDE0066 already distinguishes SFC from Tallinn.,"Primary: fig-metr-11-20260916T123016Z.html. Already-held SFF/Tallinn/SFC separation in STATE.md and MDE0066 cited, not recollected."
A03,A,MDE,C05.E3,Posted figure metr-11 node merges Schmidt Sciences with Eric Schmidt,individual,"Schmidt Sciences, LLC",,Eric Schmidt,,Schmidt Sciences,person standing in for an organisation,,,,,,,,,,,,,,,,,,,,,person-for-org merge in figure label,no,archives,GET GitHub contents API repositories/1370599694 figures/metr-11-same-donors-both-sides-of-the-table.html ref=f64df65a16400fd88a77536111851695acc9a928,https://api.github.com/repositories/1370599694/contents/figures/metr-11-same-donors-both-sides-of-the-table.html?ref=f64df65a16400fd88a77536111851695acc9a928,Schmidt Sciences / Eric,2026-09-16T12:30:16Z,defect: person standing in for an organisation in figure metr-11,1,"MD53 must keep Eric Schmidt (MDE0061) unmerged from Schmidt Sciences, LLC (MDE0003/MDE0059)","Issuer Anthropic Series A names 'Eric Schmidt' the individual, not Schmidt Sciences. METR's about page names 'Schmidt Sciences' the supporter, not Eric Schmidt.","Primary: fig-metr-11-20260916T123016Z.html. Pack already holds separate Schmidt entities (already-held, not a new discovery)."
A04,A,MDE,C05.E3,Posted figure metr-11 places Jane Street the firm's Anthropic stakes on the METR-donor row labelled Jane Street (individuals),unnamed natural-person class,"individuals from Jane Street; Jane Street Global Trading, LLC; Jane Street Group, LLC",,individuals from Jane Street,,Jane Street (firm),employer standing in for an individual,,,,,,,,,,,,,,,,,,,,,employer-for-individual merge in figure row,no,archives,GET GitHub contents API repositories/1370599694 figures/metr-11-same-donors-both-sides-of-the-table.html ref=f64df65a16400fd88a77536111851695acc9a928,https://api.github.com/repositories/1370599694/contents/figures/metr-11-same-donors-both-sides-of-the-table.html?ref=f64df65a16400fd88a77536111851695acc9a928,Jane Street (individuals),2026-09-16T12:30:16Z,defect: employer standing in for an individual in figure metr-11 (firm Anthropic stakes drawn on the individuals donor row),1,MD53 must not put Jane Street firm equity on the unnamed-individuals METR-donor row,Footnote admits the distinction: the two are not the same and are shown together only because METR does not name the individuals. Showing them together still stands the employer in for the unnamed individuals. Do not deanonymize those individuals.,"Primary: fig-metr-11-20260916T123016Z.html. Contiguous footnote also in that file: Jane Street's Anthropic stakes belong to the firm, while METR names ""individuals from Jane Street""; the two are not the same and are shown together only because METR does not name the individuals. Court exhibit names Jane Street Global Trading, LLC as FTX-estate purchaser (cl-js-exhibit-20260916T122712Z.body / excerpt-20260916T123354Z.txt), already held as MDE0001/MDE0058. Pack MDE0055–MDE0058 keep the class, Group, Capital, and Global Trading unmerged."
A05,A,MDE,C05.E3,Posted figure metr-01 stands Dustin Moskovitz and Cari Tuna in for Good Ventures Foundation,individual,Good Ventures Foundation,,Dustin Moskovitz,Cari Tuna,Good Ventures Foundation,person standing in for an organisation,,,,,,,,,,,,,,,,,,,,,person-for-org merge in figure node,no,archives,GET GitHub contents API repositories/1370599694 figures/metr-01-money-that-doesnt-show-up.html ref=f64df65a16400fd88a77536111851695acc9a928,https://api.github.com/repositories/1370599694/contents/figures/metr-01-money-that-doesnt-show-up.html?ref=f64df65a16400fd88a77536111851695acc9a928,Dustin Moskovitz and Cari Tuna,2026-09-16T12:30:16Z,defect: person standing in for an organisation in figure metr-01 (and metr-01b subtitle: Dustin Moskovitz and Cari Tuna's philanthropy is the money: Good Ventures Foundation),1,"MD53 must label Good Ventures Foundation as the foundation, not as Moskovitz/Tuna",A foundation's 990-PF is not the individuals' gift. SVCF/NPT accounts that pay Coefficient-recommended awards are not identified as theirs (already held).,Primary: fig-metr-01-20260916T123016Z.html. metr-01b subtitle in fig-metr-01b-20260916T123016Z.html uses the same person-for-foundation frame. Pack MDE0083 vs MDE0114 already separate (already-held).
A06,A,MDE,C05.E3,"Posted figures metr-01 and metr-01b call Alignment Research Center METR's parent, merging two 501(c)(3)s for money-path framing",recipient,ARC; ARC Evals; Model Evaluation and Threat Research Inc,99-1219864 vs 86-3605182,Alignment Research Center,,METR,two legal entities merged as parent/child money path,,,,,,,,,,,,,,,,,,,,,legal-entity merge in figure title,no,archives,GET GitHub contents API repositories/1370599694 figures/metr-01-money-that-doesnt-show-up.html ref=f64df65a16400fd88a77536111851695acc9a928,https://api.github.com/repositories/1370599694/contents/figures/metr-01-money-that-doesnt-show-up.html?ref=f64df65a16400fd88a77536111851695acc9a928,"Its grants reached METR's parent, partner, pooled donor and a board member's organization",2026-09-16T12:30:16Z,defect: two legal entities merged (ARC as METR's parent) in figure metr-01 title; metr-01b and metr-10 repeat METR's parent,1,"MD53 must name ARC as a related tax-exempt organisation (Schedule R), not as METR's parent money entity","METR FY2024 990 Schedule R lists Alignment Research Center EIN 86-3605182 as a related tax-exempt organisation, not a parent/subsidiary. ARC Evals is a historical program name, not a licence to treat ARC cash as METR cash. Already-held transfer is typed transfer, not a parent merger.",Primary: fig-metr-01-20260916T123016Z.html. Same parent wording in fig-metr-01b-20260916T123016Z.html and fig-metr-10-20260916T123016Z.html. ProPublica org pages fetched this lane keep MODEL EVALUATION (99-1219864) and ALIGNMENT RESEARCH (86-3605182) on separate records (propublica-metr/arc-20260916T122712Z.body).
A07,A,MDS,C05.E3,"Promoted pack entity/funding/relationship tables: no person-for-org, employer-for-individual, or two-entity merge without a separation statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,scan research/entities.csv research/funding_events.csv research/relationships.csv for slash-merges and unseparated co-mentions; GET https://metr.org/about funding paragraph,https://metr.org/about,"individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org",2026-09-16T12:33:54Z,"none found in research/entities.csv as of 2026-09-16T12:33:54Z of two legal entities merged, a person standing in for an organisation, or an employer standing in for an individual without an explicit separation statement",0,Keep pack unmerged; do not import seed-figure slash nodes,"Scan is of promoted rows as of this UTC; concurrent promotion can add rows. S3 flagged 28 co-mentions, all adjudicated, UNRESOLVED 0 (already-held; re-verified, not a new discovery).","Primary: metr-org-about-20260916T122712Z.body and pack-promoted-tables-scan-20260916T123354Z.txt. METR's own about page names 'individuals from Jane Street' as a class of persons, not Jane Street the firm. Pack MDE0055–MDE0058, MDE0061 vs MDE0003, MDE0083 vs MDE0114 stay distinct. This CSV does not merge them."
A08,A,MDS,C05.E3,"Pack written synthesis (STATE.md, PLAN.md §8 stems, independence_matrix.csv): no entity merge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,scan research/STATE.md PLAN.md §8 research/independence_matrix.csv for parent/slash-merge/both-sides/reach-METR/ordain/Vanguard-channel; GET https://metr.org/about,https://metr.org/about,"individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org",2026-09-16T12:33:54Z,"none found in research/STATE.md as of 2026-09-16T12:33:54Z of two legal entities merged, a person standing in for an organisation, or an employer standing in for an individual",0,PLAN.md §8 stems remain the post-correction figure set,"independence_matrix.csv is derived from promoted rows; header states ARC-era rows belong to Alignment Research Center, not METR.","Primary: pack-synthesis-scan-20260916T123354Z.txt (contains the none-found sentences and the independence_matrix header). Issuer URL is metr.org/about, fetched this lane. PLAN.md §8 metr-deep-05 requires adjacent organisations outside the money-flow layer."
A09,A,MDS,C05.E3,Pack figures/ directory empty (no rendered metr_deep figures yet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,list pack figures/*.html (0); GET GitHub contents API repositories/1370599694/contents/figures?ref=f64df65 (seed corpus),https://api.github.com/repositories/1370599694/contents/figures?ref=f64df65a16400fd88a77536111851695acc9a928,"""name"":""metr-01-money-that-doesnt-show-up.html""",2026-09-16T12:30:16Z,none found in pack figures/ (0 *.html) as of 2026-09-16T12:33:54Z,0,MD53 render only after these MD51 corrections,Pack figures/ is empty until MD53 (PLAN.md §8). Seed clone repo/figures/ at posted commit f64df65 is the figure corpus audited in A01–A06. Directory listing JSON also names jpg/png companions.,Primary: pack-figures-listing-20260916T123354Z.txt and fig-dir-20260916T123016Z.json. Quote is the first HTML name in the numeric-id contents API listing (URL has no kevinnbass). Titles of A01–A06 same at posted f64df65 and current 17539ba except metr-01b wording tweak that still says 'reach METR through'.
B01,B,MDR,C06.E4,"Posted figure metr-01 treats grants to ARC, RAND, Longview and a board member's organisation as money that reached METR",,,,Good Ventures Foundation,Alignment Research Center; RAND; Longview; FAR AI,METR,adjacency used as if it were a money flow,,,,,,,,,,,,,,,,,,,,,adjacency_as_money,no,archives,GET GitHub contents API repositories/1370599694 figures/metr-01-money-that-doesnt-show-up.html ref=f64df65a16400fd88a77536111851695acc9a928,https://api.github.com/repositories/1370599694/contents/figures/metr-01-money-that-doesnt-show-up.html?ref=f64df65a16400fd88a77536111851695acc9a928,"Its grants reached METR's parent, partner, pooled donor and a board member's organization",2026-09-16T12:30:16Z,defect: adjacency (grants to other legal entities) used as if it were a money flow into METR,1,MD53 metr-deep-05: only documented transactions into METR; adjacent orgs outside the money-flow layer,ARC Schedule I transfer to METR is a typed transfer already held and is not attributable to any one ARC funder. Grants to RAND/Longview/FAR AI are not METR receipts.,Primary: fig-metr-01-20260916T123016Z.html. Title and kicker 'Funders → intermediaries → the evaluator' plus pipes toward METR. This lane asserts no onward passage.
