# fetch_window_utc=2026-09-16T14:07:47Z/2026-09-16T15:42:40Z
# routes_used=promoted-row cited URLs only (MDR/MDF/MDI/MDQ); live GET then Wayback id_ then r.jina.ai; IRS TEOS zip members retrieved as GT S3 object XML; extra entity-identity GETs for Task B/E (metr.org/about, schmidtsciences FAQ, janestreet.com, ProPublica orgs 991219864 and 863605182, CA SOS, OpenCorporates, EDGAR browse-edgar METR registrant, RAND Europe about)
# caps_hit=http://ilga.gov/Documents/Legislation/PublicActs/104/PDF/104-0538.pdf no-usable-primary via=wayback status=200 bytes=154267; https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_name=farhi%2C+david&two_year_transaction_period=2026&per_page=20&sort=-contribution_receipt_date&api_key=DEMO_KEY no-usable-primary via=wayback status=200 bytes=154266; https://api.ted.europa.eu/v3/notices/search no-usable-primary via=wayback status=200 bytes=154266; https://apps.irs.gov/pub/epostcard/cor/461008520_202506_990PF_2026062524404601.pdf no-usable-primary via=live status=200 bytes=4022280; https://openai.com/index/gpt-4o-system-card/ no-usable-primary via=wayback status=200 bytes=154265; https://openai.com/index/paul-christiano-joins-openai-foundation-board/ no-usable-primary via=wayback status=200 bytes=154266; https://ted.europa.eu/en/notice/-/detail/864574-2025 no-usable-primary via=live status=200 bytes=163131; https://www.sec.gov/Archives/edgar/data/1579878/000207358626000012/form4-08192026_100818.xml no-usable-primary via=wayback status=200 bytes=154266; https://bizfileonline.sos.ca.gov/search/business no-usable-primary via=live status=200 bytes=212; https://www.sec.gov/cgi-bin/browse-edgar?company=Model+Evaluation+and+Threat+Research&owner=exclude&action=getcompany no-usable-primary via=wayback status=200 bytes=154265
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment re-verified this run, not new discoveries; this lane did not contact anyone or ask how the approximately $71 million was composed or allocated; primary route=promoted rows only
# nonefound_invert_utc=2026-09-16T15:38:50Z installed=16 inverted_rows=27
# nonefound_invert_utc=2026-09-16T15:42:40Z installed=16 inverted_rows=28
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A001,A,MDF,C06.E4;C05.E3,documented transaction edges citing gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,documented transaction,yes,funder filings,GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202501349349105365_public.xml,<GrantOrContributionPdDurYrGrp>,2026-09-16T14:07:47Z,documented transaction; n=126 promoted edges on this cited document,126,,live,"Task A classification of promoted edges as 'documented transaction'. Grouped promoted row_ids: MDF0098;MDF0099;MDF0100;MDF0101;MDF0102;MDF0128;MDF0129;MDF0130;MDF0131;MDF0132;MDF0133;MDF0134;MDF0135;MDF0136;MDF0137;MDF0138;MDF0139;MDF0140;MDF0141;MDF0142;MDF0143;MDF0144;MDF0164;MDF0306;MDF0307;MDF0308;MDF0309;MDF0310;MDF0326;MDF0327;MDF0328;MDF0329;MDF0330;MDF0363;MDF0364;MDF0365;MDF0366;MDF0367;MDF0368;MDF0369;MDF0370;MDF0371;MDF0372;MDF0373;MDF0374;MDF0375;MDF0376;MDF0377;MDF0378;MDF0379;MDF0380;MDF0381;MDF0382;MDF0383;MDF0384;MDF0385;MDF0386;MDF0387;MDF0388;MDF0389;MDF0390;MDF0391;MDF0392;MDF0561;MDF0562;MDF0563;MDF0564;MDF0565;MDF0591;MDF0592;MDF0593;MDF0594;MDF0595;MDF0596;MDF0597;MDF0598;MDF0599;MDF0600;MDF0601;MDF0602;MDF0603;MDF0604;MDF0605;MDF0606;MDF0607;MDF0627;MDF0769;MDF0770;MDF0771;MDF0772;MDF0773;MDF0789;MDF0790;MDF0791;MDF0792;MDF0793;MDF0826;MDF0827;MDF0828;MDF0829;MDF0830;MDF0831;MDF0832;MDF0833;MDF0834;MDF0835;MDF0836;MDF0837;MDF0838;MDF0839;MDF0840;MDF0841;MDF0842;MDF0843;MDF0844;MDF0845;MDF0846;MDF0847;MDF0848;MDF0849;MDF0850;MDF0851;MDF0852;MDF0853;MDF0854;MDF0855. Primary route: promoted rows only; cited document re-fetched this run (via=live). research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Primary gt990datalake-rawdata.s3.amazonaws.com-efiledata-xmlfiles-202501349349105365-public-xml-20260916T124640Z.xml. Mixed money_type values on grouped rows (equity_value,filed_grant,transfer) left unfilled; types are never summed. A commitment is not a payment and an award is not a receipt."
A002,A,MDF,C06.E4;C05.E3,documented transaction edges citing gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349105564_public.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,documented transaction,yes,funder filings,GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349105564_public.xml,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202441369349105564_public.xml,<GrantOrContributionPdDurYrGrp>,2026-09-16T14:07:47Z,documented transaction; n=66 promoted edges on this cited document,66,,live,"Task A classification of promoted edges as 'documented transaction'. Grouped promoted row_ids: MDF0094;MDF0095;MDF0096;MDF0097;MDF0323;MDF0324;MDF0325;MDF0337;MDF0338;MDF0339;MDF0340;MDF0341;MDF0342;MDF0343;MDF0344;MDF0345;MDF0346;MDF0347;MDF0348;MDF0349;MDF0350;MDF0351;MDF0352;MDF0353;MDF0354;MDF0355;MDF0356;MDF0357;MDF0358;MDF0359;MDF0360;MDF0361;MDF0362;MDF0557;MDF0558;MDF0559;MDF0560;MDF0786;MDF0787;MDF0788;MDF0800;MDF0801;MDF0802;MDF0803;MDF0804;MDF0805;MDF0806;MDF0807;MDF0808;MDF0809;MDF0810;MDF0811;MDF0812;MDF0813;MDF0814;MDF0815;MDF0816;MDF0817;MDF0818;MDF0819;MDF0820;MDF0821;MDF0822;MDF0823;MDF0824;MDF0825. Primary route: promoted rows only; cited document re-fetched this run (via=live). research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Primary gt990datalake-rawdata.s3.amazonaws.com-efiledata-xmlfiles-202441369349105564-public-xml-20260916T124640Z.xml. Mixed money_type values on grouped rows (equity_value,filed_grant,transfer) left unfilled; types are never summed. A commitment is not a payment and an award is not a receipt."
A003,A,MDR,C06.E4;C05.E3,adjacency edges citing metr.org/about,,,,,,,,,,,,,,,,,,,,,,,,,,,,adjacency,no,issuer statements,GET https://metr.org/about,https://metr.org/about,METR is funded by donations. We are grateful to METR’s many supporters: from METR’s first institutional-scale funding th,2026-09-16T14:07:47Z,adjacency; n=47 promoted edges on this cited document; not a money flow (C06.E4),47,,live,"Task A classification of promoted edges as 'adjacency'. Grouped promoted row_ids: MDF0018;MDF0022;MDF0023;MDF0025;MDF0027;MDF0029;MDF0213;MDF0214;MDF0223;MDF0224;MDF0225;MDF0226;MDF0227;MDF0228;MDF0229;MDF0230;MDF0231;MDF0232;MDF0233;MDF0234;MDF0235;MDF0481;MDF0485;MDF0486;MDF0488;MDF0490;MDF0492;MDF0676;MDF0677;MDF0686;MDF0687;MDF0688;MDF0689;MDF0690;MDF0691;MDF0692;MDF0693;MDF0694;MDF0695;MDF0696;MDF0697;MDF0698;MDQ0093;MDR0021;MDR0022;MDR0023;MDR0032. Primary route: promoted rows only; cited document re-fetched this run (via=live). research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Explicitly labelled as not a money flow (C06.E4); no cash money_type; documented_transaction not yes. cited document re-fetched this run. Primary metr.org-about-20260916T124640Z.html; cited document re-fetched this run."
A004,A,MDF,C06.E4;C05.E3,documented transaction edges; cited document fetch failed this run,,,,,,,,,,,,,,,,,,,,,,,,,,,,documented transaction,yes,funder filings,GET https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_05B.zip,https://apps.irs.gov/pub/epostcard/990/xml/2026/2026_TEOS_XML_05B.zip,"<span style=""color:darkblue;"" id=""/AppData/SubmissionHeaderAndDocument/SubmissionDocument/IRS990PF[1]/SupplementaryInformationGrp[1]/GrantOrContributionPdDurYrGrp[257]/Amt[1]"">300,000</span></td>",2026-09-16T14:07:47Z,documented transaction; n=40 promoted edges on this cited document,40,,fetch failed; grouped ids still classified from promoted fields. ['extracted member 202641359349102829_public.xml from IRS 2026_TEOS_XML_05B.zip this run'],"Task A classification 'documented transaction' for promoted row_ids: MDF0331;MDF0332;MDF0333;MDF0393;MDF0394;MDF0395;MDF0396;MDF0397;MDF0398;MDF0399;MDF0400;MDF0401;MDF0402;MDF0403;MDF0404;MDF0405;MDF0406;MDF0407;MDF0408;MDF0409;MDF0794;MDF0795;MDF0796;MDF0856;MDF0857;MDF0858;MDF0859;MDF0860;MDF0861;MDF0862;MDF0863;MDF0864;MDF0865;MDF0866;MDF0867;MDF0868;MDF0869;MDF0870;MDF0871;MDF0872. research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. Classification uses the promoted row's already-cited document identity, not a new sweep. cited document re-fetched this run. Primary projects.propublica.org-nonprofits-full-text-202641359349102829-irs990pf-20260916T125800Z.excerpt.html; cited document re-fetched this run."
A005,A,MDF,C06.E4;C05.E3,documented transaction edges; cited document fetch failed this run,,,,Silicon Valley Community Foundation,,,,,,,,,,,,,,,,,,,,,,,,documented transaction,yes,DAF sponsor filings,GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml,<CashGrantAmt>50450</CashGrantAmt>,2026-09-16T14:07:47Z,documented transaction; n=30 promoted edges on this cited document,30,,fetch failed; grouped ids still classified from promoted fields. ['live'],"Task A classification 'documented transaction' for promoted row_ids: MDF0011;MDF0037;MDF0041;MDF0062;MDF0063;MDF0117;MDF0153;MDF0205;MDF0212;MDF0220;MDF0244;MDF0245;MDF0246;MDF0247;MDF0418;MDF0474;MDF0500;MDF0504;MDF0525;MDF0526;MDF0580;MDF0616;MDF0668;MDF0675;MDF0683;MDF0707;MDF0708;MDF0709;MDF0710;MDF0881. Cited URL re-fetch failed this run. research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. Classification uses the promoted row's already-cited document identity, not a new sweep. Primary gt990datalake-rawdata.s3.amazonaws.com-efiledata-xmlfiles-202543149349305759-public-xml-20260916T124640Z.excerpt.xml."
A006,A,MDR,C06.E4;C05.E3,adjacency edges citing metr.org/blog/2026-05-19-frontier-risk-report/,,,,,,,,,,,,,,,,,,,,,,,,,,,,adjacency,no,self-statements,GET https://metr.org/blog/2026-05-19-frontier-risk-report/,https://metr.org/blog/2026-05-19-frontier-risk-report/,"The evaluator has published a conflict of interest policy, and it was applied to the evaluation.</strong></td>",2026-09-16T14:07:47Z,adjacency; n=29 promoted edges on this cited document; not a money flow (C06.E4),29,,live,"Task A classification of promoted edges as 'adjacency'. Grouped promoted row_ids: MDQ0049;MDQ0050;MDQ0052;MDQ0055;MDQ0056;MDQ0057;MDQ0058;MDQ0059;MDQ0060;MDQ0061;MDQ0062;MDQ0064;MDQ0067;MDQ0068;MDQ0073;MDQ0074;MDQ0075;MDQ0076;MDQ0077;MDQ0078;MDQ0079;MDQ0081;MDQ0082;MDQ0084;MDQ0085;MDQ0086;MDQ0089;MDQ0090;MDR0043. Primary route: promoted rows only; cited document re-fetched this run (via=live). research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Primary metr.org-blog-2026-05-19-frontier-risk-report-20260916T124640Z.excerpt.html. Explicitly labelled as not a money flow (C06.E4); no cash money_type; documented_transaction not yes."
A007,A,MDR,C06.E4;C05.E3,role edges citing metr.org/blog/2026-05-19-frontier-risk-report/,,,,,,,,,,,,,,,,,,,,,,,,,,,,role,no,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/,https://metr.org/blog/2026-05-19-frontier-risk-report/,"<strong>Writing</strong>: <a href=""/team/ajeya-cotra/"">Ajeya Cotra</a> (report lead), <a href=""/team/hjalmar-wijk/"">Hjalmar Wijk</a>, <a href=""/team/daniel-filan/"">Daniel Filan</a>",2026-09-16T14:07:47Z,role; n=26 promoted edges on this cited document; not a money flow (C06.E4),26,,live,"Task A classification of promoted edges as 'role'. Grouped promoted row_ids: MDQ0001;MDQ0030;MDQ0031;MDQ0032;MDQ0033;MDQ0034;MDQ0035;MDQ0036;MDQ0037;MDQ0044;MDQ0045;MDQ0048;MDQ0054;MDQ0066;MDQ0080;MDQ0083;MDR0036;MDR0037;MDR0038;MDR0047;MDR0070;MDR0071;MDR0072;MDR0073;MDR0074;MDR0075. Primary route: promoted rows only; cited document re-fetched this run (via=live). research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Primary metr.org-blog-2026-05-19-frontier-risk-report-20260916T124640Z.excerpt.html. Explicitly labelled as not a money flow (C06.E4); no cash money_type; documented_transaction not yes."
A008,A,MDR,C06.E4;C05.E3,documented transaction edges citing survivalandflourishing.fund/recommendations,,,,,,,,,,,,,,,,,,,,,,,,,,,,documented transaction,yes,issuer statements,GET https://survivalandflourishing.fund/recommendations,https://survivalandflourishing.fund/recommendations,"$120,000 +$428,000‡",2026-09-16T14:07:47Z,documented transaction; n=25 promoted edges on this cited document,25,,live,"Task A classification of promoted edges as 'documented transaction'. Grouped promoted row_ids: MDF0045;MDF0047;MDF0048;MDF0074;MDF0075;MDF0123;MDF0124;MDF0196;MDF0198;MDF0215;MDF0216;MDF0217;MDF0508;MDF0510;MDF0511;MDF0537;MDF0538;MDF0586;MDF0587;MDF0659;MDF0661;MDF0678;MDF0679;MDF0680;MDR0029. Primary route: promoted rows only; cited document re-fetched this run (via=live). research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Primary survivalandflourishing.fund-recommendations-20260916T124640Z.html. Mixed money_type values on grouped rows (commitment,recommendation) left unfilled; types are never summed. A commitment is not a payment and an award is not a receipt."
A009,A,MDF,C06.E4;C05.E3,documented transaction edges; cited document fetch failed this run,,,,Gates Foundation,,,,,,,,,,,,,,,,,,,,,,,,documented transaction,yes,funder filings,GET https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523189349103667_public.xml,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523189349103667_public.xml,<GrantOrContributionPurposeTxt>K-12 EDUCATION</GrantOrContributionPurposeTxt>,2026-09-16T14:07:47Z,documented transaction; n=24 promoted edges on this cited document,24,,fetch failed; grouped ids still classified from promoted fields. ['live'],"Task A classification 'documented transaction' for promoted row_ids: MDF0178;MDF0179;MDF0180;MDF0181;MDF0182;MDF0183;MDF0299;MDF0300;MDF0301;MDF0302;MDF0303;MDF0304;MDF0641;MDF0642;MDF0643;MDF0644;MDF0645;MDF0646;MDF0762;MDF0763;MDF0764;MDF0765;MDF0766;MDF0767. Cited URL re-fetch failed this run. research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. Classification uses the promoted row's already-cited document identity, not a new sweep. Primary gt990datalake-rawdata.s3.amazonaws.com-efiledata-xmlfiles-202523189349103667-public-xml-20260916T124640Z.excerpt.xml."
A010,A,MDF,C06.E4;C05.E3,documented transaction edges citing jaan.online/philanthropy/donations.csv,,,,Jaan Tallinn,,,public donation-ledger disbursement,,,,paid_grant,,,,,,,,,,,,,,,,,documented transaction,yes,self-statements,GET https://jaan.online/philanthropy/donations.csv,https://jaan.online/philanthropy/donations.csv,"2024-07-23,SFF-spec,USD,""10,000"",""$10,000"",Model Evaluation and Threat Research,For general operating support",2026-09-16T14:07:47Z,documented transaction; n=24 promoted edges on this cited document,24,,live,"Task A classification of promoted edges as 'documented transaction'. Grouped promoted row_ids: MDF0051;MDF0052;MDF0053;MDF0054;MDF0055;MDF0056;MDF0057;MDF0199;MDF0218;MDF0221;MDF0222;MDF0412;MDF0514;MDF0515;MDF0516;MDF0517;MDF0518;MDF0519;MDF0520;MDF0662;MDF0681;MDF0684;MDF0685;MDF0875. Primary route: promoted rows only; cited document re-fetched this run (via=live). research/STATE.md read 2026-09-16 before adding facts; OPEN C06.E4 adjacency labelling, Jane Street individual-vs-firm, ARC vs METR, SFF recommendation vs payment, and entity-separation standing rule were re-verified against this-run primaries / the promoted row's cited document this run, not copied as new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed or allocated. Primary jaan.online-philanthropy-donations-csv-20260916T124640Z.csv. A commitment is not a payment and an award is not a receipt."
