# metr_deep supporter coverage; derived from promoted rows only by scripts/build_supporter_coverage.py at 2026-09-16T20:17:25Z; seed-context rows excluded; status is computed, never typed by hand; regenerate after every promotion
supporter_key,supporter,how_metr_names_it,status,amount_detail,money_types_seen,positive_rows,negative_rows,timeline_rows,owning_lanes,computed_utc
audacious,The Audacious Project (TED),named on metr.org/about and the 2026-08-14 update,amount_identified,MDF0165: commitment 38000000 USD 2024-10-09; MDF0166: commitment 17000000 USD 2024-10-09; MDF0167: commitment 38000000 USD 2024-10-09; MDF0169: commitment <16000000 USD 2025-09-28; MDF0170: commitment 17000000 USD 2024-10-09; MDF0171: commitment 17000000 USD 2024-10-09,commitment,MDF0087;MDF0125;MDF0165;MDF0166;MDF0167;MDF0168;MDF0169;MDF0170;MDF0171;MDF0172;MDF0173;MDF0194;MDF0195;MDF0208;MDF0223;MDF0467;MDF0468;MDF0469;MDF0550;MDF0588;MDF0628;MDF0629;MDF0630;MDF0631;MDF0632;MDF0633;MDF0634;MDF0635;MDF0636;MDF0657;MDF0658;MDF0671;MDF0686;MDF0986;MDF1023;MDF1024;MDP0033;MDP0034;MDP0035;MDP0060;MDP0064;MDP0070;MDP0129;MDP0139;MDP0140;MDP0141;MDP0142;MDP0143;MDP0144;MDP0145;MDP0146;MDP0147;MDP0148;MDP0149;MDP0151;MDP0152;MDP0156;MDP0162;MDP0173;MDP0184;MDP0490;MDP0491;MDP0492;MDP0493;MDP0499;MDP0500;MDP0501;MDP0586;MDP0616;MDP0642;MDP0643;MDP0655;MDP0656;MDP0686;MDP0717,MDS0302;MDS0355;MDS0356;MDS0357;MDS0359;MDS0364;MDS0365;MDS0366;MDS0418;MDS0419;MDS0420;MDS0425;MDS0426;MDS0428;MDS0429;MDS0431;MDS0432;MDS0443;MDS0450;MDS0493;MDS0550;MDS0554;MDS0682;MDS0776;MDS0804;MDS0809;MDS0980;MDS0981;MDS0982;MDS0983;MDS0984;MDS0985;MDS0986;MDS0987;MDS0988;MDS0989;MDS0990;MDS0991;MDS0992;MDS0993;MDS0994;MDS0995;MDS0996;MDS0997;MDS0998;MDS0999;MDS1000;MDS1008;MDS1009;MDS1125;MDS1127;MDS1129;MDS1277;MDS1582;MDS1676,MDT0038;MDT0039;MDT0040;MDT0041;MDT0042;MDT0043;MDT0044;MDT0045;MDT0046;MDT0047;MDT0048;MDT0049;MDT0050;MDT0051;MDT0062;MDT0063;MDT0119;MDT0121,MD15;MD16;MD18,2026-09-16T20:17:25Z
jane_street_individuals,individuals from Jane Street,named on metr.org/about and the 2026-08-14 update,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",commitment,MDF0018;MDF0019;MDF0213;MDF0478;MDF0481;MDF0482;MDF0676;MDP0003;MDP0048;MDP0183;MDP0475;MDP0514;MDP0535;MDP0599;MDP0622;MDP0718,MDS0009;MDS0010;MDS0012;MDS0018;MDS0020;MDS0312;MDS0508;MDS0762;MDS0763;MDS0765;MDS0769;MDS0772;MDS0777;MDS1061;MDS1064;MDS1065;MDS1166;MDS1219;MDS1226;MDS1687,MDT0009;MDT0104;MDT0105;MDT0225,MD07,2026-09-16T20:17:25Z
sijbrandij,Sijbrandij Foundation,named on metr.org/about and the 2026-08-14 update,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0224;MDF0687;MDP0004;MDP0005;MDP0006;MDP0054;MDP0183;MDP0520;MDP0599;MDP0719,MDS0060;MDS0061;MDS0062;MDS0063;MDS0064;MDS0065;MDS0066;MDS0067;MDS0068;MDS0069;MDS0070;MDS0071;MDS0072;MDS0073;MDS0074;MDS0075;MDS0076;MDS0293;MDS0307;MDS0496;MDS0497;MDS0776;MDS1043;MDS1044;MDS1045;MDS1046;MDS1274,MDT0011;MDT0090;MDT0091,MD05,2026-09-16T20:17:25Z
pew,The Pew Charitable Trusts,named on metr.org/about and the 2026-08-14 update,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0225;MDF0688;MDP0009;MDP0054;MDP0183;MDP0520;MDP0599;MDP0720,MDS0124;MDS0125;MDS0126;MDS0127;MDS0128;MDS0129;MDS0130;MDS0131;MDS0132;MDS0133;MDS0134;MDS0135;MDS0136;MDS0137;MDS0138;MDS0139;MDS0140;MDS0141;MDS0142;MDS0143;MDS0144;MDS0145;MDS0146;MDS0291;MDS0305;MDS0481;MDS0498;MDS0521;MDS0776;MDS1032;MDS1033;MDS1034;MDS1035;MDS1036;MDS1037;MDS1038;MDS1272,MDT0098;MDT0099,MD03,2026-09-16T20:17:25Z
schmidt,Schmidt Sciences,named on metr.org/about and the 2026-08-14 update,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0022;MDF0214;MDF0485;MDF0677;MDP0054;MDP0183;MDP0520;MDP0534;MDP0599;MDP0721,MDS0046;MDS0047;MDS0048;MDS0049;MDS0050;MDS0051;MDS0292;MDS0306;MDS0499;MDS0500;MDS0756;MDS0758;MDS0763;MDS0769;MDS0770;MDS0774;MDS1040;MDS1221;MDS1273,MDT0074;MDT0075,MD04,2026-09-16T20:17:25Z
packard,The David and Lucile Packard Foundation,named on metr.org/about and the 2026-08-14 update,amount_identified,MDF0020: commitment 350000 USD 2026,commitment,MDF0020;MDF0021;MDF0078;MDF0090;MDF0091;MDF0092;MDF0191;MDF0192;MDF0193;MDF0226;MDF0416;MDF0483;MDF0484;MDF0541;MDF0553;MDF0554;MDF0555;MDF0654;MDF0655;MDF0656;MDF0689;MDF0879;MDF0963;MDF0967;MDF0989;MDF1022;MDF1031;MDP0030;MDP0161;MDP0172;MDP0480;MDP0496;MDP0520;MDP0527;MDP0585;MDP0589;MDP0591;MDP0598;MDP0603;MDP0634;MDP0635;MDP0653;MDP0654;MDP0677;MDP0692;MDP0722;MDP0741,MDS0024;MDS0025;MDS0026;MDS0027;MDS0028;MDS0029;MDS0030;MDS0031;MDS0032;MDS0034;MDS0035;MDS0036;MDS0037;MDS0038;MDS0039;MDS0040;MDS0041;MDS0042;MDS0043;MDS0045;MDS0289;MDS0290;MDS0342;MDS0513;MDS0771;MDS0776;MDS0811;MDS1031;MDS1177;MDS1271;MDS1602;MDS1603;MDS1613;MDS1690,MDT0010;MDT0102;MDT0103;MDT0122,MD02,2026-09-16T20:17:25Z
lacentra,LaCentra-Sumerlin Foundation,named on metr.org/about; 'Frontier Fund' in the 2026-08-14 image alt,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0227;MDF0690;MDP0054;MDP0183;MDP0520;MDP0599;MDP0723;MDR0021,MDS0148;MDS0151;MDS0155;MDS0158;MDS0159;MDS0165;MDS0167;MDS0294;MDS0308;MDS0501;MDS0502;MDS0522;MDS0776;MDS1047;MDS1048;MDS1050;MDS1057;MDS1059,MDT0019;MDT0020;MDT0072;MDT0073;MDT0092;MDT0093,MD06,2026-09-16T20:17:25Z
astralis,Astralis Foundation,named on metr.org/about and the 2026-08-14 image alt,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0228;MDF0691;MDP0054;MDP0183;MDP0520;MDP0724;MDR0022,MDS0149;MDS0153;MDS0154;MDS0157;MDS0161;MDS0162;MDS0163;MDS0164;MDS0169;MDS0295;MDS0503;MDS0776;MDS1049;MDS1052;MDS1053;MDS1055;MDS1056;MDS1058,MDT0021;MDT0076;MDT0077;MDT0223,MD06,2026-09-16T20:17:25Z
expa,Expa.org,named on metr.org/about and the 2026-08-14 image alt,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0229;MDF0692;MDP0054;MDP0183;MDP0520;MDP0725;MDR0023,MDS0150;MDS0152;MDS0156;MDS0160;MDS0166;MDS0168;MDS0296;MDS0504;MDS0505;MDS0776;MDS1051;MDS1054,MDT0022;MDT0078;MDT0079;MDT0224,MD06,2026-09-16T20:17:25Z
aisi,AI Security Institute (UK),named on metr.org/about ('partnering with'),acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",contract,MDF0479;MDP0050;MDP0060;MDP0061;MDP0155;MDP0183;MDP0196;MDP0197;MDP0199;MDP0200;MDP0201;MDP0202;MDP0203;MDP0204;MDP0205;MDP0280;MDP0290;MDP0297;MDP0302;MDP0305;MDP0311;MDP0314;MDP0315;MDP0516;MDP0607;MDP0726;MDR0031;MDR0121;MDR0176,MDS0321;MDS0322;MDS0461;MDS0462;MDS0471;MDS0506;MDS0519;MDS0523;MDS0524;MDS0525;MDS0526;MDS0527;MDS0528;MDS0529;MDS0530;MDS0531;MDS0533;MDS0534;MDS0535;MDS0537;MDS0538;MDS0648;MDS0649;MDS0812;MDS0816;MDS0819;MDS0825;MDS0827;MDS0830;MDS0832;MDS0833,MDT0066;MDT0067;MDT0080;MDT0081;MDT0168;MDT0176,MD19,2026-09-16T20:17:25Z
longview,Longview Philanthropy (pooled funds),named on metr.org/about as a pooled fund,amount_identified,MDF0070: recommendation 220000 USD 2023-08,recommendation,MDF0070;MDF0071;MDF0076;MDF0082;MDF0200;MDF0201;MDF0230;MDF0476;MDF0533;MDF0534;MDF0539;MDF0545;MDF0663;MDF0664;MDF0693;MDF0988;MDF1026;MDF1029;MDP0020;MDP0021;MDP0022;MDP0025;MDP0044;MDP0164;MDP0175;MDP0189;MDP0190;MDP0191;MDP0192;MDP0478;MDP0510;MDP0538;MDP0539;MDP0615;MDP0650;MDP0657;MDP0727,MDS0017;MDS0265;MDS0266;MDS0267;MDS0268;MDS0269;MDS0270;MDS0271;MDS0274;MDS0275;MDS0276;MDS0280;MDS0282;MDS0283;MDS0286;MDS0288;MDS0297;MDS0320;MDS0380;MDS0403;MDS0404;MDS0415;MDS0417;MDS0776;MDS1083;MDS1084;MDS1086;MDS1088;MDS1089;MDS1091;MDS1113;MDS1131;MDS1147;MDS1148,MDT0054;MDT0059;MDT0082;MDT0083,MD10,2026-09-16T20:17:25Z
effektiv,Effektiv Spenden (pooled funds),named on metr.org/about as a pooled fund,amount_identified,"MDF0072: regrant 128,000 EUR EUR 2023-08",regrant,MDF0072;MDF0202;MDF0231;MDF0461;MDF0477;MDF0535;MDF0665;MDF0694;MDF0924;MDF1020;MDP0020;MDP0024;MDP0045;MDP0165;MDP0176;MDP0188;MDP0483;MDP0511;MDP0651;MDP0658;MDP0728,MDS0270;MDS0273;MDS0281;MDS0285;MDS0314;MDS0520;MDS0776;MDS1085;MDS1086;MDS1090;MDS1178,MDT0084;MDT0085,MD10,2026-09-16T20:17:25Z
sff,Survival and Flourishing Fund (recommendations),named on metr.org/about as recommendations,amount_identified,MDF0045: recommendation 120000 USD SFF-2025; MDF0046: recommendation 428000 USD SFF-2025; MDF0047: recommendation 204000 USD SFF-2024; MDF0051: paid_grant 10000 USD 2024-07-23; MDF0052: paid_grant 10000 USD 2024-07-24; MDF0093: recommendation 220000 USD 2025-02-15; MDF0197: recommendation 428000 USD SFF-2025; MDF0412: paid_grant 10000 USD 2024-07-24,commitment; paid_grant; recommendation,MDF0045;MDF0046;MDF0047;MDF0051;MDF0052;MDF0074;MDF0075;MDF0079;MDF0080;MDF0081;MDF0093;MDF0196;MDF0197;MDF0198;MDF0215;MDF0216;MDF0217;MDF0221;MDF0222;MDF0412;MDF0471;MDF0472;MDF0508;MDF0509;MDF0510;MDF0514;MDF0515;MDF0537;MDF0538;MDF0542;MDF0543;MDF0544;MDF0556;MDF0659;MDF0660;MDF0661;MDF0678;MDF0679;MDF0680;MDF0684;MDF0685;MDF0875;MDF0984;MDF1014;MDF1016;MDP0010;MDP0011;MDP0012;MDP0013;MDP0020;MDP0038;MDP0039;MDP0040;MDP0163;MDP0174;MDP0185;MDP0193;MDP0195;MDP0504;MDP0505;MDP0506;MDP0533;MDP0615;MDP0647;MDP0648;MDP0649;MDP0659;MDP0660;MDP0661;MDP0666;MDP0667;MDP0729;MDR0029,MDS0018;MDS0225;MDS0226;MDS0227;MDS0228;MDS0229;MDS0230;MDS0231;MDS0232;MDS0233;MDS0234;MDS0235;MDS0236;MDS0238;MDS0240;MDS0241;MDS0242;MDS0243;MDS0244;MDS0245;MDS0246;MDS0298;MDS0337;MDS0495;MDS1073;MDS1074;MDS1075;MDS1076;MDS1077;MDS1078;MDS1079;MDS1081;MDS1121;MDS1176,MDT0086;MDT0087,MD09,2026-09-16T20:17:25Z
farhi,David Farhi,named on metr.org/about and the 2026-08-14 update,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0023;MDF0024;MDF0232;MDF0486;MDF0487;MDF0695;MDP0049;MDP0183;MDP0515;MDP0730;MDR0013;MDR0128;MDR0183;MDR0184,MDS0077;MDS0078;MDS0082;MDS0086;MDS0090;MDS0095;MDS0099;MDS0102;MDS0103;MDS0106;MDS0509;MDS0776;MDS1068,MDT0013;MDT0015;MDT0094;MDT0095;MDT0227,MD08,2026-09-16T20:17:25Z
ralston,Geoff Ralston,named on metr.org/about and the 2026-08-14 update,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0025;MDF0026;MDF0233;MDF0488;MDF0489;MDF0696;MDP0049;MDP0183;MDP0515;MDP0731,MDS0079;MDS0083;MDS0087;MDS0092;MDS0096;MDS0099;MDS0102;MDS0103;MDS0510;MDS0776;MDS1069,MDT0012;MDT0015;MDT0088;MDT0089;MDT0227,MD08,2026-09-16T20:17:25Z
field,Dylan Field,named on metr.org/about and the 2026-08-14 update,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0027;MDF0028;MDF0234;MDF0490;MDF0491;MDF0697;MDP0007;MDP0008;MDP0049;MDP0476;MDP0477;MDP0515;MDP0732,MDS0080;MDS0084;MDS0088;MDS0091;MDS0097;MDS0103;MDS0108;MDS0511;MDS0761;MDS1066;MDS1070,MDT0013;MDT0015;MDT0096;MDT0097;MDT0226;MDT0227,MD08,2026-09-16T20:17:25Z
newman,Steve Newman,named on metr.org/about and the 2026-08-14 update,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",undisclosed,MDF0029;MDF0030;MDF0235;MDF0492;MDF0493;MDF0698;MDP0049;MDP0515;MDP0733,MDS0081;MDS0085;MDS0089;MDS0093;MDS0098;MDS0103;MDS0512;MDS1067;MDS1071,MDT0014;MDT0015;MDT0100;MDT0101;MDT0227,MD08,2026-09-16T20:17:25Z
arc,Alignment Research Center (program transfer),not named as a supporter; filed related-organisation transfer,amount_identified,MDF0034: transfer 4501424 USD 2024-12-31; MDF0064: transfer 4477169 USD 2024-04-30; MDF0065: in_kind_estimate 76766 USD 2024-04-30,in_kind_estimate; transfer,MDF0034;MDF0064;MDF0065;MDF0207;MDF0470;MDF0497;MDF0527;MDF0528;MDF0670;MDF0936;MDF0974;MDF1036;MDF1039;MDP0014;MDP0015;MDP0016;MDP0032;MDP0169;MDP0181;MDP0186;MDP0199;MDP0202;MDP0481;MDP0488;MDP0498;MDP0537;MDP0587;MDP0756;MDP0757;MDR0020;MDR0175;MDR0209,MDS0030;MDS0127;MDS0194;MDS0195;MDS0196;MDS0197;MDS0198;MDS0199;MDS0200;MDS0201;MDS0202;MDS0203;MDS0204;MDS0205;MDS0206;MDS0207;MDS0208;MDS0209;MDS0210;MDS0211;MDS0212;MDS0213;MDS0256;MDS0324;MDS0373;MDS0375;MDS0587;MDS1096;MDS1097;MDS1098;MDS1099;MDS1100;MDS1101;MDS1102;MDS1103;MDS1112;MDS1694;MDS1713;MDS1733,MDT0028;MDT0029;MDT0030;MDT0031;MDT0032;MDT0228;MDT0229;MDT0437;MDT0439,MD12;MD01,2026-09-16T20:17:25Z
founders_pledge,Founders Pledge Inc,not named by METR; filed Schedule I payer,amount_identified,MDF0058: filed_grant 184000 USD 2024,filed_grant; paid_grant,MDF0058;MDF0086;MDF0152;MDF0203;MDF0204;MDF0219;MDF0473;MDF0521;MDF0549;MDF0615;MDF0666;MDF0667;MDF0682;MDF0987;MDP0041;MDP0166;MDP0177;MDP0178;MDP0494;MDP0507;MDP0588;MDP0613;MDP0645;MDP0664;MDP0680,MDS0015;MDS0109;MDS0235;MDS0246;MDS0300;MDS0390;MDS0391;MDS0392;MDS0401;MDS0410;MDS0411;MDS0415;MDS0417;MDS0439;MDS1143;MDS1163;MDS1164,MDT0053;MDT0059,MD10;MD22,2026-09-16T20:17:25Z
svcf,Silicon Valley Community Foundation (DAF sponsor),not named by METR; filed Schedule I payer,amount_identified,MDF0037: filed_grant 20000 USD 2024-12-31; MDF0062: filed_grant 20000 USD 2024,filed_grant,MDF0037;MDF0062;MDF0153;MDF0205;MDF0212;MDF0220;MDF0418;MDF0474;MDF0500;MDF0525;MDF0616;MDF0668;MDF0675;MDF0683;MDF0881;MDP0042;MDP0167;MDP0179;MDP0375;MDP0376;MDP0377;MDP0378;MDP0379;MDP0380;MDP0381;MDP0382;MDP0383;MDP0384;MDP0385;MDP0386;MDP0508,MDS0191;MDS0192;MDS0193;MDS0212;MDS0213;MDS0214;MDS0217;MDS0218;MDS0398;MDS0399;MDS0400;MDS0440;MDS0886;MDS1095;MDS1103;MDS1105;MDS1110;MDS1111;MDS1146;MDS1150,MDT0027;MDT0231,MD11,2026-09-16T20:17:25Z
vanguard,Vanguard Charitable Endowment Program (DAF sponsor),not named by METR; filed Schedule I payer,amount_identified,MDF0038: filed_grant 4000000 USD 2025-06-30,filed_grant,MDF0038;MDF0154;MDF0206;MDF0211;MDF0475;MDF0501;MDF0617;MDF0669;MDF0674;MDF1013;MDP0043;MDP0168;MDP0180;MDP0387;MDP0388;MDP0389;MDP0390;MDP0391;MDP0392;MDP0393;MDP0394;MDP0395;MDP0396;MDP0397;MDP0398;MDP0399;MDP0400;MDP0401;MDP0448;MDP0482;MDP0509;MDP0542;MDP0593;MDP0600;MDP0644,MDS0182;MDS0183;MDS0184;MDS0185;MDS0205;MDS0206;MDS0215;MDS0219;MDS0220;MDS0221;MDS0223;MDS0394;MDS0395;MDS0396;MDS0397;MDS0441;MDS0514;MDS0593;MDS0887;MDS1093;MDS1094;MDS1104;MDS1107;MDS1108;MDS1109;MDS1118;MDS1119;MDS1151;MDS1183;MDS1583,MDT0025;MDT0057;MDT0230,MD11,2026-09-16T20:17:25Z
eu_ai_office,European AI Office (contract),named on metr.org/about as a technical-assistance contract,acknowledged_no_amount,"named by METR; no promoted row gives an amount, date or vehicle",contract,MDF0462;MDF0480;MDF0925;MDF0998;MDF1028;MDP0051;MDP0131;MDP0170;MDP0182;MDP0187;MDP0280;MDP0313;MDP0517;MDP0734;MDR0109,MDS0341;MDS0507;MDS1179,MDT0068;MDT0069,MD20,2026-09-16T20:17:25Z
