# fetch_window: 2026-09-16T09:49:22Z UTC (live GETs of SFF round pages, jaan.online donations.csv, IRS e-file XML via GivingTuesday lake, complete IRS index_2024/2025/2026.csv, Anthropic/Semafor/Postimees HTML, ProPublica API v2, SEC EFTS, CourtListener, CA OAG, USAspending, GuideStar)
# routes_used: SFF live round pages 2019–2025, /recommendations, /matching-pledges, /contact, /2026/recommendations (404); SFC survivalandflourishing.com; jaan.online/philanthropy/ and donations.csv; METR about; Anthropic Series A and /company; Founders Pledge and SVCF and FLI IRS e-file XML; METR FY2024 990 XML; complete IRS index_2024.csv (91056866 bytes / 728720 lines), index_2025.csv (93053080 bytes / 748907 lines, METR EIN present), index_2026.csv (47506032 bytes / 385891 lines); ProPublica Nonprofit Explorer API v2; SEC EFTS; CourtListener REST v4; USAspending GET; CA OAG RCT/EVOKE/May-Not-Operate CSV; GuideStar search; Semafor 2023-04-28; Postimees 2026-02-22
# caps_hit: USAspending spending_by_award GET HTTP 405; CA OAG RCT Search.aspx HTTP 404; lab.candid.org DNS fail; www.candid.org DNS fail; Wayback CDX HTTP 504; ProPublica q=Survival and Flourishing total_results=0; IRS TEOS UI HTTP 403; IRS index_2026.csv 0 hits for FP/SVCF/METR EINs (complete file); SFF-2026 HTTP 404; Schedule B identities RESTRICTED; DAF Schedule I has no adviser field; jaan.online ledger incomplete and ends 2025-03-31 in this fetch; X/Twitter not used
# no_kevinnbass_sources=true
# money_types_not_summed=true; recommendations, ledger paid_grant, and filed_grant kept distinct; matching pledges and speculation annotations not collapsed into one unconditional amount; investment/observer facts are not grant evidence
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDF,C02.E2;C02.E5,SFF-2025 METR standard recommendation (non-matching remainder),recipient,,EIN 99-1219864,Jaan Tallinn (funder named on the SFF table),Survival and Flourishing Fund (recommending process),"Model Evaluation and Threat Research, Inc.",S-Process recommendation,,,,recommendation,120000,USD,SFF-2025,interval,SFF-2025,recommendation; not a payment,General support,,,,,"Index lists $120,000 separately from +$428,000 matching pledge. Do not merge matching into this amount.",,,,,SFF recommendation table,,issuer statements,GET https://survivalandflourishing.fund/recommendations METR row,https://survivalandflourishing.fund/recommendations,"$120,000 +$428,000‡</td><td class=""in-grid"">Model Evaluation and Threat Research, Inc.</td><td class=""in-grid"">General support</td></tr><tr><td class=""in-grid"">",2026-09-16T09:49:22Z,"SFF-2025 METR recommendation recovered; $120,000 listed separately from $428,000 matching pledge",1,https://survivalandflourishing.fund/2025/recommendations,"Round label is not a payment date. † speculation and ‡ matching are not this $120,000.","Live fetch sff-recommendations.html-20260916T094922Z. Legal recipient named as Model Evaluation and Threat Research, Inc.. Funder column Jaan Tallinn. Recommendation is not a payment. Matching component is a separate row."
2,A,MDF,C02.E2;C02.E5,SFF-2025 METR matching-pledge recommendation (conditional),recipient,,EIN 99-1219864,Jaan Tallinn (funder named on the SFF matching table),Survival and Flourishing Fund Matching Pledge Program,"Model Evaluation and Threat Research, Inc.",matching-pledge recommendation,,,,recommendation,428000,USD,SFF-2025,interval,SFF-2025,conditional on outside donations by 2026-09-30,General support,,,,,"Matching rate 1x; deadline September 30, 2026. Conditional; not an unconditional grant.",,,,,SFF 2025 matching-pledge table,,issuer statements,GET https://survivalandflourishing.fund/2025/recommendations matching table METR row,https://survivalandflourishing.fund/2025/recommendations,"Model Evaluation &amp; Threat Research (METR)</div></div><div class=""in-grid""><div>$428,000</div></div><div class=""in-grid""><div>1x</div></div><div class=""in-grid""><div>September 30, 2026</div></div><",2026-09-16T09:49:22Z,"SFF-2025 METR matching pledge $428,000 at 1x through 2026-09-30",1,https://survivalandflourishing.fund/matching-pledges,"A matching pledge is not a payment and is not added to the $120,000 remainder.","Live fetch sff-2025-recommendations.html-20260916T094922Z. Page: Curly braces indicate a Matching Pledge distributed conditional on outside funds. Keep separate from the $120,000 remainder and from speculation ($120,000)†."
3,A,MDP,C02.E2;C02.E5,"SFF-2025 METR speculation annotation on the $548,000 track total",recipient,,,Jaan Tallinn,Survival and Flourishing Fund,"Model Evaluation and Threat Research, Inc.",speculation-grant annotation on recommendation,,,,,120000,USD,SFF-2025,interval,SFF-2025,annotated as already awarded as Speculation Grant; not a second recommendation,General support,,,,,"Speculation: ($120,000)† counted within the S-Process total; not added to $120,000+$428,000.",,,,,SFF 2025 final recommendations grid,,issuer statements,GET https://survivalandflourishing.fund/2025/recommendations METR grid row,https://survivalandflourishing.fund/2025/recommendations,"Speculation: ($120,000)†<br> Matching: {$428,000}‡</span></div></div><div class=""in-grid""><div>Model Evaluation and Threat Research, Inc.</div></div><div class=""in-grid""><div>Gener",2026-09-16T09:49:22Z,"Track total $548,000 equals $120,000 remainder plus $428,000 matching; speculation $120,000 is an annotation, not extra dollars",1,,"Do not sum the † amount with the $120,000 remainder or the ‡ matching amount. money_type left empty so this is not a second recommendation.","Live fetch sff-2025-recommendations.html-20260916T094922Z. Receiving charity on this row: Model Evaluation and Threat Research, Inc.. This row documents the † annotation only; it is not a third $120,000 recommendation."
4,A,MDF,C02.E2;C02.E5,SFF-2024 METR recommendation,recipient,,EIN 99-1219864,Jaan Tallinn (funder named on the SFF table),Survival and Flourishing Fund (recommending process),"Model Evaluation and Threat Research, Inc.",S-Process recommendation,,,,recommendation,204000,USD,SFF-2024,interval,SFF-2024,recommendation; not a payment,General support,,,,,"Round-page total $204,000 with ($20,000)† speculation already awarded; not a second $20,000 on top of $204,000.",,,,,SFF recommendation table,,issuer statements,GET https://survivalandflourishing.fund/recommendations METR 2024 row,https://survivalandflourishing.fund/recommendations,"Model Evaluation and Threat Research</td>
    <td class=""in-grid"">$204,000</td>
    <td class=""in-grid"">Model Evaluation and Threat Research, Inc.</td>
    <td class=""in-grid"">Gene",2026-09-16T09:49:22Z,"SFF-2024 METR recommendation $204,000 to Model Evaluation and Threat Research, Inc.",1,https://survivalandflourishing.fund/2024/recommendations,"Round label is not a payment date. Speculation ($20,000)† is not extra unconditional money.","Live fetch sff-recommendations.html-20260916T094922Z and sff-2024-recommendations.html-20260916T094922Z. Legal recipient Model Evaluation and Threat Research, Inc.."
5,A,MDP,C02.E2;C02.E5,"SFF-2024 METR speculation annotation ($20,000)†",recipient,,,Jaan Tallinn,Survival and Flourishing Fund,"Model Evaluation and Threat Research, Inc.",speculation-grant annotation on recommendation,,,,,20000,USD,SFF-2024,interval,SFF-2024,"annotated as Speculation Grant within the $204,000 recommendation",General support,,,,,"($20,000)†; deducted from remaining S-Process distribution so total meant to be granted remains $204,000.",,,,,SFF 2024 recommendations grid,,issuer statements,GET https://survivalandflourishing.fund/2024/recommendations METR row,https://survivalandflourishing.fund/2024/recommendations,"$204,000 ($20,000)†</div>
</div>
<div class=""in-grid"" >
<div>Model Evaluation and Threat Research, Inc.</div>
</div>
<di",2026-09-16T09:49:22Z,"SFF-2024 METR $204,000 includes ($20,000)† speculation annotation",1,,"Do not add $20,000 to $204,000. money_type empty so this is not a second recommendation.","Live fetch sff-2024-recommendations.html-20260916T094922Z. Speculation component of the same recommendation, not a second grant."
6,A,MDF,C02.E2;C02.E5,SFF-2024 Alignment Research Center recommendation,recipient,,EIN 86-3605182,Jaan Tallinn (funder named on the SFF table),Survival and Flourishing Fund (recommending process),Alignment Research Center,S-Process recommendation,,,,recommendation,197000,USD,SFF-2024,interval,SFF-2024,recommendation; not a payment,General support,,,,,"Round-page total $197,000 with ($50,000)† speculation annotation; not extra dollars.",,,,,SFF recommendation table,,issuer statements,GET https://survivalandflourishing.fund/recommendations ARC 2024 row,https://survivalandflourishing.fund/recommendations,"Alignment Research Center</td>
    <td class=""in-grid"">$197,000</td>
    <td class=""in-grid"">Alignment Research Center</td>
    <td class=""in-grid"">General supp",2026-09-16T09:49:22Z,"SFF-2024 ARC recommendation $197,000; legal recipient Alignment Research Center",1,https://survivalandflourishing.fund/2024/recommendations,ARC is a separate legal entity from METR. Round label is not a payment date.,"Live fetch sff-recommendations.html-20260916T094922Z. Keep Alignment Research Center unmerged from Model Evaluation and Threat Research, Inc.."
7,A,MDP,C02.E2;C02.E5,"SFF-2024 ARC speculation annotation ($50,000)†",recipient,,EIN 86-3605182,Jaan Tallinn,Survival and Flourishing Fund,Alignment Research Center,speculation-grant annotation on recommendation,,,,,50000,USD,SFF-2024,interval,SFF-2024,"annotated as Speculation Grant within the $197,000 recommendation",General support,,,,,"($50,000)† within $197,000; not added on top.",,,,,SFF 2024 recommendations grid,,issuer statements,GET https://survivalandflourishing.fund/2024/recommendations ARC row,https://survivalandflourishing.fund/2024/recommendations,"$197,000 ($50,000)†</div>
</div>
<div class=""in-grid"" >
<div>Alignment Research Center</div>
</div>
<div class=""in-grid""",2026-09-16T09:49:22Z,"SFF-2024 ARC $197,000 includes ($50,000)† speculation annotation",1,,"Do not add $50,000 to $197,000. money_type empty so this is not a second recommendation.","Live fetch sff-2024-recommendations.html-20260916T094922Z. Speculation component of the same recommendation, not a second grant."
8,A,MDF,C02.E2;C02.E5,SFF-2023-H1 Alignment Research Center (Evals Team) recommendation,recipient,,EIN 86-3605182,Jaan Tallinn and Future of Life Institute (round funders named on the round page),Survival and Flourishing Fund (recommending process),Alignment Research Center,S-Process recommendation,,,,recommendation,3247000,USD,SFF-2023-H1,interval,SFF-2023-H1,recommendation; not a payment,General Support of Evals Team,ARC Evals Team,,,,,,,,,SFF 2023-H1 recommendations table,,issuer statements,GET https://survivalandflourishing.fund/sff-2023-h1-recommendations ARC Evals row,https://survivalandflourishing.fund/sff-2023-h1-recommendations,"Alignment Research Center (Evals Team)</td>
<td class=""in-grid"">$3,247,000</td>
<td class=""in-grid"">Alignment Research Center</td>
<td class=""in-grid"">General Support of Evals Team</td>
</tr>
<tr>
<td",2026-09-16T09:49:22Z,"SFF-2023-H1 ARC Evals Team recommendation $3,247,000; legal recipient Alignment Research Center",1,,Table does not split Tallinn vs FLI dollars. No speculation dagger on this amount. Recommendation is not a receipt.,"Live fetch sff-2023-h1-recommendations.html-20260916T094922Z. Round funders: Funders Jaan Tallinn and Future of Life Institute. The following Recommenders in. ARC Evals is a project of Alignment Research Center, not yet METR."
9,A,MDF,C02.E2;C02.E5,SFF-2022-H2 Alignment Research Center recommendation,recipient,,EIN 86-3605182,Jaan Tallinn (funder named on the SFF table),Survival and Flourishing Fund (recommending process),Alignment Research Center,S-Process recommendation,,,,recommendation,2179000,USD,SFF-2022-H2,interval,SFF-2022-H2,recommendation; not a payment,General Support,,,,,,,,,,SFF 2022-H2 recommendations table,,issuer statements,GET https://survivalandflourishing.fund/sff-2022-h2-recommendations ARC row,https://survivalandflourishing.fund/sff-2022-h2-recommendations,"Alignment Research Center</td>
<td class=""in-grid"">$2,179,000</td>
<td class=""in-grid"">Alignment Research Center</td>
<td class=""in-grid"">General Support</td>
<",2026-09-16T09:49:22Z,"SFF-2022-H2 ARC recommendation $2,179,000; legal recipient Alignment Research Center",1,,Round label is not a payment date.,Live fetch sff-2022-h2-recommendations.html-20260916T094922Z (canonical /2022/h2/recommendations). Also listed on the all-recommendations index.
10,A,MDP,C02.E2;C02.E5,METR issuer names SFF recommendations as a funding route,recipient,,EIN 99-1219864,Survival and Flourishing Fund,,"METR (Model Evaluation and Threat Research, Inc.)",named supporter route (recommendations),,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about funding section,https://metr.org/about,"recommendations by the Survival and Flourishing Fund; and many others, such as David Farhi, Geoff Ralston, Dylan Field and Steve Newman.</p>

    <p>Please consider joining them <a href=""https://www.e",2026-09-16T09:49:22Z,METR names SFF recommendations as a funding route without amounts or dates,1,,"Issuer wording is not an amount, date, or legal payer.","Live fetch metr-about.html-20260916T094922Z. Typed as recommendation route, not as donor identity for Jaan Tallinn."
