# fetch_window_utc=2026-09-16T09:27:52Z/2026-09-16T09:37:38Z
# routes_used=metr.org/blog/2026-05-19-frontier-risk-report/; metr.org/frontier-risk-report alias; metr.org/risk-report-feb-mar-2026.pdf; metr.org/coi-policy.pdf; metr.org/about and metr.org/about#funding; metr.org/team/<slug>/ for named contributors; aievaluatorforum.org/initiatives/minimum-operating-conditions and AEF-1 PDF; aievaluatorforum.org/ and /about/members; constellation.org; Wayback sparkline/CDX/timemap/calendarcaptures/availability and web/2024*/20260216*/20260316*/20260519*/20260828*/2026* for coi-policy.pdf; Wayback id_ about 20260217025714, 20260316233630, 20260519102303, 20260519231348; Wayback id_ team beth-barnes and hjalmar-wijk at 20260519102303; r.jina.ai of live coi-policy.pdf
# caps_hit=Wayback CDX HTTP 503 Temporarily Offline (multiple); Wayback availability API HTTP 429; calendarcaptures/2 HTTP 400 missing data/url parameters; r.jina.ai Wayback hosts HTTP 403; curl empty body for Wayback id_ team/ajeya-cotra at 20260519102303; live team HTTP 404 for ben-snodin/daheun-oh/michael-keenan/taylor-osborn/amber-ace/ryan-greenblatt; Wayback sparkline first_ts=null (URL not archived) for metr.org/coi-policy.pdf; timemap/link empty body
# no_kevinnbass_sources=true
# read_first=research/STATE.md (C08.E1/E2 open; SOURCE C08 issuer/self/project PARTIAL, archives UNTOUCHED at start). Seed MDQ0001/DR28–DR30 re-verified from this-run FRR primary, not presented as new discoveries. S3 COI-policy locator sha256 cc31342508f82e5388f4733416ecf865eed1172a4e115cd5c7f2e5038cb6e8f9 re-verified from this-run GET of https://metr.org/coi-policy.pdf saved under this lane primary dir; not treated as research/primary/S3-coi-policy/. Embargo: no send/email/post/file/submit; no nmcli/resolvectl/protonvpn/sudo/systemctl/ip/iptables/nft.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDT,C08.E1;C08.E2,Frontier Risk Report assessment window and publication date as stated on the report,project,,metr-2026-frontier-risk-report,,,,,,,,,,,2026-02-16,day,2026-02-16/2026-03-16,,,METR Frontier Risk Report (February to March 2026),,,,,,,,,,,project documents,GET https://metr.org/blog/2026-05-19-frontier-risk-report/ ; visible Assessment Window line and JSON-LD datePublished,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Feb 16, 2026 – Mar 16, 2026",2026-09-16T09:27:52Z,"HTML states Assessment Window Feb 16, 2026 – Mar 16, 2026; JSON-LD datePublished=2026-05-19T11:00:00-07:00; header-date May 19, 2026",1,https://metr.org/risk-report-feb-mar-2026.pdf,Assessment window and publication date are distinct; this row records both as stated and does not collapse them.,Saved research/primary/MD28-frontier-risk-report-coi/metr-org-frr-blog-20260916T092752Z.html sha256=f2b36a3ee5cf32f550905216a504588f4c4456b606086f2bd0f479fccb0a2ff4. JSON-LD author=METR. Canonical URL this page. Re-verifies seed MDQ0001 / donor_rule DR28–DR30 against this-run primary; not presented as a new discovery. STATE.md was read before facts were added. no_kevinnbass_sources.
A02,A,MDT,C08.E1;C08.E2,PDF restates assessment window and publication date separately,,,,,,,,,,,,,,2026-05-19,day,2026-02-16/2026-03-16,,,METR Frontier Risk Report (February to March 2026),,,,,,,,,,,project documents,GET https://metr.org/risk-report-feb-mar-2026.pdf ; pdftotext first pages,https://metr.org/risk-report-feb-mar-2026.pdf,"Publication date:                                                          May 19, 2026",2026-09-16T09:27:59Z,PDF cover block lists assessment window and publication date as separate fields,1,,PDF line-wraps the two labels; both dates are on the first page.,Saved research/primary/MD28-frontier-risk-report-coi/metr-org-risk-report-feb-mar-2026-20260916T092759Z.pdf sha256=63495e7e93c0a8e9d7de9ddc00e8b778f2ba271eb119a4ec932df1e567752ca1 bytes=18917631. Download link on HTML is /risk-report-feb-mar-2026.pdf. Re-verifies seed MDQ0001 / donor_rule DR28–DR30 against this-run primary; not presented as a new discovery. STATE.md was read before facts were added. no_kevinnbass_sources.
A03,A,MDQ,C08.E1;C08.E2,Report states no applicable personnel CoI policy at project start and no formal recusal/disclosures process,,,,,,,,,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (February to March 2026),not applicable - self-assessment,,,,none in force at start of project (issuer statement in this report),did not run a formal recusal or disclosures process,,see A06 close personal relationships; also strong social ties and Constellation co-location (A04),,,project documents,GET HTML #operating-conditions and PDF Operating conditions section,https://metr.org/blog/2026-05-19-frontier-risk-report/,"METR did not have an applicable personnel conflict of interest (CoI) policy in place at the start of this project, and as such we did not run a formal recusal or disclosures process.",2026-09-16T09:27:52Z,Issuer statement of no applicable personnel CoI policy at start of project and no formal recusal or disclosures process; pilot not compliant with all AEF-1 requirements,1,https://metr.org/risk-report-feb-mar-2026.pdf,Statement is about the start of the project (early February 2026). It is not a dated file of a prior policy version.,Same sentence in HTML and PDF Operating conditions. Re-verifies donor_rule DR28. Saved research/primary/MD28-frontier-risk-report-coi/metr-org-frr-blog-20260916T092752Z.html. Re-verifies seed MDQ0001 / donor_rule DR28–DR30 against this-run primary; not presented as a new discovery. STATE.md was read before facts were added. no_kevinnbass_sources.
A04,A,MDQ,C08.E2,"Report's additional CoI-adjacent disclosures: funding independence, social ties, Constellation co-location",,,,Model Evaluation and Threat Research,,Constellation,shared research center occupancy (as stated by METR),,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (February to March 2026),,,,,,,,,,,project documents,GET HTML #operating-conditions paragraph after the recusal sentence,https://metr.org/blog/2026-05-19-frontier-risk-report/,Also note that some METR staff have strong social ties to employees of AI companies,2026-09-16T09:27:52Z,Funding-independence principle stated; social ties and Constellation co-location with some AI lab staff disclosed; unnamed staff not identified here,1,,Does not name which staff have social ties. Constellation.org was fetched as the named shared center; it does not itself list METR's AI-lab-staff co-location claim.,Quote truncated to the two sentences as published. Link in HTML is https://metr.org/about#funding and https://constellation.org/. Re-verifies seed MDQ0001 / donor_rule DR28–DR30 against this-run primary; not presented as a new discovery. STATE.md was read before facts were added. no_kevinnbass_sources.
A05,A,MDQ,C08.E1,AEF-1 Table A.1 item 2.3: published CoI policy applied to the evaluation = No,,,,,,,,,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (February to March 2026),,,,,AEF-1 2.3 answered No; see above description,,,,,,project documents,GET HTML Table A.1 item 2.3; PDF Minimized Conflicts of Interest table,https://metr.org/blog/2026-05-19-frontier-risk-report/,"The evaluator has published a conflict of interest policy, and it was applied to the evaluation.",2026-09-16T09:27:52Z,"Table A.1 2.3 Fulfilled?=No, notes point to the operating-conditions paragraph (A03)",1,,"This is the report's AEF-1 checklist answer, not a METR policy PDF in force on these dates.",HTML table cells: 2.3 / Requirement... / No / See above description. PDF same. Re-verifies seed MDQ0001 / donor_rule DR28–DR30 against this-run primary; not presented as a new discovery. STATE.md was read before facts were added. no_kevinnbass_sources.
A06,A,MDQ,C08.E2,AEF-1 Table A.1 item 2.4 other conflicts: at least 6 staff/collaborators with close personal relationships,,,,,,,,,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (February to March 2026),,,,,,"Table A.1 item 2.4, any other conflicts of interest",,Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.,,,project documents,GET HTML Table A.1 item 2.4 last subrow; PDF item 2.4 sub-item 6,https://metr.org/blog/2026-05-19-frontier-risk-report/,Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.,2026-09-16T09:27:52Z,Report discloses unnamed count of at least 6 directly involved staff/collaborators with close personal relationships with AI company staff; this lane does not identify them by matching,1,,Count is a lower bound and unnamed. Deanonymizing the unnamed staff is out of scope.,Re-verifies seed MDQ0001 / DR30 verbatim against this-run HTML and PDF. Saved research/primary/MD28-frontier-risk-report-coi/metr-org-frr-blog-20260916T092752Z.html and research/primary/MD28-frontier-risk-report-coi/metr-org-risk-report-feb-mar-2026-20260916T092759Z.pdf. Re-verifies seed MDQ0001 / donor_rule DR28–DR30 against this-run primary; not presented as a new discovery. STATE.md was read before facts were added. no_kevinnbass_sources.
A07,A,MDQ,C08.E2,"AEF-1 Table A.1 item 2.4 sub-answers on pay, funding, equity, simultaneous work",,,,,,,,,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (February to March 2026),,,,,,,,,,,project documents,GET HTML Table A.1 item 2.4 subrows 1-5,https://metr.org/blog/2026-05-19-frontier-risk-report/,Was the evaluator paid by the system provider or its direct competitor to conduct the evaluation?,2026-09-16T09:27:52Z,2.4 paid-by-provider=No; meaningful fraction of funding from provider/employees/competitors=No (with free-tokens note); provider equity in evaluator=No; evaluator staff equity in provider=No; simultaneous work=No; other=A06,6,,Free tokens/access are disclosed as incentivizing a cordial relationship; this lane does not treat them as cash. Funding-fraction answer points to metr.org/about#funding.,"HTML also: 'Does a meaningful fraction of the evaluator’s funding come from the system provider, its employees, or its direct competitors? No. Note that METR’s work with nonpublic models and use of free tokens incentivize a cordial relationship with AI companies.'"
A08,A,MDQ,C08.E2,AEF-1 Table A.1 item 2.5 recusal of significant financial interest = Yes,,,,,,,,,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (February to March 2026),,,,,,2.5 recused individuals with a significant financial interest in the system provider; Fulfilled?=Yes,,,,,project documents,GET HTML Table A.1 item 2.5,https://metr.org/blog/2026-05-19-frontier-risk-report/,The evaluator recused any individuals with a significant financial interest in the system provider from carrying out the evaluation.,2026-09-16T09:27:52Z,Table A.1 2.5 Fulfilled?=Yes with no notes cell in HTML; sits next to A03 which says no formal recusal or disclosures process was run,1,,The report both answers 2.5 Yes and states it did not run a formal recusal or disclosures process. This lane records both sentences and does not reconcile them into a motive.,AEF-1 2.5 as published Dec 4 2025 requires recusal of staff with significant financial interest (direct equity / spouse / dependent). Report checklist marks it Yes. See A03 for process wording.
A09,A,MDE,C08.E2,Named Writing contributors on the report,project team,,,,,,,,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (February to March 2026),,,,,,,,,,,project documents,GET HTML #contributors Writing paragraph; PDF Contributors,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Ajeya Cotra</a> (report lead), <a href=""/team/hjalmar-wijk/"">Hjalmar Wijk</a>",2026-09-16T09:27:52Z,Six named Writing contributors; Ajeya Cotra identified as report lead,6,,"Roles here are report functions, not employment titles. Titles at the report date are Task C from dated about/team pages.",HTML links /team/ slugs for all six. PDF Contributors section matches these six names. Re-verifies seed MDQ0001 / donor_rule DR28–DR30 against this-run primary; not presented as a new discovery. STATE.md was read before facts were added. no_kevinnbass_sources.
A10,A,MDE,C08.E2,Named Company engagement contributors on the report,project team,,,,,,,,,,,,,2026-05-19,day,,,,METR Frontier Risk Report (February to March 2026),,,,,,,,,,,project documents,GET HTML #contributors Company engagement paragraph,https://metr.org/blog/2026-05-19-frontier-risk-report/,"<strong>Company engagement</strong>: <a href=""/team/charles-foster/"">Charles Foster</a>",2026-09-16T09:27:52Z,Six named Company engagement contributors,6,,Overlap with Writing names is expected; people are not merged into one legal entity.,All six have /team/ links on HTML.
