# fetch_window_utc=2026-09-16T09:19:56Z/2026-09-16T09:34:00Z
# routes_used=live GET metr.org/about,/donate,/blog/2026-08-14-funding-update/,/,/blog/2026-08-26-openai-hugging-face-incident-investigation/; Wayback id_ donate 20250401090802,20250418224241,20260205085442,20260804024601 and about 20250711110623,20250714231749,20260714200544,20260719171236,20260804074910; Anthropic sitemap+news+wellbeing-grants+third-party-evals+improving-alignment-security-efforts+alignment-assessment-cybersecurity-incidents; OpenAI foundation+people-first-grantees+TY2024 990 XML 202513219349328476+Schedule I render; Google DeepMind home/blog; Google.org; Google Foundation ProPublica; Meta Newsroom; Wayback 2024 ai.meta.com; Amazon Science; aboutamazon.com; AmazonSmile index+ProPublica; IRS index_2025.csv and index_2026.csv; GT XML METR 202523209349300367 and SVCF 202543149349305759; ProPublica FTS name+EIN; Vanguard Schedule I/B; IRS Form 990 Schedule I PDF+instructions; IRS TEOS app; USAspending spending_by_award POST grants; grants.gov API; Candid homepage; CourtListener; SEC efts POST/GET and browse-edgar; CA OAG charities landing
# caps_hit=IRS TEOS HTTP 403; openai.com home/our-structure/teen-grants HTTP 403; ai.meta.com and about.meta.com HTTP 400; r.jina.ai HTTP 403; SEC efts GET 500 POST 403 Missing Authentication Token; SEC browse-edgar 403 undeclared automated tool; grants.gov API POST 405; USAspending mixed-type POST 422 and contracts POST read-timeout; AmazonSmile GT XML GET hung (not saved); AWS Imagine Grant path 404; aboutamazon /impact/community/nonprofits 404; guessed Anthropic /news/we-must-pace-the-frontier and /news/improving-our-alignment-and-security-efforts 404 (sitemap slug used)
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; seed MDT0001-MDT0003, MD01 990 fields, MD11 DAF Schedule I/B stop and MD24 dated rule versions were locators only and were re-verified against this-run primaries, not presented as new discoveries; this lane did not contact anyone or ask how the approximately $71 million was composed or allocated; free tokens/compute are not typed as payments; DAF sponsor, DAF account, lab, employee and METR stay unmerged; a commitment is not a payment; results are per-source only
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDT,C03.E1,Live metr.org/about AI-company funding rule (this-run),recipient,METR,99-1219864,,,"Model Evaluation and Threat Research, Inc.",,,,,,,,2026-09-16,day,,,,,,,,,live about 2026-09-16T09:19:56Z,,,,,no,issuer statements,GET https://metr.org/about,https://metr.org/about,"METR has not accepted funding from AI companies, though we make use of significant free tokens, which we use for evaluations, research, and engineering, as noted above. Independent funding has been crucial for our ability to pursue the most promising research directions and set standards for evidenc",2026-09-16T09:19:56Z,"live about states METR has not accepted funding from AI companies; free tokens disclosed, not typed as a payment",1,,"Page text is a stated rule, not a filing line and not a transaction date. Free tokens are not payments (MD26/MD27).","Seed/MD24 wording re-verified on this-run live GET. research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary metr-org-about-20260916T091956Z.html."
A02,A,MDT,C03.E1,Live metr.org/about employee-directed donation rule (Note: prefix),recipient,METR,99-1219864,,,"Model Evaluation and Threat Research, Inc.",,,,,,,,2026-09-16,day,,,,,,,,,live about 2026-09-16T09:19:56Z Note: prefix,,,,,no,issuer statements,GET https://metr.org/about,https://metr.org/about,"(Note: METR cannot accept donations made by or at the direction of frontier AI company employees.) Additionally, a small part of our income is from a technical assistance contract with the European AI Office, supporting their approach and technical methods for assessing loss of control risks. METR h",2026-09-16T09:19:56Z,live about employee-direction parenthesis uses Note: prefix,1,,"Does not disclose whether any named individual donated before, after, or via a permitted route.","MDT0016/MD24 live wording re-verified this run. research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary metr-org-about-20260916T091956Z.html."
A03,A,MDT,C03.E1,Live metr.org/donate employee-directed donation rule,recipient,METR,99-1219864,,,"Model Evaluation and Threat Research, Inc.",,,,,,,,2026-09-16,day,,,,,,,,,live donate 2026-09-16T09:19:56Z,,,,,no,issuer statements,GET https://metr.org/donate,https://metr.org/donate,"(METR cannot accept donations made by or at the direction of frontier AI company employees.) All every.org donations are re-granted to METR as batched, unrestricted donations. Every.org does not charge METR for use of the platform, but transaction fees are deducted out of your donation. Here are the",2026-09-16T09:19:56Z,live donate carries the employee-direction parenthesis without the about-page Note: prefix,1,,"Donate-page rule is a page text, not a gift date.","Same sentence as live about without Note:. EIN 99-1219864 also on this page. research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary metr-org-donate-20260916T091956Z.html."
A04,A,MDT,C03.E1,Live 2026-08-14 funding-update AI-company funding and staff-direction rules,recipient,METR,,,,"Model Evaluation and Threat Research, Inc.",,,,,,,,2026-08-14,day,,,,,,,,,"funding-update DATE August 14, 2026",,,,,no,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"We have not accepted funding from these companies, and we do not accept donations made by or at the direction of their staff. However, frontier AI companies currently provide a significant amount of free tokens for our evaluations, research, and engineering. We are significantly expanding our team a",2026-09-16T09:19:56Z,funding-update restates both rules; free tokens disclosed and not typed as a payment,1,,"JSON-LD/page DATE 2026-08-14 is the statement date, not a transaction date. 'these companies' refers to frontier AI companies in the preceding sentence.","Both rules on one dated post. research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary metr-org-funding-update-20260916T091956Z.html."
A05,A,MDT,C03.E1,Donate-page compensation footnote first appearance (2025-04-18 capture),recipient,METR,,,,,,,,,,,,2025-04-18,day,Wayback capture 20250418224241,,,,,,,,donate compensation footnote April 2025,,,,,no,archives,GET https://web.archive.org/web/20250418224241id_/https://metr.org/donate,https://web.archive.org/web/20250418224241id_/https://metr.org/donate,"To date, April 2025, we have not accepted compensation from AI companies for the evaluations we have conducted.  ↩",2026-09-16T09:19:58Z,first recovered donate capture with the compensation footnote; no employee-gift ban on this capture,1,https://web.archive.org/web/20250401090802id_/https://metr.org/donate,"Capture date bounds when the unique-digest page changed, not when any evaluation was conducted or paid. Seed MDT0001 locator re-verified.","Absent on 20250401090802 (A11). research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary wayback-donate-20250418224241id-20260916T091958Z.html."
A06,A,MDT,C03.E1,Donate-page compensation footnote still present with September 2025 label,recipient,METR,,,,,,,,,,,,2026-02-05,day,Wayback capture 20260205085442,,,,,,,,donate compensation footnote September 2025 label,,,,,no,archives,GET https://web.archive.org/web/20260205085442id_/https://metr.org/donate,https://web.archive.org/web/20260205085442id_/https://metr.org/donate,"To date, September 2025, we have not accepted compensation from AI companies for the evaluations we have conducted. However, companies have provided access and compute credits to enable evaluations and evaluation research.  ↩",2026-09-16T09:19:58Z,footnote month label had shifted to September 2025; still no employee-direction parenthesis,1,,Page-text 'To date' label is not a transaction date. Access and compute credits named; not typed as payments.,"MD24 B27 locator re-verified. research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary wayback-donate-20260205085442id-20260916T091958Z.html."
A07,A,MDT,C03.E1,About-page first 'not accepted funding from AI companies' wording,recipient,METR,,,,,,,,,,,,2025-07-14,day,Wayback capture 20250714231749,,,,,,,,about How-is-METR-funded first appearance,,,,,no,archives,GET https://web.archive.org/web/20250714231749id_/https://metr.org/about,https://web.archive.org/web/20250714231749id_/https://metr.org/about,"METR has not accepted funding from AI companies, though we make use of free compute credits, as noted above. Being independently funded has been crucial for our ability to pursue the most promising research directions and set standards for evidence-based understanding of risks from AI. It is also pa",2026-09-16T09:19:59Z,"first about unique-digest with the AI-company funding rule; free compute credits, not tokens; no employee parenthesis",1,https://web.archive.org/web/20250711110623id_/https://metr.org/about,"Capture date is a page-change bound, not a gift date. Absent on 20250711110623 (A12).","MD24 B04 locator re-verified. research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary wayback-about-20250714231749id-20260916T091959Z.html."
A08,A,MDT,C03.E1,About-page first employee-direction parenthesis (no Note: prefix),recipient,METR,,,,,,,,,,,,2026-07-19,day,Wayback capture 20260719171236,,,,,,,,about employee parenthesis first appearance,,,,,no,archives,GET https://web.archive.org/web/20260719171236id_/https://metr.org/about,https://web.archive.org/web/20260719171236id_/https://metr.org/about,"(METR cannot accept donations made by or at the direction of frontier AI company employees.) Additionally, a small part of our income is from a technical assistance contract with the European AI Office, supporting their approach and technical methods for assessing loss of control risks. METR has not",2026-09-16T09:19:59Z,first about unique-digest with the employee-direction parenthesis; still free compute credits,1,https://web.archive.org/web/20260714200544id_/https://metr.org/about,"Window 2026-07-14 to 2026-07-19 is a page change, not a donation event. Seed MDT0002 locator re-verified.","Prior unique-digest 20260714200544 lacked the parenthesis. research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary wayback-about-20260719171236id-20260916T091959Z.html."
A09,A,MDT,C03.E1,Donate-page first employee-direction parenthesis,recipient,METR,,,,,,,,,,,,2026-08-04,day,Wayback capture 20260804024601,,,,,,,,donate employee parenthesis first appearance,,,,,no,archives,GET https://web.archive.org/web/20260804024601id_/https://metr.org/donate,https://web.archive.org/web/20260804024601id_/https://metr.org/donate,"(METR cannot accept donations made by or at the direction of frontier AI company employees.) All every.org donations are re-granted to METR as batched, unrestricted donations. Every.org does not charge METR for use of the platform, but transaction fees are deducted out of your donation. Here are the",2026-09-16T09:19:59Z,first donate unique-digest with the employee-direction sentence,1,,Donate unique-digest window 2026-07-03 to 2026-08-04. Not a gift date. Seed MDT0003 locator re-verified.," research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary wayback-donate-20260804024601id-20260916T091959Z.html."
A10,A,MDT,C03.E1,About-page Note: prefix and free-tokens rewrite of the two rules,recipient,METR,,,,,,,,,,,,2026-08-04,day,Wayback capture 20260804074910,,,,,,,,about Note: prefix plus free tokens,,,,,no,archives,GET https://web.archive.org/web/20260804074910id_/https://metr.org/about,https://web.archive.org/web/20260804074910id_/https://metr.org/about,"(Note: METR cannot accept donations made by or at the direction of frontier AI company employees.) Additionally, a small part of our income is from a technical assistance contract with the European AI Office, supporting their approach and technical methods for assessing loss of control risks. METR h",2026-09-16T09:20:00Z,employee sentence gains Note: prefix; funding rule still present with significant free tokens,1,,"Same calendar day as donate first parenthesis is a page-change coincidence, not a transaction.","Live about (A01/A02) still uses this wording. research/STATE.md read 2026-09-16 before adding facts; this-run re-verification, not a new discovery. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed. Primary wayback-about-20260804074910id-20260916T092000Z.html."
