# MD33-donor-investor-map.csv; fetch_window=2026-09-16T09:37:11Z/2026-09-16T09:38:58Z; routes=live GET metr.org/about,/blog/2026-08-14-funding-update/,/donate; live GET anthropic.com Series A/E/F/G/H,/company,/news,/legal; schmidtsciences.org faq/home; janestreet.com home/who-we-are/search?q=METR; survivalandflourishing.fund/recommendations and .com; jaan.online/philanthropy/ and donations.csv; Stratechery Moskovitz interview; Semafor Tallinn 2023-04-28; Postimees Tallinn 2026-02-22; CNBC Hillspire 2025-01-21 (live 200) plus Wayback id_ 20250121200726; CourtListener RECAP Doc 10241-1 PDF and REST v4 type=o/type=d; SEC EFTS LATEST/search-index (Jaan Tallinn, Tallinn+Anthropic, Jane Street+Anthropic, Eric Schmidt+Anthropic, Metaplanet+Anthropic, Anthropic PBC S-1, Dylan Field+Anthropic, entityName Anthropic PBC); EDGAR browse-edgar company=Anthropic and Anthropic+PBC; METR FY2024 990 XML 202523209349300367; Founders Pledge TY2024 XML 202523079349303352; SVCF TY2024 XML 202543149349305759; Schmidt Fund 990-PF TY2024 XML 202543219349108364; ProPublica API v2 orgs/search; CA SOS bizfileonline; CA OAG RCT Search.aspx and oag.ca.gov/charities; DE SOS ICIS NameSearch.aspx GET; OpenCorporates; FL Sunbiz; IRS TEOS; packard.org grants-database; caps_hit=IRS TEOS HTTP 403; CA SOS Incapsula; OpenCorporates captcha; FL Sunbiz HTTP 403; CA OAG RCT HTTP 404; SEC EFTS entityName Anthropic PBC HTTP 400; r.jina.ai HTTP 403 on Stratechery/Semafor/Postimees/CNBC/FAQ; Wayback CDX HTTP 503; ProPublica q=Metaplanet and q=Schmidt Sciences LLC HTTP 404 JSON total_results=0; CourtListener type=o Jane Street Anthropic count=0; no_kevinnbass_sources=true
# primary_dir=research/primary/MD33-donor-investor-map/; money types not summed; firm Anthropic positions are not METR gifts; unnamed Jane Street individuals are not identified; held S0 MDR0001/MDR0002/MDR0003 and MD04/MD07/MD09 C05 rows cited by id after this-lane fetch with new checked_utc; C07 out of scope
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDE,C05.E3,"Model Evaluation and Threat Research, Inc.",recipient / 501(c)(3) public charity,METR; Model Evaluation And Threat Research; MODEL EVALUATION AND THREAT RESEARCH INC,EIN 99-1219864,,,,,,,,,,,,,,,,,,,,,,,,,,,recipient filings,GET IRS e-file XML 202523209349300367 ReturnHeader/Filer; ProPublica API organizations/991219864.json,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml,"<EIN>991219864</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>MODEL EVALUATION AND THREAT</BusinessNameLine1Txt>
        <BusinessNameLine2Txt>RESEARCH INC</BusinessNameLine2Txt>
      </BusinessName>
      <BusinessNameControlTxt>MODE</BusinessNameControlTxt>
      <PhoneNum>7075001002</P",2026-09-16T09:37:58Z,identified; CA Covina public charity; FY2024 990 object 202523209349300367,1,,,"Distinguish from Alignment Research Center (EIN 86-3605182), from Anthropic, PBC, and from ARC Evals as a project. Filer name on the XML is MODEL EVALUATION AND THREAT / RESEARCH INC; ProPublica organization name is Model Evaluation And Threat Research; address 440 N BARRANCA AVE 3345, COVINA CA 91723. Recipient, not an Anthropic investor. This-lane fetch metr-990-fy2024-20260916T093758Z.xml and pp-metr-org-20260916T093759Z.json. Not a recopy of MD01."
2,A,MDE,C05.E1;C05.E3,"Anthropic, PBC",issuer / public benefit corporation,Anthropic,"Anthropic, PBC",,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.anthropic.com/legal Consumer Terms,https://www.anthropic.com/legal,"These Terms are a contract between you and Anthropic, PBC ("" Anthropic "") (and not our Providers), and they include our Acceptable Use Policy . By accessing our Services, you agree to these Terms. Please read our Privacy Policy , which describes how we collect and use personal information. Please no",2026-09-16T09:37:26Z,"issuer names itself Anthropic, PBC on the live legal terms",1,,This page does not state a state of incorporation or file number.,"Distinguish from METR; from EDGAR name-hits 'Anthropic PBC 1, a Series of Venelite Venture Funds, LP' and 'Anthropic PBC Jan 2026 a Series of CGF2021 LLC' (those are other issuers' series vehicles, not this company); and from fund NPORT mentions of Anthropic holdings. Jurisdiction/file number not recovered from this legal page (see Task E state-registry and SEC rows). Primary anthropic-legal-20260916T093726Z.html."
3,A,MDE,C05.E1;C05.E3,individuals from Jane Street,unnamed natural-person class,individuals from Jane Street (METR wording),,individuals from Jane Street,,Model Evaluation and Threat Research (METR),named supporter class (no individual named),,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about funding paragraph,https://metr.org/about,"METR is funded by donations. We are grateful to METR’s many supporters: from METR’s first institutional-scale funding through The Audacious Project (a funding initiative housed at TED); to individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt",2026-09-16T09:37:11Z,"METR names a class of natural persons, not Jane Street the firm, and names no individual in that class",1,,,"Distinguish from Jane Street Group, LLC; Jane Street Capital, LLC; Jane Street Global Trading, LLC; and from the issuer's 'Jane Street' Series E–H participant. METR names individuals, not the firm. David Farhi, Geoff Ralston, Dylan Field and Steve Newman appear later as 'many others, such as' and are not identified here as Jane Street individuals. This lane does not deanonymize the class. Cites held MD07/MDF0018 as locator only; this-lane fetch metr-about-20260916T093711Z.html with new checked_utc."
4,A,MDE,C05.E1;C05.E3,"Jane Street Group, LLC",parent holding company / limited liability company,Jane Street (site brand),"Jane Street Group, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.janestreet.com/ footer disclosures,https://www.janestreet.com/,"Services are provided in the U.S. by Jane Street Capital, LLC and Jane Street Execution Services, LLC, each of which is a SEC-registered broker dealer and member of FINRA ( www.finra.org ). Regulated activities are undertaken in Europe by Jane Street Financial Limited, an investment firm authorized ",2026-09-16T09:37:29Z,"site names Jane Street Group, LLC as parent of named regulated subsidiaries",1,,,"Distinguish from Jane Street Capital, LLC (US broker-dealer subsidiary on the same footer); Jane Street Global Trading, LLC (court purchaser of Anthropic shares); Jane Street Execution Services, LLC; and from METR's unnamed 'individuals from Jane Street'. Anthropic Series pages say only 'Jane Street' and do not identify which legal entity. State file number not recovered (Task E OpenCorporates/CA/DE). Primary janestreet-home-20260916T093729Z.html."
5,A,MDE,C05.E1;C05.E3,"Jane Street Capital, LLC",SEC-registered broker-dealer / limited liability company,,"Jane Street Capital, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.janestreet.com/ footer disclosures,https://www.janestreet.com/,"Services are provided in the U.S. by Jane Street Capital, LLC and Jane Street Execution Services, LLC, each of which is a SEC-registered broker dealer and member of FINRA ( www.finra.org ). Regulated activities are undertaken in Europe by Jane Street Financial Limited, an investment firm authorized ",2026-09-16T09:37:29Z,"named as US broker-dealer subsidiary of Jane Street Group, LLC; not named as METR donor",1,,,"Distinguish from Jane Street Group, LLC (parent), Jane Street Global Trading, LLC (FTX-estate purchaser), and from unnamed 'individuals from Jane Street'. A firm/broker identity is not a METR gift and is not merged with the Anthropic Series participant string. Andrew Critch's SFC bio (former employment at Jane Street Capital) is not used to identify METR donors. Primary janestreet-home-20260916T093729Z.html."
6,A,MDE,C05.E1;C05.E3,"Jane Street Global Trading, LLC",investment vehicle / limited liability company,Jane Street (purchaser name on FTX estate Exhibit 1),"Jane Street Global Trading, LLC","Jane Street Global Trading, LLC",,Anthropic PBC,legal purchaser of Anthropic Series B Preferred from FTX estate,,,,,,,,,,,,,,,,,,,,,,,court dockets,GET CourtListener RECAP gov.uscourts.deb.188450.10241.1.pdf Exhibit 1,https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,"Jane Street Global Trading, LLC                                         3,332,833            $99,999,988
    Certain funds managed by Fidelity Management &
                                                                            1,499,775            $44,999,999
    Research Company LLC 3
    HOF ",2026-09-16T09:37:46Z,"court names Jane Street Global Trading, LLC as purchaser of 3,332,833 shares for $99,999,988",1,,,"Cites held MDE0001/MDR0004 as locator only; this-lane PDF court-ftx-10241-1-20260916T093746Z.pdf with new checked_utc. Distinguish from METR's unnamed individuals, from Jane Street Capital, LLC, and from Jane Street Group, LLC. A firm/vehicle investment is not a donation by an individual and is not a METR gift. In re FTX Trading Ltd., D. Del. 22-11068, Doc 10241-1 Exhibit 1, filed 2024-03-22."
7,A,MDE,C05.E3;C05.E1,"Schmidt Sciences, LLC",nonprofit LLC / 501(c)(3) subsidiary,Schmidt Sciences,"Schmidt Sciences, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.schmidtsciences.org/faq/,https://www.schmidtsciences.org/faq/,"Schmidt Sciences, LLC is a 501(c)3 non-profit organization supported by Eric and Wendy Schmidt dedicated to advancing science and technology for positive global impact. Schmidt Sciences, LLC is a subsidiary of The Eric and Wendy Schmidt Fund for Strategic Innovation (EIN: 46-3460261). What does Schm",2026-09-16T09:37:27Z,FAQ names LLC as 501(c)3 subsidiary of EIN 46-3460261; no separate EIN on the FAQ,1,parent Fund TY2025 990-PF if the LLC remains a disregarded/subsidiary filer,,"Cites held MDE0003 as locator only; this-lane schmidtsciences-faq-20260916T093727Z.html. Distinguish from The Eric and Wendy Schmidt Fund for Strategic Innovation (EIN 46-3460261), from Eric Schmidt the individual, from Hillspire, LLC, and from Schmidt Futures as a brand. ProPublica search.json?q=Schmidt Sciences LLC returned total_results=0 this lane (Task E). METR names the brand Schmidt Sciences, not which legal entity paid."
8,A,MDE,C05.E3,The Eric and Wendy Schmidt Fund for Strategic Innovation,private foundation (Form 990-PF),"Schmidt Fund; parent of Schmidt Sciences, LLC per FAQ",EIN 46-3460261,,,,,,,,,,,,,,,,,,,,,,,,,,,funder filings,GET ProPublica API /nonprofits/api/v2/organizations/463460261.json and 990-PF XML 202543219349108364,https://projects.propublica.org/nonprofits/organizations/463460261,"""name"":""The Eric And Wendy Schmidt Fund For Strategic Innovation"",""careofname"":null,""address"":""555 BRYANT ST 374"",""city"":""Palo Alto"",""state"":""CA"",""zipcode"":""94301-1704"",""exemption_number"":0,""subsection_code"":3,""affiliation_code"":3,""classification_codes"":""1200"",""ruling_date"":""2014-09-01"",""deductibili",2026-09-16T09:38:01Z,"identified as private foundation EIN 46-3460261, Palo Alto CA",1,,,"Cites held MDE0005 as locator only; this-lane pp-schmidt-fund-20260916T093801Z.json and schmidt-990pf-ty2024-20260916T093817Z.xml. Distinguish from Schmidt Sciences, LLC, Eric Schmidt the individual, Hillspire, LLC, The Schmidt Family Foundation, and Schmidt Ocean Institute. Officer title PRESIDENT - SCHMIDT SCIENCES on a filing is a title, not a merger of the LLC and the Fund."
9,A,MDE,C05.E1;C05.E3,Eric Schmidt,individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.anthropic.com/news/anthropic-raises-124-million-to-build-more-reliable-general-ai-systems,https://www.anthropic.com/news/anthropic-raises-124-million-to-build-more-reliable-general-ai-systems,"The Series A round was led by Jaan Tallinn, technology investor and co-founder of Skype. The round included participation from James McClave, Dustin Moskovitz, the Center for Emerging Risk Research, Eric Schmidt, and others. To find out more about Anthropic’s research agenda and approach, you can re",2026-09-16T09:37:19Z,issuer names the individual Eric Schmidt as a Series A participant; amount undisclosed,1,,,"Distinguish from Schmidt Sciences, LLC (METR-named supporter), from EIN 46-3460261, and from Hillspire, LLC. Anthropic names the individual, not a foundation or family office, as the Series A participant. Not a METR-named supporter; attached because METR names Schmidt Sciences and the issuer names Eric Schmidt on the Series A page. Cites held MDR0009 as locator only; this-lane anthropic-series-a-20260916T093719Z.html."
10,A,MDE,C05.E1;C05.E3,"Hillspire, LLC",family office / management company (LLC),Hillspire; Eric Schmidt family office,HILLSPIRE LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,funder filings,grep HILLSPIRE LLC in EIN 46-3460261 TY2024 990-PF XML 202543219349108364 CompensationOfHghstPdCntrctGrp,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543219349108364_public.xml,"HILLSPIRE LLC</BusinessNameLine1Txt>
          </BusinessName>
          <USAddress>
            <AddressLine1Txt>555 BRYANT ST 347</AddressLine1Txt>
            <CityNm>PALO ALTO</CityNm>
            <StateAbbreviationCd>CA</StateAbbreviationCd>
            <ZIPCd>94301</ZIPCd>
          </USAddres",2026-09-16T09:38:17Z,named as highest-paid contractor of EIN 46-3460261; Palo Alto CA address on the filing; not a 990 filer in this fetch,1,,,"Cites held MDE0006 as locator only; this-lane schmidt-990pf-ty2024-20260916T093817Z.xml. Distinguish from Eric Schmidt the individual, Schmidt Sciences, LLC, and EIN 46-3460261. Family office kept separate from the foundations it serves. CA SOS file number not recovered (Incapsula, Task E). CNBC names Hillspire as investing in Anthropic (Task B); that press row is not this contractor block."
