# fetch_window: 2026-09-16T09:53:47Z UTC (live GETs; Wayback id_ and r.jina.ai attempted as noted per row) routes_used: metr.org/about,/donate,/,/blog,/blog/2026-08-14-funding-update/; longview.org home,/about/,/artificial-intelligence/,/grants/ (404),/grantmaking/,/organisational-structure/,/fund/frontier-ai-fund/,/fund/emerging-challenges-fund/,/fund/emerging-challenges-fund-december-2023-grants-report/, ?s=METR, sitemaps, wp-json grant CPT slug=arc-evaluations and search=METR; GWWC /charities/arc-evals, /charities/metr (404), Aug 2023 longtermism grants report, /charities/longview-philanthropy; live effektiv-spenden.org safeguarding-the-future, H1/2023 blog, impressum, transparenz + Jahresabschluss 2022-2024 PDFs; Wayback id_ ES captures; SFF survivalandflourishing.fund/recommendations; ProPublica API EIN 93-2664730, 99-1219864, 86-3605182, 93-3629215; GivingTuesday S3 XML Longview USA 202503179349304265, METR 202523209349300367, ARC 202403209349312630 and 202513219349323246, GWWC USA 202431219349300708 and 202533179349308523; Companies House 14444004 overview/filing-history + AA 31 Dec 2024 PDF; Charity Commission register search + API; IRS TEOS 403; IRS epostcard index_2024/2025/2026.csv; SEC EFTS; CourtListener; USAspending; Google Drive ECF annual-report view/uc; no_kevinnbass_sources caps_hit: r.jina.ai HTTP 403; IRS TEOS HTTP 403; Charity Commission API 401; IRS AWS index_YYYY.csv HTTP 404; IRS eo_de.csv/zip HTTP 404; longview.org/grants/ HTTP 404; Google Drive uc export HTML Can't download file; CH FY2024 AA PDF scanned (no text layer); Wayback CDX HTTP 503/504 on several ES URLs (direct id_ still 200); Bundesanzeiger GET failed (curl URL brackets); USAspending JS shell; index_2026.csv 0 hits for Longview/METR/ARC EINs no_kevinnbass_sources=true public_read_only=true (no email/message/telephone/file/submit/post); money types not summed; legal filer kept distinct from fund brand
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
X3,A,MDE,C02.E5;C06.E1,Emerging Challenges Fund (public fund managed by Longview Philanthropy; donations handled by Giving What We Can),project,ECF; Longtermism Fund; public fund,https://www.longview.org/fund/emerging-challenges-fund/,Emerging Challenges Fund (public fund managed by Longview Philanthropy),Giving What We Can,grantees selected by Longview recommendations,pooled public fund,,,,,,,,,,disbursed based on Longview recommendations (aggregate; METR not amounted on this page),,,,,,,,,,,,,issuer statements,GET https://www.longview.org/emerging-challenges-fund/ (redirects to /fund/emerging-challenges-fund/),https://www.longview.org/fund/emerging-challenges-fund/,"The Emerging Challenges Fund is managed by Longview Philanthropy, with support from Giving What We Can. Donations to the Emerging Challenges Fund through Giving What We Can’s website are donations to Giving What We Can. All funds are disbursed based on recommendations by Longview Philanthropy.</p>
 ",2026-09-16T09:53:47Z,ECF identified as the public fund; live page does not amount a METR grant,1,"August 2023 Grants Report (GWWC-hosted, linked from this page) and ECF 2025 Annual Report PDF","Live ECF page lists featured later grants, not a METR amount.",Grantmaking page plus ECF page. GWWC receives website donations and Longview recommends disbursements. Saved longview-emerging-challenges-20260916T095347Z.html and longview-grantmaking-20260916T095347Z.html. [xhigh re-run row 3 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]
X11,A,MDP,C02.E5;C06.E1,Longview WP grant CPT object 1577 (slug arc-evaluations) names METR without an amount,grantmaker,,wp_post_id=1577; slug=arc-evaluations,Longview Philanthropy (brand grant CPT),,Model Evaluation & Threat Research,grant catalog object without a public amount field,,,,,,,2023-09-25,day,,undisclosed on public REST payload,,,,,,,,,,,,,issuer statements,GET https://www.longview.org/wp-json/wp/v2/grant?slug=arc-evaluations,https://www.longview.org/wp-json/wp/v2/grant?slug=arc-evaluations,"""slug"":""arc-evaluations"",""status"":""publish"",""type"":""grant"",""link"":""https:\/\/www.longview.org\/?grant=arc-evaluations"",""title"":{""rendered"":""Model Evaluation &#038; Threat Research""},""featured_media"":278,""template"":"""",""class_list"":[""post-1577"",""grant"",""type-grant"",""status-publish"",""has-post-thumbnail",2026-09-16T09:53:47Z,Longview own grant CPT titles Model Evaluation & Threat Research dated 2023-09-25; public JSON has no amount field,1,"August 2023 Grants Report for the $220,000 figure (this catalog object does not amount it)",Keyword search=METR on /wp-json/wp/v2/grant returns []. Catalog dump / slug lookup finds id 1577. Public REST does not expose an ACF amount.,Saved longview-wp-json-grant-slug-arc-evaluations-20260916T095347Z.json. Amount undisclosed here; do not invent one from the GWWC report onto this JSON. [xhigh re-run row 11 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]
X14,B,MDS,C06.E1,Longview USA Inc TY2024 Form 990 Schedule I — no METR/ARC line,foundation,,EIN 93-2664730; object 202503179349304265,Longview Philanthropy USA Inc,,five domestic 501(c)(3) grantees (none METR/ARC),filed domestic grants,,,,,,USD,2024,year,TY2024 2024-01-01 to 2024-12-31,filed; METR not among recipients,,,,,,,,,,,,yes (Schedule I Part II; METR absent),funder filings,GET GivingTuesday S3 XML 202503179349304265_public.xml ; IRS990ScheduleI RecipientTable,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503179349304265_public.xml,"<BusinessNameLine1Txt>PLAYERS PHILANTHROPY FUND</BusinessNameLine1Txt>
        </RecipientBusinessName>
        <USAddress>
          <AddressLine1Txt>1122 KENILWORTH DR STE 201</AddressLine1Txt>
          <CityNm>TOWSON</CityNm>
          <StateAbbreviationCd>MD</StateAbbreviationCd>
          <ZIP",2026-09-16T09:53:47Z,none found in Longview Philanthropy USA Inc TY2024 Form 990 Schedule I as of 2026-09-16T09:53:47Z,0,TY2025 Form 990 when filed,First US 990 year is 2024 (ruling Feb 2024). Public e-file Schedule B names are restricted. Foreign grants are on Schedule F without org names.,"Years/filings checked: US TY2024 Form 990. Five domestic grantees: Players Philanthropy Fund, Rethink Priorities, AI Objectives Institute, Pacific Forum International, Horizon Institute. Cash amounts on those lines are not summed into a METR figure. Saved gt-xml-longview-usa-2024-20260916T095347Z.xml. Legal filer is USA Inc, not the brand. [xhigh re-run row 14 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]"
X15,B,MDS,C06.E1,"Longview USA Inc TY2024 Schedule F foreign grants — unnamed Europe orgs, no METR",foundation,,EIN 93-2664730,Longview Philanthropy USA Inc,,three unnamed organizations in Europe (Including Iceland & Greenland),filed foreign grants (org names omitted on Schedule F),,,,,,USD,2024,year,TY2024,filed; METR not named,,,,,,,,,,,,,funder filings,GET same XML IRS990ScheduleF GrantsToOrgOutsideUSGrp,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503179349304265_public.xml,"<RegionTotalExpendituresAmt>892714</RegionTotalExpendituresAmt>
      </AccountActivitiesOutsideUSGrp>
      <SubtotalOfficesCnt>0</SubtotalOfficesCnt>
      <SubtotalEmployeesCnt>0</SubtotalEmployeesCnt>
      <ContinuationTotalOfficeCnt>0</ContinuationTotalOfficeCnt>
      <ContinuationTotalEmploy",2026-09-16T09:53:47Z,none found in Longview Philanthropy USA Inc TY2024 Form 990 Schedule F as of 2026-09-16T09:53:47Z for a named METR/ARC grantee,0,UK Longview Inc. Ltd accounts notes or a later 990 that names foreign grantees,"Schedule F Part II omits foreign organization legal names; three GENERAL SUPPORT cash grants 504714, 262000, 126000 are not identified as METR and are not summed. Do not convert or match 126000 to the EUR 128,000 regrant.",Blind spot: unnamed foreign grantees could in principle include a UK/EU entity; the e-file does not name METR. Saved same XML plus pp-fulltext-schedF-20260916T095347Z.html. [xhigh re-run row 15 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]
X18,B,MDS,C06.E1,"UES gGmbH Jahresabschluss 2023 — aggregate Weitergeleitete Spenden, no METR/ARC line",grantmaker,,HRB 204815 B; year ended 2023-12-31,UES – Gemeinnützige GmbH für effektives Spenden,,,German annual accounts (aggregate regranting),,,,,,EUR,2023,year,2023-01-01 to 2023-12-31,,,,,,,,,,,,,,funder filings,GET https://effektiv-spenden.org/wp-content/uploads/2024/07/Jahresabschluss-UES-–-Gemeinnuetzige-GmbH-fuer-effektives-Spenden-2023.pdf ; pdftotext; search METR|ARC|128.000,https://effektiv-spenden.org/wp-content/uploads/2024/07/Jahresabschluss-UES-%E2%80%93-Gemeinnuetzige-GmbH-fuer-effektives-Spenden-2023.pdf,"Weitergeleitete Spenden                         -11.765.151,77                    -12.056.623,58
       b) Aufwendungen für bezogene Leistungen                -14.056,88                      -123.332,51
                                                                           -11.779.208,65   -12.1",2026-09-16T09:53:47Z,none found in UES gGmbH Jahresabschluss zum 31. Dezember 2023 as of 2026-09-16T09:53:47Z for a named METR/ARC grant line,0,"a UES grant schedule or agreement naming METR/ARC Evals and EUR 128,000","Accounts report aggregate Weitergeleitete Spenden -11.765.151,77 EUR (prior year -12.056.623,58). No grantee names. Do not treat the aggregate as the 128.000 EUR METR regrant.",Live transparenz PDF recovered this fetch (prior wave live site 403). PDF es-jahresabschluss-2023-20260916T095347Z.pdf; text extract es-jahresabschluss-2023-text-20260916T095347Z.txt used for the quote substring. 2024 accounts likewise unnamed (es-jahresabschluss-2024-20260916T095347Z.pdf). [xhigh re-run row 18 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]
X21,B,MDS,C06.E1,ARC TY2023 Form 990 — no Longview/Effektiv Spenden/GWWC named payer,recipient,,EIN 86-3605182 object 202403209349312630,,,,,,,,,,,,,,,,,,,,,,,,,,,recipient filings,GET GT XML 202403209349312630_public.xml ; search LONGVIEW|EFFEKTIV|GIVING WHAT WE CAN|220000,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml,"<ContributorNum>RESTRICTED</ContributorNum>
        <ContributorBusinessName>
          <BusinessNameLine1>RESTRICTED</BusinessNameLine1>
        </ContributorBusinessName>
        <ContributorUSAddress>
          <AddressLine1>RESTRICTED</AddressLine1>
          <AddressLine2>RESTRICTED</AddressLin",2026-09-16T09:53:47Z,"none found in Alignment Research Center TY2023 Form 990 XML object 202403209349312630 as of 2026-09-16T09:53:47Z for a named Longview, Effektiv Spenden, or GWWC payer",0,unredacted Schedule B; GWWC/Longview grant schedule naming ARC,"Schedule B ContributorNum=RESTRICTED. No Schedule I cash grants. 2023 recommendation recipient was ARC Evals as a project of ARC, not METR Inc.",Saved gt-xml-arc-ty2023-20260916T095347Z.xml. Do not merge ARC and METR. A restricted Schedule B is not a named Longview line. [xhigh re-run row 21 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]
X22,B,MDS,C06.E1,GWWC USA Inc TY2023 Form 990 — no METR/ARC grant line (initial return),grantmaker,,EIN 93-3629215 object 202431219349300708,Giving What We Can USA Inc,,,,,,,,,,,,,,,,,,,,,,,,,,funder filings,GET GT XML 202431219349300708_public.xml ; IRS990ScheduleI / METR|ARC|991219864|863605182,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202431219349300708_public.xml,"<TaxPeriodBeginDt>2023-01-01</TaxPeriodBeginDt>
    <Filer>
      <EIN>933629215</EIN>
      <BusinessName>
        <BusinessNameLine1Txt>GIVING WHAT WE CAN USA INC</BusinessNameLine1Txt>
      </BusinessName>
      <BusinessNameControlTxt>GIVI</BusinessNameControlTxt>
      <PhoneNum>9499904992</Ph",2026-09-16T09:53:47Z,none found in Giving What We Can USA Inc TY2023 Form 990 XML object 202431219349300708 as of 2026-09-16T09:53:47Z for a METR or ARC grant line,0,"GWWC USA TY2024 Schedule I (fetched; Longview USA line, not METR) or a later return","InitialReturnInd=X; ruling_date 2023-10-01. No IRS990ScheduleI in this XML. $220,000 Aug 2023 recommendation is not a GWWC USA TY2023 filed grant to METR/ARC on this return.","GWWC USA Inc is the ECF website donation processor's US legal filer, distinct from Longview USA Inc and from METR. Saved gt-xml-gwwc-usa-ty2023-20260916T095347Z.xml and pp-gwwc-usa-api-20260916T095347Z.json. [xhigh re-run row 22 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]"
X23,B,MDS,C06.E1,"GWWC USA Inc TY2024 Schedule I — Longview USA $843,128 present; METR/ARC absent",grantmaker,,EIN 93-3629215 object 202533179349308523,Giving What We Can USA Inc,,Longview Philanthropy USA Inc (not METR),,,,,,,,,,,,,,,,,,,,,,,,funder filings,GET GT XML 202533179349308523_public.xml ; RecipientTable filter METR|991219864|ALIGNMENT RESEARCH|863605182,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533179349308523_public.xml,"<BusinessNameLine1Txt>LONGVIEW PHILANTHROPY USA INC</BusinessNameLine1Txt>
        </RecipientBusinessName>
        <USAddress>
          <AddressLine1Txt>2093 PHILADELPHIA PIKE STE 7230</AddressLine1Txt>
          <CityNm>CLAYMONT</CityNm>
          <StateAbbreviationCd>DE</StateAbbreviationCd>
   ",2026-09-16T09:53:47Z,none found in Giving What We Can USA Inc TY2024 Form 990 Schedule I as of 2026-09-16T09:53:47Z for a METR or ARC grant line,0,a later GWWC or Longview return naming METR; unredacted Schedule B,"Same return files CashGrantAmt 843128 to LONGVIEW PHILANTHROPY USA INC EIN 93-2664730 (purpose: safeguard the long-term future / highly-effective organisations). That is GWWC→Longview, not GWWC→METR, and is not summed with the 2023 $220,000 recommendation.",Saved gt-xml-gwwc-usa-ty2024-20260916T095347Z.xml. Task D applies: this Longview USA line does not make GWWC donors METR donors. [xhigh re-run row 23 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]
X24,B,MDE,C02.E5;C06.E1,ProPublica Nonprofit Explorer API locator for Longview USA Inc,,,EIN 93-2664730,,,,,,,,,,,,,,,,,,,,,,,,,,,IRS TEOS and e-file index,GET https://projects.propublica.org/nonprofits/api/v2/organizations/932664730.json,https://projects.propublica.org/nonprofits/api/v2/organizations/932664730.json,"""ein"":932664730,""name"":""Longview Philanthropy Usa Inc"",""careofname"":""% ANDREW PLAYER"",""address"":""2093 PHILADELPHIA PIKE 7230"",""city"":""Claymont"",""state"":""DE"",""zipcode"":""19703-2424"",""exemption_number"":0,""subsection_code"":3,""affiliation_code"":3,""classification_codes"":""1200"",""ruling_date"":""2024-02-01"",""",2026-09-16T09:53:47Z,locator hit: latest_object_id 202503179349304265 TY2024,1,IRS TEOS XML batch (GivingTuesday copy already fetched),API is a locator; XML is the primary. IRS TEOS HTML 403; AWS index_YYYY.csv 404 this fetch.,Saved pp-longview-usa-api-20260916T095347Z.json. Secondary database used only to locate the primary XML. IRS index_2025.csv also lists object 202503179349304265 (irs-index-2025-hits-20260916T095347Z.csv). [xhigh re-run row 24 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]
X34,D,MDR,C02.E5;C06.E1,"GWWC USA TY2024 $843,128 to Longview USA is not a METR gift",grantmaker,,EIN 93-3629215 → EIN 93-2664730; CashGrantAmt 843128,Giving What We Can USA Inc,,Longview Philanthropy USA Inc,filed grant to the Longview US filer (not to METR),,,,filed_grant,843128,USD,2024,year,TY2024,,SAFEGUARD THE LONG-TERM FUTURE BY PROVIDING FUNDING TO HIGHLY-EFFECTIVE ORGANISATIONS THAT SEEK TO REDUCE EXISTENTIAL AND CATASTROPHIC RISKS,,,,,,,,,,adjacency only versus METR unless a tying document names METR as the onward recipient of this money,"yes, to Longview USA Inc; not to METR",funder filings,GET GT XML 202533179349308523 RecipientTable LONGVIEW PHILANTHROPY USA INC,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533179349308523_public.xml,"SAFEGUARD THE LONG-TERM FUTURE BY PROVIDING FUNDING TO HIGHLY-EFFECTIVE ORGANISATIONS THAT SEEK TO REDUCE EXISTENTIAL AND CATASTROPHIC RISKS, SUCH AS THOSE COMING FROM MISALIGNED ARTIFICIAL INTELLIGENCE, PANDEMICS, AND NUCLEAR WAR</PurposeOfGrantTxt>
      </RecipientTable>
      <RecipientTable>
  ",2026-09-16T09:53:47Z,"GWWC USA filed $843,128 to Longview USA Inc in TY2024; Longview USA Schedule I the same year has no METR line",1,"a Longview USA grant-schedule line or METR receipt tying this $843,128 onward to METR","Do not treat a GWWC→Longview filed_grant as a METR donor fact. Do not sum with the 2023 $220,000 recommendation.","Saved gt-xml-gwwc-usa-ty2024-20260916T095347Z.xml. Keep GWWC USA Inc, Longview USA Inc, ECF donors, and METR unmerged. [xhigh re-run row 34 of research/grok-out/MD10-longview-pooled-regrants.csv; no medium counterpart]"
