# fetch_window_utc=2026-09-16T08:57:10Z/2026-09-16T09:06:36Z
# routes_used=UK FOIA 2000 s.10 legislation.gov.uk + GOV.UK FOI how-to + DSIT org/publication-scheme + DSIT FOI-releases search; US FOIA 5 U.S.C. § 552 GovInfo + FOIA.gov how-to + NIST FOIA; Commission Regulation (EC) No 1049/2001 via r.jina.ai of EUR-Lex (live HTML HTTP 202) + EASE + Commission how-to; publication re-checks GET TED 864574-2025 XML/HTML/PDF, Contracts Finder notice 4113c27b JSON/HTML, AISI /grants, NIST members/join/sample-CRADA/CAISI March PDF/OpenMined news, metr.org/about, AskTheEU 4500137790; research/STATE.md and MD19–MD21 CSVs locators only
# caps_hit=EUR-Lex HTML/TXT/PDF HTTP 202 empty x-amzn-waf-action=challenge (regulation recovered via r.jina.ai); WhatDoTheyKnow GET 403 and jina CAPTCHA; commerce.gov/foia HTTP 403; Commission documents-register search is a JS shell (identical bytes to home); EASE portal JS shell title-only; Wayback CDX 503; commission how-to jina HTTP 422; FTS 2025 full CSV not re-downloaded (TED XML used for the share/contract-text publication check)
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; MD19/MD20/MD21 landed CSVs used only as locators for unpublished contract-amount-or-terms elements (UK METR–DSIT/AISI instrument if any; US NIST/CAISI CRADA/DTA; Commission signed contract 4500137790 and METR share) and were not copied as this lane's discovery; nothing emailed, filed, submitted, posted or telephoned; research/records/REQUESTS.jsonl not written; approved_for_send false on every draft
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDP,C06.E3,UK unpublished METR–DSIT/AISI contract or Challenge Fund GFA naming METR: holding authority and FOIA 2000 s.10 clock,grantmaker,DSIT; AI Security Institute; AISI,FOIA 2000 s.10,"Department for Science, Innovation and Technology",,"Model Evaluation and Threat Research, Inc.",public-record route (unsent),,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET https://www.legislation.gov.uk/ukpga/2000/36/section/10,https://www.legislation.gov.uk/ukpga/2000/36/section/10,a public authority must comply with section 1(1) promptly and in any event not later than the twentieth working day following the date of receipt,2026-09-16T08:57:21Z,Holding authority is DSIT (AISI delivers the Challenge Fund on behalf of DSIT). Statutory route is FOIA 2000. Response clock is s.10 twentieth working day. No request sent.,1,https://www.gov.uk/make-a-freedom-of-information-request/how-to-make-an-foi-request,s.10 is the time-for-compliance rule; it does not itself publish the unpublished contract. AISI is not treated as a separate legal public authority from DSIT on the pages checked.,primary=ukpga-2000-36-s10-20260916T085721Z.html sha256=b79c8b2616ea80765c0e7149e14e46716076c116ecd6064a3c48fdcddffaf2e9. Quote is the s.10(1) clock from the official HTML. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A02,A,MDP,C06.E3,GOV.UK FOI how-to restates the 20 working-day response clock for the UK route,,,GOV.UK how to make an FOI request,,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET https://www.gov.uk/make-a-freedom-of-information-request/how-to-make-an-foi-request,https://www.gov.uk/make-a-freedom-of-information-request/how-to-make-an-foi-request,The organisation should send you the information within 20 working days of receiving your request.,2026-09-16T08:57:12Z,"How-to page states 20 working days. Method is writing (letter, email, social media, online form). No request sent.",1,,How-to language is guidance; the statute is s.10 (A01). Some schools get extra time; DSIT is not a school.,primary=govuk-foi-how-to-make-20260916T085712Z.html sha256=c928a23166f39c58d9da50db83ab527c7fa6742861daeb06b6ff561441baf654. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A03,A,MDE,C06.E3,"Holding public authority for the UK unpublished-contract element: Department for Science, Innovation and Technology",grantmaker,DSIT,department-for-science-innovation-and-technology,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.gov.uk/government/organisations/department-for-science-innovation-and-technology,https://www.gov.uk/government/organisations/department-for-science-innovation-and-technology,22-26 Whitehall<br/>London<br/>SW1A 2EG,2026-09-16T08:57:29Z,DSIT organisation page names the department and publishes the Whitehall address. FOI request block with an email address was not in this static HTML; publication scheme points to the GOV.UK FOI how-to (A04).,1,,Static HTML of this fetch does not print an FOI mailbox. Do not use aisichallengefund@dsit.gov.uk from the procurement notice.,"primary=dsit-org-20260916T085729Z.html sha256=a12cc24d96f63a3bc4a712d5733fc3f46fac5a21107db45f8f7c1076157e5861. Title also contains 'Department for Science, Innovation and Technology - GOV.UK'. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A04,A,MDP,C06.E3,"DSIT publication scheme: FOI Team contact is the GOV.UK FOI how-to, not a published instrument",,,DSIT publication scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET https://www.gov.uk/government/organisations/department-for-science-innovation-and-technology/about/publication-scheme,https://www.gov.uk/government/organisations/department-for-science-innovation-and-technology/about/publication-scheme,"If you can’t find what you want through this scheme, you may wish to <a href=""https://www.gov.uk/make-a-freedom-of-information-request"" class=""govuk-link"">make a request under the <abbr title=""Freedom of Information"">FOI</abbr> Act</a> .",2026-09-16T08:57:33Z,DSIT directs requesters who cannot find the record in the scheme to make a request under the FOI Act. Scheme does not publish the METR contract/GFA.,1,,,primary=dsit-publication-scheme-20260916T085733Z.html sha256=9d1fba997344f8097e5260dc6975e8b5aae15019680a0dc1c9e3f3fc36b8c9cf. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A05,A,MDP,C06.E3,US unpublished METR CRADA/DTA: 5 U.S.C. § 552(a)(6) twenty-working-day clock,grantmaker,NIST; CAISI; Department of Commerce,5 U.S.C. § 552(a)(6)(A)(i),National Institute of Standards and Technology,,"Model Evaluation and Threat Research, Inc.",public-record route (unsent),,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partI-chap5-subchapII-sec552.htm,https://www.govinfo.gov/content/pkg/USCODE-2023-title5/html/USCODE-2023-title5-partI-chap5-subchapII-sec552.htm,"determine within 20 days (excepting Saturdays, Sundays, and legal public holidays) after the receipt of any such request whether to comply with such request",2026-09-16T08:58:26Z,"Statutory US FOIA clock is 20 days excepting Saturdays, Sundays, and legal public holidays. No request sent.",1,https://www.nist.gov/foia,GovInfo 2023 title 5 HTML. House prelim and DOJ OIP pages were also fetched; this row quotes GovInfo.,primary=uscode-5-552-govinfo-2023-20260916T085826Z.html sha256=8f49ae74e3f35df541b2f42369dc427beb675d4f8000a1e0c0da7ca17c619173. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
A06,A,MDE,C06.E3,Holding authority and NIST FOIA how-to for the unpublished METR CRADA/DTA,grantmaker,NIST FOIA Office,nist.gov/foia,National Institute of Standards and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET https://www.nist.gov/foia,https://www.nist.gov/foia,"Under FOIA, agencies have 20 working days to answer a request.",2026-09-16T08:58:47Z,"NIST FOIA page names the FOIA Office, writing/e-mail method, and 20 working days. No request sent. DoC commerce.gov/foia returned HTTP 403 this fetch (cap).",1,,DoC parent FOIA page HTTP 403; NIST page is the agency how-to used. foia[at]nist[dot]gov is obfuscated on the page (spamspan); this lane does not email it.,"primary=nist-foia-20260916T085847Z.html sha256=09722a048f033f598846456389264c456433c87f457cbaa50bf14253385bf045. Also contains 'To make a request to NIST, submit your request in'. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A07,A,MDP,C06.E3,Commission unpublished LOT-0003 signed contract 4500137790: Regulation (EC) No 1049/2001 Art. 7 fifteen working days,grantmaker,European Commission; DG CNECT; AI Office,32001R1049 Art. 7; 4500137790,"European Commission, DG CNECT",,"EquiStamp Inc.-led consortium including Model Evaluation and Threat Research, Inc.",public-record route (unsent),,,,contract,,EUR,,,,,,,,,1167484 EUR lot/consortium payable amount on TED; METR share not disclosed,,,,,,,,statutory records requests,GET https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32001R1049 (live HTML HTTP 202 WAF; body via r.jina.ai),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32001R1049,"Within 15 working days from registration of the application, the institution shall either grant access to the document requested and provide access in accordance with Article 10 within that period or, in a written reply, state the reasons for the total or partial refusal",2026-09-16T09:01:22Z,Art. 7 initial-application clock is 15 working days from registration. Live EUR-Lex HTML/PDF returned HTTP 202 empty WAF; regulation text recovered via r.jina.ai of the same URL. No EASE filing.,1,https://www.ec.europa.eu/transparency/documents-request,"Quote is from the jina rendering of the official EUR-Lex URL, not from memory. Live EUR-Lex GET this window was HTTP 202 x-amzn-waf-action=challenge.","primary=eurlex-1049-jina-https-20260916T090122Z.txt sha256=6086a8bcddd80b905b7b06f9236578b8052fd728c587ce2bfa7023c406ade4cf. Proxy r.jina.ai of the live EUR-Lex URL because the origin returned HTTP 202 empty. Amount is EUR not USD and is the lot total, not METR's share, not summed. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
A08,A,MDP,C06.E3,Commission EASE portal is the named access-to-documents route (unsent),,,EASE,,,,,,,,,,,,,,,,,,,,,,,,,,,statutory records requests,GET https://www.ec.europa.eu/transparency/documents-request,https://www.ec.europa.eu/transparency/documents-request,Electronic Access to Commission Documents (EASE),2026-09-16T08:59:55Z,EASE portal title present; page is a JS shell (2000 bytes). How-to page names Request a Commission document. No account created and no application filed.,1,,Static EASE HTML is a shell; filing UI was not driven.,primary=ease-portal-www-20260916T085955Z.html sha256=9e962e19e8032b3d0cfd60b1df83a4975b5bcf33476b50135ae7c7779a54decc. How-to sibling commission-how-access-documents-20260916T085951Z.html contains 'Request a Commission document'. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
B01,B,MDF,C06.E3,TED 864574-2025 LOT-0003 re-check: award notice still published; signed contract 4500137790 and METR share still unpublished,,"METR; Model Evaluation and Threat Research, Inc.",864574-2025; LOT-0003; 4500137790; EC-CNECT/2025/OP/0032,"European Commission, DG CNECT",,"EquiStamp Inc. (group leader); Model Evaluation and Threat Research, Inc.; Epoch Artificial Intelligence, Inc.",contract,,,,contract,,EUR,2025-12-15,day,,,,,,,1167484 EUR lot payable amount; METR share not disclosed,,,,,,,award notice only; signed contract text unpublished,procurement records,"GET https://ted.europa.eu/en/notice/864574-2025/xml ; filter LOT-0003 PayableAmount, 4500137790, METR party name, share/percentage",https://ted.europa.eu/en/notice/864574-2025/xml,"<cbc:PayableAmount currencyID=""EUR"">1167484</cbc:PayableAmount>",2026-09-16T09:00:07Z,Notice still published. PayableAmount 1167484 EUR is the lot/consortium total. METR is named as a tenderer. Signed contract text is not an XML attachment. METR share is not disclosed. Document remains unpublished; draft written (C03).,1,https://www.ec.europa.eu/transparency/documents-request,"EUR figure is not converted to USD and is not METR's share. Not summed with other lots (1434080, 1700000, 881345, 1221587.5, 968521 also appear as other-lot amounts on the same notice).","primary=ted-864574-2025-xml-20260916T090007Z.xml sha256=373117f2140008fce88d4e341d4f4983643510d618ca6972a99ab730985f1b48 bytes=90547. Also contains <cbc:Name languageID=""ENG"">Model Evaluation and Threat Research, Inc.</cbc:Name> and <cbc:ID>4500137790</cbc:ID>. MD20 locator was not copied as discovery; this is a live re-fetch. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing."
B02,B,MDP,C06.E3,Contracts Finder notice 4113c27b re-check: AISI Challenge Fund still has empty awards[] and no METR-named GFA,,,4113c27b-11c1-4489-a7ac-c87a57b216e6; tender_480962,DSIT / AI Security Institute,,,,,,,,,,,,,,,,,,,,,,,,,,procurement records,"GET https://www.contractsfinder.service.gov.uk/api/rest/2/get_published_notice/json/4113c27b-11c1-4489-a7ac-c87a57b216e6 ; fields awards, title, additionalDetails Grant Funding Agreement",https://www.contractsfinder.service.gov.uk/api/rest/2/get_published_notice/json/4113c27b-11c1-4489-a7ac-c87a57b216e6,"""awards"": []",2026-09-16T08:58:11Z,Notice still published as AISI Challenge Fund Grant. awards is an empty array. JSON has no METR / Model Evaluation string. Individual Grant Funding Agreements remain unpublished. Draft written (C01).,0,,Empty awards[] is not proof no grant was ever made; it is proof this notice still does not publish the GFA or a METR supplier line. Challenge Fund mailbox on the notice must not be emailed.,primary=cf-notice-4113c27b-json-20260916T085811Z.json sha256=9071026675366b34026663c0abd0ec2764fd86eb673fab70868e7e69da98908c. Title 'AISI Challenge Fund Grant'. HTML sibling cf-notice-4113c27b-html-20260916T085809Z.html. research/STATE.md and MD19–MD21 CSVs were locators only and were not copied as this lane's discovery. no_kevinnbass_sources. This lane sent nothing.
