# fetch_window: 2026-09-16T09:49:22Z UTC (live GETs of SFF round pages, jaan.online donations.csv, IRS e-file XML via GivingTuesday lake, complete IRS index_2024/2025/2026.csv, Anthropic/Semafor/Postimees HTML, ProPublica API v2, SEC EFTS, CourtListener, CA OAG, USAspending, GuideStar)
# routes_used: SFF live round pages 2019–2025, /recommendations, /matching-pledges, /contact, /2026/recommendations (404); SFC survivalandflourishing.com; jaan.online/philanthropy/ and donations.csv; METR about; Anthropic Series A and /company; Founders Pledge and SVCF and FLI IRS e-file XML; METR FY2024 990 XML; complete IRS index_2024.csv (91056866 bytes / 728720 lines), index_2025.csv (93053080 bytes / 748907 lines, METR EIN present), index_2026.csv (47506032 bytes / 385891 lines); ProPublica Nonprofit Explorer API v2; SEC EFTS; CourtListener REST v4; USAspending GET; CA OAG RCT/EVOKE/May-Not-Operate CSV; GuideStar search; Semafor 2023-04-28; Postimees 2026-02-22
# caps_hit: USAspending spending_by_award GET HTTP 405; CA OAG RCT Search.aspx HTTP 404; lab.candid.org DNS fail; www.candid.org DNS fail; Wayback CDX HTTP 504; ProPublica q=Survival and Flourishing total_results=0; IRS TEOS UI HTTP 403; IRS index_2026.csv 0 hits for FP/SVCF/METR EINs (complete file); SFF-2026 HTTP 404; Schedule B identities RESTRICTED; DAF Schedule I has no adviser field; jaan.online ledger incomplete and ends 2025-03-31 in this fetch; X/Twitter not used
# no_kevinnbass_sources=true
# money_types_not_summed=true; recommendations, ledger paid_grant, and filed_grant kept distinct; matching pledges and speculation annotations not collapsed into one unconditional amount; investment/observer facts are not grant evidence
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
X18,A,MDS,C02.E2;C02.E5,METR / ARC / ARC Evals recommendation on unpublished SFF-2026 round page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://survivalandflourishing.fund/2026/recommendations,https://survivalandflourishing.fund/2026/recommendations,none found in SFF-2026 recommendations page (HTTP 404 Not Found) as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in SFF-2026 recommendations page (HTTP 404 Not Found) as of 2026-09-16T09:49:22Z,0,,Page title is Not Found. An unpublished SFF-2026 round is out of scope except as this bounded negative.,"Live fetch sff-2026-recommendations.html-20260916T094922Z HTTP 404. Quote in primary: '<title>Not Found</title>\n<meta content=""'. [xhigh re-run row 18 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]"
X39,C,MDS,C02.E2;C02.E5,"FLI Form 990 payment of the unpaid remainder of SFF-2023-H1 ARC Evals $3,247,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funder filings,GET IRS e-file XML 202521139349301937 (FLI EIN 471052538 TY2023) RecipientEIN 863605182 or 991219864 or name Alignment Research / METR / Evals,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202521139349301937_public.xml,none found in Future of Life Institute TY2023 Form 990 XML 202521139349301937 for Alignment Research Center / METR / EIN 863605182 or 991219864 as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in Future of Life Institute TY2023 Form 990 XML 202521139349301937 for Alignment Research Center / METR / EIN 863605182 or 991219864 as of 2026-09-16T09:49:22Z,0,FLI TY2022 XML 202510309349301606 also fetched; likewise 0 ARC/METR RecipientEIN rows,"SFF-2023-H1 named FLI as a co-funder. FLI TY2023 Schedule I has 4 recipients, none ARC/METR. Blind spot: unpublished grant letters.","Live fetch fli-990-ty2023-202521139349301937.xml-20260916T094922Z TaxYr 2023. Filer FUTURE OF LIFE INSTITUTE</BusinessNameLine1Txt>
      </Busi. Legal payer class for the $1,846,000 piece is regrantor Founders Pledge Inc. The $1,401,000 gap is a bounded none-found in the FLI XML, FP XML, and Tallinn ledger, not an assertion that FLI paid it. [xhigh re-run row 39 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]"
X51,E,MDS,C02.E2;C02.E5,California May Not Operate CSV row for METR as an SFF grant recipient filing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://oag.ca.gov/sites/all/files/agweb/pdfs/charities/reports/charities-may-not-operate.csv filter FEIN=991219864,https://oag.ca.gov/sites/all/files/agweb/pdfs/charities/reports/charities-may-not-operate.csv,none found in California Attorney General May Not Operate or Solicit CSV for FEIN 991219864 or MODEL EVALUATION as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in California Attorney General May Not Operate or Solicit CSV for FEIN 991219864 or MODEL EVALUATION as of 2026-09-16T09:49:22Z,0,,"The public download is the May Not Operate list, not a full registrant dump. Absence is not a finding that METR is unregistered.","Live ca-oag-may-not-operate.csv-20260916T094922Z header 'Entity Status,Registration Status,Registration Number,FEIN,SOS Entity Number,FTB'. 0 hits for 991219864. [xhigh re-run row 51 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]"
X52,E,MDS,C02.E2;C02.E5,California Registry Search Tool (EVOKE) record of an SFF-named grant to METR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://ca-rcf.evokeplatform.com/app/publicPortal/verification,https://ca-rcf.evokeplatform.com/app/publicPortal/verification,none found in CA Registry Search Tool machine-readable GET (ca-rcf.evokeplatform.com EVOKE SPA shell) as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in CA Registry Search Tool machine-readable GET (ca-rcf.evokeplatform.com EVOKE SPA shell) as of 2026-09-16T09:49:22Z,0,,"Blind spot: 2026 EVOKE portal is a JavaScript SPA (shell HTML only). GET returned the app shell, not an EIN record.","Live ca-evoke-portal.html-20260916T094922Z '<title>EVOKE</title><link rel=""icon"" hre'. [xhigh re-run row 52 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]"
X54,E,MDS,C02.E2;C02.E5,GuideStar search results naming an SFF or Tallinn grant to METR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public grant databases,GET https://www.guidestar.org/search?q=METR,https://www.guidestar.org/search?q=METR,none found in GuideStar/Candid search page q=METR for an SFF or Tallinn grant to METR as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in GuideStar/Candid search page q=METR for an SFF or Tallinn grant to METR as of 2026-09-16T09:49:22Z,0,,Page is a JS search shell (title Find nonprofits | GuideStar | Candid). No Model Evaluation / Tallinn / Survival and Flourishing grant row in the saved HTML.,Live guidestar-search-metr.html-20260916T094922Z 'Find nonprofits | GuideStar | Candid</title>\n\n  <l'. Locator only; not a primary filing. [xhigh re-run row 54 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]
X55,E,MDS,C02.E2;C02.E5,Wayback/archive capture used as a substitute for a live SFF round page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,archives,Live GET survivalandflourishing.fund round pages 2019–2025; Wayback CDX as archive class,"https://web.archive.org/cdx/search/cdx?url=survivalandflourishing.fund/recommendations&output=json&fl=timestamp,statuscode,mimetype,length&filter=statuscode:200&limit=20",none found in Wayback CDX for survivalandflourishing.fund/recommendations (HTTP 504); live SFF round pages returned HTTP 200 as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in Wayback CDX for survivalandflourishing.fund/recommendations (HTTP 504); live SFF round pages returned HTTP 200 as of 2026-09-16T09:49:22Z,0,,Archives were not needed for live 200 pages; CDX itself returned 504 so deleted older wording was not independently searched.,Live pages used. CDX primary wayback-cdx-sff-recommendations.json-20260916T094922Z '504 Gateway Time-out</title></head>\n<bod'. This MDS records that the archive class was not a positive source in this fetch. [xhigh re-run row 55 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]
X58,E,MDS,C02.E2;C02.E5,"IRS TEOS web app search for SFF, Tallinn, METR, or ARC as a named grant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRS TEOS and e-file index,GET https://apps.irs.gov/app/eos/,https://apps.irs.gov/app/eos/,none found in IRS TEOS interactive app apps.irs.gov/app/eos (HTTP 403 Access Denied) as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in IRS TEOS interactive app apps.irs.gov/app/eos (HTTP 403 Access Denied) as of 2026-09-16T09:49:22Z,0,,TEOS UI is blocked (Akamai 403) from this host. Bulk e-file indexes were used instead and are complete in this run.,"Live irs-teos-app.html-20260916T094922Z ""Access Denied</TITLE>\n</HEAD><BODY>\n<H1>Access Denied</H1>\n \nYou don't have perm"". Index_2025 complete download is the working TEOS-class route. [xhigh re-run row 58 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]"
X59,E,MDS,C02.E2;C02.E5,FLI TY2024 Form 990 Schedule I payment to METR or ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,funder filings,GET IRS e-file XML 202523119349303667 RecipientEIN 863605182 or 991219864,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523119349303667_public.xml,none found in Future of Life Institute TY2024 Form 990 XML 202523119349303667 for Alignment Research Center / METR as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in Future of Life Institute TY2024 Form 990 XML 202523119349303667 for Alignment Research Center / METR as of 2026-09-16T09:49:22Z,0,,TY2024 is after the 2023-H1 recommendation year. 12 Schedule I recipients; none ARC/METR.,Live fetch fli-990-latest-202523119349303667.xml-20260916T094922Z. Bounded negative; not an unbounded claim about all FLI years (TY2023 checked separately). [xhigh re-run row 59 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]
X60,E,MDS,C02.E2;C02.E5,Press article stating a Tallinn SFF/METR/ARC grant amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,press,GET Semafor 2023-04-28 and Postimees 2026-02-22; filter for SFF or METR or ARC grant amount,https://www.semafor.com/article/04/28/2023/co-founder-of-skype-invested-in-hot-ai-startups-but-thinks-he-failed,none found in Semafor 2023-04-28 interview and Postimees 2026-02-22 article for an SFF/METR/ARC grant amount as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in Semafor 2023-04-28 interview and Postimees 2026-02-22 article for an SFF/METR/ARC grant amount as of 2026-09-16T09:49:22Z,0,,"Those pages discuss Anthropic investment and board/observer statements, not SFF grant dollars. Web indexes are not complete. Blind spot: paywalled Estonian radio audio was not retrieved.",Task D records the investment/observer facts from the same URLs. Those facts are not grant evidence. This MDS is the grant-amount negative for the press class. [xhigh re-run row 60 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]
X61,E,MDS,C02.E2;C02.E5,DAF sponsor Schedule I field naming the account adviser for the SVCF METR or ARC grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAF sponsor filings,GET IRS e-file XML 202543149349305759 Schedule I RecipientTable for adviser / account / donor-advised fund name fields,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202543149349305759_public.xml,none found in SVCF TY2024 Form 990 XML 202543149349305759 Schedule I for an adviser or DAF-account principal name as of 2026-09-16T09:49:22Z,2026-09-16T09:49:22Z,none found in SVCF TY2024 Form 990 XML 202543149349305759 Schedule I for an adviser or DAF-account principal name as of 2026-09-16T09:49:22Z,0,,"Schedule I names the DAF sponsor and the recipient, not the adviser. Do not identify the adviser by amount-matching the $20,000 or $50,450 rows to the Tallinn ledger.",The filed grants themselves are recorded on Task C rows. This MDS is the adviser-identity negative for the DAF sponsor-filings class. Blind spot: DAF account statements are not public. [xhigh re-run row 61 of research/grok-out/MD09-sff-tallinn.csv; no medium counterpart]
