# fetch_window_utc=2026-09-16T09:52:36Z/2026-09-16T09:56:45Z; routes_used=IRS TEOS interactive apps.irs.gov/app/eos (HTTP 403); IRS TEOS landing (HTTP 403); IRS e-file index_2023.csv index_2024.csv index_2025.csv index_2026.csv filter EIN=863605182; IRS bulk zip https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11D.zip member 202513219349323246_public.xml (ARC FY2024 Form 990; sha256=97afc087cee8d792cc8a1e418bcf770dbfffea8c9a2c048181d4e49df1a4d3ac; sha256-identical GivingTuesday lake copy); GivingTuesday S3 EfileData XML objects 202403209349312630 (FY2023) and 202313199349329641 (FY2022) as IRS e-file mirrors located from the index; METR FY2024 XML object 202523209349300367 via GivingTuesday lake (recipient-filings Schedule I check only; RelatedOrganizationsAmt not re-collected); IRS EO BMF eo_ca.csv filter EIN=863605182; IRS standalone XML object URL (302 to irs.gov/404); AWS irs-form-990 object (404); ProPublica Nonprofit Explorer API v2 /organizations/863605182 locator only; metr.org/blog/2023-09-19-spin-out-announcement/ metr.org/blog/2023-12-04-metr-announcement/ metr.org/about metr.org/blog metr.org/; alignment.org/ alignment.org/donate alignment.org/blog/rss/ alignment.org/about (HTTP 404) alignment.org/team; Open Philanthropy grant pages via Wayback id_ 20240620191457 (live openphilanthropy.org/grants/alignment-research-center-general-support/ redirects to Coefficient Giving fund page Navigating Transformative AI); Coefficient Giving /grants (HTTP 404) /wp-json/wp/v2/grant (rest_no_route) sitemap_index.xml (no grant CPT); alignment.org/funding-from-ftx/ live GET 2026-09-16T09:52:45Z; Wayback CDX url=alignment.org/*ftx* (HTTP 503 Temporarily Offline this window); Wayback CDX exact path www.alignment.org/funding-from-ftx/ (captures from 20221117); Wayback id_ 20240613222155 and 20240907032826 of funding-from-ftx; caps_hit=IRS TEOS HTML HTTP 403 Akamai; IRS standalone XML 302 to irs.gov/404; AWS irs-form-990 404; ProPublica download-filing FY2021 PDF returned Security Check HTML (HTTP 403); live Open Philanthropy ARC grant URL redirects to coefficientgiving.org/funds/navigating-transformative-ai/; Coefficient Giving /grants HTTP 404 and wp/v2/grant rest_no_route; alignment.org/about HTTP 404; Wayback CDX wildcard *ftx* HTTP 503 this window (exact-path CDX of /funding-from-ftx/ has captures); FY2024 IRS zip 2025_TEOS_XML_11D.zip 332775121 bytes retrieved and member extracted; 2024_TEOS_XML_11A.zip not downloaded (FY2023 XML taken from GT lake copy of the indexed object); ARC FY2024 e-file binaryAttachmentCnt=0 so the Schedule I grant agreement is not in the public XML; r.jina.ai of TEOS and OpenPhil HTTP 403; no_kevinnbass_sources=true; STATE.md consulted: METR FY2024 RelatedOrganizationsAmt from ARC is already held on the recipient 990 (MD01) and is not re-collected here as a new ARC-side fact; this lane's primary is ARC Schedule I/N.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDF,C02.E3;C06.E1,ARC FY2024 Schedule I cash grant to METR (program spin-off),grantmaker,ARC; Alignment Research Center,86-3605182,Alignment Research Center,,Model Evaluation and Threat Research Inc,related tax-exempt organization; Schedule I recipient,2024-01-01,2024-12-31,transfers_regrants,transfer,4477169,USD,2024-04-30,day,ARC FY2024,filed as cash grant on Schedule I,PROGRAM SPIN-OFF (no donor-restriction text on this line),evaluations program spin-off,,,,,,,,,,yes,funder filings,unzip 2025_TEOS_XML_11D.zip member 202513219349323246_public.xml; IRS990ScheduleI RecipientTable CashGrantAmt RecipientEIN=991219864,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11D.zip,<CashGrantAmt>4477169</CashGrantAmt>,2026-09-16T09:56:43Z,Schedule I cash grant filed,1,public copy of the Schedule I grant agreement (not in this e-file),Distribution date is not a Schedule I XML field; date=2024-04-30 is taken from Schedule N DistributionDt on the same return and is recorded separately as Task A row 4 and Task B. Do not add this cash amount to the non-cash row or to the Schedule N FMV line.,"ARC EIN 86-3605182 Form 990 TaxYr=2024 TaxPeriodBeginDt=2024-01-01 TaxPeriodEndDt=2024-12-31 ReturnTs=2025-11-17T18:10:00-06:00 OBJECT_ID=202513219349323246 XML_BATCH_ID=2025_TEOS_XML_11D. Recipient MODEL EVALUATION AND THREAT RESEARCH INC EIN 99-1219864. Exact filed fields: CashGrantAmt=4477169; NonCashAssistanceAmt=76766 on a sibling row; PurposeOfGrantTxt=PROGRAM SPIN-OFF; ValuationMethodUsedDesc=BOOK; NonCashAssistanceDesc=COMPUTERS. money_type=transfer (intra-group program transfer), not a new outside grant and not the approximately $71 million commitment. METR-side RelatedOrganizationsAmt is already held in MD01 and is not re-collected here. Saved primary: irs-bulk-2025-TEOS-XML-11D-202513219349323246_public-20260916T095643Z.xml (sha256-identical GT lake copy gt990-202513219349323246-20260916T095238Z.xml)."
2,A,MDF,C02.E3;C06.E1,ARC FY2024 Schedule I non-cash assistance to METR (computers),grantmaker,ARC,86-3605182,Alignment Research Center,,Model Evaluation and Threat Research Inc,,,,,in_kind_estimate,76766,USD,2024-04-30,day,ARC FY2024,filed as non-cash assistance on Schedule I,PROGRAM SPIN-OFF (no donor-restriction text on this line),evaluations program spin-off,,computers,76766 USD book value,,,,,,,yes,funder filings,202513219349323246_public.xml IRS990ScheduleI RecipientTable NonCashAssistanceAmt NonCashAssistanceDesc ValuationMethodUsedDesc,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11D.zip,<NonCashAssistanceAmt>76766</NonCashAssistanceAmt>,2026-09-16T09:56:43Z,Schedule I non-cash assistance filed,1,,"Book value, not a separate cash payment. Do not sum with CashGrantAmt or with Schedule N FairMarketValueOfAssetAmt.","Exact filed fields: NonCashAssistanceAmt=76766; NonCashAssistanceDesc=COMPUTERS; ValuationMethodUsedDesc=BOOK. Same RecipientTable as the cash row. money_type=in_kind_estimate because the filed line is non-cash assistance at book, not cash. Date from Schedule N DistributionDt on the same return. Saved primary: irs-bulk-2025-TEOS-XML-11D-202513219349323246_public-20260916T095643Z.xml."
3,A,MDP,C02.E3;C06.E1,ARC FY2024 Schedule I exact filed purpose and monitoring text,grantmaker,,86-3605182,Alignment Research Center,,Model Evaluation and Threat Research Inc,,,,,,,,,,,,PROGRAM SPIN-OFF,evaluations program spin-off,,,,,,,,,,yes,funder filings,"IRS990ScheduleI PurposeOfGrantTxt; SupplementalInformationDetail FormAndLineReferenceDesc=PART I, LINE 2",https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11D.zip,ENTITY GRANTED TO IS THE SPIN-OFF OF ARC'S EVALUATIONS PROGRAM AND ASSOCIATED GRANTS ARE DECIDED UPON AND TRANSFERRED ACCORDING TO A GRANT AGREEMENT.,2026-09-16T09:56:43Z,purpose and Part I line 2 explanation filed,1,the grant agreement named in Schedule I Part I line 2,The grant agreement is named but not attached (ReturnHeader binaryAttachmentCnt=0).,Exact filed fields: PurposeOfGrantTxt=PROGRAM SPIN-OFF; GrantRecordsMaintainedInd=1; Total501c3OrgCnt=1; TotalOtherOrgCnt=0; RecipientEIN=991219864. This row inventories the text fields; it does not add a third dollar amount. Saved primary: irs-bulk-2025-TEOS-XML-11D-202513219349323246_public-20260916T095643Z.xml.
4,A,MDT,C02.E3;C06.E1,ARC FY2024 Schedule N distribution-date field for the program spin-off (same return as Schedule I),grantmaker,,86-3605182,Alignment Research Center,,Model Evaluation and Threat Research Inc,,,,,,,,2024-04-30,day,ARC FY2024,,PROGRAM SPIN-OFF: EVALUATIONS PROGRAM SPUN-OFF AS A SEPARATE 501(C)(3) CALLED MODEL EVALUATION AND THREAT RESEARCH,,,,,,,,,,,yes,funder filings,IRS990ScheduleN DispositionOfAssetsDetail DistributionDt,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11D.zip,<DistributionDt>2024-04-30</DistributionDt>,2026-09-16T09:56:43Z,Schedule N DistributionDt filed on the same ARC FY2024 return as Schedule I,1,,FairMarketValueOfAssetAmt=4553935 equals CashGrantAmt+NonCashAssistanceAmt on Schedule I of the same return; do not add it as a third transfer. This Task A row inventories the distribution-date field; the organisational-separation announcements are Task B and are different dates.,"Exact filed field DistributionDt=2024-04-30. Successor EIN 99-1219864; IRCSectionTxt=501(C)(3); MethodOfFMVDeterminationTxt=PROGRAM ASSETS AND LIABILITIES AS ON BOOKS ON THE DATE OF TRANSFER. Schedule R type B InvolvedAmt=4553935 is the same disposition, not a second payment. Saved primary: irs-bulk-2025-TEOS-XML-11D-202513219349323246_public-20260916T095643Z.xml."
5,A,MDS,C02.E3;C06.E1,IRS e-file index 2025 locator row for ARC FY2024 990,,,86-3605182,,,,,,,,,,,,,,,,,,,,,,,,,,,IRS TEOS and e-file index,index_2025.csv filter EIN=863605182,https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,",EFILE,863605182,202412,2025,ALIGNMENT RESEARCH CENTER,990,93493321232465,202513219349323246,2025_TEOS_XML_11D",2026-09-16T09:52:36Z,1 index row OBJECT_ID=202513219349323246 XML_BATCH_ID=2025_TEOS_XML_11D TAX_PERIOD=202412 RETURN_TYPE=990,1,,,Used to locate the IRS bulk XML primary for Task A. FILING_TYPE=EFILE; DLN=93493321232465. Index year is IRS posting year. Saved primary: irs-index-2025-EIN863605182-hits-20260916T095236Z.csv (filtered from full index_2025.csv retrieved this window).
6,B,MDT,C02.E3;C06.E1,Organisational separation announced: ARC Evals plans to spin out as a standalone organisation,recipient,ARC Evals; METR,,Alignment Research Center,,ARC Evals (name not yet chosen in this source),planned spin-out / organisational separation,,,,,,,2023-09-19,day,announcement,,,,,,,,,,,,,no,issuer statements,GET https://metr.org/blog/2023-09-19-spin-out-announcement/ ; JSON-LD datePublished; body text,https://metr.org/blog/2023-09-19-spin-out-announcement/,"ARC Evals plans to spin out from the Alignment Research Center (ARC) in the coming months, and become its own standalone organization.",2026-09-16T09:52:41Z,dated organisational-separation announcement,1,,This post announces a planned spin-out in the coming months; it is not the asset-distribution date and does not state a dollar amount.,JSON-LD datePublished=2023-09-19T08:22:42-07:00; citation_date=2023/09/19. Organisational separation event; keep distinct from Schedule N DistributionDt=2024-04-30. Saved primary: metr-blog-2023-09-19-spin-out-20260916T095241Z.html.
7,B,MDT,C02.E3;C06.E1,Organisational separation named METR: incubation wrapping up; standalone 501(c)(3) not yet formed in this post,recipient,METR; ARC Evals,,Alignment Research Center,,Model Evaluation and Threat Research Inc,name change and intended standalone nonprofit,,,,,,,2023-12-04,day,announcement,,,,,,,,,,,,,no,issuer statements,GET https://metr.org/blog/2023-12-04-metr-announcement/ ; JSON-LD datePublished,https://metr.org/blog/2023-12-04-metr-announcement/,"ARC Evals is wrapping up our incubation period at ARC, and spinning off into our own standalone nonprofit.",2026-09-16T09:52:42Z,dated name/standalone-nonprofit announcement,1,,The post says staff will transition once the METR entity has been formed; it is not an asset-distribution date and states no transfer amount.,"JSON-LD datePublished=2023-12-04T00:00:00-08:00. Body also: standalone nonprofit 501(c)(3). Still an organisational event, not the 2024-04-30 Schedule N distribution. Saved primary: metr-blog-2023-12-04-metr-announcement-20260916T095242Z.html."
8,B,MDT,C02.E3;C06.E1,Asset distribution date on ARC Form 990 Schedule N (evaluations program spun off),grantmaker,,86-3605182,Alignment Research Center,,Model Evaluation and Threat Research Inc,disposition of program assets to successor 501(c)(3),,,,,,,2024-04-30,day,ARC FY2024,,PROGRAM SPIN-OFF: EVALUATIONS PROGRAM SPUN-OFF AS A SEPARATE 501(C)(3) CALLED MODEL EVALUATION AND THREAT RESEARCH,,,,FairMarketValueOfAssetAmt=4553935 (Schedule N FMV; not an additional money flow),,,,,,,yes,funder filings,IRS990ScheduleN DispositionOfAssetsDetail DistributionDt FairMarketValueOfAssetAmt MethodOfFMVDeterminationTxt,https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11D.zip,<DistributionDt>2024-04-30</DistributionDt>,2026-09-16T09:56:43Z,Schedule N distribution dated 2024-04-30,1,,FairMarketValueOfAssetAmt=4553935 equals CashGrantAmt+NonCashAssistanceAmt on Schedule I of the same return; do not add it as a third transfer.,This is the asset-distribution event. It is not the 2023-09-19 or 2023-12-04 organisational-separation announcements. Part III line 3: DISCONTINUED THE EVALUATION PROGRAM AS IT SPUN-OFF AS A SEPARATE 501(C)(3) CALLED MODEL EVALUATION AND THREAT RESEARCH. Saved primary: irs-bulk-2025-TEOS-XML-11D-202513219349323246_public-20260916T095643Z.xml.
9,B,MDT,C02.E3;C06.E1,ARC FY2024 Part III program narrative says the spin-out completed in May (distinct from Schedule N 2024-04-30),grantmaker,,86-3605182,Alignment Research Center,,Model Evaluation and Threat Research Inc,,,,,,,,2024-05,month,ARC FY2024 Part III narrative,,,,,,,,,,,,,no,funder filings,IRS990 ProgSrvcAccomActy2Grp Desc EVALUATIONS (DISCONTINUED),https://apps.irs.gov/pub/epostcard/990/xml/2025/2025_TEOS_XML_11D.zip,"PRIOR TO COMPLETING THE SPIN OUT IN MAY, THE EVALUATIONS TEAM HAD A NUMBER OF ACHIEVEMENTS",2026-09-16T09:56:43Z,Part III narrative uses May; Schedule N uses 2024-04-30,1,,Do not collapse this May narrative into Schedule N DistributionDt=2024-04-30. They are different filed strings on the same return.,"ProgSrvcAccomActy2Grp GrantAmt=4553935 is the same Schedule I/N total, not an additional flow. This row records only the dated narrative. Saved primary: irs-bulk-2025-TEOS-XML-11D-202513219349323246_public-20260916T095643Z.xml."
10,B,MDT,C02.E3;C06.E1,ARC donate page states the evaluations team has spun off as METR,grantmaker,ARC,,Alignment Research Center,,Model Evaluation and Threat Research Inc,issuer statement of completed spin-off,,,,,,,2023-03-06,day,page datetime; body may have been updated later,,,,,,,,,,,,,no,self-statements,GET https://alignment.org/donate ; page__date datetime; Evaluations heading,https://alignment.org/donate,"The Evaluations team has spun off as METR, a new 501(c)(3).",2026-09-16T09:52:43Z,undated-in-body spin-off sentence on donate page,1,,time.page__date datetime=2023-03-06 is the page published-on stamp and is earlier than the 2023-09-19 announcement; the Evaluations sentence is not independently dated and is not an asset-distribution date.,Used only as an ARC-side organisational statement. No dollar amount. Direct-donations mailbox is named; this lane does not contact it. Saved primary: alignment-org-donate-20260916T095243Z.html.
