# metr_deep calendar closers; initial anchors from PLAN.md §11, re-measured at every check; a future
# document is N/A-with-reason until its availability date, never "searched and absent"
closer_id,earliest_expected,document,issuer,release_point,claims,last_checked_utc,state,note
CAL01,2026-11-04,METR's Anthropic incident report if the initial eight-week schedule holds,METR,https://metr.org/blog and its RSS feed,C03;C04;C08,2026-09-16T10:00:00Z,future,approximate date derived from the 2026-09-09 announcement of an eight-week engagement; MD45 now-check 2026-09-16: not posted (blog HTML and RSS); next check 2026-11-04
CAL02,2026-11-16,"CY2025 Forms 990 for calendar-year intermediaries and donor-advised sponsors (SVCF, Coefficient entities, RAND, calendar-year Audacious partners)",various,IRS TEOS and bulk e-file index (index_2026.csv),C01;C02;C06;C07,2026-09-16T10:00:00Z,future,extended calendar-year deadline (original 2026-05-15); MD45/MD43 2026-09-16: no TAX_PERIOD=202512 rows for these filers in index_2026; The Tepper Foundation (FYE 2025-11-30) extended due 2026-10-15; next check 2026-11-16
CAL03,2026-11-16,Good Ventures Foundation FY2026 Form 990-PF (FYE 2026-06-30),Good Ventures Foundation,IRS TEOS and bulk e-file index (index_2026.csv TAX_PERIOD=202606),C05;C07,2026-09-16T10:00:00Z,future,tests whether a donated stake arrived after 2025-06-30; original due 2026-11-15 is a Sunday so 2026-11-16 by the 990-PF instructions weekend rule; extendable six months to 2027-05-15 (a Saturday; next business day 2027-05-17); FY2025 return (TAX_PERIOD=202506) was recovered by MD39 from IRS bulk zip 2026_TEOS_XML_05B and shows only PUBLICLY TRADED SECURITIES on Schedule B; next check 2026-11-16
CAL04,2026-11-16,METR's next Form 990 (CY2025) and any audited financial statement,METR,IRS TEOS and bulk e-file index; metr.org,C01;C02,2026-09-16T10:00:00Z,future,"recipient-side test of the commitment statements; CY2025 return original due 2026-05-15, extended 2026-11-16; MD45 2026-09-16: no TAX_PERIOD=202512 row for EIN 99-1219864 in index_2026; audited statements as posted; next check 2026-11-16"
CAL05,2026-10-16,Anthropic registration statement or other holder disclosure,Anthropic,https://www.sec.gov/edgar/search/ and EDGAR company browse,C05;C07,2026-09-16T10:00:00Z,future,"a registration statement discloses only >5% holders and management; absence is bounded accordingly; MD42 2026-09-16: no Anthropic, PBC CIK or public S-1 on EDGAR; a confidential draft submission is not a holder table; next check 2026-10-16, then monthly"
CAL06,per request clock,Statutory records productions (UK DSIT FOIA; US NIST FOIA; Commission Reg. 1049/2001; NPT 6104(d); IRS Form 4506-A/5227),various custodians,per request; research/records/REQUESTS.jsonl,C01;C02;C06;C07,2026-09-16T10:00:00Z,USER_AUTHORITY_WAIT,"five drafts registered 2026-09-16 in research/records/REQUESTS.jsonl, none approved, none sent; clocks start only on transmission; next check on Kevin's approval decision"
CAL07,2026-11-16,National Philanthropic Trust FY2026 Form 990 (FYE 2026-06-30),National Philanthropic Trust,IRS TEOS and bulk e-file index,C07,2026-09-16T10:00:00Z,future,"MD37: public Schedule B Part I is RESTRICTED on every available year and Part II absent, so the FY2026 return is expected to add only sponsor aggregates; original due 2026-11-16 (weekend rule), extension possible to 2027-05-17; next check 2026-11-16"
CAL08,2026-10-15,Next unfiled returns of the named Audacious partners (MD43 Task A per-partner dates),Audacious partners (28 filers),IRS TEOS and bulk e-file index,C06,2026-09-16T10:00:00Z,future,"earliest remaining statutory date: The Tepper Foundation FYE 2025-11-30 extended 2026-10-15; Rippleworks FYE 2026-04-30 original 2026-09-15 passed unposted, extended 2027-03-15; calendar-year partners 2026-11-16; Good Ventures FY2026 is CAL03; Someland FYE 2026-02-28 extended 2027-01-15; next check 2026-10-15"
CAL09,when posted,Vanguard Charitable FY2025 Form 990 XML in the GivingTuesday lake and Fidelity/Schwab FY2026 returns,DAF sponsors,GivingTuesday 990 data lake; IRS bulk e-file index,C07,2026-09-16T10:00:00Z,future,MD38: Vanguard FY2025 XML absent from the lake (ProPublica render used); June-year sponsors' FY2026 returns due 2026-11-16 with extension to 2027-05-17; next check 2026-11-16
CAL10,when posted,Overdeck Family Foundation TY2024 Statement 26 attachment as extractable text; Joe and Clara Tsai Foundation TY2025 990-PF XML,Overdeck Family Foundation; Joe and Clara Tsai Foundation,GivingTuesday 990 data lake; IRS epostcard PDFs,C06,2026-09-16T10:00:00Z,future,MD43 B40/B41: grant recipients unread (attachment pointer; lake 404); not a negative; next check 2026-11-16 with CAL02
