# fetch_window_utc=2026-09-16T09:48:49Z/2026-09-16T09:53:26Z
# routes_used=metr.org/about+donate; Packard Yoast sitemap_index+grantee-sitemap+grantee-sitemap2+grant-directory-pro/v1 grantees+grants; Pew robots site-map + 3 sitemapfiles shards (20932 loc); Schmidt WP types+profile_2025 CPT; Sijbrandij sitemap+/grants; LaCentra sitemap+/grants+/frontier; Astralis /grants; expa.org; Longview WP grant CPT+grant-sitemap.xml+page-sitemap; SFF survivalandflourishing.fund table+/recommendations; Coefficient sitemap_index+wp/v2/types+/grants job+permalinks; Wayback id_ OpenPhil /grants/ 20240326 (CDX 503); Founders Pledge sitemap+/grantees/metr; GWWC sitemap-0+/charities/arc-evals; EA Funds /api/grants CSV + sitemap; FLI grant-sitemap + /grant/alignment-research-center/; Audacious sitemap+Canary; Manifund /projects; Candid search (locator); philanthropy.org who-funds (locator); grantmakers.io; Lightspeed; Jane Street; Effektiv Spenden GET+jina; AIS directory 10 sitemap shards; AISI /grants+sitemap.xml+example-projects+alignmentproject.aisi.gov.uk; grantmaking.ai/fund-ai-safety; macroscopic.fund/grants; every.org/metr (429); donations.vipulnaik.com organization.php
# caps_hit=Coefficient live grants catalog withdrawn (/grants is job; grant CPT absent; permalinks 404; sitemap has no grants shard); Pew /api/* robots Disallow and /search JS; Schmidt /awardees JS (used profile_2025); Longview grant-sitemap.xml n=3 omits arc-evaluations (CPT n=23 finds it); Longview ?grant= redirects to /grantmaking/ and REST omits amount; EA Funds HTML ?query= ignored (CSV used; 2026 n=9); FLI wp/v2/grant 404 (sitemap used); Effektiv Spenden HTTP 403 + jina 403; Wayback CDX HTTP 503 Temporarily Offline; every.org HTTP 429; Manifund 8MB JS dump (no METR project title); Candid login wall; Packard keyword not used as the B route; AISI /grants is programme copy not a grantee dump; Alignment Project /awardees 404; vipul organization.php 404; macroscopic.fund/grants HTTP 404; AIS directory is opportunity cards not payments; Founders Pledge sitemap omits /grantees/metr; r.jina.ai HTTP 403 this window
# no_kevinnbass_sources=true
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDE,C02.E2;C01.E5,"METR legal name, aliases and EIN",recipient,"METR; Model Evaluation and Threat Research; METR Inc; Model Evaluation and Threat Research, Inc.; ARC Evals; Alignment Research Center Evals",99-1219864,,,"Model Evaluation and Threat Research, Inc.",,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/donate ; extract Legal name and EIN,https://metr.org/donate,"Legal name:</div>
      <div>Model Evaluation and Threat Research, Inc.</div>

      <div>EIN:</div>
      <div>99-1219864</div>",2026-09-16T09:48:48Z,"EIN 99-1219864 published for Model Evaluation and Threat Research, Inc.",1,,Donate page does not list ARC Evals as a current legal name. ARC Evals / Alignment Research Center Evals are historical program aliases recorded so later lanes can search them; they are not merged with Alignment Research Center the 501(c)(3).,"Task A alias list for later lanes. Legal name on metr.org/donate is Model Evaluation and Threat Research, Inc. (METR Inc). EIN 99-1219864. Alignment Research Center (EIN 86-3605182 on philanthropy.org who-funds/863605182) is a separate legal entity (A02) and is not merged. Saved primary: metr-donate_20260916T094848Z.html"
A02,A,MDE,C02.E2,Alignment Research Center kept unmerged from METR Inc,recipient,Alignment Research Center; ARC,86-3605182,,,Alignment Research Center,,,,,,,,,,,,,,,,,,,,,,,,public grant databases,GET https://philanthropy.org/990/who-funds/863605182/alignment-research-center (locator only; not an award source of record),https://philanthropy.org/990/who-funds/863605182/alignment-research-center,Alignment Research Center has received $12 million across 16 grants from 8 funders between 2021 and 2024.,2026-09-16T09:49:09Z,Separate EIN 86-3605182 / Alignment Research Center profile exists; not merged with METR 99-1219864,1,,philanthropy.org is a secondary 990 aggregator used here only to locate the distinct ARC EIN. Award amounts on that page are not used as the source of record.,Legal-entity split. GWWC titles METR as formerly ARC Evals; that program alias is on A01. Alignment Research Center remains a separate 501(c)(3). Saved primary: philanthropy-who-arc_20260916T094909Z.html
A03,A,MDP,C02.E2,METR named-supporter list (grant-database sweep universe),recipient,METR,99-1219864,,,"Model Evaluation and Threat Research, Inc.",,,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about Funding paragraph,https://metr.org/about,"METR is funded by donations. We are grateful to METR’s many supporters: from METR’s first institutional-scale funding through <a href=""https://www.audaciousproject.org/"">The Audacious Project</a> (a funding initiative housed at TED); to individuals from Jane Street; foundations such as the Sijbrandi",2026-09-16T09:48:48Z,Named supporters: Audacious/TED; Jane Street individuals; Sijbrandij; Pew; Schmidt Sciences; Packard; LaCentra-Sumerlin; Astralis; Expa.org; AI Security Institute; Longview; Effektiv Spenden; SFF; Farhi; Ralston; Field; Newman,1,,A supporter list is not a grant database and is not a transaction date. Individuals named here have no public grant database of their own.,Defines the named-supporter set this lane enumerates databases for. Page appearance is not a grant date. Saved primary: metr-about_20260916T094848Z.html
B01,B,MDS,C02.E2;C01.E5,Packard grant-directory-pro API full catalog enumeration,grantmaker-award,METR; Model Evaluation and Threat Research,grant_id=2026-79050; grantee_id=30794,The David and Lucile Packard Foundation,,Model Evaluation and Threat Research,grant,,,,,,,,,,,,,,,,,,,,,,,public grant databases,GET https://www.packard.org/wp-json/grant-directory-pro/v1/grantees and GET .../v1/grants ; match post_name=model-evaluation-and-threat-research and grant_id=2026-79050,https://www.packard.org/wp-json/grant-directory-pro/v1/grants,"""grant_id"":""2026-79050""",2026-09-16T09:48:49Z,"API dump grantees=1278 grants=2557; exactly one METR grantee (ID 2703989, grant 2026-79050, amount 350000.00, fiscal year 2026, award_term 12, purpose for general support). No Alignment Research Center grantee.",2557,https://www.packard.org/grant/2026-79050/,Public UI copy describes recent grantmaking; this GET returns the full catalog without a query string. A commitment is not a payment.,Canonical enumeration route=grant-directory-pro REST API (not keyword search). robots.txt Sitemap=https://www.packard.org/sitemap_index.xml. Extract saved packard-api-metr-extract_20260916T094849Z.json. Full dumps packard-api-grantees_20260916T094849Z.json and packard-api-grants_20260916T094849Z.json.
B02,B,MDS,C02.E2;C01.E5,Packard Yoast sitemap enumeration of grantee locs,,,,The David and Lucile Packard Foundation,,Model Evaluation and Threat Research,,,,,,,,,,,,,,,,,,,,,,,,public grant databases,GET https://www.packard.org/sitemap_index.xml then GET grantee-sitemap.xml (1001 loc) and grantee-sitemap2.xml (278 loc); filter loc contains model-evaluation-and-threat-research,https://www.packard.org/grantee-sitemap2.xml,<loc>https://www.packard.org/grantee/model-evaluation-and-threat-research/</loc>,2026-09-16T09:48:48Z,"Canonical sitemap index lists grantee-sitemap.xml (1001 loc, METR slug absent) and grantee-sitemap2.xml (278 loc, METR slug present). Combined grantee loc excluding index = 1278, matching API grantee count.",1278,https://www.packard.org/grantee/model-evaluation-and-threat-research/,Stopping after sitemap part 1 would miss the METR record (Packard-style miss).,"Enumeration route=Yoast canonical sitemap, not keyword search. Saved packard-sitemap-index_20260916T094848Z.xml, packard-grantee-sitemap_20260916T094848Z.xml, packard-grantee-sitemap2_20260916T094848Z.xml."
B03,B,MDS,C02.E2;C01.E5,Pew Charitable Trusts canonical sitemap index (no public grants API),,,,The Pew Charitable Trusts,,,,,,,,,,,,,,,,,,,,,,,,,,public grant databases,GET https://www.pew.org/robots.txt Sitemap=https://www.pew.org/site-map ; then GET the three sitemapfiles shards; filter loc for model-evaluation|threat-research|arc-evals|alignment-research-center as a grant page,https://www.pew.org/site-map,<loc>https://www.pew.org/sitemapfiles/SiteMap00D06E9EDE02478CB9BEF7993EFDFCEC-1.xml</loc>,2026-09-16T09:53:00Z,none found in Pew canonical sitemap shards (10000+10000+932 locs) as of 2026-09-16T09:53:00Z for a METR/ARC grant page,20932,,"robots.txt Disallow /api/* and /search. pew.org/sitemap.xml 404. No public Pew grants API. Shard loc counts: sm-1=10000, sm-2=10000, sm-3=932. METR token in pew.org HTML chrome is not a grant.","Named-supporter database enumeration. Pew has no grant-directory API analogous to Packard. Keyword /search is JS and is not this route. Saved pew-site-map_20260916T094850Z.html, pew-sm-1_20260916T095300Z.xml, pew-sm-2_20260916T095300Z.xml, pew-sm-3_20260916T095300Z.xml, pew-robots_20260916T094850Z.txt."
B04,B,MDS,C02.E2;C01.E5,Schmidt Sciences WP profile_2025 awardee CPT enumeration,,,,Schmidt Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,public grant databases,"GET https://www.schmidtsciences.org/wp-json/wp/v2/types then GET /wp-json/wp/v2/profile_2025?per_page=100 (X-WP-Total=35); also GET /wp-json/wp/v2/profile_2025?search=METR (total=0, body []); sitemap page-sitemap.xml lists /awardees/",https://www.schmidtsciences.org/wp-json/wp/v2/profile_2025?search=METR&per_page=20,[],2026-09-16T09:48:51Z,none found in Schmidt Sciences profile_2025 CPT (n=35) as of 2026-09-16T09:48:51Z for METR/ARC/Model Evaluation and Threat Research,35,,"Awardees HTML is client-rendered. /grants HTTP 404. No grant CPT. profile_2025 titles are science stories, not a dollar grant register.","Canonical route=WP REST profile_2025 collection, not the JS search box. Saved schmidt-profile-p1_20260916T094851Z.json, schmidt-wp-types_20260916T094850Z.json, schmidt-page-sitemap_20260916T094851Z.xml."
B05,B,MDS,C02.E2;C01.E5,Sijbrandij Foundation Squarespace sitemap plus /grants listing,,,,Sijbrandij Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,public grant databases,GET https://sijbrandijfoundation.org/sitemap.xml (7 loc including /grants) then GET /grants ; text search METR|Model Evaluation|Alignment Research,https://sijbrandijfoundation.org/grants,We fund ideas to prove what's possible,2026-09-16T09:48:52Z,none found in Sijbrandij Foundation sitemap (7 loc) or grants page as of 2026-09-16T09:48:52Z for METR/ARC,7,,Invite-only public listing is not the IRS Part XV schedule. Amounts are not disclosed on this page.,"Named-supporter canonical sitemap enumeration. Saved sij-sitemap_20260916T094852Z.xml, sij-grants_20260916T094852Z.html."
B06,B,MDS,C02.E2;C01.E5,LaCentra-Sumerlin Foundation sitemap enumeration,,,,LaCentra-Sumerlin Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,public grant databases,GET https://www.lcsf.org/sitemap.xml (7 loc: /home /carpinteria /hea /frontier /grants /loi /application) then GET /grants and /frontier ; text search METR|ARC,https://www.lcsf.org/sitemap.xml,<loc>https://www.lcsf.org/grants</loc>,2026-09-16T09:48:53Z,none found in LaCentra-Sumerlin sitemap (7 loc) or grants/frontier pages as of 2026-09-16T09:48:53Z for METR/ARC,7,,Frontier Fund is invitation-only and lists no grantees. How-grants-work page has no names.,"Named-supporter canonical sitemap. Saved lcsf-sitemap_20260916T094853Z.xml, lcsf-grants_20260916T094853Z.html, lcsf-frontier_20260916T094853Z.html."
B07,B,MDS,C02.E2;C01.E5,Astralis Foundation has no published grants path,,,,Astralis Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,public grant databases,GET https://astralisfoundation.org/grants ; GET /robots.txt ; GET /sitemap.xml,https://astralisfoundation.org/grants,Page not found | Astralis Foundation,2026-09-16T09:48:54Z,none found in https://astralisfoundation.org/grants as of 2026-09-16T09:48:54Z (HTTP 404); robots 404; sitemap HTTP 500,0,,No public grant catalog. Homepage says unsolicited requests are not accepted.,"Named-supporter database gap recorded so a Packard-style miss cannot be claimed as 'not checked'. Saved astralis-grants_20260916T094854Z.html, astralis-home_20260916T094854Z.html."
