# fetch_window_utc=2026-09-16T10:01:13Z/2026-09-16T10:06:42Z
# routes_used=metr.org/about; metr.org/blog/2026-08-14-funding-update; www.lcsf.org (home,frontier,grants,carpinteria,hea,sitemap); astralisfoundation.org (home,our-people,grants 404,donation-acceptance-policy); www.expa.org; expa.com; camp.org; ProPublica API/org pages; GivingTuesday 990-PF XML (LaCentra object_ids 202202909349100745,202311029349102446,202402889349101005,202502889349100435; Expa 202243199349105784,202333189349106013,202513219349106941,202523219349106192); IRS EO BMF eo_ca.csv; IRS e-file index_2024.csv,index_2025.csv,index_2026.csv streamed; Companies House 15917880 including YE 2025-08-31 accounts iXBRL+PDF; Charity Commission search; CA OAG/RCT/RCF/SOS; Länsstyrelsen Stiftelsesök källfil /Öppendata/Json; Wayback id_ 20251207085707 and 20251216013159 metr.org/about; stiftelsemedel.se; allabolag.se
# caps_hit=IRS TEOS web 403 Access Denied; r.jina.ai 403; CA RCT Search.aspx HTTP 404; CA RCF publicPortal JS-only; CA OAG /charities/search 404; Charity Commission search JS-thin; bolagsfakta.se 403 Cloudflare; Länsstyrelsen legacy naringsliv-och-foreningar/stiftelser path 404; Stiftelsesök HTML Sok/Stiftelse paths 404 (JSON källfil 200); OpenCorporates hCaptcha; ProPublica full_text_search Astralis HTTP 429; lcsf.org apex TLS hostname mismatch (www.lcsf.org used); CA SOS bizfile iframe challenge
# no_kevinnbass_sources=true
# lane=MD06; element_ids=C02.E2; embargo=fetch-only no contact; this run re-fetched after 2026-09-16T09:45:37Z; medium-run 05:35Z-05:43Z archive used only as a lead
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
X5,A,MDE,C02.E2,Astralis,private foundation,Stiftelsen Astralis; Astralis Foundation,802482-2317,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,Länsstyrelsernas Stiftelsesök källfil GET /Öppendata/Json ; filter ORGNR=802482-2317,https://stiftelser.lansstyrelsen.se/Öppendata/Json,"""NAMN"": ""Stiftelsen Astralis"",
    ""ORGNR"": ""802482-2317"",
    ""COADRESS"": ""Sverker och Jeanette Skoglund"",
    ""ADRESS"": ""Ringvägen 55b"",
    ""POSTNR"": ""181 51"",
    ""ORT"": ""LIDINGÖ"",
    ""TELEFON"": ""0766 29 32 39"",
    ""TYP"": 6,
    ""LANKOD"": 1,
    ""KOMMUNKOD"": 186,
    ""ANDAMAL"": ""Stiftelsen bil",2026-09-16T10:01:36Z,Official Swedish stiftelseregister dump: NAMN=Stiftelsen Astralis; ORGNR=802482-2317; TYP=6; ORT=LIDINGÖ; LANKOD=1 (Stockholm). Record ID 1032015.,1,Stiftelsen Astralis annual accounts filed with Länsstyrelsen (not in this källfil),"Källfil is a daily registry extract (identity, ändamål, styrelse), not a grant schedule. HTML Stiftelsesök search paths 404'd; JSON dump worked.",Primary: full källfil stiftelser-opendata-file-20260916T100136Z.bin (22504526 bytes) plus one-record extract stiftelser-astralis-extract-20260916T100642Z.json. Keep unmerged from UK company 15917880. [xhigh re-run row 5 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]
X6,A,MDE,C02.E2,Astralis,operating company,ASTRALIS FOUNDATION (UK); Astralis Foundation,15917880,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET Companies House company 15917880,https://find-and-update.company-information.service.gov.uk/company/15917880,"Private Limited Company by guarantee without share capital use of &#39;Limited&#39; exemption
                </span>

            </dd>
        </dl>

        <dl class=""column-third"">
                <dt id=""company-birth-type"">Incorporated on</dt>
                <dd class=""data"" id=""company-crea",2026-09-16T10:01:21Z,"UK company ASTRALIS FOUNDATION number 15917880, incorporated 27 August 2024, St. Albans England, private limited by guarantee, SIC 85590, Active. Not a Charity Commission registered charity.",1,next UK accounts made up to 31 August 2026 due 31 May 2027,"Operating company (company limited by guarantee), not a US private foundation, public charity, or DAF. Keep separate from Stiftelsen Astralis 802482-2317.","Registered office Arquen House, 4-7 Spicer Street, St. Albans, England, AL3 4PQ. Issuer footer states the same UK company number. Charity Commission search returned no registered-charity result card (Task E). [xhigh re-run row 6 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]"
X13,B,MDS,C02.E2,LaCentra-Sumerlin,,,EIN 77-0416683,LaCentra-Sumerlin Foundation,,METR,,,,,,,,,,,,,,,,,,,,,,,,self-statements,GET https://www.lcsf.org/frontier ; text search METR|Model Evaluation|ARC,https://www.lcsf.org/frontier,"The Frontier Fund is a recently launched, early-stage fund and currently making grants by invitation.</p>
  </section>

  <!-- Status — no section heading, just divider line + card -->
  <section class=""lcsf-section"" aria-labelledby=""status-heading"">
    <hr class=""lcsf-section-divider"" aria-hidden=",2026-09-16T10:01:13Z,none found in https://www.lcsf.org/frontier as of 2026-09-16T10:01:13Z,0,Form 990-PF Part XV for FYE 2025-11-30,Invitation-only fund page lists no grantees and does not name METR.,"Entity's own materials do not state amount, date, vehicle, or purpose of any gift to METR. Homepage: private foundation with three independent funds (Carpinteria, Health Equity & Access, Frontier). [xhigh re-run row 13 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]"
X20,C,MDS,C02.E2,LaCentra-Sumerlin,,,EIN 77-0416683 / 83-2856275,,,,,,,,,,,,,,,,,,,,,,,,,,,IRS TEOS and e-file index,GET https://apps.irs.gov/pub/epostcard/990/xml/2026/index_2026.csv streamed; filter EIN 770416683 or 832856275,https://apps.irs.gov/pub/epostcard/990/xml/2026/index_2026.csv,"RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID,XML_BATCH_ID
",2026-09-16T10:01:32Z,none found in IRS e-file index_2026.csv for EIN 770416683 or 832856275 as of 2026-09-16T10:01:32Z,0,index_2025.csv (LaCentra TAX_PERIOD 202411 object 202502889349100435; Expa TAX_PERIOD 202412 object 202523219349106192),"TY2025 / FYE Nov 2025 returns are not in the 2026 posting file at this check. 386657 lines scanned, 0 matches.","Calendar closer, not proof a gift does not exist. Latest posted objects remain 202502889349100435 and 202523219349106192. [xhigh re-run row 20 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]"
X22,C,MDT,C02.E2,Astralis,,,,Astralis Foundation,,METR,first about-page naming,,,,,,,2025-12-07,day,,,,,,,,,,,,,,,archives,Wayback 20251207085707id_ metr.org/about,https://web.archive.org/web/20251207085707id_/https://metr.org/about,"Schmidt Sciences, Astralis Foundation and Expa.org; the AI Security Institute; the pooled funds of many other donors, including through Longview Philanthropy and Effektiv Spenden’s funds; recommendations by the Survival and Flourishing Fund; and a wide range of individuals directly, such as Geoff Ra",2026-09-16T10:01:24Z,2025-12-07 Wayback about page already names Astralis Foundation and Expa.org.,1,,Appearance date is not a transaction date.,Same capture is the first expanded naming of Expa.org as well. Used Wayback raw id_. [xhigh re-run row 22 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]
X23,C,MDT,C02.E2,Expa.org,,,,Expa.org,,METR,first about-page naming,,,,,,,2025-12-07,day,,,,,,,,,,,,,,,archives,Wayback 20251207085707id_ metr.org/about,https://web.archive.org/web/20251207085707id_/https://metr.org/about,"Schmidt Sciences, Astralis Foundation and Expa.org; the AI Security Institute; the pooled funds of many other donors, including through Longview Philanthropy and Effektiv Spenden’s funds; recommendations by the Survival and Flourishing Fund; and a wide range of individuals directly, such as Geoff Ra",2026-09-16T10:01:24Z,2025-12-07 Wayback about page already names Expa.org.,1,,Appearance date is not a transaction date.,Shared capture with Astralis first naming. [xhigh re-run row 23 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]
X24,C,MDS,C02.E2,Astralis,,,802482-2317,Stiftelsen Astralis,,METR,,,,,,,,,,,,,,,,,,,,,,,,state registries,Stiftelsesök källfil record ID 1032015; text search METR|Model Evaluation|Alignment Research,https://stiftelser.lansstyrelsen.se/Öppendata/Json,"""ANDAMAL"": ""Stiftelsen bildas med syftet att sprida kunskap om samt engagemang för idéer, forskning och verktyg avseende effektiva sätt att bidra till en bättre värld och verka för att resurser som syftar till att göra gott används så effektivt som möjligt.\n\nStiftelsens ändamål är att främja och t",2026-09-16T10:01:36Z,none found in Länsstyrelsen Stiftelsesök källfil record for Stiftelsen Astralis (ORGNR 802482-2317) as of 2026-09-16T10:01:36Z for a METR/ARC grant line,0,Stiftelsen Astralis annual accounts at Länsstyrelsen for org.nr 802482-2317,"The källfil carries identity and ändamål, not a paid-grant schedule. Blind spot: Swedish annual accounts text.",Official registry dump confirms the legal entity. It is not a substitute for the accounts that would list grants if any were paid. [xhigh re-run row 24 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]
X29,E,MDS,C02.E2,LaCentra-Sumerlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://rct.doj.ca.gov/Verification/Web/Search.aspx?facility=Y,https://rct.doj.ca.gov/Verification/Web/Search.aspx?facility=Y,"<TITLE>Not Found</TITLE>
<META HTTP-EQUIV=""Content-Type"" Content=""text/html; charset=us-ascii""></HEAD>
<BODY><h2>Not Found</h2>
<hr><p>HTTP Error 404. The requested resource is not found.</p>
</BODY></HTML>
",2026-09-16T10:01:20Z,none found in https://rct.doj.ca.gov/Verification/Web/Search.aspx?facility=Y as of 2026-09-16T10:01:20Z (HTTP 404),0,https://ca-rcf.evokeplatform.com/app/publicPortal/verification (JS EVOKE app),CA OAG still links this legacy RCT URL. New Registry Search Tool is a JS SPA. 990-PF Form990PFFiledWithAttyGenInd=1 shows a CA copy is filed even though this lane could not read the public registry record.,State registry class: this specific endpoint 404'd. [xhigh re-run row 29 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]
X30,E,MDS,C02.E2,Expa.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,GET https://ca-rcf.evokeplatform.com/app/publicPortal/verification,https://ca-rcf.evokeplatform.com/app/publicPortal/verification,"You need to enable JavaScript to run this app.</noscript><div id=""root""></div></body></html>",2026-09-16T10:01:20Z,none found in CA Registry Search Tool publicPortal/verification as of 2026-09-16T10:01:20Z (JS-only; no EIN lookup possible in this fetch),0,manual browser search of the EVOKE Registry Search Tool for FEIN 83-2856275 and 77-0416683,"Blind spot: CA charitable registration number, RRF-1, and the state copy of the 990-PF were not retrieved.",Applies to both CA private foundations in this lane (LaCentra-Sumerlin and Expa.org). [xhigh re-run row 30 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]
X31,E,MDS,C02.E2,Astralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,state registries,Charity Commission register search q=Astralis,https://register-of-charities.charitycommission.gov.uk/en/charity-search?q=Astralis,"Enter charity name, charity number or search for words in charity objects, activities or classifications.</p>
   <form action=""https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/results/search"" class=""form  "" data-fm-namespace=""_uk_gov_ccew_portlet_CharitySearchPortlet_"" id=""",2026-09-16T10:01:21Z,none found in Charity Commission register search 'Astralis' as of 2026-09-16T10:01:21Z,0,"Companies House 15917880 (company, not a registered charity)",Search UI is JS; saved HTML shows the search form and no charity result card. Blind spot: a registered charity under a different working name.,Consistent with issuer statement that the UK vehicle is a company limited by guarantee. Results URL also saved; no result-card text for Astralis after script strip. [xhigh re-run row 31 of research/grok-out/MD06-lacentra-astralis-expa.csv; no medium counterpart]
