# fetch_window_utc=2026-09-16T12:22:02Z/2026-09-16T12:29:58Z
# routes_used=promoted-row re-fetch only: metr.org/blog/2026-08-14-funding-update/; metr.org/about; metr.org/blog/2024-10-09-new-support-through-the-audacious-project/; metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/; packard.org grantee page + grant 2026-79050 + grant-directory-pro/v1/grants dump + search?s=METR; RAND 2024-10-09 live (403) + r.jina.ai + Wayback id_; greaterwrong Barnes comment (429 then Mozilla-UA 200) + LessWrong 429 + EA Forum GraphQL; survivalandflourishing.fund home + 2024/recommendations + 2025/recommendations + 2025/further-opportunities + sff-2026-recommendations; AWS Efile XML METR/FoundersPledge/SVCF/Valhalla/HighTide; ProPublica org 991219864 + api/v2 + Vanguard full_text Schedule I stream RecipientTable[15424]; givingwhatwecan.org/charities/arc-evals; effektiv-spenden live (403) + Wayback 20250126120532id_; coefficientgiving.org staff-suggestions-2025 + /grants/ 404; openphilanthropy.org/grants/?q=METR; IRS TEOS app/landing 403; IRS e-file index_2026.csv complete; TED 864574-2025; grants.gov search-grants keywords=METR; Wayback CDX funding-update; gt990datalake Vanguard XML 404. research/STATE.md and research/commitment_reconciliation.csv as locators (read, not rewritten).
# caps_hit=RAND live HTTP 403 (r.jina.ai and Wayback id_ used); GreaterWrong first GET HTTP 429 (Mozilla-UA retry HTTP 200); LessWrong HTTP 429 Vercel; EA Forum GraphQL results=[]; Packard search?s=METR empty 0 bytes; Coefficient /grants/ HTTP 404; openphilanthropy.org/grants/?q=METR redirect to Coefficient /funds/; IRS TEOS app and landing HTTP 403 Akamai; Vanguard S3 XML HTTP 404; ProPublica Vanguard download-xml HTTP 403 Security Check; live effektiv-spenden HTTP 403; TED 864574-2025 HTTP 202 empty body; SFF-2026-recommendations HTTP 404; Wayback CDX funding-update HTTP 503; grants.gov HTML is a JS shell; IRS index_2026.csv 385891 lines 0 hits EIN 991219864
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; Task A rebuilds denominator / compatible / excluded from promoted rows only (commitment_reconciliation.csv kinds denominator, compatible_component, excluded plus promoted MDF/MDP C01 bindings). Already-held amounts re-verified against this-run primaries and not presented as new discoveries. Compatible total follows the promoted set actually read (Packard $350,000; remainder around $70.65 million). Embargo: nothing sent; no one asked how the approximately $71 million was composed.
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDF,C01.E2;C01.E3;C01.E4,Denominator: METR's own statement of commitments raised in the last 6 months,recipient,METR; Model Evaluation and Threat Research,MDF0089,not stated in this source,,METR,,2026-02-14,2026-08-14,commitments,commitment,71000000,USD,2026-08-14,day,the last 6 months (sentence as of 2026-08-14; derived window approximately 2026-02-14 to 2026-08-14),committed; payment not stated,,,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million.",2026-09-16T12:22:02Z,verbatim sentence present in live HTML body and meta description; money_type=commitment from the word commitments,1,https://metr.org/about#funding,"Amount is ""around $71 million"", not an exact integer. Payment and composition are not stated. Working integer 71000000 is the round number in the sentence; the qualifier around is retained.","Promoted row_id=MDF0089 (MD14 A01 / STATE denominator). Re-fetched live HTTP 200. SHA-256=ea456b2af1d1c078af97f7d5e5752ff95991403f609f29fa4346afcaa48e37cf of metr-org-funding-update_20260916T122202Z.html (byte-identical to the MD14 primary). JSON-LD datePublished=2026-08-14T00:00:00-07:00. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
A02,A,MDP,C01.E2,Compatible component: Packard Foundation grant 2026-79050 to METR,foundation,Packard Foundation; The David and Lucile Packard Foundation,MDP0030;MDF0020;grant_id=2026-79050;grantee_id=30794,The David and Lucile Packard Foundation,,Model Evaluation and Threat Research,,2026-07-06,,,commitment,350000,USD,2026-07-06,day,award year 2026; listing 2026-07-06 inside window,not stated on this page; paid versus approved not determinable until Packard TY2025 or TY2026 990-PF is posted,for general support,,,,,,,,,,,catalog listing; not a receipt,public grant databases,GET https://www.packard.org/grantee/model-evaluation-and-threat-research/ ; GET https://www.packard.org/grant/2026-79050/ ; GET https://www.packard.org/wp-json/grant-directory-pro/v1/grants filter grant_id=2026-79050,https://www.packard.org/grantee/model-evaluation-and-threat-research/,"1 Grants / $350,000",2026-09-16T12:22:11Z,"compatible=yes (entity=METR; money_type=commitment; currency=USD; public listing datePublished 2026-07-06 inside last-6-months window). 1 grant listed: year 2026, term 12, amount $350,000, purpose for general support",1,https://www.packard.org/grant/2026-79050/,"Listing date is not an instrument date. Award year 2026 is coarser than the six-month window; compatibility of period rests on datePublished 2026-07-06 falling inside the derived window, not on a signed-grant day.","Promoted row_id=MDP0030 (compatible_component); funding-event MDF0020. Re-fetched grantee HTML HTTP 200 SHA-256=78ac4a4a48462d8dda06b99db1011f270d257b5ba33d115fe4e2a61d466e6d4e of packard-grantee-metr_20260916T122211Z.html. Same-run grant page packard-grant-2026-79050_20260916T122213Z.html has $350,000, purpose for general support, datePublished=2026-07-06T05:04:38+00:00. Grants API object grant_id=2026-79050 grant_amount=350000.00 award_term=12 grant_fiscal_year=2026 in packard-api-grants_20260916T122217Z.json. Keyword search?s=METR returned 0 bytes (E05); the grant is counted once here, not again in A26. Legal entities unmerged. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
A03,A,MDP,C01.E3,Excluded: METR FY2024 Form 990 filed total revenue,recipient,METR,MDP0031;MDF0031;EIN=991219864;OBJECT_ID=202523209349300367,,,Model Evaluation and Threat Research Inc,,2024-05-01,2024-12-31,,filed_grant,13639155,USD,2024-12-31,interval,FY2024 short year 2024-05-01 to 2024-12-31,filed on the recipient's own Form 990,,,,,,,,,,,,yes,recipient filings,GET https://projects.propublica.org/nonprofits/organizations/991219864 ; GET AWS Efile XML 202523209349300367_public.xml CYTotalRevenueAmt,https://projects.propublica.org/nonprofits/organizations/991219864,"$13,639,155",2026-09-16T12:22:54Z,compatible=no,1,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml,Filed revenue is not a commitment. FY2024 is before the last-6-months window.,"Promoted row_id=MDP0031. ProPublica org page restates Revenue $13,639,155 (propublica-org-991219864_20260916T122254Z.html). Same-run AWS XML aws-metr-990-202523209349300367_20260916T122236Z.xml SHA-256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9 has <CYTotalRevenueAmt>13639155</CYTotalRevenueAmt> (promoted locator was 2025_TEOS_XML_11C.zip member 202523209349300367_public.xml; AWS is the working fetch of that object). Not summed with the 2026 commitment. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
A04,A,MDP,C01.E3,Excluded: Alignment Research Center related-organization transfer on METR FY2024 Form 990,grantmaker,ARC; Alignment Research Center,MDP0032;MDF0034;EIN=86-3605182,Alignment Research Center,,Model Evaluation and Threat Research Inc,,2024-05-01,2024-12-31,,transfer,4501424,USD,2024-12-31,day,FY2024,,,,,,,,,,,,,yes,recipient filings,GET AWS Efile XML 202523209349300367_public.xml IRS990 RelatedOrganizationsAmt; Schedule R ALIGNMENT RESEARCH CENTER,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml,<RelatedOrganizationsAmt>4501424</RelatedOrganizationsAmt>,2026-09-16T12:22:36Z,compatible=no,1,,"This lane re-fetched the FY2024 Form 990 XML. RelatedOrganizationsAmt is a transfer, not a commitment, and FY2024 is before the last-6-months window.","Promoted row_id=MDP0032 (promoted URL was 2025_TEOS_XML_11C.zip). Working fetch is AWS object 202523209349300367 SHA-256=84979ec8023f9e286198370353fab8d8bf01d76befe637ff8c1bf2bd9d20c8d9 of aws-metr-990-202523209349300367_20260916T122236Z.xml. Schedule R names ALIGNMENT RESEARCH CENTER. ARC and METR stay unmerged. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
A05,A,MDP,C01.E3,Excluded: Audacious/Canary joint commitment of approximately $38 million to RAND and METR,project,The Audacious Project; TED,MDP0033,The Audacious Project (TED),,RAND and METR,,,,,commitment,38000000,USD,2024-10-09,day,,,,Canary,,,,,,,,,,,press,GET https://www.rand.org/news/press/2024/10/09.html ; live HTTP 403 then r.jina.ai and Wayback id_,https://www.rand.org/news/press/2024/10/09.html,"The Audacious Project, a collaborative funding initiative housed at TED, has committed approximately $38 million to RAND and METR for Canary, a new research collaboration designed to help make future AI systems safer.",2026-09-16T12:23:58Z,compatible=no,1,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,Joint-project commitment; not a METR-only amount. Approximate.,"Promoted row_id=MDP0033. Live RAND URL HTTP 403 this host (rand-press-2024-10-09_20260916T122225Z.html); substitute r.jina.ai HTTP 200 saved as rand-press-jina_20260916T122358Z.md (quote occurs there); also Wayback web/20241009120000id_/ of the same URL. TED and The Audacious Project unmerged. 2024-10-09 is before the last-6-months window. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
A06,A,MDP,C01.E3,Excluded: METR-side approximately $17 million of the Audacious/Canary commitment,,,MDP0034,The Audacious Project (TED),,METR,,,,,commitment,17000000,USD,2024-10-09,day,,,,Canary,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,https://metr.org/blog/2024-10-09-new-support-through-the-audacious-project/,Approximately $17 million of this will support work at METR.,2026-09-16T12:22:06Z,compatible=no,1,,Subset of the ~$38M Canary commitment; not additive with it or with the later bit-under-$16m restatement.,"Promoted row_id=MDP0034. Re-fetched live HTTP 200 metr-org-audacious-2024-10-09_20260916T122206Z.html. Not summed with A05 or A07. Date 2024-10-09 is before the window. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
A07,A,MDP,C01.E3,Excluded: Barnes restatement of Audacious as a bit under $16m across 3 years,individual,Beth Barnes; Elizabeth Barnes,MDP0035,The Audacious Project (TED),,METR,,,,,commitment,<16000000,USD,2025-09-28,day,3 years (restated 2025-09-28),,,Canary,,,,,,,,,,,self-statements,GET https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Audacious funding: This ended up being a bit under $16m, and is a commitment across 3 years.",2026-09-16T12:29:09Z,compatible=no,1,,Not an exact integer. Not additive with the 2024-10-09 $17 million figure.,"Promoted row_id=MDP0035. First GreaterWrong GET HTTP 429; Mozilla-UA retry HTTP 200 SHA-256=9b5f52c36c8c14516b758ab1cb3cf957c59f364a9efc9bdc74e6b356ede95058 of greaterwrong-barnes-moz_20260916T122909Z.html. LessWrong HTTP 429 (E12). EA Forum GraphQL results=[] (E13). Quote from og:description/comment body. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
A08,A,MDP,C01.E3,Excluded: Barnes public run-rate statement (not an inbound amount),individual,Beth Barnes,MDP0036,Beth Barnes,,METR,,,,,commitment,~13000000 per year,USD,2025-09-28,day,"annual, Sep 2025",,,,,,,,,,,,,,self-statements,GET https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Budget: We run at ~$13m p.a. rn (~$15m for the next year under modest growth assumptions, quite plausibly $17m++ given the increasingly insane ML job market).",2026-09-16T12:29:09Z,compatible=no,1,,A run rate is not an inbound amount.,"Promoted row_id=MDP0036 (money_type left as promoted commitment with non-integer amount; not an addend). Same primary as A07 SHA-256=9b5f52c36c8c14516b758ab1cb3cf957c59f364a9efc9bdc74e6b356ede95058. amount_usd is the promoted non-integer string and is not summed. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
A09,A,MDP,C01.E3,Excluded: Barnes public runway statement (not a funding event),individual,Beth Barnes,MDP0037,Beth Barnes,,METR,,,,,,,,2025-09-28,day,,,,,,,,,,,,,,,self-statements,GET https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Runway: Depending on spend/growth assumptions, we have between 12 and 16 months of runway.",2026-09-16T12:29:09Z,compatible=no,1,,"Runway is derived spend coverage, not a funding event.","Promoted row_id=MDP0037. money_type and amount_usd left empty (promoted empty). Same primary as A07/A08. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
A10,A,MDP,C01.E3,Excluded: SFF-2024 recommendation to METR,,,MDP0038,Survival and Flourishing Fund (Jaan Tallinn),,"Model Evaluation and Threat Research, Inc.",,,,,recommendation,204000,USD,SFF-2024,interval,,"recommendation, not a payment",General support,,,,,,,,,,,,issuer statements,GET https://survivalandflourishing.fund/ ; GET https://survivalandflourishing.fund/2024/recommendations,https://survivalandflourishing.fund/,"SFF-2024</td>
    <td class=""in-grid"">Jaan Tallinn</td>
    <td class=""in-grid"">Model Evaluation and Threat Research</td>
    <td class=""in-grid"">$204,000</td>",2026-09-16T12:22:28Z,compatible=no,1,https://survivalandflourishing.fund/2024/recommendations,Round label SFF-2024 is not a day date. A recommendation is not a commitment and not a payment.,"Promoted row_id=MDP0038. Re-fetched sff-home_20260916T122228Z.html HTTP 200. SFF, Jaan Tallinn, and METR stay unmerged. Same-run sff-2024-recommendations_20260916T122232Z.html also lists $204,000. research/STATE.md read before adding facts; amounts are re-verifications of promoted C01 rows (commitment_reconciliation.csv + MDP/MDF bindings), not new discoveries. no_kevinnbass_sources. This lane did not contact anyone or ask how the approximately $71 million was composed."
