# fetch_window_utc=2026-09-16T08:31:15Z/2026-09-16T09:31:05Z
# routes_used=Wayback CDX url=metr.org/about (unfiltered 503; wildcard about* JSON used for exact /about enumeration); url=metr.org/donate unfiltered JSON; url=metr.org/funding JSON empty; url=metr.org/donor and /donors JSON empty; url=metr.org/support JSON empty; url=metr.org/supporters 503 HTML; url=metr.org/about* and /donate* limit=1000; funding-update CDX 503/504 this run; audacious-support CDX JSON 17 rows last 20260915160045; Wayback id_ unique-digest firsts of about (171) and donate (77) status=200 captures (gzip decompressed, all HTML this run); live GET metr.org/about /donate /blog/2026-08-14-funding-update/ /blog/2024-10-09-new-support-through-the-audacious-project/ /funding /support /supporters /donor /donors /sitemap.xml; Packard grantee page https://www.packard.org/grantee/model-evaluation-and-threat-research/; research/STATE.md read as locator (seed MDT0001-MDT0003 re-verified, not copied)
# caps_hit=CDX unfiltered url=metr.org/about HTTP 503; CDX filter=statuscode:200 about and donate HTTP 503; CDX url=metr.org/supporters HTTP 503; funding-update CDX 503/504; intermittent curl (7) connection-refused on Wayback id_ with backoff; r.jina.ai proxy of web.archive.org HTTP 403 AbuseAlleviationError (not used as a source); Wayback id_ sometimes returned gzip despite Accept-Encoding identity (decompressed in this lane)
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16 before adding facts; seed MDT0001-MDT0003 and sibling live about/donate/funding-update hashes were locators only until this-run CDX/live re-fetch; this lane did not contact anyone or ask how the approximately $71 million was composed
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDS,C09.E1,Wayback CDX wildcard url=metr.org/about* limit=1000 (contains exact /about captures through 2026-09-14),recipient,METR,cdx:about_star,,,METR,,2024-04-23,2025-12-08,,,,,2024-04-23,day,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/about*&output=json&fl=timestamp,original,statuscode,mimetype,digest,length&limit=1000","https://web.archive.org/cdx/search/cdx?url=metr.org/about*&output=json&fl=timestamp,original,statuscode,mimetype,digest,length&limit=1000","[[""timestamp"",""original"",""statuscode"",""mimetype"",""digest"",""length""],
[""20240423101403"",""https://metr.org/about"",""200"",""text/html"",""6GXCMXBDE43DGNLGEJ3ZVPSGO44P3TL6"",""5684""],
[""20241231011203"",""https://metr.org/about"",""200"",""text/html"",""N5FU2POQN6CMDT6UXTNCX6BBUULIRIUQ"",""14081""],
[""20241231011215"",""h",2026-09-16T08:33:05Z,197 CDX rows; 188 status=200; 173 unique digest among status=200; first 20240423101403 last 20251208223850,197,https://web.archive.org/web/20240423101403id_/https://metr.org/about,"Exact url=metr.org/about CDX returned HTTP 503 this run (Task E). Exact https://metr.org/about rows inside this wildcard index: 189 rows, last 20260914132053. File-level last row can be an earlier junk original; exact-path last is used for diffs.","Saved wayback-cdx-about_star-20260916T083305Z.json sha256=175f8f35de52e4abb76776f975c79b18049c958bba64c4b2abd0b65f601d7d0b. Capture timestamps are Wayback capture times, not transaction dates. Exact url=metr.org/about CDX returned HTTP 503 this run (Task E). Exact https://metr.org/about rows inside this wildcard index: 189 rows, last 20260914132053. File-level last row can be an earlier junk original; exact-path last is used for diffs. Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
A02,A,MDS,C09.E1,Wayback CDX index of https://metr.org/donate (unfiltered),recipient,METR,cdx:donate_exact_all,,,METR,,2024-04-23,2026-09-14,,,,,2024-04-23,day,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/donate&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","https://web.archive.org/cdx/search/cdx?url=metr.org/donate&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","[[""timestamp"",""original"",""statuscode"",""mimetype"",""digest"",""length""],
[""20240423121005"",""https://metr.org/donate"",""200"",""text/html"",""Z2ZJYGUX5H5W6SIWP3WFRE55LIDE4VYJ"",""4117""],
[""20240518233950"",""https://metr.org/donate"",""200"",""text/html"",""EBQG55XAN6FMW5XR4NMY7MXACWOIDKZA"",""3004""],
[""20240601113144"",""",2026-09-16T08:42:46Z,81 CDX rows; 81 status=200; 77 unique digest among status=200; first 20240423121005 last 20260914132047,81,https://web.archive.org/web/20240423121005id_/https://metr.org/donate,filter=statuscode:200 query returned HTTP 503 this run; unfiltered index used.,"Saved wayback-cdx-donate_exact_all-20260916T084246Z.json sha256=dd3d3633e5fae1c5b3661362897c273851171124644259fa4037ed2c0178c171. Capture timestamps are Wayback capture times, not transaction dates. filter=statuscode:200 query returned HTTP 503 this run; unfiltered index used. Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
A03,A,MDS,C09.E1,Wayback CDX wildcard url=metr.org/donate* limit=1000,recipient,METR,cdx:donate_star,,,METR,,2024-04-23,2026-02-06,,,,,2024-04-23,day,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/donate*&output=json&fl=timestamp,original,statuscode,mimetype,digest,length&limit=1000","https://web.archive.org/cdx/search/cdx?url=metr.org/donate*&output=json&fl=timestamp,original,statuscode,mimetype,digest,length&limit=1000","[[""timestamp"",""original"",""statuscode"",""mimetype"",""digest"",""length""],
[""20240423121005"",""https://metr.org/donate"",""200"",""text/html"",""Z2ZJYGUX5H5W6SIWP3WFRE55LIDE4VYJ"",""4117""],
[""20240518233950"",""https://metr.org/donate"",""200"",""text/html"",""EBQG55XAN6FMW5XR4NMY7MXACWOIDKZA"",""3004""],
[""20240601113144"",""",2026-09-16T08:36:47Z,86 CDX rows; 81 status=200; 77 unique digest among status=200; first 20240423121005 last 20260206122938,86,https://web.archive.org/web/20240423121005id_/https://metr.org/donate,"Extra originals are escaped-newline junk, not additional donor pages. Exact /donate rows used for diffs are in donate_exact_all.","Saved wayback-cdx-donate_star-20260916T083647Z.json sha256=c1e3b77d4643c99fcffc599087cbde24190c6f7626d704599d627165e3f29802. Capture timestamps are Wayback capture times, not transaction dates. Extra originals are escaped-newline junk, not additional donor pages. Exact /donate rows used for diffs are in donate_exact_all. Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
A04,A,MDS,C09.E1,Wayback CDX of https://metr.org/funding,recipient,METR,cdx:funding_path,,,METR,,,,,,,,2026-09-16,,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/funding&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","https://web.archive.org/cdx/search/cdx?url=metr.org/funding&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","[]
",2026-09-16T08:43:26Z,"none found in Wayback CDX https://web.archive.org/cdx/search/cdx?url=metr.org/funding&output=json&fl=timestamp,original,statuscode,mimetype,digest,length as of 2026-09-16T08:43:26Z",0,,Path is not a historical METR URL in CDX; live GET was HTTP 404.,"Saved wayback-cdx-funding_path-20260916T084326Z.json sha256=37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570. Capture timestamps are Wayback capture times, not transaction dates. Path is not a historical METR URL in CDX; live GET was HTTP 404. Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
A05,A,MDS,C09.E1,Wayback CDX of https://metr.org/donor,recipient,METR,cdx:donor_path,,,METR,,,,,,,,2026-09-16,,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/donor&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","https://web.archive.org/cdx/search/cdx?url=metr.org/donor&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","[]
",2026-09-16T08:32:03Z,"none found in Wayback CDX https://web.archive.org/cdx/search/cdx?url=metr.org/donor&output=json&fl=timestamp,original,statuscode,mimetype,digest,length as of 2026-09-16T08:32:03Z",0,,No such live path; sitemap has no /donor.,"Saved wayback-cdx-donor_path-20260916T083203Z.json sha256=37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570. Capture timestamps are Wayback capture times, not transaction dates. No such live path; sitemap has no /donor. Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
A06,A,MDS,C09.E1,Wayback CDX of https://metr.org/donors,recipient,METR,cdx:donors_path,,,METR,,,,,,,,2026-09-16,,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/donors&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","https://web.archive.org/cdx/search/cdx?url=metr.org/donors&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","[]
",2026-09-16T08:37:48Z,"none found in Wayback CDX https://web.archive.org/cdx/search/cdx?url=metr.org/donors&output=json&fl=timestamp,original,statuscode,mimetype,digest,length as of 2026-09-16T08:37:48Z",0,,No such live path; sitemap has no /donors.,"Saved wayback-cdx-donors_path-20260916T083748Z.json sha256=37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570. Capture timestamps are Wayback capture times, not transaction dates. No such live path; sitemap has no /donors. Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
A07,A,MDS,C09.E1,Wayback CDX index of https://metr.org/about (unfiltered) — HTTP 503 this run,,,cdx:about_exact_all,,,METR,,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","<html><head><meta charset=""UTF-8""><title>Internet Archive: Temporarily Offline</title><style>p{font-size:24px;}img{margin-bottom:2rem;}</style></head>
<body style=""padding:30px 0;"">
<div style=""float:left;width:260px;text-align:center;"">
<img xsrc=""logo_ia.jpg"" src=""data:image/jpeg;base64,iVBORw0KGg",2026-09-16T08:35:58Z,"CDX query returned HTTP 503/504 HTML, not a JSON index, as of 2026-09-16T08:35:58Z; not treated as an empty index",,,"503/504 HTML is a cap, not zero captures. See Task E. Enumeration used the index that actually returned JSON.","Saved wayback-cdx-about_exact_all_cap503-20260916T083558Z.html sha256=c0bd381fbcf795df9fc771b4e023176559403efeccf40ce62ea6cb446ce4a2ed. Not counted as none-found. Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
A08,A,MDS,C09.E1,Wayback CDX of https://metr.org/support,recipient,METR,cdx:support_path,,,METR,,,,,,,,2026-09-16,,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/support&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","https://web.archive.org/cdx/search/cdx?url=metr.org/support&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","[]
",2026-09-16T09:25:01Z,"none found in Wayback CDX https://web.archive.org/cdx/search/cdx?url=metr.org/support&output=json&fl=timestamp,original,statuscode,mimetype,digest,length as of 2026-09-16T09:25:01Z",0,,,"Saved wayback-cdx-support_path-20260916T092501Z.json sha256=37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570. Capture timestamps are Wayback capture times, not transaction dates.  Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
A09,A,MDS,C09.E1,Wayback CDX of https://metr.org/supporters,,,cdx:supporters_path,,,METR,,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/supporters&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","https://web.archive.org/cdx/search/cdx?url=metr.org/supporters&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","<html><head><meta charset=""UTF-8""><title>Internet Archive: Temporarily Offline</title><style>p{font-size:24px;}img{margin-bottom:2rem;}</style></head>
<body style=""padding:30px 0;"">
<div style=""float:left;width:260px;text-align:center;"">
<img xsrc=""logo_ia.jpg"" src=""data:image/jpeg;base64,iVBORw0KGg",2026-09-16T08:47:45Z,"CDX query returned HTTP 503/504 HTML, not a JSON index, as of 2026-09-16T08:47:45Z; not treated as an empty index",,,"503/504 HTML is a cap, not zero captures. See Task E. Enumeration used the index that actually returned JSON.","Saved wayback-cdx-supporters_path-20260916T084745Z.html sha256=e084d527921708642a79724e9f0210da659bbc0905c6ce9a3a1f416e4628091c. Not counted as none-found. Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
A10,A,MDS,C09.E1,Wayback CDX index of https://metr.org/blog/2026-08-14-funding-update/,,,cdx:funding_update,,,METR,,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,archives,"https://web.archive.org/cdx/search/cdx?url=metr.org/blog/2026-08-14-funding-update/&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","https://web.archive.org/cdx/search/cdx?url=metr.org/blog/2026-08-14-funding-update/&output=json&fl=timestamp,original,statuscode,mimetype,digest,length","<html>
<head><title>504 Gateway Time-out</title></head>
<body>
<center><h1>504 Gateway Time-out</h1></center>
<hr><center>nginx</center>
</body>
</html>
",2026-09-16T09:12:18Z,"CDX query returned HTTP 503/504 HTML, not a JSON index, as of 2026-09-16T09:12:18Z; not treated as an empty index",,,"503/504 HTML is a cap, not zero captures. See Task E. Enumeration used the index that actually returned JSON.","Saved wayback-cdx-funding_update-20260916T091218Z.html sha256=c9c89d274726b86306e1c97d80360f820bce86042c34c9bb2487aac4ada6d606. Not counted as none-found. Page appearance is not a gift, grant, or payment. research/STATE.md read before adding facts; seed MDT0001-MDT0003 were locators only and were re-verified against this-run CDX/live primaries. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated."
