# MD07-jane-street-individuals.csv
# fetch_window=2026-09-16T09:57:48Z/2026-09-16T10:07:25Z
# routes_used=live GET metr.org/about,/blog/2026-08-14-funding-update/,/donate; Wayback id_ metr.org/about 20240423101403,20241231011203,20251207085707,20260601232933; live GET anthropic.com Series E/F/G/H and /news; CourtListener RECAP Doc 10241-1 PDF + v4 search Jane Street Global Trading Anthropic; janestreet.com home/who-we-are/what-we-do/search?q=METR,/giving; ProPublica Nonprofit Explorer API v2 (EIN 99-1219864, q=Jane Street, q=Jane Street Capital); IRS e-file XML GivingTuesday S3 202523209349300367; Founders Pledge /grantees/metr; GWWC /charities/arc-evals; Longview /artificial-intelligence and /about; SFC/SFF; EA Forum search HTML + GraphQL POST; X Latest keyword search + fxtwitter hydrate of METR_Evals/2088403780551442683; Candid search; Coefficient /grants; IRS TEOS search/api/details; every.org/metr; SEC EDGAR efts; USAspending spending_by_award POST; CA OAG charities + rct.doj.ca.gov; NY charities landing; WSJ jane-street-ai
# caps_hit=IRS TEOS HTTP 403 (jina Cloudflare); every.org HTTP 429/Vercel checkpoint (jina Cloudflare); Candid login wall; Coefficient /grants redirected to closed Grants Associate job; USAspending POST 422 then 502; CA RCT HTTP 404; NY charities JS-only shell; WSJ HTTP 401 JS challenge; Wayback CDX from=20250701 HTTP 503; EA Forum GraphQL 400 and JS-thin search UI; X Latest not a complete index; SEC efts 214 hits none with Anthropic PBC as filer in first 100; public-charity Schedule B contributor fields RESTRICTED
# no_kevinnbass_sources=true
# primary_dir=research/primary/MD07-jane-street-individuals/; money types not summed; firm Anthropic positions are not METR gifts; unnamed Jane Street individuals are not identified
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
1,A,MDF,C02.E2,individuals from Jane Street,unnamed natural-person class,,individuals from Jane Street,individuals from Jane Street,,METR (Model Evaluation and Threat Research),named supporter class (no individual named),,,,,,,,,,"acknowledged as a supporter; amount, date, vehicle and money type not disclosed by the source",,,,,,,,,,,,,issuer statements,GET https://metr.org/about (live HTML; funding paragraph),https://metr.org/about,"to individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org; the AI Security Institute; pooled funds such as those of Longview Philanthropy and Effe",2026-09-16T09:57:48Z,,,,,"Independent live fetch saved as metr-about-20260916T095748Z.html. METR names 'individuals from Jane Street' as a class of natural persons and does not name Jane Street the firm as a donor. Amount, date, vehicle and individual identities are not stated, so money_type is left empty. Farhi, Ralston, Field and Newman appear later as 'many others, such as' and are not identified here as Jane Street individuals (MD08). A thank-you is not a filing and is not a payment."
2,A,MDF,C02.E2,individuals from Jane Street,unnamed natural-person class,,individuals from Jane Street,individuals from Jane Street,,METR (Model Evaluation and Threat Research),named supporter class (no individual named),,,,,,,2026-08-14,day,,"acknowledged as a supporter; amount, date, vehicle and money type not disclosed by the source",,,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/ (live HTML),https://metr.org/blog/2026-08-14-funding-update/,"Thank you to everyone who has supported METR over the years: The Audacious Project, through which we received our first institutional-scale funding; individuals from Jane Street; foundations like the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences and the Packard Foundation; and m",2026-09-16T09:57:48Z,,,,,"Independent live fetch saved as metr-funding-update-20260916T095748Z.html. Same class wording: 'individuals from Jane Street'. METR names individuals, not the firm. The post date 2026-08-14 is the statement date, not a gift date. The post's around $71 million commitments sentence is a separate fact (C01) and is not an amount for this class. money_type empty."
3,A,MDT,C02.E2,METR_Evals 2026-08-14 thank-you naming individuals from Jane Street,,,individuals from Jane Street,individuals from Jane Street,,METR,public thank-you (unnamed class),,,,,,,2026-08-14,day,,,,,,,,,,,,,,,issuer statements,GET https://api.fxtwitter.com/status/2088403780551442683 (hydrate of https://x.com/METR_Evals/status/2088403780551442683),https://x.com/METR_Evals/status/2088403780551442683,"Thank you to everyone who has supported METR over the years: The Audacious Project, through which we received our first institutional-scale funding; individuals from Jane Street; foundations like the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences and the Packard Foundation; and m",2026-09-16T09:57:48Z,,,,,"METR's own X account restates the funding-update thank-you, including 'individuals from Jane Street', and links metr.org/about#funding. Issuer self-publication, not a third-party paraphrase. METR names individuals, not the firm. Hydrated via fxtwitter; saved metr-x-fxtwitter-20260916T095748Z.json. Still no individual names or amounts."
4,A,MDT,C02.E2,Wayback metr.org/about 2026-06-01 lacks the Jane Street class wording,,,individuals from Jane Street,,,METR,,,,,,,,2026-06-01,day,,,,,,,,,,,,,,,archives,"GET https://web.archive.org/web/20260601232933id_/https://metr.org/about ; also 20240423101403, 20241231011203, 20251207085707 id_ captures",https://web.archive.org/web/20260601232933id_/https://metr.org/about,"and a wide range of individuals directly, such as David Farhi, Dylan Field, Geoff Ralston, and Steve Newman.</p>

    <p>We are grateful to all our supporters for making METR’s work possible. Please consider joining them <a href=""https://www.every.org/metr?donateTo=metr#/donate/bank"">here</a>.</p>

",2026-09-16T09:57:48Z,none found in Wayback metr.org/about 20260601232933id_ for the string 'individuals from Jane Street' as of 2026-09-16T09:57:48Z,0,live about page and 2026-08-14 funding-update (this lane rows 1-2),CDX from=20250701 returned HTTP 503 this run; captures after 2026-06-01 other than live were not enumerated from CDX. A page-appearance date is not a gift date.,"Dated archive capture saved as wayback-about-20260601-20260916T095748Z.html (Wayback raw id_). On 2026-06-01 the about-page funding paragraph names foundations and 'a wide range of individuals directly, such as' Farhi/Field/Ralston/Newman, and does not contain 'individuals from Jane Street' or 'Jane Street'. Earlier id_ captures 20240423 and 20241231 also lack the string; 20251207 names Geoff Ralston only among individuals and lacks Jane Street. Live 2026-09-16 and the 2026-08-14 post contain the class wording. This dates when METR's public wording included the class; it does not date a gift."
5,B,MDE,C05.E1;C05.E3,"Jane Street Global Trading, LLC",investment entity (limited liability company),Jane Street (purchaser name on FTX estate Exhibit 1),purchaser named in Case 22-11068-JTD Doc 10241-1 Exhibit 1,"Jane Street Global Trading, LLC",,Anthropic PBC,legal purchaser of Anthropic Series B Preferred from FTX estate,,,,,,,,,,,,,,,,,,,,,,,court dockets,GET https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,"Jane Street Global Trading, LLC                                         3,332,833            $99,999,988
    Certain funds managed by Fidelity Management &
                                                                            1,499,775            $44,999,999
    Research Company LLC 3
    HOF ",2026-09-16T09:57:48Z,,,,,"Entity-separation row (C05.E3): the court names Jane Street Global Trading, LLC as purchaser, which is not 'individuals from Jane Street' and is not Jane Street Capital as METR donor. A firm investment is not a donation by an individual and is not a METR gift. Do not merge Jane Street the named issuer participant, Jane Street Global Trading, LLC, or any natural-person purchaser with METR's unnamed class 'individuals from Jane Street'. Saved court-ftx-10241-1-20260916T095748Z.pdf and .txt. In re FTX Trading Ltd., D. Del. 22-11068, Doc 10241-1 Exhibit 1, filed 2024-03-22."
6,B,MDR,C05.E1;C05.E3,"Jane Street Global Trading, LLC FTX-estate purchase of Anthropic shares",investment entity (limited liability company),,"Jane Street Global Trading, LLC","Jane Street Global Trading, LLC",,Anthropic PBC (shares of Series B Preferred purchased from FTX estate),court-documented share purchase from the FTX estate,2024-03-22,,investments,equity_value,99999988,USD,2024-03-22,day,,,,,,,"3,332,833 shares for $99,999,988",,,,,,,yes (court Exhibit 1 line item),court dockets,CourtListener RECAP gov.uscourts.deb.188450.10241.1.pdf Exhibit 1,https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,"Jane Street Global Trading, LLC                                         3,332,833            $99,999,988
    Certain funds managed by Fidelity Management &
                                                                            1,499,775            $44,999,999
    Research Company LLC 3
    HOF ",2026-09-16T09:57:48Z,,,,,"Round: FTX estate sale #1 of Anthropic shares; date 2024-03-22; source=court Exhibit 1. Purchaser Jane Street Global Trading, LLC; 3,332,833 shares; aggregate purchase price $99,999,988. A firm investment is not a donation by an individual and is not a METR gift. Do not merge Jane Street the named issuer participant, Jane Street Global Trading, LLC, or any natural-person purchaser with METR's unnamed class 'individuals from Jane Street'. Do not sum this equity_value with METR commitments. Saved court-ftx-10241-1-20260916T095748Z.pdf."
7,B,MDE,C05.E3,Craig Falls,individual,,purchaser named in Case 22-11068-JTD Doc 10241-1 Exhibit 1,Craig Falls,,Anthropic PBC,natural-person purchaser of Anthropic Series B Preferred from FTX estate (not the Jane Street LLC; not a METR donor identification),,,,,,,,,,,,,,,,,,,,,,,court dockets,"GET Exhibit 1 line 'Craig Falls' on the same PDF as the Jane Street Global Trading, LLC line",https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,"Craig Falls                                                              666,667             $20,003,010
    MW LSVC Anthropic, LLC                                                   609,908             $18,299,985
    Constitutional AI Governance Fund 2 LLC                                  599,910  ",2026-09-16T09:57:48Z,,,,,"Entity-separation only: Exhibit 1 names Craig Falls as a natural-person purchaser (666,667 shares, $20,003,010), on the same list as Jane Street Global Trading, LLC. He is not merged with the LLC, with Jane Street the issuer-named participant, or with METR's unnamed class 'individuals from Jane Street'. This row does not identify him as a METR donor and is not a first-person METR gift (Task C). A court-named Anthropic purchaser is not a METR gift."
8,B,MDR,C05.E3,Craig Falls FTX-estate purchase of Anthropic shares,individual,,Craig Falls,Craig Falls,,Anthropic PBC (shares of Series B Preferred purchased from FTX estate),"court-documented share purchase from the FTX estate by a named natural person (not Jane Street Global Trading, LLC)",2024-03-22,,investments,equity_value,20003010,USD,2024-03-22,day,,,,,,,"666,667 shares for $20,003,010",,,,,,,yes (court Exhibit 1 line item),court dockets,CourtListener RECAP gov.uscourts.deb.188450.10241.1.pdf Exhibit 1 line Craig Falls,https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,"Craig Falls                                                              666,667             $20,003,010
    MW LSVC Anthropic, LLC                                                   609,908             $18,299,985
    Constitutional AI Governance Fund 2 LLC                                  599,910  ",2026-09-16T09:57:48Z,,,,,"Round: FTX estate sale #1; date 2024-03-22; source=court Exhibit 1. Natural-person purchaser, not the Jane Street LLC line. A firm investment is not a donation by an individual and is not a METR gift. Do not merge Jane Street the named issuer participant, Jane Street Global Trading, LLC, or any natural-person purchaser with METR's unnamed class 'individuals from Jane Street'. This lane does not treat this purchase as a METR donation and does not identify the purchaser as one of METR's unnamed 'individuals from Jane Street'. Do not sum with METR commitments."
9,B,MDR,C05.E1;C05.E3,Jane Street participation in Anthropic Series E,firm,Jane Street,,Jane Street,,Anthropic,priced-round participation (amount not disclosed),2025-03-03,,investments,equity_value,,,2025-03-03,day,,,,,,,,,,,,,,,issuer statements,GET https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation,https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation,"with participation from Bessemer Venture Partners, Cisco Investments, D1 Capital Partners, Fidelity Management &amp; Research Company, General Catalyst, Jane Street, Menlo Ventures and Salesforce Ventures, amongst other new and existing investors.""/><meta name=""msapplication-TileColor"" content=""1414",2026-09-16T09:57:48Z,,,,,"Round: Series E; date 2025-03-03 (visible date on issuer page); source=Anthropic issuer release. Jane Street is named as a participant; share count, dollar amount and percent are not disclosed. The $3.5B / $61.5B figures are the round, not Jane Street's stake. A firm investment is not a donation by an individual and is not a METR gift. Do not merge Jane Street the named issuer participant, Jane Street Global Trading, LLC, or any natural-person purchaser with METR's unnamed class 'individuals from Jane Street'. money_type equity_value is not a METR commitment. Saved anthropic-series-e-20260916T095748Z.html."
10,B,MDR,C05.E1;C05.E3,Jane Street participation in Anthropic Series F,firm,Jane Street,,Jane Street,,Anthropic,priced-round participation (amount not disclosed),2025-09-02,,investments,equity_value,,,2025-09-02,day,,,,,,,,,,,,,,,issuer statements,GET https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,"Insight Partners, Jane Street, Ontario Teachers&#x27; Pension Plan, Qatar Investment Authority, TPG, T. Rowe Price Associates, Inc., T. Rowe Price Investment Management, Inc., WCM Investment Management, and XN.</p><p class=""Body-module-scss-module__z40yvW__reading-column body-2 serif post-text""></p>",2026-09-16T09:57:48Z,,,,,"Round: Series F; date 2025-09-02; source=Anthropic issuer release. Jane Street is named among significant investors; amount not disclosed. $13B / $183B post-money are round figures, not a holder stake. A firm investment is not a donation by an individual and is not a METR gift. Do not merge Jane Street the named issuer participant, Jane Street Global Trading, LLC, or any natural-person purchaser with METR's unnamed class 'individuals from Jane Street'. Saved anthropic-series-f-20260916T095748Z.html."
