# metr_deep MDR table relationships.csv; scaffolded by scripts/build_tables.py 2026-09-16T04:35:10Z; ids MDRNNN; rows enter only through `python3 -m casework promote` from a reviewed lane, or from a reviewed seed import named in note; rows are never deleted, corrections append an audit note
row_id,subject,to_entity,relationship_type,start_date,end_date,task,target_prefix,element_ids,entity_type,aliases,identifier,from_entity,intermediary,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,review_verdict,lane,note
MDR0001,Jaan Tallinn (lead); Dustin Moskovitz; Eric Schmidt; James McClave; Center for Emerging Risk Research; others,Anthropic,"investment, round participation",2021-05-28,,S0 seed import,MDR,C05.E1,,,,,,,equity_value,124000000,,2021-05-28,day,,,,,,,,,,,,,,,issuer statements,,https://www.anthropic.com/news/anthropic-raises-124-million-to-build-more-reliable-general-ai-systems,individual amounts not disclosed,2026-09-14T00:00:00Z,,,,individual amounts and shares are not disclosed,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/investments.csv; seed_row_id=IV01; seed_sha256=aea193f476d320215acff79ae60a0e4bd8d137c0cb8f4e2b073a6dec342dba79; lane=research/grok-out/S0-seed-import.csv#34; review=research/agents-2026-09-15/S0-seed-import.md"
MDR0002,"Altimeter, Dragoneer, Greenoaks, Sequoia (leads); Jane Street among participants; Amazon $5B",Anthropic,"investment, round participation",2026-05-28,,S0 seed import,MDR,C05.E1,,,,,,,equity_value,65000000000,,2026-05-28,day,,,,,,,,,,,,,,,issuer statements,,https://www.anthropic.com/news/series-h,latest priced round; confidential draft S-1 submitted 2026-06-01,2026-09-14T00:00:00Z,,,,a round valuation is not any holder's stake,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/investments.csv; seed_row_id=IV10; seed_sha256=aea193f476d320215acff79ae60a0e4bd8d137c0cb8f4e2b073a6dec342dba79; lane=research/grok-out/S0-seed-import.csv#35; review=research/agents-2026-09-15/S0-seed-import.md"
MDR0003,"Dustin Moskovitz: Anthropic board observer (his own words, Stratechery interview with Ben Thompson)",Anthropic,self-described board observer,2025-10-20,,S0 seed import,MDR,C05.E1,,,,,,,,,,2025-10-20,,,,,,,,,,,,,,,,self-statements,,https://stratechery.com/2025/an-interview-with-asana-founder-dustin-moskovitz-about-ai-saas-and-safety/,"But the harder thing has been like I'm a board observer at Anthropic and we are early donors to OpenAI and there's always this tension on if you're creating capabilities, are you also creating dangerous capabilities?",2026-09-14T00:00:00Z,,,,a self-described role; no issuer document confirms it,CONFIRMED,,"seed transcription from the 10-metr pack; checked_utc is that pack's build date 2026-09-14, not a re-check in metr_deep; role=context until re-verified against the primary; seed_path=/mnt/f/projects/memes/ai-machine/10-metr/research/stakes.csv; seed_row_id=ST118; seed_sha256=11698e17469b0ad6baa28b63668c619a3aae0e768c4aec3f6ce61496b4fd04aa; lane=research/grok-out/S0-seed-import.csv#36; review=research/agents-2026-09-15/S0-seed-import.md"
MDR0004,"Jane Street Global Trading, LLC FTX-estate purchase of Anthropic shares",Anthropic PBC (shares of Series B Preferred purchased from FTX estate),court-documented share purchase from the FTX estate,2024-03-22,,B,MDR,C05.E1;C05.E3,investment vehicle,,"Jane Street Global Trading, LLC","Jane Street Global Trading, LLC",,investments,equity_value,99999988,USD,2024-03-22,day,,,,,,,"3,332,833 shares for $99,999,988",,,,,,,yes (court Exhibit 1 line item),court dockets,CourtListener RECAP gov.uscourts.deb.188450.10241.1.pdf Exhibit 1,https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,"Jane Street Global Trading, LLC                                         3,332,833            $99,999,988
    Certain funds managed by Fidelity Management &
                                                                            1,499,775            $44,999,999
    Research Company LLC 3
    HOF",2026-09-16T05:34:01Z,,,,,DIFFERS,,"Round: FTX estate sale #1 of Anthropic shares; date 2024-03-22; source=court Exhibit 1. Purchaser Jane Street Global Trading, LLC; 3,332,833 shares; aggregate purchase price $99,999,988. A firm investment is not a donation by an individual and is not a METR gift. Do not sum this equity_value with METR commitments. Saved court-ftx-10241-1-20260916T053401Z.pdf.; audit-1 2026-09-16: lane said source_class=government filings; audit-2 2026-09-16: lane said quantity_or_value=3332833 shares; audit-3 2026-09-16: lane said relationship_type=equity purchase (court-supervised secondary); lane=research/grok-out/MD07-jane-street-individuals.csv#5; review=research/agents-2026-09-16/MDREVIEW-MD07.md"
MDR0005,Jane Street participation in Anthropic Series E,Anthropic,priced-round participation (amount not disclosed),2025-03-03,,B,MDR,C05.E1;C05.E3,firm,Jane Street,,Jane Street,,investments,equity_value,,,2025-03-03,day,,,,,,,,,,,,,,,issuer statements,GET https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation,https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation,"Anthropic has raised $3.5 billion at a $61.5 billion post-money valuation. The round was led by Lightspeed Venture Partners, with participation from Bessemer Venture Partners, Cisco Investments, D1 Capital Partners, Fidelity Management & Research Company, General Catalyst, Jane Street, Menlo Venture",2026-09-16T05:34:01Z,,,,,CONFIRMED,,"Round: Series E; date 2025-03-03; source=Anthropic issuer release. Jane Street is named as a participant; share count, dollar amount and percent are not disclosed. The $3.5B / $61.5B figures are the round, not Jane Street's stake. A firm investment is not a donation by an individual and is not a METR gift. money_type equity_value is not a METR commitment. Saved anthropic-series-e-20260916T053401Z.html.; lane=research/grok-out/MD07-jane-street-individuals.csv#6; review=research/agents-2026-09-16/MDREVIEW-MD07.md"
MDR0006,Jane Street participation in Anthropic Series F,Anthropic,priced-round participation (amount not disclosed),2025-09-02,,B,MDR,C05.E1;C05.E3,firm,Jane Street,,Jane Street,,investments,equity_value,,,2025-09-02,day,,,,,,,,,,,,,,,issuer statements,GET https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,"Insight Partners, Jane Street, Ontario Teachers' Pension Plan, Qatar Investment Authority, TPG, T. Rowe Price Associates, Inc., T. Rowe Price Investment Management, Inc., WCM Investment Management, and XN. “From Fortune 500 companies to AI-native startups, our customers rely on Anthropic’s frontier",2026-09-16T05:34:01Z,,,,,CONFIRMED,,"Round: Series F; date 2025-09-02; source=Anthropic issuer release. Jane Street is named among 'Significant investors in this round'; amount not disclosed. $13B / $183B post-money are round figures, not a holder stake. A firm investment is not a donation by an individual and is not a METR gift. Saved anthropic-series-f-20260916T053401Z.html.; lane=research/grok-out/MD07-jane-street-individuals.csv#7; review=research/agents-2026-09-16/MDREVIEW-MD07.md"
MDR0007,Jane Street participation in Anthropic Series G,Anthropic,priced-round participation (amount not disclosed),2026-02-12,,B,MDR,C05.E1;C05.E3,firm,Jane Street,,Jane Street,,investments,equity_value,,,2026-02-12,day,,,,,,,,,,,,,,,issuer statements,GET https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation,https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation,"Insight Partners, Jane Street, JPMorganChase through its Security and Resiliency Initiative and Growth Equity Partners, Lightspeed Venture Partners, Menlo Ventures, Morgan Stanley Investment Management, NX1 Capital, Qatar Investment Authority (QIA), Sands Capital, Sequoia Capital, Temasek, TowerBroo",2026-09-16T05:34:01Z,,,,,CONFIRMED,,"Round: Series G; date 2026-02-12; source=Anthropic issuer release. Jane Street is named among significant investors; amount not disclosed. $30B / $380B post-money are round figures, not a holder stake. A firm investment is not a donation by an individual and is not a METR gift. Saved anthropic-series-g-20260916T053401Z.html.; lane=research/grok-out/MD07-jane-street-individuals.csv#8; review=research/agents-2026-09-16/MDREVIEW-MD07.md"
MDR0008,Jane Street participation in Anthropic Series H,Anthropic,priced-round participation (amount not disclosed),2026-05-28,,B,MDR,C05.E1;C05.E3,firm,Jane Street,,Jane Street,,investments,equity_value,,,2026-05-28,day,,,,,,,,,,,,,,,issuer statements,GET https://www.anthropic.com/news/series-h,https://www.anthropic.com/news/series-h,"Insight Partners, Jane Street, Lightspeed Venture Partners, MGX, NTTVC, NX1 Capital, Situational Awareness LP, T. Rowe Price Associates, Inc., T. Rowe Price Investment Management, Inc., and Temasek. It also includes $15 billion of previously committed investments from hyperscalers, including $5 bill",2026-09-16T05:34:01Z,,,,,CONFIRMED,,"Round: Series H; date 2026-05-28; source=Anthropic issuer release (re-verification of S0 MDR0002 against the live issuer page, not a copy of the seed capture). Jane Street is named among significant investors; amount not disclosed. $65B / $965B post-money are round figures, not a holder stake. A firm investment is not a donation by an individual and is not a METR gift. Saved anthropic-series-h-20260916T053401Z.html.; lane=research/grok-out/MD07-jane-street-individuals.csv#9; review=research/agents-2026-09-16/MDREVIEW-MD07.md"
MDR0009,Eric Schmidt,Anthropic,Series A round participation,2021-05-28,,D,MDR,C05.E1;C05.E3,individual,,,Eric Schmidt,,,equity_value,,USD,2021-05-28,day,,,,,,,,,,,,,,named participant; individual amount not disclosed,issuer statements,GET https://www.anthropic.com/news/anthropic-raises-124-million-to-build-more-reliable-general-ai-systems,https://www.anthropic.com/news/anthropic-raises-124-million-to-build-more-reliable-general-ai-systems,"The Series A round was led by Jaan Tallinn, technology investor and co-founder of Skype. The round included participation from James McClave, Dustin Moskovitz, the Center for Emerging Risk Research, Eric Schmidt, and others.",2026-09-16T05:33:57Z,named; amount undisclosed,1,,"Issuer names the individual Eric Schmidt; it does not name Hillspire, Schmidt Sciences, or a dollar amount or ownership %. $124 million is the round, not Schmidt's cheque — not written into amount_usd.",CONFIRMED,,Kept separate from any METR grant row. S0 IV01 held the same URL with checked_utc=2026-09-14; this is a live re-fetch. Primary anthropic-series-a.html-20260916T053357Z and jina-series-a.txt-20260916T054052Z.; lane=research/grok-out/MD04-schmidt-sciences.csv#15; review=research/agents-2026-09-16/MDREVIEW-MD04.md
MDR0010,"Hillspire, LLC",Anthropic,press-reported AI startup investment,,,D,MDR,C05.E1;C05.E3,family office / LLC,,,Hillspire,,,equity_value,,USD,2025-01-21,day,,,,,,,,,,,,,,named in press; cheque size undisclosed,press,Wayback id_ GET https://web.archive.org/web/20250121200726id_/https://www.cnbc.com/2025/01/21/eric-schmidts-family-office-invests-ai-startups.html,https://web.archive.org/web/20250121200726id_/https://www.cnbc.com/2025/01/21/eric-schmidts-family-office-invests-ai-startups.html,"Schmidt's bets are on some of the largest AI startups, including Anthropic, Holistic AI and SandboxAQ.",2026-09-16T05:33:57Z,named; amount undisclosed,1,,"Press, not Anthropic issuer. og:description of the archived page. Same article also states Eric Schmidt's family office, called Hillspire, has made investments in 22 private AI firms since 2019 and that dollar amounts aren't disclosed. Do not treat Hillspire's 20% D.E. Shaw management-company stake (PR Newswire 2015) as this Anthropic holding.",CONFIRMED,,Separate row from Eric Schmidt the individual (row 15) and from any METR grant. Wayback used because the live CNBC URL has been Akamai-403 in this research program; note records that. Primary cnbc-hillspire-wayback.html-20260916T053357Z.; lane=research/grok-out/MD04-schmidt-sciences.csv#16; review=research/agents-2026-09-16/MDREVIEW-MD04.md
MDR0011,AVERI names Geoff Ralston among its funders (not a METR vehicle),AVERI,named among AVERI's funders on averi.org/about; not a METR vehicle,,,B,MDF,C02.E2,individual,,,Geoff Ralston,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://www.averi.org/about,https://www.averi.org/about,"Our funders include the AI Underwriting Company, Coefficient Giving, Craig Falls, Geoff Ralston, Good Forever Foundation, Fathom, Halcyon Futures, Sympatico Ventures, and several non-executive employees and alumni of frontier AI companies.",2026-09-16T05:33:55Z,"AVERI acknowledgment; amount, date, and vehicle not stated; METR not named",1,,Not evidence of a gift to METR. Vehicle (personal vs SAIF vs DAF) not stated.,DIFFERS,,Primary: averi-about-20260916T053355Z.html. Do not merge AVERI funding with METR.; audit-1 2026-09-16: lane said relationship_type=named funder; audit-2 2026-09-16: lane said to_entity=AVERI; lane=research/grok-out/MD08-named-individual-donors.csv#25; review=research/agents-2026-09-16/MDREVIEW-MD08.md
MDR0012,David Farhi employment as reported by WIRED (OpenAI departure),OpenAI,former OpenAI research manager; left summer 2025 per WIRED 2026-07-15,,,C,MDE,C03.E3;C02.E2,individual,former OpenAI research manager,,David Farhi,,,,,,2026-07-15,day,,,,,,,,,,,,,,,press,WIRED 2026-07-15 Maxwell Zeff,https://www.wired.com/story/openai-employees-donations-guardrails-alliance-leading-the-future/,"David Farhi, a former OpenAI research manager who left the company last summer after seven years, donated $3,000 to the super PAC and will appear in the group’s July filing.",2026-09-16T05:33:55Z,WIRED reports departure from OpenAI in summer 2025 after seven years; METR gift date still undisclosed so this is not employment at the METR gift date,1,,"Departure timing is WIRED reporting, not an OpenAI personnel record. Last summer relative to 2026-07-15 means summer 2025. The $3,000 is a super PAC gift, not a METR gift.",DIFFERS,,"Gift date to METR is not disclosed, so employment at that unknown date cannot be stated as a fact. Primary: wired-farhi-guardrails-jina-20260916T053355Z.md (live HTML also saved).; audit-1 2026-09-16: lane said relationship_type=; audit-2 2026-09-16: lane said to_entity=; lane=research/grok-out/MD08-named-individual-donors.csv#26; review=research/agents-2026-09-16/MDREVIEW-MD08.md"
MDR0013,"David Farhi self-reported employer on FEC Schedule A (Guardrails Alliance) — corroboration only, not a METR gift",Guardrails Alliance (political committee; not METR),"self-reported employer SELF EMPLOYED, occupation RESEARCH MANAGER on a 2026-06-16 FEC Schedule A receipt",,,C,MDE,C03.E3,individual,,FEC image 202607159875139297; committee C00949487,David Farhi,,,,,,2026-06-16,day,,,,,,,,,,,,,,,self-statements,"GET api.open.fec.gov/v1/schedules/schedule_a/ contributor_name=farhi, david two_year_transaction_period=2026",https://api.open.fec.gov/v1/schedules/schedule_a/?contributor_name=farhi%2C+david&two_year_transaction_period=2026&per_page=20&sort=-contribution_receipt_date&api_key=DEMO_KEY,"""contributor_employer"":""SELF EMPLOYED"",""contributor_first_name"":""DAVID"",""contributor_id"":null,""contributor_last_name"":""FARHI""",2026-09-16T05:33:55Z,"Daly City CA receipt: employer SELF EMPLOYED, occupation RESEARCH MANAGER, $3000 to GUARDRAILS ALLIANCE on 2026-06-16",1,,FEC political receipt is not a gift to METR. Other Schedule A rows for the name David Farhi (Burlingame CA; Delray Beach FL) were not attributed to the METR-named person.,DIFFERS,,"Live API HTTP 429 on DEMO_KEY; same URL retrieved via r.jina.ai and saved as fec-farhi-api-20260916T053355Z.json (pagination count=27, page 1=20). Identity match to WIRED: Daly City, research manager, Guardrails Alliance, $3,000, July filing. Do not merge Burlingame SAFE SUPERINTELLIGENCE / OPENAI rows.; audit-1 2026-09-16: lane said relationship_type=; audit-2 2026-09-16: lane said to_entity=; lane=research/grok-out/MD08-named-individual-donors.csv#27; review=research/agents-2026-09-16/MDREVIEW-MD08.md"
MDR0014,"Computer History Museum profile still titles David Farhi Technical Lead, OpenAI (stale-prone)",OpenAI,"third-party profile title 'Technical Lead, OpenAI', undated and stale-prone",,,C,MDE,C03.E3,individual,,,David Farhi,,,,,,2026-09-16,day,,,,,,,,,,,,,,,press,GET https://computerhistory.org/profile/david-farhi/,https://computerhistory.org/profile/david-farhi/,"Technical Lead, OpenAI",2026-09-16T05:33:55Z,third-party profile title unchanged; contradicts treating it as current employment given WIRED departure report,1,,CHM profile is not an employer record and has no departure language.,DIFFERS,,"Primary: chm-farhi-20260916T053355Z.html. Bio also states: David Farhi joined the OpenAI Dota team as a researcher in 2018, after studying theoretical particle physics at MIT and Harvard.; audit-1 2026-09-16: lane said relationship_type=; audit-2 2026-09-16: lane said to_entity=; lane=research/grok-out/MD08-named-individual-donors.csv#28; review=research/agents-2026-09-16/MDREVIEW-MD08.md"
MDR0015,OpenAI o1 contributions page lists David Farhi under Supporting Leadership (historical credit),OpenAI,historical contributor credit on OpenAI's o1 page,,,C,MDE,C03.E3,individual,,,David Farhi,,,,,,,,,,,,,,,,,,,,,,issuer statements,GET https://openai.com/openai-o1-contributions/,https://openai.com/openai-o1-contributions/,"Aidan Clark, Aleksander Madry, Christopher Hesse, David Farhi, Jie Tang, Lilian Weng, Mia Glaese, Nick Ryder",2026-09-16T05:33:55Z,historical contributor credit; does not establish employment after summer 2025,1,,Live page HTTP 403; body via r.jina.ai saved as openai-o1-contrib-20260916T053355Z.md.,DIFFERS,,Contributor listing is not dated employment at a METR gift date.; audit-1 2026-09-16: lane said relationship_type=; audit-2 2026-09-16: lane said to_entity=; lane=research/grok-out/MD08-named-individual-donors.csv#29; review=research/agents-2026-09-16/MDREVIEW-MD08.md
MDR0016,"Dylan Field employment: President and CEO of Figma, Inc. on dated Form 4s","Figma, Inc.","President & CEO of Figma, Inc. per Form 4 2026-08-17",,,C,MDE,C02.E2;C03.E3,individual,Field Dylan,SEC CIK 0002073586,Dylan Field,,,,,,2026-08-17,day,,,,,,,,,,,,,,,SEC,Form 4 periodOfReport 2025-11-28 and 2026-08-17 officerTitle,https://www.sec.gov/Archives/edgar/data/1579878/000207358626000012/form4-08192026_100818.xml,President &amp; CEO,2026-09-16T05:33:55Z,"officerTitle President & CEO; isOfficer true; issuer Figma, Inc. Employer is Figma, Inc., distinct from any DAF and from METR.",2,,"METR gift date is not disclosed; these dates are Form 4 transaction dates, not METR gift dates.",DIFFERS,,"Same title on 2025-11-28 Form 4 (field-form4-20251128-20260916T053355Z.xml). Individual, Figma, Inc., and unnamed DAF kept separate.; audit-1 2026-09-16: lane said relationship_type=; audit-2 2026-09-16: lane said to_entity=; lane=research/grok-out/MD08-named-individual-donors.csv#30; review=research/agents-2026-09-16/MDREVIEW-MD08.md"
MDR0017,Geoff Ralston public role: former Y Combinator president; SAIF founder,Safe Artificial Intelligence Fund,former Y Combinator president; SAIF founder per TechCrunch 2025-04-17,,,C,MDE,C02.E2,individual,,,Geoff Ralston,,,,,,2025-04-17,day,,,,,,,,,,,,,,,press,GET TechCrunch 2025-04-17,https://techcrunch.com/2025/04/17/former-y-combinator-president-geoff-ralston-launches-new-ai-safety-fund/,Former Y Combinator president Geoff Ralston launches new AI,2026-09-16T05:33:55Z,dated public role is former YC president / SAIF founder; METR gift date undisclosed,1,,No source in this lane gives Ralston's employer on a METR gift date because that date is not disclosed.,DIFFERS,,"Primary: techcrunch-ralston-saif-20260916T053355Z.html. SAIF is an investment vehicle, not an employer of METR and not a METR payer here.; audit-1 2026-09-16: lane said relationship_type=; audit-2 2026-09-16: lane said to_entity=; lane=research/grok-out/MD08-named-individual-donors.csv#31; review=research/agents-2026-09-16/MDREVIEW-MD08.md"
