# fetch_window_utc=2026-09-16T17:38:37Z/2026-09-16T17:58:41Z
# routes_used=about_exact_try1=https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timesta; about_exact_try2=https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timesta; about_exact_try3=https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timesta; about_exact_try4=https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timesta; about_exact_https=https://web.archive.org/cdx/search/cdx?url=https://metr.org/about&output=json&fl; about_exact_https_try2=https://web.archive.org/cdx/search/cdx?url=https://metr.org/about&output=json&fl; about_exact_https_try3=https://web.archive.org/cdx/search/cdx?url=https://metr.org/about&output=json&fl; about_exact_filter200=https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timesta; about_star=https://web.archive.org/cdx/search/cdx?url=metr.org/about*&output=json&fl=timest; about_star_try2=https://web.archive.org/cdx/search/cdx?url=metr.org/about*&output=json&fl=timest; about_star_try3=https://web.archive.org/cdx/search/cdx?url=metr.org/about*&output=json&fl=timest; donate_exact=https://web.archive.org/cdx/search/cdx?url=metr.org/donate&output=json&fl=timest; donate_exact_try2=https://web.archive.org/cdx/search/cdx?url=metr.org/donate&output=json&fl=timest; donate_exact_try3=https://web.archive.org/cdx/search/cdx?url=metr.org/donate&output=json&fl=timest; funding_update=https://web.archive.org/cdx/search/cdx?url=metr.org/blog/2026-08-14-funding-upda; funding_path=https://web.archive.org/cdx/search/cdx?url=metr.org/funding&output=json&fl=times; support_path=https://web.archive.org/cdx/search/cdx?url=metr.org/support&output=json&fl=times; supporters_path=https://web.archive.org/cdx/search/cdx?url=metr.org/supporters&output=json&fl=ti; donor_path=https://web.archive.org/cdx/search/cdx?url=metr.org/donor&output=json&fl=timesta; donors_path=https://web.archive.org/cdx/search/cdx?url=metr.org/donors&output=json&fl=timest; about_star_cool1=https://web.archive.org/cdx/search/cdx?url=metr.org/about*&output=json&fl=timest; about_exact_cool1=https://web.archive.org/cdx/search/cdx?url=metr.org/about&output=json&fl=timesta; audacious_cdx=https://web.archive.org/cdx/search/cdx?url=metr.org/blog/2024-10-09-new-support-; about_timemap_link=https://web.archive.org/web/timemap/link/https://metr.org/about; about_timemap_cdx=https://web.archive.org/web/timemap/cdx/https://metr.org/about; about_calendar=https://web.archive.org/__wb/calendarcaptures/2?url=https://metr.org/about&granu; about_slash=https://web.archive.org/cdx/search/cdx?url=metr.org/about/&output=json&fl=timest; about_www=https://web.archive.org/cdx/search/cdx?url=www.metr.org/about&output=json&fl=tim; id_probe=https://web.archive.org/web/20260818223548id_/https://metr.org/about; live GET https://metr.org/about HTTP 200; live GET https://metr.org/blog/2026-08-14-funding-update/ HTTP 200; live GET https://metr.org/donate HTTP 200; live GET https://metr.org/funding HTTP 404; live GET https://metr.org/support HTTP 404; live GET https://metr.org/supporters HTTP 404; live GET https://metr.org/donor HTTP 404; live GET https://metr.org/donors HTTP 404; Wayback id_ unique-digest firsts n=172
# caps_hit=about_exact_try1 HTTP 503; about_exact_try2 HTTP 504; about_exact_try3 HTTP 0; about_exact_try4 HTTP 0; about_exact_https HTTP 503; about_exact_https_try2 HTTP 503; about_exact_https_try3 HTTP 0; about_exact_filter200 HTTP 0; about_star HTTP 0; about_star_try2 HTTP 0; about_star_try3 HTTP 503; donate_exact HTTP 503; donate_exact_try2 HTTP 503; donate_exact_try3 HTTP 503; funding_update HTTP 504; support_path HTTP 503; supporters_path HTTP 503; about_star_cool1 HTTP 503; about_exact_cool1 HTTP 503; audacious_cdx HTTP 503; about_slash HTTP 503; about_www HTTP 0; id_probe HTTP 0
# no_kevinnbass_sources=true
# research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only (re-verified, not copied as this-run hashes); this lane did not contact anyone or ask how the approximately $71 million was composed; embargo: nothing sent
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDT,C02.E1;C09.E1,METR live about-page named-supporter list (this-run capture),recipient,METR,sha256:8f2d3c6d04d7834019120d2993616b517c956fb525c2ee35bbb7218b3f9651b2,,,METR,,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/about,https://metr.org/about,"<p>METR is funded by donations. We are grateful to METR’s many supporters: from METR’s first institutional-scale funding through <a href=""https://www.audaciousproject.org/"">The Audacious Project</a> (a funding initiative housed at TED); to individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org; the AI Security Institute; pooled funds such as those of Longview Philanthropy and Effektiv Spenden; recommendations by the Survival and Flourishing Fund; and many others, such as David Farhi, Geoff Ralston, Dylan Field and Steve Newman.</p>",2026-09-16T17:38:37Z,"live about named-supporter list. HTTP 200; bytes=97252; sha256=8f2d3c6d04d7834019120d2993616b517c956fb525c2ee35bbb7218b3f9651b2; checked_utc=2026-09-16T17:38:37Z; primary=metr-org-about.html-20260916T173837Z. complete funding-section text: METR is funded by donations. We are grateful to METR’s many supporters: from METR’s first institutional-scale funding through The Audacious Project (a funding initiative housed at TED); to individuals from Jane Street; foundations such as the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences, the Packard Foundation, LaCentra-Sumerlin Foundation, Astralis Foundation and Expa.org; the AI Security Institute; pooled funds such as those of Longview Philanthropy and Effektiv Spenden; recommendations by the Survival and Flourishing Fund; and many others, such as David Farhi, Geoff Ralston, Dylan Field and Steve Newman. Please consider joining them here . (Note: METR cannot accept donations made by or at the direction of frontier AI company employees.) Additionally, a small part of our income is from a technical assistance contract with the European AI Office, supporting their approach and technical methods for assessing loss of control risks. METR has not accepted funding from AI companies, though we make use of significant free tokens, which we use for evaluations, research, and engineering, as noted above. Independent funding has been crucial for our ability to pursue the most promising research directions and set standards for evidence-based understanding of risks from AI. It is also part of how we ensure that our research is as accurate as possible.",18,https://metr.org/about#funding,,"C02.E1: METR's own named-supporter list with capture date 2026-09-16T17:38:37Z and page version sha256=8f2d3c6d04d7834019120d2993616b517c956fb525c2ee35bbb7218b3f9651b2. Names in this-run paragraph: The Audacious Project; individuals from Jane Street; Sijbrandij Foundation; The Pew Charitable Trusts; Schmidt Sciences; Packard Foundation; LaCentra-Sumerlin Foundation; Astralis Foundation; Expa.org; AI Security Institute; Longview Philanthropy; Effektiv Spenden; Survival and Flourishing Fund; David Farhi; Geoff Ralston; Dylan Field; Steve Newman; European AI Office. jane_street_wording=present; individuals_directly_wording=absent. Quotes and hashes are from this-run primary, not MD24/seed. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
A02,A,MDT,C02.E1;C09.E1,METR live 2026-08-14 funding-update supporter thank-you paragraph,recipient,METR,sha256:af954616953d9133dba02548fb5e3eab8372b6fc578393a35dced947c5ee1968,,,METR,,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/blog/2026-08-14-funding-update/,https://metr.org/blog/2026-08-14-funding-update/,"<p>Thank you to everyone who has supported METR over the years: The Audacious Project, through which we received our first institutional-scale funding; individuals from Jane Street; foundations like the Sijbrandij Foundation, The Pew Charitable Trusts, Schmidt Sciences and the Packard Foundation; and many others, including David Farhi, Geoff Ralston, Dylan Field and Steve Newman. See more on <a href=""/about#funding"">our About page</a>.</p>",2026-09-16T17:38:37Z,"live funding-update thank-you list. HTTP 200; bytes=50832; sha256=af954616953d9133dba02548fb5e3eab8372b6fc578393a35dced947c5ee1968; checked_utc=2026-09-16T17:38:37Z; primary=metr-org-funding-update.html-20260916T173837Z. alt=METR has been supported over the years by: The Audacious Project, Sijbrandij Foundation, Pew, Schmidt Sciences, Packard Foundation, LaCentra-Sumerlin Foundation Frontier Fund, Astralis Foundation, Expa.org, AI Security Institute, Longview Philanthropy, Effektiv Spenden, Survival & Flourishing Fund, individuals from Jane Street, David Farhi, Geoff Ralston, Dylan Field, Steve Newman, and many others.",17,,"thank-you list is historical naming, not a composition of the ~$71 million","HTTP 200; bytes=50832; sha256=af954616953d9133dba02548fb5e3eab8372b6fc578393a35dced947c5ee1968; checked_utc=2026-09-16T17:38:37Z; primary=metr-org-funding-update.html-20260916T173837Z. Names in thank-you+alt: The Audacious Project; individuals from Jane Street; Sijbrandij Foundation; The Pew Charitable Trusts; Schmidt Sciences; Packard Foundation; LaCentra-Sumerlin Foundation; Astralis Foundation; Expa.org; AI Security Institute; Longview Philanthropy; Effektiv Spenden; Survival & Flourishing Fund; David Farhi; Geoff Ralston; Dylan Field; Steve Newman. Not an allocation of the approximately $71 million. Quotes and hashes are from this-run primary, not MD24/seed. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
A03,A,MDS,C02.E1;C09.E1,METR live donate page (named-supporter list check),recipient,METR,sha256:a0cde7ecf310c5c27fe3479ebb4af3a7ef1322a093f8245f0a2130d26cfaf967,,,METR,,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,issuer statements,GET https://metr.org/donate,https://metr.org/donate,"<p>Donations fund our assessment of AI capabilities, risks and mitigations, and are crucial for our ability to pursue groundbreaking projects. We keep our evaluations independent and trustworthy by relying on support from a wide range of independent donors.</p>",2026-09-16T17:38:37Z,none found in https://metr.org/donate as of 2026-09-16T17:38:37Z,0,,"live donate has independence/donation-method copy and the employee-direction rule; it does not name foundations, pooled funds, a government body, or individuals","HTTP 200; bytes=36002; sha256=a0cde7ecf310c5c27fe3479ebb4af3a7ef1322a093f8245f0a2130d26cfaf967; checked_utc=2026-09-16T17:38:37Z; primary=metr-org-donate.html-20260916T173837Z. Quotes and hashes are from this-run primary, not MD24/seed. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
B01,B,MDS,C09.E1,Wayback CDX index used for metr.org/about (about_timemap_cdx),recipient,METR,cdx:about_timemap_cdx,,,METR,,,,,,,,2026-09-16,day,,,,,,,,,,,,,,,archives,https://web.archive.org/web/timemap/cdx/https://metr.org/about,https://web.archive.org/web/timemap/cdx/https://metr.org/about,"org,metr)/about 20240423101403 https://metr.org/about text/html 200 6GXCMXBDE43DGNLGEJ3ZVPSGO44P3TL6 5684
org,metr)/about 20241231011203 https://metr.org/about text/html 200 N5FU2POQN6CMDT6UXTNCX6BBUULIRIUQ 14081
org,metr)/about 20241231011215 https://metr.org/about text/html 200 6OO6J6QOVYBVB5ANDOIKDUFZJ6ZB23RL 14375
org,metr)/about 20250107002813 https://metr.org/about text/html 200 QOU2DX3OGI3CP2P3QHGIZG3RUZAOMC4I 14140
org,metr)/about 20250114005420 https://metr.org/about text/html 200 2LKCADQIVQEKRJEBYRCKIIU7NRZUEPTC 13624
org,metr)/about 20250114031843 https://metr.org/about text/html 200 SYWVX4L4URJTS5VXJZFZY7J7ULV5XNLC 11978
org,metr)/about 20250114133355 https://metr.org/about text/html 200 6VD6KRVQDQNMJMZ2OJLUYMPBBJWCUFO2 13892
org,metr)/about 20250121005717 https://metr.org/about text/html 200 KAWJ6IFX7POL5BTAOBHI6TNPEKFGBAY3 13577
org,metr)/about 20250121092221 https://metr.org/about text/html 200 GGWNYVEO4TKEHSWHXGUJK4NXNNC3X56R 13907
org,metr)/about 20250125050633 https://metr.org/about text/html 200 N734I5G4NI2HHZFHL6I5WMFGFCIIP725 13442
org,metr)/about 20250128011403 https://metr.org/about text/html 200 7VJWFP5LOQZBYCEBORKMTU7QQ4V2SLEK 13703
org,metr)/about 20250130",2026-09-16T17:45:59Z,TimeMap/CDX index rows=190; exact-about rows=190; unique digest status=200 firsts=172; sha256=a9960e6ffbbce0ac2ee895c97df8f9932d375be9b47173d55d6f64e975985ce6; primary=wayback-cdx-about_timemap_cdx.bin-20260916T174559Z; kind=cdx_txt,190,,Exact url=metr.org/about JSON CDX API was a 503/504/0 cap this run; this TimeMap CDX text/plain is the substitute that enumerated captures (not output=json).,"Enumeration coverage fact. Capture timestamps are not transaction dates. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
B02,B,MDT,C02.E1;C09.E1;C09.E3,About page supporter paragraph unique-digest capture 20240423101403,recipient,METR,6GXCMXBDE43DGNLGEJ3ZVPSGO44P3TL6,,,METR,,,,,,,,2024-04-23,day,2024-04-23T10:14:03Z,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20240423101403id_/https://metr.org/about,https://web.archive.org/web/20240423101403id_/https://metr.org/about,<title>About METR</title>,2026-09-16T17:48:07Z,none found in https://web.archive.org/web/20240423101403id_/https://metr.org/about as of 2026-09-16T17:48:07Z: no supporter paragraph in this unique-digest capture 20240423101403. HTTP 200; bytes=19086; sha256=d27dee22b028c21baa6f1437a9b98cfb869d340223fdbb098baf310d5494d146,0,,"Page appearance / capture timestamp is not a gift, grant, or payment date.","Saved wayback-about-20240423101403id_.html-20260916T174807Z sha256=d27dee22b028c21baa6f1437a9b98cfb869d340223fdbb098baf310d5494d146. This is a dated version of METR's named-supporter list (or its absence). Later recapture of the same digest is not a new version. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
B03,B,MDT,C02.E1;C09.E1;C09.E3,About page supporter paragraph unique-digest capture 20241231011203,recipient,METR,N5FU2POQN6CMDT6UXTNCX6BBUULIRIUQ,,,METR,,,,,,,,2024-12-31,day,2024-12-31T01:12:03Z,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20241231011203id_/https://metr.org/about,https://web.archive.org/web/20241231011203id_/https://metr.org/about,<title>About METR</title>,2026-09-16T17:48:07Z,none found in https://web.archive.org/web/20241231011203id_/https://metr.org/about as of 2026-09-16T17:48:07Z: no supporter paragraph in this unique-digest capture 20241231011203. HTTP 200; bytes=49751; sha256=807ee22d356a8b284b30a8630a55bc558450db135978bfb697ee64fa727add2a,0,,"Page appearance / capture timestamp is not a gift, grant, or payment date.","Saved wayback-about-20241231011203id_.html-20260916T174807Z sha256=807ee22d356a8b284b30a8630a55bc558450db135978bfb697ee64fa727add2a. This is a dated version of METR's named-supporter list (or its absence). Later recapture of the same digest is not a new version. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
B04,B,MDT,C02.E1;C09.E1;C09.E3,About page supporter paragraph unique-digest capture 20241231011215,recipient,METR,6OO6J6QOVYBVB5ANDOIKDUFZJ6ZB23RL,,,METR,,,,,,,,2024-12-31,day,2024-12-31T01:12:15Z,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20241231011215id_/https://metr.org/about,https://web.archive.org/web/20241231011215id_/https://metr.org/about,<title>About METR</title>,2026-09-16T17:48:18Z,none found in https://web.archive.org/web/20241231011215id_/https://metr.org/about as of 2026-09-16T17:48:18Z: no supporter paragraph in this unique-digest capture 20241231011215. HTTP 200; bytes=49751; sha256=25295567594bb51d5e80f9fea4d00008234e419c2d11f1d39baa77ca1eb5ba7f,0,,"Page appearance / capture timestamp is not a gift, grant, or payment date.","Saved wayback-about-20241231011215id_.html-20260916T174818Z sha256=25295567594bb51d5e80f9fea4d00008234e419c2d11f1d39baa77ca1eb5ba7f. This is a dated version of METR's named-supporter list (or its absence). Later recapture of the same digest is not a new version. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
B05,B,MDT,C02.E1;C09.E1;C09.E3,About page supporter paragraph unique-digest capture 20250107002813,recipient,METR,QOU2DX3OGI3CP2P3QHGIZG3RUZAOMC4I,,,METR,,,,,,,,2025-01-07,day,2025-01-07T00:28:13Z,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20250107002813id_/https://metr.org/about,https://web.archive.org/web/20250107002813id_/https://metr.org/about,<title>About METR</title>,2026-09-16T17:58:02Z,none found in https://web.archive.org/web/20250107002813id_/https://metr.org/about as of 2026-09-16T17:58:02Z: no supporter paragraph in this unique-digest capture 20250107002813. HTTP 200; bytes=49717; sha256=61a4aec227ae817c95c22668b5c1229e1a790d1e975d55e5359fb391a4562f9e,0,,"Page appearance / capture timestamp is not a gift, grant, or payment date.","Saved wayback-about-20250107002813id_.html-20260916T175802Z sha256=61a4aec227ae817c95c22668b5c1229e1a790d1e975d55e5359fb391a4562f9e. This is a dated version of METR's named-supporter list (or its absence). Later recapture of the same digest is not a new version. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
B06,B,MDT,C02.E1;C09.E1;C09.E3,About page supporter paragraph unique-digest capture 20250114005420,recipient,METR,2LKCADQIVQEKRJEBYRCKIIU7NRZUEPTC,,,METR,,,,,,,,2025-01-14,day,2025-01-14T00:54:20Z,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20250114005420id_/https://metr.org/about,https://web.archive.org/web/20250114005420id_/https://metr.org/about,<title>About METR</title>,2026-09-16T17:48:22Z,none found in https://web.archive.org/web/20250114005420id_/https://metr.org/about as of 2026-09-16T17:48:22Z: no supporter paragraph in this unique-digest capture 20250114005420. HTTP 200; bytes=47635; sha256=155cbef9cc5908c0ac66abe11ea90bbcac4e94be9ca434163f526e01678e86be,0,,"Page appearance / capture timestamp is not a gift, grant, or payment date.","Saved wayback-about-20250114005420id_.html-20260916T174822Z sha256=155cbef9cc5908c0ac66abe11ea90bbcac4e94be9ca434163f526e01678e86be. This is a dated version of METR's named-supporter list (or its absence). Later recapture of the same digest is not a new version. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
B07,B,MDT,C02.E1;C09.E1;C09.E3,About page supporter paragraph unique-digest capture 20250114031843,recipient,METR,SYWVX4L4URJTS5VXJZFZY7J7ULV5XNLC,,,METR,,,,,,,,2025-01-14,day,2025-01-14T03:18:43Z,,,,,,,,,,,,,,archives,GET https://web.archive.org/web/20250114031843id_/https://metr.org/about,https://web.archive.org/web/20250114031843id_/https://metr.org/about,<title>About METR</title>,2026-09-16T17:48:23Z,none found in https://web.archive.org/web/20250114031843id_/https://metr.org/about as of 2026-09-16T17:48:23Z: no supporter paragraph in this unique-digest capture 20250114031843. HTTP 200; bytes=47635; sha256=0e42f25dca73ca558c7b28fdf17fa9dbd9c4ff6a6aa66034ecd585f7ad30d215,0,,"Page appearance / capture timestamp is not a gift, grant, or payment date.","Saved wayback-about-20250114031843id_.html-20260916T174823Z sha256=0e42f25dca73ca558c7b28fdf17fa9dbd9c4ff6a6aa66034ecd585f7ad30d215. This is a dated version of METR's named-supporter list (or its absence). Later recapture of the same digest is not a new version. research/STATE.md read before adding facts; seed MDT0001-MDT0003, supporter_coverage.csv, and MD24 chronology were locators only and were re-verified, not copied as this-run hashes or checked_utc. Capture timestamps are Wayback capture times, not gift, grant, or payment dates. no_kevinnbass_sources. This lane did not contact METR, a funder, a donor, an employee or a records custodian and did not ask how the approximately $71 million was composed or allocated. No Jane Street natural person is named who is not already on METR's public list (the list names a class only)."
