# fetch_window_utc=2026-09-16T17:34:41Z/2026-09-16T17:40:13Z
# routes_used=Bluesky bsky.app HTML + public.api.bsky.app getPostThread/getAuthorFeed (searchPosts 403); Stratechery live GET; X x.com profile/status/search + api.fxtwitter.com; Good Ventures www.goodventures.org (home, our-story, governance, press, speaking, our-giving, ?s=Anthropic); Coefficient Giving coefficientgiving.org (home, our-history, rebrand, ?s=Anthropic, /grants/ 404); Open Philanthropy openphilanthropy.org (redirects to Coefficient); Anthropic anthropic.com Series A news + news index + company; Forbes.com.au live; Forbes.com True Net Worth live 403 then Wayback id_ 20260421043155 --compressed; Forbes India live; Washington Examiner live; Wayback CDX
# caps_hit=Bluesky searchPosts HTTP 403; r.jina.ai HTTP 403 on fallback URLs; live forbes.com True Net Worth HTTP 403 DataDome; Wayback CDX Stratechery HTTP 503; first Wayback id_ attempt HTTP 000 without --compressed, retry --compressed HTTP 200; Coefficient /grants/ HTTP 404; X search HTML JS shell with 0 tweet bodies; getAuthorFeed omitted reply rkey 3miawblqk7224 (recovered via getPostThread)
# no_kevinnbass_sources=true
# research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv#37-40 and repo/evidence/moskovitz-words/ used as locators only; quotes are this-run primaries under research/primary/MD71-donation-statements-quoted/; nothing emailed, filed, submitted, posted, or asked about the approximately $71 million composition
row,task,target_prefix,element_ids,subject,entity_type,aliases,identifier,from_entity,intermediary,to_entity,relationship_type,start_date,end_date,ledger,money_type,amount_usd,currency,date,date_precision,period,payment_status,purpose_restriction,project,provider,in_kind_type,quantity_or_value,terms,policy_version,disclosure_recusal,provider_authority,personnel_conflicts,edge_type,documented_transaction,source_class,query_or_endpoint,url,quote_300,checked_utc,result,result_count,next_document,limitation,note
A01,A,MDT,C07.E1,Dustin Moskovitz Bluesky post: Anthropic shares entirely in our foundation,individual,moskov.goodventures.org,cid:bafyreihsyj553osq4sfces6nnnm3u2quv7gvfu53b7w5cigcco55obt7ou,Dustin Moskovitz,,our foundation (unnamed in this post),self-described holding of Anthropic shares,,,,,,,2026-03-30,day,,,,,,,,,,,,,,,self-statements,GET https://bsky.app/profile/moskov.goodventures.org/post/3miawblqk7224 ; GET public.api.bsky.app getPostThread uri=at://did:plc:z7oad4td5k4tfb4dttzjym7r/app.bsky.feed.post/3miawblqk7224,https://bsky.app/profile/moskov.goodventures.org/post/3miawblqk7224,Our Anthropic shares are entirely in our foundation - no personal benefit.,2026-09-16T17:34:41Z,Moskovitz public-role statement on Bluesky 2026-03-30T05:24:03.877Z: Anthropic shares entirely in our foundation; no personal benefit.,1,,"Vehicle named only as 'our foundation'; legal entity, share class, amount, and donation date not stated.","speaker=Dustin Moskovitz venue=Bluesky @moskov.goodventures.org post 3miawblqk7224 createdAt=2026-03-30T05:24:03.877Z. primary=bsky-api-3miawblqk7224-20260916T173441Z.body sha256=e25e0fbc9cfa8ddccfa04b26dd8f827f6e46f474cfdf96264e19cb6e9088a057; also bsky-3miawblqk7224-20260916T173441Z.body sha256=4996786d861a11317a2bedef2bfaaf5ccd0248f66f73912122495cad1ec24e1d. response_hash=sha256:e25e0fbc9cfa8ddccfa04b26dd8f827f6e46f474cfdf96264e19cb6e9088a057. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
A02,A,MDT,C07.E1,Dustin Moskovitz Bluesky post four minutes later: all Anthropic holdings in the foundation,individual,moskov.goodventures.org,cid:bafyreigzi4yf37scbjdf2joihjtbccwbt76jm2nhxxe3vxe66q5zpaqxly,Dustin Moskovitz,,the foundation (unnamed in this post),self-described holding of Anthropic holdings,,,,,,,2026-03-30,day,,,,,,,,,,,,,,,self-statements,GET https://bsky.app/profile/moskov.goodventures.org/post/3miawjaazyc24 ; GET public.api.bsky.app getPostThread,https://bsky.app/profile/moskov.goodventures.org/post/3miawjaazyc24,"Per the other thread all Anthropic holdings are in the foundation, dedicated to charity.",2026-09-16T17:34:41Z,"Moskovitz public-role statement on Bluesky 2026-03-30T05:28:20.270Z: all Anthropic holdings are in the foundation, dedicated to charity.",1,,"Vehicle named only as 'the foundation'; legal entity, share class, amount, and donation date not stated.","speaker=Dustin Moskovitz venue=Bluesky post 3miawjaazyc24 createdAt=2026-03-30T05:28:20.270Z. primary=bsky-api-3miawjaazyc24-20260916T173441Z.body sha256=68b4d0968b6a735a3fccfa3fc59fd39871fd38ee42cbff6074a61055fdfebb7e; also bsky-3miawjaazyc24-20260916T173441Z.body sha256=16475411ae20b755741e927e1303a4189d4024a2d3f5b722184be9c3eebb0585. response_hash=sha256:68b4d0968b6a735a3fccfa3fc59fd39871fd38ee42cbff6074a61055fdfebb7e. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
A03,A,MDT,C07.E1,Dustin Moskovitz Bluesky post: the foundation is invested in Anthropic as well,individual,moskov.goodventures.org,cid:bafyreigae4lrktl6hfyf7d7sfnb5o6kooo7zachjkfeoqznghpkpsanuwy,Dustin Moskovitz,,the foundation (unnamed in this post),self-described foundation holding in Anthropic,,,,,,,2026-04-11,day,,,,,,,,,,,,,,,self-statements,GET https://bsky.app/profile/moskov.goodventures.org/post/3mjaq5x2pws2e ; GET public.api.bsky.app getPostThread,https://bsky.app/profile/moskov.goodventures.org/post/3mjaq5x2pws2e,We have given away $5B and we have about $20B more in the foundation and some more personal (you can look on bloomberg for that). The foundation is invested in Anthropic as well.,2026-09-16T17:34:41Z,Moskovitz public-role statement on Bluesky 2026-04-11T20:59:50.704Z: the foundation is invested in Anthropic as well; about $20B more in the foundation.,1,,"$20B is stated as foundation assets, not as the Anthropic stake size. Share class, Anthropic amount, donation date, and legal entity of 'the foundation' not stated.","speaker=Dustin Moskovitz venue=Bluesky post 3mjaq5x2pws2e createdAt=2026-04-11T20:59:50.704Z. primary=bsky-api-3mjaq5x2pws2e-20260916T173441Z.body sha256=855d0116195aa23baece3d281f056d4c4fcc01c1f4df9fd58b667367cc2f8390; also bsky-3mjaq5x2pws2e-20260916T173441Z.body sha256=0b43472cdab97ba99af3dd2eeded6772b8687f3664a9dbfa6e5414659da32b40. response_hash=sha256:855d0116195aa23baece3d281f056d4c4fcc01c1f4df9fd58b667367cc2f8390. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
A04,A,MDT,C07.E1,Dustin Moskovitz Bluesky post: Good Ventures a beneficiary via Anthropic investments,individual,moskov.goodventures.org,cid:bafyreihw67eimmhvw5maxb2jwfzupgupnvkhon6pry6uk266roypc25k4u,Dustin Moskovitz,,Good Ventures (named in this post; filer not stated),self-described Good Ventures benefit via Anthropic investments,,,,,,,2026-08-26,day,,,,,,,,,,,,,,,self-statements,GET https://bsky.app/profile/moskov.goodventures.org/post/3mtygcpxluc2b ; GET public.api.bsky.app getPostThread,https://bsky.app/profile/moskov.goodventures.org/post/3mtygcpxluc2b,GV is itself a beneficiary of that wave (via Anthropic and a number of other investments).,2026-09-16T17:34:41Z,Moskovitz public-role statement on Bluesky 2026-08-26T13:19:23.610Z: GV is itself a beneficiary of that wave via Anthropic and other investments.,1,,"Names Good Ventures / GV, not Good Ventures Foundation as a 501(c)3. Does not state that GV is the 2025 donation donee. Share class and amount not stated. Not a donation-date statement.","speaker=Dustin Moskovitz venue=Bluesky post 3mtygcpxluc2b createdAt=2026-08-26T13:19:23.610Z. primary=bsky-api-3mtygcpxluc2b-20260916T173441Z.body sha256=8cd657a95ba684c947ce1447b32e4cc3a8f7ed8d64d707f905186e1c54079b84; also bsky-3mtygcpxluc2b-20260916T173441Z.body sha256=3b757121dd5616e43891c6a2c5896d305645bf9cf24020e0d8f0059866fec482. response_hash=sha256:8cd657a95ba684c947ce1447b32e4cc3a8f7ed8d64d707f905186e1c54079b84. Individual Dustin Moskovitz and Good Ventures kept unmerged. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
A05,A,MDT,C07.E1,Stratechery 2025-10-20 interview this-run check: Moskovitz on Anthropic board observer role; donation of Anthropic shares not stated,individual,,sha256:ec2a976a62caa3b8b41d431f62fce294cf92ebd61a94ad62eae65933ffcf6d32,Dustin Moskovitz,,Anthropic,self-described board observer (not a donation statement),,,,,,,2025-10-20,day,,,,,,,,,,,,,,,self-statements,GET https://stratechery.com/2025/an-interview-with-asana-founder-dustin-moskovitz-about-ai-saas-and-safety/ filter=donat|foundation|Anthropic shares,https://stratechery.com/2025/an-interview-with-asana-founder-dustin-moskovitz-about-ai-saas-and-safety/,"I&#8217;m a board observer at Anthropic and we are early donors to OpenAI and there&#8217;s always this tension on if you&#8217;re creating capabilities, are you also creating dangerous capabilities?",2026-09-16T17:34:41Z,this-run check of Stratechery Moskovitz interview: board observer at Anthropic and early donors to OpenAI stated; none found in Stratechery interview https://stratechery.com/2025/an-interview-with-asana-founder-dustin-moskovitz-about-ai-saas-and-safety/ as of 2026-09-16T17:34:41Z for a statement about donating Anthropic shares or holding them in a foundation,0,Bluesky posts A01-A04 (later than this interview),Interview date 2025-10-20 is before the 2026 Bluesky foundation-holding posts. HTML entities in primary (I&#8217;m). Wayback CDX for this URL HTTP 503 this run; live GET 200 so Wayback not required for the quote.,"speaker=Dustin Moskovitz venue=Stratechery interview with Ben Thompson. primary=stratechery-moskovitz-20260916T173441Z.body sha256=ec2a976a62caa3b8b41d431f62fce294cf92ebd61a94ad62eae65933ffcf6d32. response_hash=sha256:ec2a976a62caa3b8b41d431f62fce294cf92ebd61a94ad62eae65933ffcf6d32. Live fetch HTTP 200. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
A06,A,MDS,C07.E1,Moskovitz X @moskov this-run check: no post about donating Anthropic shares or holding them in a foundation,individual,@moskov,x_user_id:23289019,Dustin Moskovitz,,,,,,,,,,,,,,,,,,,,,,,,,,self-statements,GET https://x.com/moskov ; GET https://api.fxtwitter.com/moskov ; GET https://x.com/search?q=from%3Amoskov%20Anthropic&f=live ; X keyword search from:moskov (Anthropic OR foundation) (donat OR shares OR stake),https://x.com/moskov,Dustin Moskovitz (@moskov) / X,2026-09-16T17:34:41Z,none found in X @moskov profile https://x.com/moskov and x.com/search from:moskov Anthropic as of 2026-09-16T17:40:11Z for a Moskovitz post about donating Anthropic shares or holding them in a foundation,0,https://bsky.app/profile/moskov.goodventures.org,"X search HTML is a JS shell (0 tweet bodies in the saved page). X keyword search from:moskov Anthropic returned 0 posts this run. fxtwitter profile: location=Bluesky, tweets=48. Blind spot: deleted or protected tweets not visible.","speaker=Dustin Moskovitz venue=X @moskov. primary=x-moskov-profile-20260916T173441Z.body sha256=841b1f063179ec31fef9652cd02171fbd762eb1d60e12cd733c30990e9150cb2; also fx-moskov-profile-20260916T173441Z.body sha256=35f44d72f881a3cb147f1dc540492d99fa8a823f7ea016a0c4d3ceb28c5a5c67; x-search-moskov-anthropic-20260916T174011Z.body sha256=3fdc3d3c6192cfa2cfdfbc53c68bf3020fbe454318683f0151eb43c48477845d. response_hash=sha256:841b1f063179ec31fef9652cd02171fbd762eb1d60e12cd733c30990e9150cb2. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
A07,A,MDS,C07.E1,Good Ventures site this-run check: no Moskovitz-authored statement about donating Anthropic shares,foundation,,,Dustin Moskovitz,,,,,,,,,,,,,,,,,,,,,,,,,,self-statements,GET https://www.goodventures.org/ our-story/ governance/ press speaking-and-writing our-giving/ ?s=Anthropic ; filter Moskovitz statement donating Anthropic shares OR holding them in a foundation,https://www.goodventures.org/?s=Anthropic,You searched for Anthropic - Good Ventures,2026-09-16T17:34:41Z,"none found in Good Ventures pages https://www.goodventures.org/ home, our-story, governance, press, speaking-and-writing, our-giving, and ?s=Anthropic as of 2026-09-16T17:34:41Z for a Dustin Moskovitz public-role statement about donating Anthropic shares or holding them in a foundation",0,https://bsky.app/profile/moskov.goodventures.org/post/3miawblqk7224,Site search returned a results chrome with no article hits for Anthropic. Governance names Good Ventures Foundation as a 501(c)3 (see B06) but does not mention an Anthropic holding. Blind spot: unpublished founder letters.,"primary=gv-search-anthropic-20260916T173441Z.body sha256=cd708111b326db63054825786c6008059eb97a086e108c3c050dc3901df9ed7f; also gv-home-20260916T173441Z.body gv-our-story-20260916T173441Z.body gv-governance-20260916T173441Z.body. response_hash=sha256:cd708111b326db63054825786c6008059eb97a086e108c3c050dc3901df9ed7f. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
B01,B,MDT,C07.E1;C07.E3,"Alexander Berger (CEO, Coefficient Giving) on X: donated his stake (and not to us)",individual,@albrgr,tweet:2001669972171661401,Alexander Berger,,Coefficient Giving (excluded as recipient),grantmaker-CEO statement excluding Coefficient as donation recipient,,,,,,,2025-12-18,day,,,,,,,,,,,,,,,self-statements,GET https://x.com/albrgr/status/2001669972171661401 ; GET https://api.fxtwitter.com/albrgr/status/2001669972171661401,https://x.com/albrgr/status/2001669972171661401,He’s since donated his stake (and not to us).,2026-09-16T17:34:41Z,"Coefficient Giving CEO Alexander Berger, views marked his own, stated on 2025-12-18 that Open Phil never invested in Anthropic, Dustin did early on, and he has since donated his stake (and not to us).",1,,"Profile text: Views my own. Not a Coefficient.org issuer page. 'us' is not expanded to a legal filer beyond the tweet's 'We're called Coefficient Giving now.' Donee vehicle not named. Share class, amount, and donation day not stated.","speaker=Alexander Berger venue=X status 2001669972171661401 created_at=Thu Dec 18 15:04:45 +0000 2025. Also quotes: Open Phil never invested in Anthropic, dustin did early on.. primary=fx-albrgr-2001669972171661401-20260916T173441Z.body sha256=a4ad57c793bb223dd1c43e6f7c49dbb92de80482e3e3d4d20461d72d9cbcc47f; also x-albrgr-2001669972171661401-20260916T173441Z.body sha256=0e18818c19f87aa8b83ae04ba5e0a92f48c2265d84951ab93e7b0e8202dba07a. response_hash=sha256:a4ad57c793bb223dd1c43e6f7c49dbb92de80482e3e3d4d20461d72d9cbcc47f. Coefficient Giving, Open Philanthropy, and Dustin Moskovitz kept unmerged. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
B02,B,MDT,C07.E1,Forbes Australia 2025-11-10 press restatement quoting Cari Tuna on moving the Anthropic stake into a nonprofit vehicle,press article,,,Cari Tuna (quoted),,a nonprofit vehicle (unnamed),press restatement of a donation statement,,,,,,,2025-11-10,day,,,,,,,,,,,,,,,press,GET https://www.forbes.com.au/news/billionaires/this-billionaire-couple-has-a-plan-to-give-away-a-20-billion-facebook-fortune/,https://www.forbes.com.au/news/billionaires/this-billionaire-couple-has-a-plan-to-give-away-a-20-billion-facebook-fortune/,"Their Anthropic stake (worth an estimated $500 million) was moved into a nonprofit vehicle in early 2025 so they could invest any “significant financial return” back into philanthropy and “dispel any perception of conflict of interest,” she says.",2026-09-16T17:34:42Z,Press restatement quoting Cari Tuna: Anthropic stake estimated $500 million moved into a nonprofit vehicle in early 2025. Not Moskovitz's own words.,1,,"Speaker in the quoted clause is Tuna ('she says'), not Moskovitz. Vehicle unnamed. $500 million is the article's estimate. Share class not stated. Do not treat as a Good Ventures Foundation or Coefficient statement.","speaker=Cari Tuna (as quoted by Forbes Australia) venue=Forbes.com.au 2025-11-10. primary=forbes-au-2025-11-10-20260916T173441Z.body sha256=0f2008e0cf24b1165b298f2022bdd72f8f2b4b05def05933fe48c30b11ed7fc4. response_hash=sha256:0f2008e0cf24b1165b298f2022bdd72f8f2b4b05def05933fe48c30b11ed7fc4. source_class=press. locator S0#37 / MDT0004 context only. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
B03,B,MDT,C07.E1,"Forbes True Net Worth 2026-04-20 press restatement: donated early Anthropic investment last year, estimated less than 0.8%",press article,,,Forbes (Matt Durot and Chase Peterson-Withorn),,,press restatement of a donation statement,,,,,,,2026-04-20,day,,,,,,,,,,,,,,,press,GET https://www.forbes.com/sites/mattdurot/2026/04/20/reranking-the-worlds-billionaires-by-wealth--and-altruism/ (live HTTP 403); Wayback id_ 20260421043155,https://www.forbes.com/sites/mattdurot/2026/04/20/reranking-the-worlds-billionaires-by-wealth--and-altruism/,Last year he dona­ted his early investment in AI giant Anthropic: an estimated stake of less than 0.8% that has already skyrocketed in value amid the AI boom.,2026-09-16T17:35:36Z,"Press restatement: last year he donated his early investment in AI giant Anthropic, estimated stake of less than 0.8%. Not Moskovitz's own words.",1,,"Live forbes.com HTTP 403 (DataDome JS). Quote taken from Wayback raw id_ capture 20260421043155; note says so. Soft hyphen in 'donated' in the capture. Vehicle unnamed. Share class not stated. 0.8% is an estimated bound, not a measured holding.","speaker=Forbes authors venue=Forbes.com 2026-04-20. live=forbes-true-net-worth-20260916T173441Z.body sha256=ef1eba9506e659aa30dca008c83e5bb75f8918967de2bf8b60bbe325317a633c HTTP 403. primary=wayback-forbes-tnw-20260421043155id-20260916T173516Z.body sha256=fc0262d82f265ff600e21b8c225ba0831851fb03eaae6d900370506e00cbf8fc via Wayback id_. response_hash=sha256:fc0262d82f265ff600e21b8c225ba0831851fb03eaae6d900370506e00cbf8fc. source_class=press. locator S0#38 / MDT0005 context only. research/STATE.md read 2026-09-16T17:32:41Z before facts were added; S0-seed-import.csv rows 37-40, timeline MDT0004-MDT0007, and repo/evidence/moskovitz-words/ used as locators only and were not copied as this-run quotes. no_kevinnbass_sources. This lane sent nothing, emailed nothing, filed nothing, posted nothing, and did not ask how the approximately $71 million commitment total was composed or allocated."
